"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",2.58703125,"Down",2796429,-1438831,1357598,-1531280,-1366587,-164693,-173682,-2347,-2347,-176029,-176029,-15075,-191104,-191104,-191104,-191104,2339885,2339885,2098229,2098229,4744298,170986,156185,9353398,1364743,1111937,1111937,2476680,11830078,1469847,703227,766620,1469847,1469847,10346891,341840,10360231,10360231,11830078,-191104,86737,22153,-227467,-309681,-9393,-9393,-319074,-319074,-322436,-86945,0,-308730,0.48548,-0.06211,-0.06834,-0.01845,-0.01615,1.61551,6.36352,0.14187,0,-0.06389,-0.06445,0.93498,3.46391,-0.10322,-0.01845,-0.0298,26.91224,13.47224
"12","2014_Q1",2.66901639344262,"Up",3272899,-1951873,1321026,-1722385,-1560291,-162094,-401359,8026,8026,-393333,-393333,29011,-364322,-364322,-364322,-364322,1909071,1909071,1980685,1980685,5054087,267587,219492,9211430,1334890,1078278,1078278,2413168,11624598,1609480,918094,691386,1609480,1609480,10369524,-22482,10015118,10015118,11624598,-364322,87336,22633,-150386,-404739,-23825,-23534,-428273,-428273,-430814,-314023,0,-517245,0.40363,-0.12263,-0.11131,-0.03638,-0.03134,1.41975,5.72323,0.16071,0,-0.12181,-0.12181,1.09428,3.34852,-0.17294,-0.03638,-0.05165,6.0794,4.75652
"13","2014_Q2",2.80079365079365,"Up",2899447,-1568325,1331122,-1478466,-1351702,-126764,-147344,3453,3453,-143891,-143891,-2668,-146559,-146559,-146559,-146559,1959659,1959659,2153434,2153434,4792460,211021,162269,9116574,1280655,1044619,1044619,2325274,11441848,1149201,524276,624925,1549201,1549201,10390012,-169041,9892647,9892647,11441848,-146559,88237,20488,-307276,-345110,-343,-343,54547,54547,50588,-59107,0,-364058,0.4591,-0.05082,-0.05055,-0.01481,-0.01281,2.48404,5.88469,0.1566,0,-0.049,-0.049,0.96942,3.30757,-0.12172,-0.01481,-0.0368,33.15443,13.29989
"14","2014_Q3",2.8009375,"Up",3143052,-1675184,1467868,-1619142,-1507046,-112096,-151274,-9546,-9546,-160820,-160820,-2381,-163201,-163201,-163201,-163201,2115635,2115635,2180229,2180229,4665685,152871,131262,9114420,1228339,1010961,1010961,2239300,11353720,1170506,547479,623027,1570506,1570506,10394456,-332242,9783214,9783214,11353720,-163201,87067,4444,213389,141699,-1093,-1092.99999999999,140606,140606,155976,-64207,0,150470,0.46702,-0.04813,-0.05192,-0.01668,-0.01437,-0.92199,5.80349,0.16053,0,-0.05457,-0.05457,1.05087,3.27098,0.05031,-0.01668,0.01538,32.95022,13.98545
"15","2014_Q4",2.9303125,"Up",3066163,-1608233,1457930,-1539585,-1387972,-151613,-81655,11497,11497,-70158,-70158,-1949,-72107,-72107,-72107,-72107,1885856,1885856,2155006,2155006,4539207,159129,141186,8739198,1177635,977302,977302,2154937,10894135,1156357,525876,630481,1156357,1156357,10411566,-404349,9737778,9737778,10894135,-72107,78987,3443,148017,158340,19043,19043,-222617,-222617,-229779,-2668,0,166341,0.47549,-0.02663,-0.02352,-0.0074,-0.00662,-2.30686,7.55753,0.11875,0,-0.02411,-0.02411,1.02516,3.25579,0.05562,-0.0074,0.01708,706.84258,23.09541
"16","2015_Q1",2.74459016393443,"Down",3025844,-1656618,1369226,-1501358,-1416401,-84957,-132132,-23291,-23291,-155423,-155423,-2334,-157757,-157757,-157757,-157757,1510565,1510565,2235194,2235194,4789822,153576,152237,8689157,1191591,943643,943643,2135234,10824391,1211084,512219,698865,1211084,1211084,10438750,-562106,9613307,9613307,10824391,-157757,74002,15684,-279234,-347305,-54299,-54299,-390104,-390104,-375291,-58130,-2.64697796016969e-23,-389329,0.45251,-0.04367,-0.05214,-0.01641,-0.01457,2.4679,7.17469,0.12598,0,-0.0524,-0.0524,1.00496,3.19282,-0.12931,-0.01641,-0.0405,25.98598,11.43224
"17","2015_Q2",2.70746031746032,"Down",3049288,-1585721,1463567,-1410468,-1338024,-72444,53099,1061,1061,54160,54160,-2377,51783,51783,51783,51783,1730693,1730693,2321147,2321147,4809125,132616,130283,8993581,1159135,909985,909985,2069120,11062701,1415877,614954,800923,1415877,1415877,10448608,-510323,9646824,9646824,11062701,51783,74688,9858,116664,252993,-8573,-8573,244420,244420,220128,127787,0,238255,0.47997,0.01741,0.01698,0.00537,0.00468,4.60103,6.35195,0.14677,1.26217744835362e-29,0.01728,0.01727,1.01782,3.22,0.07953,0.00537,0.0247,-13.5435800000002,-32.5937
"18","2015_Q3",2.844375,"Up",3151504,-1597326,1554178,-1624979,-1500328,-124651,-70801,3336,3336,-67465,-67465,-2375,-69840,-69840,-69840,-69840,1707481,1707481,2540227,2540227,4793479,112596,110870,9153783,1128160,880177,880177,2008337,11162120,1619306,674097,945209,1619306,1619306,10465223,-580163,9542814,9542814,11162120,-69840,65262,16615,-10017,2020,-4477,-4477,-2457,-2457,-23212,-5539,0,-17658,0.49315,-0.02247,-0.02216,-0.00732,-0.00626,0.25284,5.65291,0.16969,0,-0.02331,-0.02334,1.05194,3.18528,-0.00589000000000003,-0.00732,-0.00185,308.26521,24.11662
"19","2015_Q4",2.64875,"Down",3010618,-1660256,1350362,-1500870,-1405140,-95730,-150508,-15578,-15578,-166086,-166086,-2285,-168371,-168371,-168371,-168371,1652564,1652564,2453944,2453944,4716335,167146,165617,8989989,1099892,852294,852294,1952186,10942175,1580731,602745,977986,1580731,1580731,10488463,-748534,9361444,9361444,10942175,-168371,62032,23240,63450,-19649,-5883,-5883,-25532,-25532,-54917,-88476,0,-28624,0.44853,-0.04999,-0.05593,-0.01799,-0.01539,0.17001,5.68724,0.16886,-2.01948391736579e-28,-0.0562,-0.0562,1.00491,3.12474,-0.00955,-0.01799,-0.00306,18.6781,10.97991
"20","2016_Q1",2.29081967213115,"Down",3857681,-2085091,1772590,-1668839,-1583359,-85480,103751,-7942,-7942,95809.0000000001,95808.9999999999,-3050,92759,92759,92759,92759,1795654,1795654,2660426,2660426,4557567,154999,153970,9168646,1110878,824411,824411,1935289,11103935,1615331,834002,781329,1615331,1615331,10511324,-655775,9488604,9488604,11103935,92759,64590,5361,-7928,154782,-30194,-30194,124588,124588,143090,168341,6.7762635780344e-21,133269,0.4595,0.02689,0.02405,0.00978,0.00835,1.43672,5.67602,0.17024,0,0.03096,0.03096,1.28765,3.16719,0.04448,0.00978,0.01405,-10.66677,-17.30734
