"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",31.0764516129032,"Up",2709482000,-1431487000,1277995000,-743746000,-268832000,-4201000,-226538000,-171370000,534249000,-55764000,-58116000,2352000,478485000,-154000,478331000,-33351000,444980000,444980000,-95198000,349782000,349782000,3745415000,3745415000,1702458000,1702458000,42511000,108693000,92269000,4401000,5599077000,15638535000,1920750000,73165000,31748000,1815837000,17559285000,23158362000,2049521000,150192000,163209000,1736120000,98136000,372320000,372320000,2519977000,9397866000,716465000,156346000,560119000,10114331000,12634308000,6212990000,2598984000,256222000,9068196000,1455858000,10524054000,23158362000,444980000,226538000,109834000,-26838000,754514000,-326478000,788000,788000,-327266000,-327266000,-326741000,-8521000,7324000,7324000,-48000,-227816000,199957000,199957000,23458000,223415000,760787000,9496002000,440822000,0.47168,0.19718,0.1291,0.03324,0.0151,1.26028,2.22188,1.20052,0.41005,0.42568,0.42389,3.29739,11.03584,0.53647,5,0.02779,0.02126,7.55873,10.76387
"12","2013_Q1",38.2051666666667,"Up",3077002000,-1631144000,1445858000,-772842000,-315348000,-7762000,-250321000,-143476000,673016000,-55506000,-60531000,5025000,617510000,-1010999.99999999,616499000,-45156000,571343000,571343000,-136561000,434782000,434782000,2512766000,2512766000,1819260000,1819260000,43875000,101613000,94793000,4521000,4477514000,15766748000,1919390000,70618000,43280000,1805492000,17686138000,22163652000,2181649000,106498000,164126000,1911025000,97802000,343372000,343372000,2622823000,10132265000,750152000,185945000,564207000,10882417000,13505240000,6238312000,560452000,263078000,7061842000,1596570000,8658412000,22163652000,571343000,250321000,115510000,-52250000,884924000,-385813000,643000,643000,-386456000,-386456000,-384403000,717583000,15870000,15870000,-698000,-1739291000,-1238770000,-1238770000,6121000.00000001,-1232649000,923337000,10230067000,530430000,0.46989,0.21872,0.1413,0.05021,0.01962,1.21999,1.70714,1.55978,0.46157,0.52872,0.52501,3.74181,8.5876,0.64503,5,0.14802,0.02701,8.35805,11.46674
"13","2013_Q2",40.8296875,"Up",3302719000,-1708958000,1593761000,-765126000,-290414000,-5351000,-252557000,-152125000,828635000,-67147000,-65039000,-2108000,761488000,-1932000,759556000,-55582000,703974000,703974000,-132013000,571961000,571961000,2379748000,2379748000,1973984000,1973984000,42381000,105588000,98151000,5672000,4501701000,15648642000,1860610000,68036000,37315000,1755259000,17509252000,22010953000,2224863000,132931000,217978000,1873954000,97347000,366816000,366816000,2689026000,9731002000,746800000,179026000,567774000,10477802000,13166828000,6265062000,843679000,217302000,7326043000,1518082000,8844125000,22010953000,703974000,252557000,98838000,-169851000,885518000,-196765000,426000,426000,-197191000,-197191000,-197059000,-334578000,11955000,11955000,1525000,-819092000,-130633000,-130633000,-2385000,-133018000,1081192000,9828349000,770158000,0.48256,0.25089,0.17318,0.06467,0.02599,1.34652,1.6741,1.48877,0.44652,0.69466,0.69123,4.01123,8.89766,0.93538,5,0.0551,0.03966,6.88925,8.989
"14","2013_Q3",42.57203125,"Up",3242941000,-1692847000,1550094000,-764691000,-307869000,-6002000,-251048000,-137714000,785403000,-61247000,-65140000,3893000,724156000,-4762000,719394000,-47721000,671673000,671673000,-141920000,529753000,529753000,2514141000,2514141000,1803357000,1803357000,41229000,106632000,99207000,5782000,4465359000,15437067000,1881398000,109678000,40435000,1731285000,17318465000,21783824000,2309598000,121035000,171013000,2017550000,980168000,285661000,285661000,3575427000,8511231000,740119000,170906000,569213000,9251350000,12826777000,6287049000,1084511000,175107000,7500105000,1456942000,8957047000,21783824000,671673000,251048000,89449000,126519000,1138689000,-241391000,1290000,1290000,-242681000,-196824000,-241629000,-273357000,10880000,10880000,1582000,-756512000,140548000,140548000,-6155000,134393000,1036451000,9491399000,969300000,0.47799,0.24219,0.16336,0.05914,0.02432,1.82972,1.2489,1.43203,0.43571,0.64292,0.63984,3.93572,9.10234,1.17637,6,0.05344,0.05051,6.73187,8.88367
"15","2013_Q4",53.1521875,"Up",3568540000,-1842957000,1725583000,-808018000,-380865000,-3487000,-248925000,-119370000,917565000,-59891000,-63098000,3207000,857674000,-2739000,854935000,-45637000,809298000,809298000,-182554000,626744000,626744000,3209120000,3209120000,1848522000,1848522000,41683000,107943000,99693000,5750000,5207268000,15413209000,1864618000,106234000,40982000,1717402000,17277827000,22485095000,2478463000,114741000,140248000,2223474000,1301624000,265031000,265031000,4045118000,8461992000,746989000,173166000,573823000,9208981000,13254099000,6315742000,1422519000,194212000,7586220000,1644776000,9230996000,22485095000,809298000,248925000,95334000,-16981000,1136576000,-206470000,-1003000,-1003000,-205467000,-205467000,-206815000,242115000,-187643000,23598000,-713000,-237798000,691963000,691963000,3016000,694979000,1166490000,9763616000,988676000,0.48355,0.25713,0.17563,0.0679,0.02787,1.57748,1.2873,1.43583,0.43423,0.76136,0.75764,4.33499,9.21558,1.20102,7,0.04652,0.05008,5.61899,7.14336
"16","2014_Q1",59.6339344262295,"Up",3655685000,-1953826000,1701859000,-814063000,-350592000,-969000,-254938000,-151886000,887796000,-62268000,-61597000,-671000,825528000,-15901000,809627000,-39896000,769731000,769731000,-192192000,577539000,577539000,3600414000,3600414000,1762110000,1762110000,41946000,111069000,104230000,6839000,5515539000,15358953000,1849772000,102081000,13821000,1733870000,17208725000,22724264000,2497289000,119194000,176678000,2201417000,377507000,254869000,241560000,3129665000,9382752000,711318000,173211000,538107000,10094070000,13223735000,6348892000,1713339000,173783000,7665494000,1835035000,9500529000,22724264000,769731000,254938000,98255000,155705000,1278629000,-267201000,31442000,31442000,-298643000,-298629000,-266706000,35895000.0000001,-326396000,23513000,-37808000,-619048000,392875000,392875000,-1581000,391294000,1142734000,9760259000,1071134000,0.46554,0.24285,0.15798,0.06079,0.02542,1.85465,1.76234,1.39189,0.42951,0.70553,0.70206,4.46582,9.36425,1.30851,8,0.04347,0.05363,5.39045,6.93836
"17","2014_Q2",56.7795238095238,"Down",4010384000,-2049407000,1960977000,-816627000,-336499000,-1692000,-261047000,-155471000,1144350000,-69980000,-65323000,-4657000,1074370000,-18489000,1055881000,-59153000,996728000,996728000,-220543000,776185000,776185000,3303402000,3303402000,1781090000,1781090000,41385000,116235000,110347000,5888000,5242112000,15352474000,1880015000,98522000,21654000,1759839000,17232489000,22474601000,2419484000,131714000,234477000,2053293000,304947000,234824000,217852000,2959255000,9968879000,713454000,170833000,542621000,10682333000,13641588000,6398989000,2083717000,184631000,7286808000,1546205000,8833013000,22474601000,996728000,261047000,103200000,-228348000,1132627000,-251186000,541000,541000,-251727000,-251727000,-250238000,491662000,-702248000,32115000,-53143000,-1181380000,-298991000,-298991000,1979000,-297012000,1405397000,10273826000,985016000,0.48897,0.28535,0.19354,0.08787,0.03454,1.26905,1.77143,1.54439,0.45713,0.95265,0.94942,4.92213,8.94343,1.20895,8,0.08546,0.0497,4.95975,6.09116
"18","2014_Q3",51.62734375,"Down",3624350000,-1867892000,1756458000,-791402000,-327532000,-4217000,-264016000,-145968000,965056000,-61699000,-63893000,2194000,903357000,-3596000,899761000,-46917000,852844000,852844000,-181410000,671434000,671434000,3292727000,3292727000,1531555000,1531555000,43083000,110752000,104470000,6282000,4978117000,15403354000,1867652000,95002000,19614000,1753036000,17271006000,22249123000,2191329000,118538000,191073000,1881718000,435794000,231077000,214399000,2858200000,9943170000,709195000,169371000,539824000,10652365000,13510565000,6417127000,2351879000,207321000,7275762000,1462796000,8738558000,22249123000,852844000,264016000,87750000,53606999.9999999,1258217000,-274546000,565000,565000,-275111000,-275111000,-274935000,70005000.0000001,-392049000,13003000,-1345999.99999999,-996125000,-12843000.0000001,-12842999.9999999,2168000,-10675000.0000001,1229072000,10378964000,1055050000,0.48463,0.26627,0.18526,0.07684,0.03018,1.57134,1.7417,1.54609,0.46649,0.83202,0.82988,4.49117,9.01587,1.30738,8,0.0678,0.05321,5.76552,7.34282
"19","2014_Q4",45.68046875,"Down",3533122000,-1815042000,1718080000,-745858000,-341501000,-3043000,-251002000,-119209000,972222000,-61075000,-61170000,95000,911147000,-2779000,908368000,-47869000,860499000,860499000,-188794000,671705000,671705000,3147109000,3147109000,1496987000,1496987000,43090000,130151000,123633000,6518000,4817337000,15355117000,1855327000,90730000,20615000,1743982000,17210444000,22027781000,2266439000,109868000,148940000,2007631000,102602000,250376000,241396000,2619417000,9836015000,716751000,168291000,548460000,10552766000,13172183000,6427240000,2622413000,158022000,7207294000,1648304000,8855598000,22027781000,860499000,251002000,54007000,61144000,1226652000,-265802000,474000,474000,-266276000,-266276000,-266048000,-365820000,-296491000,3325000,-33678000,-1099146000,-138542000,-138542000,-7076000,-145618000,1223224000,9938617000,1066435000,0.48628,0.27517,0.19012,0.07585,0.03049,1.58765,1.83909,1.48744,0.45119,0.83652,0.83519,4.40002,8.97569,1.3281,8,0.05509,0.05466,5.55214,6.98555
"20","2015_Q1",42.6419672131148,"Down",3416144000,-1692659000,1723485000,-699113000,-252468000,-5048000,-254935000,-142352000,1024372000,-53246000,-57614000,4368000,971126000,-2136000,968990000,-91061000,877929000,877929000,-156253000,721676000,721676000,3506319000,3506319000,1510772000,1510772000,41674000,131734000,125168000,6566000,5190499000,15372474000,1791074000,86260000,24076000,1680738000,17163548000,22354047000,2329309000,112721000,224201000,1992387000,99734000,270929000,270929000,2699972000,9892913000,740580000,193813000,546767000,10633493000,13333465000,6429591000,2945846000,76101000,7213586000,1806996000,9020582000,22354047000,877929000,254935000,82043000,597000,1215504000,-385466000,420000,420000,-385886000,-385886000,-385779000,185153000,-230212000,7557000,4166999.99999999,-444349000,385376000,385376000,-26071000,359305000,1279307000,9992647000,985499000,0.50451,0.29986,0.21125,0.08,0.03228,1.36557,1.92243,1.47812,0.44702,0.90293,0.90082,4.27414,9.02534,1.23302,7,0.05696,0.04989,5.07019,6.332
"21","2015_Q2",41.3219047619048,"Down",3011622000,-1515004000,1496618000,-770180000,-324478000,-1533000,-253922000,-132897000,726438000,-44412000,-59877000,15465000,682026000,-15323000,666703000,-55665000,611038000,611038000,-99115000,511923000,511923000,2406465000,2406465000,1408381000,1408381000,42088000,129850000,122949000,6901000,3986784000,15313332000,1745966000,82094000,38285000,1625587000,17059298000,21046082000,2073703000,93728000,268085000,1711890000,97165000,265039000,251430000,2435907000,9143833000,725459000,179778000,545681000,9869292000,12305199000,6450083000,2938628000,-6696000,7144063000,1596820000,8740883000,21046082000,611038000,253922000,77771000,-208436000,734295000,-366919000,417000,417000,-367336000,-367336000,-367251000,-624950000,6138000,6138000,4335000,-1445089000,-1078045000,-1078045000,-21809000,-1099854000,980360000,9240998000,460670000,0.49695,0.24121,0.16998,0.05857,0.02432,0.89988,1.63667,1.40778,0.43908,0.64156,0.6408,3.77427,8.95319,0.57733,6,0.07177,0.02463,6.97145,9.40828
"22","2015_Q3",39.48234375,"Down",2921421000,-1492286000,1429135000,-737267000,-315602000,-2348000,-248592000,-134669000,691868000,-61890000,-61739000,-151000.000000002,629978000,-2558000,627420000,-45929000,581491000,581491000,-112318000,469173000,469173000,2818680000,2818680000,1342146000,1342146000,39820000,117964000,110844000,7120000,4318610000,15525414000,1764185000,78845000,46613000,1638727000,17289599000,21608209000,2291044000,93621000,216939000,1980484000,98227000,302063000,288289000,2691334000,9720134000,727982000,180514000,547468000,10448116000,13139450000,6458535000,2889392000,26403000,7071384000,1397375000,8468759000,21608209000,581491000,248592000,71183000,-54028000,847238000,-351681000,222000,222000,-351903000,-351903000,-351898000,514618000,-63054000,1940000,-13838000,-84337000,411003000,411003000,1212000,412215000,940460000,9818361000,580680000,0.48919,0.23683,0.1606,0.0554,0.02171,1.23767,1.60464,1.55152,0.45438,0.58814,0.5875,3.66222,8.8645,0.72793,5,0.05213,0.03054,7.44283,10.11708
"23","2015_Q4",36.15015625,"Down",2893683000,-1431916000,1461767000,-721989000,-314117000,-3147000,-247698000,-124270000,739778000,-48529000,-64804000,16275000,691249000,-709000,690540000,-72347000,618193000,618193000,-98835000,519358000,519358000,1855466000,1855466000,1315191000,1315191000,39755000,118811000,111297000,7514000,3329223000,15510104000,1663563000,74869000,29992000,1558702000,17173667000,20502890000,1923349000,96027000,174687000,1652635000,94672000,346619000,331850000,2364640000,9034271000,717628000,176076000,541552000,9751899000,12116539000,6469732000,2891109000,-86340000,6891529000,1494822000,8386351000,20502890000,618193000,247698000,63527000,-70465000,858953000,-393544000,184000,184000,-393728000,-393728000,-393936000,-504094000,-68193000,5231000,103000,-1403880000,-938863000,-938863000,-24351000,-963214000,987476000,9128943000,595814000,0.50516,0.25565,0.17948,0.06193,0.02533,1.14721,1.40792,1.44479,0.44525,0.65201,0.65137,3.63279,8.65177,0.748,6,0.0741,0.03268,7.36573,9.83197
"24","2016_Q1",36.9518032786885,"Up",2861274000,-1400794000,1460480000,-742564000,-312803000,-2972000,-248788000,-148164000,717916000,-64169000,-63580000,-589000,653747000,-16410000,637337000,-62059000,575278000,575278000,-109732000,465546000,465546000,2.179e+09,2.179e+09,1.268e+09,1.268e+09,4.3e+07,1.19e+08,1.11e+08,8e+06,3.609e+09,1.5732e+10,1.522e+09,7.1e+07,2.4e+07,1.427e+09,1.7254e+10,2.0863e+10,2.005e+09,1.11e+08,1.98e+08,1.696e+09,9.5e+07,3.64e+08,3.64e+08,2.464e+09,9.249e+09,7.32e+08,2.02e+08,5.3e+08,9.981e+09,1.2445e+10,6.486e+09,2.84e+09,-6.6e+07,6.817e+09,1.601e+09,8.418e+09,2.0863e+10,575278000,248788000,102519000,91929000,1018514000,-414856000,1177000,1177000,-416033000,-416033000,-414915000,305426000,-62891000,3691000,-2600000,-282694000,320905000,320905000,2948000,323853000,966704000,9.344e+09,705836000,0.51043,0.25091,0.16271,0.0553,0.02231,1.51615,1.46469,1.47838,0.44787,0.58563,0.58515,3.59934,8.57545,0.88791,5,0.05343,0.03817,7.41178,9.98028
