"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"16","2018_Q2",53.140625,"Up",129791000,-39056000,90735000,-124350000,-87265000,-37085000,-33615000,1e+06,1e+06,-32615000,-32615000,3290000,-29325000,-29325000,-29325000,-29325000,737980000,609229000,128751000,52738000,52738000,46422000,29412000,837140000,6.1e+07,121754000,92629000,66316000,26313000,275383000,1112523000,77361000,6586000,70775000,183936000,183936000,261297000,10620000,10620000,450573000,711870000,831783000,-427368000,-3762000,400653000,400653000,1112523000,-29325000,9865000,32468000,3234000,16242000,-6808000,-16076000,-2344000,-25228000,11289000,11289000,-734000,508678000,499692000,499692000,-35000,499657000,-23750000,439953000,-30614000,0.69909,-0.25899,-0.22594,-0.07319,-0.02636,1.04396,3.20379,1.77677,0.39546,-0.28281,-0.28281,1.2517,3.86388,-0.29524,-0.03445,-0.03596,12.54851,8.86589
"17","2018_Q3",63.8349206349206,"Up",141882000,-44160000,97722000,-131318000,-93695000,-37623000,-33596000,-2437000,-2437000,-36033000,-36033000,1667000,-34366000,-34366000,-34366000,-34366000,684255000,492752000,191503000,69419000,69419000,50505000,31170000,804179000,69426000,188770000,96710000,65647000,31063000,354906000,1159085000,87322000,14229000,73093000,206456000,206456000,293778000,14381000,14381000,460441000,754219000,872399000,-461734000,-5799000,404866000,404866000,1159085000,-34366000,8798000,41146000,8118000,23696000,-13228000,-129507000,-1817000,-144552000,8407000,8407000,-3128000,4709000,-116147000,-116147000,-1000,-116148000,-24798000,446060000,-31575000,0.68876,-0.23679,-0.24222,-0.08488,-0.02965,0.91879,2.73737,1.86289,0.38484,-0.3273,-0.3273,1.35126,3.85587,-0.30071,-0.03972,-0.03649,9.60541,7.08998
"18","2018_Q4",57.5884126984127,"Down",154828000,-46991000,107837000,-142037000,-101627000,-40410000,-34200000,-2278000,-2278000,-36478000,-36478000,2334000,-34144000,-34144000,-34144000,-34144000,450756000,157158000,293598000,82935000,82935000,55470000,34287000,589161000,72335000,360350000,182218000,148886000,33332000,614903000,1204064000,107127000,29270000,77857000,222936000,222936000,330063000,17149000,17149000,469224000,799287000,906452000,-495878000,-5797000,404777000,404777000,1204064000,-34144000,8530000,43621000,-2263000,15744000,-7096000,-273249000,-1389000,-361097000,9557000,9557000,54999.9999999963,9557999.99999994,-335795000,-335795000,-19000,-335814000,-25670000,452075000,-37363000,0.6965,-0.22089,-0.22053,-0.08435,-0.02836,1.09428,1.785,1.97464,0.37546,-0.32168,-0.32168,1.45867,3.81351,-0.35201,-0.03907,-0.04275,-0.05138,-0.0385700000000009
"19","2019_Q1",73.395737704918,"Up",172245000,-51048000,121197000,-157714000,-112572000,-45142000,-36517000,-1548000,-1548000,-38065000,-38065000,4816000,-33249000,-33249000,-33249000,-33249000,426731000,126518000,300213000,85280000,85280000,60585000,35873000,572596000,75654000,393671000,195958000,146327000,49631000,665283000,1237879000,97520000,16820000,80700000,245243000,245243000,342763000,20019000,20019000,478195000,820958000,951773000,-529128000,-5724000,416921000,416921000,1237879000,-33249000,9327000,31382000,15478000,22938000,-8191000,-49153000,-1455000,-58799000,8337000,8337000,-66159000,6118000,-29743000,-29743000,36000,-29707000,-27190000,458176000,-24719000,0.70363,-0.21201,-0.19303,-0.07975,-0.02686,0.74345,1.67053,1.9691,0.37013,-0.30949,-0.30949,1.60328,3.88075,-0.23009,-0.03714,-0.02762,-1.15649,-0.86111
"20","2019_Q2",85.9434920634921,"Up",181484000,-55654000,125830000,-169744000,-122953000,-46791000,-43914000,-372000,-372000,-44286000,-44286000,-434000,-44720000,-44720000,-44720000,-44720000,444359000,142418000,301941000,90465000,90465000,65511000,38629000,600335000,75619000,401079000,295645000,144069000,151576000,772343000,1372678000,112569000,29458000,83111000,257731000,257731000,389702000,99667000,99667000,564031000,953733000,995123000,-573848000,-2330000,418945000,418945000,1372678000,-44720000,8732000,50157000,4800000,18969000,-9258000,-6315000,-1713000,-17285999.9999999,16852000,16852000,-2415999.99999999,14436000,16119000.0000001,16119000.0000001,33000,16152000,-35182000,483766000,-39206000,0.69334,-0.24197,-0.24641,-0.10674,-0.03258,0.8767,1.5405,2.27651,0.35242,-0.41167,-0.41167,1.67066,3.85662,-0.36091,-0.04461,-0.03911,-1.12009,-0.89737
"21","2019_Q3",82.3875,"Down",194584000,-57670000,136914000,-188275000,-137765000,-50510000,-51361000,-2590000,-2590000,-53951000,-53951000,-590000,-54541000,-54541000,-54541000,-54541000,427148000,171218000,255930000,105806000,105806000,75956000,45697000,608910000,87520000,371245000,371322000,212436000,158886000,830087000,1438997000,127440000,38887000,88553000,309336000,309336000,907417000,104603000,104603000,104603000,1012020000,1054594000,-628389000,772000,426977000,426977000,1438997000,-54541000,8969000,58102000,5328000,17858000,-4896000,78900000,-1753000,1457000,11668000,11668000,-2663000,9005000,28320000,28320000,33000,28353000,-42392000,470641000,-41370000,0.70362,-0.26395,-0.2803,-0.12774,-0.0379,0.75851,0.67104,2.3702,0.32706,-0.49585,-0.49585,1.76904,3.88182,-0.37611,-0.05442,-0.04128,-1.02597,-0.84681
"22","2019_Q4",73.2309375,"Down",210477000,-59210000,151267000,-186695000,-132167000,-54528000,-35428000,840999.999999999,841000.000000001,-34587000,-34587000,363000,-34224000,-34224000,-34224000,-34224000,434738000,190892000,243846000,101440000,101440000,80530000,48124000,616708000,94851000,384527000,363372000,209516000,153856000,842750000,1459458000,138281000,43206000,95075000,311683000,311683000,449964000,95298000,95298000,572305000,1022269000,1100849000,-662613000,-1047000,437189000,437189000,1459458000,-34224000,10091000,53571000,-9215000,20223000,-11474000,-488000,-2041000,-14003000,16514000,16514000,-2323000,14191000,20411000,20411000,19000,20430000,-25337000,477007000,-46389000,0.71869,-0.16832,-0.1626,-0.07828,-0.02345,1.35545,1.37057,2.33828,0.32684,-0.30754,-0.30754,1.89137,3.92862,-0.41686,-0.0339,-0.04595,-1.66827,-1.1931
"23","2020_Q1",78.04,"Up",229871000,-61748000,168123000,-200424000,-144705000,-55719000,-32301000,-3178000,-3178000,-35479000,-35479000,-689000,-36168000,-36168000,-36168000,-36168000,483549000,196591000,286958000,127808000,127808000,81466000,45847000,692823000,102090000,361948000,357728000,206883000,150845000,821766000,1514589000,136235000,38376000,97859000,342446000,342446000,478681000,94460000,94460000,577924000,1056605000,1156174000,-698781000,591000,457984000,457984000,1514589000,-36168000,10810000,53044000,4525000,32211000,-13512000,-20949000,-2334000,-36920000,12951000,12951000,-2172000,10779000,6070000,6070000,16000,6086000,-21491000,483464000,-29789000,0.73138,-0.14052,-0.15734,-0.07897,-0.02388,0.82363,1.44736,2.30708,0.3192,-0.32144,-0.32144,2.04299,4.07035,-0.26475,-0.03491,-0.02876,0.00396,0.00263
"24","2020_Q2",76.9814285714286,"Down",237475000,-59702000,177773000,-219057000,-158636000,-60421000,-41284000,17000.0000000019,17000,-41267000,-41267000,-1516000,-42783000,-42783000,-42783000,-42783000,468095000,199092000,269003000,101027000,101027000,8.4e+07,45785000,653122000,103017000,369091000,363560000,204093000,159467000,835668000,1488790000,130852000,26227000,104625000,322655000,322655000,453507000,95326000,95326000,585340000,1038847000,1201660000,-741565000,-10152000,449943000,449943000,1488790000,-42783000,11240000,60657000,-31723000,-2609000,-9938000,6085000,-3058000,-6911000,14116000,14116000,-1897000,12219000,2699000.00000003,2699000.00000003,16000,2715000,-30044000,490014000,-70189000,0.7486,-0.17385,-0.18016,-0.09509,-0.02874,1.64058,1.44016,2.30884,0.32914,-0.37682,-0.37682,2.09159,3.96293,-0.6182,-0.04132,-0.0678,-0.72956,-0.53093
"25","2020_Q3",93.53609375,"Up",246665000,-61515000,185150000,-216647000,-157644000,-59003000,-31497000,-31872000,-5922000,-63369000,-63369000,-1288000,-64657000,-64657000,-64657000,-64657000,997286000,700457000,296829000,143017000,143017000,91149000,50210000,1231452000,102601000,303861000,358104000,201804000,156300000,764566000,1996018000,113967000,13793000,100174000,337488000,337488000,451455000,90889000,90889000,1134254000,1585709000,1213620000,-806145000,2834000,410309000,410309000,1996018000,-64657000,10749000,52368000,-49171000,-50711000,-5622000,45660000,-3225000,36813000,13903000,13903000,-628124000,515379000,501481000,501481000,15000,501496000,-20748000,1043365000,-74253000,0.75061,-0.12769,-0.26212,-0.15758,-0.03239,1.14841,2.72774,3.86467,0.52272,-0.5642,-0.5642,2.1524,3.58036,-0.64793,-0.04186,-0.04807,-2.22089,-1.46296
"26","2020_Q4",123.96046875,"Up",261926000,-62819000,199107000,-227431000,-162589000,-64842000,-28324000,-10405000,-10405000,-38729000,-38729000,-1973000,-40702000,-40702000,-40702000,-40702000,9.43e+08,383318000,559682000,151160000,151160000,94769000,50047000,1188929000,102098000,407141000,356071000,199607000,156464000,865310000,2054239000,133136000,10237000,122899000,347066000,347066000,610817000,88296000,88296000,1013303000,1624120000,1274406000,-846847000,2560000,430119000,430119000,2054239000,-40702000,10613000,71100000,-7620000,33391000,-3929000,-367630000,-3041000,-374600000,25485000,25485000,-1989000.00000012,22885999.9999999,-318323000,-318323000,206000,-318117000,-17711000,1055622000,-27287000,0.76017,-0.10814,-0.1554,-0.09463,-0.01981,0.67041,1.94646,3.77598,0.51387,-0.35142,-0.35142,2.26147,3.71365,-0.2356,-0.02586,-0.01734,-6.35887,-3.9762
"27","2021_Q1",143.270163934426,"Up",283498000,-67219000,216279000,-271073000,-199939000,-71134000,-54794000,-14258000,-14258000,-69052000,-69052000,-984000,-70036000,-70036000,-70036000,-70036000,971023000,405430000,565593000,199243000,199243000,105707000,53829000,1275973000,94208000,428678000,358420000,196218000,162202000,881306000,2157279000,157786000,15428000,142358000,402468000,402468000,692642000,97230000,97230000,1032806000,1725448000,1345511000,-916883000,3203000,431831000,431831000,2157279000,-70036000,9645000,100119000,6629000,46357000,-3388000,-29498000,-4745000,-37631000,16073000,16073000,-2720000,13333000,22059000,22059000,-191000,21868000,-45149000,1067964000,-40924000,0.76289,-0.19328,-0.24704,-0.16218,-0.03246,0.58433,1.84218,3.99566,0.49505,-0.59859,-0.59859,2.42304,3.69083,-0.34977,-0.04385,-0.02563,-2.14714,-1.76919
"28","2021_Q2",141.218571428571,"Down",298048000,-60894000,237154000,-274434000,-200651000,-73783000,-37280000,-9331000,-9331000,-46611000,-46611000,-2354000,-48965000,-48965000,-48965000,-48965000,954356000,378363000,575993000,178156000,178156000,106148000,50642000,1238660000,94611000,485285000,356552000,194357000,162195000,936448000,2175108000,157147000,21282000,135865000,418191000,418191000,709525000,89038000,89038000,1035340000,1744865000,1400197000,-965625000,-4329000,430243000,430243000,2175108000,-48965000,9515000,81859000,-8814000,33595000,-3061000,-70147000,-4468000,-77676000,19115000,19115000,-2799999.99999997,16315000,-27766000,-27766000,-8000,-27774000.0000001,-27765000,1080489000,-37286000,0.79569,-0.12508,-0.16429,-0.11381,-0.02251,0.76148,1.74576,4.05553,0.49675,-0.41527,-0.41527,2.52772,3.64885,-0.31622,-0.03061,-0.02331,-4.54288,-3.3834
"29","2021_Q3",129.19390625,"Down",318216000,-66743000,251473000,-293894000,-211068000,-82826000,-42421000,-13631000,-13631000,-56052000,-56052000,-2355000,-58407000,-58407000,-58407000,-58407000,938372000,422810000,515562000,205784000,205784000,111738000,49096000,1255894000,93640000,540294000,359234000,192579000,166655000,993168000,2249062000,153236000,21007000,132229000,459081000,459081000,748328000,79435000,79435000,1036607000,1784935000,1493314000,-1023971000,-5216000,464127000,464127000,2249062000,-58407000,9108000,87988000,-11811000,26878000,-2896000,2966000,-3070000,-3e+06,22798000,22798000,-3502000,19296000,43174000,43174000,-11000,43163000,-33313000,1093183000,-45665000,0.79026,-0.13331,-0.18355,-0.12584,-0.02597,0.78184,1.67827,3.84579,0.48606,-0.49534,-0.49534,2.69876,3.93622,-0.38728,-0.03568,-0.0279,-4.64716,-3.6494
