"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","change_in_accounts_receivable","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2020_Q1",2.4808064516129,"Down",12448000,-3536000,8912000,-23544000,-17673000,-5587000,-12086000,-4526000,-14632000,95000,95000,-14537000,-14537000,-347000,-14884000,-14884000,-14884000,-14884000,44065000,44065000,21352000,21352000,15695000,5409000,10286000,81112000,3214000,24200000,1170000,27414000,108526000,50656000,17014000,33642000,9080000,9080000,59736000,61115000,279854000,-232489000,47411000,47411000,108526000,-14884000,1610000,4947000,-3677000,7583000,-6436000,-4824000,-12004000,872000,872000,-11000,6591000,6591000,6591000,-5424000,-5424000,-5424000,-13022000,0,-15480000,0.71594,-1.17545,-1.19569,-0.31394,-0.13715,1.04004,1.35784,1.28905,0,-0.60642,-0.60642,0.50717,1.93168,-0.6307,-0.30506,-0.31728,3.38389,3.01155
"12","2020_Q2",8.39984126984127,"Up",11904000,-3250000,8654000,-21466000,-16472000,-4929000,-11543000,-3646000,-12812000,131000,131000,-12681000,-12681000,-3000,-12684000,-12684000,-12684000,-12684000,49165000,49165000,21907000,21907000,9326000,4486000,4840000,80398000,2967000,22852000,1170000,25819000,106217000,42468000,16233000,26235000,20140000,20140000,62608000,63945000,287395000,-245173000,42272000,42272000,106217000,-12684000,1604000,4454000,8129000,-555000.000000002,-763000.000000002,9447000,1503000,-9000,-8999.99999999988,-9000,3606000,3606000,3606000,5100000,5100000,5100000,-11208000,0,-3085000,0.72698,-1.07628,-1.06552,-0.30006,-0.11942,0.24322,1.28415,1.5127,3.3881317890172e-21,-0.47376,-0.47376,0.44462,1.57889,-0.11523,-0.29086,-0.0707399999999999,4.3866,3.83742
"13","2020_Q3",10.53171875,"Up",13268000,-3763000,9505000,-21061000,-16275000,-4932000,-11343000,-3440000,-11556000,-235000,-235000,-11791000,-11791000,-2000,-11793000,-11793000,-11793000,-11793000,50081000,50081000,24535000,24535000,8456000,5279000,3177000,83072000,2732000,21483000,1147000,24215000,107287000,61459000,20498000,40961000,4461000,4461000,65920000,67207000,296995000,-256966000,40080000,40080000,107287000,-11793000,1602000,4648000,1263000,-2898000,4247000,-86000,-4280000,35000,-21000,35000,5161000,5161000,5161000,916000,916000,916000,-9954000,0,-8654000,0.71639,-0.87097,-0.88883,-0.29424,-0.10992,0.73383,1.26019,1.67682,0,-0.43489,-0.43489,0.48928,1.47802,-0.31913,-0.28508,-0.2092,5.03124,4.33377
"14","2020_Q4",17.304375,"Up",15718000,-4553000,11165000,-22138000,-17205000,-5255000,-11950000,-3587000,-10973000,-4000,-4000,-10977000,-10977000,-36000,-11013000,-11013000,-11013000,-11013000,54315000,54315000,17470000,17470000,25224000,5116000,20108000,97009000,2499000,20074000,1084000,22573000,119582000,70137000,21268000,48869000,13767000,13767000,83904000,85155000,302349000,-267979000,34427000,34427000,119582000,-11013000,1610000,5189000,8273000,6988000,770000,515000.000000002,4059000,-31000,-31000,-31000,-1894000,-1894000,206000,4234000,4234000,4234000,-9363000,0,-1085000,0.71033,-0.69812,-0.70066,-0.31989,-0.0921,0.0985199999999999,1.15619,2.47349,-5.42101086242752e-20,-0.39905,-0.39905,0.56953,1.24744,-0.0393100000000001,-0.30868,-0.03041,5.80103,4.94988
"15","2021_Q1",35.6619672131148,"Up",16818000,-4097000,12721000,-25053000,-20005000,-4761000,-15244000,-3706000,-12332000,-19000,-19000,-12351000,-12351000,-35000,-12386000,-12386000,-12386000,-12386000,114817000,114817000,16666000,16666000,25084000,6719000,18365000,156567000,2354000,18733000,1085000,21087000,177654000,81752000,15632000,66120000,6496000,6496000,88248000,89444000,368509000,-280365000,88210000,88210000,177654000,-12386000,1591000,5651000,5295000,858000,-5636000,10073000,151000,-114000,-114000,-114000,62565000,62565000,60465000,60502000,60502000,60502000,-10741000,0,-5525000,0.75639,-0.73326,-0.73647,-0.14041,-0.06972,0.44607,1.77417,1.01399,0,-0.42871,-0.42871,0.58212,3.0532,-0.19124,-0.13854,-0.0618,10.6896,9.31049
"16","2021_Q2",21.7055555555556,"Down",18295000,-4823000,13472000,-44008000,-37970000,-6427000,-31543000,-4960000,-30536000,-9000.00000000001,-9000.00000000001,-30545000,-30545000,-22000,-30567000,-30567000,-30567000,-30567000,127459000,127459000,24100000,24100000,21349000,5220000,16129000,172908000,385000,17654000,1084000,18039000,190947000,94720000,19186000,75534000,8321000,8321000,103041000,105154000,396652000,-310932000,85793000,85793000,190947000,-30567000,1253000,24720000,10803000,-7439000,3554000,14688000,6209000,-1e+05,-1e+05,-1e+05,6532999.99999999,6532999.99999999,6532999.99999999,12642000,12642000,12642000,-29283000,4.65661287307739e-10,-18558000,0.73638,-1.66909,-1.67078,-0.35629,-0.16008,0.60713,1.67805,1.22567,0,-0.95011,-0.95011,0.56866,2.66669,-0.57684,-0.34772,-0.21111,4.35266,4.17406
"17","2021_Q3",20.3959375,"Down",19206000,-5231000,13975000,-26622000,-20897000,-5253000,-15644000,-4646000,-12647000,-13000,-13000,-12660000,-12660000,-55000,-12715000,-12715000,-12715000,-12715000,120627000,120627000,19518000,19518000,29727000,8944000,20783000,169872000,479000,16576000,1085000,17055000,186927000,97073000,16174000,80899000,7638000,7638000,104711000,106700000,403801000,-323647000,80227000,80227000,186927000,-12715000,1157000,6609000,-2251000,4582000,-3012000,-3821000,-7200000,-172000,-172000,-172000,540000,540000,540000,-6832000,-6832000,-6832000,-11490000,0,-13858000,0.72764,-0.65849,-0.66203,-0.15849,-0.06802,1.08989,1.62229,1.32998,0,-0.39522,-0.39522,0.59698,2.49369,-0.43075,-0.15465,-0.16856,10.49843,9.53799
"18","2021_Q4",25.66765625,"Up",22655000,-5808000,16847000,-27927000,-20990000,-5767625.85418654,-15322420.9099312,-5254000,-11080000,-15000,-15000,-11095000,-11095000,-396000,-11491000,-11491000,-11491000,-11491000,72645000,72645000,57903000,57903000,35919000,10683000,25236000,166467000,1178000,123551000,2648000,124729000,291196000,145404000,33102000,112302000,27709000,27709000,173113000,183530000,442905000,-335091000,107666000,107666000,291196000,-11491000,1779000,5584000,1591000,15173411.6886462,-8864930.30306019,-6376120.99286152,-2537000,-176000,-227446.767105967,-47778000,2333000,2333000,2332999.99999999,-47982000,-47982000,-47982000,-9301000,7.45058059692383e-09,-7490000,0.74363,-0.48908,-0.50722,-0.10673,-0.03946,0.65181,0.96161,1.70462,-1.38777878078145e-17,-0.34474,-0.34474,0.67966,3.23004,-0.2247,-0.09731,-0.06343,7.81045,6.55641
"19","2022_Q1",17.2070967741935,"Down",55149000,-6267000,48882000,-61868000,-46996000,-8270389.17993689,-27788086.0335926,-10215000,-12986000,-563000,-563000,-13549000,-13549000,-2271000,-15820000,-15820000,-15820000,-15820000,254722000,254722000,85063000,85063000,39297000,12117000,27180000,379082000,1556000,137709000,1809000,139265000,518347000,160727000,46711000,114016000,30614000,30614000,191341000,431847000,431641000,-345037000,86500000,86500000,518347000,-15820000,4846000,24754000,-3018000,19180007.4382294,-9573610.19285648,3471613.91363358,10762000,-568000,-358447.942703797,-5793000,778000,778000,177108000,182077000,182077000,182077000,-8140000,195082000,-9455000,0.88636,-0.23547,-0.28686,-0.18289,-0.03052,0.59766,1.98119,4.99245,0.37635,-0.47461,-0.47461,1.6545,2.59505,-0.28366,-0.04838,-0.02891,7.32678,4.59264
"20","2022_Q2",10.0854838709677,"Down",34407000,-6923000,27484000,-54562000,-39986000,-11069000,-28917000,-9883000,-27078000,-1186000,-1186000,-28264000,-28264000,-177000,-28441000,-28441000,-28441000,-28441000,237553000,237553000,66975000,66975000,32212000,12519000,19693000,336740000,2137000,130127000,6934000,132264000,469004000,157665000,38345000,119320000,8102000,8102000,165767000,413004000,435990000,-380076000,5.6e+07,5.6e+07,469004000,-28441000,4891000,16555000,17129000,18982000,-8384000,6531000,10134000,-735000,-735000,-4053999.99999999,569000,569000,-23248000,-17168000,-17168000,-17168000,-22187000,195381000,-5616000,0.79879,-0.78699,-0.82661,-0.50788,-0.06064,0.19746,2.03141,7.37507,0.41659,-0.81453,-0.81453,0.9854,1.60381,-0.16084,-0.09379,-0.01852,1.90075,1.55743
"21","2022_Q3",7.02765625,"Down",34235000,-6705000,27530000,-24885000,-8284000,-12576000,4292000,-11068000,2645000,-1231000,-1231000,1414000,1414000,1645000,3059000,3059000,3059000,3059000,220463000,220463000,50134000,50134000,32340000,14365000,17975000,302937000,3400000,145616000,10459000,149016000,451953000,136745000,30213000,106532000,33657000,33657000,170402000,381732000,440845000,-371096000,70221000,70221000,451953000,3059000,6310000,-16647000,-7141000,16563000,-8138000,-15566000,-14419000,-1523000,-1523000,-816000,213000,213000,-1855000,-17090000,-17090000,-17090000,8955000,195681000,-1354000,0.80415,0.07726,0.08935,0.04356,0.00677,-0.44263,1.77778,5.43615,0.43297,0.08478,0.08478,0.94877,1.94607,-0.03752,0.01086,-0.00481,-2.76739,-9.36938
