"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_compensation","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",10.856875,"Up",96479000,-24445000,72034000,-65092000,-65092000,6942000,330000,330000,7272000,7272000,-2408000,4864000,4864000,4864000,4864000,85146000,83036000,10014000,10014000,41342000,11560000,6470000,148062000,29126000,19003000,11542000,6496000,48129000,196191000,54098000,5144000,1451000,47503000,3571000,3571000,61031000,12033000,4292000,1235000,3057000,16325000,77356000,79072000,52191000,-12428000,118835000,118835000,196191000,4864000,1088000,978000,893000,7823000,-1157000,-1240000,633000,-1784000,4799000,4799000,-1004000,3795000,8030000,15395000,10174000,0.74663,0.07195,0.05042,0.04093,0.02479,2.09169,2.42601,0.65095,0.07847,0.30742,0.30484,6.09778,7.51074,0.64303,0.04654,0.07345,-8.6863,-10.04768
"12","2013_Q3",13.6271875,"Up",93675000,-22630000,71045000,-63234000,-63234000,7811000,1482000,1482000,9293000,9293000,-3241000,6052000,6052000,6052000,6052000,89313000,87295000,9104000,9104000,41674000,11611000,6378000,151702000,29306000,18685000,11385000,6372000,47991000,199693000,54636000,5044000,2349000,47243000,3410000,3410000,61417000,11655000,3849000,1151000,2698000,15504000,76921000,80578000,56656000,-14462000,122772000,122772000,199693000,6052000,1093000,-404000,722000,7463000,-1129000,-1121000,723000,-1421000,4921000,4921000,-662000,4259000,8904000,15026000,11738000,0.75842,0.08338,0.06461,0.04929,0.03031,1.93952,2.47003,0.62654,0.07525,0.38068,0.37353,5.89225,7.72248,0.73833,0.05393,0.08287,-8.3431,-9.51056
"13","2013_Q4",14.255625,"Up",92458000,-23655000,68803000,-62090000,-62090000,6713000,-269000,-269000,6444000,6444000,-1594000,4850000,4850000,4850000,4850000,78703000,76623000,10908000,10908000,43643000,12148000,6864000,145402000,30456000,19229000,11487000,6851000,49685000,195087000,58200000,7209000,2174000,48817000,3820000,3820000,65130000,21486000,3644000,1109000,2535000,25130000,90260000,82246000,35879000,-13298000,104827000,104827000,195087000,4850000,1098000,1217000,-422000,6743000,-2071000,-2174000,999000,-15746000,-11177000,-11177000,505000,-10672000,7811000,24596000,6912000,0.74415,0.07261,0.05246,0.04627,0.02486,1.42515,2.23249,0.86104,0.12608,0.3018,0.2883,5.75345,6.52315,0.43012,0.22903,0.05194,-6.92703,-8.06003
"14","2014_Q1",12.2537704918033,"Down",87214000,-21614000,65600000,-63483000,-63483000,2117000,450000,450000,2567000,2567000,-680000,1887000,1843000,1843000,1843000,79253000,77247000,10206000,10206000,41910000,17225000,11514000,148594000,32993000,18025000,9928000,7244000,51018000,199612000,62129000,5664000,2366000,54099000,4173000,4173000,68569000,22402000,3382000,971000,2411000,25784000,94353000,83122000,36100000,-13963000,105259000,105259000,199612000,1843000,1187000,1186000,3133000,7349000,-3965000,-4029000,-4248000,-2380000,940000,940000,-316000,624000,3304000,24669000,3152000,0.75217,0.02427,0.02113,0.01751,0.00923,1.71026,2.16707,0.89639,0.12358,0.11378,0.11116,5.38424,6.49827,0.19459,0.02599,0.02364,-16.52058,-25.78366
"15","2014_Q2",11.2203174603175,"Down",93467000,-22581000,70886000,-64045000,-64045000,6841000,-262000,-262000,6579000,6579000,3657000,10236000,9665000,9665000,9665000,73479000,71467000,11498000,11498000,41106000,19028000,13533000,145111000,36287000,22285000,13967000,7502000,58572000,203683000,57680000,5174000,1432000,51074000,4231000,4231000,63331000,22349000,3422000,1004000,2418000,25771000,89102000,84216000,44147000,-13782000,114581000,114581000,203683000,9665000,1237000,-1696000,-8716000,490000,-4614000,-4587000,-2839846.49602017,-847000,-4944000,-4944000,-836000,-5780000,8078000,23769000,-8909000,0.75841,0.07319,0.10341,0.08435,0.04745,-0.92178,2.29131,0.77763,0.1167,0.59738,0.5816,5.77706,7.08208,-0.55065,0.06817,-0.06284,-6.15375,-7.26648
"16","2014_Q3",12.85703125,"Up",92831000,-22793000,70038000,-64211000,-64211000,5827000,-79000,-79000,5748000,5748000,-2198000,3550000,3234000,3234000,3234000,70579000,68555000,9010000,9010000,40477000,19373000,5330000,139439000,42088000,23652000,13930000,8943000,65740000,205179000,55784000,5800000,1575000,48409000,3745000,3745000,60101000,23223000,3660000,1022000,2638000,26883000,86984000,85414000,45762000,-12981000,118195000,118195000,205179000,3234000,1138000,1413000,1863000,7648000,-6951000,-6945000,209999.999999996,-3875000,-3172000,-3172000,260000,-2912000,6965000,23795000,4075000,0.75447,0.06277,0.03484,0.02736,0.01576,1.26005,2.32008,0.73594,0.11597,0.19979,0.20005,5.73491,7.30185,0.25175,0.04443,0.02798,-6.71701,-8.02883
"17","2014_Q4",12.92515625,"Up",93406000,-22742000,70664000,-65118000,-65118000,5546000,-42000,-42000,5504000,5504000,-407000,5097000,991000,1017000,1017000,72276000,70456000,9184000,9184000,41406000,16672000,5177000,139538000,46385000,23203000,13848000,8613000,69588000,209126000,55881000,4834000,1668000,49379000,4121000,4121000,60002000,8852000,3669000,1012000,2657000,12521000,72523000,130078000,16659000,-14108000,132629000,136603000,209126000,991000,1135000,5196000,-1919000,5403000,-8401000,-8205000,-2504000,7020000,4218000,4218000,-2317000,1901000,6681000,8852000,-3232000,0.75653,0.05938,0.01089,0.00744,0.00486,-3.17797,2.32556,0.5309,0.04233,0.05871,0.05521,5.39202,7.65624,-0.18657,0.2088,-0.02167,-9.49319,-11.43599
"18","2015_Q1",12.0004918032787,"Down",86663000,-23468000,63195000,-62361000,-62361000,834000,349000,349000,1183000,1183000,-309000,874000,-4090000,-3897000,-3897000,61245000,58699000,6732000,6732000,40438000,12834000,7884000,121249000,52381000,23169000,14495000,7970000,75550000,196799000,53192000,5237000,2131000,45824000,4717000,4717000,57909000,6598000,3335000,1038000,2297000,9933000,67842000,125489000,10891000,-11204000,125176000,128957000,196799000,-4090000,899000,1538000,2294000,641000,-6234000,-6937000,-4389000,-7374000,-13670000,-13670000,1913000,-11757000,1733000,6598000,-1898000,0.7292,0.00962,-0.04497,-0.03022,-0.0198,0.487040000000001,2.09379,0.52608,0.03353,-0.20792,-0.20129,4.62375,6.67855,-0.10126,-0.01459,-0.01367,-31.53318,-65.52398
"19","2015_Q2",11.4442857142857,"Down",83878000,-21881000,61997000,-56667000,-56667000,5330000,-318000,-318000,5012000,5012000,-809000,4203000,5515000,5667000,5667000,52634000,50065000,8086000,8086000,41928000,14554000,9653000,117202000,58057000,23038000,14509000,7862000,81095000,198297000,50683000,8297000,1908000,40478000,4256000,4256000,55287000,6776000,3452000,1118000,2334000,10228000,65515000,125663000,14693000,-11203000,129153000,132782000,198297000,5515000,996000,383000,-7820000,-926000,-4707000,-4722000,-1217000,-2682000,-8330000,-8330000,-304000,-8634000,6326000,7124000,-5392000,0.73913,0.06354,0.06756,0.04268,0.02858,-0.95147,2.11988,0.4934,0.03593,0.30433,0.29528,4.50448,6.93588,-0.28957,0.05254,-0.03761,-7.19412,-8.53846
"20","2015_Q3",11.11828125,"Down",81247000,-21068000,60179000,-56995000,-56995000,3184000,-2000,-2000,3182000,3182000,-787000,2395000,2395000,2561000,2561000,47998000,46217000,6946000,6946000,40537000,16870000,11850000,112351000,63380000,23057000,14722000,7705000,86437000,198788000,50053000,5912000,1039000,43102000,3990000,3990000,54043000,7058000,3481000,1131000,2350000,10539000,64582000,126979000,15379000,-11615000,130743000,134206000,198788000,2395000,1156000,728000,-224000,4055000,-6991000,-6166000,910000,-1365000,-3476000,-3476000,-372000,-3848000,4340000,7058000,-2088000,0.74069,0.03919,0.03152,0.01908,0.01288,-0.81531,2.07892,0.48122,0.03551,0.13681,0.13308,4.34012,6.98413,-0.11154,0.03065,-0.01443,-9.43318,-12.85804
"21","2015_Q4",10.4621875,"Down",79586000,-20643000,58943000,-55805000,-55805000,3138000,-247000,-247000,2891000,2891000,-1284000,1607000,2411000,2766000,2766000,45668000,43882000,7319000,7319000,39380000,12392000,7324000,104759000,66075000,25849000,14807000,10461000,91924000,196683000,46896000,5673000,791000,40432000,3632000,3632000,51727000,6978000,3431000,992000,2439000,10409000,62136000,126155000,16265000,-10981000,131439000,134547000,196683000,2411000,1173000,2614000,-1149000,5049000,-4460000,-4460000,-2015000,-2696000,-2107000,-2107000,-228000,-2335000,4311000,8177000,-14000,0.74062,0.03943,0.03475,0.02056,0.01406,-0.00506,2.02523,0.46182,0.04157,0.14801,0.14469,4.25867,7.03334,-0.00075,0.03179,-1e-04,-8.69659,-11.94742
"22","2016_Q1",7.84819672131148,"Down",79994000,-21753000,58241000,-56021000,-56021000,2220000,-25000,-25000,2195000,2195000,1140000,3335000,3335000,3693000,3693000,43192000,41420000,7700000,7700000,38495000,12131000,7110000,101518000,69772000,29230000,17339000,11332000,99002000,200520000,46280000,6341000,1300000,38639000,4160000,4160000,53136000,7809000,3310000,1044000,2266000,11119000,64255000,126670000,18088000,-11243000,133515000,136265000,200520000,3335000,1200000,-3824000,1273000,1984000,-3241000,-3244000,-462000,-835000,-2095000,-2095000,-367000,-2462000,3420000,10505000,312000,0.72807,0.02775,0.04617,0.0271,0.01842,0.08448,1.91053,0.47154,0.05239,0.1986,0.1928,4.30191,7.18016,0.01678,0.03707,0.00208,-9.5576,-14.72387
"23","2016_Q2",8.92,"Up",82402000,-22020000,60382000,-58262000,-58262000,2120000,1559000,1559000,3679000,3679000,-1890000,1789000,1789000,2069000,2069000,48224000,46433000,8146000,8146000,41570000,12057000,7262000,109997000,70573000,29905000,17105000,12264000,100478000,210475000,48216000,8658000,1019000,38539000,6491000,6491000,62238000,7777000,3569000,1199000,2370000,11346000,73584000,127442000,18285000,-11306000,134421000,136891000,210475000,1789000,1170000,670000,-767000,2862000,-1298000,-1298000,59000,2853000,4417000,4417000,596000,5013000,3290000,15308000,3115000,0.73277,0.02573,0.02511,0.01511,0.00983,1.50556,1.76736,0.53754,0.07273,0.11068,0.10815,4.40794,7.1906,0.16663,0.0253,0.02,-10.00486,-15.52642
"24","2016_Q3",12.115625,"Up",89366000,-23078000,66288000,-62040000,-62040000,4248000,-622000,-622000,3626000,3626000,-1260000,2366000,2366000,2568000,2568000,43225000,41428000,7968000,7968000,45002000,12834000,8039000,109029000,71698000,30308000,17385000,12410000,102006000,211035000,52148000,8971000,1322000,41855000,4895000,4895000,60963000,7811000,3643000,1275000,2368000,11454000,72417000,128146000,18969000,-10765000,136350000,138618000,211035000,2366000,1226000,556000,-547000,3601000,-3294000,-3294000,0,-5495000,-5188000,-5188000,183000,-5005000,5474000,11731000,2893000,0.74176,0.04753,0.02874,0.01853,0.01217,1.12656,1.78845,0.52242,0.05559,0.13716,0.13559,4.77306,7.28249,0.15452,0.02891,0.01879,-5.75338,-7.41384
"25","2016_Q4",13.6465079365079,"Up",85441000,-21512000,63929000,-58871000,-58871000,5058000,20000,20000,5078000,5078000,-1136000,3942000,3942000,4155000,4155000,42234000,40443000,7216000,7216000,48918000,11833000,7038000,110201000,74300000,30398000,17439000,12469000,104698000,214899000,50317000,7111000,1641000,41565000,3313000,3313000,62637000,6094000,3759000,1379000,2380000,9853000,72490000,129041000,21248000,-9935000,140354000,142409000,214899000,3942000,1214000,1394000,-7951000,-1401000,-3337000,-3337000,69000,3280000,-1458000,-1458000,473000,-985000,6272000,15101000,-3880000,0.74822,0.0592,0.04863,0.02918,0.01933,-0.93381,1.75936,0.50903,0.07027,0.22159,0.21579,4.55661,7.48515,-0.20692,0.0374,-0.02406,-4.32605,-5.36437
"26","2017_Q1",10.9440322580645,"Down",83950000,-24327000,59623000,-61010000,-61010000,-1387000,-1730000,-1730000,-3117000,-3117000,-4305000,-7422000,-7422000,-6653000,-6653000,34060000,32284000,7738000,7738000,47597000,5106000,4585000,94501000,74663000,36406000,21590000,13840000,111069000,205570000,49444000,5305000,3475000,40664000,3672000,3672000,63035000,6755000,3382000,1391000,1991000,10137000,73172000,129654000,12718000,-11260000,131112000,132398000,205570000,-7422000,1198000,3388000,1191000,-1645000,-3608000,-3603000,-128000,-924000,-6172000,-6172000,-1987000,-8159000,-189000.000000001,16674000,1699000,0.71022,-0.01652,-0.07925,-0.05025,-0.03236,-0.25537,1.49918,0.55267,0.08111,-0.35471,-0.35203,4.4759,6.9904,0.09058,-0.03133,0.01114,91.98942,12.53497
"27","2017_Q2",10.7136507936508,"Down",83098000,-21728000,61370000,-59319000,-59319000,2051000,1275000,1275000,3326000,3326000,-1463000,1863000,1863000,2160000,2160000,34836000,33060000,8770000,8770000,49287000,4825000,4825000,97718000,76407000,36615000,21380000,14221000,113022000,210740000,49462000,5787000,3508000,40167000,3965000,3965000,66687000,6822000,3678000,1674000,2004000,10500000,77187000,129920000,12992000,-10348000,132564000,133553000,210740000,1863000,1451000,-299000,-2241000,774000,-2189000,-2189000,0,943000,-472000,-472000,1248000,776000,3502000,20082000,535000,0.73853,0.02468,0.02599,0.01617,0.01025,0.24769,1.46532,0.57795,0.09529,0.11462,0.11215,4.40955,7.03444,0.02839,0.02572,0.0034,-4.21302,-7.19356
"28","2017_Q3",10.7449206349206,"Up",81344000,-21197000,60147000,-60124000,-60124000,22999.9999999991,441000,441000,464000,464000,-884000,-419999.999999999,-419999.999999998,-186999.999999999,-186999.999999999,31821000,31821000,9220000,9220000,50958000,5902000,5902000,97901000,74448000,36214000,21391000,13816000,110662000,208563000,47608000,5361000,2795000,39452000,5258000,5258000,64820000,6966000,3093000,1786000,1307000,10059000,74879000,131008000,12805000,-10885000,132928000,133684000,208563000,-419999.999999998,2134000,432000.000000001,-3604000,-1458000,-423000,1353000,104000,-1202000,-1307000,-1307000,68000.0000000005,-1239000,2157000,18920000,-986000,0.73942,0.000279999999999999,-0.0023,-0.00139999999999999,-0.000900000000000007,5.27273,1.51035,0.56012,0.09072,-0.00991000000000006,-0.00991,4.30939,7.04217,-0.05224,-0.00120000000000001,-0.00633,-5.98099,-560.91304
"29","2017_Q4",10.7757142857143,"Up",89301000,-23505000,65796000,-63642000,-63642000,2154000,193000,193000,2347000,2347000,1000,2348000,2348000,2443000,2443000,47692000,47692000,10927000,10927000,49442000,6251000,5253000,114312000,72082000,35815000,21395000,13436000,107897000,222209000,53372000,4850000,2552000,45970000,5290000,4790000,58662000,24128000,3103000,1907000,1196000,27231000,85893000,131141000,15286000,-10772000,135655000,136316000,222209000,2348000,2451000,-72000,3993000,8720000,-755000,-755000,0,7682000,15647000,15647000,224000,15871000,4605000,24128000,7842000,0.73679,0.02412,0.02736,0.01792,0.01099,3.20999,1.94866,0.6301,0.10858,0.12928,0.12667,4.72567,7.17865,0.41499,0.01471,0.04795,-5.11705,-10.93965
"30","2018_Q1",10.9131147540984,"Up",88286000,-24607000,63679000,-66520000,-66520000,-2841000,-73999.9999999999,-74000.0000000001,-2915000,-2915000,-14693000,-17608000,-17608000,-17358000,-17358000,42910000,42910000,8888000,8888000,44047000,6664000,5666000,102509000,71086000,21600000,8283000,12608000,92686000,195195000,49803000,4215000,1834000,43754000,3854000,3348000,53657000,17814000,3992000,1980000,1242000,21806000,75463000,131525000,-2072000,-10132000,119321000,119732000,195195000,-17608000,2598000,14946000,2552000,2488000,-1613000,-1613000,-451000,-5850000,-4975000,-4975000,193000,-4782000,-243000,17814000,15389000,0.72128,-0.03218,-0.19661,-0.14497,-0.08893,-0.88657,1.91045,0.63027,0.09126,-0.91793,-0.95869,4.66875,6.30994,0.8138,-0.12264,0.10873,103.27572,8.83351000000002
"31","2018_Q2",8.8709375,"Down",87342000,-22713000,64629000,-63748000,-63748000,881000,740000,740000,1621000,1621000,-1288000,333000,333000,498000,498000,42303000,42303000,8259000,8259000,43655000,6691000,5693000,100908000,68847000,21795000,8354000,12755000,90642000,191550000,51399000,5143000,1598000,44658000,3292000,2279000,54691000,12440000,3408000,1753000,872000,15848000,70539000,131830000,-720000,-10345000,120765000,121011000,191550000,333000,2601000,-413000,1193000,3714000,-489000,-489000,-238000,-5194000,-1969000,-1969000,1362000,-607000,3482000,12440000,5474000,0.73995,0.01009,0.0057,0.00412,0.0026,10.99197,1.84506,0.58291,0.06494,0.0262,0.02573,4.59453,6.35271,0.28795,0.00364,0.04,-8.57639,-33.89671
