"","YQ","p","d","cost_of_revenue","gross_profit","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebit"
"11","2019_Q4",6.3371875,"Up",-19131000,45134000,-8265000,-2428000,-10693000,-10693000,-10741000,-10741000,-10741000,-11386000,22974000,22974000,3302000,3117000,80843000,49543000,1452000,93797000,174640000,48857000,20606000,56729000,7127000,7127000,105103000,161832000,179417000,-166609000,12808000,12808000,174640000,-10741000,946000,2021000,-5453000,-75000,9728000,3e+06,3e+06,3e+06,100848000,-0.88898,-0.0652,1.42507,12.63523,0.57746,-0.12337,-0.12337,0.13877,-0.09427,-9.42214
"12","2020_Q1",4.28032258064516,"Down",-20391000,54254000,-2149000,-2602000,-4751000,-2611000,-2653000,-2653000,-2653000,-2576000,60174000,60174000,3149000,2953000,125600000,47903000,1440000,95087000,220687000,51837000,23450000,59894000,7661000,7661000,105210000,165104000,226590000,-171007000,55583000,55583000,220687000,-2653000,713000,-7208000,-6401000,-2049000,47070000,37211000,37211000,37211000,100606000,-0.0463499999999999,-0.01167,2.09704,2.9704,0.45588,-0.02634,-0.02634,0.56825,-0.01572,-18.81433
"13","2020_Q2",3.60571428571429,"Down",-18793000,42939000,-15084000,-2489000,-17573000,-16278000,-16313000,-16313000,-16313000,-16313000,46898000,46898000,5340000,5164000,111398000,46871000,1336000,96942000,208340000,48011000,21803000,54825000,8071000,8071000,113220000,168045000,227615000,-187320000,40295000,40295000,208340000,-16313000,-60000,-2629000,-17283000,-2042000,8230000,-13296000,-13296000,-13296000,110005000,-0.40484,-0.0783,2.03188,4.17037,0.52801,-0.15612,-0.15612,0.38565,-0.103,-4.1837
"14","2020_Q3",3.948125,"Up",-20042000,48918000,-2252000,-2887000,-5139000,-5139000,-5166000,-5166000,-5166000,-5166000,40455000,40455000,4665000,4366000,117706000,45748000,1030000,98781000,216487000,54632000,24688000,66058000,9361000,9361000,114679000,180737000,228236000,-192486000,35750000,35750000,216487000,-5166000,1803000,-7679000,-9335000,-526000,4890000,-6319999.99999999,-6319999.99999999,-6319999.99999999,115312000,-0.1445,-0.02386,1.78186,5.05558,0.53265,-0.04944,-0.04944,0.34215,-0.0322,-33.24023
"15","2020_Q4",4.74953125,"Up",-22964000,77835000,22444000,-2925000,19519000,20470000,20398000,20398000,20398000,20398000,36512000,36512000,5701000,5327000,129010000,61481000,7e+05,117418000,246428000,50139000,26132000,66245000,15118000,15118000,114709000,180954000,237026000,-171552000,65474000,65474000,246428000,20398000,3729000,-17635000,8869000,-466000,-775000,-3868000,-3868000,-3868000,114731000,0.31154,0.08277,1.94747,2.76375,0.46558,0.19473,0.19473,0.62506,0.10443,3.48507
"16","2021_Q1",13.5490163934426,"Up",-25520000,81287000,21592000,-2881000,18711000,18711000,18315000,18315000,18315000,18315000,84394000,84394000,5347000,4935000,174344000,60082000,670000,115874000,290218000,47354000,23973000,68217000,15707000,15707000,80193000,148410000,296843000,-155035000,141808000,141808000,290218000,18315000,2334000,186000,23215000,-6139000,30123000,47920000,47920000,47920000,84866000,0.12915,0.06311,2.55573,1.04656,0.29242,0.14323,0.13724,1.109,0.07556,0.0218599999999998
"17","2021_Q2",18.6404761904762,"Up",-25495000,77057000,12616000,-2473000,10143000,10143000,9943000,9943000,9943000,9943000,77458000,77458000,6057000,5557000,185239000,71511000,13342000,133942000,319181000,49260000,25383000,74009000,13457000,13457000,87880000,161889000,298108000,-140816000,157292000,157292000,319181000,9943000,5578000,-19074000,-1300000,-9e+05,-591000,-6848000,-6848000,-6848000,99172000,0.06321,0.03115,2.50293,1.02923,0.31071,0.07776,0.07451,1.23009,0.03684,1.72115
"18","2021_Q3",15.52890625,"Down",-29940000,93256000,23587000,-2413000,21174000,21174000,20687000,20687000,20687000,20687000,89790000,89790000,7100000,6583000,201763000,84062000,27136000,153801000,355564000,53407000,26618000,84545000,11030000,11030000,92097000,176642000,299051000,-120129000,178922000,178922000,355564000,20687000,3258000,-8771000,17480000,-320000,-798000,12349000,12349000,12349000,112205000,0.11562,0.05818,2.38646,0.98726,0.31557,0.16178,0.15501,1.39925,0.06846,0.95031
"19","2021_Q4",10.62171875,"Down",-26167000,87586000,16264000,-1501000,14763000,12880000,12577000,12577000,12577000,12577000,102237000,102237000,5520000,5033000,211835000,83814000,28128000,158588000,370423000,65616000,37128000,8.1e+07,3547000,3547000,100249000,181249000,301002000,-111828000,189174000,189174000,370423000,12577000,9336000,2760000,27850000,0,1270000,12417000,12417000,12417000,112086000,0.06648,0.03395,2.61525,0.95811,0.30259,0.09784,0.09396,1.47164,0.04126,0.60557
"20","2022_Q1",7.73983870967742,"Down",-32597000,95961000,20451000,-862000,19589000,19589000,51695000,51695000,51695000,51695000,113929000,113929000,5568000,4969000,226979000,137120000,50681000,216280000,443259000,66628000,37289000,82705000,1557000,1557000,119219000,201924000,302168000,-60833000,241335000,241335000,443259000,51695000,-24116000,-12625000,17948000,0,-917000,11804000,11804000,11804000,132303000,0.2142,0.11662,2.74444,0.8367,0.29848,0.40215,0.38622,1.87742,0.13778,0.89844
"21","2022_Q2",6.15548387096774,"Down",-25080000,73037000,872000,-740000,132000,132000,87000,87000,87000,87000,107897000,107897000,7740000,7135000,217851000,134153000,48935000,218421000,436272000,60354000,32419000,76792000,1060000,1060000,116252000,193044000,303274000,-60046000,243228000,243228000,436272000,87000,5653999.99999999,-6898000,1411000,-488000,-765000,-6026000,-6026000,-6026000,130194000,0.00036,2e-04,2.8369,0.79368,0.29842,0.00068,0.00065,1.89045,0.00023,25.56995
"22","2022_Q3",4.51859375,"Down",-26652000,93749000,10935000,-751000,10184000,10184000,7744000,7744000,7744000,7744000,112279000,112279000,7205000,6540000,231543000,131522000,47525000,224814000,456357000,72763000,36390000,88230000,1073000,1073000,113742000,201972000,307387000,-53002000,254385000,254385000,456357000,7744000,7044000,-7342000,10195000,-766000,415000,4442000,4442000,4442000,128136000,0.03044,0.01697,2.62431,0.79396,0.28078,0.06019,0.05807,1.97717,0.02019,1.45010999999999
