"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","accrued_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2020_Q1",18.2314516129032,"Down",1156300000,-825100000,331200000,-239800000,-70500000,360900000,91400000,-2e+06,-1600000,-3500000,-4e+05,89400000,76100000,-20200000,55900000,55900000,55900000,55900000,599900000,551600000,48300000,465800000,465800000,71900000,268100000,117700000,150400000,1405700000,1851600000,3152100000,-1300500000,402800000,127500000,275300000,2254400000,3660100000,324300000,207700000,116600000,55500000,85400000,85400000,465200000,305800000,652700000,118700000,4.49e+08,8.5e+07,958500000,1423700000,1542700000,693600000,2236400000,2236400000,3660100000,55900000,70500000,25200000,14400000,1.66e+08,5400000,5.7e+07,5.7e+07,-51600000,-51600000,0,5400000,-10600000,-46300000,-56900000,114500000,114500000,114500000,161900000,361300000,201900000,0.28643,0.07905,0.04834,0.025,0.01527,3.61181,3.02171,0.6366,0.09871,0.31564,0.31528,6.52908,12.62789,1.14003,0.05985,0.02046,0.06212,0.18962,-1.47375,-2.6105
"12","2020_Q2",19.4398412698413,"Up",1119100000,-743999999,375100001,-321400000,-69800000,-90100000,53700001,3400000,-2e+06,-3800000,5400000,57100001,58300001,-14500000,43800001,43800001,43800001,43800001,649800000,600600000,49200000,475800000,475800000,60900000,272800000,127700000,145100000,1459300000,1837800000,3180300000,-1342500000,417800000,127300000,290500000,2255600000,3714900000,3.52e+08,238300000,113700000,30500000,92100000,92100000,474600000,306100000,665700000,1.32e+08,453400000,80300000,971800000,1446400000,1543800000,725700000,2268500000,2268500000,3714900000,43800000,69800000,23700000,-12800000,124500000,-3.8e+07,23400000,23400000,-61400000,-61400000,-1700000,-39700000,-10700000,-25100000,-35800000,4.9e+07,4.9e+07,4.9e+07,123500001,336600000,87200001,0.33518,0.04798,0.03914,0.01931,0.01179,1.99087,3.0748,0.6376,0.09061,0.24732,0.2469,6.31903,12.80915,0.49238,0.06042,0.01666,0.02666,0.24429,-2.53603,-5.8324
"13","2020_Q3",22.87203125,"Up",1032800000,-684900001,347899999,-284300000,-72300000,-70400000,63599999,-7e+05,-2800000,-3300000,2100000,62899999,62699999,-16200000,46499999,46499999,46499999,46499999,760600000,713800000,46800000,434900000,434900000,56500000,266200000,125100000,141100000,1518200000,1825500000,3207600000,-1382100000,4.34e+08,127300000,306700000,2259500000,3777700000,342900000,221600000,121300000,30400000,108900000,108900000,482200000,306400000,683300000,1.38e+08,451800000,93500000,989700000,1471900000,1545400000,760800000,2305800000,2305800000,3777700000,46500000,72300000,18100000,58400000,195300000,-73400000,15200000,15200000,-88600000,-88600000,3e+06,-70400000,-11500000,-2e+05,-11700000,113200000,113200000,113200000,135899999,336800000,137099999,0.33685,0.06158,0.04502,0.02017,0.01231,2.94839,3.14849,0.63835,0.08915,0.26227,0.26212,5.82516,13.00508,0.77327,0.06486,0.01744,0.04122,0.24731,-3.11847,-6.66352
"14","2020_Q4",20.91609375,"Down",1135700000,-912700000,2.23e+08,-159200000,-74200000,7600000,63800000,-3200000,-2800000,-3400000,-4e+05,60600000,60100000,-15600000,44500000,44500000,44500000,44500000,814100000,768500000,45600000,4.89e+08,4.89e+08,57200000,222700000,104200000,118500000,1.583e+09,1823700000,3246900000,-1423200000,446900000,127700000,319200000,2270600000,3853600000,416300000,288300000,1.28e+08,4e+05,99900000,99900000,516600000,306400000,688100000,142100000,446200000,99800000,994500000,1511100000,1548800000,793700000,2342500000,2342500000,3853600000,44500000,74200000,16300000,14300000,149300000,-48899999,34800000,34800000,-83699999,-83699999,-4e+06,-52899999,-11500000,-30200000,-41700000,54700001,54700001,54700001,1.38e+08,306800000,119000001,0.19635,0.05618,0.03918,0.019,0.01155,2.67416,3.06427,0.64508,0.07961,0.25113,0.25042,6.40914,13.21953,0.67156,0.0649,0.01678,0.03566,0.25843,-3.67609,-7.95141
"15","2021_Q1",22.8139344262295,"Up",1265200000,-907100000,358100000,-251500000,-74200000,-5.73e+08,106600000,-3300000,-2700000,-3551382.82972378,-6e+05,103300000,101800000,-24900000,76900000,76900000,76900000,76900000,442600000,395500000,47100000,537700000,537700000,44900000,195500000,77900000,117600000,1220700000,1831900000,3249300000,-1417400000,463600000,128100000,335500000,2295500000,3516200000,392800000,245700000,147100000,40400000,101400000,101400000,534600000,266399999,659700000,129900000,450400000,79400000,926099999,1460699999,1552200000,502500000,2055500000,2055500000,3516199999,76900000,74200000,27400000,-29400000,149100000,-148600001,38333882.0758591,38333882.0758591,-29470608.518739,-29470608.518739,-7100000,-155700001,-366300000,-1e+05,-366400000,-373000001,-373000001,-373000001,180800000,306799999,27699999,0.28304,0.08426,0.06078,0.03741,0.02187,0.36021,2.28339,0.71063,0.08725,0.433,0.43227,7.12387,11.57376,0.15597,2.0625,0.14666,0.00917,4.76333,-0.75111,-1.27392
"16","2021_Q2",23.681746031746,"Up",1228600000,-825600000,4.03e+08,-326800000,-73100000,-253700000,76200000,-3400000,-2600000,-3400000,-8e+05,72800000,72800000,-1.8e+07,54800000,54800000,54800000,54800000,521600000,472200000,49400000,5.6e+08,5.6e+08,25600000,227900000,108600000,119300000,1335100000,1790600000,3225600000,-1.435e+09,487600000,128100000,359500000,2278200000,3613300000,449300000,295800000,153500000,100700000,117100000,117100000,667100000,207200000,639100000,102800000,457900000,78400000,846300000,1513400000,1555100000,544700000,2099900000,2099900000,3613300000,54800000,73100000,29500000,-56300000,101100000,-3500000.00000003,36600000,36600000,-40100000,-40100000,-8400000,-11900000,-12300000,-2e+05,-12499999.9999999,76700000,76700000,76700000,149300000,307900000,107500000,0.32802,0.06202,0.0446,0.0261,0.01517,1.96168,2.00135,0.7207,0.08521,0.30891,0.30821,6.92559,11.83709,0.60598,0.0693300000000003,0.02202,0.03528,0.22445,-1.43135,-2.80446
"17","2021_Q3",21.69625,"Down",1360800000,-925200000,435600000,-309800000,-73200000,-236600000,125800000,1.7e+07,-2600000,-3e+06,19600000,142800000,142800000,-36300000,106500000,106500000,106500000,106500000,539600000,490500000,49100000,598300000,598300000,22400000,2.38e+08,106800000,131200000,1398300000,1852900000,3266900000,-1.414e+09,516600000,128300000,388300000,2369500000,3767800000,511100000,337200000,173900000,100700000,107700000,107700000,719500000,207100000,642800000,97100000,469500000,76200000,849900000,1569400000,1559100000,638700000,2198400000,2198400000,3767800000,106500000,73200000,-1300001,-24499999,153900000,-123400000,49100000,49100000,-172500000,-172500000,4e+05,-1.23e+08,-12500000,-1e+05,-12600000,18300000,18300000,18300000,1.99e+08,307800000,87400001,0.32011,0.09245,0.07826,0.04844,0.02827,0.82066,1.94343,0.71388,0.08169,0.60034,0.59899,7.6708,12.39233,0.49267,0.07046,0.03779,0.02775,0.11737,-1.16482,-1.84261
"18","2021_Q4",24.7071875,"Up",1444500000,-982500000,4.62e+08,-308300000,-74200000,-234100000,153700000,-6700000,-2700000,-2880715.62279245,-4e+06,1.47e+08,1.47e+08,-3.7e+07,1.1e+08,1.1e+08,1.1e+08,1.1e+08,549900000,504200000,45700000,650500000,650500000,25100000,229800000,96900000,132900000,1455300000,1888400000,3274800000,-1386400000,526400000,128300000,398100000,2414800000,3870100000,507500000,356700000,150800000,100700000,107800000,107800000,7.16e+08,2.07e+08,6.48e+08,100600000,471800000,75600000,8.55e+08,1.571e+09,1562600000,736200000,2299100000,2299100000,3870100000,1.1e+08,74200000,-5099999,-38100001,1.41e+08,-117800000,69963788.2341229,69963788.2341229,-204608715.446706,-204608715.446706,3100000,-114700000,-12400000,-200000.000000001,-12600000,13700000,13700000,13700000,227900000,307700000,108999999,0.31983,0.1064,0.07615,0.04784,0.02842,0.99091,2.03254,0.68331,0.07951,0.61972,0.61867,8.13803,12.95268,0.61408,0.06986,0.03761,0.03349,0.11273,-1.06275,-1.5758
"19","2022_Q1",25.7090322580645,"Up",1574800000,-1355300000,219500000,-30900000,-75700000,44800000,188600000,1400000,-2500000,-2922273.57814065,3900000,1.9e+08,179400000,-45300000,134100000,134100000,134100000,134100000,294100000,244800000,49300000,705400000,705400000,27400000,221600000,75100000,146500000,1248500000,2.051e+09,3.447e+09,-1.396e+09,637800000,240500000,397300000,2688800000,3937300000,520100000,331700000,188400000,61400000,108700000,108700000,690200000,208900000,614400000,98914367.301252,4.51e+08,163400000,823300000,1513500000,1.566e+09,857800000,2423800000,2423800000,3937300000,134100000,75700000,-10200000,-29500000,170100000,-101100000,82752410.6944419,82752410.6944419,-148129182.556995,-148129182.556995,-4400000,-376800000,-12400000,-40300000,-52700000,-259400000,-259400000,-259400000,264300000,270300000,1.79e+08,0.13938,0.11976,0.08515,0.05533,0.03406,1.33482,1.8089,0.62443,0.06865,0.7521,0.75253,8.83231,13.59394,1.00393,0.06955,0.04428,0.0541,0.09247,-0.09005,-0.12619
"20","2022_Q2",22.8490322580645,"Down",1620500000,-1077600000,542900000,-407800000,-83800000,-3.24e+08,135100000,-11600000,-2400000,-2800000,-9200000,123500000,123500000,-31400000,92100000,92100000,92100000,92100000,321100000,272600000,48500000,754400000,754400000,31300000,290500000,119400000,171100000,1397300000,2048100000,3.504e+09,-1455900000,641200000,2.45e+08,396200000,2689300000,4086600000,553500000,400200000,153300000,1800000,170600000,170600000,725900000,209900000,645900000,94600000,480200000,71100000,855800000,1581700000,1571400000,9.35e+08,2504900000,2504900000,4086600000,92100000,83800000,-2900000,-37400000,135600000,-25800000,69900000,69900000,-95700000,-95700000,-5400000,-34399999.9999999,-12900000,-60400000,-73400000,27799999.9999999,27799999.9999999,27799999.9999999,218900000,211700000,187100000,0.33502,0.08337,0.05683,0.03677,0.02254,2.03149,1.92492,0.63144,0.0518,0.51829,0.51655,9.1193,14.09623,1.0529,0.07259,0.03123,0.05564,0.14007,-0.49977,-0.80977
"21","2022_Q3",23.08015625,"Up",1746900000,-1119800000,627100000,-450500000,-86300000,-364200000,176600000,-4e+06,-1900000,-2200000,-2100000,172600000,172600000,-42800000,129800000,129800000,129800000,129800000,377400000,3.31e+08,46400000,770600000,770600000,32799999,271700000,118400000,153300000,1452499999,2123400000,3632500000,-1509100000,646200000,233200000,4.13e+08,2769600000,4222099999,552400000,400600000,151800000,2e+06,171700000,171700000,726100000,209800000,662400000,93500000,5e+08,68900000,872200000,1598300000,1575700000,1050599999,2623799999,2623799999,4222099999,129800000,86300000,27900000,-25900000,218100000,-121800000,13900000,13900000,-135700000,-135700000,900001,-145899999,-14300000,-4e+05,-13800000,58400001,58400001,58400001,262900000,211800000,1.58e+08,0.35898,0.10109,0.0743,0.04947,0.03074,1.21726,2.00041,0.60915,0.05016,0.72717,0.72717,9.78655,14.69916,0.88515,0.08011,0.04119,0.04517,0.11017,-0.6299,-0.93771
