"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","free_cash_flow_to_net_income","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share"
"11","2018_Q2",59.6090625,"Up",243200000,-174700000,68500000,-62900000,-26600000,-36300000,5600000,-3400000,-3400000,2200000,1300000,3500000,3600000,7100000,7100000,7100000,6500000,7100000,16700000,10100000,-24200000,9700000,-3.3e+07,-132500000,3e+05,-122500000,-122500000,-122100000,22300000,321600000,-38500000,0.28166,0.02303,0.02673,-5.92308,0.10535,0.10317,3.94165,-0.62399
"12","2018_Q3",59.815873015873,"Up",404600000,-233500000,171100000,-79500000,-35700000,-43800000,91600000,-3200000,-3200000,88400000,7100000,95500000,109300000,204800000,204800000,204800000,2e+08,204800000,18200000,-111700000,-6200000,105100000,-17200000,-58600000,4400000.00000003,50900000,50900000,51300000,109800000,325700000,-22900000,0.42289,0.2264,0.49432,-0.114500000000001,3.21543,3.09598,6.50482,-0.36817
"13","2018_Q4",49.241746031746,"Down",298800000,-201800000,9.7e+07,-71400000,-33200000,-38200000,25600000,-2100000,-2100000,23500000,-20800000,2700000,0,2700000,2700000,2700000,2500000,2700000,18400000,36900000,37100000,95100000,-22700000,-117600000,-2800000,-25300000,-25300000,-25300000,4.4e+07,329900000,58400000,0.32463,0.08568,0.00837,23.36,0.04006,0.03949,4.78846,0.9359
"14","2019_Q1",47.9667213114754,"Down",301100000,-205600000,95500000,-71200000,-32700000,-38500000,24300000,-1e+06,-1e+06,23300000,4400000,27700000,5800000,33500000,33500000,33500000,32500000,33500000,20700000,9199999.99999997,-25800000,37600000,-20300000,181700000,1900000,221200000,221200000,220500000,4.5e+07,334200000,-6900000,0.31717,0.0807,0.10794,-0.212309999999999,0.51669,0.52167,4.78696,-0.1097
"15","2019_Q2",53.291746031746,"Up",354100000,-228100000,1.26e+08,-67600000,-3.3e+07,-34600000,58400000,-2400000,-2400000,5.6e+07,-3400000,52600000,-5200000,47400000,47400000,47400000,46100000,47400000,19700000,1.8e+07,-27900000,57200000,-30300000,9500000,-4600000,62100000,62100000,62100000,78100000,338500000,25100000,0.35583,0.16493,0.13019,0.54447,0.73059,0.72144,5.61173,0.39778
"16","2019_Q3",56.401875,"Up",373700000,-248900000,124800000,-105500000,-62700000,-42800000,19300000,-4700000,-4700000,14600000,3100000,17700000,-1400000,16300000,16300000,16300000,15800000,16300000,2.6e+07,19600000,40400000,102300000,-24300000,-681900000,491700000,-87900000,-87900000,-88100000,45300000,833700000,62800000,0.33396,0.05165,0.04228,3.97468,0.23653,0.23304,5.59431,0.94012
"17","2019_Q4",65.4615625,"Up",432900000,-344600000,88300000,-112900000,-55200000,-57700000,-24600000,-6100000,-6100000,-30700000,-51800000,-82500000,8200000,-74300000,-74300000,-74300000,-7.4e+07,-74300000,2.9e+07,97700000,-9500000,42900000,-27200000,-52900000,-3e+06,-1.3e+07,-1.3e+07,-1.3e+07,4400000,837300000,-40500000,0.20397,-0.05683,-0.17094,0.5473,-0.97113,-0.99462,5.6811,-0.5315
"18","2020_Q1",78.7025806451613,"Up",404600000,-317800000,86800000,-98900000,-49400000,-49500000,-12100000,-7300000,2.9e+07,-19400000,-1700000.00000001,-21100000,-4700000,-25800000,-25800000,-25800000,-25800000,-25800000,82800000,21600000,49100000,127700000,-58700000,-54399999.9999999,1000000.00000006,74300000,74300000,74300000,70700000,840900000,65800000,0.21453,-0.02991,-0.06377,-2.55039,-0.33638,-0.33638,5.2751,0.85789
"19","2020_Q2",76.1860317460317,"Down",449900000,-282200000,167700000,-106600000,-56700000,-49900000,61100000,-6400000,5e+06,54700000,-1300000,53400000,-5800000,47600000,47600000,47600000,47600000,47600000,31600000,47400000,-39100000,87500000,-22700000,21700000,-2800000,106400000,106400000,106400000,92700000,845800000,36700000,0.37275,0.13581,0.1058,0.77101,0.61899,0.6134,5.85046,0.47724
"20","2020_Q3",82.89671875,"Up",457800000,-268700000,189100000,-113400000,-62400000,-5.1e+07,75700000,-17100000,1200000,58600000,-9e+05,57700000,-8600000,49100000,49100000,49100000,49100000,49100000,28700000,54700000,29800000,162300000,-25200000,36100000,347600000,5.46e+08,5.46e+08,5.46e+08,104400000,1.092e+09,117600000,0.41306,0.16536,0.10725,2.39511,0.63849,0.62949,5.95319,1.52926
"21","2020_Q4",86.235625,"Up",402800000,-245100000,157700000,-1.1e+08,-61300000,-48700000,47700000,6100000,21700000,53800000,-5200000,48600000,-5200000,43400000,43400000,43400000,43400000,43400000,84900000,-14500000,3.8e+07,151800000,1900000,-535700001,-12300000,-396200001,-396200001,-396200001,132600000,1.106e+09,177700000,0.39151,0.11842,0.10775,4.09447,0.58021,0.56,5.38503,2.37567
"22","2021_Q1",92.5632786885246,"Up",368100000,-232400000,135700000,-103800000,-54800000,-4.9e+07,31900000,-12400000,3500000,19500000,-4900000,14600000,-19200000,-4599999.99999999,-4599999.99999999,-4599999.99999999,-4600000,-4600000,46700000,43900000,36700000,122700000,-19900000,-509799999,-3700000,-390799999,-390799999,-390799999,78600000,1120300000,114600000,0.36865,0.08666,-0.0125,-24.91304,-0.06133,-0.0595100000000001,4.908,1.528
"23","2021_Q2",84.0739682539682,"Down",452400000,-246700000,205700000,-106700000,-56300000,-50400000,9.9e+07,-15400000,6e+05,83600000,-90486050.8977337,83600000,-16500000,67100000,67100000,67100000,67100000,67099999,44500000,35800000,-42700000,104699999,-25800000,-1.14e+08,-19200000,-28500001,-28500001,-28500001,143500000,1134700000,91500000,0.45469,0.21883,0.14832,1.36364,0.8911,0.85806,6.00797,1.21514
"24","2021_Q3",83.8459375,"Down",560400000,-398700000,161700000,-245900000,-147800000,-98100000,-84200000,15500000,16900000,-68700000,-23200000,-91900000.0000001,-7300000,-99200000,-99200000,-99200000,-99200000.0000001,83200001,44700000,45400000,-44800000,128500001,-23400000,-7.5e+07,-1700000,51800001,51800001,51800001,-39500000,1149400000,-100400000,0.28854,-0.15025,-0.17702,1.0121,-1.31044,-1.26531,7.40291,-1.32629
"25","2021_Q4",91.04671875,"Up",337900000,-8.5e+07,252900000,9100000,2.1e+07,-11900000,2.62e+08,-46700000,-15400000,215300000,227600000,442900000,-3.5e+07,407900000,407900000,407900000,407900000,225500000,44800000,43600000,67399999,381299999,-15900000,-7300000,-7600000,366399999,366399999,366399999,306800000,1164200000,393299999,0.74845,0.77538,1.20716,0.96421,5.38127,5.15025,4.45778,5.18865
"26","2022_Q1",97.8191935483871,"Up",392100000,-229300000,162800000,-112400000,-58300000,-54100000,50400000,-17300000,699999.999999996,33099999.9999999,-4599999.99999997,28500000,-7000000.00000001,21500000.0000001,21500000.0000001,21500000.0000001,21500000,21500000,43100000,3.8e+07,21600001,124200001,4900000,197299999,-234900000,86600000,86600000,86600000.0000001,93500000,1180500000,127000001,0.4152,0.12854,0.0548299999999999,5.90698,0.28439,0.27354,5.18651,1.67989
"27","2022_Q2",85.4251612903226,"Down",448400000,-216200000,232200000,-117400000,-63300000,-54100000,114800000,-16300000,6e+05,98500000,1100000,99600000,-18100000,81500000,81500000,81500000,81500000,81500000,41800000,38100000,-99500000,61900000,-1.2e+07,-116900000,-108300000,-163300000,-163300000,-163300000,156600000,1195800000,63200000,0.51784,0.25602,0.18176,0.77546,1.12105,1.0809,6.16781,0.86933
"28","2022_Q3",82.861875,"Down",446700000,-239200000,207500000,-122200000,-6.9e+07,-53200000,85300000,-16100000,1e+06,69200000,-1e+05,69100000,-12400000,56700000,56700000,56700000,56700000,56700000,42100000,46400000,61300000,206500000,-2.6e+07,-228900000,-36600000,-5.9e+07,-5.9e+07,-5.9e+07,127400000,1211300000,175100000,0.46452,0.19096,0.12693,3.08818,0.77992,0.75199,6.14443,2.40853
