"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share"
"11","2012_Q4",5.19177419354839,"Down",4848534,-2554949,-1560658,-316665,2293585,628,2294213,2274089,-805989,1468100,1468100,1468100,1299525,1468100,319987,1090696,147804,3026587,-1121221,-328069,1577297,1577297,1577297,2613572,0,0.47305,0.26802,0.04672,0.04088,0.1743
"12","2013_Q1",6.3375,"Up",-13362130,6605160,4447948,833214,-6756970,-14582,-6771552,-6714918,2683077,-4031841,-4031841,-4031841,-3570656,1095157,312781,906597,731928,3046463,-3918721,77389,-794869,-794869,-794869,-6444189,0,0.50568,0.26722,-0.12817,-0.11207,-0.47965
"13","2013_Q2",6.705625,"Up",4291546,-2339883,-1705424,-296917,1951663,-10812,1940851,1919744,-760218,1159526,1159526,1159526,990951,1159526,307129,947451,-794325,1619781,-2729086,-184786,-1294091,-1294091,-1294091,2258792,0,0.45477,0.23091,0.03547,0.0312,0.15361
"14","2013_Q3",7.4746875,"Up",5648058,-2605586,-1815276,-350119,3042472,-10950,3031522,3013771,-1054499,1959272,1959272,1959272,1790696,1959272,360332,1281936,-265137,3336403,1744522,-185544,4895381,4895381,4895381,3402804,2.52435489670724e-29,0.53868,0.31705,0.06379,0.05621,0.2012
"15","2013_Q4",7.8109375,"Up",6010567,-2598804,-1778178,-281306,3411763,-10813,3400950,3383718,-986676,2397042,2397042,2397042,2228467,2397042,291105,927688,536931,4152766,-384893,-102977,3664896,3664896,3664896,3702868,0,0.56763,0.37076,0.07902,0.06944,0.21313
"16","2014_Q1",8.36311475409836,"Up",5399749,-3031981,-2196431,-371865,2367768,-10590,2357178,2340956,-1228368,1112588,1112588,1112588,944012,1112588,382489,852283,477196,2824556,-101001,510296,3233851,3233851,3233851,2750257,-2.01948391736579e-28,0.4385,0.17483,0.03299,0.02933,0.18873
"17","2014_Q2",7.55444444444444,"Down",4633699,-2493125,-1928951,-309673,1976825,-8810,1968015,1955087,-482636,1472451,1472451,1472451,1303876,1472451,319885,454475,-690018,1556793,-529374,-278907,748512,748512,748512,2296710,0,0.42662,0.28139,0.04558,0.04048,0.16198
"18","2014_Q3",6.86640625,"Down",4392289,-3369529,-2642082,-327168,1186509,-8881,1177628,-166976,-241907,-408883,-408883,-408883,-577459,-408883,337380,900942,440821,1270260,451279,-1855854,-134315,-134315,-134315,1523889,3.23117426778526e-27,0.27013,-0.13147,-0.01921,-0.01921,0.1461
"19","2014_Q4",5.6340625,"Down",4337006,-2969841,-2304397,-311815,1367165,-10222,1356943,1347312,-423612,923700,923700,923700,755125,923700,323324,1102628,484058,2833710,-313716,-3187209,-667215,-667215,-667215,1690489,0,0.31523,0.17411,0.02334,0.02307,0.13403
"20","2015_Q1",4.57065573770492,"Down",4310514,-784481,-1512861,-280029,2332460,-10923,2321537,2353888,-743843,1610045,1610045,1610045,1441469,1610045,292189,323983,221929,2448146,-356995,-3026204,-935053,-935053,-935053,2624649,5.16987882845642e-26,0.54111,0.33441,0.04428,0.04089,0.13241
"21","2015_Q2",4.68666666666667,"Up",4004827,-2159325,-1504593,-369350,1845502,-5697,1839805,1835169,-706159,1129010,1129010,1129010,960435,1129010,381509,142282,-1021389,631412,-212980,-2990802,-2572370,-2572370,-2572370,2227011,0,0.46082,0.23982,0.02939,0.02926,0.12254
"22","2015_Q3",3.82984375,"Down",7708067,-2725201,-1606501,-917757,2165000,-4497,2160503,2157797,-917879,1239918,1239918,1239918,1071342,1239918,929916,786341,1053321,4009496,205594,-3060070,1155020,1155020,1155020,3094916,-8.27180612553028e-25,0.28087,0.13899,0.03264,0.03252,0.23482
"23","2015_Q4",4.22625,"Up",7064689,-2119959,-1467782,-1138502,1256914,-17224,1239690,1228766,-494180,734586,734586,734586,566011,734586,1150662,512086,-418676,1978658,-2540685,-1569642,-2131669,-2131669,-2131669,2407576,0,0.17791,0.08012,0.01722,0.01717,0.21499
"24","2016_Q1",3.16672131147541,"Down",9063682,-2868035,-1677907,-1190128,3345716,-10227,3335489,3214346,-1326003,1888343,1888343,1888343,1719767,1888343,1202286,829564,-158984,3761209,-2494214,-1539733,-272737.999999999,-272737.999999999,-272737.999999999,4548002,-6.61744490042422e-24,0.36913,0.18974,0.05227,0.05217,0.27549
"25","2016_Q2",3.83765625,"Up",7379406,-2903118,-1684845,-1218273,1857841,-12648,1845193,4847196,-1754969,3092227,3092227,3092227,2923652,3092227,1782204,-1671085,-414711,2788635,-6595559,5358,-3801566,-3801566,-3801566,3640045,0,0.25176,0.39619,0.08936,0.08921,0.22554
"26","2016_Q3",4.1059375,"Up",6622927,-3529092,-2057521,-1471571,813963,-12813,801150,1192162,-368889,823273,823273,823273,654697,823273,2493937,-1342165,1305431,3280476,-2216003,-1056651,7822,7822,7822,3307900,-1.05879118406788e-22,0.1229,0.09885,0.02,0.01996,0.20228
"27","2016_Q4",6.06460317460317,"Up",5106735,-3573037,-2304237,-1268800,-669452,-2185,-671637,-201945,72337,-129608,-129608,-129608,-298183,-129608,3228199,-63483,174370,3209478,-3542780,-1985616,-2318918,-2318918,-2318918,2558747,0,-0.13109,-0.05839,-0.00907,-0.00907,0.15532
"28","2017_Q1",6.21838709677419,"Up",7240434,-4239470,-3032994,-1206476,969322,-17086,952236,28393728,-7519258,20874470,20874470,20874470,20705894,20874470,1340985,2094483,698497,25008435,-8909787,3972317,20070965,20070965,20070965,2310307,1.6940658945086e-21,0.13388,2.85976,0.62931,0.62766,0.22006
"29","2017_Q2",5.73952380952381,"Down",7593940,-2508482,-1235043,-1273439,2740817,-7600,2733217,2705951,-889176,1816775,1816775,1816775,563345,1816775,968815,1031728,-2661569,1155749,-4845163,-2150935,-5840349,-5840349,-5840349,3709632,0,0.36092,0.07418,0.01709,0.01707,0.23042
"30","2017_Q3",5.62047619047619,"Down",8529817,-2548909,-1241399,-1307510,3688487,-6650,3681837,3668731,-1361097,2307634,2307634,2307634,2307634,2307634,1321923,1183644,-435303,4377898,-3163414,-10294818,-9080334,-9080334,-9080334,5010410,-2.71050543121376e-20,0.43242,0.27054,0.06983,0.06975,0.25811
"31","2017_Q4",5.2715873015873,"Down",9525437,-2807381,-1283906,-1523475,3906798,-7218,3899580,3937333,-1518190,2419143,2419143,2419143,2419143,2419143,1537542,1586702,-44996,5498391,-2120158,-2314361,1063872,1063872,1063872,5444340,0,0.41014,0.25397,0.07317,0.07305,0.28811
"32","2018_Q1",5.88409836065574,"Up",8835702,-2840041,-1225060,-1614981,2608172,-3435,2604737,2572962,-1072201,1500761,1500761,1500761,1500761,1500761,1675348,1341459,668933,5186501,-62485.0000000002,-2316112,2807904,2807904,2807904,4283520,-4.33680868994202e-19,0.29519,0.16985,0.04538,0.04515,0.26717
"33","2018_Q2",7.0728125,"Up",8401967,-3109826,-1569704,-1540122,2536459,-5605,2530854,2530854,-390322,2140532,2140532,2140532,2140532,2140532,1554189,506997,-444,4201274,-508042,-2592224,1101008,1101008,1101008,4090648,0,0.30189,0.25477,0.06469,0.06458,0.25392
"34","2018_Q3",8.17444444444445,"Up",10926220,-3323147,-1666256,-1656891,4829252,-4615,4824637,4824637,5052211,9876848,9876848,9876848,9876848,9876848,1626356,-4736495,-1870396,4896313,-509316,-2772661,1614336,1614336,1614336,6455608,-3.46944695195361e-18,0.44199,0.90396,0.29831,0.29803,0.33
"35","2018_Q4",7.34269841269841,"Down",10151155,-3225696,-1842548,-1383148,3663267,-9180,3654087,3654087,-585733,3068354,3068354,3068354,3068354,3068354,1374951,548379,426274,5417958,-657495,-3317151,1443312,1443312,1443312,5038218,0,0.36087,0.30227,0.0925,0.09244,0.30602
"36","2019_Q1",5.78590163934426,"Down",11294185,-3217400,-1695273,-1522127,5182663,-5726,5176937,5176937,-644186.999999999,4532750,4532750,4532750,4532750,4532750,1512769,-132682.999999999,108196,6021032,-2043120,-3483588,494324,494324,494324,6695432,5.55111512312578e-17,0.45888,0.40133,0.13679,0.13638,0.34085
"37","2019_Q2",5.44555555555556,"Down",12307079,-2853722,-1305262,-1548460,5994927,17226,6012153,7112153,-1316352,5795801,5795801,5795801,5795801,5795801,1552249,490753,-182791,7656012,-3089006,-3405777,1161229,1161229,1161229,7547176,0,0.48711,0.47093,0.17509,0.175,0.37179
"38","2019_Q3",5.00421875,"Down",11048118,-2862203,-1258570,-1603633,4733747,30513,4764260,4764260,-859695,3904565,3904565,3904565,3904565,3904565,1607422,485028,491228,6488243,-1962047,-3367757,1158439,1158439,1158439,6341169,0,0.42847,0.35341,0.11772,0.11769,0.3331
"39","2019_Q4",4.58140625,"Down",9501028,-2755065,-1196935,-1558130,2952955,37042,2989997,2989997,-591122,2398875,2398875,2398875,2398875,2398875,1561919,335993,-107890,4188897,-1320647,-3318666,-450416,-450416,-450416,4514874,0,0.3108,0.25249,0.07229,0.07227,0.2863
"40","2020_Q1",3.84096774193548,"Down",10373396,-2855024,-1312164,-1542860,3955194,37823,3993017,3993017,-715192,3277825,3277825,3277825,3277825,3277825,1546649,343644,556630,5724748,-385951,-3336649,2002148,2002148,2002148,5501843,-1.4210854715202e-14,0.38128,0.31598,0.09877,0.09877,0.31259
"41","2020_Q2",2.34031746031746,"Down",9152215,-5878196,-1338353,-1449754,3274019,36784,3310803,3310803,-517983,2792820,2792820,2792820,2792820,2792820,1449754,321456,479485,5043515,-522413,-4668832,-147730,-147730,-147730,4723773,0,0.35773,0.30515,0.08431,0.08429,0.27628
"42","2020_Q3",2.3409375,"Up",5768152,-6209280,-1845699,-1358168,-441128,-8405.00000000001,-449533,-15918671,3208664,-12710007,-12710007,-12710007,-12710007,1764918,1461049,292375,-387799,3130543,-9896177,-3703201,-10468835,-10468835,-10468835,1019921,-2.27373675443232e-13,-0.0764800000000001,-2.20348,-0.38528,-0.38528,0.17485
"43","2020_Q4",2.249375,"Down",11326082,-7683376,-1056278,-1502362,3642706,44120,3686826,19155964,-970880,18185084,18185084,18185084,18185084,3710159,1399481,541034,-1591268,4059406,-273975,-4028165,-242734,-242734,-242734,5042187,0,0.32162,1.60559,0.55019,0.55019,0.34267
"44","2021_Q1",3.08934426229508,"Up",3352847,-4755807,-1019329,-1451214,-1402960,-5855.99999999999,-1408816,-2792020,461195,-2330825,-2330825,-2330825,-2330825,-2330825,1451214,2008612,-965814,163187,-369979.999999999,-823913,-1030706,-1030706,-1030706,48253.9999999991,3.63797880709171e-12,-0.41844,-0.69518,-0.07072,-0.0707200000000001,0.10173
"45","2021_Q2",3.55222222222222,"Up",5595376,-5087510,-1278698,-1410888,507866,-7606,500260,-9437326,2302178,-7135148,-7135148,-7135148,-7135148,-7135148,1410888,6984941,-113440,1147241,-153205,-831194,162842,162842,162842,1918754,0,0.09077,-1.27519,-0.21651,-0.21651,0.16978
"46","2021_Q3",4.0803125,"Up",35621995,-20723318,-2484456,-1340645,14898677,-84166,14814511,24752097,-5566376,19185721,19185721,19185721,19185721,-12710007,1358168,11042754,385801,76716,-29729.9999999999,-837264,-790278,-790278,-790278,16256845,-2.91038304567337e-11,0.41824,0.53859,0.57951,0.57951,1.07597
"47","2021_Q4",5.14109375,"Up",-22218095,17014794,-1192857,-1088490,-14213149,66298,-14146851,-39699626,8994899,-30704727,-30704727,-30704727,-30704727,1191001,1070967,-1124865,198322,1335425,-2325755,-1005224,-1995554,-1995554,-1995554,-13142182,0,0.63971,1.38197,-0.91684,-0.91684,-0.66343
"48","2022_Q1",6.06564516129032,"Up",13702724,-3124966,-1797989,-1326977,3000606,-37526,2963080,2962855.00000001,-746701,2216153.99999999,2216153.99999999,2216153.99999999,2216154.00000001,2216154,1326977,1922170,-3291683,2173618,-16260310,2324682,-11762010,-11762010,-11762010,4327583,4e+06,0.21898,0.16173,0.06615,0.06615,0.409
"49","2022_Q2",6.43483870967742,"Up",18879000,-12093000,-1940000,-1528000,6786000,-48000,6738000,6738000,-1520000,5218000,5218000,5218000,5218000,5218000,1528000,75000,-1229000,5592000,-390000,-2524000,2678000,2678000,2678000,8314000,4e+06,0.35945,0.27639,0.1556,0.1556,0.56298
"50","2022_Q3",6.395,"Down",22339000,-13718000,-1823000,-1224000,8621000,-44000,8577000,8577000,-1744000,6833000,6833000,6833000,6833000,6833000,1224000,392000,-148000,8301000,-136000,-2523000,5642000,5642000,5642000,9845000,4e+06,0.38592,0.30588,0.20376,0.20376,0.66616
