"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"13","2013_Q2",18.47203125,"Down",592820000,-541884000,50936000,-47995000,-47995000,2941000,-1831000,-2017000,-2017000,-135000,321000,1110000,-1593000,-483000,-960000,-1443000,-1443000,-228000,-1671000,-1671000,24404000,24404000,152860000,152860000,302626000,35491000,23764000,6269000,515381000,564110000,679713000,14544000,634451000,16339000,14379000,1243823000,1759204000,155030000,97331000,57652000,9169000,2261000,2261000,166460000,345797000,142592000,86068000,56524000,488389000,654849000,29575000,1049399000,-3629000,1075345000,29010000,1104355000,1759204000,-1443000,20899000,6703000,-85693000,-59534000,-26143000,222000,-25921000,-2906478.75225602,19793000,491000,20284000,-65171000,-65171000,-288000,-65459000,23840000,354966000,-87036000,0.08592,0.00496,-0.00282,-0.00151,-0.00095,52.08618,3.09613,0.59297,0.20178,-0.0629,-0.0629,22.31415,40.47672,-3.27609,0.110770665199709,2,-0.00104,-0.05433,-11.1003538494347,13.86586,112.39782
"14","2013_Q3",19.41140625,"Up",662210000,-600786000,61424000,-48759000,-48759000,12665000,-2138000,-2354000,-2354000,266000,-50000.0000000001,10527000,-1540000,8987000,-244999.999999998,8742000,8742000,-101000,8641000,8641000,34540000,34540000,159055000,159055000,305454000,45948000,35004000,6072000,544997000,566890000,695543000,15659000,647471000,16486000,15927000,1262433000,1807430000,155253000,96334000,58919000,669000,2253000,2253000,158175000,400720000,145143000,85986000,59157000,545863000,704038000,32591000,1050575000,-9877000,1073289000,30103000,1103392000,1807430000,8742000,20674000,3680000,-17357000,15739000,-20969000,-732000,-44368000,-4952000,43544000,-684000,38208000,9579000.00000001,9579000.00000001,557000,10136000,33339000,401389000,-4742000,0.09276,0.01913,0.01305,0.00783,0.00478,-0.548780000000036,3.44553,0.63807,0.22208,0.32452,0.32081,24.86987,40.3083,-0.178089999999999,0.18598,6,0.00824,-0.00287000000000001,0.573079999999996,11.0036,28.96557
"15","2013_Q4",22.26203125,"Up",710295000,-652263000,58032000,-49390000,-49390000,8642000,-2227000,-2788000,-2788000,418000,143000,6415000,-1873000,4542000,-2986000,1556000,1556000,-734000,822000,822000,37078000,37078000,161808000,161808000,295678000,40949000,29612000,6998000,535513000,569219000,693041000,14352000,646906000,16736000,15047000,1262260000,1797773000,159182000,99170000,58907000,693000,2243000,2243000,162118000,413401000,146644000,86245000,60399000,560045000,722163000,35116000,1046132000,-10974000,1070274000,5336000,1075610000,1797773000,1556000,20778000,3452000,19585000,45371000,-18747000,-1309000,-20066000,-9933000,12119000,-25389000,-23203000,2102000,2102000,436000,2538000,29420000,414094000,33244000,0.0817,0.01217,0.00116,0.00076,0.00046,40.44282,3.30323,0.6714,0.23034,0.03079,0.03064,26.60979,40.09568,1.24542,0.37212,6,0.00657,0.02032,12.08394,12.81496,43.62601
"16","2014_Q1",20.5208196721311,"Down",651467000,-614513000,36954000,-43604000,-43604000,-6650000,-2167000,-2464000,-2464000,634000,-337000,-8817000,-336953000,-345770000,61134000,-284636000,-288878000,-356000,-289234000,-289234000,13481000,13481000,188270000,188270000,236049000,29430000,22159000,3521000,467230000,564426000,373856000,13264000,327264000,14808000,18520000,938282000,1405512000,156206000,96348000,59470000,9174000,754000,754000,166134000,372663000,85516000,22929000,62587000,458179000,624313000,34040000,751879000,-9361000,776558000,4641000,781199000,1405512000,-288878000,20719000,273122000,32750000,37713000,-19031000,-375000,-22095000,-5125000,-32021000,-2306000,-39436000,-23818000,-23818000,221000,-23597000,14069000,381837000,-33346000,0.05672,-0.01021,-0.44397,-0.37024,-0.20579,0.115290000000002,2.81237,0.79917,0.27167,-10.81774,-11.00042,24.36575,29.04432,-1.24719,0.19168,3,-0.22755,-0.02671,-0.0177200000000006,26.1821,-55.39188
"17","2014_Q2",20.1809523809524,"Down",587745000,-542417000,45328000,-47550000,-47550000,-2222000,-2117000,-2702000,-2702000,409000,176000,-4339000,-1812000,-6151000,784000,-5367000,-5367000,-861000,-6228000,-6228000,29934000,29934000,125975000,125975000,280100000,29898000,21076000,5073000,465907000,554010000,372202000,12233000,327215000,14530000,18224000,926212000,1392119000,138743000,85851000,52892000,613000,943000,943000,140299000,393426000,86123000,22953000,63170000,479549000,619848000,36702000,740649000,-10087000,767264000,5007000,772271000,1392119000,-5367000,21019000,3180000,7011000,25843000,-13707000,-63000,-15917000,-4990000,12297000,-1103000,6215000,16141000,16141000,312000,16453000,18797000,394039000,11317000,0.07712,-0.00378,-0.0106,-0.00806,-0.00447,-1.81712,3.32081,0.80263,0.28305,-0.23278,-0.23278,21.96767,28.67741,0.42299,0.18651,4,-0.00099,0.00904,-0.80122,19.37038,-163.86364
"18","2014_Q3",20.25859375,"Up",626146000,-571141000,55005000,-45856000,-45856000,9149000,-2590000,-2815000,-2815000,368000,-143000,6559000,-2935000.00000006,3624000,-984999.999999993,2638999.99999997,2639000,-851000,1787999.99999997,1788000,20403000,20403000,173876000,173876000,252849000,31470000,21966000,5680000,478598000,537187000,367984000,11146000,324831000,14524000,17483000,905171000,1383769000,151029000,91771000,59258000,696000.000000001,1096000,1096000,152821000,378217000,85954000,24611000,61343000,464171000,616992000,40109000,737346000,-15959000,761496000,5281000,766777000,1383769000,2639000,20028000,7262000.00000003,-10074000,19855000,-6722000,-1405000,-8140000,-4993000,-16247000,-591000,-21602000,-9886999.99999999,-9886999.99999999,356000,-9531000.00000001,29177000,378913000,13366000,0.08785,0.01461,0.00286000000000003,0.00233000000000001,0.00128999999999999,7.47539,3.13176,0.80466,0.27383,0.0666499999999974,0.0666499999999992,23.34188,28.38755,0.49827,0.18613,5,0.00551000000000001,0.01085,2.79251,12.28742,39.1857
"19","2014_Q4",17.64953125,"Down",631272000,-580007000,51265000,-43425000,-43425000,7840000,-1709000,-2427000,-2427000,147000,571000,6131000,-3157000,2974000,3467000,6441000,4126000,-1014000,3112000,3112000,29362000,29362000,193592000,193592000,230829000,39337000,26554000,8852000,493120000,526454000,368268000,10221000,326024000,14442000,17581000,894722000,1387842000,155299000,91508000,63791000,601000,1152000,1152000,157052000,375797000,83767000,24285000,59482000,459564000,616616000,43170000,735365000,-12882000,765653000,5573000,771226000,1387842000,4126000,19067000,1857000,1853000,26903000,-6849000,-2243000,-9092000,-4993000,-2762000,-722000,-8477000,9334000,9334000,-375000,8959000,26907000,376398000,18444000,0.08121,0.01242,0.00493,0.00404,0.00224,5.92674,3.13985,0.79953,0.27121,0.11589,0.11589,23.50843,28.51275,0.68685,0.18594,5,0.00658,0.01498,1.60443,12.89761,44.2648
"20","2015_Q1",13.0509836065574,"Down",689763000,-622390000,67373000,-50682000,-50682000,16691000,-1770000,-2653000,-2653000,272000,611000,14921000,-386000,14535000,-5848000,8687000,8193000,-941000,7252000,7252000,25672000,25672000,189359000,189359000,216172000,32729000,24108000,1756000,463932000,523433000,367845000,9835000,325903000,14624000,17483000,891278000,1355210000,175685000,103453000,69030000,523000,1062000,1062000,177270000,318842000,83121000,22746000,60375000,401963000,579233000,45854000,737571000,-12641000,770784000,5193000,775977000,1355210000,8193000,19095000,-1663999.99999999,43027000,68651000,-8028000,-54000,-8082000,-5150000,-57077000,-2083000,-64310000,-3741000,-3741000,51000,-3690000,35786000,319365000,76633000,0.09768,0.0242,0.01051,0.00935,0.00535,10.56715,2.61709,0.74646,0.23566,0.26956,0.26307,25.63889,28.65049,2.84849,0.19143,7,0.01052,0.06503,0.71015,8.20692,17.59589
"21","2015_Q2",13.7761904761905,"Up",553624000,-508015000,45609000,-44731000,-44731000,878000,-942000,-2374000,-2374000,5e+05,932000,-64000,-593000,-657000,-106000,-763000,-1601000,-871000,-2472000,-2472000,14666000,14666000,155597000,155597000,244268000,36067000,21915000,3871000,450598000,507970000,363608000,8968000,322956000,15021000,16663000,871578000,1322176000,133349000,73558000,59749000,471000,1127000,1127000,134947000,340355000,86027000,25911000,60116000,426382000,561329000,46735000,729971000,-20785000,755921000,4926000,760847000,1322176000,-1601000,18883000,1643000,-34979000,-16054000,-9144000,541408.205020037,-9144000,-5063000,21656000,-2416000,14177000,-11021000,-11021000,15000,-11006000,19761000,340826000,-24256000,0.08238,0.00159,-0.00447,-0.00325,-0.00187,9.8123,3.33907,0.73777,0.25778,-0.09175,-0.09175,20.54721,28.05526,-0.90024,0.18791,5,0.00218,-0.02042,-2.04814,16.50524,371.48064
"22","2015_Q3",12.9496875,"Down",437449000,-406649000,30800000,-42167000,-42167000,-11367000,307000,-2295000,-2295000,609000,1993000,-11060000,-190253000,-201313000,9672000,-191641000,-195883000,240000,-195643000,-195643000,7601000,7601000,112202000,112202000,255931000,37476000,18747000,13005000,413210000,440874000,216522000,7211000,176732000,15409000,17170000,657396000,1070606000,129757000,74139000,55265000,618000,191000,191000,130566000,312902000,81799000,20150000,61649000,394701000,525267000,48090000,529158000,-36148000,541100000,4239000,545339000,1070606000,-195883000,17988000,192290000,17508000,31903000,-6326000,-1000,-6477000,-5024000,-26927000,-1194000,-33145000,-7719000,-7719000,654000,-7065000,6621000,313520000,8131000,0.07041,-0.02598,-0.44724,-0.35875,-0.18274,-0.0415600000000005,3.16476,0.96319,0.29284,-7.24067,-7.24067,16.18982,20.02591,0.30093,0.18594,3,-0.20264,0.00863999999999999,-0.0256799999999995,46.20435,-26.91291
"23","2015_Q4",12.8246875,"Down",467309000,-424312000,42997000,-39798000,-39798000,3199000,-2250000,-2375000,-2375000,39000,86000,949000,-7258000,-6309000,-1395000,-7704000,-8938000,-687000,-9625000,-9625000,8929000,8929000,117311000,117311000,197008000,39089000,20461000,11824000,362337000,432309000,215653000,6794000,176804000,15232000,16823000,647962000,1010299000,126393000,67889000,58504000,637000,455000,455000,127485000,262746000,83754000,21767000,61987000,346500000,473985000,51387000,514416000,-33737000,532066000,4248000,536314000,1010299000,-8938000,15549000,4049000,52907000,63567000,-5560000,2000,-5558000,-5023000,-50141000,-678000,-55842000,2167000,2167000,-839000,1328000,18748000,263383000,67490000,0.09201,0.00685,-0.0206,-0.01795,-0.00953,-7.01195,2.84219,0.88378,0.2607,-0.35589,-0.35589,17.27894,19.67336,2.49547,0.18573,4,-0.00521,0.07639,-0.52187,13.57233,79.54173
"24","2016_Q1",12.0055737704918,"Down",457017000,-403702000,53315000,-43896000,-43896000,9419000,-560000,-2147000,-2147000,342000,1245000,8859000,-1044000,7815000,4444000,12259000,11346000,-615000,10731000,10731000,22755000,22755000,111492000,111492000,156532000,31586000,21531000,7263000,322365000,427554000,212380000,6353000,175676000,15320000,15031000,639934000,962299000,118938000,57105000,61685000,584000,924000,924000,120446000,227572000,75730000,19138000,56592000,303302000,423748000,52991000,520066000,-38522000,534535000,4016000,538551000,962299000,11346000,15516000,-89999.9999999702,38440000,65212000,-6997000,-2000.00000000001,-6999000,-5226000,-35155000,-2213000,-43941000,14272000,14272000,-446000,13826000,24935000,228156000,51934000,0.11666,0.02061,0.02348,0.01993,0.01115,4.83962,2.67643,0.78683,0.23709,0.39699,0.39699,16.90714,19.77489,1.92128,0.19333,7,0.01894,0.06165,0.487,8.23746,21.80709
"25","2016_Q2",14.52390625,"Up",321198000,-284854000,36344000,-38418000,-38418000,-2074000,-1481000,-1859000,-1859000,-29000,407000,-3555000,-1925000,-5480000,578000,-4902000,-4967000,-329000,-5296000,-5296000,18925000,18925000,71099000,71099000,152866000,27428000,20094000,7334000,270318000,419489000,210883000,5971000,175377000,15118000,14417000,630372000,900690000,99572000,49445000,50127000,599000,837000,837000,101008000,202947000,72287000,15866000,56421000,275234000,376242000,50560000,509620000,-39250000,520930000,3518000,524448000,900690000,-4967000,14828000,2895000,27870000,40626000,-8611000,-4000,-8615000,-5100000,-24537000,-2714000,-35830000,-3819000,-3819000,-11000,-3830000,12754000,203546000,31435000,0.11315,-0.00646,-0.01649,-0.0101,-0.00588,-5.93561,2.6762,0.71741,0.22599,-0.19527,-0.19527,11.84315,19.20763,1.15906,0.18805,4,-0.00024,0.03928,-0.96299,14.47554,-89.01688
"26","2016_Q3",15.8025,"Up",289077000,-259670000,29407000,-33599000,-33599000,-4192000,-1867000,-2015000,-2015000,-290000,438000,-6059000,-32594000,-38653000,-1293000,-39946000,-40970000,-275000,-41245000,-41245000,8940000,8940000,81159000,81159000,146030000,24843000,17720000,7123000,260972000,393768000,197433000,5477000,166276000,12699000,12981000,591201000,852173000,103831000,53083000,50748000,620000,882000,882000,105333000,197219000,72549000,16933000,55616000,269768000,375101000,50244000,463257000,-40078000,473423000,3649000,477072000,852173000,-40970000,14125000,31238000,2314000,6707000,-6012000,32000,-5980000,-5017000,-5759000,-152000,-10928000,-10201000,-10201000,216000,-9985000,9933000,197839000,7528000,0.10173,-0.0145,-0.14268,-0.08645,-0.0484,-0.18252,2.47759,0.78626,0.23216,-1.51441,-1.51441,10.61417,17.38289,0.27641,0.18421,5,-0.04847,0.01007,-0.12164,19.01732,-45.06178
