"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2019_Q3",4.746875,"Down",181820000,-168015000,13805000,-38941000,-8796000,-30145000,-25136000,2468000,-1551000,4019000,-22668000,-659000,-23327000,12438000,-10889000,-10889000,-10889000,-10889000,7245000,7245000,385626000,385626000,22114000,48295000,10196000,38099000,463280000,478170000,167460000,7188000,101245000,59027000,645630000,1108910000,147129000,72671000,30780000,43678000,164467000,82036000,99191000,56580000,42611000,181227000,345694000,533601000,232990000,-3375000,763216000,763216000,1108910000,-10889000,30145000,-5838000,-12279000,1139000,-8982000,-9182000,36000,-6108000,-14151000,-14151000,53000,-14098000,5009000,82036000,-28690000,0.07593,-0.13825,-0.05989,-0.01427,-0.00982,2.63477,2.81686,0.45294,0.07398,-0.24196,-0.24167,4.04018,16.95922,-0.63751,-0.00559,-0.03038,14.93132,-2.97545
"12","2019_Q4",1.79328125,"Down",113417000,-111135000,2282000,-43819000,-14028000,-29791000,-41537000,4970000,-1398000,6368000,-36567000,-6936000,-43503000,7794000.00000001,-35709000,-35709000,-35709000,-35709000,9598000,9598000,369313000,369313000,17303000,16837000,7613000,9224000,413051000,450079000,159959000,6848000,98051000,55060000,610038000,1023089000,110389000,36898000,32453000,41038000,127531000,8e+07,87131000,47260000,39871000,167131000,294662000,534734000,197281000,-3588000,728427000,728427000,1023089000,-35709000,29791000,-588000,16116000,9609999.99999999,-4644000,-4644000,-2036000,-2578000,2387999.99999999,2387999.99999999,-35000,2353000,-11746000,8e+07,-8068000,0.02012,-0.36623,-0.31485,-0.04902,-0.0349,0.22594,3.23883,0.40452,0.07819,-0.79318,-0.79651,2.51926,16.18008,-0.17921,-0.03987,-0.00901,-5.99369999999999,-1.69492
"13","2020_Q1",1.31725806451613,"Down",67637000,17014000,84651000,-128159000,-99638000,-28521000,-43508000,5786000,-1486000,7272000,-37722000,-37763000,-75485000,14706000,-60779000,-60779000,-60779000,-60779000,5872000,5872000,363053000,363053000,17483000,20572000,12354000,8218000,406980000,421123000,124282000,5788000,67581000,50913000,545405000,952385000,113965000,39220000,33465000,41280000,130397000,8e+07,73247000,36873000,36374000,153247000,283644000,535545000,136502000,-3306000,668741000,668741000,952385000,-60779000,28521000,24887000,4298000,-3073000,-145000,-145000,0,-545000,-3763000,-3763000,37000,-3726000,-14987000,8e+07,-25540000,1.25155,-0.64326,-0.89861,-0.09089,-0.06382,0.42021,3.12108,0.42415,0.084,-1.34789,-1.34789,1.49998,14.83059,-0.5664,-0.07394,-0.03107,-4.94615,-1.70378
"14","2020_Q2",1.16,"Down",97383000,-81906000,15477000,-36438000,-10556000,-25882000,-20961000,5771000,-1638000,7409000,-15190000,-68085000,-83275000,-696000,-83971000,-83971000,-83971000,-83971000,13180000,13180000,371755000,371755000,13193000,26906000,8250000,18656000,425034000,384419000,64558000,5536000,12608000,46414000,448977000,874011000,111501000,42993000,28699000,39809000,126985000,88350000,74268000,41873000,32395000,162618000,289603000,536597000,52531000,-4720000,584408000,584408000,874011000,-83971000,25882000,74783000,-15153000,1541000,-942000,-942000,8350000,6898000,7497000,7497000,-189000,7308000,4921000,88350000,-10478000,0.15893,-0.21524,-0.86228,-0.14369,-0.09608,0.12478,3.34712,0.49555,0.10109,-1.85309,-1.85309,2.14907,12.89685,-0.23123,-0.11241,-0.01403,15.27535,-3.58618
"15","2020_Q3",1.47328125,"Up",60109000,-48753000,11356000,-37644000,-13528000,-24116000,-26288000,7799000,-1471000,9270000,-18489000,-198000,-18687000,3482000,-15205000,-15205000,-15205000,-15205000,18025000,18025000,353912000,353912000,12473000,34292000,6236000,28056000,418702000,361407000,58361000,5282000,12608000,40471000,419768000,838470000,98350000,31866000,29729000,36755000,111737000,89250000,67418000,37593000,29825000,156668000,268405000,536791000,37326000,-4052000,570065000,570065000,838470000,-15205000,24116000,-2949000,-669000,5293000,-938000,-938000,9e+05,438000,4793000,4793000,52000,4845000,-2172000,89250000,-7261000,0.18892,-0.43734,-0.25296,-0.02667,-0.01813,0.47754,3.74721,0.47083,0.10644,-0.33251,-0.33251,1.31449,12.46643,-0.15879,-0.02092,-0.00999,-32.79236,-2.70941
"16","2020_Q4",2.43375,"Up",70534000,-45929000,24605000,-35725000,-12593000,-23132000,-11120000,7944000,-1098000,9042000,-3176000,413000,-2763000,6193000,3430000,3430000,3430000,3430000,13884000,13884000,373160000,373160000,13297000,46452000,3363000,43089000,446793000,336717000,47589000,5028000,12608000,29953000,384306000,831099000,100717000,33428000,31789000,35500000,111374000,89800000,55754000,29423000,26331000,145554000,256928000,537143000,40756000,-3728000,574171000,574171000,831099000,3430000,23132000,-6678000,-24936000,-5052000,790000,790000,549999.999999999,41000,-4221000,-4221000,80000,-4141000,12012000,89800000,-18327000,0.34884,-0.15765,0.0486300000000001,0.00597000000000002,0.00413,-5.34315,4.01165,0.44748,0.10805,0.07494,0.0749400000000001,1.54115,12.54552,-0.40044,0.00477,-0.02546,6.32001,-6.82698
"17","2021_Q1",5.0583606557377,"Up",85050000,-29069000,55981000,-78641000,-56454000,-22187000,-22660000,8027000,-1190000,9217000,-14633000,-418000,-15051000,3190000,-11861000,-11861000,-11861000,-11861000,16572000,14822000,393112000,393112000,12020000,43044000,13825000,29219000,464748000,317138000,42676000,4774000,12608000,25294000,359814000,824562000,118815000,40319000,34088000,44408000,128598000,81338000,51299000,24741000,26558000,132637000,261235000,537497000,28895000,-3065000,563327000,563327000,824562000,-11861000,22187000,14106000,-19247000,5185000,1035000,-1205000,-7249000,-3111000,869000,869000,69000,938000,-473000,82503000,-21875000,0.65821,-0.26643,-0.13946,-0.02106,-0.01438,1.84428,3.61396,0.46374,0.10006,-0.25916,-0.25916,1.85833,12.30858,-0.47796,-0.01701,-0.03138,-139.38901,-2.90958
"18","2021_Q2",4.12,"Down",66804000,-48080000,18724000,-39170000,-18024000,-21146000,-20446000,5383000,-1225000,6608000,-15063000,3595540.45619706,-15063000,2623000,-12440000,-12440000,-12440000,-12440000,16119000,14366000,369434000,369434000,11356000,46801000,10740000,36061000,443710000,297197000,39537000,4521000,12608000,22408000,336734000,780444000,110073000,36690000,36558000,36825000,119607000,66977000,42461000,19722000,22739000,109438000,229045000,537841000,16455000,-2897000,551399000,551399000,780444000,-12440000,21146000,5493000,35000,14234000,309000,309000,-14694000,-15024000,-481000.000000001,-481000.000000001,25000,-455999.999999998,700000.000000004,68389000,-1579000,0.28028,-0.30606,-0.18622,-0.02256,-0.01594,0.12693,3.70973,0.41539,0.08763,-0.27084,-0.27084,1.45441,12.00468,-0.03438,-0.01878,-0.00238,74.67143,-2.55649
"19","2021_Q3",3.56453125,"Down",47440000,-50375000,-2935000,-30125000,-9860000,-20265000,-33060000,-18290000,-1169000,-17121000,-51350000,4920680.29030722,-51350000,16560000,-34790000,-34790000,-34790000,-34790000,12795000,11038000,413245000,413245000,10212000,8724000,7936000,788000,444976000,275888000,45075000,4267000,12608000,20106000,320963000,765939000,138082000,39505000,35198000,63379000,146767000,62811000,39159000,12041000,27118000,101970000,248737000,538195000,-18335000,-2658000,517202000,517202000,765939000,-34790000,20265000,-16247000,21008000,-9764000,2614000,2614000,-4715000,3810000,-3340000,-3340000,11000,-3329000,-12795000,64241000,-5733000,-0.06187,-0.69688,-0.73335,-0.06727,-0.04542,0.16479,3.03185,0.48093,0.08387,-0.75742,-0.75742,1.03283,11.26017,-0.12481,-0.05606,-0.00924,-4.02079,-1.55614
"20","2021_Q4",2.6103125,"Down",57485000,-53584000,3901000,-60577000,-41429000,-19148000,-56676000,6102000.00000001,-1484000,7586000,-50574000,2486000,-48088000,7187000,-40901000,-40901000,-40901000,-40901000,9713000,7953000,402035000,402035000,9438000,4851000,3859000,992000.000000004,426037000,259284000,43186000,3471000,12608000,19013000,302470000,728507000,137640000,43628000,39283000,54729000,146085000,79195000,26963000,687000,26276000,106158000,252243000,538447000,-59236000,-2947000,476264000,476264000,728507000,-40901000,19148000,18057000,-16538000,-20234000,2184000,2184000,15822000,14994000,-3056000,-3056000,-28000,-3084000,-37528000,80644000,-59069000,0.06786,-0.98593,-0.71151,-0.08588,-0.05614,1.44419,2.91636,0.52963,0.1107,-0.87614,-0.87614,1.23139,10.20209,-1.26532,-0.07005,-0.10117,-1.89008000000002,-1.25152
"21","2022_Q1",1.81516129032258,"Down",57233000,-18236000,38997000,-54369000,-36453000,-17916000,-15372000,10700000,-2528000,13228000,-4672000,-5120000,-9792000,-3507000,-13299000,-13299000,-13299000,-13299000,11661000,9899000,407550000,407550000,8366000,13206000,12381000,825000,440783000,241227000,38882000,2561000,11717000,16510000,280109000,720892000,142824000,37560000,42748000,62516000,150234000,85240000,22196000,865000,21331000,107436000,257670000,538688000,-72535000,-2931000,463222000,463222000,720892000,-13299000,17916000,1158000,-8876000,-3101000,4e+05,4e+05,7776000,4648000,1947000,1947000,-1000,1946000,2544000,86708000,-2425000,0.68137,-0.26859,-0.23237,-0.02871,-0.01845,0.18234,2.93398,0.55626,0.12028,-0.28488,-0.28488,1.22599,9.92271,-0.05195,-0.02324,-0.00424,29.49961,-4.88206
"22","2022_Q2",2.24048387096774,"Up",62298000,-54480000,7818000,-25835000,-8668000,-17167000,-18017000,6888000,-2349000,9237000,-11129000,-20669139.6267479,-11129000,-3688000,-14817000,-14817000,-14817000,-14817000,9881000,8118000,411931000,411931000,10358000,10027000,9086000,941000,442197000,225633000,34617000,2366000,11717000,15354000,260250000,702447000,137480000,38780000,42950000,55750000,144676000,87458000,21469000,1431000,20038000,108927000,253603000,538929000,-87352000,-2733000,448844000,448844000,702447000,-14817000,17167000,3751000,-8482000,-2381000,-144000,-144000,1604000,736000.000000001,-1789000,-1789000,8000,-1781000,-850000.000000004,88944000,-5788000,0.12549,-0.28921,-0.23784,-0.03301,-0.02109,0.39063,3.05646,0.56501,0.12662,-0.3174,-0.3174,1.33449,9.61472,-0.12399,-0.02649,-0.01035,-93.01529,-4.38824
"23","2022_Q3",3.4875,"Up",89678000,-68786000,20892000,-25682000,-8206000,-17476000,-4790000,10428000,-2659000,13087000,5638000,-47273318.8802436,5638000,-3935000,1703000,1703000,1703000,1703000,14494000,12729000,430443000,430443000,8e+06,8757000,7919000,838000,461694000,210046000,31390000,2171000,11717000,15274000,241436000,703130000,137762000,38618000,43660000,55484000,144922000,83969000,23940000,1611000,22329000,107909000,252831000,539129000,-85649000,-3181000,450299000,450299000,703130000,1703000,17476000,361000,-17797000,1743000,3623000,3623000,-4042000,-679000,4687000,4687000,-76000,4611000,12686000,85474000,2447000,0.23297,-0.05341,0.01899,0.00378,0.00242,1.43688,3.18581,0.56147,0.12156,0.03635,0.03635,1.91436,9.61253,0.05224,0.00304,0.00437,5.59514,-14.81837
