"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","investment_income_loss","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","intangible_assets","goodwill","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",41.4422580645161,"Down",222690000,151532000,158159000,-6627000,71158000,0,63063000,8095000,-2500000,220190000,-144450000,-144450000,75740000,75740000,75740000,-17071000,58669000,58669000,58669000,58669000,637042000,2115134000,9234474000,8705639000,-105401000,8811040000,317197000,9066000,535509000,293480000,21847541000,18245197000,10524267000,7720930000,724916000,100012000,358799000,19428924000,0,698653000,1445241000,274723000,2418617000,2418617000,21847541000,58669000,15162000,2500000,-620000,26057000,101768000,-2355000,-207127000,-322005000,-531487000,-29525000,-54826000,2881000,968080000,886644000,456925000,456925000,456925000,90902000,824928000,131675000,0.34011,0.26346,0.02426,0.00269,2.24437,8.03307,0.03776,0.95682,0.95116,3.63179,39.44457,2.14745,0.48152,0.00404,0.00603,0.50325,2.06691,2.48067
"12","2013_Q1",45.189,"Up",230292000,154405000,160792000,-6387000,75887000,4435000,62211000,9241000,-4125000,226167000,-146067000,-146067000,80100000,80100000,80100000,-19912000,60188000,60188000,60188000,60188000,790106000,2734873000,9327759000,9119395000,-104453000,9223848000,315934000,8147000,535509000,292346000,23124069000,19497366000,11400429000,8096937000,684773000,100007000,424441000,20706587000,0,703583000,1475851000,238048000,2417482000,2417482000,23124069000,60188000,16151000,4125000,-4149000,-45539000,30776000,1254000,-23930999.9999999,-417795000,-440472000,-29571000,-40148000,-12000,1252169000,1182499000,772803000,772803000,772803000,96251000,784780000,71878000,0.34782,0.26136,0.0249,0.0026,1.19422,8.56535,0.03394,0.98053,0.97514,3.7517,39.38332,1.17097,0.48174,0.00388,0.00311,0.49131,-0.0553299999999997,-0.0664900000000004
"13","2013_Q2",48.00765625,"Up",230593000,152813000,158762000,-5949000,77780000,5000,66765000,11010000,-6e+06,224593000,-155814000,-155814000,68779000,68779000,68779000,-13591000,55188000,55188000,55188000,55188000,542447000,2676013000,9087095000,9068762000,-93589000,9162351000,303321000,7327000,535509000,277247000,22497721000,19043904000,11368438000,7675466000,633814000,100002000,276670000,20054390000,144676000,684757000,1500085000,214370000,2443331000,2443331000,22497721000,55188000,18174000,6e+06,-685000,-123849000,-45172000,7858000,195634000,47259000,250751000,-28779000,-50964000,20985000,-453462000,-512098000,-306519000,-306519000,-306519000,86953000,733816000,-15447000,0.29827,0.23933,0.02259,0.00245,-0.2799,8.20781,0.03262,0.9108,0.90215,3.80563,37.93625,-0.25493,0.47496,0.00373,-0.00069,0.52147,2.20083,2.78238
"14","2013_Q3",54.61125,"Up",225690000,153181000,159018000,-5837000,72509000,6000,64717000,7786000,-3575000,222115000,-149758000,-149758000,72357000,72357000,72357000,-12694000,59663000,59663000,59663000,56975000,595733000,2305622000,9356543000,9139143000,-93400000,9232543000,306069000,6539000,535509000,326356000,22571514000,19078219000,11333543000,7744676000,673535000,1e+08,291922000,20143676000,144486000,687536000,1524638000,155602000,2427838000,2427838000,22571514000,59663000,19031000,3575000,-1369000,-68985000,11915000,-5996000,-304439000,-73705000.0000001,-384140000,-32857000,39719000,13690000,34314999.9999998,55120000,-317105000,-317105000,-317105000,91388000,773535000,29101000,0.3206,0.25245,0.02347,0.00252,0.51077,8.29696,0.03427,0.94942,0.93888,3.76084,38.04919,0.48493,0.54752,0.00398,0.00129,0.57669,1.94557,2.45729
"15","2013_Q4",55.31140625,"Up",229344000,155353000,160851000,-5498000,73991000,-14000,67447000,6558000,-5108000,224236000,-151823000,-151823000,72413000,72413000,72413000,-11969000,60444000,60444000,60444000,58429000,679301000,3640760000,8881630000,9213307000,-93147000,9306454000,306638000,5759000,535509000,266856000,23529760000,19978894000,11877121000,8101773000,710849000,1e+08,258849000,21048592000,144486000,720589000,1546101000,145727000,2481168000,2481168000,23529760000,60444000,21684000,5108000,-1872000,48193000,133557000,-3970000,426495000,-75749000,346776000,-32328000,37314000,30837000,900675000,938373000,1418706000,1418706000,1418706000,94097000,810849000,150289000,0.31574,0.25477,0.02355,0.00248,2.57216,8.48334,0.03446,0.96834,0.95388,3.80089,38.72557,2.49072,0.53577,0.00386,0.00639,0.55329,1.398,1.81664
"16","2014_Q1",58.1472131147541,"Up",237746000,159208000,163869000,-4661000,78538000,1179000,68182000,9177000,-5899000,231847000,-154515000,-154515000,77332000,77332000,77332000,-14761000,62571000,62571000,62571000,60555000,885121000,3671004000,9192690000,9423262000,-92438000,9515700000,313331000,6345000,536649000,284537000,24312939000,20688786000,12377637000,8311149000,791965000,1e+08,218027000,21798778000,144486000,724814000,1575282000,140434000,2514161000,2514161000,24312939000,62571000,21503000,5899000,2391000,-19058000,73306000,-10810000,-370811000,-215792000,-599309000,-32374000,81116000,2997000,709892000,762067000,236064000,236064000,236064000,98835000,891965000,83728000,0.32527,0.2547,0.02409,0.00249,1.38268,8.6704,0.03669,1.00158,0.98698,3.93231,39.19435,1.38486,0.53546,0.00382,0.00344,0.53462,0.06925,0.0885
"17","2014_Q2",60.3498412698413,"Up",237825000,160335000,163706000,-3371000,77490000,0,70961000,6529000,-6600000,231225000,-157941000,-157941000,73284000,73284000,73284000,-12096000,61188000,61188000,61188000,59172000,692272000,4485859000,8721861000,9655489000,-95156000,9750645000,320701000,5656000,536649000,266598000,24685085000,21065633000,12448317000,8617316000,638947000,1e+08,314586000,22119166000,144486000,728294000,1599337000,142748000,2565919000,2565919000,24685085000,61188000,23512000,6600000,-5161000,-13556000,72583000,-11481000,588180000,-237216000,339483000,-32503000,-153018000,17279000,376847000,209940000,622006000,622006000,622006000,96796000,738947000,83855000,0.30814,0.2488,0.02306,0.0024,1.41714,8.62037,0.02993,0.97481,0.96078,3.91796,39.89097,1.38144,0.53546,0.00371,0.0034,0.5493,0.4822,0.63691
"18","2014_Q3",61.88140625,"Up",249116000,169966000,173392000,-3426000,79150000,2000,70210000,8938000,-4924000,244192000,-163947000,-163947000,80245000,80245000,80245000,-13541000,66704000,66704000,66704000,64689000,809582000,4211028000,9574544000,10581091000,-98286000,10679377000,369158000,15700000,649020000,313316000,26523439000,22516606000,13009025000,9507581000,750106000,1e+08,386053000,23752765000,144486000,880217000,1630799000,160468000,2770674000,2770674000,26523439000,66704000,24281000,4924000,-4163000,-64117000,27629000,-29699000,-575943000,-253620000,-28600999.9999999,-34188000,47567000,2830000,-173070000,-156544000,-157516000,-157516000,-157516000,104526000,850106000,24251000,0.32212,0.25967,0.02335,0.00244,0.37489,8.57292,0.03205,1.05097,1.03558,4.04728,42.66653,0.394,0.55544,0.00373,0.00091,0.5285,0.38769,0.505
"19","2014_Q4",59.86203125,"Down",258503000,177641000,181548000,-3907000,80862000,33000,73497000,7332000,-390000,258113000,-163851000,-163851000,94262000,94262000,94262000,-16881000,77381000,77381000,77381000,75365000,714851000,4585602000,10041358000,10648472000,-98312000,10746784000,397429000,13121000,653849000,315951000,27370633000,23490603000,13328188000,10162415000,718080000,1e+08,244098000,24552781000,144486000,883758000,1672527000,155276000,2817852000,2817852000,27370633000,77381000,25765000,390000,-5337000,-23573000,74626000,-30930000,-610667000,-66981000,-708578000,-34250000,-32026000,5464000,973997000,913795000,279843000,279843000,279843000,120027000,818080000,82405000,0.36465,0.29154,0.02675,0.00275,1.09341,8.7133,0.02989,1.19743,1.17993,4.10719,42.47541,1.30928,0.54418,0.004,0.00301,0.45445,0.86005,1.09513
"20","2015_Q1",53.7172131147541,"Down",261634000,178992000,182825000,-3833000,82642000,3000,73182000,9457000,-4400000,257234000,-169001000,-169001000,88233000,88233000,88233000,-15529000,72704000,72704000,72704000,70688000,702485000,3661638000,11575216000,10887993000,-99542000,10987535000,442170000,12125000,654668000,341480000,28277775000,24135930000,13986869000,10149061000,940234000,1e+08,250208000,25426372000,144486000,887113000,1710324000,141814000,2851403000,2851403000,28277775000,72704000,27581000,4400000,9174000,1156000,115015000,-48530000,-1593564000,-242303000,-1884397000,-34300000,222154000,2128000,645327000,833047000,-936335000,-936335000,-936335000,115814000,1040234000,83969000,0.33724,0.27018,0.02479,0.0025,1.18788,8.91714,0.03679,1.12032,1.10506,4.14657,42.90128,1.3308,0.54361,0.00371,0.00297,0.48523,2.91631,3.82792
"21","2015_Q2",59.4690476190476,"Up",263918000,180703000,184374000,-3671000,83215000,228000,74657000,8330000,-8162000,255756000,-171511000,-171511000,84245000,84245000,84245000,-12082000,72163000,72163000,72163000,70147000,639575000,3205189000,11678606000,11109105000,-105708000,11214813000,487490000,11231000,654668000,373118000,28158982000,24149622000,14117672000,10031950000,741322000,1e+08,257107000,25248051000,144486000,889749000,1747958000,160119000,2910931000,2910931000,28158982000,72163000,27342000,8162000,-6726000,-46163000,54778000,-48902000,-80744000,-225770000,-355416000,-34304000,-198912000,728000,13692000,-218721000,-519359000,-519359000,-519359000,111587000,841322000,28604000,0.31921,0.26579,0.0241,0.00249,0.40777,8.67353,0.02988,1.11178,1.09984,4.18291,43.84613,0.45335,0.54369,0.00371,0.00102,0.48903,1.80798,2.39477
"22","2015_Q3",55.26703125,"Down",261791000,182809000,185932000,-3123000,78982000,0,71665000,7317000,-2873000,258918000,-173239000,-173239000,85679000,85679000,85679000,-12602000,73077000,73077000,73077000,71062000,559787000,2708759000,11629497000,11294217000,-106607000,11400824000,525692000,10382000,654668000,398591000,27781593000,23841154000,13683342000,10157812000,729479000,1e+08,239293000,24909926000,144486000,893200000,1783222000,82297000,2871667000,2871667000,27781593000,73077000,28344000,2873000,-5935000,-36834000,61525000,-43946000,-51514999.9999998,-184679000,-280140000,-35598000,-11842999.9999999,-2372000,-308468000,-357603000,-576218000,-576218000,-576218000,114023000,829479000,45845000,0.32728,0.27145,0.02475,0.00256,0.64514,8.67438,0.02986,1.12585,1.1112,4.14759,43.20712,0.72633,0.56398,0.00384,0.00165,0.50094,2.36524,3.1477
"23","2015_Q4",54.2315625,"Down",270359000,186981000,190088000,-3107000,83378000,-52000,73254000,10176000,-6810000,263549000,-175569000,-175569000,87980000,87980000,87980000,-12130000,75850000,75850000,75850000,73834000,559311000,3195594000,11844359000,11248577000,-110373000,11358950000,540388000,9566000,654668000,288889000,28341352000,24324397000,13855792000,10468605000,769294000,1e+08,242688000,25436379000,144486000,895672000,1823045000,133916000,2904973000,2904973000,28341352000,75850000,29591000,6810000,-5210000,135415000,242456000,-22010000,-201741000,41759000,-181767000,-35162000,39815000,-61473000,483243000,425670000,486359000,486359000,486359000,117571000,869294000,243106000,0.32542,0.2731,0.02542,0.00261,3.2926,8.75615,0.03067,1.17892,1.16607,4.31685,44.07701,3.8817,0.56144,0.00385,0.00858,0.47623,2.63656,3.52333
"24","2016_Q1",42.7252459016393,"Down",269294000,186139000,189102000,-2963000,83155000,-107000,73429000,9833000,-3.4e+07,235294000,-173399000,-173399000,61895000,61895000,61895000,-3657000,58238000,58238000,58238000,56222000,532824000,3058699000,12061137000,11350672000,-135859000,11486531000,559124000,8800000,654668000,340018000,28565942000,24343595000,14073362000,10270233000,1029591000,99870000,202543000,25675599000,144486000,897987000,1845188000,113863000,2890343000,2890343000,28565942000,58238000,30646000,3.4e+07,-6883000,-79900000,36101000,-25051000,-264465000,-132300000,-421597000,-35160000,261343000,-23267000,19198000,222114000,-163382000,-163382000,-163382000,92541000,1129461000,-8753000.00000003,0.22984,0.20878,0.01945,0.00197,-0.15569,8.88324,0.03954,0.90403,0.89462,4.33015,44.15243,-0.140749999999999,0.56536,0.0032,-0.000310000000000001,0.62538,6.44727,9.6395
"25","2016_Q2",51.40296875,"Up",285867000,189724000,192604000,-2880000,96143000,14903000,75196000,6044000,-28500000,257367000,-179159000,-179159000,78208000,78208000,78208000,-9392000,68816000,68816000,68816000,66800000,559469000,3303994000,11628329000,11380155000,-161880000,11542035000,556988000,8136000,654668000,308347000,28400086000,24156975000,14507042000,9649933000,829969000,99900000,321002000,25407846000,144486000,900507000,1878985000,179319000,2992240000,2992240000,28400086000,68816000,31637000,28500000,-22005000,23182000,130130000,-5796000,623351000,-54632000,562923000,-34954000,-199636000,97000,-186620000,-421113000,271940000,271940000,271940000,109845000,929869000,136623000,0.27358,0.23368,0.02232,0.00235,2.04525,8.49125,0.03274,1.07865,1.07604,4.61601,45.98383,2.20611,0.56442,0.00358,0.00481,0.52326,3.37202,4.73609
"26","2016_Q3",58.141875,"Up",268519000,190502000,193451000,-2949000,78017000,0,70696000,7321000,-9189000,259330000,-179445000,-179445000,79885000,79885000,79885000,-8378000,71507000,71507000,71507000,69492000,572287000,2792936000,12587914000,11434468000,-149714000,11584182000,564199000,7517000,654668000,362260000,28976249000,24287451000,14508064000,9779387000,869258000,99930000,582942000,25839581000,144486000,903529000,1914022000,281357000,3136668000,3136668000,28976249000,71507000,30992000,9189000,-7515000,-54464000,49709000,-15850000,-611238000,-59090000,-685587000,-35601000,39274000.0000001,3489000,130476000,137638000,-498240000,-498240000,-498240000,110877000,969188000,48941000,0.2975,0.2588,0.02215,0.0024,0.70427,8.23791,0.03345,1.12157,1.11191,4.33379,48.29262,0.78989,0.57459,0.00363,0.00169,0.5123,3.57965,4.9684
"27","2016_Q4",67.8520634920635,"Up",276621000,194507000,197489000,-2982000,82114000,-37000,74158000,7993000,-5045000,271576000,-180505000,-180505000,91071000,91071000,91071000,-10852000,80219000,80219000,80219000,78203000,563835000,3431553000,12629948000,11431637000,-149773000,11581410000,564372000,6931000,654668000,319968000,29602912000,25107548000,14827488000,10280060000,940414000,99960000,293194000,26441116000,144486000,905985000,1942561000,215513000,3161796000,3161796000,29602912000,80219000,32154000,5045000,-2311000,40028000,155135000,-9187000,-417063000,1494000,-424441000,-36055000,71142000,44287000,820097000,899471000,630165000,630165000,630165000,123225000,1040374000,164918000,0.32923,0.28271,0.02473,0.00264,2.10884,8.36269,0.03514,1.25226,1.23854,4.4295,48.31588,2.64082,0.57735,0.00386,0.00557,0.46104,3.86723,5.23261
"28","2017_Q1",76.5938709677419,"Up",295037000,201603000,204868000,-3265000,93434000,109000,73539000,19786000,-8939000,286098000,-193851000,-193851000,92247000,92247000,92247000,-8528000,83719000,83719000,83719000,81703000,561838000,3579607000,12648324000,11822347000,-153045000,11975392000,525821000,6776000,654952000,396654000,30196319000,25811575000,15298206000,10513369000,1113119000,99990000,169107000,27193791000,144486000,907369000,1985569000,-24623000,3002528000,3002528000,30196319000,83719000,33099000,8939000,-679000,-22210000,102868000,36300000,-466393000,-396291000,-826876000,-36355000,172690000,29703000,704027000,870065000,146057000,146057000,146057000,125346000,1213109000,147964000,0.31266,0.27692,0.02721,0.00271,1.811,9.05696,0.04017,1.29345,1.27348,4.67078,45.24616,2.34244,0.57554,0.00391,0.0049,0.44497,5.19579,7.06008
"29","2017_Q2",78.9953968253968,"Up",292209000,208509000,211792000,-3283000,83700000,0,76226000,7474000,-7952000,284257000,-187915000,-187915000,96342000,96342000,96342000,-11401000,84941000,84941000,84941000,82925000,509506000,4019667000,12448048000,12032589000,-153056000,12185645000,521092000,6318000,654952000,332533000,30524705000,26142164000,15232749000,10909415000,1031341000,98446000,155376000,27427327000,144486000,926645000,2032097000,-5850000,3097378000,3097378000,30524705000,84941000,33759000,7952000,-2912000,5915000,129655000,-4422000,241039000,-214281000,22797000,-36672000,-83346000,24705000,330589000,235276000,387728000,387728000,387728000,130101000,1129787000,142995000,0.3297,0.28379,0.02677,0.00272,1.72439,8.85501,0.03701,1.30103,1.28094,4.58452,46.32846,2.24347,0.57535,0.00392,0.00468,0.44223,4.76769,6.43832
"30","2017_Q3",77.8811111111111,"Down",295868000,214788000,219274000,-4486000,81080000,-49999.9999999998,74243000,6887000,-8426000,287442000,-188051000,-188051000,99391000,99391000,99391000,-13838000,85553000,85553000,85553000,83538000,542475000,3163840000,12586586000,12362780000,-149558000,12512338000,520253000,5880000,654952000,369548000,30206314000,25613573000,14906208000,10707365000,1061022000,98473000,209317000,26982385000,144486000,949235000,2078898000,51310000,3223929000,3223929000,30206314000,85553000,33948000,8426000,308000,-69428000,58807000,-8164000,-20089000,-335127000,-363379000,-38752000,29655000,19402000,-528591000,-518286000,-822858000,-822858000,-822858000,133339000,1159495000,69585000,0.33593,0.28235,0.02591,0.00277,0.83297,8.36941,0.03839,1.30403,1.2845,4.61852,48.07028,1.08623,0.60492,0.00405,0.0023,0.46388,4.62745,6.20801
