"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",13.835,"Down",66592000,-10230000,56362000,-46545000,-19155000,-27390000,9817000,39000,55000,-16000,9856000,9856000,-4236000,5620000,5620000,6617000,6617000,197901000,197901000,17085000,17085000,18245000,19704000,9759000,252935000,232310000,54780000,5502000,42550000,287090000,540025000,44850000,27348000,17502000,1574000,50572000,58866000,2175000,2175000,61041000,111613000,228116000,204286000,-3901000,427044000,428412000,540025000,5620000,2770000,6963000,31131000,46484000,-10022000,-10022000,-10022000,-10022000,-541000,-371000,36091000,36091000,-33000,36058000,12587000,63014000,37932000,0.84638,0.14742,0.09937,0.01545,0.01225,5.73251,5.00148,0.26053,0.11669,0.18277,0.18044,1.83936,11.79552,1.04773,6,0.01341,0.07685,-10.71637,-13.74014
"12","2013_Q1",14.7758333333333,"Up",94606000,-15150000,79456000,-55421000,-19476000,-35945000,24035000,250000,25000,225000,24285000,24285000,-9283000,15002000,15002000,16107000,16107000,141666000,141666000,96043000,96043000,15161000,10477000,9213000,263347000,241764000,59119000,5502000,42530000,300883000,564230000,55626000,31297000,24214000,1811000,61907000,58304000,1891000,1891000,60195000,122102000,2.31e+08,220393000,-4129000,441358000,442128000,564230000,15002000,3518000,-2198000,-55341000,-39019000,-12902000,-12902000,-12902000,-12902000,9492000,-4317000,-56238000,-56238000,3000,-56235000,27553000,62774000,-31407000,0.83986,0.25405,0.17025,0.03643,0.02855,-1.9499,4.25391,0.27617,0.11126,0.4488,0.44239,2.63605,12.29778,-0.87511,3,0.03178,-0.06197,-2.86328,-3.28238
"13","2013_Q2",13.66140625,"Down",43100000,-5698000,37402000,-50752000,-20028000,-30724000,-13350000,29000,12000,17000,-13321000,-13321000,4516000,-8805000,-8805000,-8062000,-8062000,130238000,130238000,62964000,62964000,22148000,21729000,9703000,237079000,242344000,58962000,5502000,42373000,301306000,538385000,37063000,23871000,13192000,2008000,43541000,57187000,1852000,1852000,59039000,102580000,232923000,212330000,-3759000,435588000,435805000,538385000,-8805000,4163000,-2952000,2968000,-4626000,-7679000,-7679000,-7679000,-7679000,491000,995000,-11310000,-11310000,-118000,-11428000,-9187000,61657000,-18414000,0.8678,-0.30974,-0.18705,-0.0185,-0.01497,2.28405,5.44496,0.23538,0.11452,-0.22414,-0.22414,1.19829,12.11041,-0.51195,4,-0.01615,-0.03688,7.465,5.13715
"14","2013_Q3",16.84203125,"Up",82436000,-16945000,65491000,-50779000,-20501000,-30278000,14712000,25000,6999.99999999999,18000,14737000,14737000,-4381000,10356000,10356000,10484000,10484000,156243000,156243000,54369000,54369000,18582000,18965000,11199000,248159000,248504000,58951000,5502000,42362000,307455000,555614000,42259000,25711000,16548000,2049000,48778000,56069000,1685000,1685000,57754000,106532000,236135000,222814000,-3513000,449530000,449082000,555614000,10356000,4209000,6421000,11842000,32828000,-6444000,-6444000,-6444000,-6444000,-969000,-540000.000000001,25844000,25844000,161000,26005000,18921000,60539000,28700000,0.79445,0.17847,0.12718,0.02335,0.01887,2.7375,5.08752,0.23722,0.10896,0.29006,0.28702,2.28073,12.43701,0.79403,7,0.0205,0.05613,-5.05808,-6.50517
"15","2013_Q4",19.670625,"Up",89102000,-20063000,69039000,-50892000,-21955000,-28937000,18147000,146000,88000,58000,18293000,18293000,-4802000,13491000,13491000,13491000,13491000,172561000,172561000,30093000,30093000,16325000,15036000,13184000,234015000,263056000,98393000,14294000,42241000,361449000,595464000,48798000,29018000,19780000,3364000,56632000,54952000,17023000,17023000,71975000,128607000,240409000,236305000,-3502000,467306000,466857000,595464000,13491000,5175000,7690000,33769000,60125000,-20297000,-20297000,-20297000,-44417000,-925000,647000,16355000,16355000,-37000,16318000,23322000,59422000,41596000,0.77483,0.20367,0.15141,0.0289,0.02266,3.08324,4.1322,0.27547,0.09979,0.37191,0.36445,2.4563,12.88233,1.14669,6,0.02483,0.07656,-4.85117,-6.23458
"16","2014_Q1",23.8293442622951,"Up",98107000,-19421000,78686000,-55393000,-25399000,-29994000,23293000,365000,32000.0000000001,333000,23658000,23658000,-8441000,15217000,15217000,15222000,15222000,179338000,179338000,60587000,60587000,14643000,18547000,12896000,273115000,264240000,89275000,13954000,45173000,353515000,626630000,53388000,27521000,25867000,3263000,56651000,6.2e+07,18814000,17395000,80814000,137465000,247674000,251528000,-3465000,489618000,489165000,626630000,15217000,5411000,12449000,-24436000,8641000,-7601000,-7601000,-7601000,-9353999.99999999,-58620000,7509999.99999999,6797000,6797000,-20000,6777000,28704000,6.2e+07,5108000,0.80204,0.23742,0.15516,0.03112,0.02429,0.33557,4.82101,0.28102,0.09894,0.41798,0.40616,2.69395,13.44455,0.14026,4,0.02671,0.00896,-4.08786,-5.03748
"17","2014_Q2",21.9749206349206,"Down",53884000,-18997000,34887000,-60345000,-30089000,-30256000,-25458000,-2983000,-3495000,512000,-28441000,-28441000,8205000,-20236000,-20236000,-20236000,-20236000,160215000,160215000,62938000,62938000,71268000,32782000,14982000,327203000,303468000,192580000,47188000,75261000,496048000,823251000,59764000,36643000,23121000,12560000,72324000,2.51e+08,22432000,20627000,273432000,345756000,255713000,231292000,-3391000,477495000,477495000,823251000,-20236000,6835000,-7276000,-8568000,-29245000,-4590000,-4590000,-4590000,-182757000,-57917000,192874000,-19128000,-19128000,5000,-19123000,-18623000,2.51e+08,-39986000,0.64745,-0.47246,-0.37555,-0.04238,-0.02458,1.97598,4.52413,0.7241,0.30489,-0.54908,-0.54908,1.46208,12.95627,-1.08497,0,-0.02695,-0.05325,-4.87489,-3.56607
"18","2014_Q3",21.60390625,"Down",110325000,-34507000,75818000,-67956000,-30555000,-37401000,7862000.00000001,-368000,-1690000,1322000,7494000,7493999.99999999,-2465000,5029000,5029000,5029000,5029000,168130000,168130000,78270000,78270000,66030000,33019000,16345000,345449000,302455000,189345000,47188000,59068000,491800000,837249000,62969000,36968000,26001000,13458000,76427000,2.51e+08,22055000,20423000,273055000,349482000,260816000,236321000,-3251000,487767000,487767000,837249000,5029000.00000001,8459000,6873000,-9542000,10819000,-4810000,-4810000,-4810000,-4809999.99999997,77000,1909000,7918000,7918000,-3000,7915000,16321000,2.51e+08,4434000,0.68722,0.07126,0.04558,0.01031,0.00600999999999999,0.88169,4.51999,0.71649,0.29979,0.13439,0.13439,2.94832,13.03505,0.11849,4,0.00661,0.00583,5.07751,10.54057
"19","2014_Q4",22.51484375,"Up",137954000,-32423000,105531000,-74499000,-30292000,-44207000,31032000,-1331000,-1751000,420000,29701000,29701000,-7869000,21832000,21832000,21832000,21832000,242249000,242249000,44111000,44111000,62533000,34739000,26477000,383632000,304211000,181448000,41301000,58640000,485659000,869291000,70889000,39351000,31538000,10528000,81417000,2.51e+08,23736000,17921000,274736000,356153000,264915000,258152000,-3810000,513138000,513138000,869291000,21832000,8992000,11696000,36403000,78923000,-5221000,-5221000,-5221000,-5221000,-285000,402000,74104000,74104000,15000,74119000,40024000,2.51e+08,79075000,0.76497,0.22494,0.15826,0.04255,0.02511,3.62198,4.71194,0.69407,0.28874,0.58203,0.55437,3.67779,13.68002,2.1081,6,0.02771,0.10037,0.21864,0.282
"20","2015_Q1",27.0596721311475,"Up",102303000,-16036000,86267000,-10515000,-17658000,7143000,75752000,-312000,-984000,672000,75440000,75440000,-27799000,47641000,30116000,30116000,30116000,280499000,280499000,58834000,58834000,65674000,27168000,24101000,432175000,313979000,192537000,52585000,68844000,506516000,938691000,78858000,40930000,37928000,14078000,92936000,2.51e+08,41554000,35841000,292554000,385490000,274260000,288269000,-3008000,553201000,553201000,938691000,30116000,8167000,18290000,-4751999.99999999,51821000,-16052000,-16052000,-16052000,-17264000,532999.999999998,3688999.99999999,38246000,38246000,4000,38250000,83919000,2.51e+08,90914000,0.84325,0.74047,0.29438,0.05444,0.03208,3.01879,4.65024,0.69684,0.26739,0.80105,0.43298,2.72115,14.71456,2.41822,5,0.03561,0.10749,-0.351519999999999,-0.389420000000001
"21","2015_Q2",29.2490476190476,"Up",63633000,-18748000,44885000,-73195000,-34493000,-38702000,-28310000,-1479000,-1579000,1e+05,-29789000,-29789000,8269000,-21520000,-21520000,-21520000,-21520000,216515000,216515000,64059000,64059000,82134000,43103000,24424000,405811000,315489000,196545000,41984000,85496000,512034000,917845000,66007000,40583000,25424000,14290000,80297000,2.51e+08,48670000,42864000,299670000,379967000,280691000,266749000,-3242000,537878000,537878000,917845000,-21520000,8532000,-7301000,-45584000,-65873000,-9082000,-9082000,-9082000,-9082000,4652000,10996000,-63959000,-63959000,-25000,-63984000,-19778000,2.51e+08,-82713000,0.70537,-0.44489,-0.33819,-0.04001,-0.02345,3.84354,5.05387,0.70642,0.27347,-0.56707,-0.56707,1.67679,14.17357,-2.17956,4,-0.02569,-0.09876,-1.7436,-1.21812
"22","2015_Q3",31.0890625,"Up",126112000,-27266000,98846000,-77394000,-36453000,-40941000,21452000,-1851000,-1354000,-497000,19601000,19601000,-5499999.99999999,14101000,14101000,14101000,14101000,214841000,214841000,99718000,99718000,84708000,36221000,21596000,435488000,320084000,187751000,52585000,59575000,507835000,943323000,74586000,41824000,32762000,12376000,86962000,2.53e+08,41110000,35027000,294110000,381072000,291378000,280850000,-3657000,562251000,562251000,943323000,14101000,8766000,9384000,-29748000,2503000,-10599000,-10599000,-10599000,-10599000,-2413000,6405000,-1691000,-1691000,17000,-1674000.00000001,30218000,2.53e+08,-4629000,0.7838,0.1701,0.11181,0.02508,0.01495,-0.328270000000001,5.0078,0.67776,0.2682,0.36641,0.36641,3.27702,14.61011,-0.12028,6,0.01647,-0.00541,1.26279,1.77881
"23","2015_Q4",32.89796875,"Up",139802000,-27069000,112733000,-29507000,-15317000,-14190000,83226000,-465000,-1531000,1066000,82761000,82761000,-26417000,56344000,36942000,36942000,36942000,308718000,308718000,57037000,57037000,80070000,27665000,22749000,473490000,327643000,175415000,52585000,49345000,503058000,976548000,75551000,41248000,34303000,13174000,88725000,2.53e+08,29511000,23524000,282511000,371236000,297992000,317792000,-4152000,605312000,605312000,976548000,36942000,8561000,16747000,42509000,104759000,-13950000,-13950000,-13950000,-13950000,336000,3076000,93885000,93885000,-8000,93877000,91787000,2.53e+08,146763000,0.80638,0.59531,0.26425,0.06103,0.03783,3.9728,5.3366,0.6133,0.25908,0.95118,0.57326,3.59961,15.58552,3.77884,7,0.04161,0.16531,-0.60704,-0.66948
"24","2016_Q1",33.3290163934426,"Up",159784000,-34403000,125381000,-60235000,-34882000,-25353000,65146000,-2003000,-1487000,-516000,63143000,63143000,-20652000,42491000,33347000,33347000,33347000,308304000,308304000,113906000,113906000,60887000,54313000,18458000,537410000,327808000,172266000,41001000,79221000,500074000,1037484000,76175000,37970000,38205000,23436000,99611000,246892000,30964000,24304000,277856000,377467000,318011000,351139000,-2713000,660017000,660017000,1037484000,33347000,9476000,-6672000,-35023000,1128000,-11181000,-11181000,-11181000,-11831000,4955000,14914000,4211000,4211000,-134000,4077000.00000001,74622000,246892000,49070000,0.78469,0.40771,0.2087,0.05052,0.03214,1.4715,5.39509,0.5719,0.23797,0.85263,0.69258,4.08544,16.87566,1.25465,7,0.03556,0.05232,-0.82297,-0.94268
"25","2016_Q2",36.98765625,"Up",102964000,-24001000,78963000,-57806000,-31713000,-26093000,21157000,-1303000,-1338000,35000,19854000,19854000,-7965000,11889000,3991000,3991000,3991000,341016000,341016000,69560000,69560000,88200000,29384000,25613000,528160000,342083000,165654000,54902000,44618000,507737000,1035897000,76326000,45611000,30715000,14129000,90455000,247192000,31268000,24451000,278460000,368915000,322424000,355130000,-4152000,666982000,666982000,1035897000,3991000,8840000,3293000,26047000,42171000,-18214000,-18214000,-18214000,-18214000,657000,4252000,28209000,28209000,11000,28220000,29997000,247192000,45795000,0.7669,0.20548,0.03876,0.00598,0.00385,11.47457,5.83893,0.55311,0.23863,0.10093,0.08253,2.60387,16.86741,1.15812,8,0.00422,0.04844,-3.12778,-4.43466
"26","2016_Q3",28.50375,"Down",91241000,-29465000,61776000,-63818000,-35926000,-27892000,-2042000,-1267000,-1289000,22000,-3309000,-3309000,1267000,-2042000,-10947000,-10947000,-10947000,333395000,333395000,66749000,66749000,96674000,31229000,22045000,528047000,359034000,169385000,54902000,43646000,528419000,1056466000,91234000,58974000,32260000,12624000,103858000,247393000,32543000,24133000,279936000,383794000,337988000,344184000,-3080000,672672000,672672000,1056466000,-10947000,8930000,-418999.999999998,439999.999999993,-1995999.99999999,-21032000,-21032000,-21032000,-21032000,4322000,15251000,-7777000.00000001,-7777000.00000001,157000,-7620000.00000001,6888000,247393000,-14971000,0.67706,-0.02238,-0.11998,-0.01627,-0.01036,1.36759,5.08432,0.57055,0.23417,-0.27229,-0.22246,2.26952,16.73196,-0.37239,3,-0.01149,-0.01572,-12.48577,42.11655
"27","2016_Q4",29.9801587301587,"Up",142914000,-39559000,103355000,-67877000,-40689000,-27188000,35478000,-1924000,-1691000,-233000,33554000,33554000,-13163000,20391000,21340000,21340000,21340000,298932000,298932000,69633000,69633000,81160000,30270000,18439000,479995000,362544000,89487000,41001000,1781000,452031000,932026000,82723000,46342000,36381000,7583000,110306000,247793000,26304000,21609000,274097000,384403000,342929000,214686000,-3572000,547623000,547623000,932026000,21340000,10385000,10605000,-15254000,27076000,-16997000,-16997000,-16997000,-16997000,-44970000,-44513000,-34434000,-34434000,-29000,-34463000,45863000,267793000,26775000,0.7232,0.24825,0.14932,0.03897,0.0229,1.25469,4.35149,0.70195,0.28732,0.52731,0.4363,3.53138,13.53167,0.66161,4,0.02535,0.03181,-0.67896,-0.8777
"28","2017_Q1",30.4411290322581,"Up",151681000,-33275000,118406000,-67499000,-34772000,-25727000,50907000,-1806000,-3282000,1476000,49101000,49101000,-16839000,32262000,37416000,37416000,37416000,271513000,271513000,138478000,138478000,74002000,26225000,16229000,510218000,376448000,83445000,41001000,2483000,459893000,970111000,75554000,34649000,40905000,10302000,105856000,248094000,19956000,11523000,268050000,373906000,352476000,254480000,-4331000,596205000,596205000,970111000,37416000,10045000,-4579000,-55533000,-12651000,-19957000,-19957000,-19957000,-19957000,3090999.99999999,5210000,-27398000,-27398000,-39000,-27437000,60952000,268094000,2301000,0.78063,0.33562,0.24668,0.06276,0.03857,0.0614999999999997,4.81993,0.62714,0.27635,0.92192,0.73566,3.73738,14.69035,0.0566999999999998,2,0.04231,0.0026,-0.0560900000000011,-0.0671599999999898
"29","2017_Q2",30.8692063492063,"Up",116858000,-46322000,70536000,-55626000,-35150000,-20476000,14910000,-1265000,-1565000,3e+05,13645000,13645000,-3160000,10485000,10485000,10485000,10485000,270170000,270170000,128082000,128082000,70732000,20182000,13411000,489166000,381102000,81371000,41001000,3037000,462473000,951639000,54843000,27179000,27664000,12863000,67706000,248394000,25120000,11233000,273514000,341220000,355702000,264965000,-3747000,610419000,610419000,951639000,10485000,10166000,8870000,12150000,41671000,-20304000,-20304000,-20304000,-20304000,-5583000,-22707000,-1340000,-1340000,-3000,-1343000,25076000,248394000,20082000,0.6036,0.12759,0.08972,0.01718,0.01102,1.91531,7.22485,0.55899,0.26102,0.25744,0.21089,2.86925,14.98779,0.49308,6,0.01186,0.02272,-0.8684,-1.4605
"30","2017_Q3",36.1806349206349,"Up",100772000,-34624000,66148000,-57619000,-31868000,-25751000,8529000,-1808000,-1222000,-586000,6721000,6721000,-2105000,4616000,4616000,4616000,4616000,315627000,315627000,102511000,102511000,70529000,21074000,14955000,509741000,380240000,80502000,41001000,3723000,460742000,970483000,55804000,29604000,26200000,17122000,72926000,248693000,28265000,11173000,276958000,349884000,361040000,269581000,-3519000,620599000,620599000,970483000,4616000,9931000,4996000,34459000,54002000,-9301000,-9301000,-9301000,-9301000,-881000,765000,45466000,45466000,-9000,45457000,18460000,248693000,45723000,0.65641,0.08464,0.04581,0.00744,0.00476,9.90533,6.98984,0.56378,0.25626,0.11254,0.09217,2.45694,15.13091,1.11478,6,0.00514,0.05094,-3.62589,-7.84781
"31","2017_Q4",42.0926984126984,"Up",149434000,-44503000,104931000,-57162000,-34503000,-22659000,47769000,-1455000,-1354000,-101000,46314000,46314000,-12763000,33551000,33551000,33551000,33551000,340991000,340991000,129357000,129357000,68889000,16797000,15754000,556034000,386457000,81711000,41001000,6644000,468168000,1024202000,68530000,30111000,36544000,6902000,75432000,248994000,36066000,11100000,285060000,360492000,370896000,303132000,-3815000,663710000,663710000,1024202000,33551000,9802000,18610000,-27022000,34941000,-12776000,-12776000,-12776000,-12776000,-2933000,3261000,25426000,25426000,-62000,25364000,57571000,248994000,30536000,0.70219,0.31967,0.22452,0.05055,0.03276,0.91014,7.37133,0.54315,0.24311,0.81382,0.66475,3.62472,16.09917,0.74069,7,0.03536,0.03218,-1.59797,-1.92587
