"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"14","2013_Q3",97.41875,"Up",1095700000,-297700000,7.98e+08,-585400000,-257300000,-24500000,-303600000,212600000,-186900000,-175800000,-1e+07,25700000,-66100000,-40400000.0000001,51200000,10800000.0000001,10800000.0000001,10799999.9999999,10799999.9999999,2539390000,2539390000,1127006000,1127006000,497059000,368571000,115497000,4532026000,440998000,14809234000,9289669000,5277798000,42331000,199436000,15250232000,19782258000,1319551000,284544000,1035007000,1761818000,10447230000,1870681000,1261125000,609556000,12317911000,14079729000,8475481000,-2429051000,-343901000,5702529000,5702529000,19782258000,10800000.0000001,317900000,2400000.00000003,-2.6e+07,305100000,-26300000,7999999.99999994,-531700000,168500000,-6.5e+07,2356100000,2129500000,2129500000,-3800000,2125700000,530500000,10794105000,4.27e+08,0.7283,0.19403,0.00985999999999997,0.00189,0.00055,39.53704,2.57236,2.46903,0.54565,0.0348800000000001,0.0343499999999998,3.53908,18.41902,1.3792,0.00059,0.02325,15.56025,38.82745
"15","2013_Q4",109.56859375,"Up",1541700000,-575200000,966500000,-1314900000,-355700000,-4.9e+07,-910200000,-348400000,-443800000,-246500000,5100000,-792200000,-348900000,-1141100000,169200000,-971900000,-971900000,-973200000,-973200000,596347000,596347000,1643148000,1643148000,1076088000,532780000,257389000,3848363000,1221606000,23134415000,13090339000,9742003000,60121000,241952000,24356021000,28204384000,2302403000,412943000,1889460000,2853082000,17043750000,3246362000,2436219000,579165000,20290112000,23143194000,8511664000,-3402294000,-160257000,4949113000,5061190000,28204384000,-971900000,9.46e+08,224900000,2700000,201700000,-29800000,0,-4469200000,2363600000,-46400000,2318400000,-1949100000,-1949100000,6e+06,-1943100000,597600000,17404714000,401300000,0.62691,-0.22598,-0.63125,-0.19229,-0.03451,-0.41235,1.34884,4.57268,0.61709,-2.91727,-2.91727,4.6214,14.83547,1.20294,-0.03785,0.01561,28.12645,-48.24445
"16","2014_Q1",136.731967213115,"Up",2063800000,-731900000,1331900000,-871800000,-450300000,-59500000,-3.62e+08,460100000,-345400000,-260300000,-5900000,114700000,-192800000,-78100000,203100000,1.25e+08,1.25e+08,123800000,123800000,600300000,600300000,1676400000,1676400000,8.83e+08,726200000,343400000,3885900000,1234200000,22850700000,12848200000,9752100000,54900000,195500000,24084900000,27970800000,2127200000,3.27e+08,1800200000,2512500000,17162900000,3062100000,2319200000,570900000,2.0225e+10,22737500000,8.53e+09,-3278500000,-132800000,5118700000,5233300000,27970800000,1.25e+08,410500000,-5700000,-249900000,279900000,-81400000,7.45058059692383e-09,-144500000,-93700000,-77600000,-130900000,4500000,4500000,-5e+05,4e+06,870600000,17367700000,336200000,0.64536,0.22294,0.05999,0.02366,0.00443,2.71567,1.54663,4.34477,0.62092,0.36955,0.37492,6.1606,15.2797,1.00358,0.00482,0.0131,19.25959,36.44295
"17","2014_Q2",127.573333333333,"Down",1886200000,-518400000,1367800000,-898500000,-4.82e+08,-61300000,-355200000,469300000,-214800000,-244700000,-13400000,254500000,-249700000,4800000,-25100000,-20300000,-20300000,-22600000,-22600000,576300000,576300000,1706200000,1706200000,953400000,714200000,369900000,3950100000,1.215e+09,22823900000,12701700000,9915900000,20400000,185900000,24038900000,2.7989e+10,2193800000,392300000,1801500000,2.563e+09,1.7148e+10,3074500000,2319900000,585600000,20222500000,22785500000,8530700000,-3301100000,-1.4e+08,5089600000,5203500000,2.7989e+10,-20300000,401100000,1.46e+08,-42500000,484300000,-79200000,0,-385500000,-73300000,-51500000,-121300000,-22500000,-22500000,-1500000,-2.4e+07,870400000,17386900000,773800000,0.72516,0.24881,-0.01198,-0.00434,-0.000810000000000002,-34.23894,1.5412,4.37888,0.6212,-0.06748,-0.06748,5.63213,15.19737,2.31054,-0.000880000000000001,0.03015,19.31365,35.82058
"18","2014_Q3",119.206875,"Down",2041100000,-585600000,1455500000,-947800000,-515700000,-66500000,-365600000,507700000,-236200000,-2.4e+08,3400000,271500000,-150500000,1.21e+08,1e+06,1.22e+08,1.22e+08,125800000,125800000,531200000,531200000,1770700000,1770700000,942500000,1919300000,452600000,5163700000,1319600000,21412300000,11751400000,9436300000,18300000,206300000,22731900000,27895600000,2102600000,327700000,1774900000,2496300000,17058800000,2973200000,2238800000,568900000,2.0032e+10,22528300000,8538100000,-3175300000,-104700000,5258100000,5367300000,27895600000,1.22e+08,407700000,12200000,-165900000,3.76e+08,-123900000,-75900000,-267800000,-72500000,-86300000,-155200000,-47000000.0000001,-47000000.0000001,1900000,-45100000.0000001,915400000,17325500000,624600000,0.7131,0.24874,0.06163,0.02344,0.00451,4.96502,2.06854,4.19732,0.62108,0.37519,0.36859,6.08738,15.68178,1.86281,0.0049,0.02434,18.34641,33.07918
"19","2014_Q4",134.50703125,"Up",2056200000,-560800000,1495400000,-956300000,-504100000,-59100000,-393100000,539100000,-78600000,-257600000,-5.3e+07,460500000,-83800000,376700000,-100300000,276400000,276400000,275400000,275400000,808800000,808800000,1880200000,1880200000,932700000,7.92e+08,465600000,4413700000,1300400000,21345500000,11620400000,9467800000,23900000,233400000,22645900000,27059600000,2317200000,323300000,1993900000,3143300000,15584300000,3098400000,2.407e+09,533700000,18682700000,2.1826e+10,8574600000,-2899900000,-5.52e+08,5122700000,5233600000,27059600000,276400000,439300000,-30300000,-66700000,618700000,1365900000,0,759100000,-1074800000,-13900000,-1084900000,292900000,292900000,-15300000,277600000,978400000,16274900000,2377900000,0.72726,0.26218,0.13394,0.05262,0.01018,8.63435,1.40416,4.17036,0.60145,0.82111,0.80691,6.13059,15.2734,7.08974,0.01119,0.09664,15.80754,28.68874
"20","2015_Q1",177.396557377049,"Up",2222500000,-571200000,1651300000,-896400000,-524200000,-59100000,-313100000,754900000,-317400000,-223700000,-8.1e+07,437500000,1.14e+08,551500000,-49600000,501900000,501900000,502400000,502400000,322600000,322600000,2075800000,2075800000,889200000,844100000,650800000,4131700000,1312300000,20860700000,11277900000,9361400000,5.4e+07,167400000,2.2173e+10,26304700000,2.555e+09,3.98e+08,2.157e+09,2708400000,1.5228e+10,2966600000,2221300000,505500000,18194600000,2.0903e+10,8593100000,-2397800000,-915900000,5279400000,5401700000,26304700000,501900000,365900000,247100000,-281900000,8.33e+08,-141800000,-19100000,-205800000,-1046400000,-58300000,-1098600000,-471400000,-471400000,-14100000,-485500000,1120800000,15228900000,746700000,0.74299,0.33966,0.22605,0.09301,0.0191,1.48627,1.52551,3.86971,0.57894,1.49524,1.44161,6.61458,15.7125,2.22232,0.02129,0.03164,13.2997,19.74606
"21","2015_Q2",221.697936507937,"Up",2170100000,-522200000,1647900000,-994800000,-573800000,-55800000,-365200000,653100000,-374100000,-296900000,-71100000,2.79e+08,-9.6e+07,1.83e+08,-84500000,98500000,98500000,97700000,97700000,1864400000,1864400000,2108800000,2108800000,998900000,11220100000,660900000,16192200000,1334800000,21038900000,11554600000,9161400000,151700000,171200000,22373700000,38565900000,2776900000,352500000,2424400000,3097100000,25897900000,2995700000,2261500000,506500000,28893600000,31990700000,10071200000,-2291300000,-1327600000,6452300000,6575200000,38565900000,98500000,4.07e+08,222400000,-236800000,491100000,-114600000,17700000,-1.1241e+10,10891600000,-3.3e+07,12306800000,1556900000,1556900000,-15100000,1541800000,1060100000,26020700000,793200000,0.75937,0.30095,0.04502,0.01486,0.00253,8.11873,5.22818,4.86536,0.67471,0.29008,0.28451,6.44329,19.15766,2.35511,0.00275,0.02229,22.78681,36.98714
"22","2015_Q3",233.19265625,"Up",2732400000,-685100000,2047300000,-1.352e+09,-685500000,-81100000,-585400000,695300000,-583100000,-411800000,5600000,112200000,-176900000,-64700000,13100000,-51600000,-51600000,-52999999.9999999,-52999999.9999999,9.58e+08,9.58e+08,2.371e+09,2.371e+09,1229500000,1786700000,1075300000,6345200000,1359900000,40638100000,23149700000,17233100000,88300000,1.67e+08,4.1998e+10,48343200000,3470500000,415800000,3054700000,4.291e+09,30290200000,7203600000,6152800000,824400000,37493800000,41784800000,10114800000,-2387900000,-1291500000,6435400000,6558400000,48343200000,-51600000,6.35e+08,146200000,-319100000,410500000,-5.6e+07,7.45058059692383e-09,-2644700000,1554100000,-186600000,1324800000,-909400000,-909400000,3e+06,-906400000,1330300000,30881100000,942100000,0.74927,0.25446,-0.0194,-0.00808,-0.0011,-17.77547,1.47872,6.37119,0.63879,-0.15398,-0.15108,7.93841,18.69669,2.73707,-0.00119,0.0211,22.4935,43.03624
"23","2015_Q4",112.54546875,"Down",2786800000,-648200000,2138600000,-1478400000,-697600000,-101600000,-679200000,660200000,-483700000,-419500000,-3.4e+07,176500000,-182200000,-5700000,57400000,51700000,51700000,49500000,49500000,1.42e+09,1.42e+09,2696300000,2696300000,1199200000,1680200000,9.53e+08,6995700000,1351400000,40107500000,22382100000,17374700000,114600000,236100000,41458900000,48454600000,3770300000,476800000,3293500000,4650500000,30176300000,7163100000,6022600000,918600000,37339400000,41989900000,10144200000,-2338500000,-1463400000,6342300000,6464700000,48454600000,51700000,726400000,172400000,-192300000,758200000,-48400000,8e+06,-156200000,-30100000.000001,-107300000,-130100000,471900000,471900000,-9900000,4.62e+08,1386600000,30883300000,1088500000,0.7674,0.2369,0.01776,0.00766,0.00102,21.9899,1.50429,6.49526,0.63737,0.14499,0.14249,8.16286,18.57733,3.18834,0.00111,0.02445,21.24859,44.62784
"24","2016_Q1",73.9504918032787,"Down",2757700000,-729500000,2028200000,-1465800000,-743100000,-95500000,-627200000,562400000,-516100000,-430800000,-3500000,46300000,-313900000,-267600000,-1.19e+08,-386600000,-386600000,-386200000,-386200000,5.97e+08,5.97e+08,2.687e+09,2.687e+09,1.257e+09,9.66e+08,9.63e+08,5.507e+09,1.442e+09,4.2016e+10,2.3083e+10,1.8553e+10,1.56e+08,2.24e+08,4.3458e+10,4.8965e+10,4.293e+09,4.34e+08,3.859e+09,5.313e+09,3.0265e+10,7.358e+09,5.903e+09,1.264e+09,3.7623e+10,4.2936e+10,1.0202e+10,-2.75e+09,-1.542e+09,5.91e+09,6.029e+09,4.8965e+10,-386600000,698600000,2.05e+08,80200000,597200000,-7.1e+07,-7700000,-1535100000,223400000,-79100000,122500000,-815400000,-815400000,-8e+06,-823400000,1.261e+09,3.1088e+10,1389200000,0.73547,0.20394,-0.14004,-0.06406,-0.00789,-3.59709999999999,1.03651,7.12158,0.6349,-1.1085,-1.17315,7.91533,16.96326,3.98737,-0.00868,0.03124,24.18002,54.21586
"25","2016_Q2",28.3146875,"Down",2.372e+09,-6.3e+08,1.742e+09,-1.594e+09,-8.13e+08,-1.03e+08,-6.78e+08,1.48e+08,-4.57e+08,-4.26e+08,-6e+06,-3.09e+08,-5.7e+07,-3.66e+08,-7e+06,-3.73e+08,-3.73e+08,-3.74e+08,-3.74e+08,1310400000,1310400000,2692700000,2692700000,1320200000,910400000,910400000,6233700000,1465500000,41320700000,2.2346e+10,18600700000,163200000,210800000,42786200000,49019900000,3.776e+09,438100000,3337900000,4597400000,31303400000,7343500000,5896600000,1252100000,38646900000,43244300000,10257500000,-3123400000,-1478600000,5655500000,5775600000,49019900000,-3.73e+08,7.31e+08,1.48e+08,5.1e+07,5.57e+08,-6.9e+07,6e+06,-1.12e+08,7.94e+08,-5.35e+08,2.6e+08,7.05e+08,7.05e+08,8e+06,7.13e+08,8.79e+08,31978500000,8.68e+08,0.7344,0.06239,-0.15767,-0.06476,-0.00763,-2.32086,1.35592,7.48741,0.65236,-1.08437,-1.08437,6.87736,16.39751,2.51667,-0.00829,0.01925,34.88976,207.21689
"26","2016_Q3",25.87890625,"Down",2.42e+09,-6.58e+08,1.762e+09,-1.468e+09,-6.71e+08,-1.24e+08,-6.73e+08,2.94e+08,-4.12e+08,-4.7e+08,1.2e+07,-1.18e+08,-2.59e+08,-3.77e+08,7.3e+07,-3.04e+08,-3.04e+08,-3.02e+08,-3.02e+08,852400000,852400000,2732500000,2732500000,1336700000,896800000,896800000,5818400000,1472100000,40371700000,21335800000,18511800000,304700000,219400000,41843800000,47662200000,3761400000,425900000,3335500000,4226400000,30773200000,7259500000,5879200000,1188700000,38032700000,42259100000,10295300000,-3425700000,-1573700000,5295900000,5403100000,47662200000,-3.04e+08,7.2e+08,74000000.0000001,-4.2e+07,4.48e+08,4.2e+07,8e+06,49999999.9999999,-8.47e+08,-1.04e+08,-9.51e+08,-4.53e+08,-4.53e+08,-5e+06,-4.58e+08,1.014e+09,31067300000,9.41e+08,0.7281,0.12149,-0.12479,-0.05589,-0.00634,-3.11589,1.37668,7.82127,0.65182,-0.87536,-0.87536,7.01449,15.35043,2.72754,-0.00691,0.02152,29.79773,102.77177
