"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",21.1727419354839,"Up",3303600000,-1446100000,1857500000,-1417700000,-1175100000,-136700000,-105900000,439800000,52600000,-8800000,51700000,9700000,492400000,492400000,-1.59e+08,333400000,333400000,-2e+05,333200000,333200000,2497600000,1501300000,996300000,4.33e+08,4.33e+08,1249200000,389800000,172900000,4569600000,2444200000,140100000,1.155e+09,336700000,4.04e+08,3739300000,8308900000,1337800000,402200000,935600000,680400000,159600000,2018200000,549600000,353100000,353100000,902700000,2920900000,451700000,4935800000,-2500000,5.385e+09,3e+06,5.388e+09,8308900000,333400000,139800000,19100000,5.9e+07,551300000,-202700000,-191700000,1.46e+08,-337700000,-2800000,-397200000,-1.29e+08,0,33200000,19200000,-76600000,77500000,77500000,-8400000,69100000,579600000,549600000,594900000,0.56227,0.13313,0.10086,0.06184,0.0401,1.78541,2.2642,0.54211,0.06615,0.21953,0.21444,2.17657,3.5479,0.39195,0.08499,6,0.07347,0.09457,0.38715,-3.36094,-4.42929
"12","2013_Q1",23.6041666666667,"Up",3341400000,-1459200000,1882200000,-1424600000,-1193600000,-141700000,-89300000,457600000,81600000,-6500000,61900000,26200000,539200000,539200000,-180200000,3.59e+08,3.59e+08,-3e+05,358700000,358700000,2.037e+09,1188600000,848400000,485900000,485900000,1241500000,435200000,196500000,4199600000,2658900000,1.16e+08,1244700000,399100000,144700000,4019600000,8219200000,1531900000,398100000,1133800000,677900000,167700000,2209800000,549600000,345300000,345300000,894900000,3104700000,40100000,5046200000,22700000,5.109e+09,5500000,5114500000,8219200000,3.59e+08,152900000,-101500000,2.13e+08,623400000,-339700000,-1622900000,-1452900000,-1.7e+08,1772200000,-289800000,-1.29e+08,-30800000,-508100000,10900000,-6.57e+08,-323400000,-323400000,10700000,-312700000,610500000,549600000,6.64e+08,0.5633,0.13695,0.10735,0.07013,0.04364,1.85113,1.90044,0.60704,0.06687,0.2372,0.23193,2.20963,3.37852,0.4391,0.08531,5,0.08116,0.11049,0.35963,-2.43636,-3.25044
"13","2013_Q2",26.353125,"Up",3793200000,-1620700000,2172500000,-1596400000,-1321400000,-148900000,-126100000,576100000,4.5e+07,-6600000,54500000,-2900000,621100000,621100000,-188700000,432400000,432400000,-2e+05,432200000,432200000,2459700000,1852100000,607600000,469200000,469200000,1093200000,393900000,178300000,4.416e+09,2711100000,8e+07,1.283e+09,400200000,428500000,4074100000,8490100000,1436300000,380800000,1055500000,954600000,169100000,2390900000,549600000,374600000,374600000,924200000,3315100000,40100000,5117300000,11900000,5169300000,5700000,5.175e+09,8490100000,432400000,156800000,47100000,4.31e+08,1067300000,-244500000,276300000,287900000,-11600000,-3100000,28700000,-156100000,0,-326500000,48600000,-4.34e+08,6.62e+08,6.62e+08,1500000,663500000,732900000,549600000,1108100000,0.57274,0.15188,0.11394,0.08352,0.05091,2.56386,1.847,0.6406,0.06473,0.28964,0.28386,2.54202,3.46421,0.74259,0.10461,7,0.09646,0.18168,0.36118,-2.60622,-3.31557
"14","2013_Q3",30.576875,"Up",3549600000,-1530400000,2019200000,-1527600000,-1268700000,-153100000,-105800000,491600000,97200000,-6100000,52500000,50800000,588800000,588800000,-198100000,390700000,390700000,-3e+05,390400000,390400000,1697700000,1223200000,474500000,5.2e+08,5.2e+08,1124500000,4.68e+08,256700000,3810200000,2845300000,44400000,1802900000,863600000,514800000,4692600000,8502800000,1431100000,355700000,1075400000,838600000,170700000,2269700000,549600000,3.56e+08,3.56e+08,905600000,3175300000,40100000,5298600000,-17300000,5321400000,6100000,5327500000,8502800000,390700000,161300000,-2.3e+07,-223800000,305200000,-240400000,173700000,2.82e+08,-108300000,-6200000,-641700000,-157400000,-35200000,-120600000,28700000,-284500000,-6.21e+08,-6.21e+08,-7900000,-628900000,652900000,549600000,386800000,0.56885,0.13849,0.10998,0.07328,0.04591,0.99078,1.67872,0.59602,0.06464,0.26058,0.2564,2.36924,3.55186,0.25818,0.10506,7,0.08789,0.06206,0.40318,-1.75846,-2.33544
"15","2013_Q4",33.75109375,"Up",3735300000,-1597500000,2137800000,-1.586e+09,-1333800000,-153300000,-98900000,551800000,60600000,-6300000,63400000,3500000,612400000,612400000,-194600000,417800000,417800000,-1e+05,417700000,417700000,2044300000,1430800000,613500000,506800000,506800000,1173800000,514800000,3.02e+08,4239700000,2987100000,45500000,1790100000,860900000,485800000,4822700000,9062400000,1564900000,415200000,1149700000,859500000,177500000,2424400000,549700000,340700000,340700000,890400000,3314800000,168500000,5558500000,14500000,5741500000,6100000,5747600000,9062400000,417800000,161200000,25900000,60400000,665300000,-297300000,-142600000,233300000,-375900000,62600000,-385400000,-157400000,0,58500000,33600000,-65300000,214600000,214600000,-7e+06,207600000,7.13e+08,549700000,670700000,0.57232,0.14773,0.11183,0.07267,0.04609,1.6057,1.74876,0.57673,0.06066,0.27858,0.27412,2.4912,3.8292,0.44731,0.10498,8,0.08664,0.10104,0.37683,-2.09621,-2.70859
"16","2014_Q1",31.6777049180328,"Down",3788700000,-1633700000,2.155e+09,-1567200000,-1300100000,-166100000,-1.01e+08,587800000,144100000,-9100000,8.1e+07,72200000,731900000,-2052200000,820100000,-1232100000,-1232100000,1e+05,-1.232e+09,-1.232e+09,3233800000,2575700000,658100000,561400000,561400000,1111200000,5.65e+08,287700000,5471400000,3200500000,58300000,2786500000,862900000,185300000,6045300000,11516700000,4545100000,491700000,4053400000,832200000,178500000,5377300000,1299400000,357700000,357700000,1657100000,7034400000,282900000,4130300000,6.7e+07,4480200000,2100000,4482300000,11516700000,-1232100000,176300000,1459100000,467200000,870500000,-3.69e+08,-1033100000,-7.43e+08,-290100000,914800000,-412800000,-1.58e+08,749700000,47700000,36200000,675600000,1133300000,1133300000,11600000,1144900000,764100000,1299400000,42200000.0000001,0.5688,0.15515,-0.32518,-0.27486,-0.10698,-0.0342499999999997,1.0175,1.56937,0.11283,-0.81904,-0.80576,2.51875,2.97846,0.02805,0.10504,4,-0.17494,0.00687000000000003,-0.12825,-2.53161,-3.29092
"17","2014_Q2",31.2250793650794,"Down",4239600000,-1795100000,2444500000,-1702300000,-1417700000,-169700000,-114900000,742200000,56400000,-14500000,51100000,19800000,798600000,818800000,-278100000,540700000,540700000,0,540700000,540700000,1702800000,1545800000,1.57e+08,589800000,589800000,943300000,523500000,271100000,3759400000,3.233e+09,4.8e+08,2782800000,862600000,205800000,6495800000,10255200000,1753400000,444200000,1309200000,1199600000,186200000,2.953e+09,2047900000,364800000,364800000,2412700000,5365700000,344500000,4474200000,68700000,4887400000,2100000,4889500000,10255200000,540700000,180100000,-2754700000,6.32e+08,-1401900000,-256100000,-92100000,485100000,-577200000,154900000,-193300000,-195900000,748500000,23100000,-6800000,568900000,-1026300000,-1026300000,-3600000,-1029900000,922300000,2047900000,1576300000,0.57659,0.17506,0.12754,0.11058,0.05272,2.91529,1.27308,1.09739,0.19969,0.35813,0.35285,2.80805,3.23712,1.04405,0.12975,3,0.10087,0.21587,0.36231,0.37417,0.46497
"18","2014_Q3",33.3640625,"Up",3873800000,-1629100000,2244700000,-1660400000,-1375100000,-174400000,-110900000,584300000,60900000,-16800000,59900000,17800000,645200000,645200000,-218300000,426900000,426900000,0,426900000,426900000,1489500000,1190300000,299200000,5.9e+08,5.9e+08,954700000,544800000,286100000,3.579e+09,3278100000,449800000,2790100000,860800000,195900000,6.518e+09,1.0097e+10,1732700000,472600000,1260100000,1000800000,184500000,2733500000,2.048e+09,368400000,368400000,2416400000,5149900000,175400000,4705400000,64300000,4945100000,2e+06,4947100000,1.0097e+10,426900000,184100000,21799999.9999995,-214400000,418400000,-247500000,-308500000,89200000,-397700000,200300000,-355700000,-196400000,-1.19209289550781e-07,-223700000,8599999.99999999,-411500000,-348800000,-348800000,-6700000,-355500000,768400000,2.048e+09,524800000,0.57946,0.15083,0.1102,0.08629,0.04228,1.22933,1.30931,1.04099,0.20283,0.28266,0.27918,2.56492,3.27425,0.34748,0.13004,3,0.08465,0.07127,0.46006,0.72683,0.95584
"19","2014_Q4",33.816875,"Up",4153700000,-1711500000,2442200000,-1746500000,-1445900000,-180100000,-120500000,695700000,75900000,-16400000,72900000,19400000,771600000,771600000,-2.59e+08,512600000,512600000,1e+05,512700000,512700000,1196300000,1019400000,176900000,580900000,580900000,1025800000,553900000,289400000,3356900000,3373700000,832700000,2.822e+09,861700000,1.93e+08,7028400000,10385300000,1850500000,474500000,1.376e+09,1033400000,202600000,2883900000,2048100000,382500000,382500000,2430600000,5314500000,40200000,4957700000,70900000,5068800000,2e+06,5070800000,10385300000,512600000,189800000,38300000,109400000,850100000,-307600000,-312200000,258100000,-570300000,45900000,-573900000,-195500000,0,-2.77e+08,19400000,-453100000,-176900000,-176900000,6e+06,-170900000,885500000,2048100000,946300000,0.58796,0.16749,0.12343,0.10111,0.04937,1.84572,1.16401,1.04806,0.19721,0.341,0.33686,2.76269,3.37133,0.6294,0.13003,6,0.09441,0.12615,0.38131,0.96194,1.22438
"20","2015_Q1",39.0619672131148,"Up",4180700000,-1723100000,2457600000,-1687200000,-1390800000,-185400000,-1.11e+08,770400000,153700000,-16400000,84400000,85700000,924100000,924100000,-336600000,587500000,587500000,3e+05,587800000,587800000,1843800000,1708400000,135400000,6.31e+08,6.31e+08,1090900000,6.03e+08,285600000,4168700000,3.519e+09,318400000,2746800000,856200000,198900000,6584200000,10752900000,2048100000,533700000,1514400000,990600000,196100000,3038700000,2048300000,392200000,392200000,2440500000,5479200000,40100000,5206600000,25300000,5.272e+09,1700000.00000001,5273700000,10752900000,587500000,194400000,-67800000,27100000,741200000,-349700000,515100000,622400000,-107300000,35900000,305200000,-195300000,-2.98023223876953e-08,-141300000,9e+06,-327600000,718800000,718800000,-29800000,6.89e+08,964800000,2048300000,978800000,0.58784,0.18428,0.1406,0.11146,0.05466,1.66519,1.37187,1.03897,0.19049,0.39145,0.38628,2.78416,3.51092,0.65184,0.13006,7,0.10151,0.12688,0.33226,0.21196,0.26545
"21","2015_Q2",44.2571428571429,"Up",4803200000,-1991200000,2.812e+09,-1949300000,-1613900000,-2.06e+08,-129400000,862700000,46200000,-16300000,52800000,9700000,908900000,1299500000,-3.15e+08,984500000,984500000,-1400000,983100000,983100000,1953100000,1.857e+09,96100000,664900000,664900000,1018300000,909800000,600500000,4546100000,3822300000,307500000,3675200000,1584900000,382200000,7.805e+09,12351100000,2109400000,547700000,1561700000,1448100000,217200000,3557500000,2048400000,587400000,587400000,2635800000,6193300000,40200000,5832200000,-9.7e+07,5775400000,382400000,6157800000,12351100000,984500000,216300000,-283300000,507700000,1425200000,-291800000,44400000,177500000,-133100000,9200000,-522500000,-239500000,-324913912.807564,-150900000,-277900000,-668300000,234400000,234400000,-85800000,148600000,1.079e+09,2048400000,1609900000,0.58544,0.17961,0.20468,0.15965,0.0796,1.63758,1.27789,1.00577,0.16585,0.65592,0.64814,3.2047,3.85335,1.07413,0.15979,8,0.13903,0.18308,0.24362,0.08832,0.11047
"22","2015_Q3",49.01453125,"Up",4563600000,-1859800000,2703800000,-1981100000,-1630500000,-217100000,-133500000,722700000,39400000,-16900000,54900000,1400000,762100000,762100000,-266200000,495900000,495900000,-7e+05,495200000,495200000,1849800000,1750400000,99400000,655600000,655600000,1061100000,678900000,355100000,4245400000,3897700000,325100000,3722500000,1592200000,395200000,7945300000,12190700000,2287200000,601300000,1685900000,1.234e+09,215500000,3521200000,2048500000,610300000,610300000,2658800000,6.18e+09,42600000,6.083e+09,-116900000,6008700000,2e+06,6010700000,12190700000,495900000,227900000,-12400000,-135700000,575700000,-314800000,-21100000,127800000,-148900000,-14400000,-350300000,-240100000,0,-84400000,17400000,-307100000,-81700000.0000001,-81700000.0000001,-24900000,-106600000,950600000,2048500000,766300000,0.59247,0.15836,0.10851,0.08239,0.04062,1.54746,1.20567,1.02817,0.16804,0.33002,0.32654,3.04139,4.00447,0.5107,0.16001,6,0.08481,0.08839,0.48485,0.20903,0.27494
"23","2015_Q4",53.43484375,"Up",4881100000,-1953900000,2927200000,-2.049e+09,-1680900000,-236500000,-131600000,878200000,66700000,-19100000,60300000,25500000,944900000,944900000,-318500000,626400000,626400000,2e+05,626600000,626600000,2175200000,2080500000,94700000,672700000,672700000,1.166e+09,746800000,413800000,4760700000,3977700000,390100000,3740300000,1560600000,443300000,8108100000,12868800000,2260100000,603200000,1656900000,1239300000,214700000,4049200000,2347400000,613900000,613900000,2961300000,7010500000,42600000,5.945e+09,-131100000,5856500000,1800000,5858300000,12868800000,626400000,249100000,10300000,-107500000,778300000,-336900000,-7e+07,114800000,-184800000,-12700000,-419600000,-240100000,848500000,-538900000,-90900000,-21400000,337300000,337300000,-7200000,330100000,1127300000,2897200000,1001400000,0.5997,0.17992,0.12837,0.10696,0.04869,1.59815,1.17571,1.19668,0.22513,0.41815,0.41341,3.25732,3.90824,0.66827,0.16023,7,0.0925,0.10688,0.38318,0.64047,0.82214
"24","2016_Q1",51.2734426229508,"Down",4914800000,-1982600000,2932200000,-2044700000,-1682500000,-234300000,-127900000,887500000,70100000,-18200000,81900000,6400000,957600000,896500000,-2.44e+08,652500000,652500000,1.16415321826935e-10,652500000,652500000,1611400000,1530100000,81300000,7.19e+08,7.19e+08,1306400000,334200000,334200000,3.971e+09,4088300000,312500000,4044500000,1575400000,415900000,8445300000,12416300000,2439500000,684200000,1755300000,1208600000,224800000,3648100000,2347500000,600900000,600900000,2948400000,6596500000,42600000,5974800000,-199400000,5.818e+09,1800000,5819800000,12416300000,652500000,240500000,62600000,14300000,969900000,-360200000,79900000,180500000,-100600000,43500000,-227900000,-208900000,-610100000,-470100000,29400000,-1259700000,-517700000,-517700000,-32700000,-550400000,1.128e+09,2347500000,1026100000,0.59661,0.18058,0.13276,0.11212,0.05255,1.57257,1.08851,1.13346,0.18907,0.43916,0.43367,3.30785,3.91574,0.6906,0.1406,7,0.09824,0.11703,0.32015,0.65257,0.82941
