"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"21","2016_Q1",1.7472131147541,"Up",7154985,-3031341,4123644,-3362327,761317,20483,15280,781800,781800,-79229,702571,702571,702571,702571,4105814,4105814,14088390,14088390,1745180,1646571,609320,21585955,1239990,14645766,14509000,136766,15885756,37471711,1669777,1077349,592428,2555231,2555231,4225008,113641,15389,113641,4338649,69517126,-7806605,-27995940,-581519,33133062,33133062,37471711,702571,121723,162927,501703,1488924,-7836,-7836,1481088,1481088,1481088,883040,0,1456136,0.57633,0.1064,0.09819,0.0212,0.01875,2.07258,5.10909,0.13095,0,0.02459,0.0239,0.25047,1.15986,0.05097,0.02113,0.0438,-4.64964,-5.39304
"22","2016_Q2",1.36921875,"Down",8230659,-2828322,5402337,-3009782,2392555,-72739,-27795,2319816,2319816,-829453,1490363,1490363,1490363,1490363,3671641,3671641,17684819,17684819,1562117,623529,316675,23542106,1128415,14646616,14509000,137616,15775031,39317137,1361238,1148387,212851,3115318,3115318,4476556,120364,12001,120364,4596920,69613918,-7806605,-26505577,-581519,34720217,34720217,39317137,1490363,114406,869907,-2905907,-431231,-2942,-2942,-434173,-434173,-434173,2506961,7.105427357601e-15,427565,0.65637,0.29069,0.18107,0.04292,0.03791,0.286890000000001,5.25898,0.1324,0,0.05205,0.0514,0.28745,1.21258,0.01493,0.04278,0.01227,-1.46458,-1.53461
"23","2016_Q3",1.3025,"Down",4772801,-1927406,2845395,-2774970,70425,-63204,-19357,7221,7221,27824,35045,35045,35045,35045,2791396,2791396,18570658,18570658,2191693,668907,276358,24222654,1015770,14651339,14509000,142339,15667109,39889763,1356382,1021050,335332,3559252,3559252,4915634,126752,8400.99999999994,126752,5042386,69706033,-7806605,-26470532,-581519,34847377,34847377,39889763,35045,112275,57739,-1085507,-880448,203,203,-880245,-880245,-880245,182700,0,-930428,0.59617,0.01476,0.00734,0.00101,0.00088,-26.54952,4.92768,0.1447,0,0.00122,0.0012,0.16658,1.21621,-0.03247,0.001,-0.0266,-15.27858,-39.63644
"24","2016_Q4",1.03555555555556,"Down",5560776,-2327583,3233193,-2384674,848519,-47050,-7399,801469,801469,-231211,570258,570258,570258,570258,3210684,3210684,18636643,18636643,2337436,817370,544265,25002133,916207,14700071,14509000,191071,15616278,40618411,1294867,1059410,235457,3692367,3692367,4987234,120355,4801,120355,5107589,69799220,-7806605,-25900274,-581519,35510822,35510822,40618411,570258,100951,226747,-477982,419974,-686.000000000003,-685.999999999999,419288,419288,419288,949470,0,702013,0.58143,0.15259,0.10255,0.01606,0.01404,1.23103999999999,5.01323,0.14383,0,0.0199,0.01961,0.19405,1.23921,0.0245,0.016,0.0197,-3.38155,-3.78387
"25","2017_Q1",1.03483870967742,"Down",3563106,-1694547,1868559,-679007,1189552,-21603,-2505,1167949,-314590,-1436351,-1750941,-1750941,-1750941,-1750941,2385082,2385082,10775200,10775200,2492644,636975,634588,16289901,825087,21508719,13482000,8026719,22333806,38623707,965906,701035,264871,2380571,2380571,3346477,1343819,1233750,1343819,4690296,69972750,-7806605,-27651215,-581519,33933411,33933411,38623707,-1750941,95241,1392366,-559319,-822653,-2949,-2949,-825602,-825602,-825602,1284793,0,2158876,0.52442,0.33385,-0.49141,-0.0516,-0.04533,-1.23298,4.86778,0.13822,0,-0.06096,-0.06137,0.12405,1.18136,0.07516,-0.04963,0.0612,-1.85639,-2.00503
"26","2017_Q2",1.07873015873016,"Up",3243599,-1591315,1652284,-2700604,-1048320,-21560,-9621,-1069880,-1896250,530069,-1366181,-1366181,-1366181,-1366181,3485424,3485424,8390949,8390949,2522281,723140,720944,15121794,798247,44641046,8872764,8016079,45439293,60561087,1327304,1266122,61181.9999999999,3046439,3046439,4373743,20947317,19238057,20947317,25321060,72645547,-7806605,-29017396,-581519,35240027,35240027,60561087,-1366181,116013,273137,2142996,1165965,-65623,-65623,1100342,1100342,1100342,-932307,9.09494701772928e-13,614997,0.5094,-0.3232,-0.42119,-0.03877,-0.02256,-0.45016,3.4574,0.71853,1.35525271560688e-20,-0.0441,-0.0441,0.10471,1.13765,0.01985,-0.02431,0.01095,3.73849,3.32477
"27","2017_Q3",1.46349206349206,"Up",2405519,-1127864,1277655,-3748873,-2471218,-21442,-12686,-2492660,-2600675,824033,-1776642,-1776642,-1776642,-1776642,1241593,1241593,7310550,7310550,2538266,610191,607962,11700600,735893,44741240,9012602,8016528,45477133,57177733,1572438,1435024,137414,1835433,1835433,3407871,20236254,19260483,20236254,23644125,72715770,-7806605,-30794038,-581519,33533608,33533608,57177733,-1776642,128253,-768169,190596,-2225962,-17869,-17869,-2243831,-2243831,-2243831,-2342965,0,-2994271,0.53113,-1.02731,-0.73857,-0.05298,-0.03107,1.68535,3.4334,0.70509,0,-0.05734,-0.05734,0.07764,1.08234,-0.09664,-0.03304,-0.05569,0.52992,0.50242
"28","2017_Q4",1.4152380952381,"Down",4314068,-2019154,2294914,-3486555,-1191641,-33466,-13323,-1225107,-1299602,509713,-789889,-789889,-789889,-789889,2671132,2671132,5760147,5760147,2765369,837918,800814,12034566,672300,44719929,9027096,8020817,45392229,57426795,2312665,1915772,396893,2558212,1593830,4870877,19742841,19277075,19742841,24613718,72785128,-7806605,-31583927,-581519,32813077,32813077,57426795,-789889,129843,-413679,2539194,1465469,-35930,-35930,1429539,1429539,1429539,-1061798,1.45519152283669e-11,931753,0.53196,-0.27622,-0.1831,-0.02407,-0.01375,-1.1796,2.47072,0.75012,-4.33680868994202e-19,-0.02549,-0.02549,0.1392,1.05879,0.03007,-0.01503,0.01773,2.51567,2.24156
"29","2018_Q1",1.49131147540984,"Up",3692406,-1897747,1794659,-4641811,-2847152,-31910,-10913,-2879062,-2805963,126628,-2679335,-2679335,-2679335,-2679335,3277602,3277602,3418738,3418738,2767924,833709,833709,10297973,555539,44482854,8827000,8023931,45038393,55336366,3292538,2685718,606820,2195043,1180526,5487581,1395580,1395580,1395580,6883161,91104591,-7806605,-34263262,-581519,48453205,48453205,55336366,-2679335,106899,372018,2777834,577416,-14064,29054,606470,606470,606470,-2740253,0,-103111,0.48604,-0.77108,-0.72563,-0.0553,-0.04842,0.03848,1.8766,0.14206,0,-0.05874,-0.05874,0.08095,1.0623,-0.00226,-0.05375,-0.00207,1.19609,1.15119
"30","2018_Q2",1.91953125,"Up",2586613,-1272574,1314039,-4986483,-3672444,-66624,-13169,-3739068,-7503205,3246053,-4257152,-4257152,-4257152,-4257152,3572350,3572350,3000308,3000308,3067036,625497,625497,10265191,513224,40269770,12124000,582662.999999999,40782994,51048185,2855507,2517371,338136,3373644,2383628,6229151,68445.9999999981,68446,68446,6297597,91659126,-7806605,-38520414,-581519,44750588,44750588,51048185,-4257152,113045,669591,3771178,296662,-1914,-1914,294748,294748,294748,-3559399,2.3283064365387e-10,-3036188,0.50802,-1.41979,-1.64584,-0.09513,-0.08339,0.7132,1.64793,0.14073,3.46944695195361e-18,-0.08009,-0.08009,0.04866,0.8419,-0.05712,-0.09499,-0.06774,1.00364,0.97274
"31","2018_Q3",1.95825396825397,"Up",2572872,-1372996,1199876,-5896427,-4696551,-416083,-2411,-5112634,-5133634,1302416,-3831218,-3831218,-3831218,-3831218,8972498,8972498,2969073,2969073,3589057,629527,629527,16160155,469215,41565730,13480558,590880,42034945,58195100,3862321,3539667,322654,6725606,5853236,10587927,81192,81192,6275955,16863882,92070974,-7806605,-42351632,-581519,41331218,41331218,58195100,-3831218,112825,-591057,-170403,-4479853,1,1,5400148,5400148,5400148,-4583726,6194763,-6056544,0.46636,-1.82541,-1.48908,-0.0927,-0.06583,1.58084,1.52628,0.40802,0.10645,-0.07181,-0.07181,0.04822,0.77466,-0.11352,-0.08048,-0.12722,0.606,0.59144
"32","2018_Q4",1.37857142857143,"Down",5501730,-2424234,3077496,-7815015,-4737519,-1381650,64.0000000000146,-6119169,-6724378,-1206130,-7930508,-7930508,-7930508,-7930508,5577440,5577440,3668673,3668673,2653887,958481,958481,12858481,465789,40146725,12194000,527249,40612514,53470995,3817441,3461641,355800,8902691,8141710,12720132,89093,89093,4880835,17600967,94540292,-7806605,-50282140,-581519,35870028,35870028,53470995,-7930508,112497,3316650,-46666,-4548027,-45783,-45783,-3395058,-3395058,-3395058,-4625022,4791742,-3511341,0.55937,-0.8611,-1.44146,-0.22109,-0.14831,0.44276,1.01088,0.49069,0.08961,-0.14744,-0.14744,0.10228,0.66686,-0.06528,-0.19461,-0.08617,0.16988,0.16585
