"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2015_Q4",70.138125,"Down",283412000,-160294000,123118000,-109174000,-31608000,-18618000,-58948000,13944000,-1098000,-1098000,12846000,10607000,-2325000,8282000,8282000,8282000,8282000,21823000,21823000,12875000,12875000,26643000,23544000,19360000,84885000,580631000,136813000,13892000,717444000,802329000,100250000,22244000,78006000,63469000,30221000,163719000,172409000,73282000,73282000,245691000,409410000,205273000,-137211000,329325000,-4468000,392919000,392919000,802329000,8282000,18618000,1085000,6018000,34003000,-56231000,-56231000,-53096000,27870000,-9687000,162000,18312000,-781000,-781000,-792000,32562000,172409000,-15326000,0.43441,0.0492,0.02922,0.02108,0.01032,-1.85052,0.51848,1.04197,0.21489,0.58834,0.58132,20.13298,27.91213,-1.08873,0.01297,-0.024,4.62459,10.79934
"12","2016_Q1",62.2654098360656,"Down",286300000,-160376000,125924000,-107883000,-32861000,-18493000,-56529000,18041000,-747000,-618000,17294000,14268000,-2577000,11691000,11691000,11691000,11691000,22705000,22705000,27760000,27760000,28223000,18052000,18052000,96740000,603686000,139553000,18023000,743239000,839979000,100589000,23392000,77197000,77084000,48392000,177673000,210316000,77679000,77679000,287995000,465668000,206013000,-167339000,341016000,-5379000,374311000,374311000,839979000,11691000,18493000,3401000,5987000,39572000,-45546000,-45546000,-46032000,37907000,-30144000,16000,7455000,995000,995000,882000.000000004,36534000,210316000,-448000,0.43983,0.06301,0.04083,0.03123,0.01392,-0.0383200000000001,0.54448,1.24407,0.25038,0.84576,0.83669,20.71186,27.07885,-0.0324099999999996,0.01765,-0.00068,5.13524,10.39915
"13","2016_Q4",50.0973015873016,"Up",297307000,-171741000,125566000,-118098000,-29046000,-21468000,-67584000,7468000,-1612000,-1612000,5856000,-5847000,4547000,-1300000,-1300000,-1300000,-1300000,15531000,15531000,14160000,14160000,28130000,25654000,25654000,83475000,676978000,161805000,22042000,838783000,922258000,101489000,20898000,80591000,52056000,32077000,153545000,315848000,84030000,84030000,399878000,553423000,207998000,-196274000,361493000,-4382000,368835000,368835000,922258000,-1300000,21468000,9707000,-2245000,27630000,-38255000,-40519000,-38244000,11366000,-11160000,360000,206000,-10408000,-10408000,-10411000,28936000,315848000,-16111000,0.42234,0.02512,-0.00437,-0.00352,-0.00141,12.39308,0.54365,1.50046,0.34247,-0.09812,-0.09723,22.43996,27.8387,-1.21602,-0.00169,-0.02096,10.37866,40.21385
"14","2017_Q1",50.2185483870968,"Up",298205000,-166753000,131452000,-123462000,-41180000,-22117000,-60165000,7990000,-2046000,-2503000,5944000,-16831000,8079000,-8752000,-8752000,-8752000,-8752000,11732000,11732000,24166000,24166000,29899000,27049000,27049000,92846000,656439000,169260000,31055000,825699000,918545000,90810000,26602000,64208000,50199000,50199000,141009000,347180000,82303000,82303000,429483000,570492000,208040000,-207720000,352741000,-5008000,348053000,348053000,918545000,-8752000,22117000,5644000,-14737000,4272000,-26927000,-27073000,-26927000,31291000,-12784000,1774000,18918000,-3737000,-3737000,-3799000,30107000,347180000,-19636000,0.44081,0.02679,-0.02935,-0.02515,-0.00953,2.2436,0.65844,1.6391,0.37797,-0.67766,-0.67168,23.08982,26.94952,-1.5204,-0.01126,-0.02525,11.14186,41.98348
"15","2017_Q4",57.5388888888889,"Down",305699000,-177847000,127852000,-122293000,-33713000,-21258000,-67322000,5559000,-2032000,-2032000,3527000,2024000,690000,2714000,2714000,2714000,2714000,14984000,14984000,12253000,12253000,29480000,28384000,28384000,85101000,647301000,165833000,29089000,813134000,898235000,101165000,21119000,80046000,49600000,37905000,150765000,287061000,83644000,83644000,370705000,521470000,209538000,-203296000,373953000,-3430000,376765000,376765000,898235000,2714000,21258000,562000,-7695000,16839000,-19185000,-19186000,-19185000,-3514000,28000,28000,-3486000,-5832000,-5832000,-5195000,26817000,287061000,-753000,0.41823,0.01818,0.00888,0.00719999999999999,0.00302,-0.27745,0.56446,1.38407,0.31958,0.21006,0.20851,23.66091,29.16138,-0.05828,0.00363,-0.00101,10.14569,48.94352
"16","2018_Q1",55.666393442623,"Down",343927000,-195489000,148438000,-134121000,-38691000,-22070000,-73360000,14317000,-2543000,-3486000,11774000,5609000,3198000,8807000,8807000,8807000,8807000,17714000,17714000,26499000,26499000,29553000,31038000,31038000,104804000,638151000,167660000,32408000,805811000,910615000,104424000,35347000,69077000,55915000,55915000,160339000,276572000,86269000,86269000,362841000,523180000,210726000,-202485000,382760000,-3566000,387435000,387435000,910615000,8807000,22070000,-2253000,6419000,35043000,-22371000,-22498000,-22371000,-10575000,789000.000000002,789000,-9786000,2886000,2886000,2730000,36387000,276572000,17237000,0.4316,0.04163,0.02561,0.02273,0.00967,1.95719,0.65364,1.35037,0.30372,0.68102,0.67569,26.59504,29.9594,1.3329,0.01174,0.02297,7.11402,18.08046
"17","2019_Q1",30.8591803278689,"Down",306779000,-175561000,131218000,-163736000,-35743000,-22036000,-105957000,-32518000,-2838000,-2838000,-35356000,-17933000,7299000,-10634000,-10634000,-10634000,-10634000,18569000,18569000,25034000,25034000,27370000,27576000,27576000,98549000,565142000,180250000,49803000,745392000,843941000,115003000,39024000,75979000,55360000,55360000,171149000,202789000,87198000,87198000,289987000,461136000,212770000,-201505000,376341000,-4801000,382805000,382805000,843941000,-10634000,22036000,14024000,12089000,37515000,-10259000,-10429000,-10259000,-27685000,-956000,181000,-28641000,-1385000,-1385000,-1799000,-10482000,203575000,-15951000,0.42773,-0.106,-0.03466,-0.02778,-0.0126,1.5,0.57581,1.20462,0.24122,-0.8197,-0.83653,23.6475,29.50782,-1.22955,-0.01579,-0.02368,-17.64988,-5.68933999999999
"18","2019_Q4",29.52265625,"Down",294222000,-173887000,120335000,-144803000,-36776000,-21280000,-86747000,-24468000,-1812000,-1812000,-26280000,-7035000,5214000,-1821000,-1821000,-1821000,-1821000,20211000,20211000,11470000,11470000,27053000,16450000,16450000,75184000,522387000,648088000,520989000,1170475000,1245659000,116415000,37050000,79365000,37913000,37913000,197631000,670170000,10067000,10067000,680237000,877868000,213159000,-201350000,360968000,-4986000,367791000,367791000,1245659000,-1821000,21280000,-18336000,-1252000,-129000,-11910000,-11910000,-11910000,7046000,-956000,3000,6090000,-5949000,-5949000,-5983000,-3188000,713473000,-21564000,0.40899,-0.08316,-0.00619,-0.00495,-0.00146,11.84185,0.38043,2.38687,0.57277,-0.14048,-0.14219,22.69706,28.37237,-1.6635,-0.00167,-0.01976,-217.45985,-28.33342
"19","2020_Q1",26.136935483871,"Down",302945000,-170761000,132184000,-130956000,-35852000,-20703000,-74401000,1228000,-1907000,-2975000,-679000,-360000,-7342000,-7702000,-7702000,-7702000,-7702000,30045000,30045000,22372000,22372000,26424000,26646000,21338000,105487000,518013000,614080000,487708000,1132093000,1237580000,97664000,33040000,64624000,54223000,54223000,194586000,672310000,10164000,10164000,682474000,877060000,213940000,-202313000,353266000,-4373000,360520000,360520000,1237580000,-7702000,20703000,15322000,-12025000,16298000,-24130000,-24231000,-24130000,17855000,-1712000,-696000,16834000,9002000,9002000,9834000,21931000,715009000,-6882000,0.43633,0.00405,-0.02542,-0.02136,-0.00622,0.89353,0.54211,2.43276,0.57775,-0.59544,-0.59544,23.42056,27.87167,-0.53204,-0.00709,-0.00634,31.23268,557.78827
"20","2020_Q2",12.5965079365079,"Down",306065000,-188992000,117073000,-275302000,-41502000,-28320000,-205480000,-158229000,-3370000,-3370000,-161599000,-161599000,-12699000,-174298000,-174298000,-174298000,-174298000,29282795.4236257,29282795.4236257,19731291.4707661,19731291.4707661,25606397.8981462,30148108.4040586,44750811.2872939,104768593.196597,493035938.12495,502490011.645804,425834607.2481,995525949.770755,1100294542.96735,88902644.1054855,25853155.4515189,63049488.6539666,59701358.6898956,55095690.9965882,197909739.202959,589249582.985385,55509636.5567403,55509636.5567403,644759219.542125,842668958.745084,227408404.078053,-201399828.594968,236051627.101579,-4434618.36239635,257625584.222268,257625584.222268,1100294542.96735,-174298000,28320000,132948000,-290000,-13320000,-8703000,-8746000,-8703000,83994000,-1216000,419000.000000001,81738000,59715000,59715000,58875000,-129909000,-1.19209289550781e-07,-126203000,0.38251,-0.51698,-0.56948,-0.29567236691508,-0.0474626971596652,0.72406,0.531083433314994,3.93225715967386,0.573737177324305,-13.44996,-13.44996,23.61795,20.163101496748,-9.73864,-0.0549225983321249,-0.00454632704446559,111.487410836657,424.538888005908
"21","2020_Q3",10.4209375,"Down",161122000,-101522000,59600000,-110182000,-19697000,-20560000,-69925000,-50582000,-1979000,-1979000,-52561000,-52561000,-3700000,-56261000,-56261000,-56261000,-56261000,26138000,26138000,8988999.99999999,8988999.99999999,24983000,46817000,46817000,106927000,461350000,462368000,435831000,923718000,1030645000,89291000,19906000,69385000,43938000,43938000,204989000,653086000,14479000,14479000,667565000,872554000,240832000,-199945000,122707000,-5503000,158091000,158091000,1030645000,-56261000,20560000,29053000,1361000,-5287000,-2710000,-2710000,-2710000,-83379000,29922000,29922000,-55369000,-63366000,-63366000,-62782000,-30022000,724846000,-27671000,0.36991,-0.31394,-0.34918,-0.35588,-0.05459,0.49183,0.52162,5.51931,0.70329,-4.24227,-4.24227,12.14915,11.9206,-2.08649,-0.06269,-0.03083,-23.2732,-13.81337
"22","2020_Q4",16.77265625,"Up",200478000,-120381000,80097000,-104692000,-21284000,-19173000,-64235000,-24595000,-2280000,-2280000,-26875000,-26875000,20696000,-6179000.00000001,-6179000.00000001,-6179000.00000001,-6179000.00000001,27367000,27367000,9024000,9024000,24496000,74718000,11652000,135605000,446083000,451583000,426143000,897666000,1033271000,88805000,18940000,69865000,42564000,42564000,203093000,657126000,19858000,19858000,676984000,880077000,242068000,-199908000,116528000,-5494000,153194000,153194000,1033271000,-6179000.00000001,19173000,5584999.99999999,-22373000,-3794000,-2718000,-3414000,-2718000,8381000.00000003,-730000,-729999.999999996,7650999.99999999,1139000.00000001,1139000.00000001,1229000,-5422000,728850000,-51209000,0.39953,-0.12268,-0.03082,-0.04033,-0.00598,8.28759,0.6677,5.74485,0.70538,-0.40357,-0.40357,13.09372,10.00549,-3.34459,-0.00685,-0.05678,-129.37717,-28.52137
"23","2021_Q1",30.2239344262295,"Up",201050000,-120419000,80631000,-122371000,-24339000,-19504000,-78528000,-41740000,-777000,-2534000,-42517000,-42517000,3187000,-39330000,-39330000,-39330000,-39330000,16116000,16116000,16510000,16510000,23802000,30480000,13818000,86908000,427033000,460798000,436084000,887831000,974739000,88527000,20179000,68348000,104335000,50138000,202554000,160952000,490520000,490520000,651472000,854026000,243427000,-199908000,77198000,-4000,120713000,120713000,974739000,-39330000,19504000,9973000,52487000,42634000,-7262000,-7262000,-7262000,-45497000,-893000,-893000,-45724000,-10352000,-10352000,-11251000,-22236000,170644000,19802000,0.40105,-0.20761,-0.19562,-0.32581,-0.04035,-0.50348,0.42906,7.07485,0.17507,-2.55042,-2.55042,13.03742,7.82783,1.28409,-0.0503,0.02533,-6.94945000000001,-3.70216
"24","2021_Q2",34.1079365079365,"Up",326275000,-180825000,145450000,-149781000,-30610000,-25888000,-93283000,-4331000,-4330000,-4330000,-8661000,-8661000,-52000,-8713000,-8713000,-8713000,-8713000,22284000,22284000,10916000,10916000,23736000,28999000,12823000,85935000,405157000,460045000,436304000,865202000,951137000,100134000,25520000,74614000,42996000,42996000,204191000,618258000,16402000,16402000,634660000,838851000,240667000,-196883000,68485000,17000,112286000,112286000,951137000,-8713000,25888000,1873000,-116000,18932000,-5400000,-5400000,-5400000,-7022000,245000,245000,-7392999.99999999,6139000,6139000,6168000,21557000,679319000,16093000,0.44579,-0.01327,-0.0267,-0.0776,-0.00916,-1.84701,0.42086,7.47066,0.71422,-0.6087,-0.6087,22.79412,7.84449,1.12428,-0.01078,0.01992,30.47896,-151.70515
"25","2021_Q3",25.759375,"Down",276975000,-160866000,116109000,-118673000,-28346000,-19215000,-71112000,-2564000,-2786000,-2786000,-5350000,-5350000,354000,-4996000,-4996000,-4996000,-4996000,25569000,25569000,11323000,11323000,23926000,28694000,12342000,89512000,396746000,455845000,432776000,852591000,942103000,109760000,31396000,78364000,43531000,43531000,214005000,603002000,15932999.9999999,15932999.9999999,618935000,832940000,238697000,-193039000,63489000,16000,109163000,109163000,942103000,-4996000,19215000,1570000,2463000,18252000,-5434000,-5454000,-5434000,-9842000,-245000,-245000,-9538000,3280000,3280000,3285000,16651000,663716000,13326000,0.4192,-0.00926,-0.01804,-0.04577,-0.0053,-2.66733,0.41827,7.63024,0.7045,-0.31991,-0.31991,17.73548,6.99001,0.8533,-0.00633,0.01689,38.32485,-248.88729
"26","2021_Q4",19.1321875,"Down",275444000,-162396000,113048000,-125184000,-30343000,-18881000,-75960000,-12136000,-2870000,-2870000,-15006000,-15006000,26000,-14980000,-14980000,-14980000,-14980000,17757000,17757000,11939000,11939000,23769000,28604000,12439000,82069000,388881000,450774000,428355000,839655000,921724000,109433000,34638000,74795000,42621000,42621000,211640000,598144000,15775000,15775000,613919000,825559000,240465000,-192819000,48509000,10000,96165000,96165000,921724000,-14980000,18881000,1731000,-5199000,433000,-9133000,-7545530.80997558,-9133000,1148000,-1070893.31640824,-1126372.67286992,894000.000000004,-7806000,-7806000,-7812000,6745000,657730000,-7613000,0.41042,-0.04406,-0.05438,-0.15577,-0.01625,0.50821,0.38778,8.58482,0.71359,-0.95921,-0.95921,17.63745,6.15771,-0.48748,-0.01946,-0.00989,94.8811,-52.73344
"27","2022_Q1",16.156935483871,"Down",283384000,-166710000,116674000,-134340000,-33444000,-19454000,-81442000,-17666000,-3471000,-4190000,-21137000,-21137000,-176000,-21313000,-21313000,-21313000,-21313000,22750000,22750000,21400000,21400000,25219000,32787000,16963000,102156000,386336000,440506000,419214000,826842000,928998000,110552000,32510000,78042000,54214000,54214000,223300000,602399000,26325000,26325000,628724000,852024000,242580000,-192803000,27196000,1000.00000000001,76974000,76974000,928998000,-21313000,19454000,6576000,4958000,9675000,-22274000,-9566492.33362082,-22274000,19371000,-5161679.94922471,-5328118.01860977,17600000,5001000,5001000,4993000,1788000,660933000,-15352000,0.41172,-0.06234,-0.07521,-0.27689,-0.02294,0.72031,0.45748,11.06898,0.71145,-1.35674,-1.35674,18.0396,4.89999,-0.97727,-0.02789,-0.02009,356.92562,-36.12493
"28","2022_Q2",10.7874193548387,"Down",395550000,-229049000,166501000,-162131000,-34380000,-23919000,-103832000,4370000,-7413000,-7413000,-3043000,-3043000,-62000,-3105000,-3105000,-3105000,-3105000,33772000,33772000,12551000,12551000,25232000,36476000,15080000,108031000,371840000,426665000,406193000,798505000,906536000,113813000,31572000,82241000,37986000,37986000,202096000,613074000,14509000,14509000,627583000,829679000,242776000,-190022000,24091000,12000,76857000,76857000,906536000,-3105000,23919000,-580000,-6938000,13296000,-9548000,-9716000,-9548000,20351000,-15446359.8984494,-15779236.0372195,15417000,19165000,19165000,19173000,28289000,663371000,11865000,0.42094,0.01105,-0.00785,-0.0404,-0.00343,-3.82126,0.53455,10.7951,0.73176,-0.19766,-0.19766,25.17983,4.89255,0.7553,-0.00411,0.01572,22.25597,144.073
"29","2022_Q3",8.15484375,"Down",294090000,-174345000,119745000,-133096000,-32095000,-17637000,-83364000,-13351000,-4147000,-4147000,-17498000,-17498000,-434000,-17932000,-17932000,-17932000,-17932000,50338000,50338000,12578000,12578000,25216000,23512000,14155000,111644000,354199000,418536000,398688000,772735000,884379000,118650000,32419000,86231000,37832000,37832000,206562000,602651000,13591000,13591000,616242000,822804000,239627000,-184205000,6159000,-6000,61575000,61575000,884379000,-17932000,17637000,11506000,11932000,23143000,-6076000,-6177000,-6076000,-3944000,-34853933.1640824,-35408726.7286992,38000,17105000,17105000,17091000,4286000,652731000,10576000,0.40717,-0.0454,-0.06097,-0.29122,-0.02028,-0.58978,0.54049,13.36263,0.73807,-1.12837,-1.12837,18.50554,3.87459,0.66549,-0.02464,0.01453,140.549,-45.11969
