"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",15.5825,"Up",27291000,-12694000,14597000,-6414000,-6039000,-375000,8183000,-264000,-261000,7919000,7919000,-1612000,6307000,6307000,6307000,6307000,16544000,16544000,7445000,42876000,4619000,66865000,111829000,12141000,3815000,87000,123970000,190835000,7085000,3599000,3486000,1134000,1134000,8366000,10941000,117026000,-6387000,62655000,6600000,179894000,179894000,190835000,6307000,7826000,29000,-5772000,8390000,739000,-4206000,-3447000,737000,737000,657000,1394000,16009000,2346000,12588000,0.53486,0.29984,0.2311,0.03506,0.03305,1.99588,7.99247,0.06082,0.01229,0.49316,0.47708,2.13394,14.06631,0.98428,0.03454,0.06893,-0.88688,-1.73506
"12","2013_Q3",16.8275,"Up",20895000,-16595000,4300000,-6426000,-6048000,-378000,-2126000,1160000,1e+06,-966000.000000002,-966000,273000,-693000,-692999.999999999,-692999.999999999,-693000.000000001,20298000,20298000,6536000,38258000,4039000,65092000,105874000,12755000,3587000,32000,118629000,183721000,7366000,4436000,2930000,653000,653000,8149000,8664000,117507000,-6402000,61962000,1990000,175057000,175057000,183721000,-692999.999999999,7798000,-2215000,2681000,7571000,1875000,-1009000,-1849000,4713000,4713000,-959000,3754000,5672000,269000,9955000,0.20579,-0.10175,-0.03317,-0.00396,-0.00377,-14.36508,7.98773,0.04949,0.00146,-0.05438,-0.0526,1.63972,13.7375,0.78121,-0.00394,0.05666,-3.53121,9.42098
"13","2013_Q4",16.42390625,"Down",20275000,-15322000,4953000,-7505000,-6086000,-371000,-2552000,-554000,-517000,-3106000,-3106000,478000,-2628000,-2628000,-2628000,-2628000,24209000,24209000,8490000,35032000,4232000,67731000,106631000,14210000,3447000,34000,120841000,188572000,10974000,8469000,2505000,497000,497000,11581000,15097000,117738000,-7075000,59334000,3478000,173475000,173475000,188572000,-2628000,7618000,-2504000,243000,2729000,3122000,-2357000,2340000,2712000,2712000,1199000,3911000,5066000,3250000,7953000,0.24429,-0.12587,-0.12962,-0.01515,-0.01394,-3.02626,5.84846,0.08703,0.01723,-0.20586,-0.19994,1.5882,13.58883,0.62298,-0.01484,0.04491,-4.13719,8.21277
"14","2014_Q1",15.0906557377049,"Down",23647000,-15482000,8165000,-5865000,-5496000,-369000,2300000,-121000,9000,2179000,2179000,-397000,1782000,1782000,1782000,1782000,15162000,15162000,8338000,38660000,3915000,62160000,129573000,13686000,3201000,32000,143259000,205419000,12328000,10745000,1583000,35000.0000000001,35000.0000000001,12438000,34971000,118295000,-7075000,61116000,-1888000,170448000,170448000,205419000,1782000,7795000,66000,-7118000,2525000,566000,-29635000,19765000,-7345000,-7345000,-1702000,-9047000,10095000,22200000,3940000,0.34529,0.09726,0.07536,0.01045,0.00867,2.211,4.99759,0.20517,0.10807,0.13972,0.13533,1.85408,13.36428,0.30892,0.00923,0.02041,0.697180000000001,3.06
"15","2014_Q2",13.8053968253968,"Down",25732000,-14489000,11243000,-6471000,-6119000,-352000,4772000,74000,189000,4846000,4846000,-1109000,3737000,3737000,3737000,3737000,11681000,11681000,8302000,36551000,2634000,56534000,124296000,14219000,3084000,34000,138515000,195049000,5359000,3045000,2314000,793000,793000,6203000,21330000,118732000,-9248000,64853000,-618000,173719000,173719000,195049000,3737000,9082000,-1089000,2328000,14058000,1014000,-8115000,-9086000,-3143000,-3143000,-338000,-3481000,13854000,15178000,18305000,0.43693,0.18545,0.14523,0.02151,0.01916,4.89831,9.11398,0.12278,0.07782,0.29312,0.28522,2.01835,13.62609,1.4358,0.01978,0.0969,0.25242,0.73282
"16","2014_Q3",12.71984375,"Down",19545000,-16308000,3237000,-7233000,-6673000,-560000,-3996000,-27000,58000,-4023000,-4023000,676000,-3347000,-3347000,-3347000,-3347000,9427000,9427000,11728000,39630000,6010000,60785000,122102000,26305000,12741000,34000.0000000001,148407000,209192000,12090000,6590000,5500000,667000,667000,12779000,37901000,119388000,-9262000,61506000,-341000,171291000,171291000,209192000,-3347000,9463000,-1866000,842000,5092000,1154000,-17933000,10077000,-2764000,-2764000,510000,-2254000,5467000,25144000,6787000,0.16562,-0.20445,-0.17125,-0.01954,-0.016,-2.02779,4.75663,0.22127,0.1202,-0.26415,-0.25774,1.5425,13.51835,0.53563,-0.01704,0.03455,2.87489,-3.93318
"17","2014_Q4",8.65734375,"Down",22906000,-15899000,7007000,-6813000,-6159000,-654000,194000,-534000,-387000,-340000,-340000,-57000,-397000,-397000,-397000,-397000,9069000,9069000,11158000,46513000,9866000,66740000,112803000,27685000,11905000,1902000,140488000,207228000,11094000,6489000,4605000,179000,179000,13694000,45835000,119636000,-16851000,61109000,-2501000,161393000,161393000,207228000,-397000,9321000,418000,-11949000,-2607000,318000,-1045000,1843000,-1809000,-1809000,1451000,-358000,9515000,34562000,-2059000,0.3059,0.00847,-0.01733,-0.00246,-0.00192,5.1864,4.87367,0.284,0.16678,-0.03183,-0.03363,1.83645,12.93939,-0.16508,-0.00203,-0.01051,2.67924,131.40722
"18","2015_Q1",5.90868852459016,"Down",14963000,-13196000,1767000,-9482000,-6007000,-625000,-7715000,-2954000,-2628000,-10669000,-10669000,1484000,-9185000,-9185000,-9185000,-9185000,5175000,5175000,11451000,37523000,6562000,54149000,100087000,25375000,10831000,28000,125462000,179611000,6072000,2399000,3673000,710000,710000,1e+07,33137000,119927000,-16851000,51924000,-8526000,146474000,146474000,179611000,-9185000,9120000,4638000,4089000,8662000,221000,-4149000,-8268000,-3755000,-3755000,-139000,-3894000,1405000,26355000,4231000,0.11809,-0.51561,-0.61385,-0.06271,-0.05114,-0.460640000000001,5.4149,0.22623,0.14673,-0.76395,-0.76395,1.24453,12.18282,0.35191,-0.05315,0.02448,15.07473,-2.74529999999999
"19","2015_Q2",4.72253968253968,"Down",17142000,-12566000,4576000,-5533000,-4896000,-637000,-957000,565000,786000,-392000,-392000,155000,-237000,-237000,-237000,-237000,6227000,6227000,12508000,38123000,3360000,56858000,95769000,25690000,10716000,28000,121459000,178317000,7827000,3676000,4151000,661000,661000,11707000,29063000,120197000,-16851000,51687000,-5779000,149254000,149254000,178317000,-237000,8307000,-940000,-692000,6438000,139000,66000,-5756000,748000,748000,304000,1052000,7350000,20575000,6642000,0.26695,-0.05583,-0.01383,-0.00159,-0.00133,-28.02532,4.85675,0.19472,0.11538,-0.01972,-0.01972,1.42636,12.4192,0.55267,-0.0014,0.03911,1.95211,-14.99269
"20","2015_Q3",4.054375,"Down",7554000,-10163000,-2609000,-6195000,-4964000,-631000,-8804000,159000,325000,-8645000,-8645000,2797000,-5848000,-5848000,-5848000,-5848000,2800000,2800000,14477000,28296000,2787000,45573000,86542000,27595000,9975000,27000,114137000,159710000,5765000,1761000,4004000,481000,481000,9363000,20520000,120374000,-16851000,45839000,-10172000,139190000,139190000,159710000,-5848000,8248000,-2460000,5272000,5212000,88999.9999999999,-1712000,-6168000,-2668000,-2668000,-759000,-3427000,-555999.999999998,14274000,2008000,-0.34538,-1.16548,-0.77416,-0.04201,-0.03662,-0.343370000000007,4.86735,0.14742,0.08937,-0.48579,-0.48579,0.62751,11.56255,0.16681,-0.03811,0.01308,-20.63669,-1.30327
"21","2015_Q4",3.88359375,"Down",15681000,-13958000,1723000,-5559000,-4359000,-6e+05,-3836000,-581000,-445000,-4417000,-6559000,746000,-5813000,-5813000,-5813000,-5813000,4566000,4566000,11766000,29221000,2814000,45553000,78578000,29294000,9377000,465000,107872000,153425000,7120000,2067000,5053000,370000,370000,10708000,19899000,120887000,-16854000,40026000,-10533000,133526000,133526000,153425000,-5813000,7877000,-1511000,1696000,2249000,1111000,857000,-1685000,1421000,1421000,345000,1766000,4041000,12409000,6102000,0.10988,-0.24463,-0.3707,-0.04353,-0.03789,-1.04972,4.25411,0.14903,0.08088,-0.48245,-0.48245,1.30144,11.08192,0.50643,-0.03983,0.04181,1.94086,-2.04458
"22","2016_Q1",2.97901639344262,"Down",11442000,-12463000,-1021000,-5460000,-3816000,-643000,-6481000,-1142000,-940000,-7623000,-12163000,-14675000,-26838000,-26838000,-26838000,-26838000,3769000,3769000,12944000,26171000,1685000,42884000,73516000,18359000,10466000,3152000,91875000,134759000,8912000,3543000,5369000,326000,326000,12456000,29722000,120804000,-16854000,13188000,-12101000,105037000,105037000,134759000,-26838000,7679000,21812000,-1505000,1148000,565000,-9480000,7971000,-361000,-361000,-436000,-796999.999999999,1198000,20484000,14933000,-0.08923,-0.56642,-2.34557,-0.25551,-0.19916,-0.55641,3.44284,0.28297,0.152,-2.22556,-2.22556,0.94883,8.71026,1.23833,-0.21381,0.11897,13.95242,-2.57908
"23","2016_Q2",3.68828125,"Up",11731000,-12097000,-366000,-5965000,-5313000,-652000,-6331000,187000,451000,-6144000,-6144000,-299000,-6443000,-6443000,-6443000,-6443000,2360000,2360000,13016000,21652000,2105000,37028000,68594000,20878000,10501000,5243000,89472000,126500000,7012000,2102000,4910000,486000,486000,10717000,25233000,120816000,-16854000,6745000,-9440000,101267000,101267000,126500000,-6443000,7558000,-817000,1452000,1750000,824000,302000,-2754000,-702000,-702000,-707000,-1409000,1227000,17735000,3802000,-0.0312,-0.53968,-0.54923,-0.06362,-0.05093,-0.5901,3.45507,0.24917,0.1402,-0.53429,-0.53429,0.9728,8.39763,0.31528,-0.05414,0.03195,12.53056,-2.42853
"24","2016_Q3",3.19125,"Down",8663000,-10905000,-2242000,-6073000,-5426000,-647000,-8315000,-776000,-612000,-9091000,-9091000,-434999.999999998,-9526000,-9526000,-9526000,-9640000,3496000,3496000,13091000,16047000,1544000,32634000,60965000,20252000,10083000,6014000,81217000,113851000,5092000,1687000,3405000,351000,351000,8663000,14925000,121237000,-16856000,-2895000,-9677000,98926000,98926000,113851000,-9526000,7352000,39000.0000000037,3469000,1334000,1268000,1207000,-1255000,1286000,1286000,-150000,1136000,-963000,9482000,4209000,-0.2588,-0.95983,-1.11278,-0.09745,-0.08467,-0.43662,3.76706,0.15087,0.08328,-0.79861,-0.79861,0.71767,7.60575,0.34869,-0.08787,0.03883,-6.21599,-0.7199
"25","2016_Q4",3.55603174603175,"Up",8057000,-10194000,-2137000,-5597000,-5039000,-558000,-7734000,176000,287000,-7558000,-7558000,228000,-7330000,-7330000,-7330000,-7510000,3232000,3232000,12521000,14756000,1808000,30509000,54192000,19641000,9442000,4996000,73833000,104342000,4810000,2716000,2094000,178000,178000,13664000,13664000,121391000,-16858000,-10405000,-10425000,90678000,90678000,104342000,-7330000,7017000,-191000,1107000,603000,47000,26000,-1126000,-497000,-497000,233000,-264000,-717000,8676000,209000,-0.26524,-0.95991,-0.93211,-0.08282,-0.07197,-0.02783,2.2328,0.15069,0.08315,-0.62195,-0.62195,0.66725,6.93193,0.01731,-0.07378,0.0021,-7.59275,-0.7039
"26","2017_Q1",4.64629032258065,"Up",12548000,-15217000,-2669000,-5267000,-3975000,-542000,-7936000,364000,468000,-7572000,-8546000,-1308000,-9854000,-9854000,-9854000,-10046000,2902000,2902000,11960000,20197000,2193000,35059000,43838000,15817000,9012000,2808000,59655000,94714000,6443000,1929000,4514000,651000,651000,13465000,13782000,121541000,-16858000,-20451000,-10594000,80932000,80932000,94714000,-9854000,6348000,3847000,-874000,-533000,2909000,2877000,-2178000,166000,166000,113000,279000,-1588000,6371000,1755000,-0.2127,-0.63245,-0.80061,-0.12413,-0.10607,-0.1747,2.60371,0.17029,0.06727,-0.83197,-0.83197,1.03917,6.09839,0.14534,-0.11246,0.02003,-2.18451,-0.43712
"27","2017_Q2",4.3868253968254,"Down",18433000,-15239000,3194000,-5385000,-4804000,-581000,-2191000,-147000,-101000,-2338000,-2436000,-229000,-2665000,-2665000,-2665000,-2859000,2053000,2053000,13488000,18404000,1752000,33945000,33380000,18425000,8720000,5708000,51805000,85750000,6471000,1876000,4595000,560000,560000,7031000,7327000,121765000,-16858000,-23310000,-10565000,78423000,78423000,85750000,-2665000,4791000,-2532000,1518000,1112000,4468000,4310000,-6474000,-1052000,-1052000,-3000,-1055000,2600000,0,8815000,0.17328,-0.11886,-0.1551,-0.03646,-0.03334,-3.08325,4.8279,0.09343,0,-0.23671,-0.23671,1.52616,5.88111,0.72984,-0.03385,0.11198,-0.78962,0.93702
"28","2017_Q3",3.55714285714286,"Down",10836000,-10218000,617999.999999999,-5350000,-4825000,-525000,-4732000,-35000.0000000001,-52000,-4767000,-5007000,-357000,-5364000,-5364000,-5364000,-5571000,6916000,6916000,12465000,14609000,1934000,33990000,29842000,17762000,8536000,5229000,47604000,81594000,6188000,1770000,4366000,455000,455000,6643000,6918000,122001000,-16858000,-28881000,-9719000,74676000,74676000,81594000,-5364000,4304000,80000,3954000,2974000,1424000,1348000,540000,4862000,4862000,-166000,4696000,-428000.000000001,0,5307000,0.05703,-0.43669,-0.51412,-0.0746,-0.06828,-0.95261,5.11666,0.09264,0,-0.4611,-0.4611,0.89687,5.50761,0.43925,-0.07157,0.07081,16.15888,1.46154
"29","2017_Q4",3.58492063492064,"Up",8644000,-7743000,901000,-5395000,-4879000,-516000,-4494000,98000,46000,-4396000,-4695000,-586000,-5281000,-5281000,-5281000,-5510000,6541000,6541000,11940000,14529000,2135000,33010000,26372000,17415000,8151000,5267000,43787000,76797000,6116000,2118000,3669000,236000,236000,6352000,6648000,122227000,-16858000,-34391000,-9973000,70149000,70149000,76797000,-5281000,4124000,-168000,-587000,-1912000,522000,435000,844000,-633000,-633000,251000,-382000,-370000,0,151000,0.10423,-0.5199,-0.63744,-0.07855,-0.07175,-0.0274,5.19679,0.09477,0,-0.45586,-0.45586,0.71515,5.04716,0.01249,-0.07497,0.00214,17.67838,1.4555
"30","2018_Q1",3.52245901639344,"Down",10363000,-8992000,1371000,-6694000,-5155000,-526000,-5323000,-367000,-391000,-5690000,-8021000,262000,-7759000,-7759000,-7759000,-8034000,9902000,9902000,10856000,12288000,1550000,33046000,22900000,17733000,8015000,7187000,40633000,73679000,6782000,1271000,5253000,741000,741000,7523000,7830000,122444000,-16860000,-42425000,-8854000,65849000,65849000,73679000,-7759000,3418000,2134000,752000,-1455000,3492000,2904000,2052000,3501000,3501000,-125000,3376000,-1905000,-2.91038304567337e-11,2077000,0.1323,-0.51365,-0.77526,-0.12201,-0.10904,-0.25853,4.39266,0.11891,0,-0.66457,-0.66457,0.85723,4.4921,0.17181,-0.11728,0.0314,5.1979,1.86023
"31","2018_Q2",3.685625,"Up",7613000,-6368000,1245000,-6447000,-5630000,-617000,-5202000,104000,86000,-5098000,-5468000,-437000,-5905000,-5905000,-5905000,-6290000,8613000,8613000,11432000,14698000,2132000,34743000,21046000,16935000,11484000,2920000,37981000,72724000,8680000,2889000,4895000,723000,723000,9403000,9508000,122570000,-16860000,-48715000,-9091000,63216000,63216000,72724000,-5905000,3303000,-796000,32000,-3366000,1507000,-1683000,3427000,-1622000,-1622000,322000,-1300000,-1899000,0,77000,0.16354,-0.6833,-0.82622,-0.0995,-0.08649,-0.01224,3.69488,0.1504,0,-0.52039,-0.52039,0.62985,3.96327,0.00637,-0.09326,0.00122,4.53555,1.65571
"32","2018_Q3",3.98238095238095,"Up",8350000,-6490000,1860000,-6124000,-5504000,-620000,-4264000,71999.9999999999,55000,-4192000,-4504000,-84999.9999999999,-4589000,-4589000,-4589000,-5e+06,6886000,6886000,11855000,13691000,1970000,32432000,19765000,15917000,11037000,2349000,35682000,68114000,7700000,2038000,4776000,460000,460000,8160000,8160000,122812000,-16860000,-53715000,-9233000,59954000,59954000,68114000,-4589000,3096000,-9000,-931000,-2433000,798000,-398000,1227000,-1604000,-1604000,-133000,-1737000,-1168000,-3.63797880709171e-12,-1216000,0.22275,-0.51066,-0.5988,-0.0834,-0.07341,0.2432,3.97451,0.1361,0,-0.41346,-0.41346,0.69048,3.55611,-0.10055,-0.07654,-0.02028,5.89555,1.61492
"33","2018_Q4",3.64968253968254,"Down",14651000,-9427000,5224000,-5398000,-4819000,-579000,-174000,-186000,-198000,-360000,-5440000,249000,-5191000,-5191000,-5191000,-5640000,5406000,5406000,11679000,19256000,1603000,36341000,16655000,15543000,10911000,2043000,32198000,68539000,8129000,2096000,5477000,156000,156000,8285000,8285000,123019000,-16860000,-59355000,-4162000,60254000,60254000,68539000,-5191000,2785000,4748000,-4503000,-2161000,1123000,938000,236000,-987000,-987000,-503000,-1490000,2611000,0,-1018000,0.35656,-0.01188,-0.38496,-0.0936,-0.08229,0.1805,4.38636,0.1375,0,-0.46538,-0.46538,1.20893,3.51861,-0.084,-0.08615,-0.0169,-2.07047,31.06897
"34","2019_Q1",3.91409836065574,"Up",12328000,-8917000,3411000,-5632000,-4952000,-680000,-2221000,58000,33000,-2163000,-4176000,20999.9999999999,-4155000,-4155000,-4155000,-4618000,9389000,9389000,10774000,16179000,1735000,36342000,14155000,14804000,10495000,1710000,28959000,65301000,5496000,1534000,3738000,1932000,1040000,7428000,8623000,123225000,-16860000,-63973000,-4044000,56678000,56678000,65301000,-4155000,2630000,1588000,2440000,2503000,1421000,1128000,255000,3886000,3886000,44000,3930000,409000,-2.27373675443232e-13,4249000,0.27669,-0.18016,-0.37459,-0.08148,-0.07072,-0.9201,4.89257,0.15214,0,-0.38099,-0.38099,1.01708,3.16377,0.35055,-0.0718,0.07342,-22.9559899999999,4.22738000000001
