"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"11","2012_Q4",19.1616129032258,"Up",251752000,-26022000,225730000,-105805000,-16145000,-89660000,119925000,26303000,1375000,24928000,146228000,-62727000,83501000,-32415000,51086000,51086000,50743000,50743000,397677000,397677000,197191000,197191000,74904000,74904000,669772000,131889000,132722000,398021000,310168000,63618000,23528000,662632000,1332404000,125416000,3567000,121849000,1119000,1119000,126535000,106792000,95713000,11079000,106792000,233327000,606692000,468919000,5693000,1081304000,1099077000,1332404000,51086000,19700000,70786000,-12987000,-12987000,-5307000,6263000,152000,-6572000,0,-14835000,15859000,-30694000,-14031000,50183000,50183000,50183000,0,0.89664,0.47636,0.20156,0.04617,0.03808,5.29318,0.21229,0,0.28935,0.28935,1.43556,6.16588,0,0.04208,0,-3.31605
"12","2013_Q1",24.1628333333333,"Up",261635000,-26606000,235029000,-108008000,-13608000,-94400000,127021000,24865000,1164000,23701000,151886000,-64342000,87544000,-30570000,56974000,56974000,56585000,56585000,452247000,452247000,171734000,171734000,75411000,75411000,699392000,127581000,81778000,401073000,307490000,77398000,14173000,610432000,1309824000,149553000,11248000,138305000,2452000,2452000,152005000,100490000,93458000,7032000,100490000,252495000,626027000,405914000,6239000,1038180000,1057329000,1309824000,56974000,5756000,111591000,-6529000,-6529000,-1419000,59177000,-1251000,51397000,-82700000,-27135000,18815000,-45950000,-108418000,54570000,54570000,54570000,-2.91038304567337e-11,0.89831,0.48549,0.21627,0.05352,0.0432,4.60111,0.2388,0,0.3242,0.3242,1.49902,5.94819,0.47383,0.1203,1.46152,-3.56041
"13","2013_Q2",25.755,"Up",271879000,-27934000,243945000,-107849000,-13946000,-93903000,136096000,28528000,940000,27588000,164624000,-53662000,110962000,-38692000,72270000,72270000,71920000,71920000,452099000,452099000,210580000,210580000,83767000,83767000,746446000,123153000,78148000,394863000,305352000,77165000,11244000,596164000,1342610000,147227000,6617000,140610000,1500000,1500000,148727000,92786000,85386000,7400000,92786000,241513000,654581000,445233000,1283000,1101097000,1101097000,1342610000,72270000,-32795000,39475000,-7792000,-7792000,-1744000,2468000,20000,-31998000,0,-10188000,24278000,-34466000,-7625000,-148000,-148000,-148000,0,0.89726,0.50058,0.26453,0.06532,0.05357,5.0189,0.21934,-6.7762635780344e-21,0.40862,0.40862,1.54472,6.25606,0,0.06024,0,-3.32191
"14","2013_Q3",27.5275,"Up",274574000,-29652000,244922000,-111479000,-14157000,-97322000,133443000,28162000,574000,27588000,161605000,-32218000,129387000,-45893000,83494000,83494000,83494000,83494000,487059000,487059000,184870000,184870000,80354000,80354000,752283000,119195000,69692000,406698000,313121000,81777000,10707000,595585000,1347868000,129933000,1802000,128131000,1314000,1314000,131247000,90126000,82269000,7857000,90126000,221373000,679765000,448729000,-1999000,1126495000,1126495000,1347868000,83494000,345000,83839000,-17958000,-17958000,-1820000,5843000,-2624000,17983000,-34400000,-36554000,15356000,-51910000,-66862000,34960000,34960000,34960000,0,0.89201,0.486,0.30409,0.07412,0.06195,5.73181,0.19651,0,0.47424,0.47424,1.55957,6.39843,0.19539,0.0969,0.41201,-3.64994
"15","2013_Q4",29.72375,"Up",280655000,-31209000,249446000,-114853000,-14445000,-100408000,134593000,31512000,484000,31028000,166105000,-72119000,93986000,-26791000,67195000,67195000,67195000,67195000,527214000,527214000,186382000,186382000,85152000,85152000,798748000,118494000,91027000,383430000,313206000,57429000,11511000,592951000,1391699000,143914000,7275000,136639000,1364000,1364000,145278000,79854000,71151000,8703000,79854000,225132000,702378000,462633000,1556000,1166567000,1166567000,1391699000,67195000,49786000,116981000,-15707000,-15707000,-6849000,-20218000,0,-35925000,0,-42591000,15154000,-57745000,-40901000,40155000,40155000,40155000,0,0.8888,0.47957,0.23942,0.0576,0.04828,5.49807,0.19299,-4.2351647362715e-22,0.3817,0.3817,1.59424,6.6266,0,0.05391,0,-3.9171
"16","2014_Q1",30.5703278688525,"Up",299024000,-33194000,265830000,-118236000,-14551000,-103685000,147594000,32587000,715000,31872000,180181000,-79118000,101063000,-35548000,65515000,65515000,65515000,65515000,578273000,578273000,186664000,186664000,82163000,82163000,847100000,118995000,88172000,384902000,312615000,61370000,10917000,592069000,1439169000,204358000,16235000,188123000,3630000,1977000,207988000,75179000,66572000,8607000,75179000,283167000,722911000,431604000,1487000,1156002000,1156002000,1439169000,65515000,-10165000,110929000,-14394000,-14394000,-5938000,1921000,4.65661287307739e-10,-12473000,0,-50877000,11579000,-62456000,-47397000,51059000,51059000,51059000,-1.13686837721616e-13,0.88899,0.49359,0.2191,0.05667,0.04552,4.07283,0.24495,0,0.37487,0.37487,1.711,6.61457,-2.77555756156289e-17,0.05321,0,-3.918
"17","2014_Q2",28.9985714285714,"Down",302386000,-34012000,268374000,-112045000,-14798000,-97247000,156329000,32555000,664000,31891000,188884000,-72219000,116665000,-41845000,74820000,74820000,74820000,74820000,545552000,545552000,207724000,207724000,89357000,89357000,842633000,121039000,86574000,388735000,312866000,61756000,14113000,596348000,1438981000,150037000,8373000,141664000,3682000,2078000,153719000,80890000,71578000,9312000,80890000,234609000,760336000,444022000,14000.0000000005,1204372000,1204372000,1438981000,74820000,-29328000,45492000,-17035000,-17035000,-7627000,2432000,0,-14603000,-37314000,-30155000,35793000,-65948000,-62060000,-31171000,-31171000,-32721000,0,0.88752,0.51698,0.24743,0.06212,0.052,5.48165,0.1948,-2.64697796016969e-23,0.43043,0.43043,1.73957,6.92853,0.21466,0.08725,0.49872,-3.48977
"18","2014_Q3",32.2584375,"Up",318815000,-37244000,281571000,-110257000,-14915000,-95342000,171314000,34833000,607000,34226000,206147000,-77293000,128854000,-46041000,82813000,82813000,82813000,82813000,532167000,532167000,207682000,207682000,92260000,92260000,832109000,126685000,90774000,385538000,312193000,60017000,13328000,602997000,1435106000,146492000,8470000,138022000,3185000,1338000,149677000,82087000,72367000,9720000,82087000,231764000,774063000,425458000,3821000,1203342000,1203342000,1435106000,82813000,13482000,96295000,-19859000,-19859000,-11005000,-2856000,-2e+06,-19133000,-36942000,-58568000,15778000,-74346000,-93302000,-16140000,-16140000,-13385000,0,0.88318,0.53735,0.25975,0.06882,0.05771,5.55936,0.1926,0,0.48062,0.48062,1.85031,6.98383,0.2144,0.09316,0.44609,-3.10638
"19","2014_Q4",34.71109375,"Up",322047000,-39737000,282310000,-113494000,-15392000,-98102000,168816000,38598000,635000,37963000,207414000,-78796000,128618000,-44635000,83983000,83983000,83983000,83983000,577914000,577914000,211228000,211228000,94234000,94234000,883376000,128775000,85992000,387636000,310368000,63858000,13410000,602403000,1485779000,155351000,6512000,148839000,2966000,1098000,158317000,82822000,71552000,11270000,82822000,241139000,806868000,440767000,-2995000,1244640000,1244640000,1485779000,83983000,18548000,102531000,-15721000,-15721000,-7790000,3476000,0,-12245000,-38000,-45628000,29855000,-75483000,-39911000,50375000,50375000,45747000,0,0.87661,0.5242,0.26078,0.06748,0.05652,5.57979,0.19374,3.30872245021211e-24,0.48572,0.48572,1.86257,7.1984,0.00022,0.06329,0.00045,-3.42334
"20","2015_Q1",38.2095081967213,"Up",322757000,-38798000,283959000,-115667000,-16022000,-99645000,168292000,24696000,990000,23706000,192988000,-77463000,115525000,-38428000,77097000,77097000,77097000,77097000,667446000,667446000,194419000,194419000,93562000,93562000,955427000,125535000,82132000,379781000,309040000,54290000,16451000,587448000,1542875000,218017000,10588000,207429000,1749000,1749000,219766000,75496000,65169000,10327000,75496000,295262000,836282000,420226000,-8895000,1247613000,1247613000,1542875000,77097000,9009000,130485000,-10731000,-10731000,-2047000,3628000,-301000,-7404000,0,-36540000,23471000,-60011000,-29477000,93604000,93604000,89532000,0,0.87979,0.52142,0.23887,0.0618,0.04997,4.34747,0.23666,0,0.45027,0.45027,1.88501,7.28648,-2.57226965422186e-17,0.05827,4.95480392825876e-17,-3.966
"21","2015_Q2",42.8733333333333,"Up",325444000,-38517000,286927000,-114289000,-16353000,-97936000,172638000,34889000,856000,34033000,207527000,-76527000,1.31e+08,-46389000,84611000,84611000,84611000,84611000,643260000,643260000,200673000,200673000,99031000,99031000,942964000,125855000,78676000,374490000,306728000,51320000,16442000,579021000,1521985000,158277000,6050000,152227000,4916000,3618000,163193000,74533000,63742000,10791000,74533000,237726000,856656000,445368000,-17765000,1284259000,1284259000,1521985000,84611000,-6681000,77930000,-15375000,-15375000,-7386000,3268000,-1004000,-10320000,-40178000,-48325000,19209000,-67534000,-85235000,-17625000,-17625000,-24186000,0,0.88165,0.53047,0.25999,0.06588,0.05559,5.77821,0.18511,0,0.49566,0.49566,1.90649,7.52335,0.23537,0.09184,0.47486,-3.72606
"22","2015_Q3",46.58046875,"Up",337745000,-40872000,296873000,-119312000,-16454000,-102858000,177561000,37930000,641000,37289000,215491000,-81681000,133810000,-47570000,86240000,86240000,86240000,86240000,624841000,624841000,218141000,218141000,97605000,97605000,940587000,128697000,84423000,372125000,304254000,50765000,17106000,585245000,1525832000,137885000,6139000,131746000,6424000,5387000,144309000,75541000,64300000,11241000,75541000,219850000,884014000,435660000,-13692000,1305982000,1305982000,1525832000,86240000,-7386000,78854000,-16421000,-16421000,-8341000,-6488000,-830000,-23739000,-39852000,-42443000,23452000,-65895000,-77330000,-22215000,-22215000,-18419000,-5.6843418860808e-14,0.87899,0.52573,0.25534,0.06603,0.05652,6.51787,0.16834,0,0.50737,0.50737,1.98705,7.68347,0.23446,0.09127,0.46211,-3.51902
"23","2015_Q4",47.67640625,"Up",335622000,-40230000,295392000,-120273000,-16945000,-103328000,175119000,34326000,731000,33595000,209445000,-88857000,120588000,-41163000,79425000,79425000,79425000,79425000,647589000,647589000,217696000,217696000,102542000,102542000,967827000,142352000,79594000,353756000,294380000,42294000,17082000,575702000,1543529000,157282000,4002000,153280000,4633000,4457000,161915000,71850000,59597000,12253000,71850000,233765000,894195000,435915000,-20346000,1309764000,1309764000,1543529000,79425000,38274000,117699000,-26431000,-26431000,-19992000,3291000,316000,-22824000,0,-70139000,9688000,-79827000,-66926000,27949000,27949000,22748000,0,0.88013,0.52177,0.23665,0.06064,0.05146,5.97738,0.17848,-1.05879118406788e-22,0.46926,0.46926,1.98294,7.73841,0,0.05749,0,-3.69799
"24","2016_Q1",37.7177049180328,"Down",335397000,-40443000,294954000,-125886000,-16922000,-108964000,169068000,32787000,647000,32140000,201855000,-86773000,115082000,-33703000,81379000,81379000,81379000,81379000,679661000,679661000,223023000,223023000,101040000,101040000,1003724000,143977000,85333000,355594000,290522000,49580000,15492000,584904000,1588628000,222098000,4511000,217587000,2385000,2385000,224483000,74425000,63028000,11397000,74425000,298908000,912150000,402860000,-25290000,1289720000,1289720000,1588628000,81379000,-2434000,116977000,-15654000,-15654000,-8746000,-6297000,819000,-21132000,-3.72529029846191e-09,-64924000,13194000,-78118000,-60314000,35531000,35531000,32072000,-4.54747350886464e-13,0.87942,0.50408,0.24263,0.0631,0.05123,4.47127,0.23176,0,0.48307,0.48307,1.99095,7.6559,0,0.05966,5.55111512312578e-17,-4.02005
"25","2016_Q2",44.3115625,"Up",334263000,-39195000,295068000,-123179000,-17459000,-105720000,171889000,30161000,969000,29192000,202050000,-82412000,119638000,-42141000,77497000,77497000,77497000,77497000,638253000,638253000,229558000,229558000,107226000,107226000,975037000,141790000,82539000,351480000,289044000,44247000,14072000,575809000,1550846000,169359000,4354000,165005000,2936000,2936000,172295000,78086000,66410000,11676000,78086000,250381000,914125000,408684000,-22344000,1300465000,1300465000,1550846000,77497000,1148000,78645000,-14086000,-14086000,-4609000,3623000,2e+05,-7472000,-42677000,-71896000,6476000,-78372000,-114573000,-43400000,-43400000,-41408000,0,0.88274,0.51423,0.23184,0.05959,0.04997,5.65911,0.19253,-1.6940658945086e-21,0.46644,0.46644,2.01188,7.82729,0.25687,0.08717,0.55069,-3.71317
"26","2016_Q3",43.345625,"Down",343831000,-40870000,302961000,-124189000,-17718000,-106471000,178772000,31131000,846000,30285000,209903000,-84999000,124904000,-43899000,81005000,81005000,81005000,81005000,594767000,594767000,242084000,242084000,104069000,104069000,940920000,138696000,92792000,347963000,288070000,41996000,13856000,579451000,1520371000,149258000,3541000,145717000,3479000,3479000,152737000,79351000,67089000,12262000,79351000,232088000,935046000,380664000,-27427000,1288283000,1288283000,1520371000,81005000,3804000,84809000,-14560000,-14560000,-4440000,-9938000,0,-24498000,-41949000,-57498000,19860000,-77358000,-99447000,-39136000,-39136000,-43486000,7.27595761418343e-12,0.88113,0.51994,0.2356,0.06288,0.05328,6.16039,0.18015,0,0.49068,0.49068,2.08271,7.80361,0.2541,0.0899,0.51786,-3.32696
"27","2016_Q4",43.2315873015873,"Down",354641000,-42586000,312055000,-125167000,-17964000,-107203000,186888000,33476000,911000,32565000,220364000,-89474000,130890000,-44186000,86704000,86704000,86704000,86704000,623162000,623162000,247724000,247724000,105882000,105882000,976768000,149262000,98045000,349491000,290329000,39376000,16064000,596798000,1573566000,177761000,7008000,170753000,2974000,2974000,180735000,79621000,65518000,14103000,79621000,260356000,942970000,400778000,-30538000,1313210000,1313210000,1573566000,86704000,39276000,125980000,-31206000,-31206000,-17607000,-4997000,1113000,-35090000,-60000,-60262000,8823000,-69085000,-60322000,30568000,30568000,28395000,0,0.87992,0.52698,0.24448,0.06602,0.0551,5.40442,0.19826,-1.35525271560688e-20,0.52892,0.52892,2.16343,8.01104,0.00037,0.06229,0.00069,-3.33441
"28","2017_Q1",46.9396774193548,"Up",368810000,-50964000,317846000,-129936000,-18691000,-111245000,187910000,35120000,1059000,34061000,223030000,-89977000,133053000,-44442000,88611000,88611000,88611000,88611000,695701000,695701000,227957000,227957000,114175000,114175000,1037833000,146190000,88891000,363909000,295867000,50459000,15456000,598990000,1636823000,246491000,5966000,240525000,2880000,2880000,249371000,84338000,69693000,14645000,84338000,333709000,957051000,384018000,-37955000,1303114000,1303114000,1636823000,88611000,-26935000,135802000,-21937000,-21937000,-4741000,7412000,0,-14525000,-3.72529029846191e-09,-54330000,13113000,-67443000,-45346000,75931000,75931000,70539000,1.16415321826935e-10,0.86182,0.5095,0.24026,0.068,0.05414,4.1618,0.25609,0,0.54508,0.54508,2.26868,8.01591,-9.21571846612679e-18,0.06387,-2.39608680119296e-17,-3.70231
"29","2017_Q2",47.9826984126984,"Up",359984000,-43152000,316832000,-133945000,-18822000,-115123000,182887000,34796000,1231000,33565000,217683000,-89023000,128660000,-39923000,88737000,88737000,88737000,88737000,661372000,661372000,252205000,252205000,106198000,106198000,1019775000,142726000,94418000,367633000,300756000,48759000,16240000,604777000,1624552000,174433000,7372000,167061000,2337000,2337000,176770000,84989000,69379000,15610000,84989000,261759000,977594000,420712000,-35513000,1362793000,1362793000,1624552000,88737000,-15725000,73012000,-20066000,-20066000,-3205000,-5279000,0,-25345000,-44597000,-39706000,16847000,-56553000,-84303000,-36636000,-36636000,-34329000,0,0.88013,0.50804,0.2465,0.06511,0.05462,5.76894,0.19208,2.16840434497101e-19,0.54526,0.54526,2.21199,8.37395,0.27403,0.0921,0.50258,-3.61629
"30","2017_Q3",53.0625396825397,"Up",372331000,-43907000,328424000,-134978000,-19164000,-115814000,193446000,37887000,1572000,36315000,231333000,-96175000,135158000,-43389000,91769000,91769000,91769000,91769000,660362000,660362000,262544000,262544000,105915000,105915000,1028821000,145537000,91435000,368296000,304673000,45197000,16653000,605268000,1634089000,175984000,5407000,170577000,2809000,2809000,178793000,83561000,69419000,14142000,83561000,262354000,990341000,409409000,-28015000,1371735000,1371735000,1634089000,91769000,20076000,111845000,-23473000,-23473000,-7042000,3387000,-1450000,-21536000,-44265000,-53233000,12280000,-65513000,-97498000,-7189000.00000001,-7189000.00000001,-1008000.00000001,-1.86264514923096e-09,0.88208,0.51955,0.24647,0.0669,0.05616,5.75426,0.19126,0,0.56749,0.56749,2.30248,8.48274,0.27373,0.09348,0.48235,-3.41368
