"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2016_Q4",140.439841269841,"Up",3438000,-566000,2872000,-4933000,-4929000,-2266000,-4000,-2061000,-4000,-4000,-2065000,-1671000,-3736000,-3736000,-3736000,-3736000,-3736000,9430000,9430000,2079000,2079000,1084000,1827000,1827000,14420000,282000,439000,439000,721000,15141000,2267000,387000,1880000,1461000,3728000,4695000,2782000,4695000,8423000,108741000,-102023000,6718000,6718000,15141000,-3736000,31000,1965000,-2629000,-4369000,-40000,-40000,-40000,-40000,10344000,5935000,5935000,5935000,-2030000,0,0.83537,-0.59948,-1.08668,-0.55612,-0.24675,3.86803,1.2538,-2.77555756156289e-17,-11.92922,-11.92922,10.97769,21.45088,-0.32735,4.64532,4.57545
"12","2017_Q1",135.203709677419,"Down",4077000,-808000,3269000,-5299000,-5143000,-1994000,-156000,-2030000,1000,1000,-2029000,381000,-1648000,-1648000,-1648000,-1648000,-1648000,9512000,9512000,2120000,2120000,873000,1966000,1966000,14471000,371000,539000,539000,910000,15381000,2462000,455000,2007000,1861000,4323000,3957000,1971000,3957000,8280000,110772000,-103671000,7101000,7101000,15381000,-1648000,16000,160000.000000001,1252000,-220000,-82000,-82000,-82000,-82000,858000,556000.000000001,556000.000000001,556000.000000001,-2014000,2.91038304567337e-11,0.80182,-0.49792,-0.40422,-0.23208,-0.10715,3.34744,1.16603,0,-3.79369000000001,-3.79369,9.38524,16.34648,-0.14903,4.72294,4.68571
"13","2017_Q2",110.558571428571,"Down",3701000,-588000,3113000,-6890000,-6828000,-3088000,-62000,-3777000,2000,2000,-3775000,-235000,-4010000,-4011000,-4011000,-4011000,-4011000,7399000,7399000,2331000,2331000,765000,1036000,1036000,11531000,421000,730000,730000,1151000,12682000,2629000,798000,1831000,1673000,4302000,4024000,2217000,4024000,8326000,112038000,-107682000,4356000,4356000,12682000,-4011000,18000,1428000,559000,-2006000,-59000,-59000,-59000,-59000,-48000,-2113000,-2113000,-2113000,-3759000,0,0.84112,-1.02053,-1.08376,-0.9208,-0.31628,2.68038,1.91139,0,-9.17592,-9.17592,8.46674,9.96517,-0.47864,1.96834,1.95896
"14","2017_Q3",150.958095238095,"Up",4122000,-698000,3424000,-5181000,-5111000,-1735000,-70000,-1757000,4000,4000,-1753000,14999.9999999999,-1738000,-1738000,-1738000,-1738000,-1738000,5722000,5722000,3601000,3601000,672000,972000,972000,10967000,462000,641000,641000,1103000,12070000,2563000,908000,1655000,2172000,4735000,4126000,2129000,4126000,8861000,112630000,-109421000,3209000,3209000,12070000,-1738000,18000,481000,-380000,-1619000,-96000,-96000,-96000,-96000,38000,-1677000,-1677000,-1677000,-1739000,1.81898940354586e-12,0.83066,-0.42625,-0.42164,-0.5416,-0.14399,2.31616,2.7613,0,-3.96977,-3.96977,9.41507,7.32968,-0.23695,3.2904,3.25669
"15","2017_Q4",145.465714285714,"Down",4091000,-521000,3570000,-5739000,-5607000,-2311000,-132000,-2169000,3000,3000,-2166000,-281000,-2447000,-2447000,-2447000,-2447000,-2447000,6076000,6076000,2230000,2230000,599000,1033000,1033000,9938000,492000,626000,626000,1118000,11056000,2775000,356000,2419000,2487000,5262000,3962000,2393000,3962000,9224000,113699000,-111867000,1832000,1832000,11056000,-2447000,18000,1220000,1490000,281000,-73000,-73000,-73000,-73000,146000,354000,354000,354000,-2151000,0,0.87265,-0.53019,-0.59814,-1.3357,-0.22133,1.88864,5.03493,0,-5.58263,-5.58263,9.33329,4.17956,-0.42233,2.82473,2.80129
"16","2018_Q1",123.337704918033,"Down",6316000,-977000,5339000,-4947000,-4801000,-1502000,-146000,392000,3000,3000,395000,4e+05,795000,793000,793000,793000,793000,3199000,3199000,3629000,3629000,504000,1663000,1663000,8995000,471000,613000,613000,1084000,10079000,2138000,466000,1672000,2841000,4979000,2506000,1972000,2506000,7485000,113668000,-111074000,2594000,2594000,10079000,793000,41000,-486000,-3274000,-2926000,-16000,-16000,-16000,-16000,64999.9999999998,-2877000,-2877000,-2877000,433000,-4.54747350886464e-13,0.84531,0.06206,0.12555,0.30571,0.07868,1.80659,2.88551,0,1.80305,1.80305,14.36072,5.89799,0.15549,-7.38799,-8.16071
"17","2018_Q2",100.84375,"Down",2947000,-251000,2696000,-5064000,-5018000,-1622000,-46000,-2368000,4000,4000,-2364000,214000,-2150000,-2150000,-2150000,-2150000,-2150000,8336000,8336000,2225000,2225000,479000,1751000,1751000,12791000,435000,597000,597000,1032000,13823000,3156000,301000,2855000,62000,3218000,1734000,1734000,1734000,4952000,119456000,-110585000,8871000,8871000,13823000,-2150000,41000,-28000,1673000,-464000,-2000,-2000,-2000,-2000,5603000,5137000,5137000,5137000,-2327000,0,0.91483,-0.80353,-0.72956,-0.24236,-0.15554,3.97483,0.55822,-2.16840434497101e-19,-4.58215,-4.50959,6.28075,18.90618,-0.20273,3.58229,3.52027
"18","2018_Q3",71.091746031746,"Down",2794000,-479000,2315000,-4398000,-4337000,-1360000,-61000,-2083000,5000,5000,-2078000,490000,-1588000,-1589000,-1589000,-1589000,-1589000,6833000,6833000,2024000,2024000,317000,1598000,1598000,10772000,351000,582000,582000,933000,11705000,2994000,329000,2665000,62000,3056000,1220000,1220000,1220000,4276000,119604000,-112175000,7429000,7429000,11705000,-1589000,86000,-336000,346000,-1493000,-3000,-3000,-3000,-3000,-6000,-1502000,-1502000,-1502000,-1997000,3.63797880709171e-12,0.82856,-0.74553,-0.56872,-0.21389,-0.13575,3.52487,0.57558,0,-3.25023,-3.21153,5.71501,15.1957,-0.18372,3.42163,3.28036
"19","2018_Q4",44.6685714285714,"Down",3142000,-332000,2810000,-4619000,-4574000,-1344000,-45000,-1809000,4000,4000,-1805000,267000,-1538000,-1538000,-1538000,-1538000,-1538000,5207000,5207000,2612000,2612000,390000,1319000,1319000,9528000,271000,566000,566000,837000,10365000,3315000,564000,2751000,61999.9999999999,3377000,929000,929000,929000,4306000,119772000,-113713000,6059000,6059000,10365000,-1538000,92000,-98000,-74000,-1618000,-8000,-8000,-8000,-8000,0,-1626000,-1626000,-1626000,-1717000,0,0.89433,-0.57575,-0.4895,-0.25384,-0.14838,2.82144,0.71068,1.73472347597681e-18,-3.14628,-3.12689,6.42758,12.39487,-0.22009,3.03262,2.87839
"20","2019_Q1",49.4419672131148,"Up",3625000,-441000,3184000,-4795000,-4688000,-1502000,-107000,-1611000,6000,6000,-1605000,340000,-1265000,-1268000,-1268000,-1268000,-1268000,3183000,3183000,3385000,3385000,280000,1760000,1760000,8608000,201000,552000,552000,753000,9361000,3806000,551000,3255000,41000,3847000,560000,560000,560000,4407000,119935000,-114981000,4954000,4954000,9361000,-1268000,47000,-177000,-595000,-1993000,-31000,-31000,-31000,-31000,-2.3283064365387e-10,-2024000,-2024000,-2024000,-1564000,0,0.87834,-0.44441,-0.34979,-0.25595,-0.13546,2.23759,0.88958,0,-2.59394,-2.5982,7.41565,10.13438,-0.22996,2.03517,1.97579
"21","2019_Q2",35.8077777777778,"Down",1491000,-341000,1150000,-5221000,-5136000,-1605000,-85000,-4071000,-60000,-60000,-4131000,-57000,-4188000,-4189000,-4189000,-4189000,-4189000,2932000,2932000,2430000,2430000,302000,1451000,1451000,7115000,193000,2412000,2412000,2605000,9720000,3322000,462000,2860000,1073000,5414000,1950000,1523000,3177000,8591000,120655000,-119526000,1129000,1129000,9720000,-4189000,17000,331000,620000,-3221000,-14000,-14000,-14000,-14000,2984000,-251000,-251000,-251000,-4054000,2246000,0.77129,-2.73038,-2.80952,-3.71036,-0.43097,1.31419,7.60939,0.23107,-8.56892,-8.56892,3.04995,2.30946,-0.78667,0.16922,0.16851
"22","2019_Q3",32.6759375,"Down",1789000,-403000,1386000,-2765000,-2733000,-1198000,-32000,-1379000,-387000,-387000,-1766000,-733000,-2499000,-2501000,-2501000,-2501000,-2501000,3668000,3668000,1536000,1536000,664000,1628000,1628000,7496000,177000,2197000,2197000,2374000,9870000,2287000,356000,1931000,1065000,3352000,2085000,1412000,4849000,8201000,123725000,-122056000,1669000,1669000,9870000,-2501000,16000,1109000,-403000,-1779000,-5000,-5000,-5000,-5000,2520000,736000,736000,736000,-1363000,2764000,0.77473,-0.77082,-1.39799,-1.4985,-0.25339,2.23628,4.91372,0.28004,-4.69618,-4.69618,3.35924,3.13392,-0.38371,0.66324,0.65555
"23","2019_Q4",20.9615625,"Down",1615000,-401000,1214000,-2926000,-2877000,-1333000,-49000,-1712000,-719000,-719000,-2431000,2149000,-282000,-282000,-282000,-282000,-282000,9020000,9020000,1505000,1505000,838000,1135000,1135000,12498000,128000,1977000,1977000,2105000,14603000,2145000,503000,1642000,1062000,6252000,4844000,4844000,4844000,11096000,125261000,-122338000,3507000,3507000,14603000,-282000,17000,-1498000,263000,-1500000,0,0,0,0,6852000,5352000,5352000,5352000,-1695000,3045000,0.7517,-1.06006,-0.17461,-0.0804100000000001,-0.01931,1.99904,3.16396,0.20852,-0.42583,-0.42583,2.43872,4.41384999999999,-0.02475,3.52507,3.49007
"24","2020_Q1",21.058064516129,"Up",1704000,-593000,1111000,-3349000,-3331000,-1174000,-18000,-2238000,-259000,-259000,-2497000,-186000,-2683000,-2686000,-2686000,-2686000,-3515000,6937000,6937000,1066000,1066000,492000,886000,886000,9381000,110000,1729000,1729000,1839000,11220000,2109000,331000,1778000,967000,5687000,4560000,4560000,4560000,10247000,125997000,-125024000,973000,973000,11220000,-2686000,15000,518000,724000,-1429000,-4.54747350886464e-13,4.54747350886464e-13,4.54747350886464e-13,0,-654000,-2083000,-2083000,-2083000,-2223000,2611000,0.652,-1.31338,-2.06279,-3.61254,-0.31328,1.64955,10.53135,0.23271,-4.43769999999993,-4.43770000000004,2.15131000000003,1.22842,-0.43161,1.94602,1.93298
"25","2020_Q2",32.1526984126984,"Up",1892000,-581000,1311000,-2846000,-2837000,-1277000,-9000,-1535000,-186000,-186000,-1721000,139000,-1582000,-1582000,-1582000,-1582000,-1582000,5708000,5708000,952000,952000,552000,662000,662000,7874000,97000,1504000,1504000,1601000,9475000,1928000,602000,1326000,1351000,5483000,4341000,4341000,4341000,9824000,126257000,-126606000,-349000,-349000,9475000,-1582000,14000,22000,681000,-865000,1490.94727029482,1613.12013420882,1613.12013420882,21533.3233188329,-364000,-1229000,-1229000,-1229000,-1521000,2204000,0.69292,-0.81131,-0.83615,4.53295,-0.16697,1.43608,-28.149,0.23261,-1.97708,-1.97708,2.3645,-0.436160000000058,-0.25533,2.30375,2.28274
"26","2020_Q3",35.82640625,"Up",3984000,-2040000,1944000,-3015000,-2900000,-1477000,-115000,-1071000,362000,362000,-709000,-3772000,-4481000,-4482000,-4482000,-4482000,-4482000,8775000,8775000,1391000,1391000,626000,1116000,1116000,11908000,84000,1280000,1280000,1364000,13272000,2573000,1291000,1282000,1206000,4301000,7988000,7988000,7988000,12289000,132071000,-131088000,983000,983000,13272000,-4482000,14000,3941000,-514000,-1041000,1865.02729558959,2069.51737688154,2069.51737688154,35411.4875688496,4108000,3067000,3067000,3067000,-1057000,522000,0.48795,-0.26883,-1.125,-4.55951,-0.3377,2.76866,12.50153,0.03933,-5401.67126,-5401.67126,4801.48557,1184.70389,-0.47214,7.80795,7.70588
"27","2020_Q4",23.34828125,"Down",2170000,-536000,1634000,-3696000,-3571000,-1879000,-125000,-2062000,429000,429000,-1633000,-1588000,-3221000,-3221000,-3221000,-3221000,-3221000,13413000,13413000,1119000,1119000,785000,695000,695000,16012000,76000,994000,994000,1070000,17082000,2451000,796000,1655000,448000,3003000,196999.999999999,196999.999999999,197000,3200000,148191000,-134309000,13882000,13882000,17082000,-3221000,12000,1927000,-88000,-1370000,-5000,-5000,-5000,-5000,6013000,4638000,4638000,4638000,-2050000,104000,0.753,-0.95023,-1.48433,-0.23203,-0.18856,5.332,0.230510000000008,0.00609,-1.15175,-1.15076,0.77594,4.96385000000009,-0.2271,6.4922,6.45441
"28","2021_Q1",35.7032786885246,"Up",1888000,-813000,1075000,-2833000,-2797000,-1299000,-36000,-1758000,0,0,-1758000,8000.00000000047,-1750000,-1754000,-1754000,-1754000,-1754000,11952000,11952000,1106000,1106000,608000,576000,576000,14242000,84000,912000,912000,996000,15238000,2417000,302000,2115000,416000,2833000,87000,87000,87000,2920000,148381000,-136063000,12318000,12318000,15238000,-1754000,11000,167000,131000,-1445000,-21000,-21000,-21000,-21000,5000,-1461000,-1461000,-1461000,-1747000,0,0.56939,-0.93114,-0.92903,-0.14239,-0.11511,5.02718,0.23705,0,-1.44432000000052,-1.44717999999967,1.55465999999979,10.14317,-0.14139,6.84144,6.79863
"29","2021_Q2",26.0474603174603,"Down",1807000,-455000,1352000,-2872000,-2867000,-1187000,-5000,-1520000,2000,2000,-1518000,1722245.04791345,-1518000,-1518000,-1518000,-1518000,-1518000,10508000,10508000,1038000,1038000,850000,750000,750000,13146000,1e+05,826000,826000,926000,14072000,2684000,833000,1851000,396000,3080000,9000,9000,8999.99999999977,3089000,148564000,-137581000,10983000,10983000,14072000,-1518000,9000,183000,-93000,-1419000,-25000,-25000,-25000,-25000,915726.753860251,-1444000,-1444000,-1444000,-1511000,0,0.7482,-0.84117,-0.84007,-0.13821,-0.10787,4.26818,0.28125,-8.67361737988404e-19,-1.27033,-1.27033,1.51218,9.19106,-0.1381,6.95433,6.91316
"30","2021_Q3",22.03671875,"Down",2133000,-614000,1519000,-3378000,-3357000,-1452084.14027047,-21000,-1859000,2.91038304567337e-11,2.91038304567337e-11,-1859000,3707887.45315193,-1859000,-1859000,-1859000,-1859000,-1859000,10294000,10294000,1232000,1232000,682000,564000,564000,12772000,94000,737000,737000,831000,13603000,2091000,208000,1883000,298000,2389000,5000,5000,5000,2394000,150649000,-139440000,11209000,11209000,13603000,-1859000,11000,307000,-446000,-1987000,-2000,-2000,-2000,-2000,1775000,-214000,-214000,-214000,-1848000,0,0.71214,-0.87154,-0.87154,-0.16585,-0.13666,5.34617,0.21358,0,-1.52704,-1.52704000000006,1.75211000000007,9.20742,-0.16577,5.57035,5.53739
"31","2021_Q4",17.8203125,"Down",2265000,-712000,1553000,-3842000,-3832000,-1814312.1870273,-10000,-2289000,-1141242.86110737,-1141242.86110737,-2289000,4995336.13181445,-2289000,-2289000,-2289000,-2289000,-2289000,9028000,9028000,843000,843000,969000,657000,657000,11497000,96000,646000,646000,742000,12239000,2679000,1354000,1325000,195000,2874000,1000,1000.00000000047,1000.00000000047,2875000,151093000,-141729000,9364000,9364000,12239000,-2289000,12000,228000,581000,-1468000,-17000,326.532390970557,326.532390970557,-17000.0000000005,219000,-1266000,-1266000,-1266000,-2277000,0,0.68565,-1.0106,-1.0106,-0.24445,-0.18703,4.00035,0.30703,2.16840434497101e-19,-1.78045,-1.78045,1.76179,7.2836,-0.24442,3.96487,3.94408
"32","2022_Q1",10.9720967741935,"Down",2216000,-995000,1221000,-4415000,-4407000,-2111884.14027047,-8000,-3194000,-1579000,-1579000,-4773000,4615000,-158000,-158000,-158000,-158000,-893000,7504000,7504000,1668000,1668000,3220000,778000,778000,13170000,193000,10615000,887000,10808000,23978000,3137000,1045000,2092000,2e+05,3442000,10365000,10365000,10365000,13807000,151378000,-141887000,10171000,10171000,23978000,-158000,87000,-4167000,-80000,-4318000,-8000,-14274.0248421096,-14274.0248421096,-12001000,14795000,-1524000,-1524000,-1524000,-3107000,105000,0.55099,-1.44134,-0.40298,-0.0878,-0.03724,3.82626,1.35749,0.00438,-1.44281,-1.44281,3.58036,15.33446,-0.04326,2.3814,2.31653
"33","2022_Q2",8.00145161290323,"Down",2629000,-1113000,1516000,-3898000,-3870000,-2183000,-28000,-2382000,-4000,-4000,-2386000,2275000,-111000,-111000,-111000,-111000,-111000,5641000,5641000,2300000,2300000,3785000,752000,752000,12478000,187000,12129000,2492000,12316000,24794000,4319000,1556000,2763000,465000,4784000,2264000,2264000,2264000,7048000,159135000,-141998000,17746000,17746000,24794000,-111000,121000,-2091000,24000,-2057000,-24000,-24000,-24000,-24000.0000000019,-105000,-2186000,-2186000,-2186000,-2261000,0,0.57665,-0.90605,-0.04222,-0.00625,-0.00448,2.60828,0.39716,0,-0.0864,-0.0864,2.04633,13.33888,-0.00555000000000001,2.49491,2.36818
"34","2022_Q3",7.958125,"Down",3045000,-1495000,1550000,-3702000,-3662000,-1865859.76621588,-40000,-2152000,-3000,-3000,-2155000,0,-2155000,-2155000,-2155000,-2155000,-2155000,3931000,3931000,1098000,1098000,3801000,629000,629000,9459000,166000,11919000,2373000,12085000,21544000,3187000,930000,2257000,470000,3657000,2142000,2142000,2142000,5799000,159328000,-144153000,15745000,15745000,21544000,-2155000,120000,154000,182000,-1699000,-8000,-8000,-8000,-8000,0,-1707000,-1707000,-1707000,-2032000,0,0.50903,-0.70673,-0.70772,-0.13687,-0.10003,2.58655,0.36831,0,-1.42884,-1.42884,2.01893,10.06152,-0.12048,1.93455,1.82667
