"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",12.47796875,"Up",325890000,-274423000,51467000,-46520000,-46520000,4947000,-267000,-331000,-338000,7000,4680000,112000,4792000,-2043000,2749000,2695000,2532000,2532000,25435000,25435000,271499000,271499000,9601000,70698000,25900000,43541000,377233000,41496000,164879000,42586000,114588000,7705000,206375000,583608000,100565000,100565000,84382308.2476515,3e+05,169358000,168919000,270223000,7100000,17509000,7589000,9920000,24609000,294832000,316851000,-41143000,-3996000,271712000,288776000,583608000,2695000,2846000,1832000,-17724000,-10351000,-3031000,43000,-2988000,-1853000,-12499908.0332074,-130000,15000,-145000,-601085.153917666,-1983000,-15322000,-15322000,-15322000,7793000,7400000,-10919000,0.15793,0.01518,0.00777,0.00877,0.00434,-4.3124,1.39601,1.02097,0.01268,0.06831,0.06782,8.79192,7.33029,-0.29457,0.04999,0.01398,-0.03481,0.73183,-2.31426,-3.64564
"12","2013_Q3",14.73375,"Up",351053000,-291086000,59967000,-45699000,-45699000,14268000,-303000,-340000,-347000,7000,13965000,84000,14049000,-5735000,8314000,8314000,7762000,7762000,23346000,23346000,291828000,291828000,9651000,64403000,25714000,38089000,389228000,42522000,163496000,40846000,114588000,8062000,206018000,595246000,101248000,101248000,81070719.2001435,3e+05,174023000,173439000,275571000,5100000,18421000,8267000,10154000,23521000,299092000,317138000,-40509000,1909000,278538000,296154000,595246000,8314000,2799000,4634000,-9047000,6700000,-3704000,1.16415321826935e-10,-3704000,-1913000,-2e+06,-241000,269000,-510000,-931000,-5085000,-2089000,-2089000,-2089000,17067000,5400000,10051000,0.17082,0.04064,0.02211,0.02621,0.01304,1.2949,1.41244,1.00992,0.00907,0.20872,0.20773,9.4397,7.4898,0.27027,0.05144,0.03024,0.03141,0.24646,-1.0515,-1.25778
"13","2013_Q4",17.45421875,"Up",349989000,-282968000,67021000,-49404000,-49404000,17617000,-259000,-342000,-347000,5000,17358000,867000,18225000,-6588000,11637000,11612000,11379000,11379000,45305000,45305000,270612000,270612000,9336000,63973000,25529000,38147000,389226000,44943000,160285000,39107000,114588000,6590000,205228000,594454000,169782000,95667000,74115000,2e+06,94867000,94779000,266649000,5e+06,16592000,8596000,7996000,21592000,288241000,317595000,-40461000,11230000,288364000,306213000,594454000,11612000,2866000,2092000,10863000,27433000,-5170000,0,-5170000,-2052000,1600000,157000,1334000,-1177000,-9000,-304000,21959000,21959000,21959000,20483000,7e+06,32764000,0.19149,0.05034,0.03251,0.03716,0.01914,2.87934,1.45969,0.94131,0.01178,0.3051,0.30236,9.38409,7.73177,0.87849,0.05502,0.04072,0.09934,0.18033,-1.87009,-2.17432
"14","2014_Q1",15.7819672131148,"Down",330340000,-268912000,61428000,-52591000,-52591000,8837000,-295000,-315000,-319000,4000,8542000,1172000,9714000,-3782000,5932000,5935000,5596000,5596000,52054000,52054000,267470000,267470000,8430000,69043000,24209000,44495000,396997000,46861000,157964000,37383000,114588000,5993000,204825000,601822000,174316000,100825000,73491000,2e+06,93122000,92756000,269438000,-5647877.24917937,18362000,9941000,8421000,18362000,287800000,318534000,-37468000,14768000,295834000,314022000,601822000,5935000,2929000,5091000,686000.000000004,14641000,-4391000,0,-4391000,-2057000,-5e+06,3265000,3265000,0,291000,-3501000,6749000,6749000,6749000,11766000,2e+06,11843000,0.18595,0.02675,0.01694,0.01782,0.0093,2.11633,1.47343,0.9165,0.00332,0.14951,0.148,8.82601,7.90408,0.31642,0.05496,0.02289,0.03542,0.36758,-4.25412,-5.66414
"15","2014_Q2",14.5212698412698,"Down",321381000,-269232000,52149000,-50385000,-50385000,1764000,-257000,-325000,-336000,11000,1507000,263000,1770000,-692000,1078000,1063000,375000,375000,40650000,40650000,263165000,263165000,8893000,71464000,24313000,46886000,384172000,47769000,156903000,36504000,114588000,5811000,204672000,588844000,164519000,96779000,67740000,2e+06,84569000,84230000,251088000,7e+06,17004000,8936000,8068000,24004000,275092000,319218000,-37415000,13073000,294876000,313752000,588844000,1063000,3050000,1248000,-14145000,-8784000,-3665000,-4e+06,-7665000,-2067000,7e+06,126000,542000,-416000,-14000,5045000,-11404000,-11404000,-11404000,4814000,9e+06,-12304000,0.16227,0.00549,0.00117,0.0012,0.00064,-32.81067,1.53003,0.87678,0.01528,0.00998,0.0099,8.55146,7.8462,-0.32739,0.055,0.00719,-0.03621,5.512,-6.57457,-17.94218
"16","2014_Q3",14.04890625,"Down",362801000,-300942000,61859000,-50573000,-50573000,11286000,-436000,-460000,-462000,2000,10850000,-768000,10082000,-3746000,6336000,6336000,4401000,4401000,49759000,49759000,290589000,290589000,9084000,74064000,24258000,49495000,423496000,52086000,192529000,48319000,138364000,5846000,244615000,668111000,180185000,108359000,71826000,289000,99760000,99443000,280234000,52614000,18494000,9099000,9395000,71108000,351342000,319624000,-36569000,15402000,298457000,316769000,668111000,6336000,3219000,4254000,8576000,22385000,-4129000,-47359000,-51488000,-2072000,4.3e+07,195000,284000,-89000,-2911000,38212000,9109000,9109000,9109000,14505000,52903000,22698000,0.1705,0.03111,0.01213,0.01389,0.00659,5.15746,1.51122,1.10914,0.07918,0.11672,0.11601,9.62184,7.91537,0.60197,0.05495,0.01668,0.05847,0.470800000000001,0.216750000000001,0.278580000000005
"17","2014_Q4",14.09390625,"Up",370145000,-303686000,66459000,-52200000,-52200000,14259000,-547000,-559000,-561000,2000,13712000,316000,14028000,-4649000,9379000,9379000,7605000,7605000,43882000,43882000,290021000,290021000,8937000,67160000,25138000,41744000,4.1e+08,55708000,190698000,46259000,138052000,6387000,246406000,656406000,175543000,99232000,76311000,328000,103112000,102829000,278983000,42606000,18065000,7167000,10898000,60671000,339654000,320070000,-42127000,20937000,298880000,316752000,656406000,9379000,3648000,705000,10149000,23881000,-6341000,-2845000,-9186000,-2070000,-10219000,-5499000,278000,-5777000,-2784000,-20572000,-5877000,-5877000,-5877000,17907000,42934000,26364000,0.17955,0.03852,0.02055,0.02401,0.01159,3.46667,1.46962,1.0723,0.06541,0.20206,0.20054,9.83434,7.94091,0.70046,0.055,0.02561,0.06979,0.27219,-0.05294,-0.06648
"18","2015_Q1",16.7201639344262,"Up",356468000,-287164000,69304000,-54494000,-54494000,14810000,-509000,-496000,-499000,3000,14301000,47000,14348000,-2527000,11821000,11821000,10682000,10682000,32064000,32064000,303575000,303575000,8646000,49484000,6168000,43140000,393769000,55759000,206414000,45666000,140341000,20407000,262173000,655942000,179797000,106211000,73586000,317000,102222000,101959000,282336000,40029000,12184000,1310000,10874000,52213000,334549000,320495000,-43598000,29384000,306281000,321393000,655942000,11821000,3766000,3373000,-13890000,5070000,-3693000,-2109999.99999999,-5803000,-2235000,-3396000,-1567000,125000,-1692000,-3887000,-11085000,-11818000,-11818000,-11818000,18576000,40346000,3520000,0.19442,0.04155,0.02997,0.03324,0.01628,0.32953,1.39468,1.04093,0.06151,0.28667,0.28533,9.56653,8.21966,0.0944699999999999,0.05998,0.03454,0.00941,0.20923,0.44584,0.55922
"19","2015_Q2",20.7,"Up",369547000,-304859000,64688000,-53696000,-53696000,10992000,-486000,-504000,-505000,1000,10506000,176000,10682000,-3793000,6889000,6889000,5066000,5066000,38892000,38892000,306864000,306864000,10027000,67023000,26564000,40283000,422806000,55640000,200358000,46012000,143569000,10777000,255998000,678804000,184897000,109478000,75419000,299000,107625000,107362000,292821000,37463000,21333000,10204000,11129000,58796000,351617000,321255000,-43175000,32213000,310293000,327187000,678804000,6889000,3792000,2106000,7628000,20415000,-3417000,-5350000,-8767000,-2237000,-2584000,297000,297000,243497.288254234,-296000,-4820000,6828000,6828000,6828000,14784000,37762000,22788000,0.17505,0.02974,0.01371,0.01548,0.00746,4.49822,1.44391,1.07467,0.05563,0.13589,0.13472,9.91248,8.32309,0.61125,0.06,0.01891,0.05899,0.44157,-0.07643,-0.1028
"20","2015_Q3",25.3053125,"Up",416567000,-334518000,82049000,-57369000,-57369000,24680000,-378000,-387000,-454000,67000,24302000,276000,24578000,-8796000,15782000,15782000,13404000,13404000,40714000,40714000,329338000,329338000,10204000,66566000,26631000,39759000,446822000,57613000,198614000,44123000,143569000,10922000,256227000,703049000,198257000,117780000,80477000,287000,125917000,125654000,324461000,19396000,17679000,9841000,7838000,37075000,361536000,322426000,-41486000,43375000,324315000,341513000,703049000,15782000,3948000,3133000,7382000,30245000,-5406000,-511000,-5917000,-2242000,-18079000,455000,1980000,-1525000,-2640000,-22506000,1822000,1822000,1822000,28628000,19683000,39400000,0.19696,0.05925,0.03218,0.03925,0.01907,2.93942,1.37712,1.05863,0.028,0.35783,0.35351,11.12061,8.65787,1.05182,0.05985,0.0413,0.10399,0.16726,-0.73463,-0.85215
"21","2015_Q4",28.7971875,"Up",410565000,-323100000,87465000,-57902000,-57902000,29563000,-362000,-399000,-399000,0,29201000,298000,29499000,-9613000,19886000,19886000,17673000,17673000,45072000,45072000,311463000,311463000,9052000,72353000,26973000,45204000,437940000,59519000,197067000,42491000,143674000,10902000,256586000,694526000,198725000,106061000,92664000,360000,110051000,109796000,309136000,11313000,17840000,9637000,8203000,29153000,338289000,323195000,-44190000,58603000,337608000,356237000,694526000,19886000,4045000,2481000,-2489000,23923000,-5502000,-297000,-5799000,-2445000,-8114000,-2711000,694000,-3405000,-496000,-13766000,4358000,4358000,4358000,33608000,11673000,35230000,0.21304,0.07201,0.04305,0.04961,0.02545,1.99344,1.41666,0.94962,0.01681,0.47061,0.46496,10.93295,8.99017,0.93814,0.06511,0.05215,0.09133,0.13835,-0.99378,-1.12976
"22","2016_Q1",26.8134426229508,"Down",383840000,-299913000,83927000,-59998000,-59998000,23929000,-379000,-391000,-395000,3999.99999999999,23550000,355000,23905000,-9022000,14883000,14883000,13221000,13221000,56464000,56464000,302052000,302052000,7941000,57816000,5836000,51980000,424273000,60813000,206508000,41079000,143874000,5279000,267321000,691594000,190566000,106684000,83882000,751000,114074000,114074000,305391000,10756000,10442000,1810000,8632000,21198000,326589000,324176000,-46845000,69390000,346721000,365005000,691594000,14883000,4150000,5720000,-1469000,23284000,-5145000,0,-5145000,-2434000,-165999.999999998,-2633000,767000,-3400000,-1514000,-6747000,11392000,11392000,11392000,28079000,11507000,30487000,0.21865,0.06234,0.03444,0.03622,0.01912,2.30595,1.38928,0.89475,0.01664,0.3528,0.34847,10.24256,9.25206,0.81353,0.06495,0.04046,0.07879,0.1841,-1.60109,-1.87877
"23","2016_Q2",30.2890625,"Up",385942000,-312440000,73502000,-58190000,-58190000,15312000,-214000,-7e+05,-701000,1000,15098000,145000,15243000,-5402000,9841000,9841000,9841000,9841000,43540000,43540000,306111000,306111000,9783000,55250000,5719000,49531000,414684000,62557000,231728000,49140000,147297000,6051000,294285000,708969000,186905000,106536000,80369000,841000,119130000,119130000,306876000,53730000,10289000,1810000,8479000,64019000,370895000,310473000,-49118000,76719000,338074000,338074000,708969000,9841000,4219000,2180000,-3123000,13117000,-3545000,-57071000,-60616000,-2426000,40917000,-2565000,275000,-2840000,-1351000,34575000,-12924000,-12924000,-12924000,19531000,54571000,18265000,0.19045,0.03967,0.0255,0.02911,0.01388,1.85601,1.35131,1.09708,0.07697,0.26352,0.26014,10.33478,9.05297,0.4891,0.06496,0.03044,0.04533,0.24652,0.56479,0.72042
"24","2016_Q3",28.32953125,"Down",427538000,-338112000,89426000,-61023000,-61023000,28403000,-715000,-604000,-606000,2000,27688000,-124000,27564000,-9847000,17717000,17717000,17717000,17717000,38282000,38282000,335280000,335280000,9953000,51024000,6150000,44874000,434539000,65053000,229421000,47028000,147512000,6138000,294474000,729013000,203286000,116101000,87185000,817000,122494000,122494000,326597000,38662000,11055000,1810000,9245000,49717000,376314000,310859000,-50026000,91866000,352699000,352699000,729013000,17717000,4749000,5058000,-4220000,23304000,-6865000,-1419000,-8284000,-2618000,-15092000,-1626000,458000,-2084000,-942000,-20278000,-5258000,-5258000,-5258000,33152000,39479000,31914000,0.20917,0.06643,0.04144,0.05023,0.0243,1.80132,1.33051,1.06696,0.05415,0.47326,0.46734,11.4205,9.42139,0.85249,0.06993,0.05043,0.07915,0.14777,0.0361099999999998,0.0421400000000002
"25","2016_Q4",29.7547619047619,"Up",428760000,-335944000,92816000,-61032000,-61032000,31784000,-480000,-560000,-563000,3000,31304000,970000,32274000,-11803000,20471000,20471000,20471000,20471000,25337000,25337000,331111000,331111000,9719000,56697000,7139000,49558000,422864000,66490000,228388000,44993000,148140000,6068000,294878000,717742000,195645000,106165000,89480000,290000,117763000,117763000,313698000,27603000,11461000,1810000,9651000,39064000,352762000,311341000,-56079000,109718000,364980000,364980000,717742000,20471000,4476000,1356000,-12970000,13333000,-6e+06,-20000,-6020000,-2619000,-11586000,-6053000,0,-6053000,0,-20258000,-12945000,-12945000,-12945000,36260000,27893000,29093000,0.21648,0.07413,0.04774,0.05609,0.02852,1.42118,1.348,0.96652,0.03886,0.54794,0.54125,11.47645,9.76927,0.77872,0.0701,0.05711,0.07195,0.12794,0.07049,0.08042
"26","2017_Q1",33.2261290322581,"Up",392100000,-303835000,88265000,-62956000,-62956000,25309000,170000,-472000,-475000,3000,25479000,501000,25980000,-9113000,16867000,16867000,16867000,16867000,32074000,32074000,318837000,318837000,9208000,55838000,6106000,49732000,415957000,68195000,224751000,42435000,149208000,5938000,292946000,708903000,198672000,103440000,95232000,763000,118246000,118246000,317681000,2048000,12541000,2289000,10252000,14589000,332270000,310036000,-57387000,123984000,376633000,376633000,708903000,16867000,4537000,2241000,17789000,41434000,-5745000,1347000,-4398000,-2601000,-25082000,-1266000,845000,-2111000,-1350000,-30299000,6737000,6737000,6737000,29846000,2811000,51003000,0.22511,0.06455,0.04302,0.04478,0.02379,3.02383,1.30935,0.88221,0.00397000000000001,0.45341,0.44761,10.54032,10.12454,1.37105,0.06992,0.04967,0.13011,0.15421,-0.98047,-1.15623
"27","2017_Q2",34.0447619047619,"Up",380588000,-304634000,75954000,-63247000,-63247000,12707000,-361000,-379000,-390000,11000,12346000,-977000,11369000,-3892000,7477000,7477000,7477000,7477000,31444000,31444000,297079000,297079000,9958000,57972000,5997000,51975000,396453000,68593000,222566000,40873000,148103000,5343000,291159000,687612000,183199000,98132000,85067000,1243000,108601000,108601000,293043000,761000,11852000,2289000,9563000,12613000,305656000,311892000,-58789000,128853000,381956000,381956000,687612000,7477000,4577000,3108000,-5109000,10053000,-4785000,-313000,-5098000,-2608000,-82000,-1461000,736000,-2197000,-1434000,-5585000,-630000,-630000,-630000,17284000,2004000,11282000,0.19957,0.03339,0.01965,0.01958,0.01087,1.50889,1.35288,0.80024,0.00291,0.20086,0.1982,10.22399,10.26074,0.30308,0.07006,0.02548,0.0285,0.3488,-1.70331,-2.31683
