"","YQ","p","d","revenue","sales_services_revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2016_Q4",18.5619047619048,"Up",531901000,590389000,-315609000,216292000,-148376000,-80833000,-47928000,-19615000,67916000,-54154000,-54153000,-55203000,1050000,-1000,13762000,-41518000,-27756000,189620000,161864000,342571000,342571000,342571000,159688000,159688000,26936000,26936000,15749000,67927000,43467000,23292000,270300000,2262630000,1923724000,878105000,993853000,51766000,4186354000,4456654000,358853000,88141000,270712000,30250000,389103000,2956998000,187527000,98814000,88713000,3144525000,3533628000,954636000,-32098000,438000,922976000,923026000,4456654000,161864000,47928000,-145981000,32834000,96645000,-44883000,2015000,-415190000,-716332000,1457000,-714875000,-1033420000,-468590000,-468590000,115844000,2987248000,-85825000,0.40664,0.12769,0.64405,0.37114,0.07687,-0.25053,0.69467,3.82831,0.67029,2.99008,2.97358,4.64263,8.05607,-0.74911,0.0836,-0.02094,24.40834,41.63319
"12","2017_Q1",19.5853225806452,"Up",570106000,394294000,-337376000,232730000,-166116000,-80573000,-52395000,-33148000,66614000,-42484000,-42082000,-42537000,455000,-402000,24130000,-36862000,-12732000,25702000,12970000,14448000.0000001,14448000,14448000,193862000,193862000,30371000,30371000,18568000,65146000,46214000,16488000,307947000,2605169000,1757635000,881954000,826476000,49205000,4362804000,4670751000,335168000,84086000,251082000,30336000,365504000,3199119000,172002000,83980000,88022000,3371121000,3736625000,954569000,-19878000,-615000,934076000,934126000,4670751000,12970000,52395000,21478000,-43410000,43433000,-43028000,11488000,-251921000,240036000,-2693000,237343000,28854999.9999998,31631999.9999999,31631999.9999999,119009000,3229455000,6869000.00000003,0.40822,0.11684,0.0253399999999999,0.01547,0.00309,0.47543,0.84253,4.00013,0.69142,0.12561,0.12498,4.95645,8.12078,0.0597200000000002,0.00333,0.00158,25.50726,45.5699
"13","2017_Q2",23.2460317460317,"Up",610065000,610065000,-345402000,264663000,-169833000,-91613000,-53964000,-24256000,94830000,-43325000,-43214000,-43674000,460000,-111000,51505000,-156000,51349000,-16273000,35076000,35451000,35451000,35451000,167007000,167007000,28050000,28050000,17965000,70821000,47847000,22047000,283843000,2633952000,1764101000,854342000,826291000,83468000,4398053000,4681896000,336306000,69320000,266986000,23983000,360289000,3187544000,148356000,83362000,64994000,3335900000,3696189000,954363000,31388000,-44000.0000000002,985707000,985707000,4681896000,35076000,53964000,21377000,7187000,117604000,-80038000,-35064000,-115102000,-20252000,-3921000,-24173000,-21671000,-21296000,-21296000,148794000,3211527000,92216000,0.43383,0.15544,0.05811,0.03597,0.00757,2.60122,0.78782,3.74978,0.68595,0.30755,0.30587,5.29253,8.55136,0.80001,0.00816,0.02122,20.46131,32.10503
"14","2017_Q3",25.0074603174603,"Up",604124000,604124000,-342472000,261652000,-172098000,-93037000,-52563000,-26498000,89554000,-42832000,-42273000,-42728000,455000,-559000,46722000,-378000,46344000,-18652000,27692000,48709000,48709000,48709000,162963000,162963000,29962000,29962000,19124000,67694000,45472000,21640000,279743000,2567597000,1821183000,850547000,890236000,80400000,4388780000,4668523000,327371000,79999000,247372000,23987000,351358000,3115851000,176997000,111918000,65079000,3292848000,3644206000,949513000,74313000,491000,1024317000,1024317000,4668523000,27692000,52563000,24652000,-22125000,82782000,-38713000,448000,-38265000,-74266000,-10060000,-84325999.9999999,-39809000,-4451000,-4451000,142117000,3139838000,99931000,0.43311,0.14824,0.08063,0.04755,0.01043,2.05159,0.79618,3.55769,0.67255,0.42273,0.42019,5.24299,8.88971,0.86727,0.01122,0.02302,20.94665,33.24112
"15","2017_Q4",29.2920634920635,"Up",591542000,591542000,-343041000,248501000,-169561000,-91288000,-55201000,-23072000,78940000,-42718000,-42857000,-43309000,452000,139000,36222000,-319000,35903000,-12746000,23157000,23157000,23157000,23157000,158832000,158832000,33536000,33536000,17816000,72603000,45673000,26705000,282787000,2556116000,1816466000,846616000,888224000,81626000,4372582000,4655369000,363243000,80131000,283112000,23981000,387224000,3045586000,188449000,123176000,65273000,3234035000,3621259000,942268000,91656000,186000,1034110000,1034110000,4655369000,23157000,55201000,14309000,40336000,133003000,-42501000,0,-43654000,-73093000,-9669000,-88415000,934000,934000,934000,134141000,3069567000,144722000,0.42009,0.13345,0.03915,0.02239,0.00497,6.2496,0.73029,3.50181,0.65936,0.20166,0.20052,5.15146,9.00557,1.26032,0.00671,0.03372,21.69907,36.87275
"16","2018_Q1",34.6829508196721,"Up",595088000,595088000,-342468000,252620000,-172569000,-86099000,-55794000,-30676000,80051000,-42231000,-42946000,-43397000,451000,715000,37820000,-303000,37517000,44556000,82073000,82073000,82073000,82073000,203104000,203104000,40322000,40322000,18004000,67233000,37873000,24175000,328663000,2539786000,1817481000,842946000,888224000,86311000,4357267000,4685930000,361490000,106323000,255146000,23981000,385471000,3051899000,151333000,86657000,64676000,3203232000,3588703000,932984000,164425000,-182000,1097227000,1097227000,4685930000,82073000,55794000,-29355000,-19350000,89162000,-29212000,214000,-28998000,2696000.00000001,-15485000,-18422000,41742000,41742000,41742000,135845000,3075880000,42727000,0.42451,0.13452,0.13792,0.0748,0.01751,0.520599999999999,0.85263,3.2707,0.65641,0.71677,0.71239,5.19709,9.58243,0.37315,0.02028,0.00988,21.14745,35.88682
"17","2018_Q2",34.13515625,"Down",606118000,606118000,-313463000,292655000,-197881000,-87583000,-51276000,-59022000,94774000,-43422000,-43802000,-44259000,457000,380000,51352000,-61000,51291000,-9892000,41399000,41399000,41399000,41399000,179706000,179706000,36499000,36499000,17617000,67805000,36826000,25794000,301627000,2512713000,1815291000,842317000,888224000,84750000,4328004000,4629631000,357734000,75816000,280076000,23981000,381715000,2969223000,161131000,94381000,66750000,3130354000,3512069000,918519000,199877000,-834000,1117562000,1117562000,4629631000,41399000,51276000,19324000,6526000,118525000,-25918000,-5e+05,-26418000,-84812000,-23442000,-113886000,-21779000,-21779000,-21779000,146050000,2993204000,136550000,0.48284,0.15636,0.0683,0.03704,0.00894,3.29839,0.79019,3.14262,0.64653,0.36196,0.35951,5.29939,9.77103,1.19388,0.01101,0.03196,19.26394,29.68639
"18","2018_Q3",34.751746031746,"Up",616793000,616793000,-375508000,241285000,-144034000,-88041000,-53923000,-2070000,97251000,-44413000,-44437000,-44959000,522000,24000,52838000,-993000,51845000,-13247000,38598000,38945000,38945000,38945000,632808000,632808000,35854000,35854000,16937000,65981000,34665000,26112000,751580000,2507383000,1916703000,843757000,976018000,96928000,4424086000,5175666000,345758000,88937000,256821000,23981000,369739000,3487613000,173154000,105950000,67204000,3660767000,4030506000,914220000,232080000,-1140000,1145160000,1145160000,5175666000,38598000,53923000,20220000,-13275000,99466000,-37327000,-8740000,-146780000,516208000,-10321000,500252000,452938000,453420000,453420000,151174000,3511594000,113819000,0.39119,0.15767,0.06314,0.03401,0.00752,2.92256,2.03273,3.5196,0.67848,0.34,0.33801,5.38482,9.99764,0.99368,0.00923,0.02357,19.04286,29.60161
"19","2018_Q4",25.6168253968254,"Down",612196000,612196000,-355978000,256218000,-186650000,-88054000,-54688000,-43908000,69568000,-52497000,-52481000,-54670000,2189000,-16000,17071000,0,17071000,-5234000,11837000,11837000,11837000,11837000,440963000,440963000,39701000,39701000,16379000,85061000,46280000,33596000,582104000,2547005000,2146044000,844222000,1201862000,99960000,4693049000,5275153000,407846000,93881000,313303000,18007000,425853000,3531076000,176389000,109508000,66881000,3707465000,4133318000,905641000,237196000,-1002000,1141835000,1141835000,5275153000,11837000,54688000,11393000,36263000,114181000,-44389000,-1350000,-312359000,34566000,-14007000,13817000,-184361000,-184361000,-184361000,124256000,3549083000,121364000,0.41852,0.11364,0.01934,0.01037,0.00224,10.25294,1.36691,3.61989,0.67279,0.10346,0.10287,5.35085,9.98012,1.06077,0.00382,0.02493,25.01384,44.67744
"20","2019_Q1",26.6960655737705,"Up",791623000,791623000,-453457000,338166000,-243482000,-105635000,-70092000,-67755000,94684000,-59859000,-59747000,-60300000,553000,-112000,34825000,0,34825000,-11958000,22867000,22867000,22867000,22867000,249417000,249417000,54667000,54667000,20590000,75077000,45815000,23785000,399751000,2716064000,2640524000,1466670000,1062102000,111752000,5356588000,5756339000,445520000,111172000,334175000,24181000,469701000,3955119000,185778000,121262000,64516000,4140897000,4610598000,893449000,253357000,-1065000,1145741000,1145741000,5756339000,22867000,70092000,20011000,-10615000,102355000,-53910000,-29120000,-649770000,370101000,-17322000,346058000,-201357000,-201357000,-201357000,164776000,3979300000,112209000,0.42718,0.11961,0.02889,0.01996,0.00397,4.90703,0.85108,4.02412,0.69129,0.20011,0.19912,6.92735,10.02617,0.98192,0.00557,0.02113,22.63608,39.39296
"21","2019_Q2",26.7814285714286,"Up",827288000,827288000,-467629000,359659000,-242033000,-115411000,-67253000,-59369000,117626000,-61339000,-61224000,-61330000,106000,-115000,56287000,590051.31641548,56287000,-10836000,45451000,45451000,45451000,45451000,247681000,247681000,58862000,58862000,18872000,77245000,46817000,24951000,402660000,2742918000,3570033000,1440999000,1088500000,1040534000,6312951000,6715611000,533830000,119549000,412889000,26986000,560816000,3922519000,1062167000,131193000,930974000,4984686000,5545502000,878584000,292125000,-6e+05,1170109000,1170109000,6715611000,45451000,67253000,22157000,29229000,164090000,-89322000,-11918000,-101240000,-32026000,-24689000,-63420000,-570000,-570000,-570000,184879000,3949505000,135622000,0.43474,0.14218,0.05494,0.03884,0.00677,2.98392,0.71799,4.7393,0.58811,0.40101,0.39914,7.29917,10.32388,1.19659,0.00844,0.02194,20.02296,31.47114
"22","2019_Q3",24.82578125,"Down",846132000,846132000,-478324000,367808000,-241116000,-116701000,-68051000,-56364000,126692000,-59962000,-60417000,-61233000,816000,455000,66730000,-508000,66222000,-17738000,48484000,48484000,48484000,48484000,239411000,239411000,61224000,61224000,20242000,75916000,45656000,23666000,396793000,2726554000,3587105000,1434040000,1102977000,1050088000,6313659000,6710452000,503857000,99841000,404016000,26986000,530843000,3882220000,1084674000,147740000,936934000,4966894000,5497737000,880499000,332828000,-612000,1212715000,1212715000,6710452000,48484000,68051000,44148000,-60461000,100222000,-36832000,-11341000,-53708000,-43081000.0000001,-6304000,-56068999.9999999,-9555000,-9554999.99999999,-9554999.99999999,194743000,3909206000,115188000,0.43469,0.14973,0.0573,0.03998,0.00723,2.37579,0.74748,4.53341,0.58255,0.42786,0.42607,7.46688,10.70187,1.0165,0.00889,0.01856,18.8443,28.96627
"23","2019_Q4",27.71953125,"Up",819568000,819568000,-471553000,348015000,-234624000,-116899000,-65092000,-52633000,113391000,-59340000,-59227000,-59661000,434000,-113000,54051000,-242000,53809000,-14404000,39405000,39405000,39405000,39405000,235084000,235084000,50839000,50839000,20060000,87685000,55494000,26355000,393668000,2701837000,3582579000,1482181000,1083287000,1017111000,6284416000,6678084000,527306000,87323000,439983000,26994000,554300000,3780750000,1094887000,161541000,933346000,4875637000,5429937000,883763000,364453000,-69000,1248147000,1248147000,6678084000,39405000,65092000,28459000,18121000,151077000,-40643000,0,-40643000,-103958000,-334000,-112072000,-1638000,-1638000,-1638000,178483000,3807744000,170365000,0.42463,0.13835,0.04808,0.03157,0.0059,4.32344,0.71021,4.3504,0.57019,0.3471,0.34574,7.21915,10.99427,1.50066,0.00767,0.0277,20.01681,31.50744
"24","2020_Q1",25.2767741935484,"Down",833131000,833131000,-318711000,514420000,-399561000,-110572000,-76173000,-212816000,114859000,-54852000,-54739000,-55241000,502000,-113000,60007000,-34199000,25808000,-1512000,24296000,24296000,24296000,24296000,249977000,249977000,54864000,54864000,22101000,72552000,46481000,20471000,399494000,2672553000,3578098000,1466891000,1083287000,1027920000,6250651000,6650145000,529899000,91003000,438896000,26994000,556893000,3738937000,1089073000,162695000,926378000,4828010000,5384903000,884830000,380942000,-530000,1265242000,1265242000,6650145000,24296000,76173000,50216000,-17082000,133603000,-40840000,5e+06,-35840000,-62415000,9486000,-88754000,9009000.00000001,9009000.00000001,9009000.00000001,191032000,3765931000,134622000,0.61745,0.13786,0.02916,0.0192,0.00365,5.54091,0.71736,4.25603,0.56629,0.21366,0.21284,7.32674,11.12682,1.1839,0.00524,0.022,18.40505,30.61104
"25","2020_Q2",17.9980952380952,"Down",680525000,680525000,-406117000,274408000,-241069000,-113430000,-66965000,-60674000,33339000,-51062000,-51406000,-51845000,439000,344000,-17723000,-171275000,-188998000,41439000,-147559000,-147559000,-147559000,-147559000,831246000,831246000,37568000,37568000,22235000,72714000,48708000,18529000,963763000,2657929000,3395170000,1402957000,971287000,1020926000,6053099000,7016862000,474158000,77038000,397001000,2.7e+07,501158000,4368097000,1035837000,121781000,914056000,5403934000,5905092000,877790000,233383000,597000,1111770000,1111770000,7016862000,-147559000,66965000,160672000,-56486000,23592000,-48046000,270290.358934354,-48046000,626927000,-4218000,603781000,579327000,579327000,579327000,100304000,4395097000,-45667000,0.40323,0.04899,-0.21683,-0.13272,-0.02103,0.30948,1.92307,5.31143,0.62636,-1.2977,-1.2977,5.98485,9.77741,-0.40162,-0.02136,-0.00698,35.5305,106.89736
"26","2020_Q3",24.7840625,"Up",209859000,209859000,-122426000,87433000,-173781000,-60268000,-69213000,-44300000,-86348000,-58754000,-58639000,-59208000,569000,-115000,-145102000,-412000.00000003,-145514000,36970000,-108544000,-108544000,-108544000,-108544000,1308347000,1308347000,35234000,35234000,25013000,87273000,64710000,17086000,1455867000,2573559000,3406589000,1395438000,971287000,1039864000,5980148000,7436015000,482890000,101311000,380161000,27002000,509892000,4893880000,1026765000,84603000,942162000,5920645000,6430537000,880487000,124839000,152000,1005478000,1005478000,7436015000,-108544000,69213000,-11923000,-25143000,-76397000,-27870000,-5706167.08985417,-27870000,593325000,-13399000,579925000,475658000,475658000,475658000,-17135000,4920882000,-107118000,0.41663,-0.41146,-0.51722,-0.10795,-0.0146,0.98686,2.85525,6.3955,0.66176,-0.9584,-0.9584,1.85296,8.87792,-0.9458,-0.01561,-0.01541,-210.82784,-41.83693
"27","2020_Q4",36.28703125,"Up",652238000,652238000,-306166000,346072000,-218999000,-86983000,-69320000,-62696000,127073000,-56942000,-61919000,-62387000,468000,4977000,70131000,-413000,69718000,-31602000,38116000,38116000,38116000,38116000,506046000,506046000,43778000,43778000,22769000,68029000,52665000,15024000,640622000,2533897000,3393124000,1390605000,971287000,1031232000,5927021000,6567643000,492009000,67383000,424626000,29165000,521174000,3958367000,1044191000,121901000,922290000,5002558000,5523732000,880565000,162955000,391000,1043911000,1043911000,6567643000,38116000,69320000,45428000,23954000,176818000,-29161000,-3817040.9937156,-40362000,-936573000,-4246000,-940819000,-804363000,-804363000,-804363000,196393000,3987532000,222788000,0.53059,0.19483,0.05844,0.03651,0.0058,5.845,1.22919,5.29138,0.60715,0.33576,0.33576,5.74553,9.19575,1.96253,0.00627,0.03667,17.72714,27.39753
