"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",46.1422580645161,"Up",611970000,-332387000,279583000,-168724000,110859000,-6000,-21000,-63000,42000,15000,110853000,110853000,-40642000,70211000,70211000,70211000,70211000,110949000,110949000,298091000,298091000,392510000,65160000,34544000,866710000,162586000,349799000,53885000,289124000,6790000,512385000,1379095000,165334000,101475000,63859000,1417000,166751000,84218000,84218000,86520000,253271000,476148000,-265515000,917781000,-2590000,1125824000,1125824000,1379095000,70211000,8910000,9231000,-17207000,71145000,-11431000,-12486000,-15819000,-446000,-40943000,3604000,-44547000,-56567000,2092000,2092000,-24000,2068000,119769000,3719000,131773000,0.45686,0.18115,0.11473,0.06236,0.05091,1.87681,5.19763,0.22497,0.0027,1.1207,1.11354,9.76823,17.97034,2.10335,0.2525,7,0.07088,0.10857,0.22531,-0.89531,-0.96726
"12","2013_Q1",53.4826666666667,"Up",635271000,-348244000,287027000,-179021000,108006000,-50000,-26000,-62000,36000,-24000,107956000,107956000,-39041000,68915000,68915000,68915000,68915000,168453000,168453000,297215000,297215000,393412000,61031000,29313000,920111000,174597000,350168000,51212000,289124000,9832000,524765000,1444876000,169508000,96640000,72868000,1007000,170515000,85061000,85061000,87250000,257765000,483751000,-265162000,970965000,-2443000,1187111000,1187111000,1444876000,68915000,9444000,4841000,5876000,89076000,-18938000,-18938000,-15683000,-522000,3501000,3613000,-112000,-12660000,57478000,57478000,26000,57504000,117450000,3196000,143429000,0.45182,0.17002,0.10848,0.05805,0.0477,2.08125,5.39607,0.21714,0.00221,1.10823,1.10222,10.21582,19.08999,2.30649,0.2522,6,0.06633,0.11246,0.22757,-1.40704,-1.53007
"13","2013_Q2",52.53640625,"Down",577491000,-312402000,265089000,-162737000,102352000,-25000,-9000,-52000,43000,-16000,102327000,102327000,-39140000,63187000,63187000,63187000,63187000,233506000,233506000,288288000,288288000,387615000,65198000,33480000,974607000,187615000,345731000,48546000,289124000,8061000,533346000,1507953000,171953000,84119000,87834000,1082000,173035000,85061000,85061000,87304000,260339000,502781000,-268180000,1015187000,-2174000,1247614000,1247614000,1507953000,63187000,10021000,1978000,14183000,89369000,-16993000,-16993000,-18907000,-279000,8381000,11887000,-3506000,-7354000,65022000,65022000,31000,65053000,112373000,3325000,148703000,0.45904,0.17724,0.10942,0.05065,0.0419,2.35338,5.63243,0.20867,0.0022,1.01297,1.00775,9.25793,20.00087,2.3839,0.3031,5,0.06145,0.1113,0.29922,-2.04837,-2.24892
"14","2013_Q3",52.165,"Down",569462000,-313093000,256369000,-165793000,90576000,53000,-34000,-72999.9999999999,39000,87000,90629000,90629000,-34550000,56079000,56079000,56079000,56079000,243949000,243949000,304712000,304712000,364726000,70509000,38791000,983896000,201628000,341131000,45876000,289124000,6131000,542759000,1526655000,143778000,86599000,57179000,1265000,145043000,85061000,85061000,87047000,232090000,513170000,-267646000,1052261000,-3220000,1294565000,1294565000,1526655000,56079000,11048000,3627000,-25096000,45658000,-23313000,-23313000,-18948000,-74000,5985000,6108000,-123000,-11753000,10592000,10592000,-149000,10443000,101624000,3250999.99999999,87765000,0.4502,0.15906,0.09848,0.04332,0.03673,1.56502,6.78348,0.17928,0.00213,0.89443,0.89004,9.08262,20.64763,1.39981,0.30221,5,0.05425,0.06347,0.33788,-2.36852,-2.65741
"15","2013_Q4",51.97703125,"Down",636923000,-347410000,289513000,-189267000,100246000,-1115000,-1110000,-1141000,31000,-5000,99131000,99131000,-36777000,62354000,62354000,62354000,62354000,58017000,58017000,337779000,337779000,414268000,75302000,43584000,885366000,234643000,799483000,159807000,632801000,6875000,1034126000,1919492000,194322000,106082000,88240000,10527000,244849000,85180000,85180000,327533000,572382000,522396000,-267246000,1095568000,-3608000,1347110000,1347110000,1919492000,62354000,12925000,4317000,30806000,110402000,-21999000,-570768000,-18988000,289629000,4855000,4882000,-27000,274420000,-185946000,-185946000,14000,-185932000,113171000,252880000,158755000,0.45455,0.15739,0.0979,0.04629,0.03248,2.54603,3.61597,0.4249,0.13174,0.99277,0.98766,10.14079,21.44806,2.52762,0.30232,3,0.04827,0.09421,0.30452,1.72185,1.94385
"16","2014_Q1",56.2254098360656,"Up",673773000,-366228000,307545000,-215193000,92352000,-1010000,-894000,-898000,4000,-116000,91342000,91342000,-34967000,56375000,56375000,56375000,56375000,55876000,55876000,345366000,345366000,419012000,73235000,35464000,893489000,251536000,797978000,155324000,630318000,12336000,1049514000,1943003000,199395000,113636000,85759000,14184000,213579000,97475000,97475000,339041000,552620000,528839000,-266897000,1132868000,-4427000,1390383000,1390383000,1943003000,56375000,15485000,11256000,-3108000.00000001,80008000,-26947000,-26947000,-19017000,-39158999.9999999,2455000,2572000,-117000.000000007,-55252000,-2191000,-2191000,50000,-2141000,107837000,255750000,112749000,0.45645,0.13707,0.08367,0.04055,0.02901,1.99998,4.18341,0.39746,0.13163,0.89632,0.89197,10.71249,22.10606,1.79263,0.30236,4,0.04324,0.06466,0.33733,1.85348,2.16426
"17","2014_Q2",60.1820634920635,"Up",678510000,-363655000,314855000,-218105000,96750000,-1054000,-842000,-847000,5000,-212000,95696000,95696000,-36650000,59046000,59046000,59046000,59046000,48430000,48430000,348673000,348673000,416317000,68635000,30864000,882055000,272684000,8.13e+08,151081000,630130000,31789000,1085684000,1967739000,223042000,107767000,115275000,17288000,290330000,97475000,97475000,352146000,642476000,539577000,-381444000,1170934000,-3804000,1325263000,1325263000,1967739000,59046000,16061000,1403000,27870000,104380000,-12506000,-31438000,-20915000,46554000,-110125000,4871000,-114996000,-80474000,-7532000,-7532000,86000,-7446000,112811000,271959000,164825000,0.46404,0.14259,0.08702,0.04455,0.03001,2.79147,3.03811,0.48479,0.13821,0.94063,0.93608,10.80895,21.11199,2.62573,0.33318,4,0.04718,0.09726,0.35422,1.98145,2.31038
"18","2014_Q3",59.25078125,"Down",661513000,-354692000,306821000,-225099000,81722000,-1229000,-963000,-967000,4000,-266000,80493000,80493000,-30981000,49512000,49512000,49512000,49512000,45323000,45323000,365074000,365074000,393558000,76274000,38503000,880229000,280027000,809577000,146305000,628606000,34666000,1089604000,1969833000,192489000,108432000,84057000,20321000,252810000,97475000,97475000,349144000,601954000,555566000,-381292000,1199866000,-6261000,1367879000,1367879000,1969833000,49512000,15998000,7346000,-25753000,47103000,-21419000,-25077000,-20515000,-13627000,8863000,9302000,-438999.999999985,-25148000,-3122000.00000001,-3122000.00000001,15000,-3107000,97720000,271990000,81529000,0.46382,0.12354,0.07485,0.0362,0.02514,1.64665,3.48178,0.44006,0.13808,0.8019,0.79794,10.71398,22.1544,1.32046,0.33226,4,0.04031,0.04693,0.41434,2.31956,2.77364
"19","2014_Q4",55.24671875,"Down",720476000,-387082000,333394000,-228508000,104886000,-721000,-822000,-827000,5000,101000,104165000,104165000,-39469000,64696000,64696000,64696000,64696000,47154000,47154000,382784000,382784000,449814000,81663000,40410000,961415000,294348000,804984000,138314000,629335000,37335000,1099332000,2060747000,212335000,116283000,96052000,26829000,309164000,112785000,112785000,353020000,662184000,573799000,-456250000,1286068000,-5054000,1398563000,1398563000,2060747000,64696000,16295000,3943000,-9789000,75145000,-21957000,-22944000,-20580000,-38367000,6143000,6314000,-171000,-52206000,-5000,-5000,40000,35000,121181000,267064000,128904000,0.46274,0.14558,0.0898,0.04626,0.03139,1.99246,3.10972,0.47347,0.1296,1.04525,1.03991,11.64029,22.59573,2.08262,0.3325,6,0.04795,0.07248,0.3181,1.81472,2.09666
"20","2015_Q1",51.9634426229508,"Down",726623000,-395437000,331186000,-231360000,99826000,-655000,-833000,-1233000,4e+05,178000,99171000,99171000,-36358000,62813000,62813000,62813000,62813000,47154000,47154000,382784000,382784000,449814000,81663000,40410000,961415000,294348000,804984000,138314000,629335000,37335000,1099332000,2060747000,212335000,116283000,96052000,26829000,309164000,112785000,112785000,353020000,662184000,573799000,-456250000,1286068000,-5054000,1398563000,1398563000,2060747000,62813000,16592000,17335000,-50962000,45778000,-14735000,-14747000,-20597000,62442000,-71795000,3958000,-75753000,-29211000,1820000,1820000,-24000,1796000,116418000,267064000,87079000,0.45579,0.13738,0.08645,0.04491,0.03048,1.38632,3.10972,0.47347,0.1296,1.01815,1.01287,11.77805,22.66972,1.41149,0.33386,5,0.0469,0.04896,0.32791,1.88897,2.20293
"21","2015_Q2",49.8474603174603,"Down",731091000,-400942000,330149000,-236178000,93971000,-762000,-939000,-944000,5000,177000,93209000,93209000,-35792000,57417000,57417000,57417000,57417000,38662384.1006915,38662384.1006915,393959282.737395,393959282.737395,472503844.753715,90393377.1411678,49133843.4710529,995518888.732969,292972712.965794,797173268.226995,134558635.795196,626910053.062696,35704579.3691031,1090145981.19279,2085664869.92576,197366267.489874,117247269.447077,80118998.042814,26158263.6565277,418064481.334326,112999975.87661,112999975.877083,348690781.002392,766755262.336718,583112869.148475,-463779251.707263,1209652951.44342,-10076961.2992461,1318909607.58539,1318909607.58904,2085664869.92576,57417000,17012000,3958000,-20635000,57752000,-13358000,-13358000,-24563000,-25705000,3733000,7323000,-3590000,-44744000,-350000,-350000,-1e+05,-450000,110983000,0,112782000,0.45158,0.12854,0.07854,0.0395924907136383,0.0251327692795895,1.96426,2.55790889344523,0.58777003672888,0.125648561794926,0.93748,0.93297,11.93696,21.4573875098045,1.84146,0.40105,3.12316527618585,0.0443474828102791,0.00550715614715604,0.4278,2.18500904334176,2.62069056099746
"22","2015_Q3",47.9934375,"Down",706400000,-385526000,320874000,-2.35e+08,85874000,-2157000,-1600000,-2035000,435000,-557000,83717000,83717000,-32190000,51527000,51527000,51527000,51527000,27425000,27425000,406557000,406557000,506059000,93026000,51773000,1033067000,291843000,787139000,128471000,625140000,33528000,1078982000,2112049000,198099000,117276000,80823000,26338000,512437000,112725000,112725000,340159000,852596000,595750000,-481279000,1159433000,-14451000,1259453000,1259453000,2112049000,51527000,17433000,3588000,-82693000,-10145000,-11787000,-11787000,-24905000,45010000,-19265000,3443000,-22708000,2734999.99999999,-19197000,-19197000,-82000,-19279000,103307000,253772000,41017000,0.45424,0.12157,0.07294,0.04091,0.0244,0.79603,2.01599,0.67696,0.12015,0.83989,0.83694,11.51426,20.52898,0.66857,0.40595,3,0.04701,0.02523,0.48334,2.19101,2.6358
"23","2015_Q4",42.7840625,"Down",745483000,-407066000,338417000,-234173000,104244000,-1631000,-1641000,-1807000,166000,10000,102613000,102613000,-39271000,63342000,63342000,63342000,63342000,24863000,24863000,406224000,406224000,510783000,80623000,39370000,1022493000,289074000,781672000,124431000,625258000,31983000,1070746000,2093239000,217730000,114380000,103350000,26158000,456888000,112697000,112697000,333809000,790697000,599695000,-480831000,1198070000,-14392000,1302542000,1302542000,2093239000,63342000,17650000,4865000,29509000,115366000,-13031000,-13031000,-24675000,-81502000,1240000,1353000,-113000,-104853000,-2518000,-2518000,-44000,-2562000,121894000,247270000,177643000,0.45396,0.13983,0.08497,0.04863,0.03026,2.80451,2.23795,0.60704,0.11813,1.03355,1.03126,12.164,21.2535,2.89859,0.40262,5,0.05294,0.10685,0.38955,1.82459,2.13352
"24","2016_Q1",47.8531147540984,"Up",727405000,-400270000,327135000,-231695000,95440000,-1838000,-1389000,-1554000,165000,-449000,93602000,93602000,-34580000,59022000,59022000,59022000,59022000,38267000,38267000,403468000,403468000,506631000,83710000,39067000,1032076000,291156000,776954000,119805000,623626000,33523000,1068110000,2100186000,208822000,114328000,94494000,25165000,421987000,131210000,131210000,345329000,767316000,604974000,-487233000,1232381000,-17252000,1332870000,1332870000,2100186000,59022000,17634000,20981000,-10819000,86818000,-13229000,-13229000,-24685000,-31966000,-3718000,3285000,-7003000,-60183000,13406000,13406000,-2000,13404000,113074000,239284000,123606000,0.44973,0.13121,0.08114,0.04428,0.0281,2.09424,2.44575,0.57569,0.11393,0.96306,0.96099,11.86902,21.74836,2.01687,0.40278,5,0.04914,0.07257,0.41823,1.77775,2.10621
"25","2016_Q2",53.31671875,"Up",706819000,-387847000,318972000,-228584000,90388000,-1330000,-1393000,-1556000,163000,63000,89058000,89058000,-34029000,55029000,55029000,55029000,55029000,37879000,37879000,387561000,387561000,492450000,86918000,42275000,1004808000,292693000,772022000,115519000,623313000,33190000,1064715000,2069523000,225782000,103043000,122739000,32446000,376228000,131132000,131132000,334353000,710581000,608991000,-492474000,1260792000,-18367000,1358942000,1358942000,2069523000,55029000,17925000,6633000,42523000,122110000,-15575000,-15575000,-26391000,-75958000,-4702000,1094000,-5796000,-106897000,-362000,-362000,-26000,-388000,108313000,235667000,169290000,0.45128,0.12788,0.07785,0.04049,0.02659,3.07638,2.67074,0.52289,0.11388,0.89776,0.89612,11.53124,22.17016,2.76184,0.43055,5.81243639578974,0.04718,0.0981,0.47958,1.82608,2.18821
"26","2016_Q3",52.51078125,"Down",684117000,-375326000,308791000,-228249000,80542000,-392000,-1131000,-1295000,164000,739000,80150000,80150000,-30625000,49525000,49525000,49525000,49525000,23960000,23960000,389359000,389359000,464225000,94015000,49372000,971559000,287557000,766336000,111189000,623042000,32105000,1053893000,2025452000,195113000,110946000,84167000,38465000,332578000,131132000,131132000,321666000,654244000,613229000,-505137000,1283762000,-20646000,1371208000,1371208000,2025452000,49525000,17456000,5652000,-11763000,60870000,-11206000,-11206000,-26557000,-25456000,-11638000,1778000,-13416000,-63538000,-13874000,-13874000,-45000,-13919000,97998000,228999000,105654000,0.45137,0.11773,0.07239,0.03612,0.02445,2.13335,2.9213,0.47713,0.11306,0.80939,0.80773,11.18057,22.40975,1.72671,0.43402,7,0.04394,0.06102,0.53623,2.09228,2.54574
"27","2016_Q4",59.8163492063492,"Up",727495000,-400467000,327028000,-221244000,105784000,-930000,-1040000,-1204000,164000,110000,104854000,104854000,-40038000,64816000,64816000,64816000,64816000,32328000,32328000,395464000,395464000,462141000,84030000,39387000,973963000,286251000,762925000,107424000,624001000,31500000,1049176000,2023139000,208882000,113109000,95773000,44635000,293517000,131132000,131132000,309007000,602524000,621447000,-504799000,1322057000,-18090000,1420615000,1420615000,2023139000,64816000,17962000,3344000,16720000,102842000,-7933000,-7933000,-26403000,-65483000,4945000,5105000,-160000,-86578000,8331000,8331000,37000,8368000,123746000,222510000,172571000,0.44953,0.14541,0.08909,0.04563,0.03204,2.66248,3.31825,0.42413,0.10998,1.06023,1.05615,11.90001,23.23772,2.82283,0.43189,7,0.05141,0.09726,0.40735,1.53687,1.79783
"28","2017_Q1",73.996935483871,"Up",745074000,-411007000,334067000,-234821000,99246000,-1577000,-1589000,-1752000,163000,12000,97669000,97669000,-35823000,61846000,61846000,61846000,61846000,52890000,52890000,392463000,392463000,444221000,91917000,45290000,981491000,320544000,762916000,105307000,624081000,33528000,1083460000,2064951000,211552000,110601000,100951000,267050000,478602000,148201000,148201000,487973000,966575000,584082000,-506756000,1040148000,-19098000,1098376000,1098376000,2064951000,61846000,18587000,19576000,15272000,115281000,-53216000,-53216000,-26427000,346611000,-360909000,3517000,-364426000,-41355000,20710000,20710000,-148000,20562000,117833000,606822000,115712000,0.44837,0.1332,0.08301,0.05631,0.02995,1.87097,2.05075,0.88,0.29387,1.03053,1.02714,12.415,18.302,1.92808,0.44035,6,0.04763,0.06243,0.4273,4.70099,5.5814
"29","2017_Q2",64.5120634920635,"Down",686271000,-377536000,308735000,-218135000,90600000,-3055000,-2771000,-2934000,163000,-284000,87545000,87545000,-33257000,54288000,54288000,54288000,54288000,32122000,32122000,391685000,391685000,453965000,41473000,41473000,919245000,319696000,760538000,103140000,623473000,33925000,1080234000,1999479000,220101000,112357000,107744000,72356000,458457000,101574000,101574000,406990000,865447000,595183000,-509123000,1068617000,-20645000,1134032000,1134032000,1999479000,54288000,15447000,4892000,1333000,75960000,-12497000,-12497000,-25495000,-63149000,4633000,7840000,-3207000,-84153000,-20690000,-20690000,-78000,-20768000,106047000,377772000,128140000,0.44987,0.13202,0.07911,0.04787,0.02715,2.36037,2.00508,0.76316,0.18894,0.96288,0.95902,12.17203,20.11373,2.27275,0.45219,5.63052376800911,0.04945,0.07942,0.46962,3.2594,3.81512
