"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2018_Q2",142.35859375,"Up",102701000,-36144000,66557000,-62512000,-54499000,-8013000,4045000,459000,749000,-290000,4504000,4504000,1938000,5491000,5491000,5491000,5491000,215441000,52805000,162636000,65107000,65107000,94616000,12774000,12774000,387938000,31995000,66488000,28865000,968000,101769000,489707000,50253000,7403000,42850000,50253000,24533000,24533000,24533000,74786000,404333000,7951000,2637000,414921000,414921000,489707000,5491000,1399000,4027000,-209000,10708000,-2823000,-2823000,-2823000,988000,-2187000,1328000,1328000,-8072000,-6744000,1777000,1777000,391000,2168000,5444000,0,474000,0.64807,0.03939,0.05347,0.01323,0.01121,0.08632,7.7197,0.18024,0,0.16223,0.15288,3.03435,12.25903,0.014,0.0125,0.00108,-39.57403,-53.26106
"12","2018_Q3",140.07380952381,"Down",109638000,-37386000,72252000,-62969000,-54776000,-8193000,9283000,380000,720000,-340000,9663000,9663000,4948000,13381000,13381000,13381000,13381000,206890000,59705000,147185000,74059000,74059000,97556000,13994000,13994000,392499000,33719000,70499000,34129000,1049000,106815000,499314000,49687000,7432000,42255000,49687000,24428000,24428000,24428000,74115000,404527000,21333000,-661000,425199000,425199000,499314000,13381000,1549000,1562000,-16368000,124000,-2282000,-2282000,-2282000,15622000,12824000,5427000,5427000,-10619000,-5192000,7756000,7756000,-856000,6900000,10832000,0,-12766000,0.65901,0.08467,0.12205,0.03147,0.0268,-0.95404,7.89943,0.17431,0,0.39272,0.3705,3.21781,12.47934,-0.37467,0.02976,-0.02839,-19.09989,-22.28698
"13","2018_Q4",133.930317460317,"Down",111806000,-36794000,75012000,-65026000,-55934000,-9092000,9986000,941000,771000,170000,10927000,-19908000,-1598000,-22426000,-22426000,-18930000,-18930000,193918000,47742000,146176000,80435000,80435000,109706000,13536000,13536000,397595000,34133000,69277000,32985000,1085000,103410000,501005000,65052000,8869000,56183000,65052000,26665000,26665000,26665000,91717000,407915000,2403000,-899000,409419000,409288000,501005000,-22426000,1511000,38213000,-6853000,10445000,-1458000,-1458000,-1458000,1239000,-20647000,1123000,1123000,-2170000,-1047000,-11249000,-11249000,-714000,-11963000,11497000,0,4784000,0.67091,0.08932,-0.16931,-0.04625,-0.03778,-0.25272,6.11196,0.22409,0,-0.55273,-0.55273,3.26455,11.95437,0.13969,-0.04342,0.01097,-16.86683,-19.41899
"14","2019_Q1",142.936885245902,"Up",120793000,-42081000,78712000,-72043000,-61176000,-10867000,6669000,680000,724000,-44000,7349000,7349000,-885000,6464000,6464000,6659000,6659000,200889000,67850000,133039000,81896000,81896000,115741000,12200000,12200000,410726000,35407000,68873000,32940000,875000.000000002,104280000,515006000,66062000,8176000,57886000,66062000,26529000,26529000,26529000,92591000,415118000,9064000,-1942000,422240000,422415000,515006000,6464000,1709000,6188000,-6830000,7531000,-3040000,-3040000,-3040000,13165000,9625000.00000001,4417000,4417000,-1249000,3168000,20324000,20324000,-216000,20108000,8378000,0,-606999.999999996,0.65163,0.05521,0.0551299999999999,0.01576,0.01293,-0.09115,6.21728,0.21919,0,0.19366,0.17494,3.51287,12.27947,-0.0176500000000001,0.01483,-0.00135,-23.97816,-30.12281
"15","2019_Q2",144.417777777778,"Up",128439000,-44529000,83910000,-72758000,-61091000,-11667000,11152000,757000,733000,24000,11909000,11909000,-1455000,10454000,10454000,10698000,10698000,194847000,95606000,99241000,94679000,94679000,121691000,11869000,11869000,423086000,35380000,110323000,31862000,43989000,145703000,568789000,65724000,7692000,58032000,69412000,62714000,62714000,62714000,132126000,419548000,19762000,-2578000,436732000,436663000,568789000,10454000,1804000,7227000,-21553000,-2068000,-2463000,-2463000,-2463000,34318000,31855000,1071000,1071000,-2781000,-1710000,28077000,28077000,-321000,27756000,12956000,0,-9605000,0.65331,0.08683,0.08329,0.0245,0.01881,-0.89783,6.09529,0.30258,0,0.31002,0.29542,3.72208,12.65623,-0.27835,0.02142,-0.01923,-15.03913,-17.47193
"16","2019_Q3",154.6971875,"Up",134201000,-40273000,93928000,-81127000,-67665000,-13462000,12801000,713000,784000,-71000,13514000,13514000,2735000,16249000,16249000,16588000,16588000,187257000,77261000,109996000,99011000,99011000,132735000,15601000,15601000,434604000,37940000,112565000,34661000,44108000,150505000,585109000,66019000,8743000,57276000,69761000,61165000,61165000,61165000,130926000,419255000,36350000,-1514000,454091000,454183000,585109000,16249000,1933000,3553000,-19832000,1903000,-3745000,-3745000,-3745000,-10368000,-15113000,5973000,5973000,-11281000,-5308000,-18518000,-18518000,173000,-18345000,14734000,0,-11578000,0.69991,0.09539,0.12361,0.03652,0.02835,-0.69797,6.2299,0.28827,0,0.47811,0.45804,3.86799,13.08798,-0.33371,0.03219,-0.02247,-12.70918,-14.62831
"17","2019_Q4",159.058125,"Up",139502000,-43504000,95998000,-83022000,-69289000,-13733000,12976000,-13000,759000,-772000,12963000,12963000,-1963000,1.1e+07,1.1e+07,11483000,11483000,194445000,111581000,82864000,101828000,101828000,140359000,14702000,14702000,451334000,45625000,117211000,32818000,51447000,162836000,614170000,82125000,11962000,70163000,86167000,61062000,61062000,61062000,147229000,423509000,47833000,-4010000,467332000,466941000,614170000,1.1e+07,2053000,9302000,-305000,22050000,-7917000,-7917000,-7917000,27279000,14281000,1301000,1301000,-2740000,-1439000,34892000,34892000,-572000,34320000,15029000,0,8770000,0.68815,0.09302,0.08231,0.02459,0.0187,0.76374,5.2379,0.31531,0,0.32956,0.31633,4.00373,13.41251,0.2517,0.02175,0.01661,-12.93799,-14.98497
"18","2020_Q1",168.476774193548,"Up",145263000,-47135000,98128000,-87549000,-74688000,-12861000,10579000,1170000,578000,592000,11749000,11749000,-2448000,9301000,9301000,9689000,9689000,189389000,72779000,116610000,105901000,105901000,152992000,14852000,14852000,463134000,51812000,150955000,31305000,86587000,202767000,665901000,82741000,15111000,67630000,91048000,89240000,89240000,89240000,180288000,430694000,57522000,-2324000,485892000,485613000,665901000,9301000,2314000,8304000,-15152000,4767000,-7984000,-7984000,-7984000,-33195000,-43734000,4759000,4759000,-2691000,-501999.999999998,-39469000,-39469000,667000,-38802000,12893000,0,-7795000,0.67552,0.07283,0.0667,0.01995,0.01455,-0.80452,5.0867,0.37126,0,0.27717,0.26666,4.15544,13.89959,-0.22299,0.01685,-0.01356,-14.68929,-17.90235
"19","2020_Q2",173.553968253968,"Up",137329000,-49320000,88009000,-87399000,-74453000,-12946000,610000,-1356000,299000,-1655000,-746000,-746000,1634000,888000,888000,1425000,1425000,168222000,72456000,95766000,103963000,103963000,166152000,15403000,15403000,453740000,58698000,151802000,32945000,86324000,210500000,664240000,81178000,15843000,65335000,88074000,88049000,88049000,88049000,176123000,435759000,57749000,-4575000,488933000,488117000,664240000,888000,2959000,5452000,-15219000,-5920000,-10131000,-10131000,-10131000,20168000,10037000,396000,396000,-4746000,-4350000,-233000,-233000,-90000,-323000,3569000,0,-23415000,0.64086,0.00444,0.01038,0.00292,0.00215,-16.43158,5.1518,0.36082,0,0.04066,0.03919,3.91888,13.95241,-0.66818,0.00247,-0.04064,-47.13421,-275.77377
"20","2020_Q3",210.3428125,"Up",105109000,-40179000,64930000,-82579000,-59854000,-22725000,-17649000,619000,108000,511000,-17030000,-17030000,4129000,-12901000,-12901000,-11960000,-11960000,278295000,134381000,143914000,97613000,97613000,183442000,16545000,16545000,575895000,62188000,142117000,36474000,87333000,204305000,780200000,72150000,14432000,57718000,77612000,79427000,79427000,79427000,157039000,581102000,45789000,-2097000,624794000,623161000,780200000,-12901000,3131000,7401000,-19320000,-21689000,-6719000,-6719000,-6719000,-45765000,-54544000,141495000,141495000,-3034000,138461000,62228000,62228000,-303000,61925000,-14518000,0,-44686000,0.61774,-0.16791,-0.11379,-0.01919,-0.01533,3.73629,7.42018,0.252,0,-0.33785,-0.35093,2.96914,17.64928,-1.2623,-0.01702,-0.0636,19.16896,15.7683200000001
"21","2020_Q4",219.064375,"Up",151076000,-60153000,90923000,-111081000,-76158000,-34923000,-20158000,427000,413000,14000,-19731000,-19731000,9855000,-9876000,-9876000,-8815000,-8815000,268726000,80115000,188611000,112817000,112817000,191547000,17109000,17109000,590199000,64906000,155198000,47910000,88644000,220104000,810303000,102235000,14544000,87691000,108055000,82536000,82536000,82536000,190591000,585331000,36974000,101000,622406000,619712000,810303000,-9876000,3343000,-4024000,7007000,-3550000,-4153000,-4153000,-4153000,-44263000,-49416000,3208000,3208000,-4859000,-1651000,-54617000,-54617000,351000,-54266000,-16815000,0,-23816000,0.60184,-0.13343,-0.05835,-0.01422,-0.01088,2.70176,5.46202,0.30755,0,-0.24309,-0.24309,4.1662,17.16399,-0.65677,-0.01255,-0.03391,15.98133,13.33099
"22","2021_Q1",258.134918032787,"Up",166898000,-72585000,94313000,-96058000,-76603000,-19455000,-1745000,1234000,447000,787000,-511000,-511000,3143000,2632000,2632000,3648000,3648000,264832000,69670000,195162000,114608000,114608000,219527000,18735000,18735000,617702000,48169000,157112000,50139000,87962000,205281000,822983000,99904000,14109000,85795000,105932000,79263000,79263000,79263000,185195000,598335000,40622000,2541000,641498000,637788000,822983000,2632000,3458000,15485000,-23658000,-2083000,-3753000,-3753000,-3753000,-6473000,-10226000,6199000.00000001,6199000.00000001,-324000,2457000.00000003,-9852000,-9852000,-593000,-10445000,1713000,0,-28841000,0.56509,-0.01046,0.02186,0.00572,0.00443,-7.90598,5.83112,0.29037,0,0.10033,0.10033,4.58993,17.64209,-0.79317,0.00509,-0.04022,-154.60128,151.76619
"23","2021_Q2",272.912222222222,"Up",169204000,-57867000,111337000,-97874000,-79798000,-18076000,13463000,-996000,480000,-1476000,12467000,12467000,-1541000,10926000,10926000,11836000,11836000,242609000,55632000,186977000,126415000,126415000,245321000,20782000,20782000,635127000,50314000,155383000,48978000,88302000,205697000,840824000,105603000,15389000,90214000,111862000,78491000,78491000,78491000,190353000,603058000,52458000,-425000,655091000,650471000,840824000,10926000,3471000,9495000,-38260000,-14368000,-3991000,-3991000,-3991000,7231000,3090000,666000,666000,-2943000,-2614000,-13892000,-13892000,-146000,-14038000,16934000,0,-23776000,0.658,0.07957,0.06995,0.0182,0.01408,-2.00879,5.67777,0.29264,0,0.32467,0.31534,4.64136,17.9695,-0.65219,0.01624,-0.03262,-14.32674,-18.02043
"24","2021_Q3",268.79078125,"Down",184258000,-65572000,118686000,-108374000,-90636000,-17738000,10312000,-109000,299000,-408000,10203000,10203000,-1904000,8299000,8299000,9231000,9231000,238999000,82277000,156722000,136610000,136610000,254977000,22526000,22526000,653112000,50854000,206252000,47670000,140578000,257106000,910218000,100215000,13712000,86503000,108046000,128796000,128796000,128796000,236842000,616910000,61689000,329000,678928000,673376000,910218000,8299000,3551000,12533000,-27693000,-3310000,-3295000,-3295000,-3295000,29640000,26345000,7666000,7666000,-4138000,3173000,26208000,26208000,437000,26645000,13863000,0,-15221000,0.64413,0.05597,0.0501,0.01371,0.01014,-1.6489,6.04476,0.35172,0,0.25321,0.24594,5.0543,18.62336,-0.41752,0.01151,-0.01897,-17.24006,-23.17678
"25","2021_Q4",264.37734375,"Down",190117000,-70205000,119912000,-111131000,-94397000,-16734000,8781000,-999000,138000,-1137000,7782000,7782000,249000,8031000,8031000,8850000,8850000,266927000,66290000,200637000,120074000,120074000,258316000,22670000,22670000,667987000,56632000,248622000,49454000,181767000,305254000,973241000,106901000,13679000,93222000,116059000,172579000,172579000,172579000,288638000,621493000,70539000,-1093000,690939000,684603000,973241000,8031000,3633000,6876000,17910000,36450000,-5802000,-3466787.77725188,-3466787.79160383,-44029000,-49831000,1213000,1213000,-3533000,-2684000,-16065000,-16065000,78000,-15987000,12414000,0,24273000,0.63073,0.04619,0.04655,0.01293,0.00909,2.74271,5.75558,0.42161,0,0.24225,0.23542,5.20401,18.91283,0.66442,0.01032,0.02832,-21.50209,-30.39825
"26","2022_Q1",222.194032258065,"Down",204011000,-78564000,125447000,-165504000,-113500000,-52004000,-40057000,-897000,21000,-918000,-40954000,-40954000,16321000,-24633000,-24633000,-24633000,-24633000,388815000,59379000,329436000,119534237.216382,119534237.216382,263504000,29155000,29155000,681474000,58856000,503920000,65698000,181216000,562776000,1244250000,113217000,13421000,99796000,123197000,167126000,167126000,167126000,290323000,910651000,45906000,-2630000,953927000,953927000,1244250000,-24633000,5753000,28278000,-18668000,-9270000.00000001,-8092000,-4334955.8582512,-4334955.86738425,4084000.00000001,-1339000,8824000,8824000,-5468000,2961000,-7648000.00000001,-7648000.00000001,737000,-6911000,-34304000,0,-77385000,0.6149,-0.19635,-0.12074,-0.02582,-0.0198,3.14151999999998,5.53158,0.30435,0,-0.66804,-0.65393,5.53275,25.87034,-2.09867,-0.02197,-0.06903,11.33439,9.70654
"27","2022_Q2",158.668387096774,"Down",203895000,-76477000,127418000,-131464000,-110900000,-20564000,-4046000,-1058000,-47000,-1011000,-5104000,-5104000,5183000,79000,79000,79000,79000,240341000,68163000,172178000,143417000,143417000,274349000,32219000,32219000,690326000,60327000,550920000,70080000,226136000,611247000,1301573000,119670000,14137000,105533000,130099000,212172000,212172000,212172000,342271000,919289000,45985000,-5972000,959302000,959302000,1301573000,79000,5726000,4096000,-14415000,-4514000,-4957000,-4957000,-4957000,20668000,15711000,1102000,1102000,-3318000,-2641000,8556000,8556000,228000,8784000,1680000,0,-22875000,0.62492,-0.01984,0.00039,8e-05,6e-05,-289.55696,5.30616,0.35679,0,0.00211,0.00211,5.44429,25.61476,-0.6108,7e-05,-0.01953,-143.06012,59.40213
"28","2022_Q3",160.46171875,"Up",208344000,-74309000,134035000,-134174000,-114615000,-19559000,-139000,-1028000,-72000,-956000,-1167000,-1167000,-2520000,-3686999.99999999,-3686999.99999999,-3687000,-3687000,204369000,58234000,146135000,187389000,187389000,295883000,30320000,30320000,717961000,63458000,546481000,68404000,226136000,609939000,1327900000,134501000,23096000,111405000,145604000,212281000,212281000,212281000,357885000,937875000,42298000,-10158000,970015000,970015000,1327900000,-3686999.99999999,5929000,11666000,-53483000,-39575000,-4431000,-4431000,-4431000,25091000,20660000,11464000,11464000,-1900000,9131000,-9784000,-9784000,-145000,-9929000,5790000,0,-49604000,0.64334,-0.000670000000000007,-0.0177,-0.0038,-0.00278,13.45376,4.93092,0.36895,0,-0.09762,-0.09762,5.51649,25.68384,-1.3134,-0.00312,-0.04196,-35.29689,1470.28058
