"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",15.24921875,"Up",63695000,-52011000,11684000,-6822000,-6822000,4862000,-339000,-39000,-3e+05,4523000,4523000,-1701000,2822000,2822000,2822000,2822000,24726000,19489000,5237000,24257000,24257000,42177000,5753000,1655000,96913000,30055000,16829000,4172000,1195000,46884000,143797000,39438000,26220000,395000,12823000,46204000,5051000,856000,4195000,5627000,51831000,91966000,91966000,143797000,2822000,1338000,1268000,-2261000,3167000,-817000,-817000,596000,-221000,17000,-6696000,-3750000,-3750000,-225000,-3975000,6200000,7342000,4823000,0.18344,0.07633,0.0443,0.03069,0.01962,1.70907,2.0975,0.56359,0.05106,0.23332,0.22908,5.26623,7.60364,0.39876,0.08913,0.04622,-2.80387,-3.57548
"12","2014_Q1",15.6039344262295,"Up",70375000,-57527000,12848000,-6773000,-6773000,6075000,-212000,-50000,-162000,5863000,5863000,-2160000,3703000,3703000,3703000,3703000,28816000,23530000,5286000,23392000,23392000,38418000,10120000,2093000,100746000,30594000,13366000,753000,1151000,43960000,144706000,34696000,22582000,285000,11829000,41296000,7266000,3075000,4191000,7827000,49123000,95583000,95583000,144706000,3703000,1354000,2350000,-1149000,6258000,-1637000,-1637000,50000,-1587000,-999.999999999993,-533000,4138000,4138000,-97000,4041000,7429000,7161000,6803000,0.18256,0.08632,0.05262,0.03874,0.02559,1.83716,2.43961,0.51393,0.04949,0.30596,0.29865,5.81467,7.89746,0.56209,0.037,0.06184,-2.91493,-3.56461
"13","2014_Q2",14.3819047619048,"Down",70141000,-57067000,13074000,-7100000,-7100000,5974000,-439000,-48000,-391000,5535000,5535000,-2305000,3230000,3230000,3230000,3230000,27597000,21423000,6174000,24493000,24493000,41770000,11447000,3408000,105307000,30808000,14986000,651000,2873000,45794000,151101000,36845000,27821000,320000,8704000,43445000,8511000,4335000,4176000,9071000,52516000,98585000,98585000,151101000,3230000,1344000,1498000,-3397000,2675000,-780000,-884000,-1023000,-4443000,114000,-230000,-1998000,-1998000,-109000,-2107000,7318000,7160000,5446000,0.1864,0.08517,0.04605,0.03276,0.02138,1.68607,2.42392,0.5327,0.04739,0.26589,0.2612,5.77387,8.11533,0.4483,0.03255,0.04766,-2.7927,-3.42099
"14","2014_Q3",14.4290625,"Up",70589000,-58355000,12234000,-7199000,-7199000,5035000,-221000,4000,-225000,4814000,4814000,-1718000,3096000,3096000,3096000,3096000,30487000,24267000,6220000,24937000,24937000,44882000,10295000,2550000,110601000,30559000,15082000,661000,2959000,45641000,156242000,40585000,28609000,304000,11672000,44985000,9157000,5016000,4141000,9742000,54727000,101515000,101515000,156242000,3096000,1373000,1004000,1295000,6768000,-1007000,-1016000,-54000.0000000003,-1061000,-33000,-2674000,3033000,3033000,-189000,2844000,6408000,4985000,8414000,0.17331,0.07133,0.04386,0.0305,0.01982,2.7177,2.45862,0.5391,0.03191,0.25415,0.24936,5.79453,8.3332,0.69069,0.03101,0.07275,-3.97971,-5.06495
"15","2014_Q4",15.95875,"Up",72389000,-60552000,11837000,-7041000,-7041000,4796000,-222000,57000,-279000,4574000,4574000,3807000,8381000,8381000,8381000,8381000,30370000,23293000,7077000,26392000,26392000,43687000,10502000,2999000,110951000,30115000,15612000,1227000,2923000,45727000,156678000,37364000,25422000,130000,11812000,41764000,4898000,945000,3953000,5471000,47235000,109443000,109443000,156678000,8381000,1370000,-4104000,-4096000,1551000,-681000,-756000,-869000,-1550000,0,-613000,-612000,-612000,-362000,-974000,6166000,4973000,-2418000,0.16352,0.06625,0.11578,0.07658,0.05349,-0.28851,2.65662,0.43159,0.03174,0.68759,0.67409,5.93888,8.97883,-0.19838,0.07538,-0.02027,-4.11888,-5.29545
"16","2015_Q1",18.7698360655738,"Up",74043000,-62282000,11761000,-7317000,-7317000,4444000,-324000,42000,-366000,4120000,4120000,-1380000,2740000,2740000,2740000,2740000,35597000,29303000,6294000,27409000,27409000,40674000,8695000,2344000,112375000,31376000,16419000,2040000,2917000,48560000,160935000,36309000,26686000,442000,9181000,43353000,5252000,1013000,4239000,5838000,49191000,111744000,111744000,160935000,2740000,1394000,785000,4306000,9225000,-2383000,-2602000,781000,-2367000,-21000,-633000,6225000,6225000,-215000,6010000,5838000,4986000,9141000,0.15884,0.06002,0.03701,0.02452,0.01703,3.33613,2.59209,0.44021,0.03098,0.22479,0.22024,6.07458,9.16761,0.74994,0.02748,0.07494,-5.24341,-6.88816
"17","2015_Q2",22.8407936507936,"Up",76060000,-63345000,12715000,-7419000,-7419000,5296000,163000,74000,89000,5459000,5459000,-2115000,3344000,3344000,3344000,3344000,30976000,24665000,6311000,24239000,24239000,41688000,8647000,2308000,105550000,31891000,15022000,973000,2587000,48662000,154212000,31210000,24458000,387000,6365000,39242000,5254000,1013000,4241000,5823000,45065000,109147000,109147000,154212000,3344000,1446000,894000,-1633000,4051000,-1942000,-2333000,-27000,-2953000,99000,-5959000,-4861000,-4861000,223000,-4638000,6742000,4969000,5282000,0.16717,0.06963,0.04397,0.03064,0.02168,1.57955,2.68972,0.41288,0.03222,0.27383,0.26959,6.2283,8.93768,0.43253,0.07411,0.04425,-3.85746,-4.91069
"18","2015_Q3",26.626875,"Up",73991000,-61713000,12278000,-7379000,-7379000,4899000,-9000.00000000006,153000,-162000,4890000,4890000,-1888000,3002000,3002000,3002000,3002000,35271000,28953000,6318000,25045000,25045000,38228000,8494000,2303000,107038000,33204000,14509000,508000,2539000,49624000,156662000,33619000,25628000,268000,7723000,35819000,9169000,1395000,3980000,9169000,44988000,111674000,111674000,156662000,3002000,1460000,1144000,4881000,10487000,-2754000,-2754000,3e+05,-2616000,8999.99999999999,-3440000,4431000,4431000,-143000,4288000,6359000,2200000,10374000,0.16594,0.06621,0.04057,0.02688,0.01916,3.4557,2.9883,0.40285,0.01404,0.2457,0.24206,6.0559,9.14012,0.84908,0.02936,0.08431,-5.20066,-6.75056
"19","2015_Q4",23.97296875,"Down",81269000,-66867000,14402000,-8375000,-8375000,6027000,-106000,201000,-307000,5921000,5921000,-2110000,3811000,3811000,3811000,3811000,37156000,28772000,8384000,30774000,30774000,38013000,3096000,2992000,109039000,35269000,18987000,5020000,2505000,56319000,165358000,39695000,29416000,325000,9954000,41895000,8491000,927000,3630000,8491000,50386000,114972000,114972000,165358000,3811000,1478000,1528000,-656000,6161000,-2864000,-3098000,-2062000,-5078000,2000,-726000,357000,357000,-538000,-181000,7505000,2200000,6095000,0.17721,0.07416,0.04689,0.03315,0.02305,1.59932,2.60267,0.43825,0.0133,0.31192,0.30675,6.65158,9.41005,0.49885,0.03616,0.0485,-4.65769,-5.7999
"20","2016_Q1",21.0477049180328,"Down",78846000,-62674000,16172000,-9605000,-9605000,6567000,119000,130000,-11000,6686000,6686000,-1772000,4914000,4914000,4914000,4914000,39729000,29725000,10004000,28749000,28749000,42484000,2669000,2440000,113631000,36078000,19176000,5169000,2545000,57669000,171300000,40858000,29404000,325000,11129000,43058000,8815000,982000,3792000,8815000,51873000,119427000,119427000,171300000,4914000,1576000,128000,-1206000,5412000,-2174000,-2276000,-1636000,-4162000,-999.999999999942,-734000,516000,516000,437000,953000,8143000,2200000,6535000,0.20511,0.08329,0.06232,0.04115,0.02869,1.32987,2.63902,0.43435,0.01284,0.40213,0.39445,6.45221,9.77308,0.53478,0.04329,0.0501,-4.60874,-5.71479
"21","2016_Q2",23.16546875,"Up",80185000,-63983000,16202000,-8741000,-8741000,7461000,-53000,42000,-95000,7408000,7408000,-2707000,4701000,4701000,4701000,4701000,32269000,25933000,6336000,25707000,25707000,46544000,3644000,3502000,108164000,37480000,18343000,4406000,2475000,58716000,166880000,36969000,28846000,392000,7731000,39169000,8986000,1072000,3634000,8986000,48155000,118725000,118725000,166880000,4701000,1602000,1015000,-6263000,1055000,-3232000,-3336000,3579000,-131000,788000,-4832000,-3908000,-3908000,116000,-3792000,9063000,2200000,2275000,0.20206,0.09305,0.05863,0.0396,0.02817,0.48394,2.76147,0.4056,0.01318,0.38291,0.37741,6.53132,9.67052,0.18531,0.07988,0.01751,-3.31778,-4.03016
"22","2016_Q3",25.37171875,"Up",76956000,-61223000,15733000,-9434000,-9434000,6299000,-155000,70000,-225000,6144000,6144000,-2374000,3770000,3770000,3770000,3770000,37496000,31176000,6320000,23314000,23314000,46479000,2689000,2614000,109978000,38319000,17371000,3415000,2494000,58969000,168947000,36690000,26490000,305000,9895000,36690000,9282000,1206000,3655000,9282000,45972000,122975000,122975000,168947000,3770000,1668000,2285000,2426000,10149000,-1798000,-1919000,-12999.9999999986,-2197000,7000.00000000012,-2864000,5088000,5088000,155000,5243000,7967000,0,10969000,0.20444,0.08185,0.04899,0.03066,0.02231,2.90955,2.99749,0.37383,0,0.30544,0.30146,6.23479,9.96314,0.88868,0.03411,0.08294,-4.70641,-5.95269
"23","2016_Q4",27.8212698412698,"Up",78466000,-61903000,16563000,-9337000,-9337000,7226000,-47000,38000,-85000,7179000,7179000,-2317000,4862000,4862000,4862000,4862000,35972000,31713000,4259000,26784000,26784000,48485000,2354000,2331000,113595000,38157000,18209000,4312000,2435000,59956000,173551000,39293000,25981000,622000,12690000,39293000,9184000,1209000,3480000,9184000,48477000,125074000,125074000,173551000,4862000,1741000,-276000,-1655000,4672000,-2426000,-2431000,1942000,-888000,-16000,-3265000,519000,519000,18000,537000,8967000,0,7203000,0.21109,0.09209,0.06196,0.03887,0.02801,1.48149,2.89097,0.38759,0,0.39429,0.3889,6.36331,10.14305,0.58414,0.04265,0.05365,-4.0116,-4.97813
"24","2017_Q1",28.4475806451613,"Up",77253000,-60640000,16613000,-9261000,-9261000,7352000,-185000,26000,-211000,7167000,7167000,-3565000,3602000,3602000,3602000,3602000,42146000,37787000,4359000,23481000,23481000,46531000,2632000,2477000,114790000,39973000,16354000,2319000,2573000,60352000,175142000,36320000,24218000,180000,11922000,36320000,10010000,1483000,3841000,10010000,46330000,128812000,128812000,175142000,3602000,1830000,3962000,3113000,12507000,-3786000,-3789000,-18000,-4185000,-1660000,-2457000,5865000,5865000,209000,6074000,9182000,0,12074000,0.21505,0.09517,0.04663,0.02796,0.02057,3.35203,3.16052,0.35967,0,0.29387,0.28964,6.30277,10.50926,0.98507,0.03213,0.08697,-4.59007,-5.73259
"25","2017_Q2",27.9547619047619,"Down",80682000,-62263000,18419000,-9746000,-9746000,8673000,-127000,25000,-152000,8546000,8546000,-3233000,5313000,5313000,5313000,5313000,47983000,45549000,2434000,22690000,22690000,48131000,2294000,2294000,121098000,41745000,15906000,1942000,2502000,62262000,183360000,34583000,27335000,358000,6890000,34583000,10342000,1532000,3779000,17342000,51925000,131435000,131435000,183360000,5313000,1813000,1313000,-2240000,6199000,-3139000,-3139000,1979000,-1719000,-280000,3286000,7766000,7766000,-4000,7762000,10486000,7e+06,8340000,0.22829,0.1075,0.06585,0.04042,0.02898,1.56973,3.50166,0.39506,0.03818,0.43244,0.4263,6.56699,10.69795,0.67882,0.05887,0.05606,-3.90835,-4.72535
"26","2017_Q3",26.3712698412698,"Down",75344000,-58442000,16902000,-9602000,-9602000,7300000,-140000,15000,-155000,7160000,7160000,-2684000,4476000,4476000,4476000,4476000,16340000,13910000,2430000,19039000,19039000,45954000,1675000,1675000,83008000,45537000,14538000,581000,2495000,96119000,179127000,32574000,23183000,513000,8878000,32574000,10604000,1699000,3734000,10604000,43178000,135949000,135949000,179127000,4476000,1778000,2433000,2163000,10850000,-3169000,-3169000,-2000,-34591000,-2000.00000000023,-7864000,-31605000,-31605000,-34000,-31639000,9078000,0,10756000,0.22433,0.09689,0.05941,0.03292,0.02499,2.40304,2.54829,0.3176,0,0.36367,0.35731,6.12155,11.04558,0.8739,0.03642,0.07339,-1.79996,-2.23836
"27","2017_Q4",27.5157142857143,"Up",76168000,-59410000,16758000,-9823000,-9823000,6935000,55000,124000,-69000,6990000,6990000,-643000,6347000,6347000,6347000,6347000,18069000,15659000,2410000,22726000,22726000,46193000,2514000,2514000,89502000,50333000,14901000,422000,2417000,101554000,191056000,37966000,27238000,217000,10511000,37966000,10776000,2924000,2525000,10776000,48742000,142314000,142314000,191056000,6347000,1875000,2329000,-2888000,7663000,-2865000,-2945000,-3000,-3970000,-1050000,-2009000,1684000,1684000,65000,1749000,8810000,0,3700000,0.22001,0.09105,0.08333,0.0446,0.03322,0.58295,2.35743,0.3425,0,0.51551,0.50529,6.18648,11.55897,0.30052,0.04789,0.02417,-2.05096,-2.60548
"28","2018_Q1",26.7573770491803,"Down",77350000,-60194000,17156000,-9986000,-9986000,7170000,-170000,135000,-305000,7e+06,7e+06,-779000,6198000,6198000,6198000,6198000,23238000,20795000,2443000,24577000,24577000,51482000,2894000,2894000,102191000,51651000,15381000,419000,2394000,103443000,205634000,46102000,33868000,287000,11947000,46102000,10902000,3593000,1789000,10902000,57004000,148630000,148630000,205634000,6198000,1863000,1932000,-638000,9355000,-2544000,-2605000,-35999.9999999999,-2999000,-149000,-1137000,5219000,5219000,-83000,5136000,9033000,4.65661287307739e-10,6630000,0.2218,0.0927,0.08013,0.0417,0.03014,1.0697,2.21663,0.38353,-1.73472347597681e-18,0.50219,0.49501,6.26722,12.04262,0.53719,0.04504,0.04156,-2.57257,-3.241
"29","2018_Q2",26.15578125,"Down",79533000,-63068000,16465000,-9501000,-9501000,6964000,-222000,131000,-353000,6742000,6742000,-1640000,4984000,4984000,4984000,4984000,20791000,18322000,2469000,22140000,22140000,55227000,3441000,3441000,101599000,52912000,15772000,436000,2397000,106305000,207904000,41718000,34759000,884000,6075000,41718000,11509000,4253000,487000,16509000,58227000,149677000,149677000,207904000,4984000,1889000,1553000,-6022000,2404000,-2260000,-2260000,-12000,-3979000,-2385000,-988000,-2563000,-2563000,90000,-2473000,8853000,5e+06,2211000,0.20702,0.08756,0.06267,0.0333,0.02397,0.44362,2.43538,0.38902,0.02405,0.40197,0.39587,6.41447,12.0717,0.17832,0.0517,0.0133,-1.78369,-2.26752
"30","2018_Q3",22.0414285714286,"Down",80697000,-64894000,15803000,-9415000,-9415000,6388000,-230000,91000,-321000,6158000,6158000,-2108000,3975000,3975000,3975000,3975000,22232000,15739000,6493000,24220000,24220000,50209000,2263000,2263000,98924000,52530000,15815000,491000,912000,102119000,201043000,35865000,27809000,692000,7364000,35865000,12098000,4641000,487000,12098000,47963000,153080000,153080000,201043000,3975000,1990000,1216000,593000,7774000,-2712000,-2718000,-12000,-3029000,-1262000,-7257000,-2512000,-2512000,-71000,-2583000,8378000,1.86264514923096e-09,8367000,0.19583,0.07916,0.04926,0.02597,0.01977,2.10491,2.75823,0.31332,0,0.31951,0.31458,6.48638,12.30448,0.67253,0.03009,0.05065,-2.65362,-3.48028
"31","2018_Q4",19.1873015873016,"Down",85311000,-67706000,17605000,-9960000,-9960000,7645000,-129000,1e+05,-229000,7516000,7516000,-8208000,-748000,-748000,-748000,-748000,42106000,22428000,19678000,26097000,26097000,55651000,3114000,3114000,126968000,51838000,17237000,1942000,918000,89876000,216844000,44410000,33988000,1580000,8842000,44410000,20252000,2096000,10940000,20252000,64662000,152182000,152182000,216844000,-748000,2048000,-2985000,12976000,11291000,-1679000,-1679000,-31000,-2001000,-1633000,-2646000,6644000,6644000,45000,6689000,9693000,0,29198000,0.20636,0.08961,-0.00877,-0.00492,-0.00345,-39.03476,2.859,0.4249,0,-0.06015,-0.05912,6.86055,12.2382,2.34805,0.00215,0.16933,-4.34396,-5.50765
"32","2019_Q1",16.5896721311475,"Down",78184000,-63424000,14760000,-8296000,-8296000,6464000,3000,118000,-115000,6467000,6467000,6216000,12666000,12666000,12666000,12666000,49438000,21228000,28210000,26307000,26307000,53454000,2870000,2870000,132069000,51794000,21760000,1458000,957000,85915000,217984000,39775000,29013000,1437000,9325000,40584000,14024000,2150000,3758000,14024000,54608000,163376000,163376000,217984000,12666000,2096000,278000,-9035999.99999999,6004000,-1348000,-1348000,-11999.9999999999,-6104000,2.3283064365387e-10,-1121000,-1221000,-1221000,21000,-1200000,8560000,0,-8040000,0.18879,0.08268,0.162,0.07753,0.05811,-0.634769999999996,3.25421,0.33425,-1.73472347597681e-18,1.01743,1.00095,6.28034,13.12362,-0.64584,0.07772,-0.04532,-5.77547,-7.64821
"33","2019_Q2",17.0784126984127,"Up",71473000,-60914000,10559000,-8033000,-8033000,2526000,-127000,130000,-257000,2399000,1948000,-906000,965000,965000,957000,957000,39349000,8593000,30756000,23225000,23225000,54989000,3852000,3852000,121415000,53178000,44108000,3721000,910000,104957000,226372000,35797000,25932000,1244000,8621000,36431000,19911000,2150000,9333000,23911000,60342000,161490000,166030000,226372000,965000,2160000,-2649000,-2412000,-1936000,-757000,-757000,2448000,-10682000,-2704000,97000,-12521000,-12521000,-114000,-12635000,4686000,4e+06,2423000,0.14773,0.03534,0.01339,0.00576,0.00423,2.53187,3.33274,0.36344,0.01767,0.0765,0.07595,5.71327,12.90887,0.19369,0.01097,0.01276,-7.54353,-13.99406
