"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","total_realized_investment_gains","other_realized_investment_gains","other_income","total_claims_losses","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_investments","fixed_income_trading_afs_short_term_inv","equity_securities","other_investments","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","property_plant_equipment_net","other_assets","total_assets","insurance_reserves","reserve_for_outstanding_claims_losses","premium_reserve_unearned","other_insurance_reserves","short_term_debt","other_short_term_liabilities","long_term_debt","other_long_term_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_change_in_investments","increase_in_investments","decrease_in_investments","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",51.2395161290323,"Up",15353100000,14037100000,168600000,1147400000,50800000,54600000,1096600000,-11984800000,-2145100000,1223200000,-197500000,-133600000,1025700000,1025700000,-334500000,691200000,691200000,691200000,691200000,22747600000,18729600000,1216800000,2801200000,2442100000,3645700000,1536500000,2.5446e+10,55817900000,9359900000,7.813e+09,823700000,723200000,1.92e+08,3487600000,13395900000,5.566e+09,32001400000,10872800000,3100000,10869700000,12556800000,386900000,23816500000,23816500000,55817900000,691200000,186900000,-843500000,52200000,167700000,-1063400000,205600000,240200000,-200200000,-2.07e+08,-4080100000,413600000,-4493700000,2962400000,-1317900000,-90700000,2444800000,32600000,2412200000,-800100000,-652200000,3e+06,-655200000,-135600000,1566300000,488600000,488600000,4e+05,4.89e+08,1410100000,13587900000,1.75e+09,0.07967,0.04502,0.02902,0.01238,2.53183,1.34367,0.24343,2.16745,2.14725,48.14393,74.68329,5.48761,0.28442,0.01494,0.03344,0.13122,7.90426,9.112
"12","2013_Q1",55.3105,"Up",15321600000,14160100000,179100000,982400000,85700000,102900000,896700000,-12363800000,-2281200000,676600000,-202400000,-151500000,474200000,474200000,-14500000,459700000,464200000,464200000,464200000,21481500000,17344400000,1242500000,2894600000,2475300000,3687400000,1717300000,29593900000,58955400000,10229100000,8581500000,896800000,750800000,2.5e+08,3732700000,14727900000,6.213e+09,35152700000,10856500000,3e+06,10853500000,12647100000,299100000,23802700000,23802700000,58955400000,464200000,193100000,-208600000,22800000,-127800000,-103600000,311100000,759800000,-309700000,-319800000,-2675200000,4.46e+08,-3121200000,1718400000,-1266500000,-87100000,1332500000,-201100000,1533600000,-1e+05,-643900000,24100000,-6.68e+08,-53700000,547800000,41100000,41100000,1400000,42500000,869700000,14977900000,885600000,0.04416,0.0303,0.0195,0.00787,1.9078,1.47684,0.25405,1.52497,1.51156,50.33377,78.19547,2.90933,0.28614,0.00998,0.01604,0.18763,14.37576,18.47857
"13","2013_Q2",65.54640625,"Up",1.7576e+10,16435600000,1.62e+08,978400000,-21100000,16800000,999500000,-13748700000,-2329100000,1498200000,-215700000,-153500000,1282500000,1282500000,-410200000,872300000,885200000,885200000,885200000,22678400000,18287700000,1385600000,3005100000,1665300000,4098900000,1738100000,29227900000,59408600000,10268900000,8632400000,865700000,770800000,3.5e+08,3934600000,14429400000,6107700000,35090600000,10700400000,3e+06,10697400000,13275100000,342500000,2.4318e+10,2.4318e+10,59408600000,885200000,2.12e+08,218200000,21500000,9100000,187600000,-358500000,956900000,-227400000,-2.35e+08,-3406500000,461600000,-3868100000,2438300000,-1195600000,-113400000,-196600000,360300000,-556900000,-556900000,-316500000,23700000,-340200000,47400000,-579100000,-817800000,-817800000,-1500000,-819300000,1710200000,14779400000,1534500000,0.08524,0.05036,0.0364,0.0149,1.73351,1.44299,0.24878,2.91953,2.89376,57.96834,80.20449,5.06102,0.37401,0.018,0.02766,0.12811,7.66817,8.75324
"14","2013_Q3",75.41296875,"Up",17690300000,1.6493e+10,153200000,1044100000,45200000,54200000,998900000,-13832600000,-2435600000,1422100000,-2.14e+08,-151900000,1208100000,1208100000,-408800000,799300000,800100000,800100000,800100000,22770700000,18139800000,1440300000,3190600000,1347300000,4.33e+09,1769500000,29394800000,59612300000,10017200000,8.506e+09,823600000,687600000,3.5e+08,4.11e+09,14491100000,6111500000,35079800000,10741800000,3e+06,10738800000,13817900000,-27200000,24532500000,24532500000,59612300000,800100000,2.28e+08,-206300000,41600000,5300000,-253200000,-396600000,425200000,-163900000,-178900000,-2.538e+09,270900000,-2808900000,1834100000,-867800000,-112700000,90700000,90700000,0,0,-145700000,129600000,-275300000,291600000,123900000,-318700000,-318700000,7e+05,-3.18e+08,1650100000,14841100000,1498400000,0.08039,0.04523,0.03261,0.01342,1.87277,1.42993,0.24896,2.67234,2.63972,59.08584,81.93888,5.00468,0.37642,0.01645,0.027,0.14086,8.17756,9.48864
"15","2013_Q4",78.525,"Up",17855500000,16580900000,167600000,1.107e+09,69200000,95400000,1037800000,-1.4075e+10,-2542700000,1237800000,-212800000,-151500000,1.025e+09,879700000,-225900000,653800000,656200000,656200000,656200000,22878700000,17975800000,1515200000,3387700000,2185700000,4.014e+09,1806500000,29378600000,60263500000,10141700000,8500100000,939700000,701900000,3.5e+08,4423700000,14514100000,6025900000,35455400000,10772400000,3e+06,10769400000,14040500000,-4800000,24808100000,24808100000,60263500000,656200000,231100000,2.78e+08,40600000,-26400000,263800000,232100000,1397400000,-171700000,-202100000,-3.949e+09,292900000,-4241900000,4097300000,-23400000,-111400000,-121900000,-126900000,5e+06,-1.245e+09,-333300000,221600000,-554900000,29800000,-536800000,837200000,837200000,1200000,838400000,1468900000,14864100000,1755200000,0.06932,0.03675,0.02645,0.01089,2.67479,1.42919,0.24665,2.20646,2.15501,60.03867,83.41661,5.90182,0.37458,0.01375,0.03143,0.16977,8.63122,10.24269
"16","2014_Q1",80.2870491803279,"Up",17901700000,16609600000,176300000,1115800000,79700000,105500000,1036100000,-14580800000,-2645500000,675400000,-205500000,-145800000,469900000,469900000,-1.61e+08,308900000,148200000,148200000,148200000,22846900000,17488100000,1766800000,3.592e+09,1582100000,3968700000,1801500000,29375300000,59574500000,9809200000,8263500000,822700000,7.23e+08,4e+08,4491200000,14091600000,6017300000,34809300000,10768100000,2900000,10765200000,13813900000,183200000,24765200000,24765200000,59574500000,148200000,237700000,331300000,42300000,71100000,217900000,-444400000,272800000,-168700000,-2.82e+08,-2073500000,-8900000,-2064600000,2094600000,-147600000,-110500000,-365800000,-365800000,0,0,-299900000,149800000,-449700000,50400000,-725800000,-600600000,-600600000,1800000,-598800000,913100000,14491600000,4.61e+08,0.03773,0.00828,0.00598,0.00249,3.11066,1.40557,0.24325,0.50408,0.49122,60.89014,84.23537,1.56803,0.37585,0.0047,0.00837,0.74561,14.1381,19.11386
"17","2014_Q2",91.8742857142857,"Up",17859400000,1.6517e+10,183700000,1158700000,30900000,41700000,1127800000,-13664600000,-2861500000,1333300000,-200200000,-146200000,1133100000,1130100000,-438700000,691400000,7.01e+08,7.01e+08,7.01e+08,24679600000,18506400000,1994500000,4178700000,1971200000,4457500000,1811700000,28765500000,61685500000,10605100000,8793200000,1.073e+09,738900000,5.9e+08,5712900000,14450800000,5981400000,37340200000,10006400000,2900000,10003500000,14011500000,327400000,24345300000,24345300000,61685500000,7.01e+08,216700000,516900000,38800000,85200000,392900000,-47100000,1387500000,-145500000,-171100000,-2998800000,55700000,-3054500000,2.4e+09,-744300000,-123400000,545200000,569400000,-24200000,-24200000,-1132700000,130100000,-1262800000,452300000,-258600000,384600000,384600000,-3e+05,384300000,1.55e+09,15040800000,1796100000,0.07466,0.03925,0.02879,0.01136,2.5622,1.53377,0.24383,2.46051,2.39576,62.68656,85.45209,6.30432,0.43313,0.01473,0.03209,0.17603,8.432,9.80245
"18","2014_Q3",102.67984375,"Up",18473400000,17068900000,188500000,1.216e+09,54900000,65800000,1161100000,-14121300000,-2885800000,1466300000,-199600000,-145600000,1266700000,1263700000,-532600000,731100000,731100000,731100000,731100000,25736800000,18836100000,1919100000,4981600000,1784600000,4547200000,1829200000,28405800000,62303600000,10793200000,9196700000,953500000,6.43e+08,2.5e+08,6364800000,14547200000,5971500000,37926700000,10157500000,2700000,10154800000,13744400000,4.75e+08,24376900000,24376900000,62303600000,731100000,218100000,-19100000.0000001,50100000,-36500000,-32700000,140900000,1.071e+09,-171800000,-1.82e+08,-1952800000,230600000,-2183400000,1341600000,-7.83e+08,-120500000,-252400000,-231500000,-20900000,-20899999.9999999,-7.62e+08,52400000,-814400000,660800000,-474100000,-186100000,-186100000,-5e+05,-186600000,1684400000,14797200000,2186100000,0.07937,0.03958,0.02999,0.01173,2.99015,1.55585,0.2375,2.64126,2.55629,66.73916,88.06684,7.89776,0.43533,0.01522,0.03908,0.16482,7.72536,8.87445
"19","2014_Q4",111.03421875,"Up",1.8557e+10,1.7226e+10,174400000,1156600000,11900000,25700000,1144700000,-14211100000,-2968300000,1377600000,-215600000,-155300000,1.162e+09,1087200000,-456300000,630900000,630900000,630900000,630900000,25756100000,1.8786e+10,1.88e+09,5090100000,1717900000,4438100000,1848900000,28297200000,62058200000,11120200000,9.461e+09,1003500000,655700000,1e+08,5301900000,15163300000,6078800000,37764200000,10097100000,2700000,10094400000,13863800000,333100000,2.4294e+10,2.4294e+10,62058200000,630900000,208100000,-153600000,36800000,59400000,-249800000,-79700000,605700000,-155800000,-196400000,-1690200000,199900000,-1890100000,1738300000,-107700000,-119200000,422900000,-591400000,1014300000,-1685700000,-492700000,85900000,-578600000,-371900000,-560900000,-62900000,-62900000,-3800000,-66700000,1585700000,15263300000,1806500000,0.07424,0.034,0.02597,0.01017,2.86337,1.55447,0.24595,2.31099,2.2207,67.97436,88.98901,6.61722,0.43663,0.01322,0.03183,0.18894,8.54222,9.83261
"20","2015_Q1",128.403278688525,"Up",18984300000,17577900000,177800000,1228600000,30300000,43800000,1198300000,-14857900000,-3032800000,1093600000,-206200000,-153600000,887400000,887100000,-380400000,506700000,506700000,506700000,506700000,25258200000,17971800000,1938100000,5348300000,2151700000,4825500000,1944300000,27496600000,61676300000,11305200000,9555800000,1078100000,671300000,4e+08,5233300000,14643900000,5842600000,3.7425e+10,1.0065e+10,2700000,10062300000,14014400000,171900000,24251300000,24251300000,61676300000,506700000,208100000,-112400000,43200000,-77400000,-78200000,-297300000,305100000,-234500000,-370800000,-1818400000,-79500000,-1738900000,2.713e+09,660100000,-117600000,-1.25e+08,-125700000,7e+05,700000.000000238,-310100000,32900000,-3.43e+08,23799999.9999999,-528900000,436300000,436300000,-2500000,433800000,1301700000,15043900000,1150300000,0.05761,0.02669,0.02089,0.00822,2.27018,1.54322,0.24392,1.88434,1.80384,70.59985,90.18706,4.2778,0.43734,0.01106,0.02038,0.23209,9.90413,11.78877
"21","2015_Q2",144.674285714286,"Up",19051500000,17610500000,167600000,1273400000,32500000,46500000,1240900000,-14126900000,-3145200000,1779400000,-206900000,-154400000,1572500000,1569100000,-703900000,865200000,865200000,865200000,865200000,2.7786e+10,1.9334e+10,2134900000,6317100000,1.397e+09,4964600000,1915900000,29482500000,6.5546e+10,11792300000,10027700000,1079800000,684800000,4.5e+08,6951200000,15389400000,6628800000,41211700000,9946300000,2600000,9943700000,14150100000,237900000,24334300000,24334300000,6.5546e+10,865200000,214300000,417700000,27100000,70600000,3.2e+08,153300000,1650500000,-121900000,-136900000,-3478900000,-781100000,-2697800000,889200000,-2711600000,-166600000,672400000,688800000,-16400000,-16400000,-664800000,109300000,-774100000,470900000,311900000,-749200000,-749200000,-5500000,-754700000,1993700000,15839400000,2.729e+09,0.0934,0.04541,0.03555,0.0132,3.15418,1.69356,0.24165,3.24531,3.08559,71.46099,91.27644,10.23631,0.62491,0.01761,0.04657,0.19256,7.24402,8.11644
"22","2015_Q3",136.61015625,"Down",20015500000,18516300000,186700000,1312500000,70500000,92300000,1.242e+09,-15205400000,-3040800000,1769300000,-214200000,-154100000,1555100000,1.558e+09,-698900000,859100000,859100000,859100000,859100000,26500300000,18850200000,1737100000,5.913e+09,1.553e+09,4940800000,1931400000,29338300000,64263800000,11545100000,9.987e+09,950500000,607600000,5.4e+08,6324500000,16093300000,6698300000,41201200000,8.71e+09,2600000,8707400000,14352200000,400000.00000003,23062600000,23062600000,64263800000,859100000,491500000,-79800000,41500000,-23100000,-98199999.9999999,-97800000,1.173e+09,-230600000,-253900000,-1690400000,56499999.9999999,-1746900000,2605900000,684899999.999999,-163900000,-536300000,148600000,-684900000,-1913600000,-590600000,45900000,-636500000,-412200000,-1.703e+09,154900000,154900000,1100000,1.56e+08,2260800000,16633300000,2631300000,0.0884,0.04292,0.03725,0.01337,3.06286,1.78649,0.25883,3.2653,3.13197,76.07564,87.65716,10.00114,0.62296,0.01766,0.04541,0.19078,6.67034,8.52331
"23","2015_Q4",125.8103125,"Down",19901600000,1.8513e+10,161200000,1227400000,-3.1e+07,-11900000,1258400000,-15469100000,-3080400000,1352100000,-224800000,-164800000,1127300000,1129600000,-474800000,654800000,654800000,654800000,654800000,25544900000,18467400000,1546200000,5531300000,1547800000,4401400000,1930800000,28910700000,62335600000,11233500000,9672400000,945100000,6.16e+08,5.4e+08,4925500000,15719600000,6680900000,39099500000,8690500000,2600000,8687900000,14761800000,-216200000,23236100000,23236100000,62335600000,654800000,-29200000,-517500000,42400000,-60300000,-499600000,235300000,343400000,-211500000,-268100000,-1965500000,275200000,-2240700000,2421500000,244500000,-1.63e+08,-190300000,268400000,-458700000,-456500000,-90500000,14700000,-105200000,-150100000,-593900000,-6e+06,-6e+06,8e+05,-5200000,1322900000,16259600000,1821500000,0.06794,0.0329,0.02818,0.0105,2.78177,1.6827,0.26084,2.50593,2.43239,76.1638,88.92499,6.97091,0.6238,0.01424,0.03173,0.24893,11.12087,10.8807
"24","2016_Q1",122.603770491803,"Down",20187900000,18745300000,162100000,1280500000,2100000.00000001,30600000,1278400000,-16315500000,-3268400000,6.04e+08,-237200000,-179700000,366800000,374300000,-193400000,180900000,180900000,180900000,180900000,2.4733e+10,17478200000,1472800000,5.782e+09,2113500000,4602800000,2019800000,28248700000,61717800000,11675400000,9898200000,1145500000,631700000,5.4e+08,4692800000,15324500000,6.441e+09,38673700000,8558200000,2600000,8555600000,14778500000,-292600000,23044100000,23044100000,61717800000,180900000,231300000,-48500000,37200000,-53100000,-32599999.9999999,585400000,949100000,-458800000,-485100000,-1433900000,201600000,-1635500000,2523400000,630700000,-163100000,-594300000,-283600000,-310700000,-310700000,16100000,16100000,-2.98023223876953e-08,-271100000,-1012400000,567400000,567400000,-1700000,565700000,835300000,15864500000,1155300000,0.02992,0.00896,0.00785,0.00293,6.3864,1.67825,0.25705,0.6931,0.67576,77.34828,88.29157,4.42644,0.6249,0.00603,0.02026,0.9016,16.46235,22.76656
