"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",7.36296875,"Down",505400000,-4.49e+08,56400000,-41300000,-41300000,15100000,-13600000,-13300000,-3e+05,1500000,-1883348.2251141,1500000,-5e+05,1e+06,1e+06,0,0,9.3e+07,9.3e+07,223300000,223300000,235700000,21800000,20800000,573800000,486800000,439500000,305600000,129700000,926300000,1500100000,238400000,238400000,2e+06,240400000,601400000,53500000,38400000,15100000,654900000,895300000,438900000,180400000,-24400000,594900000,604800000,1500100000,1e+06,24700000,1700000,-8.6e+07,-58600000,-20100000,-19700000,-5e+05,-2900000,-2100000,-5500000,-83800000,-83800000,-2600000,-86400000,39800000,603400000,-65800000,0.11159,0.02988,0,0,0,27.767897508857,2.38686,1.48032,0.40224,0,0,5.2993,6.23775,-0.68994,0,-0.05215,12.82412,33.80132
"12","2013_Q3",6.74046875,"Down",563800000,-487200000,76600000,-41700000,-41700000,34900000,-12800000,-12800000,2.3283064365387e-10,22100000,-2300000,19800000,-1700000,18100000,18100000,16500000,16500000,66800000,66800000,266700000,266700000,2.4e+08,23500000,22700000,5.97e+08,492200000,456900000,313600000,139400000,949100000,1546100000,264600000,264600000,2600000,267200000,602100000,68200000,44400000,23800000,670300000,937500000,437800000,188700000,-28800000,597700000,608600000,1546100000,18100000,24900000,4400000,-13299999.9999999,34100000,-16300000,-22800000,-19100000,-5500000,-7e+05,-36500000,-25200000,-25200000,-1e+06,-26200000,59800000,604700000,31900000,0.13586,0.0619,0.02927,0.02711,0.01067,1.93333,2.23428,1.54042,0.39111,0.17339,0.17135,5.92482,6.28107,0.33523,0.02162,0.02489,8.99498,15.41261
"13","2013_Q4",6.7821875,"Up",543200000,-478200000,6.5e+07,-37900000,-37900000,27100000,-12600000,-13300000,7e+05,14500000,-1100000,13400000,-1e+05,13300000,13300000,1.2e+07,1.2e+07,125800000,125800000,254600000,254600000,215400000,23800000,23100000,619600000,490100000,450700000,303600000,140400000,940800000,1560400000,259700000,259700000,3900000,263600000,602400000,71800000,48100000,23700000,674200000,937800000,436600000,1.93e+08,-1.7e+07,612600000,622600000,1560400000,13300000,25100000,3200000,45800000,87400000,-12100000,-16800000,-6e+05,-4500000,-2300000,-12900000,57700000,57700000,1300000,5.9e+07,52200000,606300000,8.6e+07,0.11966,0.04989,0.02209,0.01927,0.00769,7.16667,2.35053,1.50626,0.38855,0.12734,0.12609,5.76425,6.5007,0.9126,0.01345,0.06612,9.20498,17.73063
"14","2014_Q1",6.63180327868852,"Down",481600000,-404200000,77400000,-59400000,-59400000,1.8e+07,-25400000,-12200000,-13200000,-7400000,-3500000,-10900000,5e+05,-10400000,-10400000,-11500000,-11500000,47200000,47200000,203300000,203300000,233100000,20400000,19300000,5.04e+08,480500000,439200000,296200000,139200000,919700000,1423700000,297700000,297700000,54700000,352400000,403500000,63400000,41100000,22300000,466900000,819300000,436900000,174800000,-16800000,594900000,604400000,1423700000,-10400000,25900000,4700000,71800000,9.2e+07,-12500000,-12300000,-150800000,-1e+05,-2300000,-158400000,-78700000,-78700000,1e+05,-78600000,43900000,458200000,102700000,0.16071,0.03738,-0.02388,-0.01903,-0.00808,-8.93043,1.43019,1.35556,0.32184,-0.12204,-0.12071,5.11068,6.31301,1.08984,-0.0056,0.09121,9.36219,22.83333
"15","2014_Q2",6.30984126984127,"Down",475100000,-418900000,56200000,-46900000,-46900000,9300000,-7500000,-9800000,2300000,1800000,-5e+06,-3200000,5e+05,-2700000,-2700000,-4100000,-4100000,40600000,40600000,237900000,237900000,2.49e+08,20200000,19100000,547700000,472600000,433900000,292100000,136500000,906500000,1454200000,273800000,273800000,134800000,408600000,387800000,62600000,41800000,20800000,450400000,8.59e+08,437800000,167300000,-18500000,586600000,595200000,1454200000,-2700000,25100000,3e+06,-77900000,-52500000,-10300000,-10300000,63900000,-4e+05,-2300000,56100000,-6700000,-6700000,1e+05,-6600000,34400000,522600000,-54300000,0.11829,0.01957,-0.00863,-0.00689,-0.00282,13.2439,1.34043,1.44321,0.35937,-0.04347,-0.04347,5.03716,6.21932,-0.57571,0.00085,-0.046,14.01163,51.82796
"16","2014_Q3",6.15625,"Down",549200000,-470200000,7.9e+07,-50700000,-50700000,28300000,-28200000,-8400000,-19800000,99999.9999999991,-2100000,-2e+06,-2500000,-4500000,-4500000,-5900000,-5900000,90900000,90900000,2.85e+08,2.85e+08,251400000,24400000,23400000,651700000,479200000,576200000,379200000,191100000,1055400000,1707100000,356900000,356900000,119200000,476100000,536500000,103900000,62300000,41600000,640400000,1116500000,438700000,154500000,-10100000,583100000,590600000,1707100000,-4500000,25800000,8e+06,199999.999999985,29500000,-13100000,-93900000,132400000,-2700000,-10400000,113600000,49200000,49200000,1100000,50300000,54100000,655700000,43700000,0.14385,0.05153,-0.01074,-0.00999,-0.00346,-7.40678,1.36883,1.89045,0.3841,-0.06261,-0.06261,5.82811,6.18785,0.46374,-0.00015,0.03237,10.43993,19.9576
"17","2014_Q4",5.62125,"Down",5.35e+08,-465500000,69500000,-49900000,-49900000,19600000,-14400000,-9e+06,-5400000,5200000,-8e+05,4400000,-1800000,2600000,2600000,1300000,1300000,47400000,47400000,250200000,250200000,230900000,25100000,24100000,553600000,462500000,557400000,364600000,187100000,1019900000,1573500000,297500000,297500000,73400000,370900000,535500000,101900000,63100000,38800000,637400000,1008300000,437300000,147400000,-2.6e+07,558700000,565200000,1573500000,2600000,26800000,5400000,25700000,60500000,-10700000,-10700000,-4.5e+07,-4600000,-3.6e+07,-91200000,-41400000,-41400000,-2100000,-43500000,46400000,608900000,63200000,0.12991,0.03664,0.00243,0.0023,0.00083,48.61538,1.49259,1.78397,0.38697,0.01389,0.01389,5.71538,5.96857,0.67516,0.00541,0.04953,12.10129,28.64796
"18","2015_Q1",7.21819672131148,"Up",543500000,-471700000,71800000,-66200000,-66200000,5600000,-10600000,-12500000,1900000,-5e+06,-39200000,-44200000,65200000,2.1e+07,2.1e+07,19500000,18700000,86200000,86200000,305700000,305700000,262400000,49200000,47600000,703500000,864500000,1505200000,7.58e+08,743600000,2369700000,3073200000,4.2e+08,4.2e+08,2.33e+08,6.53e+08,1541300000,181200000,109400000,71800000,1722500000,2375500000,583700000,158100000,-5.1e+07,690800000,697700000,3073200000,2.1e+07,3.3e+07,-66500000,31700000,19200000,-17700000,-735400000,784500000,-4400000,-16500000,757200000,4.1e+07,4.1e+07,-2200000,38800000,38600000,1774300000,-12600000,0.13211,0.0103,0.03441,0.0268,0.00608,-0.6738,1.07734,3.40476,0.57735,0.20119,0.18434,5.84729,7.43203,-0.13556,0.00946,-0.00475,43.73316,301.44643
"19","2015_Q2",8.32857142857143,"Up",709800000,-508500000,201300000,-188500000,-188500000,12800000,-17300000,-27700000,10400000,-4500000,-6100000,-10600000,9400000,-1200000,-1200000,-2500000,-6e+06,34500000,34500000,340600000,340600000,270500000,35700000,34500000,681300000,845200000,1507100000,762900000,742400000,2352300000,3033600000,4.22e+08,4.22e+08,225100000,647100000,1552500000,172400000,105300000,67100000,1724900000,2.372e+09,585600000,146600000,-76800000,655400000,661600000,3033600000,-1200000,57400000,-18300000,-3.9e+07,-1100000,-2.9e+07,-2.9e+07,-8800000,-6e+05,-2e+06,-20400000,-50500000,-50500000,-1200000,-51700000,70200000,1777600000,-7200000,0.2836,0.01803,-0.00845,-0.00907,-0.00198,1.2,1.05285,3.58525,0.58597,-0.06438,-0.06438,7.61621,7.03249,-0.07726,0.00115,-0.00276,24.83048,136.17969
"20","2015_Q3",9.47921875,"Up",779800000,-539200000,240600000,-190200000,-190200000,50400000,-28900000,-27900000,-1e+06,21500000,-4300000,17200000,1099999.99999999,18300000,18300000,16600000,2200000,7.9e+07,7.9e+07,366600000,366600000,266700000,40800000,39500000,753100000,820200000,1500200000,749900000,748900000,2320400000,3073500000,453900000,453900000,202100000,6.56e+08,1550200000,190300000,101800000,88500000,1740500000,2396500000,5.83e+08,142200000,-54600000,670600000,6.77e+08,3073500000,18300000,58200000,-7900000,7100000,75700000,10100000,9600000,-21400000,142500000,-153100000,-4.1e+07,44300000,44300000,2e+05,44500000,108600000,1752300000,124700000,0.30854,0.06463,0.00282000000000001,0.00325,0.000719999999999999,56.68182,1.14802,3.53988,0.57013,0.02209,0.02209,7.83152,6.73483,1.25236,0.00428,0.0476,15.40792,33.2004
"21","2015_Q4",9.218125,"Down",755600000,-523100000,232500000,-196200000,-196200000,36300000,-2.8e+07,-27400000,-6e+05,8300000,-7700000,6e+05,5800000,6400000,6400000,4800000,4800000,63700000,63700000,324400000,324400000,253900000,38600000,37500000,680600000,803200000,1491500000,736600000,751100000,2294700000,2975300000,436200000,436200000,155700000,591900000,1547900000,172700000,95300000,77400000,1720600000,2312500000,585600000,140500000,-68300000,657800000,662800000,2975300000,6400000,58100000,3300000,2.4e+07,91800000,-28400000,-50400000,-45900000,4e+05,-3300000,-55300000,-13900000,-13900000,-1400000,-15300000,94400000,1703600000,84200000,0.3077,0.04804,0.00635,0.00724,0.00161,17.54167,1.14986,3.48899,0.57258,0.04376,0.04309,6.88876,5.99712,0.76765,0.00445,0.03316,17.37182,45.17631
"22","2016_Q1",10.0709836065574,"Up",-1057900000,1.034e+09,-23900000,-33500000,-33500000,-57400000,56900000,52900000,4e+06,-499999.999999998,-6100000,-6600000,-1200000,-7800000,-2900000,-4400000,-4400000,77100000,77100000,293300000,293300000,249400000,18800000,18800000,638600000,769800000,1478900000,684100000,759600000,2248700000,2887300000,437600000,437600000,125400000,5.63e+08,1525400000,1.53e+08,76500000,76500000,1678400000,2241400000,585900000,129600000,-76200000,639300000,645900000,2887300000,-7800000,-45400000,-2e+06,19900000,-35300000,4700000.00000001,3200000,76100000,0,9600000.00000001,79200000,47100000,14900000,-1500000,13400000,-102800000,1650800000,-7.7e+07,0.0225900000000001,0.05426,0.00416,-0.00681,-0.00152,17.5,1.13428,3.4702,0.57175,-0.04011,-0.04075,-9.6441,5.82803,-0.70195,0.00086,-0.03143,-15.30837,-27.41638
"23","2016_Q2",12.82015625,"Up",698400000,-484400000,2.14e+08,-1.97e+08,-1.97e+08,1.7e+07,-25600000,-27800000,2200000,-8600000,-2300000,-10900000,9500000,-1400000,-1400000,-2800000,-2800000,55100000,55100000,320400000,320400000,254700000,21800000,20900000,6.52e+08,774600000,1.501e+09,710900000,779800000,2275600000,2927600000,420700000,420700000,66200000,486900000,1524100000,137700000,65900000,71800000,1661800000,2148700000,7.33e+08,1.19e+08,-78800000,773200000,778900000,2927600000,-1400000,52500000,-9900000,-59900000,-18700000,-29100000,-73500000,-62200000,1.43e+08,-2300000,71200000,-2.1e+07,-2.1e+07,-1e+06,-2.2e+07,69500000,1590300000,-2.9e+07,0.30641,0.02434,-0.00401,-0.00359,-0.00096,10.35714,1.33908,2.75863,0.54321,-0.02472,-0.02472,6.16596,6.82635,-0.25603,0.0018,-0.01157,22.08921,90.30588
"24","2016_Q3",13.65609375,"Up",7.65e+08,-512400000,252600000,-202100000,-202100000,50500000,-3e+07,-2.7e+07,-3e+06,20500000,-13900000,6600000,2300000,8900000,8900000,7400000,7400000,249500000,249500000,339500000,339500000,247100000,528100000,24100000,1364200000,770200000,1480600000,690400000,777400000,2250800000,3.615e+09,4.68e+08,4.68e+08,3600000,471600000,2013300000,136200000,63700000,72500000,2149500000,2621100000,959500000,1.19e+08,-90800000,987700000,993900000,3.615e+09,8900000,53500000,6300000,18900000,87600000,-3.4e+07,-38599999.9999999,-64200000,220100000,-1e+06,147500000,196500000,196500000,-2100000,194400000,1.04e+08,2016900000,86600000,0.3302,0.06601,0.00967,0.00745,0.00205,11.7027,2.89271,2.63719,0.55793,0.06005,0.05929,6.20745,8.01451,0.7027,0.0047,0.02752,16.99423,34.99802
"25","2016_Q4",11.1409523809524,"Down",-361400000,486400000,1.25e+08,-148600000,-148600000,-23600000,26400000,25600000,8e+05,2800000,-8900000,-6100000,-7e+06,-13100000,-1100000,-2600000,-2600000,118900000,118900000,463300000,463300000,320100000,34500000,33900000,936800000,951400000,2226200000,1019900000,1186700000,3177600000,4114400000,598700000,598700000,269100000,867800000,2019100000,251200000,169400000,81800000,2270300000,3138100000,960500000,106700000,-9.6e+07,971200000,976300000,4114400000,-13100000,-3400000,3700000,15800000,3e+06,-7e+06,-916700000,624200000,-1e+06,-17100000,597700000,-3.16e+08,-129500000,-1100000,-130600000,-2.7e+07,2288200000,-11200000,-0.34588,0.0653,0.00719,-0.00266,-0.00063,4.30769,1.07951,3.21428,0.55614,-0.01881,-0.01903,-2.61516,7.0278,-0.08105,0.00165,-0.00319,-80.34444,-91.91949
"26","2017_Q1",10.1546774193548,"Down",521200000,-262700000,258500000,-258500000,-258500000,7.45058059692383e-09,-19400000,-13800000,-5600000,-19400000,-9300000,-28700000,-2.6e+07,-54700000,-77900000,-79800000,-79800000,78100000,78100000,276700000,276700000,124600000,373800000,22100000,853200000,581800000,2504700000,7.59e+08,1048300000,3086500000,3939700000,3.68e+08,3.68e+08,212200000,810100000,1986800000,2.69e+08,1.55e+08,75400000,2255800000,3065900000,963500000,22900000,-117900000,868500000,873800000,3939700000,-54700000,48500000,47400000,32400000,73600000,-23500000,-23800000,4e+05,-1000000.00000003,-400000.000000006,-9300000,40500000.0000001,2900000,-3700000,-8e+05,48500000,2.199e+09,83400000,0.49597,0,-0.15311,-0.09133,-0.02026,-1.04511,1.0532,3.5087,0.55816,-0.57634,-0.57634,3.76426,6.27257,0.60234,-0.0214,0.02496,43.7299,46.0519250784463
"27","2017_Q2",12.0828571428571,"Up",536900000,-268100000,268800000,-2.55e+08,-2.55e+08,13800000,-13700000,-15300000,1600000,1e+05,-8600000,-8500000,-1700000,-10200000,-34400000,-36400000,-36400000,86100000,86100000,427500000,427500000,329400000,484700000,40300000,1327700000,933200000,2156400000,930100000,1184300000,3089600000,4417300000,618100000,618100000,151700000,769800000,2532500000,269200000,157600000,111600000,2801700000,3571500000,9.67e+08,-21900000,-105700000,839400000,845800000,4417300000,-10200000,43600000,2100000,-4400000,31100000,-25100000,-29900000,749600000,-1300000,-10400000,729500000,730700000,410900000,1500000,412400000,57400000,2684200000,29600000,0.50065,0.0257,-0.0678,-0.04304,-0.00824,-0.81319,1.72473,4.22263,0.60766,-0.26237,-0.26237,3.86997,6.05038,0.21336,-0.00737,0.00779,45.26307,188.26812
"28","2017_Q3",13.7630158730159,"Up",580600000,-293500000,287100000,-2.6e+08,-2.6e+08,27100000,-22600000,-23600000,1e+06,4500000,-10600000,-6100000,1600000,-4500000.00000001,-22300000,-24600000,-24600000,123200000,123200000,486700000,486700000,324600000,37600000,37600000,972100000,935800000,2209700000,951300000,1217600000,3145500000,4117600000,711300000,711300000,261600000,972900000,2038200000,2.77e+08,164100000,112900000,2315200000,3288100000,973400000,-54800000,-96900000,821700000,829500000,4117600000,-4500000,48800000,6799999.99999999,10300000,61400000,-33500000,-58300000,-101200000,300000.000000002,-7900000,-117100000,-1.14e+08,-410200000,2900000,-407300000,75900000,2299800000,51100000,0.49449,0.04668,-0.04237,-0.02966,-0.00597,-2.07724,0.99918,3.96395,0.55853,-0.17698,-0.17698,4.17698,5.91151,0.36763,-0.00479,0.015,28.67721,80.31734
