"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2020_Q2",7.02333333333333,"Down",-2310813,-463399,-1847414,-2310813,63818,63818,-2246995,-2246995,-2246995,-2246995,-2246995,-2246995,16854359,16854359,584130,337251,246879,17438489,795676,954342,18392831,682566,68104,614462,864946,877606,36609626,-19094401,17515225,17515225,18392831,-2246995,94792,464649,-146047,-1833601,-45604,-45604,-45604,-1438,47109.1904595094,122187.441730788,-1438,-1880643,-1880643,-1880643,-2216021,0,-0.12829,-0.12217,20.16136,0.05011,0,-0.21913,-0.21913,1.70814,-0.1282,7.60569,7.29369
"12","2020_Q3",5.72984375,"Down",-2213941,-447714,-1766227,-2213941,11952,11952,-2201989,-2201989,-2201989,-2201989,-2201989,-2201989,15430559,15430559,444657,232648,212009,15875216,706219,827234,16702450,691556,81048,610508,828883,840092,37158748,-21296390,15862358,15862358,16702450,-2201989,96342,423193,126409,-1556045,-20985,-20985,-20985,-1442,23897,130775,153230,-1423800,-1423800,-1423800,-2117599,0,-0.13882,-0.13184,19.15254,0.05296,2.16840434497101e-19,-0.21461,-0.21461,1.546,-0.13872,7.28682,6.96972
"13","2020_Q4",7.97765625,"Up",-2480074,-517465,-1962609,-2480074,5776,5776,-2474298,-2474298,-2474298,-2474298,-2474298,-2474298,13696387,13696387,315619,103610,212009,14012006,626271,901967,14913973,840003,83130,756873,1035202,1151998,37532663,-23770688,13761975,13761975,14913973,-2474298,96567,448947,279992,-1648792,-8905,-8905,-8905,-1443,0,-75032,-76475,-1734172,-1734172,-1734172,-2383507,0,-0.17979,-0.1659,13.53553,0.08371,0,-0.24084,-0.24084,1.33954,-0.17828,5.74632,5.52257
"14","2021_Q1",14.222131147541,"Up",-2551336,-444064,-2107272,-2551336,443,443,-2550893,-2550893,-2550893,-2550893,-2550893,-2550893,11637911,11637911,529049,317040,212009,12166960,558876,789787,12956747,991989,217377,774612,1185317,1254477,38023851,-26321581,11702270,11702270,12956747,-2550893,97890,427090,-81338,-2107251,-13877,-13877,-13877,-1446,36406,27692,62652.0000000019,-2058476,-2058476,-2058476,-2453446,-1.16415321826935e-10,-0.21798,-0.19688,10.26473,0.1072,-3.46944695195361e-18,-0.24815,-0.24815,1.13839,-0.2167,4.7435,4.5615
"15","2021_Q2",25.7330158730159,"Up",-2791770,-555428,-2236342,-2791770,365,365,-2791405,-2791668,-2791668,-2791668,-2791668,-2791668,34936902,34936902,777073,551345,225728,35713975,466484,653086,36367061,979062,318213,660849,1170537,1192517,64287793,-29113249,35174544,35174544,36367061,-2791668,98222,449361,-277420,-2521505,-30425,-30925,-30425,25812718,11257,26946,25850921,23298991,23298991,23298991,-2693548,0,-0.07937,-0.07676,30.51076,0.0339,0,-0.25214,-0.25214,3.17686,-0.07932,12.97059,12.51425
"16","2021_Q3",21.2084375,"Down",-13643468,-573359,-13070109,-13643468,-389384,-389384,-14032852,-14032852,-14032852,-14032852,-14032852,-14032852,41638623,41638623,612860,279544,333316,42251483,415080,557846,42809329,1376844,647172,729672,1536358,15774805,70180625,-43146101,27034524,27034524,42809329,-14032852,78375,5715285,621444,-7617748,-26972,-26972,-26972,14300814,62676,-17049,14346441,6701721,6701721,6701721,-13565093,14233068,-0.51907,-0.3278,27.50107,0.58351,0.33248,-1.112,-1.112,2.1423,-0.34,2.0203,2.00869
"17","2021_Q4",15.99796875,"Down",-5599786,-639271,-4960515,-5599786,-427460,-427460,-6027246,-6027246,-6027246,-6027246,-6027246,-6027246,90366812,90366812,815669,437351,378318,91182481,365533,655119,91837600,2626276,1746425,879851,2822574,17363214,123647733,-49173347,74474386,74474386,91837600,-6027246,63609,886976,1027976,-4048685,-14062,-17239.4574101294,-14062,52760639,5100,25197,52790936,48728189,48728189,48728189,-5536177,14427809,-0.08093,-0.06563,32.30473,0.23314,0.1571,-0.40422,-0.40422,4.99462,-0.06771,13.71687,13.56105
"18","2022_Q1",10.4016129032258,"Down",-6320891,-829851,-5491040,-6320891,-432609,-432609,-6753500,-6753500,-6753500,-6753500,-6753500,-6753500,84286381,84286381,1065594,722677,342917,85351975,312444,554345,85906320,2309992,1507099,802893,2505700,17195843,124637324,-55926847,68710477,68710477,85906320,-6753500,63029,1126398,-559929,-6124002,-9939,-10974.0728973551,-9939,-1457,68988,-14021,53510,-6080430.99999999,-6080430.99999999,-6080430.99999999,-6257862,14625923,-0.09829,-0.07861,34.06313,0.25027,0.17025,-2.71027,-2.71027,27.57446,-0.08098,11.13167,11.02067
"19","2022_Q2",7.31758064516129,"Down",-7507605,-811292,-6696313,-7507605,-426842,-426842,-7934447,-7934447,-7934447,-7934447,-7934447,-7934447,78295426,78295426,1148428,762882,385546,79443854,291076,486001,79929855,3355683,2139291,1216392,3550810,18390140,125401009,-63861294,61539715,61539715,79929855,-7934447,55989,953369,992057,-5933032,-11635,-11635,-11635,-1458,7414,-52244,-46288,-5990955,-5990955,-5990955,-7451616,14823021,-0.12893,-0.09927,22.37345,0.29883,0.18545,-0.53212,-0.53212,4.12715,-0.10388,8.51794,8.45441
"20","2022_Q3",9.43890625,"Up",-9600727,-1233040,-8367687,-9600727,-359799,-359799,-9960526,-9960526,-9960526,-9960526,-9960526,-9960526,66910824,66910824,5052007,4601874,450133,71962831,238629,387356,72350187,3987848,2304543,1683305,4149996,19161456,127010551,-73821820,53188731,53188731,72350187,-9960526,52447,1707898,-3088919,-11289100,-22986,-22986,-22986,-1462,90083,-161137,-72515.9999999963,-11384602,-11384602,-11384602,-9548280,15011460,-0.18727,-0.13767,17.34046,0.36025,0.20748,-0.66712,-0.66712,3.56241,-0.14605,5.43547,5.40577
