"","YQ","p","d","revenue","sales_services_revenue","other_revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",16.4983870967742,"Down",340632000,292085000,48547000,-266634000,73998000,-47390000,-3391000,-43999000,26608000,-19682000,-19264000,-418000,6926000,644000,7570000,-1608000,5962000,5962000,5786000,5786000,82952000,82952000,141659000,51066000,240639000,188940000,516316000,2940522000,109902000,623516000,73783000,538186000,3673940000,4190256000,140536000,140536000,97023000,310294000,310294000,547853000,1279282000,1079213000,214838000,527397000,336978000,2358495000,2906348000,887530000,377111000,-4897000,1259744000,1283908000,4190256000,5962000,31646000,18188000,1895000,57691000,-59606000,4990000,-46556000,-17114000,-14558000,25124000,25124000,-15051000,-21599000,-10464000,-10464000,-10464000,58254000,1376305000,2151000,0.21724,0.07811,0.01699,0.00451,0.00138,0.37176,0.94244,2.26367,0.32845,0.09799,0.09786,5.76883,21.3346,0.03643,0.28984,0.00612,0.000580000000000001,2.95783,22.20196,48.60767
"12","2013_Q1",17.5693333333333,"Up",254864000,361525000,-106661000,-320793000,-65929000,104005000,9174000,94831000,38076000,-17958000,-17779000,-179000,20118000,636000,20754000,-6658000,14096000,16093000,15858000,15858000,75464000,75464000,193683000,47455000,189192000,152134000,505794000,3023716000,62875000,720794000,75959000,587032000,3807385000,4313179000,198914000,198914000,117337000,259898000,259898000,576149000,1301752000,1153205000,283985000,524877000,344343000,2454957000,3031106000,889237000,376940000,-6700000,1259477000,1282073000,4313179000,16093000,33109000,10069000,-126000.000000002,59145000,-93626000,5100000,-65603000,-17337000,42355000,380000.000000004,380000,-26428000,-1030000,-7488000,-7488000,-7488000,71185000,1419089000,-15909000,-0.25868,0.1494,0.06222,0.01237,0.00368,-1.00322,0.87789,2.36422,0.32901,0.26526,0.26515,4.26322,21.06783,-0.26612,0.29,0.00861,-0.00413,1.09327,18.87511,35.28798
"13","2013_Q2",18.9140625,"Up",482906000,431127000,51779000,-348826000,134080000,-49018000,-3683000,-45335000,85062000,-17665000,-19810000,2145000,67397000,940000,68337000,-25236000,43101000,43101000,42341000,42341000,89197000,89197000,190197000,30318000,197302000,161778000,507014000,3053488000,67902000,703734000,76762000,571541000,3825124000,4332138000,161503000,161503000,118163000,300117000,300117000,579783000,1298185000,1141462000,274180000,522920000,344362000,2439647000,3019430000,891759000,398804000,-6587000,1283976000,1312708000,4332138000,43101000,31618000,5459000,25201000,105379000,-71464000,2734000,-86686000,-18384000,-3223000,1149000,1149000,15498000,-4960000,13733000,13733000,13733000,116680000,1416348000,95653000,0.27765,0.17615,0.08768,0.03225,0.00977,2.25911,0.87449,2.30015,0.32694,0.70726,0.70689,8.06645,21.4475,1.59779,0.30709,0.01569,0.02471,0.43419,11.37428,15.60216
"14","2013_Q3",19.0740625,"Up",265081000,297719000,-32638000,-242928000,22153000,29893000,3318000,26575000,52046000,-17305000,-19111000,1806000,34741000,942000,35683000,-13326000,22357000,25730000,25657000,25657000,85411000,85411000,147851000,45322000,190109000,157118000,468693000,3104176000,79129000,695798000,76762000,565032000,3879103000,4347796000,153425000,153425000,161482000,267554000,267554000,582461000,1295284000,1147813000,263270000,517830000,366713000,2443097000,3025558000,895255000,406195000,-7636000,1293814000,1322238000,4347796000,25730000,33272000,313000,-8898999.99999999,50416000,-75224000,5869000,-68218000,-18283000,37035000,1868000,1868000,-6604000,14016000,-3786000,-3786000,-3786000,85318000,1456766000,14521000,0.0835700000000001,0.19634,0.09679,0.0194,0.0059,0.56597,0.80468,2.28821,0.33506,0.42807,0.42789,4.42266,21.58623,0.24227,0.30504,0.01119,0.0037,0.71259,16.07345,26.3489
"15","2013_Q4",19.31265625,"Up",289477000,278473000,11004000,-249267000,40210000,-10383000,-171000,-10212000,29827000,-18797000,-19285000,488000,11030000,820000,11850000,-3367000,8483000,11931000,11413000,11413000,91979000,91979000,139512000,56843000,197510000,156420000,485844000,3157317000,80982000,677859000,76762000,548397000,3916158000,4402002000,158360000,158360000,132352000,259524000,259524000,550236000,1379473000,1153506000,252331000,528981000,372194000,2532979000,3083215000,898199000,399053000,-7848000,1289404000,1318787000,4402002000,11931000,33903000,11434000,-10661000,46607000,-75749000,-730000,-78654000,-18296000,54658000,1462000,1462000,791000,38615000,6568000,6568000,6568000,63730000,1511825000,-19313000,0.13891,0.10304,0.03943,0.00865,0.00259,-1.69219,0.88297,2.33792,0.34344,0.19024,0.19012,4.8251,21.49222,-0.32192,0.30496,0.00746,-0.00485,1.60308,22.27908,47.60271
"16","2014_Q1",20.6990163934426,"Up",404280000,394876000,9404000,-330402000,73878000,-9723999.99999999,-45000,-9679000,64154000,-18651000,-19379000,728000,45503000,974000,46477000,-16085000,30392000,31532000,31666000,31666000,82574000,82574000,221343000,44946000,200816000,168245000,549679000,3202425000,72438000,537381000,76257000,410001000,3812244000,4361923000,182088000,182088000,187765000,255487000,255487000,625340000,1371403000,1031024000,122513000,535343000,373168000,2402427000,3027767000,896993000,407092000,-5819000,1298266000,1334156000,4361923000,31532000,34396000,28067000,-53840000,40155000,-80676000,-3988000,-78659000,-18313000,47103000,130000,130000,178999.999999999,29099000,-9405000,-9405000,-9405000,98550000,1559168000,-19881000,0.18274,0.15869,0.07833,0.02373,0.00726,-0.62783,0.87901,2.26943,0.35745,0.52739,0.52692,6.73317,21.62227,-0.33111,0.305,0.01274,-0.00507,0.57832,14.9832,23.0164
"17","2014_Q2",22.771746031746,"Up",446578000,437124000,9454000,-346706000,99872000,-9530000,-147000,-9383000,90342000,-16255000,-18855000,2600000,74087000,661000,74748000,-27282000,47466000,48981000,48499000,48499000,90172000,90172000,202820000,32804000,178590000,154302000,504386000,3227631000,61442000,522619000,76257000,396205000,3811692000,4316078000,163655000,163655000,125244000,281322000,281322000,570221000,1366077000,1012707000,113416000,534540000,364751000,2378784000,2949005000,899037000,436370000,-4925000,1330482000,1367073000,4316078000,48981000,34582000,-1871000,75206000,156898000,-63654000,-8446000,-60697000,-19217000,-68035000,638000,638000,-1989000,-88603000,7598000,7598000,7598000,124924000,1491321000,163758000,0.22364,0.2023,0.1086,0.03548,0.01124,3.37652,0.88454,2.15717,0.34553,0.80668,0.80606,7.42786,22.1297,2.72376,0.31963,0.01749,0.0423,0.39623,11.21601,15.50939
"18","2014_Q3",23.18265625,"Up",312580000,303105000,9475000,-248818000,63762000,-1031000,-151000,-880000,62731000,-15604000,-18659000,3055000,47127000,834000,47961000,-16691000,31270000,100582000,100871000,100871000,207967000,207967000,127614000,49437000,57249000,48983000,442267000,3282063000,48686000,429114000,5246000,412321000,3759863000,4202130000,171663000,73349000,165660000,127008000,127008000,464331000,1320077000,1008177000,103421000,542090000,362666000,2328254000,2792585000,885741000,528285000,-4010000,1410016000,1409545000,4202130000,100582000,33961000,-136444000,68991000,67090000,-78982000,-9231000,127935000,-19110000,-5639999.99999999,1342000,1342000,-53822000,-77230000,117795000,117795000,117795000,96692000,1485737000,103392000,0.20399,0.20069,0.3227,0.07156,0.024,1.02499,0.95248,1.9812,0.35357,1.67604,1.66831,5.19374,23.42842,1.71793,0.31753,0.03074,0.02649,0.18945,13.21485,20.36904
"19","2014_Q4",24.9928125,"Up",301558000,291262000,10296000,-258391000,43167000,-10405000,-154000,-10251000,32762000,-16147000,-18755000,2608000,16615000,1212000,17827000,-7301000,10526000,10471000,10451000,10451000,10391000,10391000,124550000,69941000,60322000,43578000,265204000,3537974000,53377000,479791000,55877000,412367000,4071142000,4336346000,89947000,82366000,47137000,133735000,133735000,270819000,1463758000,1110012000,95037000,640260000,374715000,2573770000,2844589000,1007764000,488342000,-3898000,1492208000,1491757000,4336346000,10471000,34356000,84229000,-87330000,41726000,-93444000,-257000,-73997000,-20225000,-84864000,-59518000,1445000,-698000,-165305000,-197576000,-197576000,-197576000,67118000,1510895000,-106355000,0.14315,0.10864,0.03466,0.00701,0.00241,-10.17654,0.97927,1.90687,0.34843,0.16347,0.16268,4.71671,23.33982,-1.66351,0.31634,0.00746,-0.02586,1.93522,22.35621,45.80013
"20","2015_Q1",25.8573770491803,"Up",411846000,401852000,9994000,-335031000,76815000,-10062000,-158000,-9904000,66753000,-16400000,-19483000,3083000,50353000,1217000,51570000,-20966000,30604000,32243000,32220000,32220000,22143000,22143000,171925000,66356000,134923000,76236000,395347000,3619962000,53449000,632213000,57976000,562690000,4305624000,4700971000,112974000,112974000,112855000,159440000,159440000,385269000,1532249000,1300211000,189489000,710342000,400380000,2832460000,3217729000,999960000,491599000,-7888000,1483671000,1483242000,4700971000,32243000,35438000,32833000,-98960000,1554000.00000001,-95863000,-42000,-96977000,-19762000,140161000,-18258000,635000,5034000,107175000,11752000,11752000,11752000,102191000,1645104000,-71666000,0.18651,0.16208,0.07823,0.02172,0.00685,-2.22427,1.02616,2.16939,0.34995,0.51727,0.5141,6.61196,23.81953,-1.15056,0.31727,0.01174,-0.01618,0.61335,15.88164,24.31293
"21","2015_Q2",24.1022222222222,"Down",446490000,436407000,10083000,-346930000,99560000,-9985000,-169000,-9816000,89575000,-17783000,-20014000,2231000,71792000,917000,72709000,-26247000,46462000,46462000,46449000,46449000,22081000,22081000,162203000,43785000,82427000,61276000,310496000,3651079000,52234000,675220000,57976000,605697000,4378533000,4689029000,83188000,62853000,68132000,174308000,174308000,325628000,1547093000,1309549000,188798000,714440000,406311000,2856642000,3182270000,998975000,515842000,-7642000,1507175000,1506759000,4689029000,46462000,35379000,14525000,50412000,146778000,-82009000,1834000,-80175000,-20717000,-42070000,-2549000,371000,-1329000,-66665000,-62000,-62000,-62000,124954000,1615225000,119604000,0.22298,0.20062,0.10403,0.03083,0.00991,2.57495,0.95353,2.112,0.34447,0.74535,0.73859,7.1647,24.18523,1.91925,0.33244,0.01516,0.02699,0.44602,12.74984,17.78559
"22","2015_Q3",24.105625,"Up",337332000,330830000,6502000,-273161000,64171000,-6811000,-165000,-6646000,57360000,-18145000,-19981000,1836000,39215000,879000,40094000,-15016000,25078000,25274000,25246000,25246000,16242000,16242000,136321000,50873000,85894000,65376000,289330000,3726700000,52714000,611245000,57672000,542026000,4390659000,4679989000,70086000,70086000,93162000,143698000,143698000,306946000,1546432000,1312606000,188862000,718265000,405479000,2859038000,3165984000,1001253000,520537000,-7397000,1514393000,1514005000,4679989000,25274000,36752000,24448000,-1140000.00000001,85334000,-96247000,-93999.9999999995,-95414000,-20551000,24225000,709000,709000,-142000,4240999.99999994,-5838999.99999999,-5838999.99999999,-5838999.99999999,94112000,1639594000,11741000,0.19023,0.17004,0.07484,0.01667,0.00539,0.46506,0.94261,2.09113,0.35034,0.40536,0.40329,5.41629,24.31549,0.18852,0.32997,0.01025,0.00263,0.81403,17.24915,28.30112
"23","2015_Q4",26.1625,"Up",313649000,307405000,6244000,-271097000,42552000,-6640000,-178000,-6462000,35912000,-17948000,-20071000,2123000,17964000,905000,18869000,-6115000,12754000,13043000,13011000,13011000,9314000,9314000,110837000,59735000,78094000,56821000,257980000,3784122000,53187000,643917000,57672000,574698000,4481226000,4739206000,63172000,63172000,223105000,161460000,161460000,447737000,1443158000,1340114000,188711000,724473000,426930000,2783272000,3231009000,1002716000,512988000,-7151000,1508553000,1508197000,4739206000,13043000,37391000,17194000,11504000,79132000,-95397000,906000,-95513000,-20560000,39240000,317000,317000,-9544000,9453000,-6928000,-6928000,-6928000,73303000,1666263000,-4475000,0.13567,0.1145,0.04148,0.00863,0.00275,-0.34394,0.57619,2.1423,0.35159,0.20885,0.20755,5.03458,24.21472,-0.07183,0.33002,0.00744,-0.000989999999999995,1.5802,22.60411,46.13915
"24","2016_Q1",29.035737704918,"Up",387305000,381449000,5856000,-310153000,77152000,-6785000,-183000,-6602000,70367000,-17265000,-20375000,3110000,53102000,845000,53947000,-20071000,33876000,38538000,38521000,38521000,10484000,10484000,169413000,54148000,72001000,47880000,306046000,3898589000,59733000,642281000,57672000,573062000,4600603000,4906649000,160705000,114349000,198167000,146487000,146487000,505359000,1531658000,1341345000,201453000,747477000,392415000,2873003000,3378362000,1004336000,530940000,-6650000,1528626000,1528287000,4906649000,38538000,38313000,58815000,-71270000,64396000,-119772000,-8960000,-116725000,-20569000,74269000,162999.999999999,163000,-364000.000000002,53499000,1170000,1170000,1170000,108680000,1729825000,-62291000,0.1992,0.18168,0.09946,0.02521,0.00785,-1.61707,0.6056,2.21055,0.35255,0.61826,0.61481,6.21618,24.53417,-0.99976,0.33013,0.01285,-0.01354,0.53397,15.82022,24.43391
"25","2016_Q2",31.86015625,"Up",418173000,412793000,5380000,-306075000,112098000,-6013000,-188000,-5825000,106085000,-18989000,-21411000,2422000,87096000,914000,88010000,-30345000,57665000,57665000,57649000,57649000,12767000,12767000,149537000,43885000,73035000,60124000,279224000,3927577000,62436000,686776000,57672000,617557000,4676789000,4956013000,59140000,59140000,183197000,189504000,189504000,431841000,1531338000,1403566000,202013000,762522000,439031000,2934904000,3366745000,1032023000,565447000,-7879000,1589591000,1589268000,4956013000,57665000,40291000,49974000,-40775000,107155000,-88997000,-1299000,-91654000,-21545000,-15792000,27150000,27150000,-3031000,-13218000,2283000,2283000,2283000,146376000,1714535000,46949000,0.26807,0.25369,0.13786,0.03627,0.01163,0.81439,0.64659,2.11842,0.34595,0.92084,0.91642,6.67955,25.3908,0.74992,0.34414,0.01682,0.00997,0.37373,11.626,16.04155
"26","2016_Q3",33.32171875,"Up",318838000,312888000,5950000,-250774000,68064000,-6473000,-192000,-6281000,61591000,-18431000,-21472000,3041000,43160000,837000,43997000,-16710000,27287000,27287000,27254000,27254000,13522000,13522000,121277000,51639000,82281000,56710000,268719000,3990699000,72101000,737502000,57672000,668283000,4800302000,5069021000,63056000,63056000,253227000,185431000,185431000,501714000,1531215000,1419355000,202063000,783955000,433337000,2950570000,3452284000,1052190000,572576000,-7739000,1617027000,1616737000,5069021000,27287000,40780000,43010000,-62281000,48796000,-93818000,-15522000,-114970000,-21722000,69209000,20023000,20023000,-580999.999999999,66929000,755000,755000,755000,102371000,1784442000,-37018000,0.21348,0.19317,0.08548,0.01686,0.00538,-1.35826,0.5356,2.13534,0.35203,0.42997,0.42729,5.0301,25.51079,-0.58401,0.34269,0.01016,-0.00768,0.79702,17.29904,28.7529
"27","2016_Q4",32.0114285714286,"Down",303349000,296989000,6360000,-256806000,46543000,-6949000,-193000,-6756000,39594000,-20234000,-21796000,1562000,19360000,507000,19867000,-7606000,12261000,12261000,12234000,12234000,7084000,7084000,116054000,58080000,103157000,53815000,284375000,4056095000,62945000,811691000,57672000,742472000,4930731000,5215106000,81898000,81898000,87257000,262410000,262410000,431565000,1729804000,1425213000,202329000,816334000,406550000,3155017000,3586582000,1073481000,562905000,-7599000,1628787000,1628524000,5215106000,12261000,41343000,-10862000,55425000,98167000,-105257000,-1319000,-108329000,-21905000,6208000,19583000,19583000,-162000,3724000,-6438000,-6438000,-6438000,80937000,1817061000,38711000,0.15343,0.13052,0.04033,0.00751,0.00235,3.16421,0.65894,2.20235,0.34842,0.19158,0.19019,4.75044,25.50679,0.60621,0.34303,0.00701,0.00795,1.7905,22.36279,45.71342
