"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","intangible_assets","customer_acceptances_liabilities","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","other_investing_activities","net_cash_from_investing_activities","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",23.23625,"Down",12013000,9858000,11537000,-1679000,2155000,1388000,758000,-671000,11342000,-5337000,-5337000,6005000,6005000,5378000,-1162000,4216000,4216000,4216000,4216000,10674000,107176000,381685000,566667000,-8291000,574958000,10237000,9106000,5878000,7080000,1098503000,937119000,792304000,144815000,8024000,945143000,8685000,148378000,-3703000,153360000,153360000,1098503000,4216000,506000,671000,-165000,3403000,8631000,-24000,-9244000,6424000,-249000,-3093000,-9647000,-9647000,-4109000,-4109000,-4109000,6511000,0,11052000,0.49988,0.35095,0.02749,0.00384,2.62144,6.1629,0,0.6068,0.60496,1.72899,22.07262,1.59068,0.00384,0.01006,-1.63938,-1.77752
"12","2013_Q3",25.94609375,"Up",12253000,10014000,11562000,-1548000,2239000,1520000,710000,-355000,11898000,-5426000,-5426000,6472000,6472000,5761000,-1326000,4435000,4435000,4435000,4435000,13474000,63731000,396104000,580109000,-7952000,588061000,10222000,8837000,6291000,12318000,1091086000,938521000,794357000,144164000,7027000,945548000,8685000,149061000,-12208000,145538000,145538000,1091086000,4435000,483000,355000,-124000.000000004,-1749000,3400000,-161000,-28091000,29417000,585000,1750000,1402000,-2350000,2800000,2800000,2800000,6955000,-6.7762635780344e-21,6371000,0.5282,0.36195,0.03047,0.00406,1.43653,6.49691,0,0.63832,0.63645,1.76354,20.94683,0.91696,0.0075,0.00584,-1.93731,-2.08189
"13","2013_Q4",25.34828125,"Down",12306000,10156000,11544000,-1388000,2150000,1580000,632000,-303000,12003000,-5435000,-5435000,6568000,6568000,5860000,-1343000,4517000,4517000,4517000,4517000,13806000,62776000,380384000,582574000,-8090000,590664000,10025000,8568000,6044000,13226000,1077403000,923498000,775570000,147928000,7611000,931109000,8685000,153578000,-15969000,146294000,146294000,1077403000,4517000,496000,303000,-72000,1942000,7186000,15000,9915000,-1792000,31000,8169000,-15023000,-15023000,332000,332000,332000,7064000,0,10364000,0.53372,0.36706,0.03088,0.00419,2.29444,6.36464,0,0.65012,0.64781,1.77116,21.05563,1.49166,0.00419,0.00962,-1.95442,-2.10201
"14","2014_Q1",25.9855737704918,"Up",12365000,9687000,11027000,-1340000,2678000,1630000,1050000,-202000,12163000,-5259000,-5259000,6904000,6904000,6108000,-1486000,4622000,4622000,4622000,4622000,13283000,98066000,373002000,587463000,-8227000,595690000,9951000,8299000,5949000,14617000,1110630000,960036000,817391000,142645000,4702000,964738000,8685000,154171000,-16964000,145892000,145892000,1110630000,4622000,490000,202000,18158000,-18239000,5233000,-95000,5263000,-43508000,75000,-38265000,36538000,32509000,-523000,-523000,-523000,7394000,1.0842021724855e-19,-9454000,0.55835,0.3738,0.03168,0.00416,-2.04543,6.61269,0,0.66523,0.66376,1.77966,20.99778,-1.36068,0.00779,-0.00851,-1.79646,-1.92396
"15","2014_Q2",23.6569841269841,"Down",12038000,9838000,11153000,-1315000,2200000,1454000,745000,-103000,11935000,-5556000,-5556000,6379000,6379000,5753000,-1349000,4404000,4404000,4404000,4404000,14723000,108841000,383124000,580751000,-8297000,589048000,9428000,8029000,5893000,12321000,1123110000,964086000,818123000,145963000,5607000,969693000,8685000,158575000,-13843000,153417000,153417000,1123110000,4404000,488000,103000,1231000,3e+05,6526000,254000,-4458000,-5415000,483000,-9136000,4050000,4050000,1440000,1440000,1440000,6867000,0,8770000,0.52991,0.36584,0.02871,0.00392,1.99137,6.32064,0,0.63385,0.63241,1.73259,22.08083,1.26224,0.00392,0.00781,-2.14402,-2.30804
"16","2014_Q3",21.25921875,"Down",12103000,9759000,11054000,-1295000,2344000,1606000,738000,-701000,11402000,-5311000,-5311000,6091000,6091000,5342000,-1233000,4109000,4109000,4109000,4109000,15917000,106112000,386236000,585429000,-7971000,593400000,9482000,7761000,5798000,11744000,1128479000,967463000,820736000,146727000,4220000,971683000,8685000,158863000,-10752000,156796000,156796000,1128479000,4109000,479000,701000,-532000,-1997000,2760000,-232000,1507000,-2422999.99999999,26000,-1122000,3377000,-444000.000000004,1194000,1194000,1194000,6570000,-8.67361737988404e-19,5574000,0.50326,0.3395,0.02621,0.00364,1.35653,6.19712,0,0.5914,0.59032,1.74195,22.56715,0.80225,0.00703,0.00494,-2.42268,-2.6132
"17","2014_Q4",21.82515625,"Up",12015000,9723000,10870000,-1147000,2292000,1605000,683000,-356000,11659000,-5301000,-5301000,6358000,6358000,5587000,-1324000,4263000,4263000,4263000,4263000,12815000,87621000,395354000,587770000,-8031000,595801000,9445000,7492000,5708000,10054000,1116259000,948923000,795805000,153118000,4514000,953437000,8688000,163181000,-9047000,162822000,162822000,1116259000,4263000,490000,356000,6964000,-5911000,6162000,-151000,-6425000,15766000,28000,9218000,-18540000,-18482000,-3102000,-3102000,-3102000,6848000,0,2110000,0.52917,0.35481,0.02618,0.00382,0.49496,5.8557,0,0.6135,0.61278,1.72911,23.43207,0.30365,0.00382,0.00189,-1.87135,-2.01557
"18","2015_Q1",21.6322950819672,"Down",12009000,9725000,10867000,-1142000,2284000,1587000,7e+05,-481000,11528000,-5302000,-5302000,6226000,6226000,5410000,-1272000,4138000,4138000,4138000,4138000,12894000,102548000,411926000,597203000,-8263000,605466000,9131000,7223000,5748000,8058000,1154731000,982428000,831684000,150744000,6e+06,988428000,8688000,163287000,-5672000,166303000,166303000,1154731000,4138000,488000,481000,2104000,-2321000,4890000,123000,-9699000,-24751000,43000,-34284000,33505000,29473000,79000,79000,79000,6714000,0,5788000,0.51844,0.34457,0.02488,0.00358,1.39874,5.94354,0,0.59535,0.59495,1.72778,23.92667,0.83274,0.00708,0.00501,-1.92046,-2.07099
"19","2015_Q2",21.6195238095238,"Down",11958000,9707000,10794000,-1087000,2251000,1501000,752000,-201000,11757000,-5606000,-5606000,6151000,6151000,5077000,-1111000,3966000,3966000,3966000,3966000,12452000,87676000,422279000,613914000,-8257000,622171000,8998000,6954000,5506000,7066000,1164845000,984957000,824740000,160217000,7166000,992123000,8688000,167253000,-3219000,172722000,172722000,1164845000,3966000,489000,201000,2441000,-1123000,5974000,-58000,-7438000,-1462000,13000,-8945000,2529000,2529000,-442000,-442000,-442000,6640000,0,6570000,0.51438,0.33166,0.02296,0.0034,1.65658,5.74405,0,0.57061,0.57024,1.72046,24.85039,0.94526,0.0034,0.00564,-1.8753,-2.02439
"20","2015_Q3",23.15,"Up",12140000,9673000,10724000,-1051000,2467000,1594000,868000,-355000,11785000,-5647000,-5647000,6138000,6138000,5420000,-1310000,4110000,4110000,4110000,4110000,11353000,83818000,401895000,618810000,-8131000,626941000,8878000,6685000,5857000,10975000,1148271000,974156000,816173000,157983000,6545000,980701000,8693000,167764000,-8887000,167570000,167570000,1148271000,4110000,485000,355000,4551000,-6526000,2975000,-71000,13036000,-2679000,35000,10321000,-10801000,-14395000,-1099000,-1099000,-1099000,6623000,2.22044604925031e-16,1336000,0.5056,0.33855,0.02453,0.00358,0.32506,5.85249,0,0.59115,0.59085,1.74612,24.10198,0.19216,0.00679,0.00116,-1.71418,-1.84963
