"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",14.7372580645161,"Down",148391000,-37746000,110645000,-98066000,-87410000,-7575000,-3081000,12579000,-6376000,-6636000,260000,6203000,6203000,-4064000,2139000,2139000,2354000,2354000,242630000,107731000,78140000,78140000,132958000,61814000,7264000,515542000,131158000,495512000,105086000,162333000,19857000,208236000,669086000,1184628000,86025000,86025000,32389000,32389000,192725000,329143000,120961000,4180000,116781000,450104000,642829000,705975000,-175375000,1166000,531766000,541799000,1184628000,2139000,12924000,10490000,8174000,33727000,-11776000,-11776000,-47138000,89000,89000,-110000,-21000,-13432000,-13432000,7000,-13425000,25503000,403454000,25965000,0.74563,0.08477,0.01586,0.00434,0.00199,11.03016,2.67501,1.18647,0.34057,0.05413,0.05262,3.41223,12.22788,0.59706,0.00221,0.02435,6.30608,12.78512
"12","2013_Q1",18.2606666666667,"Up",165754000,-42196000,123558000,-109711000,-97713000,-8398000,-3600000,13847000,-5873000,-6774000,901000,7974000,-1726000,-1050000,-2776000,-2776000,-2746000,-2746000,261704000,123299000,88958000,88958000,126364000,36723000,8487000,513749000,125123000,440501000,101362000,154106000,40575000,144458000,650036000,1163785000,89964000,89964000,31086477.4244187,31086222.0373077,164275000,332404000,119528000,3129000,116399000,451932000,616207000,714909000,-178120000,786000,537575000,547578000,1163785000,-2776000,13672000,28928000,-9228000,30596000,-5483000,-5483000,10705000,1701000,1701000,-27572000,-25871000,15430000,15430000,138000,15568000,27519000,406715000,13858000,0.74543,0.08354,-0.01657,-0.00501,-0.00236,-5.04661,3.12737,1.12533,0.34948,-0.06293,-0.06152,3.79882,12.32038,0.3176,-0.00256,0.01291,5.26949,10.47238
"13","2013_Q2",21.8796875,"Up",159504000,-39096000,120408000,-113956000,-99886000,-9694000,-4376000,6452000,-6620000,-6860000,240000,-168000,-168000,764000,596000,596000,851000,851000,200369000,78472000,90410000,90410000,129583000,40214000,9078000,460576000,122897000,437150000,101992000,154056000,37676000,143426000,640876000,1101452000,93179000,93179000,7500000,7499999.99999999,100679000,335726000,111879000,3123000,108756000,447605000,548284000,721732000,-177269000,-1043000,543420000,553168000,1101452000,596000,14581000,12025000,-3096000,24106000,-9200000,-9200000,5474000,36000,36000,1e+05,-74175000,-44595000,-44595000,-232000,-44827000,21033000,335726000,7973000,0.75489,0.04045,0.00534,0.00154,0.000770000000000001,9.36898,4.5747,0.99117,0.3048,0.01933,0.01878,3.62303,12.34344,0.1811,0.00085,0.00797,6.43546,20.9790799999999
"14","2013_Q3",24.60890625,"Up",165698000,-48744000,116954000,-116897000,-104272000,-7713000,-4912000,57000,-6861000,-6422000,-439000,-6804000,-6804000,75999.9999999998,-6728000,-6728000,-6469000,-6469000,172659000,58880000,96314000,96314000,137394000,40152000,9016000,446519000,130591000,431002000,97183000,154846000,37677000,141296000,661665000,1108184000,100234000,100234000,-11996508.8920784,-11995218.3255662,100234000,339108000,111663000,3125000,108538000,450771000,551005000,734841000,-183738000,-3413000,547690000,557179000,1108184000,-6728000,15760000,17050000,-17804000,8278000,-17009000,-17009000,-31376000,3087000,3087000,1187000,4274000,-18824000,-18824000,-768000,-19592000,15817000,339108000,-19072000,0.70583,0.00034,-0.03904,-0.01161,-0.00584,2.94821,4.45477,0.98892,0.306,-0.14566,-0.15001,3.73093,12.33203,-0.42943,-0.00642,-0.01892,10.52342,2920.15789
"15","2013_Q4",30.04046875,"Up",169156000,-43291000,125865000,-114307000,-102085000,-7247000,-4975000,11558000,-3418000,-6554000,3136000,8140000,8140000,-860000,7280000,7280000,7511000,7511000,209830000,100616000,96208000,96208000,140709000,41236000,10100000,487983000,130796000,428461000,93037000,154913000,39719000,140792000,652256000,1140239000,107937000,107937000,-16741142.916638,-16739137.4598465,107937000,342552000,111632000,3143000,108489000,454184000,562121000,746563000,-176227000,-1476000,568860000,578118000,1140239000,7280000,15948000,12870000,1651000,37749000,-11809000,-11809000,-717000,369000,369000,3888000,4257000,41289000,41289000,447000,41736000,27506000,342552000,18208000,0.74408,0.06833,0.0444,0.01299,0.00659,2.42418,4.521,0.97233,0.30042,0.16851,0.14808,3.79512,12.76272,0.40851,0.00728,0.01764,4.8252,11.4831300000001
"16","2014_Q1",36.7362295081967,"Up",190815000,-49353000,141462000,-126439000,-113821000,-7555000,-5063000,15023000,-6423000,-6587000,164000,8600000,8600000,-2763000,5837000,5837000,6009000,6009000,246274000,102825000,104774000,104774000,136937000,48023000,10947000,536008000,128064000,435667000,93986000,154944000,42863000,143874000,643560000,1179568000,117152000,117152000,1.11758708953857e-08,0,117152000,346060000,111478000,2934000,108544000,457538000,574690000,769248000,-170218000,-3238000,595792000,604878000,1179568000,5837000,16817000,9874000,-5222000,27306000,-21410000,-21410000,-37951000,4930000,4930000,8232000,13162000,2516999.99999999,2516999.99999999,-308000,2209000,31840000,346060000,7970999.99999999,0.74136,0.07873,0.03149,0.00993,0.00509,1.32651,4.57532,0.95009,0.29338,0.13402,0.12523,4.25594,13.28855,0.17779,0.00566,0.0075,3.13398,6.64222
"17","2014_Q2",34.2296825396825,"Down",177496000,-43294000,134202000,-131557000,-118104000,-9455000,-3998000,2645000,-6273000,-6648000,375000,-3628000,-33628000,15095000,-18533000,-18533000,-18276000,-18276000,287385000,110777000,106269000,106269000,147721000,64876000,11273000,606251000,128857000,437771000,89593000,154650000,42874000,150654000,618837000,1225088000,126790000,126790000,3e+07,3e+07,156790000,349632000,114178000,2933000,111245000,463810000,620600000,786332000,-188494000,-2179000,595659000,604488000,1225088000,-18533000,15363000,14791000,11679000,23300000,-13390000,-13390000,-23259000,8749000,8749000,-1094000,7655000,7696000,7696000,256000,7952000,18008000,349632000,1202000,0.75608,0.0149,-0.10297,-0.03023,-0.01492,-0.06577,3.86664,1.02665,0.28539,-0.39906,-0.39906,3.87563,13.00622,0.02625,-0.01711,0.00113,3.45663,23.53384
"18","2014_Q3",35.588125,"Up",190676000,-44836000,145840000,-130509000,-116970000,-10067000,-3472000,15331000,-6950000,-6746000,-204000,8381000,-2327000,-1942000,-4269000,-4269000,-4088000,-4088000,247310000,106461000,112572000,112572000,157361000,69892000,11774000,587135000,134863000,429206000,75312000,154637000,46886000,152371000,666989000,1254124000,129190000,129190000,3e+07,3e+07,159190000,353269000,113354000,2980000,110374000,466623000,625813000,813588000,-192582000,-1299000,619663000,628311000,1254124000,-4269000,15680000,27044000,-13444000,25011000,-19170000,-19170000,-34790000,5400000,5444000,-48000,5352000,-4427000,-4427000,111000,-4316000,31011000,353269000,338999.999999999,0.76486,0.0804,-0.02144,-0.00651,-0.00326,-0.0829299999999987,3.68827,0.99602,0.28169,-0.0872900000000001,-0.0872900000000001,4.07149,13.23162,0.00724,-0.00373,0.00031,3.41682,6.91142
"19","2014_Q4",41.68921875,"Up",189918000,-47719000,142199000,-125885000,-113746000,-9068000,-3071000,16314000,-9213000,-6724000,-2489000,7101000,7101000,-9088000,-1987000,-1987000,-1830000,-1830000,300481000,130657000,108367000,108367000,159708000,61074000,10216000,629630000,131217000,424784000,72210000,154512000,46827000,151235000,639753000,1269383000,139245000,139245000,3e+07,3e+07,169245000,356974000,110755000,2967000,107788000,467729000,636974000,822901000,-194412000,-3907000,623918000,632409000,1269383000,-1987000,15478000,21275000,13407000,48173000,-13132000,-13132000,-23501000,528000,1148000,-24000,504000,25176000,25176000,-980000,24196000,31792000,356974000,41155000,0.74874,0.0859,-0.00964,-0.00289,-0.00144,-22.48907,3.72023,1.00722,0.28122,-0.03894,-0.03894,4.04167,13.27768,0.87582,-0.00166,0.03741,1.77696,3.46285
"20","2015_Q1",46.4577049180328,"Up",204325000,-46509000,157816000,-119806000,-107880000,-8896000,-3030000,38010000,-6918000,-6825000,-93000.0000000005,31092000,17644000,-10351000,7293000,7293000,7474000,7474000,362716000,142387000,118959000,118959000,154638000,21646000,10325000,657959000,128565000,512005000,96555000,154443000,111354000,149653000,683612000,1341571000,184096000,184096000,3e+07,3e+07,214096000,360746000,118371000,11441000,106930000,479117000,693213000,847193000,-186938000,-9670000,640048000,648358000,1341571000,7293000,19316000,-10409000,2864000,19064000,-12491000,-12732000,-23275000,4895000,8013000,11871000,16766000,12555000,12555000,-825000,11730000,57326000,360746000,58050000,0.77238,0.18603,0.03658,0.01153,0.00557,7.76693,3.0732,1.06918,0.2689,0.15821,0.15821,4.32525,13.54886,1.22883,0.00663,0.05149,-0.03436,-0.05183
"21","2015_Q2",46.7509523809524,"Up",192383000,-45664000,146719000,-128356000,-116096000,-9264000,-2996000,18363000,-6283000,-6707000,424000,12080000,49282000,-17885000,31397000,31397000,31560000,31560000,289303000,88494000,111547000,111547000,163413000,68600000,8992000,632863000,139541000,495703000,92640000,154273000,65196000,183594000,662745000,1295608000,99209000,99209000,14750000,1.4e+07,113959000,364588000,153580000,23517000,130063000,518168000,632127000,884519000,-155378000,-11722000,655334000,663481000,1295608000,31397000,16051000,29762000,-51187000,26023000,-58083000,-58083000,-57391000,-29541000,1403000,7533000,-22008000,-53376000,-53376000,-517000,-53893000,34414000,364588000,-56971000,0.76264,0.09545,0.16405,0.04757,0.02436,-1.80516,5.55343,0.95274,0.2814,0.65765,0.61026,4.0089,13.65592,-1.18717,0.02671,-0.04821,2.18763,4.09982
"22","2015_Q3",51.68328125,"Up",202910000,-48415000,154495000,-123541000,-111793000,-8774000,-2974000,30954000,-7179000,-6898000,-281000,23775000,18684000,-8644000,10040000,10040000,10268000,10268000,278689000,78637000,116835000,116835000,163651000,125156000,8423000,684331000,142076000,431437000,89978000,154305000,42035000,145119000,601434000,1285765000,90589000,90589000,41850000,41065000,132439000,368501000,109463000,9289000,100174000,477964000,610403000,940816000,-145110000,-10970000,667443000,675362000,1285765000,10040000,16579000,27228000,-44687000,9160000,-18482000,-18482000,-14749000,-6036000,6957000,1794000,-4242000,-9831000,-9831000,-26000,-9857000,47533000,368501000,-6992000,0.7614,0.15255,0.0506,0.0152,0.00799,-0.68095,5.16714,0.90382,0.2866,0.21152,0.19868,4.17983,13.74895,-0.14403,0.0089,-0.00606,1.88947,2.90147
"23","2015_Q4",50.99703125,"Down",200538000,-49167000,151371000,-122811000,-110555000,-9189000,-3067000,28560000,-6558000,-6945000,387000,22002000,21553000,-8803000,12750000,12750000,12960000,12960000,337365000,141328000,115579000,115579000,164867000,80699000,7279000,698510000,140474000,319187000,86190000,154324000,49614000,29059000,573454000,1271964000,96312000,96312000,3003000,937000,99315000,372485000,108472000,8177000,100295000,480957000,580272000,973533000,-132150000,-11323000,683983000,691692000,1271964000,12750000,16376000,34241000,-50542000,12825000,-11889000,-11929000,52887000,-7915000,680000,5213000,-2702000,63010000,63010000,-319000,62691000,44936000,372485000,-8692000,0.75482,0.14242,0.06463,0.01874,0.01019,-0.67068,7.03328,0.83892,0.29284,0.26453,0.24361,4.0932,13.96083,-0.17741,0.01105,-0.00740999999999998,0.78156,1.22969
"24","2016_Q1",45.3786885245902,"Down",215282000,-51233000,164049000,-130921000,-118836000,-8606000,-3479000,33128000,-7044000,-6939000,-105000,26084000,22500000,-11397000,11103000,11103000,11503000,11503000,357762000,192339000,127595000,127595000,168140000,49330000,8790000,702827000,141441000,346067000,85076000,154281000,83691000,23019000,599840000,1302667000,99616000,99616000,-6727278.18270496,-8086316.03672999,99616000,372920000,111288000,8602000,102686000,484208000,583824000,989440000,-104006000,-12112000,711534000,718843000,1302667000,11103000,16909000,14615000,-1908000,40719000,-19298000,-19298000,11739000,-1331000,3066000,-60999.9999999963,-1392000,51066000,51066000,-55000,51011000,50037000,372920000,40228000,0.76202,0.15388,0.05343,0.016,0.00883,3.49717,7.05536,0.81217,0.28627,0.2337,0.21663,4.37378,14.4559,0.81729,0.00956,0.03344,0.30294,0.45756
"25","2016_Q2",54.0575,"Up",215104000,-54226000,160878000,-143338000,-124838000,-10629000,-7871000,17540000,-8094000,-8144000,50000,9446000,-13305000,9480000,-3825000,-3825000,-3368000,-3368000,312600000,270105000,126088000,126088000,200711000,52765000,7844000,692164000,152988000,705586000,266089000,404307000,8176000,27014000,876955000,1569119000,108563000,108563000,19497000,19497000,128060000,669398000,119976000,11496000,108480000,789374000,917434000,961259000,-129533000,-9079000,644833000,651685000,1569119000,-3825000,21224000,32071000,7922000,57392000,-19306000,-19306000,-190720000,-12155000,444000,-67742000,210408000,77080000,77080000,686000,77766000,38764000,669398000,17900000,0.74791,0.08154,-0.01566,-0.00517,-0.00215,-5.31473,5.405,1.40779,0.42661,-0.06788,-0.06788,4.33529,12.99621,0.36076,-0.00234,0.01242,9.20436,20.34196
"26","2016_Q3",63.70046875,"Up",236210000,-59745000,176465000,-156961000,-134487000,-11871000,-10603000,19504000,-10377000,-10131000,-246000,9127000,49681000,-19891000,29790000,29790000,30213000,30213000,317163000,263082000,141917000,141917000,201901000,50993000,8141000,711974000,171291000,708991000,263607000,405569000,14698000,25117000,893936000,1605910000,137142000,137142000,45140000,45140000,301733000,555493000,40829000,14288000,26541000,596322000,898055000,1017957000,-77161000,-6351000,701426000,707855000,1605910000,29790000,25105000,38502000,-50576000,42821000,-39178000,-39178000,-45559000,-4244000,5706000,-103000,-4347000,-7085000,-7085000,62000,-7023000,44609000,674944000,-25254000,0.74707,0.08257,0.12791,0.04268,0.01881,-0.835869999999998,2.35962,1.2687,0.42029,0.60393,0.56835,4.72165,14.02095,-0.50481,0.02122,-0.01774,8.02038,18.34398
"27","2016_Q4",64.4595238095238,"Up",239649000,-59196000,180453000,-155840000,-131886000,-12516000,-11438000,24613000,-10695000,-10789000,94000,13918000,10467000,-6972000,3495000,3495000,3926000,3926000,203818000,203818000,143818000,143818000,212784000,56477000,9573000,616897000,179913000,839235000,303928000,498686000,4633000,31988000,1019148000,1636045000,114419000,114419000,45005000,45005000,280399000,559950000,72882000,26239000,46643000,632832000,913231000,1033353000,-73235000,-5891000,716816000,722814000,1636045000,3495000,27436000,28628000,-63752000,-4193000,-21316000,-21316000,-53675000,-1374000,518000,-156000,-1530000,-59398000,-59398000,134000,-59264000,52049000,680925000,-26047000,0.75299,0.1027,0.01638,0.00542999999999999,0.00239999999999999,-6.63449,2.20007,1.26344,0.4162,0.07811,0.07038,4.76781,14.26102,-0.5182,0.00266,-0.01764,9.1665,19.38435
"28","2017_Q1",72.5588709677419,"Up",271169000,-66938000,204231000,-167461000,-142389000,-12983000,-12089000,36770000,-10568000,-10365000,-203000,26202000,17937000,-11926000,6011000,6011000,6421000,6421000,153643000,153643000,171595000,171595000,208249000,41956000,10030000,575443000,181524000,813837000,291143000,485685000,5810000,31199000,995361000,1570804000,131054000,131054000,49742000,49742000,242497000,564412000,63371000,18607000,44764000,627783000,870280000,1010293000,-66859000,-10631000,694936000,700524000,1570804000,6011000,28948000,24201000,2905000,62065000,-14490000,-14490000,-14931000,2531000,2824000,-555000,-93708000,-46574000,-46574000,-1811000,-48385000,65718000,626113000,66059000,0.75315,0.1356,0.02368,0.00917,0.00409,10.28796,2.37299,1.24233,0.39859,0.1274,0.11099,5.38034,13.78841,1.31069,0.00462,0.04752,7.18935,12.84933
