"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share"
"18","2014_Q4",0.82109375,"Down",4791000,-3678000,1113000,-3227000,-1782000,-1445000,-2114000,-393000,-393000,150057.142178262,-2507000,-4059000,-4059000,-4059000,-4059000,-4059000,-4059000,187000,708000,1213000,-1951000,-25000,-25000,-88000,0,0,-87999.9999999981,-2064000,-2064000,-2064000,-1927000,5589000,0.23231,-0.44124,-0.84721,-0.09787,-0.09787,0.11552
"19","2015_Q1",1.31868852459016,"Up",2516000,-2629000,-113000,-2891000,-1611000,-1280000,-3004000,-388000,-393000,5000.00000000006,-3392000,-5811000,-5811000,-5811000,-5811000,-5811000,-5811000,160000,1187000,1413000,-3051000,-37000,-37000,0,8000,8000,8000,-3080000,-3080000,-3080000,-2844000,5837000,-0.04491,-1.19396,-2.30962,-0.14039,-0.14039,0.06079
"20","2015_Q2",0.573809523809524,"Down",2114000,-1415000,699000,-3143000,-1759000,-1384000,-2444000,-471000,-480000,9000,-2915000,-6457000,-6458000,-6458000,-6458000,-6458000,-6458000,148000,-149000,1394000,-5065000,-38000,-38000,3059000,10562000,10562000,13621000,8518000,8518000,8518000,-2296000,0,0.33065,-1.1561,-3.05487,-0.14445,-0.14445,0.04728
"21","2015_Q3",0.45390625,"Down",1429000,-1324000,105000,-3280000,-1744000,-1536000,-3175000,1058000,-489000,1547000,-2117000,-4355000,-4355000,-4355000,-4355000,-4355000,-4355000,134000,812000,1598000,-1811000,-48000,-48000,-1164000,-11000,-11000,-1175000,-3034000,-3034000,-3034000,-3041000,0,0.07348,-2.22183,-3.04759,-0.08649,-0.08649,0.02838
"22","2015_Q4",0.6803125,"Up",1617000,-1593000,24000.0000000001,-3159000,-1710000,-1449000,-3135000,-1336000,-447000,-889000,-4471000,-5370000,-5370000,-5370000,-5370000,-5370000,-5370000,30000,1477000,1229000,-2634000,-52000,-52000,-1191000,-1.86264514923096e-09,-1.86264514923096e-09,-1191000,-3877000,-3877000,-3877000,-3105000,-9.31322574615479e-10,0.01484,-1.93878,-3.32096,-0.10664,-0.10664,0.03211
"23","2016_Q1",1.16819672131148,"Up",2852000,-1583000,1269000,-4308000,-2628000,-1680000,-3039000,-2396000,-648000,-1748000,-5435000,-4344000,-4344000,-4344000,-4344000,-4344000,-4344000,37000,9126000,-4643000,176000,-223000,-223000,7083000,1000,1000,7084000,7037000,7037000,7037000,-3002000,13748000,0.44495,-1.06557,-1.52314,-0.0861,-0.0861,0.05653
"24","2016_Q2",1.26078125,"Up",4600000,-1149000,3451000,-3911000,-2265000,-1646000,-460000,-129000,-137000,8000,-589000,-1412000,-1413000,-1413000,-1413000,-1413000,-1413000,54000,-2842000,-438000,-4639000,-139000,-139000,-55999.9999999981,40000,40000,-15999.9999999991,-4794000,-4794000,-4794000,-406000,13934000,0.75022,-0.0999999999999999,-0.30717,-0.02806,-0.02806,0.09133
"25","2016_Q3",1.495,"Up",6928000,-3267000,3661000,-3990000,-2159000,-1831000,-329000,-142000,-132000,-9999.99999999977,-471000,-1494000,-1494000,-1494000,-1494000,-1494000,-1494000,72000,-3346000,890000,-3878000,-135000,-135000,-81000,7000,7000,-74000,-4087000,-4087000,-4087000,-257000,14086000,0.52844,-0.04749,-0.21565,-0.02925,-0.02925,0.13563
"26","2016_Q4",1.10777777777778,"Down",2589000,-2580000,8999.99999999953,-3861000,-2398000,-1463000,-3852000,-140000,-159000,19000,-3992000,-4401000,-4401000,-4401000,-4401000,-4401000,-4401000,84000,-112000,-1298000,-5727000,-43000,-43000,-113000,10474000,10474000,10361000,4591000,4591000,4591000,-3768000,14318000,0.00348000000000015,-1.48783,-1.69988,-0.0839,-0.0839,0.04936
"27","2017_Q1",0.999193548387097,"Down",5538000,-5263000,275000,-3558000,-2211000,-1347000,-3283000,219000,-150000,369000,-3064000,-3919000,-3923000,-3923000,-3923000,-3923000,-3923000,77000,-1148000,-1556000,-6550000,-29000,-29000,621000,40000,40000,661000,-5918000,-5918000,-5918000,-3206000,14402000,0.04966,-0.59281,-0.70838,-0.06406,-0.06406,0.09044
"28","2017_Q2",1.15428571428571,"Up",9426000,-8746000,680000,-3410000,-1914000,-1496000,-2730000,-146000,-148000,2000,-2876000,-3342000,-3342000,-3342000,-3342000,-3342000,-3342000,73000,393000,527000,-2349000,-30000,-30000,611000,62000,62000,672999.999999998,-1706000,-1706000,-1706000,-2657000,14628000,0.07214,-0.28962,-0.35455,-0.05418,-0.05418,0.15282
"29","2017_Q3",0.895079365079365,"Down",11404000,-10760000,644000,-3438000,-1951000,-1487000,-2794000,-138000,-138000,0,-2932000,-3847000,-3847000,-3847000,-3847000,-3847000,-3847000,71000,510000,105000,-3161000,-23000,-23000,-185000,95000,95000,-90000,-3274000,-3274000,-3274000,-2723000,14650000,0.05647,-0.245,-0.33734,-0.0622,-0.0622,0.1844
"30","2017_Q4",0.498253968253968,"Down",9010000,-8285000,725000,-2939000,-1780000,-1159000,-2214000,-135000,-135000,0,-2349000,-3097000,-3098000,-3098000,-3098000,-3098000,-3098000,70000,424000,440000,-2164000,-25000,-25000,1120000,4456000,4456000,5576000,3387000,3387000,3387000,-2144000,14661000,0.08047,-0.24573,-0.34384,-0.0472,-0.0472,0.13726
"31","2018_Q1",0.300655737704918,"Down",8482000,-8075000,407000,-2818000,-1729000,-1089000,-2411000,-141000,-143000,2000,-2552000,-3128000,-3133000,-3133000,-3133000,-3133000,-3133000,66000,715000,-1019000,-3371000,-16000,-16000,-569000,2793000,2793000,2224000,-1163000,-1163000,-1163000,-2345000,14766000,0.04798,-0.28425,-0.36937,-0.04299,-0.04299,0.11638
"32","2018_Q2",0.18421875,"Down",8879000,-8500000,379000,-2699000,-1691000,-1008000,-2320000,-142000,-147000,5000,-2462000,-4673000,-4673000,-4673000,-4673000,-4673000,-4673000,67000,370000,1126000,-3110000,-34000,-34000,-158000,1794000,1794000,1636000,-1508000,-1508000,-1508000,-2253000,15125000,0.04268,-0.26129,-0.5263,-0.05667,-0.05667,0.10768
"33","2018_Q3",0.226349206349206,"Up",8426000,-7944000,482000,-2368000,-1585000,-783000,-1886000,-143000,-133000,-10000,-2029000,-3417000,-3417000,-3417000,-3417000,-3417000,-3417000,65000,313000,256000,-2783000,-3000,-3000,37000,2818000,2818000,2855000,69000,69000,69000,-1821000,15137000,0.0572,-0.22383,-0.40553,-0.03727,-0.03727,0.0919
"34","2018_Q4",0.426507936507937,"Up",7203000,-6617000,586000,-2280000,-1745000,-535000,-1694000,-190000,-183000,-7000,-1884000,-4644000,-4644000,-4644000,-4644000,-4644000,-4644000,77000,390000,1989000,-2188000,-35000,-35000,2450000,11152000,11152000,13579000,11356000,11356000,11356000,-1617000,17084000,0.08135,-0.23518,-0.64473,-0.04024,-0.04024,0.06242
"35","2019_Q1",0.461639344262295,"Up",9021000,-8167000,854000,-2408000,-1835000,-573000,-1554000,-275000,-276000,1000,-1829000,-4388000,-4386000,-4386000,-4386000,-4386000,-4386000,45000,433000,1421000,-2487000,-2000,-2000,-305000,9000,9000,-296000,-2785000,-2785000,-2785000,-1509000,17722000,0.09467,-0.17226,-0.4862,-0.03161,-0.03161,0.06502
"36","2019_Q2",0.370793650793651,"Down",5105000,-4826000,279000,-2563000,-1973000,-590000,-2284000,-271000,-272000,1000,-2555000,-4050000,-4050000,-4050000,-4050000,-4050000,-4050000,48000,748000,-1155000,-4409000,-25000,-25000,-393000,15999.9999999981,15999.9999999981,-377000,-4811000,-4811000,-4811000,-2236000,17478000,0.05465,-0.4474,-0.79334,-0.02913,-0.02913,0.03672
"37","2019_Q3",0.3175,"Down",5512000,-5108000,404000,-2569000,-2004000,-565000,-2165000,-260000,-258000,-2000,-2425000,-3518000,-3519000,-3519000,-3519000,-3519000,-3519000,44000,574000,644000,-2257000,-20000,-20000,-88000,6000,6000,-82000,-2359000,-2359000,-2359000,-2121000,17374000,0.07329,-0.39278,-0.63843,-0.025,-0.025,0.03916
"38","2019_Q4",0.339375,"Up",6116000,-5666000,450000,-2330000,-1747000,-583000,-1880000,-249000,-245000,-4000,-2129000,-3108000,-3108000,-3108000,-3108000,-3108000,-3108000,40000,610000,-108000,-2566000,-25000,-25000,-712000,2457000,2457000,1745000,-846000,-846000,-846000,-1840000,15665000,0.07358,-0.30739,-0.50818,-0.02099,-0.02099,0.04131
"39","2020_Q1",0.299516129032258,"Down",9370000,-7933000,1437000,-2467000,-1822000,-645000,-1030000,-169000,-170000,1000,-1199000,-1763000,-1775000,-1775000,-1775000,-1775000,-1775000,40000,486000,-1004000,-2253000,-13000,-13000,1501000,3922000,3922000,5346000,3080000,3080000,3080000,-990000,16205000,0.15336,-0.10993,-0.18943,-0.01078,-0.01078,0.05691
"40","2020_Q2",0.256825396825397,"Down",14631000,-12522000,2109000,-2875000,-2221000,-654000,-766000,-151000,-148000,-3000,-917000,-1542000,-1542000,-1542000,-1542000,-1542000,-1542000,39000,470000,-3347000,-4380000,-12000,-12000,1321000,923563.748592121,923563.748592121,1289000,-3103000,-3103000,-3103000,-727000,16206000,0.14415,-0.05235,-0.10539,-0.00909,-0.00909,0.08621
"41","2020_Q3",0.60796875,"Up",10906000,-9080000,1826000,-2655000,-1957000,-698000,-829000,-152000,-150000,-2000,-981000,-1829000,-1830000,-1830000,-1830000,-1830000,-1830000,36000,419000,2973000,1598000,3000,3000,-2612000,2761000,2761000,139000,1740000,1740000,1740000,-793000,16829000,0.16743,-0.07601,-0.1678,-0.01043,-0.01043,0.06215
"42","2020_Q4",0.6146875,"Up",10212000,-8875000,1337000,-2547000,-1816000,-731000,-1210000,-136000,-139000,3000,-1346000,-2130000,-2130000,-2130000,-2130000,-2130000,-2130000,37000,464000,-2503000,-4132000,-16000,-16000,1902000,9441000,9441000,11282000,7134000,7134000,7134000,-1173000,16815000,0.13092,-0.11849,-0.20858,-0.01108,-0.01108,0.05312
"43","2021_Q1",1.23655737704918,"Up",11485000,-10026000,1459000,-3123000,-2253000,-870000,-1664000,9000,-94000,103000,-1655000,-1766000,-1766000,-1766000,-1766000,-1766000,-1766000,35000,565000,-54000,-1220000,-18000,-18000,273000,4000,4000,277000,-961000,-961000,-961000,-1629000,20880000,0.12704,-0.14488,-0.15377,-0.00897,-0.00897,0.05832
"44","2021_Q2",2.21301587301587,"Up",14897000,-13396000,1501000,-3081000,-1957000,-1124000,-1580000,-149000,-147000,-2000,-1729000,-4016000,-4017000,-4017000,-4017000,-4017000,-4017000,33000,579000,-886000,-4291000,-41000,-41000,879000,13719000,13719000,14322000,9990000,9990000,9990000,-1547000,17248000,0.10076,-0.10606,-0.26965,-0.02188,-0.02188,0.08114
"45","2021_Q3",6.560625,"Up",64363000,-21498000,42865000,-5152000,-3092000,-2060000,37713000,5e+05,-145000,645000,38213000,34376000,27776000,27776000,27776000,27776000,27776000,32000,-42000,3652000,31418000,-103000,-103000,-3972000,631999.999999998,631999.999999998,-3387000,27928000,27928000,27928000,37745000,17401000,0.66599,0.58594,0.43155,0.12911,0.11776,0.29917
"46","2021_Q4",6.47671875,"Down",26749000,-24241000,2508000.00000001,-4628000,-2590000,-2038000,-2119999.99999999,-127000,-125000,-2000,-2246999.99999999,-10708000,-10708000,-10708000,-10708000,-10708000,-10708000,30000,654000,2992000,-7031999.99999999,-174000,-174000,3651000,23007000,23007000,25944000,18738000,18738000,18738000,-2090000,21179000,0.09376,-0.0792600000000001,-0.40031,-0.04977,-0.0454,0.12434
"47","2022_Q1",5.16225806451613,"Down",36346000,-34323000,2023000,-5159000,-3140000,-2019000,-3136000,-149000,-151000,2000,-3285000,-8194000,-8220000,-8220000,-8220000,-8220000,-8220000,32000,649000,-6549000,-14088000,-202000,-202000,-14343000,14029000,14029000,-413000,-14703000,-14703000,-14703000,-3104000,7562000,0.05566,-0.08628,-0.22616,-0.03279,-0.04361,0.14499
"48","2022_Q2",4.37693548387097,"Down",50200000,-46837000,3363000,-6395000,-3938000,-2457000,-3032000,-13000,-11000,-2000,-3045000,-5871000,-5872000,-5872000,-5872000,-5872000,-5872000,81000,849000,6159000,1217000,-221000,-221000,-2459000,1905000,1905000,-1145000,-149000.000000004,-149000.000000004,-149000.000000004,-2951000,5108000,0.06699,-0.0604,-0.11697,-0.02584,-0.0251,0.22088
"49","2022_Q3",3.12546875,"Down",55358000,-50610000,4748000,-6396000,-3724000,-2672000,-1648000,9000,15000,-6000,-1639000,-4952000,-4952000,-4952000,-4952000,-4952000,-4952000,76000,937000,1289000,-2650000,-105000,-105000,3078000,2020000,2020000,4990000,2235000,2235000,2235000,-1572000,8208000,0.08577,-0.02977,-0.08945,-0.02141,-0.02141,0.23934
