"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","dividends_per_share","dividend_payout_ratio"
"13","2019_Q2",4.85968253968254,"Up",53952000,-50421000,3531000,-17722000,-11619000,-4924000,-1179000,-14191000,3679000,-1809000,5488000,-10512000,-4088000,-14600000,-14600000,-14600000,-14600000,-1395000,-15995000,-14600000,4924000,-229000,-12286000,-22191000,-4968000,-22717000,-4968000,-1395000,-1397000,354000,-2438000,-29597000,-29597000,-29597000,-9267000,13185000,0.06545,-0.26303,-0.29647,-0.23863,-0.23863,0.80493,0.02081,-0.08721
"14","2019_Q3",4.7115625,"Down",71615000,-62623000,8992000,-20429000,-13607000,-5122000,-1700000,-11437000,-1404000,-1530000,126000,-12841000,-118000,-12959000,-12959000,-12959000,-12959000,-1395000,-14354000,-12959000,5122000,780000.000000002,5022000,-2035000,-4935999.99999999,-19852000,-4936000.00000001,-1395000,-1294000,678000,-2011000,-8982000,-8982000,-8982000,-6315000,15433000,0.12556,-0.1597,-0.20043,-0.21414,-0.21414,1.06841,0.02081,-0.09719
"15","2019_Q4",3.9790625,"Down",74682000,-67311000,7371000,-22828000,-12755000,-5723000,-4350000,-15457000,5471000,-1870000,7341000,-9986000,-1871000,-11857000,-12019000,-12019000,-12019000,-1395000,-13414000,-12019000,5723000,-5504000,6278000,-5522000,-6162000,-17965000,-6162000,-1395000,-3010000,759000,-3646000,-15330000,-15330000,-15330000,-9734000,14397000,0.0987,-0.20697,-0.17961,-0.20009,-0.20009,1.11398,0.02081,-0.104
"16","2020_Q1",2.975,"Down",71815000,165138000,236953000,-247739000,-9995000,-6627000,-231117000,-10786000,5325000,-2596000,7921000,-5461000,-9336000,-14797000,-15276000,-15276000,-15276000,-1395000,-16671000,-15276000,6627000,-769000,11048000,1630000,4073000,-14358000,4073000,-1395000,-1739000,485000,-2649000,3054000,3054000,3054000,-4159000,13125000,3.29949,-0.15019,-0.23214,-0.2486,-0.2486,1.0709,0.0208,-0.08368
"17","2020_Q2",1.64253968253968,"Down",61135000,-58022000,3113000,-17164000,-9818000,-6794000,-552000,-14051000,-2248000,-2615000,367000,-16299000,-792000,-17091000,-17362000,-17362000,-17362000,-1395000,-18757000,-17362000,8698000,-2878000,8965000,-2577000,-6482000,-6573000,-6482000,-1395000,-1484000,313000,-2566000,-11625000,-11625000,-11625000,-5353000,12468000,0.05092,-0.22984,-0.30681,-0.27966,-0.27966,0.91152,0.0208,-0.07437
"18","2020_Q3",1.5421875,"Down",32100000,-34053000,-1952999.99999997,-13320000,-6368000,-6682000,-270000,-15273000,-26878000,-2456000,-24422000,-42151000,3125000,-39026000,-39526000,-39526000,-39526000,-1395000,-40921000,-39526000,8601000,26922000,895000,-3108000,-1147000,-1129000,-1147000,0,-584000,379000,-205000,-4460000,-4460000,-4460000,-6672000,12061000,-0.0608399999999999,-0.47579,-1.2748,-0.60974,-0.60974,0.4783,0,0
"19","2020_Q4",1.768125,"Up",66465000,-57163000,9302000,-14996000,-7916000,-6853000,-227000,-5694000,-2918000,-2761000,-157000,-8612000,-302000,-8914000,-9412000,-9412000,-9412000,-1395000,-10807000,-9412000,9165000,-4575000,8206000,3384000,-2052000,-1905000,-2052000,0,-1781000,1074000,-707000,625000,625000,625000,3471000,12435000,0.13995,-0.08567,-0.1626,-0.16079,-0.16079,0.98886,0,0
"20","2021_Q1",2.71311475409836,"Up",60287000,140404000,200691000,-203029000,-7182000,-6823000,-189024000,-2338000,14030000,-2571000,16601000,11692000,-1310000,10382000,9946000,9946000,9946000,-1395000,8551000,9946000,688000,-11233000,1575000,976000,34623000,-1068000,34623000,0,-1742000,472000,-1270000,34329000,34329000,34329000,-1650000,70403000,3.32893,-0.03878,0.14184,0.12717,0.12717,0.8966,0,0
"21","2021_Q2",3.20111111111111,"Up",61091000,-50974000,10117000,-14783000,-7982000,-6245000,-556000,-4666000,-2534000,-2473000,-61000,-7200000,-3209000,-10409000,-10904000,-10904000,-10904000,-1395000,-12299000,-10904000,8245000,-3310000,-1587000,-7556000,-6542000,-6542000,-6542000,-672049.084571278,-1685000,628000,52848000,38750000,38750000,38750000,3579000,11653000,0.16561,-0.07638,-0.20132,-0.14897,-0.14897,0.73997,0.00822230774317396,-0.274887557708773
"22","2021_Q3",2.6915625,"Down",73879000,-3150999.99999994,70728000,-70236000,-8028000,-5784000,-56424000,492000.000000001,-2572000,-2554000,-17999.9999999981,-2080000,561000,-1519000,-1969000,-1969000,-1969000,-1395000,-3364000,-1969000,7910000,-1921000,4004000,8024000,-9597000,-9597000,-9597000,-1395000,-1397000,227000,-2565000,-4138000,-4138000,-4138000,8402000,67375000,0.95735,0.00666,-0.04553,-0.04075,-0.04075,0.89486,0.0169,-0.41468
"23","2021_Q4",2.20078125,"Down",76366000,-3696000,72670000,-78267000,-9685000,-5823000,-62759000,-5597000,-2329000,-2436000,107000,-7926000,-324000,-8250000,-8866000,-8866000,-8851000,-1395000,-10246000,-8866000,7789000,-1714000,-5547000,-8338000,-6112000,-6112000,-6112000,-1395000,-1538000,-44000,-2977000,-17427000,-17427000,-17427000,2192000,66812000,0.9516,-0.07329,-0.13417,-0.1152,-0.1152,0.85864,0.01569,-0.13615
"24","2022_Q1",1.35806451612903,"Down",70528000,45007000,115535000,-121353000,-8114000,-6166000,-107073000,-5818000,-1924000,-2551000,627000,-7742000,-2063000,-9805000,-10023000,-10023000,-9645000,-1395000,-11040000,-10023000,73999.9999999991,5160000,12913000,8124000,-10336000,-10336000,-10336000,-1395000,-1730000,-117000,-3242000,-5454000,-5454000,-5454000,-5744000,65649000,1.63814,-0.08249,-0.15653,-0.10874,-0.10734,0.69466,0.01374,-0.12636
"25","2022_Q2",1.42564516129032,"Up",68982000,-58500000,10482000,-16003000,-9063000,-6193000,-747000,-5521000,2e+05,-2445000,2645000,-5321000,-12871000,-18192000,-18913000,-18913000,-18966000,-1395000,-20361000,-18913000,8237000,5636000,2578000,-2462000,-10964000,-10964000,-8183000,-1435000,-1499000,-716000,-3650000,-14295000,-14295000,-14295000,2716000,65225000,0.15195,-0.08004,-0.29516,-0.22114,-0.22114,0.74921,0.01559,-0.07048
"26","2022_Q3",1.1946875,"Down",86689000,-5788000,80901000,-85101000,-11558000,-6132000,-67411000,-4200000,-2338000,-3331000,993000,-6538000,-2161000,-8699000,-9567000,-9567000,-9433000,-1395000,-10828000,-9569000,9021000,-1070000,1559000,-59000,-17820000,-17820000,-17724000,-1355000,-1405000,-685000,-3442000,-21225000,-21225000,-21225000,4821000,64067000,0.93323,-0.04845,-0.12491,-0.11721,-0.11721,0.93841,0.01467,-0.12514
