"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"13","2019_Q1",48.1268852459016,"Up",69674000,-23028000,46646000,-55310000,-40276000,-15034000,-8664000,-2160000,-2160000,-10824000,-10824000,-4807000,-15631000,-15631000,-15631000,-15631000,245878000,140622000,105256000,22555000,16413000,16413000,321369000,8442000,9982000,9982000,18424000,339793000,64560000,26708000,37852000,64560000,149268000,13706000,3777000,162974000,227534000,757314000,-643655000,-1400000,112259000,112259000,339793000,-15631000,2205000,12037000,18203000,16814000,-4547000,2758000,-1789000,-21000,2586000,2586000,2565000,17590000,17590000,17598000,-6459000,149268000,12004000,0.66949,-0.12435,-0.22434,-0.13924,-0.046,-0.76796,4.97783,2.02687,0.43929,-0.16792,-0.16792,0.74851,1.20601,0.12896,-0.05679,0.04361,14.95742,11.15074
"14","2019_Q2",50.6701587301587,"Up",73309000,-19814000,53495000,-59613000,-42571000,-17042000,-6118000,-2371000,-2371000,-8489000,-8489000,-3661000,-12150000,-12150000,-12150000,-12150000,256602000,152067000,104535000,24138000,15713000,15713000,335673000,8421000,26161000,26161000,34582000,370255000,70948000,29943000,41005000,70948000,149305000,23608000,14201000,172913000,243861000,783941000,-655805000,-1742000,126394000,126394000,370255000,-12150000,1929000,9807000,-3901000,-4315000.00000001,-860000,-129000.00000003,-989000.00000003,-8000.0000000149,16978000,16978000,16970000,11666000,11666000,11405000,-4189000,149305000,-5289000,0.72972,-0.08345,-0.16574,-0.09613,-0.03282,0.43531,4.73125,1.92937,0.40325,-0.12815,-0.12815,0.77321,1.33311,-0.05578,-0.04059,-0.01767,25.61399,17.53792
"15","2019_Q3",79.96875,"Up",86713000,-21106000,65607000,-64411000,-44957000,-19454000,1196000,-1239000,-1239000,-43000,-43000,-1227000,-1270000,-1270000,-1270000,-1270000,284584000,180073000,104511000,25454000,17412000,17412000,369983000,8399000,27807000,27807000,36206000,406189000,73567000,30069000,43498000,73567000,149344000,24372000,15498000,173716000,247283000,818338000,-657075000,-2357000,158906000,158906000,406189000,31958000,7221000,68904000,-4620000,103463000,-14108000,-457750000,-471858000,408419000,14820000,14820000,423239000,54844000,54844000,55352000,8417000,149344000,-9084000,0.7566,0.01379,-0.01465,-0.00799,-0.00313,7.15276,5.0292,1.55616,0.36767,-0.01318,-0.01318,0.89992,1.64915,-0.09428,-0.00382,-0.02731,-16.06748,-113.07692
"16","2019_Q4",80.7146875,"Up",92062000,-22900000,69162000,-65307000,-46541000,-18766000,3855000,-2555000,-2555000,1300000,1300000,630000,1930000,1930000,1930000,1930000,312599000,208034000,104565000,24388000,20051000,20051000,406942000,8425000,28491000,28491000,36916000,443858000,80405000,31998000,48407000,80405000,149384000,23704000,15363000,173088000,253493000,848151000,-655145000,-2641000,190365000,190365000,443858000,-31298000,-3157000,-42465000,-2570000,-79490000,7538000,460398000,467936000,-408434000,21320000,21320000,-387114000,1332000,1332000,655000.000000007,698000.000000002,149384000,5036000,0.75125,0.04187,0.02096,0.01014,0.00435,2.60933,5.06115,1.33162,0.33656,0.0196,0.0196,0.93478,1.93292,0.05113,0.00531,0.01386,-233.83238,-42.33852
"17","2020_Q1",79.0285483870968,"Down",99234000,-24786000,74448000,-74295000,-50554000,-23741000,153000,-1745000,-1745000,-1592000,-1592000,5852000,4260000,4260000,4260000,4260000,326090000,177321000,148769000,23701000,31297000,31297000,439947000,9342000,30159000,30159000,39501000,479448000,86311000,36925000,49386000,86311000,163564000,11783000,3976000,175347000,261658000,871442000,-650885000,-2767000,217790000,217790000,479448000,4260000,2467000,13475000,-13241000,6961000,-3055000,-43701000,-46756000,-8000,8594000,8594000,8586000,-31209000,-31209000,-30753000,2620000,163564000,-19528000,0.75023,0.00154,0.04293,0.01956,0.00889,-4.58404,5.09723,1.20142,0.34115,0.0429,0.0429,0.99936,2.19332,-0.19666,0.01084,-0.04967,-62.03282,-1062.26144
"18","2020_Q2",65.7679365079365,"Down",101828000,-24496000,77332000,-80713000,-55442000,-25271000,-3381000,-2432000,-2432000,-5813000,-5813000,9765000,3952000,3952000,3952000,3952000,331268000,181919000,149349000,22502000,43269000,43269000,462178000,9778000,30492000,30492000,40270000,502448000,84203000,40408000,43795000,84203000,149465000,26832000,18060000,176297000,260500000,892510000,-646933000,-3629000,241948000,241948000,502448000,3951999.99999999,1888000,16017000,-19900000,1956999.99999999,-3112000,-196881052.012426,-3112000,-7999.9999999404,4511000,4511000,4502999.99999994,3348000,3348000,3289000,-1493000,149465000,-34270000,0.75944,-0.0332,0.03881,0.01633,0.00787,-8.67156,5.48885,1.07668,0.29747,0.03957,0.03656,1.01953,2.42245,-0.34312,0.00945,-0.08194,121.77026,53.77196
"19","2020_Q3",79.96453125,"Up",115925000,-25474000,90451000,-83783000,-53864000,-29919000,6668000,-2617000,-2617000,4051000,4051000,-2396000,1655000,1655000,1655000,1655000,346714000,196784000,149930000,26136000,38905000,38905000,487781000,10530000,30628000,30628000,41158000,528939000,85121000,38506000,46615000,85121000,149507000,26489000,18467000,175996000,261117000,916632000,-645278000,-3532000,267822000,267822000,528939000,1655000,2601000,17901000,-9416000,12741000,-3315000,119226234.069464,-3315000,-7000,5352000,5352000,5345000,14771000,14771000,14880000,9269000,149507000,-1066000,0.78025,0.05752,0.01428,0.00618,0.00313,-0.64411,5.73044,0.97496,0.28265,0.01643,0.01537,1.15098,2.6591,-0.01058,0.00373,-0.0024,-21.27597,-29.57513
"20","2020_Q4",136.8434375,"Up",132660000,-28395000,104265000,-89243000,-56425000,-32818000,15022000,-3983000,-3983000,11039000,11039000,-1755000,9284000,9284000,9284000,9284000,234461000,234461000,401711398.947181,26479000,37984000,37984000,383485000,10271000,37293000,37293000,47564000,431049000,95334000,42206000,53128000,95334000,266549562.666183,28678000,17819000,28678000,124012000,946267000,-635994000,-3236000,307037000,307037000,431049000,9284000,2188000,20590000,-1093000,30969000,-2782000,1.5e+08,147218000,-150007000,9514000,9514000,-140493000,37694000,37694000,37796000,17210000,0,15090000,0.78596,0.11324,0.06998,0.03024,0.02154,1.62538,4.02254,0.4039,0,0.09173,0.08553,1.31077,3.03373,0.1491,0.02765,0.04495,-13.62353,-15.6078400000001
"21","2021_Q1",158.185081967213,"Up",184618000,-36512000,148106000,-210748000,-97453000,-113295000,-62642000,1290000,1290000,-61352000,-61352000,-11890000,-73242000,-73242000,-73242000,-73242000,842576000,234674000,607902000,27422000,32744000,11499000,999441000,11395000,41147000,41147000,52542000,1051983000,113612000,53647000,59965000,113612000,444198000,17647000,337000,461845000,575457000,1111435000,-631077000,-3832000,476526000,476526000,1051983000,-73242000,3574000,47279000,59478000,37089000,-14961000,-270664000,-285625000,149996000,6351000,6351000,156347000,-92189000,-92189000,-92529000,-59068000,444198000,-2661000,0.80223,-0.33931,-0.39672,-0.1537,-0.06962,0.03633,8.79697,1.20761,0.42225,-0.71863,-0.65883,1.81142,4.67553,-0.02611,-0.07805,-0.00284,6.7444,6.3596
"22","2021_Q2",194.53,"Up",134695000,-26385000,108310000,-108398000,-62482000,-45916000,-87999.9999999851,-2646000,-2646000,-2734000,-2733999.99999999,-1394000,-4128000,-4128000,-4128000,-4128000,864402000,314547000,549855000,27968000,30352000,30352000,1015236000,11733000,40661000,40661000,52394000,1067630000,110487000,52703000,57784000,110487000,572292000,12717000,177000.000000002,585009000,695496000,1005785000,-631703000,-1948000,372134000,372134000,1067630000,-4128000,2370000,21799000,-2259999.99999999,17781000,-3981000,58152000,54171000.0000001,-5999.9999999404,7961000,7961000,7954999.99999994,79907000,79907000,79805000,2282000.00000003,572292000,-2565000,0.80411,-0.000649999999999928,-0.03065,-0.01109,-0.00386999999999997,0.62137,9.18874,1.86894,0.53604,-0.04022,-0.04022,1.31239,3.62585,-0.02499,-0.00430999999999999,-0.00267999999999999,-128.00613,3319.43182
"23","2021_Q3",151.19484375,"Down",133517000,-28599000,104918000,-117213000,-66898000,-50315000,-12295000,-940000,-940000,-13235000,-13235000,-1406000,-14641000,-14641000,-14641000,-14641000,899031000,349124000,549907000,26690000,29409000,29409000,1045566000,11857000,39636000,39636000,51493000,1097059000,116206000,56785000,59421000,116206000,572506000,11078000,173000,583584000,699790000,1044732000,-646344000,-1119000,397269000,397269000,1097059000,-14641000,2480000,29356000,8976000,26171000,-2618000,0,-2618000,-7000,11066000,11066000,11059000,34612000,34612000,34609000,-9815000,572506000,-2051000,0.7858,-0.09209,-0.10966,-0.03685,-0.01335,0.14009,8.99752,1.7615,0.52186,-0.14265,-0.14265,1.30091,3.87075,-0.01998,-0.01493,-0.00209,33.26796,26.55754
"24","2021_Q4",100.37671875,"Down",133606000,-30206000,103400000,-111952000,-63811000,-48141000,-8552000,-1981000,-1981000,-10533000,-10533000,-2591000,-13124000,-13124000,-13124000,-13124000,933785000,689837000,243948000,22642000,18450000,855000,1069006000,11699000,39748000,39748000,51447000,1120453000,124549000,60005000,64544000,124549000,572866000,9874000,379000,582740000,707289000,1073532000,-659468000,-9e+05,413164000,413164000,1120453000,-13124000,2734000,27151000,7639000,24400000,-3297000,3.06e+08,302703000,-5999.99999999255,3042000,3042000,3036000,330139000,330139000,330105000,-5818000,572866000,1115000,0.77392,-0.06401,-0.09823,-0.03176,-0.01171,-0.08496,8.58302,1.71188,0.51128,-0.12707,-0.12707,1.29361,4.00037,0.0108,-0.01318,0.00112,62.03489,42.20288
"25","2022_Q1",73.663064516129,"Down",133213000,-29687000,103526000,-126924000,-69993000,-56931000,-23398000,-2175000,-2175000,-25573000,-25573000,-885000,-26458000,-26458000,-26458000,-26458000,937700000,208802000,728898000,24427000,17832000,807000,1073526000,22693000,43276000,43276000,65969000,1139495000,142602000,72600000,70002000,149079000,575213000,4709000,166000,579922000,729001000,1099589000,-685926000,-3169000,410494000,410494000,1139495000,-26458000,2667000,23481000,14714000,14404000,-14274000,-484816000,-499090000,-7000,3659000,3659000,3652000,-481034000,-481034000,-481083000,-20731000,575213000,-19406000,0.77715,-0.17564,-0.19861,-0.06445,-0.02322,0.73346,7.20105,1.77591,0.5048,-0.25179,-0.25179,1.26772,3.90647,-0.18468,-0.02671,-0.01959,17.48526,15.49222
"26","2022_Q2",75.3293548387097,"Up",137547000,-27727000,109820000,-110626000,-68392000,-42234000,-806000.000000007,-1709000,-1709000,-2515000,-2515000,-2132000,-4647000,-4647000,-4647000,-4647000,932301000,190739000,741562000,29084000,18232000,889000,1080582000,25072000,44556000,44556000,69628000,1150210000,127799000,69186000,58613000,127799000,577839000,8691000,156000,586530000,714329000,1127782000,-690573000,-1328000,435881000,435881000,1150210000,-4647000,2610000,25892000,-27542000,-3687000,-5093000,-12317000,-17410000.0000001,-6999.99999999953,3148000,3148000,3141000,-17956000,-17956000,-17981000,1804000,577839000,-28699000,0.79842,-0.00586,-0.03378,-0.01066,-0.00404,6.17581,8.45532,1.63882,0.50238,-0.04473,-0.04473,1.32404,4.19583,-0.27626,-0.00455,-0.02807,-196.4867,439.77916
"27","2022_Q3",78.004375,"Up",140866000,-28503000,112363000,-133491000,-76416000,-57075000,-21128000,-2228000,-2228000,-23356000,-23356000,-652000,-24008000,-24008000,-24008000,-24008000,948517000,367014000,581503000,29531000,18944000,749000,1094555000,26561000,41556000,41556000,68117000,1162672000,135399000,79910000,55489000,135399000,577223000,8378000,239000,585601000,7.21e+08,1158348000,-714581000,-2095000,441672000,441672000,1162672000,-24008000,2654000,27207000,9909000,15762000,-4131000,159888000,155757000,-7000,4743000,4743000,4736000,176255000,176255000,176135000,-18474000,577223000,-12044000,0.79766,-0.14999,-0.17043,-0.05436,-0.02065,0.50167,8.08392,1.63243,0.49646,-0.22946,-0.22946,1.34635,4.22136,-0.11511,-0.02337,-0.01172,20.09819,17.57355
