"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"13","2015_Q2",14.738253968254,"Down",55572000,-22153000,-6361000,-14150000,33419000,-13980000,-13880000,-1e+05,19439000,9.31322574615479e-10,19439000,19439000,19439000,19450000,16889000,4171000,4171000,265294000,265294000,371790000,1632707000,1632707000,2004497000,23720000,23720000,23720000,1048623000,0,0,1048623000,1072343000,1052405000,-120255000,932208000,932154000,2004497000,19439000,14150000,-694000,-8194000,24701000,0,-5926000,-6237000,-25672000,-42697000,-7587000,-7587000,-130000,-76086000,-57622000,-57622000,-57622000,47569000,1048623000,0.60136,0.30391,0.01812,0.00843,15.67411,1.15039,0.52314,0.28536,0.28357,0.93895,15.74971,0.43376,0.02149,1.52004,21.95657,31.25324
"14","2015_Q3",13.4509375,"Down",56586000,-27331000,-9363000,-14497000,29255000,-14152000,-14052000,-1e+05,15103000,1723000,16826000,16826000,16826000,16835000,14275000,6042000.00000001,6042000.00000001,285600000,285600000,403971000,1933831000,1933831000,2337802000,30573000,30573000,30573000,1236421000,5.6843418860808e-14,5.6843418860808e-14,1236421000,1266994000,1201806000,-130993000,1070871000,1070808000,2337802000,16826000,14497000,-2633000,-2084000,26606000,-301084000,-8519000,-314423000,-25671000,168599000,147649000,147649000,-704000,289873000,2056000.00000001,2056000.00000001,2056000.00000001,43752000,1236421000,0.517,0.25227,0.01333,0.00611,13.21333,1.18321,0.52888,0.24063,0.23974,0.95385,18.05031,0.43273,0.01731,1.79832,28.12166,42.05705
"15","2015_Q4",11.29828125,"Down",59934000,-22786000,-3546000,-16306000,37148000,-15276000,-15176000,-1e+05,21872000,-3838000,18034000,18034000,18034000,18061000,15500000,31473000,31473000,295687000,295687000,450780000,1974673000,1974673000,2425453000,27139000,27139000,27139000,1339070000,0,0,1339070000,1366209000,1202510000,-143234000,1059334000,1059244000,2425453000,18034000,16306000,635000,-7167000,27808000,-71332000,-6539000,-82021000,-29276000,109891000,-445000,-445000,-480000,79690000,25477000,25477000,25477000,53454000,1339070000,0.61982,0.25862,0.01463,0.00639,16.61004,1.2898,0.55209,0.23764,0.23736,0.91887,16.2401,0.44884,0.01867,1.88877,24.4621,35.19966
"16","2016_Q1",10.5667213114754,"Down",66772000,-22320000,3177000,-18126000,44452000,-13550000,-16110000,2560000,30902000,-5069000,25833000,25084000,25084000,25067000,22507000,7434000,7434000,309990000,309990000,429221000,2039616000,2039616000,2468837000,35182000,35182000,35182000,1379779000,-9.09494701772928e-13,-9.09494701772928e-13,1379779000,1414961000,1203193000,-149481000,1053770000,1053876000,2468837000,25084000,18126000,-2819000,1595000,41986000,-61673000,-21349000,-86545000,-29278000,50052000,-214000.00000003,-214000.00000003,41000,20601000,-23958000,-23958000,-23958000,62578000,1379779000,0.66573,0.33707,0.02136,0.00912,12.20002,1.34263,0.55888,0.34517,0.34396,1.02403,16.15997,0.44901,0.02128,1.30084,21.93015,30.87251
"17","2016_Q2",11.7515625,"Up",62559000,-26415000,-4714000,-17766000,36144000,-16918000,-16918000,0,19226000,-34969000,-15743000,-15743000,-15743000,-15711000,-18272000,9133000,9133000,381731000,306281000,510383000,1923773000,1923773000,2434156000,28308000,28308000,28648000,1398010000,0,0,1398010000,1426658000,1204043000,-196677000,1007424000,1007498000,2434156000,-15743000,17766000,34033000,-11330000,24726000,-76000,3024000,1964000,-29301000,11338000,-1274000,-1274000,-5885000,-25122000,1568000,1568000,1568000,53910000,1398010000,0.57776,-0.29208,-0.01814,-0.00751,17.81566,1.41604,0.57433,-0.28004,-0.28004,0.95879,15.43898,0.44907,0.00458,-1.6036,25.76288,38.42621
"18","2016_Q3",13.76046875,"Up",74249000,-22704000,-4636000,-16405000,51545000,-14027000,-16427000,2400000,37518000,-52000,37466000,37466000,37466000,37475000,34915000,103868000,103868000,129279000,129279000,344679000,1908667000,1908667000,2253346000,36553000,36553000,36553000,1199881000,0,0,1199881000,1236434000,1206072000,-189283000,1016847000,1016912000,2253346000,37466000,16405000,-790000,16687000,69768000,75532000,183712000,254056000,-29987000,-199038000,-15000,-15000,-45999.9999999981,-229086000,94738000,94738000,94738000,67950000,1199881000,0.69422,0.47024,0.03433,0.01549,9.42957,1.21587,0.53249,0.53466,0.53303,1.13699,15.57031,0.4592,0.02928,0.858860000000001,16.1297,21.26323
"19","2016_Q4",13.4122222222222,"Down",61927000,-23209000,-4163000,-17102000,38718000,-12849000,-15794000,2945000,25869000,229000,26098000,25312000,25312000,25337000,22776000,19674000,19674000,103616000,103616000,239643000,1999778000,1999778000,2239421000,38156000,38156000,38156000,1187378000,0,0,1187378000,1225534000,1208140000,-194351000,1013847000,1013887000,2239421000,25312000,17102000,-5333000,2241000,39322000,-99626000,17832000,-82467000,-29995000,-11696000,0,0,-2000,-41693000,-84838000,-84838000,-84838000,55820000,1187378000,0.62522,0.36779,0.02246,0.01017,6.28061,1.20875,0.53022,0.34872,0.34724,0.94817,15.52218,0.45926,0.02397,1.31696,20.9191,30.1592
"20","2017_Q1",15.6301612903226,"Up",61791000,-19519000,-4159000,-17199000,42272000,-10402000,-15734000,5332000,31870000,-8437000,23433000,23170000,23170000,23175000,20615000,25663000,25663000,105038000,105038000,229730000,2009939000,2036189000,2265919000,39639000,39639000,39639000,1210671000,2.3283064365387e-10,2.3283064365387e-10,1210671000,1250310000,1209515000,-193999000,1015574000,1015609000,2265919000,23170000,17199000,4368000,-2625000,42112000,-130412000,92377000,-31190000,-29981000,24988000,-9.31322574615479e-10,-9.31322574615479e-10,-3999.99999999977,-4997000.00000003,5924999.99999997,5924999.99999997,5924999.99999997,59471000,1210671000,0.68411,0.33362,0.0203,0.0091,5.79555,1.23109,0.5343,0.31583,0.31359,0.94665,15.55787,0.45931,0.02273,1.45433,19.92581,28.03293
"21","2017_Q2",15.4034920634921,"Down",62650000,-29417000,-6090000,-19137000,33233000,-13659000,-15788000,2129000,19574000,-563000,19011000,18791000,18791000,18823000,16262000,12814000,12814000,107713000,105640000,246534000,1993592000,1993592000,2240126000,33397000,33397000,33397000,1202376000,0,0,1202376000,1235773000,1209561000,-205269000,1004350000,1004353000,2240126000,18791000,19137000,546000,-6887000,31587000,0,-910000,-961000,-29993000,-10021000,-3224000,-3224000,-109000,-43347000,-12721000,-12721000,-12721000,52370000,1202376000,0.53045,0.25957,0.01619,0.00726,7.38192,1.23042,0.53674,0.24883,0.24669,0.95862,15.3668,0.45893,0.02096,1.84436,22.71457,35.7946
"22","2017_Q3",13.9266666666667,"Down",64736000,-27287000,-5125000,-17220000,37449000,-14921000,-15862000,941000,22528000,-1856000,20672000,20536000,20536000,20520000,17960000,13235000,13235000,103621000,103621000,258049000,1995911000,1995911000,2253960000,37123000,37123000,37123000,1220122000,-3.72529029846191e-09,-3.72529029846191e-09,1220122000,1257245000,1211549000,-214911000,996696000,996715000,2253960000,20536000,17220000,-5059000,-10002000,22695000,-8357000,3002000,-5380000.00000001,-30698000,13972000,-1.49011611938477e-08,-1.49011611938477e-08,-14999.9999999995,-16741000,573999.999999985,573999.999999985,573999.999999985,54669000,1220122000,0.57849,0.27743,0.01802,0.00797,6.95119,1.26139,0.54132,0.27446,0.27349,0.98926,15.23009,0.46911,0.02195,1.70924,22.07626,32.22748
"23","2017_Q4",12.5333333333333,"Down",111789000,-49128000,-12944000,-25933000,62661000,-24517000,-24568000,50999.9999999999,38144000,-23270000,14874000,15069000,15069000,15095000,12534000,30873000,30873000,162255000,162255000,352705000,5972785000,6235602000,6588307000,116146000,116146000,116146000,3005454000,94878000,94878000,3100332000,3216478000,3590268000,-221223000,3369103000,3371829000,6588307000,15069000,25933000,3211000,-45237000,-1024000,-372984000,78840000,-296781000,-26122000,36955000,322250000,322250000,-15192000,317891000,20086000,20086000,20086000,88594000,3005454000,0.56053,0.11212,0.00372,0.0019,3.03674,0.95393,0.45618,0.11176,0.11149,0.99678,30.04062,0.23292,0.00597,2.08409,33.57542,47.47101
"24","2018_Q1",11.4186885245902,"Down",169106000,-40451000,-8242000,-51592000,110795000,-34807000,-32222000,-2585000,75988000,28471000,104459000,103969000,103969000,103945000,101385000,518632000,518632000,183207000,183207000,701839000,5994432000,6330438000,7032277000,102523000,102523000,102523000,3394490000,98015000,98015000,3492505000,3595028000,3638754000,-205947000,3432807000,3437249000,7032277000,103969000,51592000,-47147000,51976000,160390000,-45518000.0000001,85508000,42703000,-95276000,388949000,47774000.0000001,47774000.0000001,-432999.999999996,341014000,544107000,544107000,544107000,162387000,3394490000,0.65518,0.59954,0.0295,0.01442,6.84567,1.0459,0.4827,0.56469,0.56526,0.94187,19.11981,0.53066,0.02838,0.93974,17.7099,25.95657
"25","2018_Q2",12.979375,"Up",166086000,-55872000,-7867000,-48005000,98090000,-32998000,-35818000,2820000,65092000,-2547000.00000001,62545000,62481000,62481000,62471000,59910000,46352000,46352000,112706000,112706000,359438000,6108801000,6625131000,6984569000,102353000,102353000,102353000,3361106000,94544000,94544000,3455650000,3558003000,3639892000,-217799000,3422151000,3426566000,6984569000,62481000,48005000,-7430000,-1409000,101647000,-183540000,21622000,-516379000,-82789000,-31061000,-499000,-499000,-43000,-114392000,-529124000,-529124000,-529124000,146095000,3361106000,0.5906,0.36072,0.01748,0.00858,3.51175,1.03836,0.48122,0.33602,0.3356,0.93153,19.19347,0.46434,0.02073,1.38189,22.68903,33.79299
"26","2018_Q3",15.3826984126984,"Up",166312000,-56211000,-9383000,-46828000,97802000,-36757000,-36757000,3807674.96901252,61045000,140349000,201394000,200789000,200789000,200787000,193580000,38809000,38809000,294073000,294073000,529246000,5993682000,6498898000,7028144000,105339000,105339000,105339000,3423807000,91073000,91073000,3514880000,3620219000,3504737000,-101194000,3403543000,3407925000,7028144000,200789000,46828000,-144996000,7284999.99999999,109906000,-47259000,266739000,219480000,-81947000,63933000,-3.72529029846191e-09,-3.72529029846191e-09,-143791000,-161805000,167581000,167581000,167581000,144630000,3423807000,0.58806,1.16396,0.0568,0.02754,5.02422,1.06229,0.48716,1.08561,1.08336,0.93269,19.08728,0.45956,0.0398,0.42332,23.40454,34.61072
"27","2018_Q4",13.9426984126984,"Down",151802000,-56641000,-8173000,-48468000,82550000,-35969000,-37305000,1336000,46581000,-10621000,35960000,35228000,35228000,35218000,35218000,36348000,36348000,213519000,213519000,447489000,5975590000,6462850000,6910339000,86885000,86885000,86885000,3368594000,87602000,87602000,3456196000,3543081000,3507660000,-144759000,3362901000,3367258000,6910339000,35228000,48468000,12853000,-25078000,71471000,-29897000,10543000,-19354000,-80242000,-58074000,0,0,-35000,-138351000,-86234000,-86234000,-86234000,131018000,3368594000,0.5438,0.232,0.01046,0.0051,5.15036,1.05222,0.48747,0.1975,0.19676,0.8513,18.85901,0.44999,0.01692,2.27844,25.4335,40.3664
"28","2019_Q1",13.4380327868852,"Down",139209000,-59749000,-11671000,-48078000,66948000,-36902000,-37226000,324000,30046000,-47819000,-17773000,-19383000,-19383000,-19394000,-19394000,50230000,50230000,123150000,123150000,173380000,5853545000,6491923000,6665303000,94827000,94827000,94827000,3232003000,83726000,83726000,3315729000,3410556000,3509708000,-259294000,3250414000,3254747000,6665303000,-19383000,48078000,48163000,703999.999999993,77562000,-28512000,86271000.0000001,57759000,-80242000,-134179000,1.86264514923096e-09,1.86264514923096e-09,-375000,-214796000,-79475000.0000001,-79475000.0000001,-79475000.0000001,115026000,3232003000,0.48092,-0.13932,-0.00596,-0.00291,1.82838,1.04787,0.4849,-0.10877,-0.10853,0.78078,18.23048,0.45005,0.00926,-4.13747,27.66134,47.52604
"29","2019_Q2",14.125873015873,"Up",136773000,-54340000,-8184000,-44949000,65104000,-36147000,-36318000,171000,28957000,-106037000,-77080000,-77692000,-77692000,-77704000,-77704000,22873000,22873000,389760000,118980000,412633000,5437354000,6042512000,6455145000,94809000,94809000,94809000,3230230000,79328000,79328000,3309558000,3404367000,3510771000,-464302000,3046469000,3050778000,6455145000,-77692000,44949000,113891000,-27189000,53959000,-5072000,11419000,6347000,-80260000,-4849000,-2323000,-2323000,-42000,-87474000,-27168000,-27168000,-27168000,110053000,3230230000,0.476,-0.56812,-0.02547,-0.01204,4.35226,1.1159,0.50041,-0.43559,-0.43559,0.76673,17.07796,0.44992,4e-04,-1.03289,29.14375,49.26513
"30","2019_Q3",15.80515625,"Up",219366000,-57728000,-8059000,-49476000,131159000,-33609000,-33608000,-1000,97550000,-13013000,84537000,83683000,83683000,83677000,83677000,47595000,47595000,121082000,121082000,168677000,5378874000,5954502000,6123179000,100635000,100635000,100635000,2685967000,76201000,76201000,2762168000,2862803000,3727866000,-471768000,3256098000,3260376000,6123179000,83683000,49476000,5479000,-719000,137919000,-3524000,315059000,311535000,-81475000,-552749000,213898000,213898000,-4444000,-424770000,24684000,24684000,24684000,180635000,2685967000,0.5979,0.38145,0.02566,0.01367,1.67613,0.87806,0.43866,0.46082,0.45753,1.20807,17.93164,0.44869,0.02742,0.973679999999999,14.6061,20.11583
"31","2019_Q4",16.93125,"Up",149834000,-51801000,-8709000,-43092000,68443000,-29040000,-29255000,215000,39403000,-14686000,24717000,23286000,23286000,23282000,23282000,29431000,29431000,118473000,118473000,147904000,5344997000,5920099000,6068003000,109401000,109401000,109401000,2603111000,73074000,73074000,2676185000,2785586000,3825521000,-543104000,3282417000,3282417000,6068003000,23286000,43092000,18838000,-113000,85103000,-22366000,3229000,-19137000,-85487000,-78826000,90455000,90455000,-9831000,-83689000,-17723000,-17723000,-17723000,111535000,2603111000,0.45679,0.15539,0.00709,0.00384,1.35194,0.84864,0.42899,0.12205,0.12074,0.78544,17.20661,0.44813,0.01825,3.67181,23.07509,37.60326
"32","2020_Q1",14.2201612903226,"Down",155763000,-49804000,-5934000,-44032000,74885000,-25720000,-27429000,1709000,49165000,-8919000,40246000,39741000,39741000,39741000,39741000,39097000,39097000,117420000,117420000,156517000,5341370000,5912782000,6069299000,108792000,108792000,108792000,2402101000,69946000,69946000,2472047000,2580839000,4074131000,-585671000,3488460000,3488460000,6069299000,39741000,44032000,7209000,4512000,95494000,-45625000,9723999.99999997,-35901000,-88213000,-207735000,247298000,247298000,-1597000,-50247000,9345999.99999999,9345999.99999999,9345999.99999999,118917000,2402101000,0.48076,0.25514,0.01139,0.00655,1.43868,0.73982,0.39578,0.20076,0.20029,0.78686,17.62257,0.44562,0.02147,2.2197,19.87104,31.5551
"33","2020_Q2",10.3988888888889,"Down",149346000,-52929000,-8761000,-44168000,64255000,-23445000,-25704000,2259000,40810000,-4551000,36259000,35217000,35217000,35217000,35217000,54051000,54051000,96745000,96745000,150796000,5363168000,5941508000,6092304000,150926000,150926000,150926000,2479346000,66819000,66819000,2546165000,2697091000,4077837000,-682624000,3395213000,3395213000,6092304000,35217000,44168000,12258000,-16824000,74819000,-79230000,9406000,-69824000,-92390000,100123000,1930000,1930000,-715000,8948000,13943000,13943000,13943000,108423000,2479346000,0.43024,0.23581,0.01037,0.00578,0.99914,0.79438,0.40696,0.17146,0.17095,0.72711,16.53014,0.44982,0.02148,2.62345,22.36882,37.74484
"34","2020_Q3",11.871875,"Up",153917000,-52875000,-8673000,-44202000,67741000,-25358000,-25292000,-66000,42383000,-12327000,30056000,29623000,29623000,29623000,29623000,28250000,28250000,92956000,92956000,121206000,5358515000,5902347000,6023553000,143317000,143317000,143317000,2455293000,63692000,63692000,2518985000,2662302000,4080793000,-719542000,3361251000,3361251000,6023553000,29623000,44202000,13194000,6767000,93786000,-33582000,4438000,-29144000,-61678000,-28792000,-70000,-70000,-7000.00000000023,-90547000,-25905000,-25905000,-25905000,111943000,2455293000,0.44011,0.19246,0.00881,0.00492,0.84572,0.79206,0.40762,0.14409,0.14353,0.74865,16.34911,0.3,0.01553,2.0821,21.68106,35.82827
"35","2020_Q4",13.15609375,"Up",143252000,-51425000,-7216000,-44209000,58833000,-24789000,-24904000,115000,34044000,-488000,33556000,36460000,36460000,36460000,36460000,35034000,35034000,110635000,110635000,145669000,5306272000,5845949000,5991618000,143742000,143742000,143742000,2422984000,60552000,60552000,2483536000,2627278000,4103338000,-738998000,3364340000,3364340000,5991618000,36460000,44209000,12241000,3940000,96850000,-12549000,-19001000,-31550000,-61679000,-17727000,19101000,19101000,-97000,-60402000,4898000,4898000,4898000,103042000,2422984000,0.4107,0.25452,0.01084,0.00609,1.01341,0.78092,0.4044,0.17717,0.17619,0.69611,16.34835,0.29972,0.01678,1.69169,23.17453,40.58862
