"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2015_Q3",94.42125,"Up",46968000,-16432000,30536000,-20372000,-6875000,-13497000,10164000,39000,39000,10203000,10203000,-893000,9310000,9310000,9310000,9310000,166528000,128263000,26833000,26833000,13003000,3829000,2227000,3000,210193000,3080000,3147000,1375000,1772000,6227000,216420000,27474000,14424000,706000,12344000,4888000,4888000,32362000,1747000,1569000,1747000,34109000,121699000,60633000,182311000,182311000,216420000,9310000,329000,2972000,-4035000,8576000,-454000,-12859000,2924000,2924000,3066000,-1217000,-1217000,-1217000,10493000,0,6897000,0.65014,0.2164,0.19822,0.05107,0.04302,0.74082,6.49506,0.18709,0,0.31644,0.29185,1.5964,6.19659,0.23442,0.05058,0.03747,-15.87039,-16.3841
"12","2015_Q4",56.356875,"Down",160517000,-54621000,105896000,-46414000,-13340000,-33074000,59482000,235000,235000,59717000,59717000,-2875000,56842000,56842000,56842000,56842000,186528000,146577000,40965000,40965000,14839000,4115000,2256000,3000,246447000,3182000,3649000,1666000,1983000,6831000,253278000,37571000,20830000,1895000,14846000,5034000,5034000,42605000,1319000,1175000,1319000,43924000,130408000,78960000,209354000,209354000,253278000,56842000,536000,14428000,2593000,74399000,-611000,5176000,2146000,2146000,1730000,81305000,81305000,81305000,60018000,0,64875000,0.65972,0.37057,0.35412,0.27151,0.22443,1.14132,5.78446,0.20981,0,1.8943,1.75533,5.34934,6.97686,2.162,0.26981,0.30794,-3.10787,-3.13587
"13","2016_Q1",41.3880327868852,"Down",67967000,-24651000,43316000,-34210000,-10768000,-23442000,9106000,207000,207000,9313000,9313000,-4217000,5096000,5096000,5096000,5096000,307893000,268056000,39408000,39408000,18167000,4177000,4170000,7000,369645000,3448000,37522000,4626000,2117000,40970000,410615000,38740000,14175000,787000,23778000,10077000,10077000,48817000,12342000,12342000,12342000,61159000,176321000,173142000,349456000,349456000,410615000,5096000,442000,11672000,13106000,30316000,-796000,-495000,1770000,1770000,1770000,31591000,31591000,31591000,9548000,0,26075000,0.63731,0.13398,0.07498,0.01458,0.01241,5.11676,7.57205,0.17501,0,0.16672,0.15411,2.2236,11.43277,0.85307,0.01409,0.07207,-32.24686,-33.8121
"14","2016_Q2",44.1840625,"Up",57157000,-20450000,36707000,-35359000,-10893000,-24466000,1348000,27000,27000,1375000,1375000,408000,1783000.00000001,1783000.00000001,1783000.00000001,1783000.00000001,235228000,197311000,39193000,39193000,25803000,4754000,2688000,8000,304978000,3022000,5928000.00000001,4e+06,1928000,8949999.99999999,313928000,40639000,23990000,1306000,15343000,6291000,6219000,46930000,1592000,1405000,1592000,48522000,149935000,115488000,265406000,265406000,313928000,1783000.00000001,464000,11407000,1896000,15550000,-469000,-16562000,915000,915000,915000,-96999.9999999963,-96999.9999999963,-96999.9999999963,1812000,0,2831000,0.64221,0.02358,0.03119,0.00671999999999997,0.00567999999999999,1.58777,6.49857,0.18282,0,0.0573299999999999,0.0532700000000004,1.8379,8.53421,0.0910300000000002,0.00667999999999997,0.0106,-129.81678,-174.50148
"15","2016_Q3",62.63859375,"Up",65142000,-21672000,43470000,-34208000,-10565000,-23643000,9262000,171000,171000,9433000,9433000,-801000,8632000,8632000,8632000,8632000,239754000,199577000,42137000,42137000,27773000,4255000,2228000,8000,313919000,2891000,36867000,4130000,2029000,39758000,353677000,47556000,20314000,2939000,24303000,7150000,7078000,54706000,2798000,2704000,2798000,57504000,157612000,138585000,296173000,296173000,353677000,8632000,378000,11552000,1941000,22503000,-528000,-15445000,1490000,1490000,1490000,8548000,8548000,8548000,9640000,0,11854000,0.66731,0.14218,0.13251,0.02915,0.02441,1.37326,5.73829,0.19416,0,0.2739,0.2546,2.06699,9.39771,0.37613,0.02887,0.03965,-24.87075,-25.88577
"16","2016_Q4",60.3111111111111,"Down",100490000,-34167000,66323000,-36653000,-10686000,-25967000,29670000,132000,132000,29802000,29802000,-757000,29045000,29045000,29045000,29045000,372100000,313455000,41394000,41394000,23340000,4770000,4762000,8000,441604000,4291000,38949000,6024000,2162000,43240000,484844000,53055000,28364000,1359000,23332000,6885000,6885000,59940000,2291000,2291000,2291000,62231000,198569000,224062000,422613000,422613000,484844000,29045000,364000,12744000,842000,42995000,-1073000,-9268000,3221000,3221000,3221000,36948000,36948000,36948000,30034000,0,30560000,0.66,0.29525,0.28903,0.06873,0.05991,1.05216,7.36743,0.14725,0,0.91292,0.8568,3.15851,13.28321,0.96054,0.06836,0.07192,-12.38929,-12.54129
"17","2017_Q1",53.9654838709677,"Down",87508000,-28994000,58514000,-38431000,-11302000,-27129000,20083000,188000,188000,20271000,20271000,-1921000,18350000,18350000,18350000,18350000,405394000,322872000,38596000,38596000,20145000,4400000,4392000,8000,468535000,4988000,38748000,5774000,2224000,43736000,512271000,46971000,19955000,568000,26448000,7425000,7425000,54396000,3241000,3241000,3241000,57637000,212291000,242413000,454634000,454634000,512271000,18350000,379000,13458000,79000,32266000,-631000,-24642000,1793000,1793000,1793000,9417000,9417000,9417000,20462000,0,21831000,0.66867,0.2295,0.2097,0.04036,0.03582,1.1897,8.61341,0.12678,0,0.57155,0.54375,2.72563,14.16057,0.67997,0.04008,0.04768,-19.81204,-20.18593
"18","2017_Q2",55.3846031746032,"Up",64135000,-23172000,40963000,-38346000,-11744000,-26602000,2617000,153000,153000,2770000,2770000,-206000,2564000,2564000,2564000,2564000,420168000,335182000,22871000,22871000,19066000,3313000,3304000,9000,465418000,5241000,48410000,6028000,2168000,53651000,519069000,40183000,18699000,555000,20929000,5555000,5555000,45738000,9002000,9002000,9002000,54740000,219440000,244977000,464329000,464329000,519069000,2564000,704000,13068000,6688000,23024000,-955000,-12308000,1595000,1595000,1595000,12311000,12311000,12311000,3321000,0,9260000,0.6387,0.0408,0.03998,0.00552,0.00494,3.61154,10.17574,0.11789,0,0.0790699999999999,0.07552,1.97776,14.31875,0.28556,0.00542,0.01956,-126.51852,-160.55331
"19","2017_Q3",49.3284126984127,"Down",71630000,-26825000,44805000,-39500000,-11962000,-27538000,5305000,224000,224000,5529000,5529000,-2226000,3303000,3303000,3303000,3303000,400815000,309738000,38351000,38351000,17726000,2819000,2810000,9000,459711000,5636000,48099000,6299000,2229000,53735000,513446000,45386000,23466000,2014000,19906000,6203000,6203000,51589000,9131000,9131000,9131000,60720000,204528000,248280000,452726000,452726000,513446000,3303000,1298000,14484000,-8455000,10630000,-898000,-37875000,1801000,1801000,1801000,-25444000,-25444000,-25444000,6603000,0,-524000,0.62551,0.07406,0.04611,0.0073,0.00643,-0.15864,8.91103,0.13412,0,0.10145,0.09665,2.20011,13.90547,-0.01609,0.00715,-0.00113,-60.70195,-75.55419
"20","2017_Q4",55.5660317460317,"Up",89062000,-32448000,56614000,-41496000,-11700000,-29796000,15118000,319000,319000,15437000,15437000,-3713000,11724000,11724000,11724000,11724000,414018000,320933000,47197000,47197000,21097000,4017000,4008000,9000,486329000,5666000,50592000,6536000,2214000,56258000,542587000,55233000,26208000,2447000,26578000,5219000,5219000,60452000,13071000,13071000,13071000,73523000,209176000,260004000,469064000,469064000,542587000,11724000,1322000,14768000,-1174000,26640000,-549000,-17010000,1565000,1565000,1565000,11195000,11195000,11195000,16440000,0,18430000,0.63567,0.16975,0.13164,0.02499,0.02161,1.57199,8.04488,0.15674,0,0.35389,0.34122,2.68836,14.15882,0.55631,0.02432,0.03823,-25.18358,-27.38577
"21","2018_Q1",51.8767213114754,"Down",70575000,-25224000,45351000,-43960000,-12386000,-31574000,1391000,602000,602000,1993000,1993000,-732000,1261000,1261000,1261000,1261000,434591000,346672000,31294000,31294000,23383000,4015000,4006000,9000,493283000,6449000,46917000,3642000,2257000,53366000,546649000,52929000,19815000,936000,32178000,307000,307000,53236000,11226000,11226000,11226000,64462000,221201000,261265000,482187000,482187000,546649000,1261000,1446000,14877000,7525000,25109000,-1285000,-1501000,2130000,2130000,2130000,25738000,25738000,25738000,2837000,0,9809000,0.64259,0.01971,0.01787,0.00262,0.00231,7.77875,9.26597,0.13369,0,0.03625,0.03518,2.02889,13.86192,0.28199,0.00256,0.01988,-153.18682,-312.43063
"22","2018_Q2",47.340625,"Down",56938000,-22046000,34892000,-44842000,-13178000,-31664000,-9950000,792000,792000,-9158000,-9158000,-848000,-10006000,-10006000,-10006000,-10006000,414119000,336692000,25727000,25727000,22968000,3833000,3824000,9000,466647000,6645000,45860000,3650000,2338000,52505000,519152000,39105000,17449000,385000,21271000,546000,546000,39651000,10693000,10693000,10693000,50344000,217895000,251302000,468808000,468808000,519152000,-10006000,1784000,14195000,-5909000,64000.0000000037,-671000,-11713000,1669000,1669000,1669000,-9980000,-9980000,-9980000,-8166000,0,-13898000,0.61281,-0.17475,-0.17574,-0.02134,-0.01927,1.38897,11.76886,0.10739,0,-0.30017,-0.30017,1.70806,14.06362,-0.41692,-0.02087,-0.02898,50.71259,41.6200000000001
"23","2018_Q3",38.7433333333333,"Down",62474000,-24461000,38013000,-44695000,-12566000,-32129000,-6682000,732000,732000,-5950000,-5950000,-927000,-6877000,-6877000,-6877000,-6877000,375960000,295289000,29007000,29007000,30787000,2695000,2686000,9000,438449000,7010000,45263000,3760000,2536000,52273000,490722000,46995000,23381000,524000,23090000,583000,583000,47578000,10252000,10252000,10252000,57830000,188678000,244425000,432892000,432892000,490722000,-6877000,1781000,15224000,-3215000,6913000,-1306000,-50319000,2003000,2003000,2003000,-41403000,-41403000,-41403000,-4901000,0,-8495000,0.60846,-0.10696,-0.11008,-0.01589,-0.01401,1.23528,9.21537,0.13359,0,-0.20702,-0.20702,1.88066,13.0314,-0.25573,-0.01552,-0.01917,76.71088,56.26459
"24","2018_Q4",35.4122222222222,"Down",57286000,-22701000,34585000,-44007000,-12354000,-31653000,-9422000,993000,993000,-8429000,-8429000,-592000,-9021000,-9021000,-9021000,-9021000,348617000,212338000,32417000,32417000,23328000,3320000,3309000,11000,407682000,6746000,44220000,3927000,2470000,50966000,458648000,37504000,11134000,755000,25615000,405000,405000,37909000,9600000,9600000,9600000,47509000,175920000,235404000,411139000,411139000,458648000,-9021000,1790000,15565000,-4813000,3521000,-403000,-87520000,1050000,1050000,1050000,-82949000,-82949000,-82949000,-7632000,0,-12256000,0.60373,-0.16447,-0.15747,-0.02194,-0.01967,1.35861,10.75423,0.11555,0,-0.2804,-0.2804,1.78062,12.77945,-0.38095,-0.02144,-0.02913,45.67833,37.00032
"25","2019_Q1",39.5583606557377,"Up",51070000,-20416000,30654000,-45020000,-12382000,-32638000,-14366000,3351000,3351000,-11015000,-11015000,6472000,-4543000,-4543000,-4543000,-4543000,358908000,194047000,26212000,26212000,18252000,6217000,6206000,11000,409589000,6728000,50536000,10587000,2412000,57264000,466853000,38494000,12801000,993000,24700000,529000,529000,39023000,8341000,8341000,8341000,47364000,188531000,230861000,419489000,419489000,466853000,-4543000,1866000,8563000,8088000,13974000,-560000,70410000,-97940000,1964000,-102675000,-18291000,-18291000,-18291000,-12500000,0,-11444000,0.60023,-0.2813,-0.08896,-0.01083,-0.00973,2.51904,10.49609,0.11291,0,-0.1414,-0.1414,1.58955,13.05657,-0.35619,-0.01062,-0.02675,28.71264,24.98315
"26","2019_Q2",44.8111111111111,"Up",47188000,-19335000,27853000,-46094000,-13077000,-33017000,-18241000,2196000,2196000,-16045000,-16045000,-1266000,-17311000,-17311000,-17311000,-17311000,366176000,204444000,26457000,26457000,17635000,5036000,5025000,11000,415304000,6383000,57564000,10566000,10263000,63947000,479251000,39260000,16055000,682000,22523000,2955000,565000,42215000,14598000,14598000,14598000,56813000,208537000,213550000,422438000,422438000,479251000,-17311000,2708000,16224000,3711000,5332000,-513000,3121999.99999999,2938000,2938000,1943000,10397000,10397000,10397000,-15533000,0,-11069000,0.59026,-0.38656,-0.36685,-0.04098,-0.03612,0.63942,9.83783,0.13449,0,-0.53278,-0.53278,1.45229,13.00128,-0.34067,-0.03961,-0.02533,23.57407,20.07434
"27","2019_Q3",51.875625,"Up",56410000,-23973000,32437000,-42845000,-12425000,-30420000,-10408000,2195000,2195000,-8213000,-8213000,-1978000,-10191000,-10191000,-10191000,-10191000,375802000,222693000,27940000,27940000,17376000,4500000,4491000,9000,425618000,6105000,58509000,10417000,12483000,64614000,490232000,44427000,18912000,1083000,24432000,2813000,553000,47240000,14531000,14531000,14531000,61771000,224557000,203359000,428461000,428461000,490232000,-10191000,2731000,15827000,-280000,8087000,-441000,8749000,2491000,2491000,1411000,18247000,18247000,18247000,-7677000,0,-6420000,0.57502,-0.18451,-0.18066,-0.02379,-0.02079,0.62997,9.0097,0.14417,0,-0.31012,-0.31012,1.71663,13.0386,-0.19537,-0.023,-0.01449,48.95167,36.10703
"28","2019_Q4",55.3784375,"Up",67922000,-28819000,39103000,-46271000,-13791000,-32480000,-7168000,1917000,1917000,-5251000,-5251000,942000,-4309000,-4309000,-4309000,-4309000,400791000,252310000,21609000,21609000,19845000,5183000,5174000,9000,447428000,5927000,61134000,10320000,15981000,67061000,514489000,48099000,18697000,955000,28447000,2706000,545000,50805000,18444000,18444000,18444000,69249000,245505000,199050000,445240000,445240000,514489000,-4309000,2792000,17392000,5990000,21865000,-471000,4484000,4123000,4123000,3268000,29617000,29617000,29617000,-4376000,0,201000,0.5757,-0.10553,-0.06344,-0.00968,-0.00838,-0.04665,8.80677,0.15553,0,-0.12938,-0.12938,2.03944,13.3689,0.00603999999999999,-0.00929,0.000430000000000003,91.58844,55.91392
"29","2020_Q1",57.3538709677419,"Up",57212000,-23896000,33316000,-47148000,-13341000,-33807000,-13832000,1713000,1713000,-12119000,-12119000,-862000,-12981000,-12981000,-12981000,-12981000,404748000,231403000,18487000,18487000,22971000,4984000,4975000,9000,451190000,5614000,70472000,10400000,15645000,76086000,527276000,50571000,14910000,691000,34970000,2882000,701000,53453000,25751000,25751000,25751000,79204000,261235000,186069000,448072000,448072000,527276000,-12981000,3400000,16575000,-2864000,4130000,-396000,-24931000,2408000,2408000,-106000,-20907000,-20907000,-20907000,-10432000,0,-12830000,0.58233,-0.24177,-0.22689,-0.02897,-0.02462,0.98837,8.44087,0.17677,0,-0.38546,-0.38546,1.69884,13.30496,-0.38097,-0.0274,-0.02708,38.7987,29.26171
"30","2020_Q2",51.5149206349206,"Down",54645000,-22625000,32020000,-47635000,-13435000,-34200000,-15615000,1278000,1278000,-14337000,-14337000,-1126000,-15463000,-15463000,-15463000,-15463000,411327000,236585000,20684000,20684000,21957000,4798000,4789000,9000,458766000,5401000,67566000,9943000,14631000,72967000,531733000,48600000,20589000,749000,27262000,2903000,802000,51503000,24647000,24647000,24647000,76150000,284572000,170606000,455583000,455583000,531733000,-15463000,2872000,16465000,3765000,7639000,-428000,-2164000,912000,1912000,-293000,5182000,5182000,5182000,-12743000,0,-8280000,0.58596,-0.28575,-0.28297,-0.03394,-0.02908,0.53547,8.90756,0.16715,0,-0.45372,-0.45372,1.60342,13.36792,-0.24296,-0.0322,-0.01724,32.27866,26.34179
"31","2020_Q3",48.35984375,"Down",50113000,-19155000,30958000,-46247000,-13445000,-32802000,-15289000,1280000,1280000,-14009000,-14009000,-747000,-14756000,-14756000,-14756000,-14756000,410703000,220647000,23275000,23275000,23907000,3513000,3503000,10000,461398000,5027000,66973000,10212000,14072000,7.2e+07,533398000,47360000,13693000,511000,33156000,3802000,1400000,51162000,23589000,23589000,23589000,74751000,301210000,155850000,458647000,458647000,533398000,-14756000,2914000,16169000,-6744000,-2417000,-237000,-14391000,1954000,1954000,871000,-15937000,-15937000,-15937000,-12375000,0,-18609000,0.61776,-0.30509,-0.29445,-0.03217,-0.02766,1.26111,9.01837,0.16298,0,-0.42795,-0.42795,1.45338,13.30171,-0.5397,-0.0306,-0.03859,33.18812,26.86265
"32","2020_Q4",70.01890625,"Up",56090000,-21298000,34792000,-51041000,-14468000,-36573000,-16249000,673000,673000,-15576000,-15576000,-1502000,-17078000,-17078000,-17078000,-17078000,423637000,225508000,24111000,24111000,23712000,4787000,4777000,10000,476247000,5131000,68177000,10463000,13761000,73308000,549555000,58246000,14613000,1711000,41922000,3987000,1178000,62233000,24669000,24669000,24669000,86902000,322518000,138772000,462653000,462653000,549555000,-17078000,3082000,18964000,8126000,13094000,-864000,-9406000,2638000,2638000,1173000,4861000,4861000,4861000,-13167000,0,-4403000,0.62029,-0.2897,-0.30447,-0.03691,-0.03108,0.25782,7.65264,0.18783,0,-0.49047,-0.49047,1.61086,13.28704,-0.12645,-0.03504,-0.00904,32.17415,26.07157
