"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2019_Q1",8.81131147540984,"Down",8253000,-6508000,-2842000,-1974000,1745000,-1197000,-1298000,101000,548000,548000,-654000,-106000,-106000,-106000,-106000,12756000,12756000,1488000,1488000,3090000,686000,2404000,17334000,227055000,312148000,-85093000,18072000,12972000,2461000,245127000,262461000,8069000,604000,7465000,47000,1460000,1460000,9576000,114507000,110507000,4350000,106157000,225014000,234590000,27872000,27871000,27871000,262461000,-106000,1974000,564000,-1301000,1131000,-1383000,-5917000,-7300000,-1483000,116000,119000,-1248000,-7417000,-7417000,-7417000,3719000,114554000,1689000,0.21144,-0.01284,-0.0038,-4e-04,-15.93396,1.81015,8.41699,0.43646,-0.00493,-0.00492,0.38361,1.29548,0.07851,0.06893,0.00544,0.00668,-13.99057,27.37241,58.33696
"12","2019_Q2",9.04920634920635,"Up",7723000,-6524000,-2790000,-2011000,1199000,-208000,-1303000,1095000,991000,991000,-342000,649000,649000,649000,649000,13303000,13303000,1335000,1335000,3172000,782000,2390000,17810000,226705000,313857000,-87152000,17968000,12972000,2354000,244673000,262483000,8399000,316000,8083000,75000,1464000,1464000,9938000,114594000,110903000,4597000,106306000,225497000,235435000,27049000,27048000,27048000,262483000,649000,2011000,550000,574000,3784000,-1798000,9.31322574615479e-10,-1798000,-1537000,-17000,116000,-1438000,548000,548000,548000,3210000,114669000,2328000,0.15525,0.08403,0.02399,0.00247,3.58706,1.79211,8.70434,0.43686,0.03023,0.0302,0.35969,1.25973,0.10842,0.07158,0.00865,0.00922,2.36826,31.57819,84.54212
"13","2019_Q3",10.95046875,"Up",9121000,-6876000,-3087000,-2009000,2245000,-1111000,-1282000,171000,1134000,1134000,-356000,778000,778000,778000,778000,11285000,11285000,1624000,1624000,3605000,762000,2843000,16514000,228958000,317635000,-88677000,18914000,12968000,2387000,247872000,264386000,8015000,715000,7300000,78000,1434000,1434000,9527000,114582000,113514000,4857000,91292000,228096000,237623000,26764000,26763000,26763000,264386000,778000,2009000,713000,-1570000,1930000,-3060000,2000,-3058000,-1541000,-20000,298000,-850000,-1978000,-1978000,-1978000,4254000,114660000,-20000,0.24614,0.0853,0.02907,0.00294,-0.02571,1.73339,8.87879,0.43368,0.03615,0.03614,0.42382,1.24359,-0.00093,0.07161,0.0091,-8e-05,1.98072,24.30066,46.04677
"14","2019_Q4",11.71015625,"Up",9942000,-7380000,-3509000,-1957000,2562000,-1127000,-1292000,165000,1435000,1435000,-388000,1047000,1047000,1047000,1047000,11091000,11091000,1780000,1780000,3431000,589000,2842000,16302000,230267000,321027000,-90760000,19881000,12554000,2929000,250148000,266450000,9415000,726000,8689000,87000,1467000,1467000,10969000,114593000,114526000,5010000,92145000,229119000,240088000,26363000,26362000,26362000,266450000,1047000,1957000,994000,1465000,5463000,-2927000,999.999999999534,-2926000,-1542000,-11000,-614000,-2167000,369999.999999999,369999.999999999,369999.999999999,4519000,114680000,3445000,0.25769,0.10531,0.03972,0.00393,3.29035,1.48619,9.10735,0.4304,0.04861,0.0486,0.46162,1.22402,0.15996,0.0716,0.01013,0.01348,1.47278,22.92299,40.43286
"15","2020_Q1",11.5261290322581,"Down",8685000,-7730000,-10771000,-2376000,955000,-1129000,-1308000,179000,-174000,-174000,-76000,-250000,-250000,-250000,-250000,7513000,7513000,1631000,1631000,3149000,675000,2474000,12293000,233554000,326303000,-92749000,20266000,12554000,3314000,253820000,266113000,8538000,992000,7546000,117000,1445000,1445000,10100000,114664000,116677000,4919000,94386000,231341000,241441000,24673000,24672000,24672000,266113000,-250000,2376000,-414000,-1323000,389000,-2402000,128000,-2274000,-1545000,-20000,407000,-1157000,-3042000,-3042000,-3042000,3331000,114781000,-318000,0.10996,-0.02879,-0.01013,-0.00094,1.272,1.21713,9.78603,0.43132,-0.01161,-0.01159,0.40326,1.14555,-0.01477,0.07174,0.00506,-0.00124,-6.18,32.20294,112.32251
"16","2020_Q2",9.94380952380952,"Down",8230000,-6433000,-4320000,-2113000,1797000,-1237000,-1286000,49000,560000,560000,-206000,354000,354000,354000,354000,17137000,17137000,1701000,1701000,3128000,747000,2381000,21966000,234375000,329331000,-94956000,20393000,12554000,3441000,254768000,276734000,8077000,674000,7403000,119000,1544000,1522000,9740000,114629000,117331000,5130000,94779000,231960000,241700000,35035000,35034000,35034000,276734000,354000,2113000,-316000,1019000,3170000,-3525000,-9000,-3534000,-1629000,-43000,62000.0000000002,10129000,9765000,9765000,9765000,3910000,114748000,1610000,0.21835,0.04301,0.0101,0.00128,4.54802,2.25524,6.89901,0.41465,0.01585,0.01581,0.36851,1.56868,0.07209,0.07294,0.00742,0.00603,4.60169,24.96445,54.31886
"17","2020_Q3",10.4625,"Up",9889000,-8162000,-5965000,-2197000,1727000,-1812000,-1332000,-480000,-85000,-85000,-37000,-122000,-122000,-122000,-122000,15477000,15477000,2125000,2125000,3702000,757000,2945000,21304000,233891000,330041000,-96150000,20288000,12282000,3608000,254179000,275483000,7746000,862000,6884000,119000,1520000,1504000,9385000,114612000,117441000,5101000,94902000,232053000,241438000,34046000,34045000,34045000,275483000,-122000,2197000,2251000,-2395000,1931000,-1874000,1000,-1873000,-1634000,-29000,145000,-1518000,-1460000,-1460000,-1460000,3924000,114731000,-308000,0.17464,-0.01234,-0.00358,-0.00044,2.52459,2.27001,7.09173,0.41647,-0.00541,-0.0054,0.43823,1.50868,-0.01365,0.07241,0.00568,-0.00116,-13.39344,25.29409,57.47192
"18","2020_Q4",12.09296875,"Up",10757000,-7865000,-5553000,-2312000,2892000,-1263000,-1333000,70000.0000000001,1629000,1629000,-498000,1131000,1131000,1131000,1131000,18062000,18062000,2146000,2146000,3896000,1029000,2867000,24104000,236418000,334769000,-98351000,20418000,11726000,4294000,256836000,280940000,8810000,195000,8615000,118000,1523000,1513000,10451000,114594000,122078000,5214000,99418000,236672000,247123000,33818000,33817000,33817000,280940000,1131000,2312000,822000,2331000,6596000,-2091000,-1000,-2092000,-1633000,-29000,135000,-1527000,2977000,2977000,2977000,5204000,114712000,5942000,0.26885,0.10514,0.03344,0.00403,5.25376,2.30638,7.30766,0.40831,0.05007,0.05,0.47624,1.49715,0.26306,0.0723,0.01021,0.02196,1.44385,18.57225,33.41978
"19","2021_Q1",16.1562295081967,"Up",9751000,-8832000,-6423000,-2409000,919000,-1147000,-1333000,186000,-228000,-228000,-30000,-258000,-258000,-258000,-258000,18033000,18033000,2147000,2147000,3275000,665000,2610000,23455000,238891000,340193000,-101302000,21102000,11185000,5317000,259993000,283448000,8792000,531000,8261000,2035000,1562000,1558000,12389000,112659000,126212000,3652000,104717000,238871000,251260000,32189000,32188000,32188000,283448000,-258000,2409000,80000,638000,2869000,-1641000,0,-1943000,-1643000,-30000,1676000,2000,928000,928000,928000,3328000,114694000,2355000,0.09425,-0.02646,-0.00802,-0.00091,-9.12791,1.89321,7.80601,0.40464,-0.01142,-0.01136,0.4317,1.42503,0.10426,0.07274,0.00507,0.00862,-6.36822,29.04477,105.18063
"20","2021_Q2",16.3687301587302,"Up",9258000,-8215000,-5989000,-2226000,1043000,-1305000,-1320000,15000,-262000,-262000,45000,-217000,-217000,-217000,-217000,18209000,18209000,1735000,1735000,3348000,694000,2654000,23292000,242273000,345897000,-103624000,21805000,11185000,6029000,264078000,287370000,10664000,533000,10131000,2032000,1566000,1564000,14262000,112641000,129875000,3574000,108180000,242516000,256778000,30593000,30592000,30592000,287370000,-217000,2226000,749000,2043000,4801000,-3269000,4149.80951466362,-3269000,-1650000,-31000,987000,-694000,838000,838000,838000,3269000,114673000,1998000,0.11266,-0.02344,-0.00709,-0.00076,-9.20737,1.63315,8.39363,0.39904,-0.00960999999999998,-0.00961,0.40987,1.35436,0.08845,0.07305,0.00521,0.00726,-7.60369,29.50872,92.48706
"21","2021_Q3",17.980625,"Up",10944000,-8605000,-6197000,-2408000,2339000,284000,-1345000,1629000,2623000,2623000,-641000,1982000,1982000,1982000,1982000,19349000,19349000,1899000,1899000,4072000,1026000,3046000,25320000,247521000,353349000,-105828000,18830000,10681000,3554000,266351000,291671000,8630000,811000,7819000,3994000,1594000,1594000,14218000,110893000,135596000,4180000,112941000,246489000,260707000,30965000,30964000,30964000,291671000,1982000,2408000,1550000,-3377000,2563000,-3139000,5600.53723115683,-3144000,-1651000,-36000,786000,-897000,-1478000,-1478000,-1478000,4747000,114887000,-1128000,0.21372,0.1811,0.06401,0.0068,-0.56912,1.78084,8.41968,0.39389,0.08775,0.08775,0.48451,1.37083,-0.04994,0.07309,0.01291,-0.00401,0.833,20.12597,40.84566
"22","2021_Q4",17.69140625,"Down",11404000,-9111000,-6755000,-2356000,2293000,-472000,-1275000,803000,1821000,1821000,-323000,1498000,1498000,1498000,1498000,21241000,21241000,1928000,1928000,4284000,1291000,2993000,27453000,249742000,357977000,-108235000,18324000,10542000,3187000,268066000,295519000,10383000,474000,9909000,3985000,1627000,1627000,15995000,110871000,137728000,4473000,114312000,248599000,264594000,30927000,30925000,30925000,295519000,1498000,2356000,1167000,2850000,7871000,-5386000,4000.99633207162,-5386000,-1649000,-41999.9999999999,625000,-1066000,1419000,1419000,1419000,4649000,114856000,2436000,0.20107,0.13136,0.04844,0.00507,1.62617,1.71635,8.55599,0.38866,0.06624,0.06541,0.50428,1.36749,0.10772,0.07292,0.0111,0.00859,1.1008,20.13659,40.82643
"23","2022_Q1",15.3414516129032,"Down",10308000,-9004000,-6504000,-2500000,1304000,-727000,-1242000,515000,577000,577000,-231000,346000,346000,346000,346000,12637000,12637000,1994000,1994000,5053000,1645000,3408000,19684000,255169000,368549000,-113380000,19221000,10339000,3152000,274390000,294074000,11311000,2120000,9191000,3975000,1646000,1646000,16932000,108933000,138180000,3269000,115876000,247113000,264045000,30031000,30029000,30029000,294074000,346000,2500000,-695000,3e+06,5151000,-6456000,-1000,-8520000,-1659000,-1959000,-1654000,-5272000,-8641000,-8641000,-8641000,3804000,112908000,579000,0.1265,0.03357,0.01152,0.00118,1.67341,1.16253,8.793,0.38394,0.01528,0.01508,0.45512,1.32585,0.02556,0.07325,0.00713,0.00206,4.7948,26.35936,76.89494
"24","2022_Q2",14.1727419354839,"Down",10029000,-8666000,-6323000,-2343000,1363000,-131000,-1203000,1072000,1232000,1232000,-343000,889000,889000,889000,889000,11135000,11135000,1927000,1927000,4783000,1876000,2907000,17845000,259809000,376897000,-117088000,19778000,10359000,3659000,279587000,297432000,11417000,602000,10815000,3981000,1782000,1782000,17180000,108911000,141701000,3420000,118173000,250612000,267792000,29642000,29640000,29640000,297432000,889000,2343000,678000,1461000,5371000,-6169000,-9927.25030337422,-6254000,-1670000,-28000.0000000002,1076000,-619000,-1502000,-1502000,-1502000,3706000,112892000,-659000,0.13591,0.08864,0.02999,0.00299,-0.74128,1.03871,9.03482,0.37956,0.03925,0.03876,0.4428,1.30868,-0.0291,0.07373,0.009,-0.00232,1.87852,27.45737,74.65664
"25","2022_Q3",13.458125,"Down",11707000,-9245000,-6818000,-2427000,2462000,-505000,-1055000,550000,1957000,1957000,150000,2107000,2107000,2107000,2107000,4791000,4791000,2337000,2337000,5491000,1486000,4005000,12619000,271031000,390650000,-119619000,22319000,10259000,6978000,293350000,305969000,10091000,1399000,8692000,3962000,3240000,3240000,17293000,106981000,151834000,3570000,127394000,258815000,276108000,29863000,29861000,29861000,305969000,2107000,2427000,235000,1736000,6505000,-8469000,-24000,-8529000,-1673000,-2150000,622000,-3201000,-5225000,-5225000,-5225000,4889000,110943000,-1994000,0.2103,0.17998,0.07056,0.00689,-0.94637,0.72972,9.24644,0.3626,0.09287,0.09214,0.51603,1.31624,-0.08789,0.07374,0.01292,-0.00681,0.79402,21.71242,43.11617
