"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","short_long_term_investments","accounts_notes_receivable","net_loans","net_fixed_assets","other_assets","total_assets","total_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",49.2629032258065,"Down",7.862e+09,1.181e+09,1.739e+09,-5.58e+08,6.681e+09,1.679e+09,5.002e+09,-4.79e+08,7.383e+09,-5.513e+09,-5.513e+09,1.87e+09,1.87e+09,1.87e+09,-6.2e+08,1.25e+09,1.25e+09,1.25e+09,1.25e+09,3.817e+09,2.1158e+10,6.228e+09,4.191e+10,6.0791e+10,3.553e+09,1.2144e+10,1.52873e+11,3.7195e+10,4.027e+09,5.6271e+10,3.5902e+10,1.33395e+11,1.239e+10,7.923e+09,-8.35e+08,1.9478e+10,1.9478e+10,1.52873e+11,1.25e+09,1.25e+09,2.44e+08,4.79e+08,-7.2e+07,1.971e+09,3.872e+09,-2.69e+08,3.19e+08,-1.243e+09,1e+06,-1.215e+09,-2.29e+08,3.25e+08,-9.8e+08,1.187e+09,3.03e+08,2.96e+09,2.96e+09,1.11e+08,3.071e+09,2.114e+09,6.0298e+10,4.436e+09,0.23785,0.15899,0.06417,0.00818,3.5488,6.8485,0.39443,1.11012,1.10424,6.98224,17.2984,3.93961,0.20337,0.00967,0.02902,0.1832,26.7176,30.20374
"12","2013_Q1",54.3441666666667,"Up",8.141e+09,1.193e+09,1.737e+09,-5.44e+08,6.948e+09,1.729e+09,5.219e+09,-3.6e+08,7.781e+09,-6.852e+09,-6.852e+09,9.29e+08,9.29e+08,9.29e+08,-2.92e+08,6.37e+08,6.37e+08,6.37e+08,6.37e+08,2.02e+09,1.9892e+10,5.952e+09,4.2338e+10,6.4309e+10,3.635e+09,1.1418e+10,1.5314e+11,3.9803e+10,3.314e+09,5.8973e+10,3.2164e+10,1.34254e+11,1.2288e+10,7.525e+09,-9.27e+08,1.8886e+10,1.8886e+10,1.5314e+11,6.37e+08,6.37e+08,2.4e+08,3.6e+08,-5.9e+07,-4.71e+09,-3.532e+09,-2.88e+08,4.13e+08,-4.794e+09,-10000000.0000001,-3.559e+09,-2.27e+08,2.775e+09,-9.49e+08,2.616e+09,4.215e+09,-2.876e+09,-2.876e+09,-1.7e+07,-2.893e+09,1.169e+09,6.2287e+10,-3.537e+09,0.11411,0.07825,0.03373,0.00416,-5.55259,7.10865,0.40673,0.57439,0.57181,7.34085,17.02976,-3.18936,0.20469,0.00564,-0.0231,0.35636,51.55432,64.87298
"13","2013_Q2",62.28,"Up",7.881e+09,1.243e+09,1.762e+09,-5.19e+08,6.638e+09,1.663e+09,4.975e+09,-4.16e+08,7.465e+09,-5.556e+09,-5.556e+09,1.909e+09,1.909e+09,1.909e+09,-6.29e+08,1.28e+09,1.28e+09,1.28e+09,1.28e+09,3.433e+09,2.4294e+10,6.03e+09,4.2961e+10,6.146e+10,3.713e+09,1.1821e+10,1.56855e+11,4.1301e+10,3.359e+09,5.6366e+10,3.6539e+10,1.37565e+11,1.244e+10,7.83e+09,-9.8e+08,1.929e+10,1.929e+10,1.56855e+11,1.28e+09,1.28e+09,2.45e+08,4.16e+08,1.79e+08,5.427e+09,7.547e+09,-2.04e+08,-2.05e+08,1.51e+09,-1.1e+07,3.2e+07,-2.22e+08,-2.237e+09,-5.12e+08,1.141e+09,-1.83e+09,5.749e+09,5.749e+09,-3.5e+07,5.714e+09,2.154e+09,5.9725e+10,8.006e+09,0.24223,0.16242,0.06636,0.00816,6.25469,7.13142,0.38077,1.1647,1.15732,7.17106,17.55232,7.2848,0.202,0.00958,0.05104,0.17344,26.1337,29.48769
"14","2013_Q3",66.06484375,"Up",8.245e+09,1.202e+09,1.694e+09,-4.92e+08,7.043e+09,1.747e+09,5.296e+09,-5.18e+08,7.727e+09,-5.732e+09,-5.732e+09,1.995e+09,1.995e+09,1.995e+09,-5.9e+08,1.405e+09,1.405e+09,1.405e+09,1.405e+09,3.873e+09,1.9029e+10,5.489e+09,4.3711e+10,6.2264e+10,3.716e+09,1.0647e+10,1.51933e+11,4.0515e+10,2.961e+09,5.2675e+10,3.6748e+10,1.32899e+11,1.2459e+10,7.883e+09,-1.308e+09,1.9034e+10,1.9034e+10,1.51933e+11,1.405e+09,1.405e+09,2.52e+08,5.18e+08,-2.7e+07,5.34e+08,2.682e+09,-2.71e+08,3.31e+08,-2.884e+09,-1.8e+08,-1.962e+09,-2.21e+08,-3.3e+09,-1.129e+09,-7.94e+08,-5.444e+09,-4.724e+09,-4.724e+09,-1.11e+08,-4.835e+09,2.247e+09,5.5636e+10,3.1e+09,0.24196,0.17041,0.07382,0.00925,2.20641,6.98219,0.36619,1.28899,1.28077,7.56422,17.46239,2.84404,0.20275,0.0107,0.0204,0.1573,23.03649,25.94637
"15","2013_Q4",72.363125,"Up",8.301e+09,1.283e+09,1.767e+09,-4.84e+08,7.018e+09,1.758e+09,5.26e+09,-4.19e+08,7.882e+09,-5.878e+09,-5.878e+09,2.004e+09,2.004e+09,2.004e+09,-6.38e+08,1.366e+09,1.366e+09,1.366e+09,1.366e+09,2.19e+09,1.9867e+10,5.366e+09,4.3068e+10,6.2215e+10,3.746e+09,1.0222e+10,1.50103e+11,4.2487e+10,3.247e+09,5.2529e+10,3.2624e+10,1.30887e+11,1.2408e+10,8.147e+09,-1.339e+09,1.9216e+10,1.9216e+10,1.50103e+11,1.366e+09,1.366e+09,2.66e+08,4.19e+08,1.2e+07,-4.089e+09,-2.026e+09,-1.6e+08,3.2e+07,5.83e+08,2.1e+07,4.63e+08,-2.5e+08,-1.7e+07,-1.007e+09,1.956e+09,6.82e+08,-8.81e+08,-8.81e+08,3.8e+07,-8.43e+08,2.27e+09,5.5776e+10,-1.341e+09,0.24142,0.16456,0.07109,0.0091,-0.9817,6.81136,0.37158,1.27188,1.26364,7.72905,17.89199,-1.2486,0.23277,0.01077,-0.00893,0.18302,23.60617,26.73952
"16","2014_Q1",78.8793442622951,"Up",8.443e+09,1.319e+09,1.782e+09,-4.63e+08,7.124e+09,1.79e+09,5.334e+09,-4.79e+08,7.964e+09,-5.984e+09,-5.984e+09,1.98e+09,1.98e+09,1.98e+09,-6.72e+08,1.308e+09,1.308e+09,1.308e+09,1.308e+09,2.212e+09,1.6776e+10,5.514e+09,4.3777e+10,6.6585e+10,3.875e+09,1.1228e+10,1.53375e+11,4.1763e+10,5.021e+09,5.533e+10,3.1765e+10,1.33879e+11,1.2415e+10,8.507e+09,-1.426e+09,1.9496e+10,1.9496e+10,1.53375e+11,1.308e+09,1.308e+09,2.57e+08,4.79e+08,1.81e+08,-1.881e+09,3.44e+08,-3.71e+08,3e+06,-5.51e+09,-2.5e+07,-5.802e+09,-2.46e+08,4.629e+09,-5.74e+08,-1.108e+09,2.701e+09,-2.757e+09,-2.757e+09,-4.3e+07,-2.8e+09,2.237e+09,6.0351e+10,6.57e+08,0.23451,0.15492,0.06709,0.00853,0.50229,6.867,0.39349,1.22817,1.22015,7.9277,18.3061,0.6169,0.23099,0.01013,0.00428,0.18807,25.98972,29.36313
"17","2014_Q2",79.8112698412698,"Up",8.173e+09,1.337e+09,1.776e+09,-4.39e+08,6.836e+09,1.715e+09,5.121e+09,-4.85e+08,7.688e+09,-5.48e+09,-5.48e+09,2.208e+09,2.208e+09,2.208e+09,-7.76e+08,1.432e+09,1.432e+09,1.432e+09,1.432e+09,2.493e+09,1.7909e+10,5.099e+09,4.424e+10,6.3476e+10,3.893e+09,1.1253e+10,1.51497e+11,4.2671e+10,2.821e+09,5.4095e+10,3.1933e+10,1.3152e+11,1.2549e+10,8.822e+09,-1.394e+09,1.9977e+10,1.9977e+10,1.51497e+11,1.432e+09,1.432e+09,2.49e+08,4.85e+08,1.32e+08,9.87e+08,3.285e+09,-2.26e+08,3.27e+08,2.072e+09,-6e+06,1.557e+09,-2.46e+08,-3.505e+09,-7.28e+08,9.18e+08,-3.561e+09,1.281e+09,1.281e+09,-2.7e+07,1.254e+09,2.457e+09,5.6916e+10,3.994e+09,0.27016,0.17521,0.07168,0.00945,2.78911,6.58357,0.37569,1.35094,1.34208,7.71038,18.84623,3.76792,0.23208,0.01108,0.02636,0.17179,22.15018,24.6481
"18","2014_Q3",79.91484375,"Up",8.631e+09,1.316e+09,1.759e+09,-4.43e+08,7.315e+09,1.811e+09,5.504e+09,-4.89e+08,8.142e+09,-5.83e+09,-5.83e+09,2.312e+09,2.312e+09,2.312e+09,-7.83e+08,1.529e+09,1.529e+09,1.529e+09,1.529e+09,2.643e+09,1.5399e+10,5.243e+09,4.4893e+10,6.5871e+10,3.87e+09,1.0712e+10,1.52384e+11,4.2136e+10,3.436e+09,5.4836e+10,3.1763e+10,1.32171e+11,1.2457e+10,9.127e+09,-1.371e+09,2.0213e+10,2.0213e+10,1.52384e+11,1.529e+09,1.529e+09,2.66e+08,4.89e+08,-3.65e+08,-3.19e+08,1.6e+09,-3.2e+08,-1.65e+08,-3.225e+09,-1.03e+08,-3.133e+09,-2.43e+08,1.145e+09,-1.17e+09,-5.47e+08,-8.15e+08,-2.348e+09,-2.348e+09,3.8e+07,-2.31e+09,2.578e+09,5.8272e+10,2.722e+09,0.26787,0.17715,0.07564,0.01003,1.78025,6.53891,0.3824,1.45342,1.44655,8.20437,19.21388,2.58745,0.23099,0.01163,0.01786,0.15893,21.57836,24.06099
"19","2014_Q4",79.8340625,"Down",8.303e+09,1.395e+09,1.815e+09,-4.2e+08,6.908e+09,1.426e+09,5.482e+09,-4.88e+08,7.815e+09,-5.569e+09,-5.569e+09,2.246e+09,2.246e+09,2.246e+09,-7.69e+08,1.477e+09,1.477e+09,1.477e+09,1.477e+09,2.3e+09,1.8772e+10,4.942e+09,4.4685e+10,6.5766e+10,3.921e+09,1.0845e+10,1.53862e+11,4.2703e+10,3.382e+09,5.5712e+10,3.1849e+10,1.33646e+11,1.2423e+10,9.335e+09,-1.542e+09,2.0216e+10,2.0216e+10,1.53862e+11,1.477e+09,1.477e+09,2.49e+08,4.88e+08,-5.4e+07,1.541e+09,3.701e+09,-3.08e+08,1.01e+08,-1.196e+09,-2.1e+07,-1.404e+09,-2.81e+08,1.435e+09,-1.056e+09,5.46e+08,6.44e+08,2.941e+09,2.941e+09,-1.07e+08,2.834e+09,2.495e+09,5.9094e+10,4.497e+09,0.2705,0.17789,0.07306,0.0096,3.04469,6.6109,0.38407,1.41883,1.4107,7.97598,19.41979,4.31988,0.26993,0.01143,0.02923,0.19025,22.76313,25.28673
"20","2015_Q1",74.1911475409836,"Down",9.081e+09,1.424e+09,1.829e+09,-4.05e+08,7.657e+09,1.386e+09,6.271e+09,-5.82e+08,8.499e+09,-6.274e+09,-6.274e+09,2.225e+09,2.225e+09,2.225e+09,-7.78e+08,1.447e+09,1.447e+09,1.447e+09,1.447e+09,2.628e+09,1.919e+10,4.901e+09,4.4386e+10,7.0104e+10,3.938e+09,1.1342e+10,1.59103e+11,4.4171e+10,3.48e+09,5.7955e+10,3.2824e+10,1.3843e+11,1.3079e+10,9.513e+09,-1.919e+09,2.0673e+10,2.0673e+10,1.59103e+11,1.447e+09,1.447e+09,2.48e+08,5.82e+08,-3.64e+08,4.91e+08,2.404e+09,-3.41e+08,1.199e+09,-5.728e+09,-9.9e+07,-4.987e+09,-2.71e+08,2.803e+09,-3.31e+08,1.542e+09,3.743e+09,1.16e+09,1.16e+09,-1.36e+08,1.024e+09,2.473e+09,6.1435e+10,3.401e+09,0.24502,0.15934,0.06999,0.00909,2.35038,6.69617,0.38613,1.40896,1.40077,8.84226,20.1295,3.31159,0.26388,0.0108,0.02138,0.18728,23.77962,26.43011
"21","2015_Q2",71.0944444444444,"Down",7.95e+09,1.447e+09,1.857e+09,-4.1e+08,6.503e+09,1.375e+09,5.128e+09,-4.2e+08,7.53e+09,-5.214e+09,-5.214e+09,2.316e+09,2.316e+09,2.316e+09,-7.91e+08,1.525e+09,1.525e+09,1.525e+09,1.525e+09,2.286e+09,2.0933e+10,4.77e+09,4.3274e+10,6.6656e+10,3.94e+09,1.0471e+10,1.54684e+11,4.4928e+10,2.361e+09,5.4712e+10,3.0853e+10,1.32854e+11,1.3874e+10,1.0107e+10,-2.151e+09,2.183e+10,2.183e+10,1.54684e+11,1.525e+09,1.525e+09,2.51e+08,4.2e+08,2.9e+08,-3.6e+08,2.126e+09,-2.56e+08,-8e+06,3.129e+09,-5.9e+07,2.821e+09,-2.68e+08,-4.162e+09,1.04e+08,7.84e+08,-3.542e+09,1.405e+09,1.405e+09,-1.21e+08,1.284e+09,2.567e+09,5.7073e+10,2.742e+09,0.29132,0.19182,0.06986,0.00986,1.79803,6.08585,0.36897,1.49657,1.49071,7.80177,21.42296,2.69087,0.263,0.01159,0.01773,0.17574,21.34281,23.65587
