"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2019_Q2",26.2307936507937,"Down",-7313000,-3139000,-4174000,-7313000,1e+05,1e+05,-7213000,-7213000,-7213000,-7213000,-7213000,-7213000,13270000,11272000,1998000,1119000,1094000,25000,14389000,6941000,6941000,1069000,1069000,8010000,22399000,4236000,858000,3378000,4623000,4929000,9552000,188826000,-175979000,12847000,12847000,22399000,-7213000,31000,529000,-848000,-7501000,-127000,8100000,7973000,165000,165000,165000,637000,637000,637000,-7282000,0,-0.56145,-0.32202,3.11248,0.74352,0,-9.7366,-9.7366,17.34177,-0.40577,1.8223,1.81458
"12","2019_Q3",13.8340625,"Down",-7379000,-3075000,-4304000,-7379000,207000,207000,-7172000,-7172000,-7172000,-7172000,-7172000,-7172000,31522000,10157000,21365000,1037000,1012000,25000,32559000,6764000,6764000,870000,870000,7634000,40193000,4981000,1719000,3262000,5387000,4822000,10209000,213111000,-183151000,29984000,29984000,40193000,-7172000,27000,4e+05,1053000,-5692000,-4000.00000000023,-19284000,-19288000,0,0,23865000,-1115000,-1115000,-1115000,-7352000,2.27373675443232e-13,-0.23919,-0.17844,6.04399,0.34048,0,-5.1978,-5.1978,21.73046,-0.20606,4.28754,4.27185
"13","2019_Q4",9.870625,"Down",-7915000,-3440000,-4475000,-7915000,166000,166000,-7749000,-7749000,-7749000,-7749000,-7749000,-7749000,24561000,6867000,17694000,1936000,1911000,25000,26497000,6585000,6585000,870000,870000,7455000,33952000,6002000,2349000,3653000,6428000,4708000,11136000,213699000,-190900000,22816000,22816000,33952000,-7749000,22000,538000,213000,-6976000,-5000,3742000,3737000,0,0,-51000,-3290000,-3290000,-3290000,-7893000,0,-0.33963,-0.22823,4.12212,0.48808,0,-5.55824,-5.55824,16.36557,-0.28154,3.11174,3.1031
"14","2020_Q1",12.0454838709677,"Up",-7349000,-2639000,-4710000,-7349000,114000,-473000,-7235000,-7235000,-7235000,-7235000,-7235000,-7235000,18278000,5311000,12967000,1272000,1247000,25000,19550000,6355000,6355000,568000,568000,6923000,26473000,5393000,1452000,3941000,5839000,4586000,10425000,214176000,-198135000,16048000,16048000,26473000,-7235000,75000,423000,432000,-6305000,-15000,4779000,4764000,23799000,23799000,-15000,-1556000,-1556000,-1556000,-7274000,-3.63797880709171e-12,-0.45083,-0.2733,3.34818,0.64961,0,-5.19637,-5.19637,11.52611,-0.35063,2.51279,2.48714
"15","2020_Q2",16.2965079365079,"Up",-6876000,-2807000,-4069000,-6876000,62000,62000,-6814000,-6748000,-6748000,-6748000,-6748000,-6748000,12695000,10697000,1998000,992000,967000,25000,13687000,6118000,6118000,568000,568000,6686000,20373000,5675000,1088000,4587000,6143000,4461000,10604000,214653000,-204883000,9769000,9769000,20373000,-6748000,70000,409000,597000,-5672000,66000,10992000,11058000,24883031.2288195,24883031.2288195,0,5386000,5386000,5386000,-6806000,0,-0.69076,-0.33122,2.22806,1.08547,0,-4.85287,-4.85287,7.02544,-0.47421,1.86527,1.84628
"16","2020_Q3",23.52640625,"Up",-4400000,-1912000,-2488000,-4400000,76000,10000,-4324000,-4390000,-4390000,-4390000,-4390000,-4390000,18880000,17124000,1756000,790000,765000,25000,19670000,5887000,5887000,568000,568000,6455000,26125000,4265000,993000,3272000,4926000,4545000,9471000,225929000,-209273000,16654000,16654000,26125000,-4390000,69000,554000,-1305000,-5072000,-4999.99999999999,244000,238999.999999998,10876000,10876000,11260000,6427000,6427000,6427000,-4331000,384000,-0.2636,-0.16804,3.9931,0.56869,0.0147,-2.8122,-2.8122,10.66841,-0.20543,4.27061,4.20364
"17","2020_Q4",24.98359375,"Up",-5028000,-2344000,-2684000,-5028000,5000,5000,-5023000,-5023000,-5023000,-5023000,-5023000,-5023000,14121000,7850000,6271000,1853000,1828000,25000,15974000,5697000,5697000,568000,568000,6265000,22239000,4689000,1002000,3687000,5249000,4532000,9781000,226755000,-214296000,12458000,12458000,22239000,-5023000,14000,482000,-516000,-5043000,0,-4529000,-4529000,298000,298000,298000,-9274000,-9274000,-9274000,-5014000,384000,-0.40319,-0.22586,3.04325,0.78512,0.01727,-2.55022,-2.55022,6.32502,-0.29481,2.73973,2.7321
"18","2021_Q1",34.2639344262295,"Up",-4192000,-2267000,-1925000,-4192000,-804000,-77000,-4996000,-4996000,-4996000,-4996000,-4996000,-4996000,13805000,7046000,6759000,2521000,1928000,593000,16326000,15000,15000,414331.854124031,414331.854124031,15000,16341000,3792000,1596000,2196000,3960000,219000,4179000,231456000,-219292000,12162000,12162000,16341000,-4996000,10000,353000,-56000,-4689000,142000,-499000.000000002,-356999.999999998,4239000,4239000,4242000,-804000,-804000,-804000,-4182000,387000,-0.41079,-0.30573,4.12273,0.34361,0.02368,-2.43455,-2.43455,5.92654,-0.39812,3.20851,3.20086
"19","2021_Q2",24.9492063492063,"Down",-6989000,-2673000,-4316000,-6989000,14000,14000,-6975000,-6975000,-6975000,-6975000,-6975000,-6975000,63351000,19283000,44068000,973000,948000,25000,64324000,98000,98000,249000,249000,347000,64671000,2651000,560000,2091000,3073000,179000,3252000,287693000,-226267000,61419000,61419000,64671000,-6975000,2000,693000,-196000,-6476000,-85000,-37374000,-37459000,55604000,55604000,55604000,11669000,11669000,11669000,-6987000,384000,-0.11356,-0.10785,20.93199,0.05295,0.00594,-1.67298,-1.67298,14.73154,-0.11263,9.01202,9.00944
"20","2021_Q3",21.90796875,"Down",-6009000,-2156000,-3853000,-6009000,323000,19000,-5686000,-5686000,-5686000,-5686000,-5686000,-5686000,59479000,10748000,48731000,673000,648000,25000.0000000001,60152000,153000,153000,226000,226000,379000,60531000,4180000,1016000,3164000,4273000,128000,4401000,288077000,-231953000,56130000,56130000,60531000,-5686000,40000,52999.9999999998,1830000,-3763000,-67000,-4731000,-4798000,25999.9999999925,25999.9999999925,26000,-8535000,-8535000,-8535000,-5969000,0,-0.1013,-0.09394,14.07723,0.07841,-8.67361737988404e-19,-1.3638,-1.3638,13.46295,-0.10107,9.96465,9.89832
"21","2021_Q4",15.4646875,"Down",-6791000,-2513000,-4278000,-6791000,87000,21000,-6704000,-6704000,-6704000,-6704000,-6704000,-6704000,52232000,7603000,44629000,2191000,2166000,25000,54423000,144000,144000,201000,201000,345000,54768000,4467000,1035000,3432000,4560000,99000,4659000,288765000,-238657000,50109000,50109000,54768000,-6704000,39000,666000,-1261000,-7260000,61000,4028000,4089000,26000,26000,26000,-3145000,-3145000,-3145000,-6752000,0,-0.13379,-0.12241,11.93487,0.09298,0,-3.40987,-3.40987,25.48703,-0.13352,7.73578,7.69136
"22","2022_Q1",9.05032258064516,"Down",-6816000,-2255000,-4561000,-6816000,17000,-54000,-6799000,-6799000,-6799000,-6799000,-6799000,-6799000,45933000,3600000,42333000,2244000,2219000,25000,48177000,128000,155634.341146421,176000,176000,304000,48481000,4415000,1210000,3205000,4508000,69000,4577000,289373000,-245456000,43904000,43904000,48481000,-6799000,40000,635000,-131000,-6255000,0,2251000,2251000,1000,1000,1000,-4003000,-4003000,-4003000,-6776000,0,-0.15486,-0.14024,10.687,0.10425,0,-3.45819,-3.45819,22.33097,-0.15462,6.77878,6.739
"23","2022_Q2",9.18451612903226,"Up",-8421000,-2528000,-5893000,-8421000,-1000,21000,-8422000,-8422000,-8422000,-8422000,-8422000,-8422000,38075000,7449000,30626000,1918000,1893000,25000,39993000,113000,113000,149000,149000,262000,40255000,4015000,1023000,2992000,4146000,-120948.642880202,4146000,289971000,-253878000,36109000,36109000,40255000,-8422000,41000,686000,-105000,-7800000,-541848.068721368,11649000,11649000,-73597655.4456328,-73597655.4456328,-73539780.8930224,3849000,3849000,3849000,-8380000,0,-0.23324,-0.20922,9.64616,0.11482,0,-1.86021,-1.86021,7.95547,-0.23324,4.54356,4.52143
"24","2022_Q3",4.2234375,"Down",-8041000,-2608000,-5433000,-8041000,49000,49000,-7992000,-7992000,-7992000,-7992000,-7992000,-7992000,32382000,7628000,24754000,1168000,1143000,25000,33550000,98000,98000,122000,122000,220000,33770000,5051000,1741000,3310000,5151000,-493845.928640606,5151000,290499000,-261870000,28619000,28619000,33770000,-7992000,42000,510000,1755000,-5685000,-1863544.2061641,5864000,5864000,-276372966.336898,-276372966.336898,-276199342.679067,179000,179000,179000,-7999000,0,-0.27926,-0.23666,6.5133,0.17999,0,-1.76523,-1.76523,6.30112,-0.27926,4.04826,4.02711
