"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"12","2013_Q1",11.5763333333333,"Up",236312000,-183008000,53304000,-40059000,-35279000,13245000,-5e+05,-5e+05,12745000,12745000,-5043000,7702000,7702000,7702000,7702000,53702000,52720000,238325000,192254000,14795000,321704000,6672000,6672000,111519000,76532000,118191000,439895000,115872000,102961000,12911000,172077000,19180000,10406000,29586000,201663000,129000,99641000,-67306000,205358000,410000,238232000,238232000,439895000,7702000,3462000,-3629000,19951000,27486000,-2731000,-11725000,-5448000,-1.16415321826935e-10,0,-5190000,10571000,10571000,-4000,10567000,16707000,41739000,38970000,0.22557,0.05605,0.03259,0.03233,0.01751,5.05972,1.86954,0.8465,0.09488,0.24357,0.24045,7.47305,7.52968,1.23237,8,0.02652,0.1342,-0.71605,-0.90321
"13","2013_Q2",12.34234375,"Up",259317000,-206583000,52734000,-38921000,-35683000,13813000,-460000,-460000,13353000,13353000,-5503000,7850000,7850000,7850000,7850000,72731000,72731000,245994000,197168000,27701000,346426000,3738000,3738000,144328000,111376000,148066000,494492000,184868000,154630000,30238000,204643000,38884000,4795000,43679000,248322000,130000,101517000,-69001000,213208000,316000,246170000,246170000,494492000,7850000,3707000,-3982000,-14664000,-7089000,-2925000,-15076000,42791000,-1695000,-1695000,42172000,20007000,20007000,4000,20011000,17520000,40386000,5434000,0.20336,0.05327,0.03027,0.03189,0.01587,0.69223,1.69283,1.00874,0.08167,0.24798,0.24577,8.19172,7.7723,0.17166,3,0.02667,0.01865,-1.84618,-2.34163
"14","2013_Q3",14.5625,"Up",271129000,-218349000,52780000,-37652000,-35744000,15128000,-433000,-433000,14695000,14695000,-6104000,8591000,8591000,8591000,8591000,53696000,53696000,244515000,195405000,20202000,318413000,3963000,3963000,142925000,109991000,146888000,465301000,149168000,124859000,24309000,165574000,42148000,4795000,46943000,212517000,130000,103684000,-73207000,221804000,373000,252784000,252784000,465301000,8591000,3652000,-373000,780000.000000004,12650000,-8937000,-10257000,-17105000,-3647000,-4206000,-21424000,-19031000,-19031000,-4000,-19035000,18780000,43668000,16727000,0.19467,0.0558,0.03169,0.03399,0.01846,1.94704,1.92309,0.84071,0.09385,0.26928,0.26753,8.49842,7.91933,0.5243,4,0.02913,0.05553,-0.53397,-0.66288
"15","2013_Q4",13.3975,"Down",267182000,-210433000,56749000,-38200000,-36192000,18549000,-496000,-496000,18053000,18053000,-7443000,10610000,10610000,10610000,10610000,40498000,40498000,285256000,241944000,24285000,350039000,4253000,4253000,152485000,117471000,156738000,506777000,166044000,135873000,30171000,192066000,50451000,4516000,54967000,247033000,130000,104525000,-77614000,232414000,289000,259744000,259744000,506777000,10610000,4442000,-1261000,-46118000,-32327000,-1074000,4105000,19597000,-4407000,-4407000,15018000,-13204000,-13204000,6000,-13198000,22991000,53365000,-16758000,0.2124,0.06942,0.03971,0.04085,0.02094,-1.57945,1.82249,0.95106,0.1053,0.33363,0.33051,8.40155,8.16358,-0.52696,5,0.03341,-0.05276,0.55965,0.69368
"16","2014_Q1",14.0724590163934,"Up",259908000,-205258000,54650000,-40094000,-35415000,14556000,-559000,-559000,13997000,13997000,-5775000,8222000,8222000,8222000,8222000,80179000,80179000,300965000,243216000,22629000,421517000,8013000,8013000,124315000,85990000,132328000,553845000,174529000,162128000,12401000,244118000,36521000,6823000,43344000,287462000,130000,105924000,-80494000,240637000,186000,266383000,266383000,553845000,8222000,2954000,-3068000,10435000,18543000,1677000,-7569000,31177000,-2879000,-2880000,28693000,39667000,39667000,14000,39681000,17510000,68888000,35397000,0.21027,0.056,0.03163,0.03087,0.01485,4.30516,1.72669,1.07913,0.12438,0.26126,0.25831,8.25864,8.46025,1.12475,4,0.02404,0.10347,-0.64483,-0.77569
"17","2014_Q2",13.8993650793651,"Down",272304000,-215865000,56439000,-41053000,-39220000,15386000,790000,-644000,16176000,16176000,-6699000,9477000,9477000,9477000,9477000,66852000,66852000,265420000,207438000,29661000,384134000,7995000,7995000,138357000,100412000,146352000,530486000,175198000,164209000,10989000,244075000,31268000,6481000,37749000,281824000,131000,107858000,-109743000,250114000,302000,248662000,248662000,530486000,9477000,3841000,-3808000,-14864000,-5354000,-7561000,-695000,21148000,-29249000,-29249000,-7294000,-13343000,-13343000,16000,-13327000,19227000,66168000,3501000,0.20726,0.0565,0.0348,0.03811,0.01786,0.36942,1.57384,1.13336,0.12473,0.31573,0.31343,9.07196,8.27995,0.11664,5,0.02974,0.0109,-0.03557,-0.04446
"18","2014_Q3",14.1903125,"Up",297472000,-233548000,63924000,-42987000,-41410000,20937000,-611000,-611000,20326000,20326000,-8374000,11952000,11952000,11952000,11952000,62941000,62941000,303584000,238935000,30834000,417260000,7145000,7145000,140041000,94783000,147186000,564446000,188576000,175583000,12993000,268551000,32594000,7243000,39837000,308388000,131000,108995000,-115276000,262066000,142000,256058000,256058000,564446000,11952000,3790000,-1207000,-20176000,-5641000,1393000,-21487000,28848000,-5533000,-5533000,23242000,-3886000,-3886000,-25000,-3911000.00000001,24727000,68136000,14318000,0.21489,0.07038,0.04018,0.04668,0.02117,1.19796,1.55375,1.20437,0.12071,0.4082,0.40581,10.15956,8.74068,0.489,5,0.03609,0.0432,0.21009,0.24813
"19","2014_Q4",16.5075,"Up",306241000,-240803000,65438000,-44301000,-42865000,21137000,5594000,-575000,26731000,26731000,-11230000,15501000,15501000,15501000,15501000,51522000,51522000,343102000,272652000,23600000,442966000,9047000,9047000,139352000,94676000,148399000,591365000,191624000,176457000,15167000,285841000,27360000,7965000,35325000,321166000,131000,110086000,-117574000,277567000,-11000,270199000,270199000,591365000,15501000,3810000,-482000,-17764000,1065000,-1630000,-9523000,-558000,-2298000,-2298000,-2946000,-11404000,-11404000,-15000,-11419000,24947000,72500000,16783000,0.21368,0.06902,0.05062,0.05737,0.02621,1.0827,1.54969,1.18863,0.1226,0.53607,0.52962,10.59071,9.33974,0.58041,7,0.0442,0.04786,0.8409,0.99248
"20","2015_Q1",19.442131147541,"Up",267265000,-208519000,58746000,-43117000,-43630000,15629000,-549000,-549000,15080000,15080000,-6170000,8910000,8910000,8910000,8910000,76175000,76175000,316712000,249803000,19835000,440634000,9248000,9248000,118393000,76991000,127641000,568275000,180698000,165838000,14860000,258085000,27115000,3813000,30928000,289013000,131000,111072000,-118179000,286477000,-239000,279262000,279262000,568275000,8910000,4134000,-2213000,13510000,24341000,4444000,1113000,593000,-605000,-604999.999999999,-746000,24708000,24708000,-55000,24653000,19763000,56564000,43887000,0.2198,0.05848,0.03334,0.03191,0.01568,4.92559,1.70732,1.03492,0.09954,0.30856,0.30376,9.25561,9.66654,1.51984,7,0.02623,0.12922,-0.99231,-1.25478
"21","2015_Q2",20.8703174603175,"Up",269866000,-210736000,59130000,-43511000,-40785000,15619000,-553000,-553000,15066000,15066000,-6252000,8814000,8814000,8814000,8814000,88781000,88781000,302734000,209186000,24273000,444387000,9456000,9456000,126542000,82734000,135998000,580385000,164317000,151657000,12660000,268644000,16911000,6882000,23793000,292437000,132000,113375000,-120654000,295291000,-196000,287948000,287948000,580385000,8814000,4235000,-928000,10708000,22829000,-14518000,-26425000,18754000,-2475000,-2475000,16199000,12603000,12603000,3000,12606000,19854000,75828000,22296000,0.21911,0.05788,0.03266,0.03061,0.01519,2.52961,1.65419,1.01559,0.13065,0.30498,0.30181,9.33792,9.95903,0.77149,7,0.024,0.06015,-0.65241,-0.82931
"22","2015_Q3",19.16296875,"Down",336286000,-264365000,71921000,-44838000,-42125000,27083000,-422000,-422000,26661000,26661000,-10982000,15679000,15679000,15679000,15679000,62842000,62842000,355097000,290829000,18773000,450517000,8969000,8969000,131001000,87847000,139970000,590487000,199123000,185129000,13994000,265605000,13325000,6548000,19873000,285478000,132000,114934000,-120654000,310970000,-373000,305009000,305009000,590487000,15679000,4268000,-986000,-63299000,-44338000,-7264000,-1499000,19934000,0,4.65661287307739e-10,19934000,-25903000,-25903000,-36000,-25939000,31351000,42666000,-28230000,0.21387,0.08054,0.04662,0.05141,0.02655,-1.8005,1.69619,0.93597,0.07226,0.53895,0.53556,11.5594,10.47975,-0.97037,6,0.04426,-0.0797,-0.64355,-0.74497
"23","2015_Q4",22.4671875,"Up",298644000,-234584000,64060000,-46019000,-46545000,18041000,-396000,-396000,17645000,17645000,-7348000,10297000,10297000,10297000,10297000,66567000,66567000,362927000,294461000,24971000,473833000,8989000,8989000,147612000,88443000,156601000,630434000,219606000,204604000,15002000,295182000,12438000,6140000,18578000,313760000,132000,116441000,-120654000,321267000,-512000,316674000,316674000,630434000,10297000,4517000,-1803000,-9219000,3792000,-705000,-16420000,17504000,0,0,16346000,3718000,3718000,7000,3725000,22558000,49565000,19982000,0.2145,0.06041,0.03448,0.03252,0.01633,1.94057,1.60522,0.9908,0.07862,0.35351,0.34844,10.25282,10.86728,0.68601,5,0.02765,0.05366,-0.7537,-0.94241
"24","2016_Q1",20.6347540983607,"Down",299403000,-232457000,66946000,-50160000,-49525000,16786000,-407000,-407000,16379000,16379000,-6422000,9957000,9957000,9957000,9957000,94766000,94766000,332847000,276399000,33343000,477976000,8644000,8644000,130060000,75906000,138704000,616680000,213654000,198673000,14981000,273446000,19092000,5264000,24356000,297802000,132000,117511000,-129518000,331224000,-471000,318878000,318878000,616680000,9957000,2960000,2705000,16205000,31827000,3547000,-5835000,10833000,-8864000,-8864000,1969000,27961000,27961000,238000,28199000,19746000,47422000,45920000,0.2236,0.05606,0.03326,0.03123,0.01615,4.61183,1.74797,0.93391,0.0769,0.34353,0.33785,10.32994,10.99731,1.58432,8,0.0268,0.12359,-2.39765,-2.82045
"25","2016_Q2",20.78015625,"Up",298503000,-230839000,67664000,-49829000,-48054000,17835000,-349000,-349000,17486000,17486000,-6815000,10671000,10671000,10671000,10671000,78807000,78807000,369564000,296738000,46376000,506619000,9526000,9526000,122954000,70285000,132480000,639099000,233219000,219117000,14102000,307671000,15479000,6195000,21674000,329345000,133000,118969000,-150555000,341895000,-688000,309754000,309754000,639099000,10671000,2775000,-586000,-25579000,-12719000,-4842000,-17510000,34593000,-20640000,-20640000,13953000,-16276000,-16276000,317000,-15959000,20610000,56929000,-2996000,0.22668,0.05975,0.03575,0.03445,0.0167,-0.28076,1.64663,1.06325,0.08908,0.37932,0.37532,10.6108,11.00601,-0.1065,6,0.02862,-0.00803,-1.06152,-1.22669
"26","2016_Q3",21.77375,"Up",371462000,-289529000,81933000,-53330000,-51607000,28603000,-20000,-4e+05,28583000,28583000,-11808000,16775000,16775000,16775000,16775000,48035000,48035000,405975000,327359000,80502000,545999000,11092000,11092000,123803000,72106000,134895000,680894000,255561000,240364000,15197000,341076000,11647000,8468000,20115000,361191000,133000,120414000,-158948000,358670000,-566000,319703000,319703000,680894000,16775000,3057000,-198000,-50721000,-31087000,754999.999999999,-1138000,11229000,-9852000,-9852000,1377000,-30848000,-30848000,76000,-30772000,31660000,57393000,-6498000,0.22057,0.077,0.04516,0.05247,0.02464,-0.38736,1.60081,1.12977,0.08429,0.60709,0.60368,13.44318,11.56521,-0.23516,5,0.04351,-0.01685,0.29558,0.32717
"27","2016_Q4",25.94,"Up",326657000,-252871000,73786000,-52070000,-50160000,21716000,-409000,-409000,21307000,21307000,-8687000,12620000,12620000,12620000,12620000,69677000,69677000,397588000,331643000,111076000,588794000,11704000,11704000,136180000,74490000,147884000,736678000,259828000,242416000,17412000,382725000,10608000,9550000,20158000,402883000,133000,122031000,-158948000,371290000,-711000,333795000,333795000,736678000,12620000,2926000,-1164000,59126000,73508000,-2730000,-28392000,-22816000,-1000,-1000,-23535000,21581000,21581000,61000,21642000,24642000,53998000,89725000,0.22588,0.06648,0.03863,0.03781,0.01713,7.10975,1.53843,1.20698,0.0733,0.45754,0.45175,11.84312,12.09709,3.25303,7,0.03176,0.22581,-0.63627,-0.722
"28","2017_Q1",30.6496774193548,"Up",422180000,-322081000,100099000,-82819000,-78306000,17280000,-765000,-37000,16515000,16515000,-1459000,15056000,15056000,15056000,15056000,109760000,109760000,342672000,291016000,93557000,597324000,11956000,11956000,132440000,71883000,144396000,741720000,265008000,246130000,18878000,376492000,10431000,8879000,19310000,395802000,142000,123536000,-81557056.1704318,222823000,-583000,345918000,345918000,741720000,10490000,2973000,-4234000,-5915000.00000001,3314000.00000001,-5263000,20695000,16443000,0,0,16019000,40028000,40028000,55000,40083000,20253000,37424000,10534000,0.2371,0.04093,0.03566,0.04352,0.0203,0.69965,1.58655,1.14421,0.05046,0.5457,0.53641,15.30192,12.53266,0.381810000000001,7,0.03839,0.02686,-3.57162,-4.18611
"29","2017_Q2",36.2496825396825,"Up",373356000,-295763000,77593000,-56727000,-54664000,20866000,-88000,-359000,20778000,20778000,-7355000,13423000,13423000,13423000,13423000,98244000,98244000,363708000,302336000,90497000,605516000,11904000,11904000,137764000,66821000,149668000,755184000,266954000,250887000,16067000,381543000,6908000,9703000,16611000,398154000,142000,125043000,-4130000,236246000,-271000,357030000,357030000,755184000,13423000,3225000,-1616000,-18482000,-3450000,-3908000,-13836000,10553000,-4130000,-4130000,5819000,-11467000,-11467000,-49000,-11516000,24091000,36495000,9056000,0.20783,0.05589,0.03595,0.0376,0.01777,0.67466,1.58702,1.11518,0.04833,0.48613,0.47874,13.52151,12.92511,0.32797,5,0.03329,0.02246,-2.56316,-2.95931
"30","2017_Q3",40.8134920634921,"Up",371363000,-283792000,87571000,-58469000,-56340000,29102000,-415000,-274000,28687000,28687000,-11466000,17221000,17221000,17221000,17221000,60185000,60185000,392930000,322998000,51431000,555345000,16278000,16278000,167373000,61847000,183651000,738996000,237666000,220182000,17484000,336121000,4666000,22147000,26813000,362934000,142000,126716000,-4383000,253467000,120000,376062000,376062000,738996000,17221000,3520000,-3834000,-127000,16780000,4656000,-39055000,-15112000,-253000,-253000,-15865000,-38140000,-38140000,81000,-38059000,32622000,37121000,48617000,0.23581,0.07837,0.04637,0.04579,0.0233,2.82312,1.65222,0.96509,0.05023,0.62035,0.61403,13.37763,13.54179,1.75133,5,0.03956,0.11168,-0.70701,-0.79252
"31","2017_Q4",42.1268253968254,"Up",344225000,-267537000,76688000,-60028000,-57134000,16660000,-401000,-270000,16259000,16259000,-678000,15581000,15581000,15581000,15581000,76105000,76105000,391108000,316510000,51295000,569218000,17632000,17632000,177803000,72575000,195435000,764653000,254179000,233611000,20568000,358683000,3840000,18518000,22358000,381041000,142000,128392000,-14165000,269048000,195000,383612000,383612000,764653000,15581000,4579000,-4645000,19979000,35494000,-2795000,-1902000,-8196000,-9016000,-9016000,-17712000,15880000,15880000,40000,15920000,21239000,31489000,39101000,0.22278,0.0484,0.04526,0.04062,0.02038,2.50953,1.58697,0.9933,0.04118,0.56253,0.55551,12.42779,13.84468,1.41169,6,0.03593,0.09017,-2.10066,-2.67803
"32","2018_Q1",38.5393442622951,"Down",329858000,-248228000,81630000,-62824000,-59989000,18806000,-639000,-292000,18167000,18167000,-9270000,8897000,8897000,8897000,8897000,118198000,118198000,366624000,296688000,39855000,564891000,19143000,19143000,171437000,68511000,190580000,755471000,238843000,219042000,19801000,350067000,10072000,22729000,32801000,382868000,142000,1.3e+08,-36016000,277945000,532000,372603000,372603000,755471000,8897000,4503000,1423000,19119000,33942000,2482000,-2884000,33339000,-21846000,-21846000,10993000,42051000,42051000,42000,42093000,23309000,52278000,54180000,0.24747,0.05701,0.02697,0.02388,0.01178,6.08969,1.61367,1.02755,0.0692,0.3265,0.32231,12.10488,13.66829,1.98826,7,0.01988,0.12104,-2.82809,-3.50526
"33","2018_Q2",43.62421875,"Up",356532000,-275829000,80703000,-59756000,-56966000,20947000,-379000,-476000,20568000,20568000,-5295000,15273000,15273000,15273000,15273000,57480000,57480000,429280000,358661000,52127000,571595000,17592000,17592000,171212000,70054000,188804000,760399000,245777000,228249000,17528000,346390000,12477000,21678000,34155000,380545000,143000,131693000,-45075000,293218000,-125000,379854000,379854000,760399000,15273000,4500000,241000,-69046000,-49032000,-7791000,-31815000,30367000,-9830000,-9830000,20037000,-60810000,-60810000,92000,-60718000,25447000,54598000,-46095000,0.22636,0.05875,0.04284,0.04021,0.02009,-3.01807,1.65015,1.00182,0.0718,0.56845,0.56163,13.26976,14.13246,-1.71561,5,0.03348,-0.10106,-0.11326,-0.13759
