"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",17.57890625,"Up",154149000,-130810000,-77057000,-53753000,23339000,802000,802000,24141000,24141000,-8555000,15586000,15586000,15586000,13093000,470901000,370159000,50561000,50561000,79002000,25204000,51460000,600464000,58098000,73356000,55050000,19699000,186504000,786968000,241401000,18933000,222022000,175263000,175263000,416664000,21818000,21818000,21818000,438482000,163826000,184556000,104000,348486000,348486000,786968000,15586000,6354000,21007000,-18445000,24502000,-8886000,20412000,324000,11850000,4e+05,4e+05,39817000,40217000,76569000,76569000,76569000,29693000,0,10917000,0.15141,0.08494,0.03757,0.01664,0.8338,1.44112,1.25825,0,0.37358,0.36076,4.39835,9.94339,0.3115,0.03536,0.02948,-15.85899,-20.17657
"12","2013_Q3",23.11609375,"Up",140609000,-123253000,-72105000,-51148000,17356000,839000,839000,18195000,18195000,-6890000,11305000,11305000,11305000,9509000,509823000,406110000,46035000,46035000,66877000,14926000,49613000,622735000,58363000,74866000,52505000,17099000,185734000,808469000,223423000,15860000,201359000,184891000,184891000,408314000,32287000,32287000,32287000,440601000,172050000,195851000,-33000,367868000,367868000,808469000,11305000,6649000,18398000,26266000,62618000,-8127000,-9583000.00000001,-1000,-17711000,2020000,2020000,-13058000,-11038000,33869000,33869000,33869000,24005000,-7.27595761418343e-12,49034000,0.12343,0.06763,0.02585,0.01176,5.15659,1.52514,1.19771,-3.3881317890172e-21,0.26877,0.2592,3.97425,10.39763,1.38592,0.02376,0.12254,-21.2382,-29.37445
"13","2013_Q4",23.29640625,"Up",136543000,-128570000,-73996000,-54574000,7973000,778000,778000,8751000,8751000,-2638000,6113000,6113000,6113000,5170000,467286000,328879000,48208000,48208000,71560000,26310000,39322000,587054000,62599000,102623000,50897000,15631000,216119000,803173000,210308000,21047000,189261000,160172000,160172000,370480000,41870000,41545000,41870000,412350000,188848000,201964000,11000,390823000,390823000,803173000,6113000,6903000,14410000,-21553000,5873000,-9899000,-63829000,674000,-73054000,7144000,7144000,-17191000,-10047000,-77228000,-77228000,-77228000,14876000,0,-13938000,0.05839,0.03786,0.01323,0.00644,-2.69594,1.58458,1.05508,0,0.14296,0.13688,3.77577,10.80726,-0.38542,0.01195,-0.03221,-31.41207,-58.60855
"14","2014_Q1",22.1309836065574,"Down",142320000,-141856000,-84188000,-57668000,464000,949000,949000,1413000,1413000,-377000,1036000,1036000,1036000,908000,539657000,423498000,46384000,46384000,80032000,27332000,37127000,666073000,60473000,88498000,60430000,26392000,209401000,875474000,254520000,34940000,219580000,180613000,180613000,435133000,38092000,34076000,38092000,473225000,199296000,2.03e+08,-47000,402249000,402249000,875474000,1036000,7193000,28341000,-7054999.99999999,29515000,-8830000,37032000,-2683000,25519000,6362000,6362000,32424000,38786000,93820000,93820000,93820000,7657000,0,-7851000,0.00325999999999999,0.00638,0.00226,0.00104,-8.64648,1.53073,1.17645,0,0.0246,0.02397,3.85587,10.8981,-0.21271,0.00206,-0.01783,-70.47891,-1163.05388
"15","2014_Q2",18.4519047619048,"Down",159269000,-135609000,-86567000,-49042000,23660000,961000,961000,24621000,24621000,-9316000,15305000,15305000,15305000,13023000,850660000,747649000,33148000,33148000,98072000,30134000,61002000,981880000,56761000,57201000,56837000,22858000,170799000,1152679000,552003000,25654000,526349000,141632000,141632000,693635000,32942000,28951000,32942000,726577000,207807000,218305000,-10000,426102000,426102000,1152679000,15305000,7664000,15125000,-38265000,-171000,-10512000,38308000,1019000,28815000,1626000,1626000,293948000,295574000,324218000,324218000,324218000,31324000,0,-8137000,0.14855,0.08177,0.03056,0.0113,-0.62482,1.41556,1.70517,0,0.34763,0.33591,4.25148,11.37425,-0.21721,0.02837,-0.01773,-27.15681,-35.95351
"16","2014_Q3",18.77609375,"Up",147016000,-125284000,-77784000,-47500000,21732000,1010000,1010000,22742000,22742000,-8399000,14343000,14343000,14343000,12659000,771677000,679519000,33488000,33488000,94179000,24366000,68196000,899344000,61339000,78311000,74827000,20468000,214477000,1113821000,479496000,19902000,459594000,146500000,146500000,625996000,35831000,31865000,35831000,661827000,219303000,232648000,43000,451994000,451994000,1113821000,14343000,7893000,14568000,-12124000,24680000,-3584000,-10324000,-1398000,-30166000,1722000,1722000,-64063999.9999999,-62342000,-67828000,-67828000,-67828000,29625000,-9.31322574615479e-10,22316000,0.14782,0.08611,0.02801,0.01137,1.76286,1.43666,1.46424,0,0.32134,0.31606,3.73194,11.47368,0.56648,0.02595,0.04575,-26.04817,-35.5087899999998
"17","2014_Q4",21.7534375,"Up",144659000,-131331000,-80315000,-51016000,13328000,7334000,965000,20662000,20662000,-6771000,13891000,13891000,13891000,12270000,768797000,632640000,33179000,33179000,93233000,28009000,60038000,895209000,62804000,77390000,80802000,26705000,220996000,1116205000,465135000,23275000,441860000,140733000,140733000,605868000,35065000,31130000,35065000,640933000,228755000,246539000,-22000,475272000,475272000,1116205000,13891000,8623000,18062000,-18262000,22314000,-9702000,-43464000,-132000,-53298000,3342000,3342000,-19241000,-15899000,-46883000,-46883000,-46883000,21951000,0,758000,0.09213,0.08482,0.02582,0.01099,0.06178,1.47756,1.34856,0,0.30764,0.30325,3.62699,11.91636,0.01901,0.02404,0.00149,-35.02332,-57.68285
"18","2015_Q1",17.0949180327869,"Down",150608000,-150339000,-95761000,-54578000,269000.000000004,612000.000000001,-148000,880999.999999993,880999.999999993,-1727000,-846000.000000004,-846000.000000004,-846000.000000004,-101000,770808000,724158000,48917000,48917000,189937000,22458000,151189000,1009662000,77284000,73781000,453561000,32062000,604626000,1614288000,601845000,36444000,565401000,228281000,228281000,830126000,33521000,31495000,155172000,985298000,383349000,245693000,-52000,628990000,628990000,1614288000,-846000.000000004,12804000,20938000,-10502000,22394000,-15540000,92724000,2223000,-132697000,3270000,3270000,48543000,201813000,91510000,91510000,91510000,13073000,121651000,-11242000,0.00179,-0.000670000000000004,-0.00016,-6.0000000000001e-05,111.30693,1.21628,1.56648,0.07536,-0.00214999999999999,-0.00211000000000006,3.21208,13.41473,-0.23976,-0.000130000000000002,-0.01434,-49.65631,-2413.22305
"19","2015_Q2",16.2293650793651,"Down",227165000,-161269000,-89315000,-71954000,65896000,-118000,-118000,65778000,65778000,-24965000,40813000,40813000,40813000,39648000,908726000,878244000,38154000,38154000,77551000,26326000,51225000,1024431000,79809000,89816000,529493000,32388000,699118000,1723549000,676885000,24793000,644273000,193481000,193481000,870366000,43901000,40369000,165776000,1036142000,400868000,286506000,33000,687407000,687407000,1723549000,40813000,14700000,15293000,13690000,84496000,-14144000,74000,-1694000,-80973000,269000,269000,155919000,150563000,154086000,154086000,154086000,80596000,121875000,105107000,0.29008,0.17453,0.05768,0.023,2.651,1.17701,1.50732,0.07071,0.77064,0.76337,4.41543,13.3612,2.04298,0.04647,0.12319,-9.7629,-11.9408
"20","2015_Q3",18.57609375,"Up",170247000,-163329000,-94748000,-68581000,6917999.99999999,-431000,-431000,6486999.99999999,6486999.99999999,-2991000,3496000.00000001,3496000.00000001,3496000.00000001,3398000,840616000,763870000,23193000,23193000,82143000,30142000,52001000,945952000,76705000,122433000,520430000,27490000,719568000,1665520000,639023000,19729000,608081000,167492000,167492000,806515000,44507000,40254000,160757000,967272000,408576000,290002000,-330000,698248000,698248000,1665520000,3496000.00000001,14987000,29184000,-13991000,33676000,-10898000,-79644000,540000,-90002000,1567000,1567000,-53989000,-58047000,-114373000,-114373000,-114373000,21905000,116250000,7000,0.04064,0.01996,0.00487,0.00204,0.0020599999999753,1.17289,1.38528,0.0698,0.06558,0.0650000000000001,3.28592,13.47683,0.000140000000000029,0.00396,9.99999999999612e-06,-33.06852,-104.70743
"21","2015_Q4",17.14625,"Down",146360000,-148066000,-87015000,-61051000,-1706000,-337000,-337000,-2043000,-2043000,2222000,179000,179000,179000,173000,687060000,606674000,21775000,21775000,89729000,36954000,52775000,798564000,78086000,133500000,511197000,24342000,722783000,1521347000,515756000,15563000,500022000,185216000,185216000,700972000,45478000,41226000,156103000,857075000,406106000,290181000,-15000,664272000,664272000,1521347000,179000,15498000,23823000,-43923000,-4423000,-12330000,-14689000,179000,-26840000,-39759000,241000,-80549000,-125933000,-157196000,-157196000,-157196000,13792000,110625000,-44683000,-0.01166,0.00118,0.00026,0.00011,-258.28324,1.13922,1.29025,0.07272,0.00335,0.0033,2.83775,12.87948,-0.86635,0.00021,-0.05447,-41.79488,337.88687
"22","2016_Q1",19.4149180327869,"Up",150928000,-162707000,-93923000,-68784000,-11779000,-321000,-321000,-12100000,-12100000,6027000,-6073000,-6073000,-6073000,-5906000,821234000,772128000,42153000,42153000,111904000,30511000,74959000,975291000,78877000,132433000,504847000,27204000,716157000,1691448000,689331000,37186000,652145000,198943000,198943000,888274000,39166000,37894000,139852000,1028126000,379429000,284108000,-215000,663322000,663322000,1691448000,-6073000,16529000,24502000,8234999.99999999,43193000,-10465000,31515000,1047000,22097000,769000,1755000,104540000,99684000,164974000,164974000,164974000,4750000,100686000,-3507000,-0.07804,-0.03913,-0.0089,-0.00349,0.593799999999931,1.09796,1.54997,0.05953,-0.11697,-0.11597,2.98909,13.13691,-0.0694599999999999,-0.00735,-0.00437,-151.69432,61.1722600000001
"23","2016_Q2",22.27171875,"Up",228024000,-173538000,-101938000,-71600000,54486000,-2480000,-2480000,52006000,52006000,-19124000,32882000,32882000,32882000,31910000,795843000,739751000,27652000,27652000,152081000,37012000,115069000,975576000,79128000,138368000,491638000,19772000,709134000,1684710000,670969000,21823000,636934000,189640000,189640000,860609000,32738000,31233000,128183000,988792000,378773000,316986000,158000,695917000,695917000,1684709000,32882000,17178000,23507000,-2270000,71297000,-12182000,-12526000,-576000,-25284000,-6129000,2884000,-66636000,-78390000,-32377000,-32377000,-32377000,71664000,95445000,76336000,0.23895,0.13994,0.04585,0.01894,2.39223,1.13359,1.42085,0.05665,0.63995,0.62732,4.57301,13.95658,1.53091,0.03872,0.09263,-9.77336,-12.85464
"24","2016_Q3",23.42234375,"Up",173488000,-160619000,-92983000,-67636000,12869000,125000,125000,12994000,12994000,-4968000,8026000.00000001,8026000.00000001,8026000.00000001,7772000.00000001,619033000,570119000,28449000,28449000,160901000,30800000,130101000,808383000,80076000,158436000,481792000,15679000,720304000,1528687000,578716000,15720000,558046000,173277000,173277000,751993000,22371000,20737000,112574000,864567000,338648000,325013000,459000,664120000,664120000,1528687000,8026000.00000001,15968000,25334000,-28946000,20382000,-11798000,-12850000,-2167000,-26815000,-45770000,4230000,-111805000,-163200000,-169633000,-169633000,-169633000,28837000,90203000,-6939000,0.07418,0.0448,0.0117,0.00508,-0.892820000000005,1.07499,1.30182,0.05901,0.16034,0.15601,3.57921,13.70139,-0.14316,0.01001,-0.00893000000000001,-18.33859,-41.0933299999999
"25","2016_Q4",23.397619047619,"Down",154494000,-155011000,-91408000,-63603000,-517000,207000,207000,-310000,-310000,2347000,2037000,2037000,2037000,2161000,636884000,597532000,24879000,24879000,161810000,27800000,125055000,823573000,81615000,180624000,483532000,23265000,745771000,1569344000,608432000,15457000,592975000,175664000,175664000,784096000,25830000,24744000,110791000,894887000,347002000,327053000,403000,674458000,674458000,1569345000,2037000,14920000,27193000,-33795000,10355000,-9286000,-13718000,-31019000,-54023000,2296000,2296000,74410000,71081000,27413000,27413000,27413000,14403000,84961000,-31025000,-0.00335,0.01399,0.0032,0.00138,-14.35678,1.05035,1.32682,0.05414,0.04371,0.04262,3.12494,13.64223,-0.62754,0.00275,-0.03951,-38.32,1067.54932
"26","2017_Q1",28.3267741935484,"Up",162768000,-166290000,-102117000,-64173000,-3522000,393000,393000,-3129000,-3129000,1784000,-1345000,-1345000,-1345000,-1045000,779362000,732676000,40150000,40150000,193924000,32186000,149168000,1013436000,82621000,161740000,482547000,26848000,726908000,1740344000,760270000,22856000,737414000,200528000,200528000,960798000,16093000,12330000,95813000,1056611000,358206000,325708000,-181000,683733000,683733000,1740344000,-1345000,14415000,28931000,-29520000,12481000,-10007000,10148000,27690000,27831000,5506999.99999999,5507000,94950000,94832000,135144000,135144000,135144000,10893000,79720000,-30418000,-0.02164,-0.00642,-0.00153,-6e-04,29.10813,1.05479,1.54536,0.04581,-0.02075,-0.02018,3.23164,13.57502,-0.60393,-0.00134,-0.03902,-64.22859,198.64906
"27","2017_Q2",36.1161904761905,"Up",253001000,-191625000,-109465000,-82160000,61376000,1189000,1189000,62565000,62565000,-21811000,40754000,40754000,40754000,40754000,810443000,785838000,21319000,21319000,168675000,32266000,136409000,1000437000,88428000,159204000,632024000,26576000,879656000,1880093000,863160000,27719000,826361000,222473000,222473000,1085633000,36108000,32326000,110433000,1196066000,319518000,364677000,-168000,684027000,684027000,1880093000,40754000,15306000,25652000,13147000,94859000,-11844000,24346000,-1199000,-127953000,-44845000,5155000,94698000,94228000,61134000,61134000,61134000,76682000,74325000,99796000,0.24259,0.16108,0.05958,0.02168,2.44874,0.92152,1.74857,0.03953,0.80768,0.77631,5.01409,13.55636,1.9778,0.0513,0.12561,-9.59962,-11.99358
"28","2017_Q3",44.3506349206349,"Up",222548000,-202357000,-106737000,-95620000,20191000,790000,790000,20981000,20981000,-1715000,19266000,19266000,19266000,19266000,625595000,594538000,15843000,15843000,213497000,32725000,180772000,854935000,88026000,172639000,629251000,25858000,889916000,1744851000,743798000,27462000,704324000,179429000,179429000,923227000,34287000,30508000,103385000,1026612000,334484000,383943000,-188000,718239000,718239000,1744851000,19266000,16578000,23176000,-10174000,48846000,-9080000,-20266000,-1564000,-33147000,10839000,10839000,-132910000,-177696000,-161997000,-161997000,-161997000,36769000,69098000,19230000,0.09073,0.08657,0.02682,0.01104,0.998130000000002,0.92603,1.42935,0.0396,0.38522,0.36731,4.4498,14.36105,0.3845,0.02345,0.0234,-15.13495,-27.56164
"29","2017_Q4",58.6520634920635,"Up",201613000,-188561000,-107263000,-81298000,13052000,1238000,1238000,14290000,14290000,-651000,13639000,13639000,13639000,13639000,730598000,708265000,21456000,21456000,262351000,36111000,226240000,1014405000,91623000,156513000,632759000,37547000,880895000,1895300000,863573000,26688000,834684000,195102000,195102000,1058675000,32678000,28995000,96609000,1155284000,342821000,397582000,-387000,740016000,740016000,1895300000,13639000,16324000,32975000,-43295000,19643000,-11449000,24113000,-10969000,1695000,2189000,2189000,108839000,105403000,126741000,126741000,126741000,29376000,63931000,-24717000,0.06474,0.06765,0.01843,0.0072,-1.81223,0.95818,1.56116,0.03373,0.26998,0.25771,3.99084,14.64827,-0.48926,0.0163,-0.02954,-22.69427,-51.07777
"30","2018_Q1",63.0337704918033,"Up",212989000,-209284000,-112697000,-96587000,3705000,1917000,1917000,5622000,5622000,6606000,12228000,12228000,12228000,12228000,931132000,919243000,35277000,35277000,354796000,47086000,300251000,1321205000,97282000,141620000,637424000,48540000,876326000,2197531000,1057117000,34863000,1022180000,278859000,278859000,1335976000,38300000,30520000,97005000,1432981000,354840000,410440000,-730000,764550000,764550000,2197531000,12228000,16372000,33609000,-7247000,54962000,-11769000,24790000,-77541000,-64525000,4009000,5978000,171868000,170252000,160689000,160689000,160689000,20077000,58705000,-5545000,0.0174,0.05741,0.01599,0.00556,-0.45347,0.98894,1.87428,0.02671,0.24006,0.22265,4.18134,15.00942,-0.10886,0.01419,-0.00644,-43.45405,-235.47287
"31","2018_Q2",68.95453125,"Up",314998000,-238618000,-135686000,-102932000,76380000,4084000,4084000,80464000,80464000,-10433000,70031000,70031000,70031000,70031000,1284012000,1268137000,29337000,29337000,319347000,53219000,266128000,1632696000,100358000,132673000,623258000,42478000,856289000,2488985000,1328488000,32398000,1293272000,232330000,232330000,1560818000,39398000,31612000,92876000,1653694000,356104000,480471000,-1284000,835291000,835291000,2488985000,70031000,17158000,28463000,-26783000,88869000,-13386000,4026000,-1143000,-10503000,7802000,7802000,264107000,266284000,344650000,344650000,344650000,93538000,53478000,63802000,0.24248,0.22232,0.08384,0.02814,0.91105,1.04605,1.97978,0.02149,1.36144,1.29127,6.12372,16.23848,1.24034,0.07545,0.06874,-13.15544,-16.11068
"32","2018_Q3",83.1355555555556,"Up",258349000,-231168000,-130327000,-100841000,27181000,4163000,4163000,31344000,31344000,-1517000,29827000,29827000,29827000,29827000,1132937000,1117937000,24840000,24840000,250965000,42057000,208908000,1408742000,104716000,176030000,611491000,38906000,892237000,2300979000,1107809000,39693000,1068067000,239314000,239314000,1347123000,28891000,21100000,77143000,1424266000,367506000,510298000,-1091000,876713000,876713000,2300979000,29827000,17469000,35632000,-4107000.00000001,78821000,-13990000,-42741000,-3148999.99999999,-59880000,8638000,8638000,-258005000,-254992000,-236051000,-236051000,-236051000,44650000,48252000,28070000,0.10521,0.11545,0.03402,0.01296,0.94109,1.04574,1.62455,0.02097,0.57244,0.54839,4.95824,16.82589,0.53872,0.03127,0.02943,-24.29306,-39.906
