"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",2.64171875,"Down",172940000,-149562000,23378000,-14760000,-14760000,8618000,-10939000,-12147000,1206000,2000,-2321000,-293000,-2614000,1248000,-1366000,-1366000,24000,-1342000,-1342000,431000,431000,134939000,134939000,29005000,20213000,164375000,217443000,345316000,197090000,52236000,562759000,727134000,112808000,112808000,8364000,4033000,2538000,125205000,575649000,24666000,24666000,600315000,725520000,1614000,727134000,-1366000,14760000,9949000,-8122000,15221000,-12656000,270000,270000,-12926000,-12926000,-1709000,-14365000,-1197000,-728000,128000,128000,-59000,69000,23378000,584013000,1352000,0.13518,0.04983,-0.00776,-0.83147,-0.00185,-1.00745,1.31285,449.51673,0.80317,-0.03414,-0.03414,4.39894,0.03439,-0.0022,0.00222,24.96287,67.71664
"12","2013_Q3",2.68953125,"Up",176520000,-148698000,27822000,-14528000,-14528000,13294000,-9835000,-11343000,1658000,-150000,3459000,1799000,5258000,-2497000,2761000,2761000,-75000,2686000.00000001,2686000.00000001,251000,251000,139373000,139373000,22646000,16758000,162270000,219679000,344784000,196090000,51462000,564463000,726733000,108417000,108417000,8084000,3938000,2708000,120439000,575662000,25692000,25692000,601354000,721793000,4940000,726733000,2761000,14528000,8706000,-12439000,13556000,-15188000,235000,235000,-15423000,-15423000,2841000,-12347000,-892000,-1331000,-122000,-122000,-58000,-180000,27822000,583746000,2692000,0.15761,0.07531,0.01522,0.54372,0.00370000000000005,1.00223,1.34732,146.11194,0.80325,0.0684900000000002,0.0674400000000002,4.50111,0.0686400000000001,0.00436999999999996,0.00437999999999994,20.97243,43.89161
"13","2013_Q4",2.1303125,"Down",175188000,-151770000,23418000,-14762000,-14762000,8656000,-9439000,-11052000,1617000,-4000,-783000,-67000,-850000,483000,-367000,-367000,-1e+05,-467000,-467000,268000,268000,134265000,134265000,23691000,17803000,158224000,217383000,339525000,196090000,50808000,556908000,715132000,99765000,99765000,7502000,4169000,2896000,111436000,577005000,26329000,26329000,603334000,714770000,362000,715132000,-367000,14762000,9812000,-10474000,13733000,-10937000,5000,5000,-10942000,-10942000,-2923000,-13860000,135000,131000,4000,4000,13000,17000,23418000,584507000,1524000,0.13367,0.04941,-0.00267,-1.29006,-0.00065,-3.26338,1.41986,1974.50276,0.81734,-0.0119,-0.0119,4.46498,0.03884,-0.00076,0.00249,24.94829,67.49526
"14","2014_Q1",2.11098360655738,"Down",178338000,-148625000,29713000,-14840000,-14840000,14873000,-9612000,-11249000,1713000,-76000,5261000,-1169000,4092000,-2744000,1348000,1348000,-105000,1243000,1243000,288000,288000,8603000.00000001,8603000.00000001,3455000,667000,12346000,17794000,10512000,9922999.99999997,589000,28306000,40652000,1942000,1942000,835000,207000,207000,2984000,1257000,1399000,1399000,2656000,5639999.99999988,35012000,40652000,1348000,14840000,6517000,1207000,23912000,-9207000,125000,125000,-9332000,-9332000,-881000,-10088000,-5688000,-5695000,8129000,8129000,15000,8144000,29713000,2092000,24457000,0.16661,0.0834,0.00696999999999999,0.0354999999999996,0.03058,19.67578,4.1374,0.161090000000513,0.0514600000000001,0.03204,0.03041,4.59694,0.63042,0.03228,0.6352,0.0607099999999967,0.121290000000002
"15","2014_Q2",5.74857142857143,"Up",168876000,-145030000,23846000,-15571000,-15571000,8275000,-10707000,-11772000,1067000,-2000,-2432000,-14421000,-16853000,4478000,-12375000,-12375000,-49000,-12424000,-12424000,291000,291000,140629000,140629000,41946000,25255000,182866000,226209000,328169000,196705000,49334000,554378000,737244000,90459000,90459000,26203000,4816000,3268000,121478000,598636000,26448000,26448000,625084000,746562000,-9318000,737244000,-12375000,15571000,26595000,-34651000,-4860000,-17043000,4000,4000,-17047000,-17047000,-1149000,-18192000,21703000,14949000,-8103000,-8103000,-18000,-8121000,23846000,624839000,-32326000,0.1412,0.049,-0.07357,1.33333,-0.01685,2.6019,1.50534,-80.12041,0.84753,-0.31052,-0.31052,4.22084,-0.80795,-0.01935,-0.05035,26.19089,75.47408
"16","2014_Q3",6.46515625,"Up",179082000,-147808000,31274000,-15199000,-15199000,16075000,-8686000,-10336000,1646000,3999.99999999999,7389000,-9e+05,6489000,-1233000,5256000,5256000,-112000,5144000,5144000,831000,831000,147017000,147017000,40468000,23776000,188316000,225451000,324679000,197086000,48575000,550130000,738446000,98736000,98736000,24952000,3926000,3595000,127614000,587567000,26023000,26023000,613590000,741204000,-2757999.99999999,738446000,5256000,15199000,11157000,-7073999.99999999,24538000,-9751000,0,0,-9751000,-9751000,-1562000,-11313000,-17698000,-12684000,541000,541000,-1000,539999.999999996,31274000,612519000,15682000,0.17464,0.08976,0.02872,-1.86512,0.00697,3.0486,1.47567,-268.74692,0.82947,0.12603,0.1189,4.38744,0.3842,0.00809000000000001,0.0246700000000001,19.55899,38.05213
"17","2014_Q4",8.43609375,"Up",184059000,-1.53e+08,31059000,-14423000,-14423000,16636000,-8392000,-10395000,2009000,-6000,8244000,-1401000,6843000,-2334000,4509000,4509000,-58000,4451000,4451000,274000,274000,155011000,155011000,41964000,25272000,197249000,225597000,325673000,200304000,48392000,551270000,748519000,100931000,100931000,25266000,5324000,4204000,131521000,588593000,25787000,25787000,614380000,745901000,2618000,748519000,4509000,14423000,10850000,-15417000,14365000,-6335000,762000,762000,-7097000,-7097000,-8074000,-14409000,3018000,-494000,-538000,-538000,-19000,-557000,31059000,613859000,11641000,0.16874,0.09038,0.02418,1.70015,0.00595,2.61537,1.49975,284.91253,0.8201,0.10688,0.10108,4.41971,0.27953,0.00693,0.01812,19.75547,36.88296
"18","2015_Q1",8.36868852459016,"Down",185552000,-156814000,28738000,-14065000,-14065000,14673000,-7975000,-10224000,2248000,1000,6698000,475000,7173000,-2878000,4295000,4295000,-90000,4205000,4205000,3000,3000,7439000,7439000,5636000,128999.999999996,13078000,13845000,10393000,9923000,470000.000000007,24238000,37316000,1483000,1483000,692000,231000,231000,2405999.99999999,565000,1169000,1169000,1734000,4140000,33176000,37316000,4295000,14065000,6865000,1736000,26961000,-7523000,322000,322000,-7845000,-7845000,-2205000,-9728000,-16980000,-17176000,57000.0000000005,57000.0000000005,-24000,33000,28738000,1257000,25829000,0.15488,0.07908,0.02266,0.12675,0.11269,6.14245,5.43558,0.124789999999962,0.0336899999999999,0.10058,0.09285,4.43816,0.6178,0.11811,0.72549,0.0436399999999963,0.0854599999999976
"19","2015_Q2",7.66571428571429,"Down",181267000,-168921000,12346000,-14294000,-14294000,-1948000,-8891000,-9996000,1102000,3000,-10839000,3272000,-7567000,3091000,-4476000,-4476000,-78000,-4554000,-4554000,154000,154000,153258000,153258000,40908000,21884000,194320000,222171000,325914000,200304000,46856000,548085000,742405000,102275000,102275000,25128000,5258000,3954000,132661000,575385000,27820000,27820000,603205000,735866000,6539000,742405000,-4476000,14294000,15143000,-7492000,17469000,-19621000,205000,205000,-19826000,-19826000,-38203805.5007141,-19621000,2180000,2036000,-116000,-116000,-37000,-153000,12346000,600513000,-17858000,0.06811,-0.01075,-0.02512,-0.69644,-0.00613,3.92139,1.46479,112.53494,0.80888,-0.10653,-0.10653,4.24046,-0.41776,-0.00717,-0.02813,48.62781,-308.19251
"20","2015_Q3",6.44875,"Down",204289000,-175796000,28493000,-14941000,-14941000,13552000,-7629000,-10423000,3207000,-413000,5923000,-168000,5755000,-2192000,3563000,3563000,-168000,3395000,3395000,5319000,5319000,155964000,155964000,82106000,28528000,243389000,225867000,319247000,196672000,4.6e+07,545114000,788503000,94078000,94078000,29922000,4335000,3606000,128335000,616728000,31256000,31256000,647984000,776319000,12184000,788503000,3563000,14941000,10843000,-18860000,10487000,-11823000,-5.82076609134674e-11,-5.82076609134674e-11,-11823000,-11823000,-34672000,-46495000,41583000,41177000,5169000,5169000,-4000,5165000,28493000,646650000,2000.00000000745,0.13947,0.06634,0.01662,0.27864,0.00431,0.000589999999999868,1.89651,63.71627,0.8201,0.07828,0.07597,4.71038,4.99999999999945e-05,0.00492,-1.04083408558608e-17,22.50837,47.32372
"21","2015_Q4",6.18890625,"Down",208366000,-175631000,32735000,-14601000,-14601000,18134000,-8562000,-10546000,1992000,-8000,9572000,3918000,13490000,-5199000,8291000,8291000,-304000,7987000,7987000,36054000,36054000,159205000,159205000,61044000,41194000,256303000,232477000,320095000,201450000,45225000,552572000,808875000,95058000,95058000,32152000,9286000,3622000,136496000,614166000,31876000,31876000,646042000,782538000,26337000,808875000,8291000,14601000,5691000,-16474000,12109000,-6644000,443000,443000,-7087000,-7087000,29113000,22469000,-8855000,-3850000,30728000,30728000,7000,30735000,32735000,646318000,14816000,0.1571,0.08703,0.03833,0.30326,0.00987,1.85501,1.87773,29.7125,0.79903,0.18303,0.17847,4.77498,0.33953,0.01134,0.02103,18.64255,33.65303
"22","2016_Q1",5.56524590163934,"Down",215706000,-187941000,27765000,-16775000,-16775000,10990000,-8094000,-10719000,2626000,-1000,2896000,71000.0000000009,2967000,-1707000,1260000,1260000,-379000,881000.000000001,881000.000000001,25016451.223689,25016451.223689,5671000,5671000,5798000.00000001,538000,11469000,13751999.9999999,10273000,9922999.99999997,349999.999999993,24025000.0000001,35494000,836999.999999985,836999.999999985,208000.000000004,273999.999999998,274000,1319000,357000,1028000,1028000,1384999.99999988,2704000.00000012,32790000,35494000,1260000,16775000,11608000,-2671000,26972000,-3594000,634000,634000,-4228000,-4228000,-49555000,-53149000,-9839000,-9424000,-35601000,-35601000,-7000,-35608000,27765000,564999.999999881,23207000,0.12872,0.05095,0.00408,0.02687,0.02482,26.34166,8.69522,0.0824600000000011,0.0159199999999999,0.01938,0.01816,4.74401,0.51039,0.02562,0.67496,29.0492727709136,118.597142958292
"23","2016_Q2",5.16953125,"Down",216388000,-196826000,19562000,-16412000,-16412000,3150000,-8404000,-10681000,2279000,-2000,-5254000,2641000,-2613000,1506000,-1107000,-1107000,-290000,-1397000,-1397000,410000,410000,177830000,177830000,59701000,33698000,237941000,254949000,352820000,240702000,44695000,607769000,845710000,114361000,114361000,31242000,8903000,4121000,154506000,616646000,37026000,37026000,653672000,808178000,37532000,845710000,-1107000,16412000,14164000,-8506000,20963000,-22500000,435513.99451112,435513.99451112,-22500000,-22500000,-5301000,-27801000,6956000,6798000,-40000,-40000,4000,-36000,19562000,647888000,-12950000,0.0904,0.01456,-0.00646,-0.03722,-0.00165,9.26986,1.54001,21.53304,0.76609,-0.02999,-0.02999,4.64536,-0.27801,-0.00193,-0.01793,33.09876,205.54857
"24","2016_Q3",6.3696875,"Up",218565000,-194062000,24503000,-15811000,-15811000,8692000,-7475000,-10745000,3274000,-4000,1217000,4418000,5635000,-2256000,3379000,3379000,243000,3622000,3622000,433000,433000,165086000,165086000,57062000,30510000,222581000,250426000,355334000,240520000,44032000,605760000,828341000,108076000,108076000,29322000,12694000,4149000,150092000,607687000,33596000,33596000,641283000,791375000,36966000,828341000,3379000,15811000,6919000,4352000,30461000,-17704000,63000,63000,-17767000,-17767000,-1042000,-18746000,-11823000,-11672000,43000,43000,-20000,23000.0000000075,24503000,637009000,13407000,0.11211,0.03977,0.01657,0.09798,0.00437,3.70155,1.48296,21.40819,0.76902,0.07777,0.07651,4.69308,0.28788,0.00512,0.01895,25.97951,73.237
"25","2016_Q4",6.74809523809524,"Up",224643000,-192752000,31891000,-17318000,-17318000,14573000,-9002000,-11404000,2576000,-174000,5571000,-2122000,3449000,-1461000,1988000,1988000,-344000,1644000,1644000,358000,358000,183229000,183229000,54094000,28566000,237681000,249397000,356321000,240640000,43330000,605718000,843399000,114716000,114716000,28094000,9762000,4519000,152572000,620301000,30181000,30181000,650482000,803054000,40345000,843399000,1988000,17318000,12105000,-28105000,3306000,-11906000,-63000,-63000,-11843000,-11843000,-577000,-12483000,10729000,9099000,-78000,-78000,3000,-75000,31891000,648395000,-6659000,0.14196,0.06487,0.00732,0.04075,0.00195,-4.05049,1.55783,19.90467,0.76879,0.03584,0.03548,4.89749,-0.14517,0.00229,-0.00926,20.32037,44.46833
"26","2017_Q1",5.94274193548387,"Down",224939000,-192161000,32778000,-17069000,-17069000,15709000,-9003000,-10625000,1638000,-16000,6706000,-740999.999999999,5965000,-2221000,3744000,3744000,-383000,3361000,3361000,20638000,20638000,164210000,164210000,33066000,28435000,217914000,247725000,383837000,239553000,42682000,631562000,849476000,111166000,111166000,26557000,17618000,4477000,155341000,612175000,29907000,29907000,642082000,797423000,52053000,849476000,3744000,17069000,11964000,4134000.00000001,36911000,-6660000,481000,481000,-7141000,-7141000,2e+05,-6460000,-10324000,-10135000,20316000,20316000,-36000,20280000,32778000,638732000,32473000,0.14572,0.06984,0.01494,0.06457,0.00396,9.66171,1.40281,15.31944,0.75191,0.07314,0.07249,4.89482,0.70663,0.00466,0.04506,18.85698,39.34649
"27","2017_Q2",6.80873015873016,"Up",229013000,-205454000,23559000,-16654000,-16654000,6905000,-8065000,-10240000,1928000,247000,-1160000,-158000,-1318000,458000,-860000,-860000,-350000,-1210000,-1210000,8294000,8294000,169538000,169538000,30608000,23635000,208440000,257458000,388084000,239954000,42132000,645542000,853982000,113729000,113729000,27842000,17357000,4571000,158928000,608010000,33936000,33936000,641946000,800874000,53108000,853982000,-860000,16654000,16086000,-984000,30896000,-30312000,59000,59000,-30371000,-30371000,-3154000,-33966000,-8221000,-9276000,-12346000,-12346000,2000,-12344000,23559000,635852000,-8195000,0.10287,0.03015,-0.00528,-0.02278,-0.00142,6.77273,1.31154,15.0801,0.74457,-0.02599,-0.02599,4.91866,-0.17601,-0.00167,-0.01134,26.63772,90.88458
"28","2017_Q3",9.14650793650794,"Up",230014000,-198611000,31403000,-16612000,-16612000,14791000,-7316000,-10303000,2994000,-7000,7475000,1671000,9146000,-3523000,5623000,5623000,-313000,5310000,5310000,12707000,12707000,170155000,170155000,24789000,21702000,207651000,253179000,390990000,244464000,41506000,644169000,851820000,107452000,107452000,27317000,17031000,4952000,151800000,601652000,34719000,34719000,636371000,788171000,63649000,851820000,5623000,16612000,10542000,-13514000,19263000,-12272000,4000,4000,-12276000,-12276000,270000.000000001,-12002000,-7673000,-2868000,4393000,4393000,20000,4413000,31403000,628969000,9140000,0.13653,0.0643,0.02309,0.08343,0.00623,1.72128,1.36792,12.38309,0.73838,0.11355,0.11161,4.91853,0.19545,0.0073,0.01257,19.6243,41.66466
"29","2017_Q4",10.421746031746,"Up",227607000,-198109000,29498000,-17053000,-17053000,12445000,-6723000,-10169000,3450000,-4000,5722000,-761000,4961000,-1112000,3849000,3849000,-623000,3226000,3226000,8468000,8468000,168593000,168593000,24495000,23181000,201556000,245919000,400444000,253140000,40920000,646363000,847919000,105100000,105100000,34852000,16795000,4686000,156747000,583094000,34120000,34120000,617214000,773961000,73958000,847919000,3849000,17053000,14052000,-9529000,25425000,-9652000,508000,508000,-10160000,-10160000,-10198000,-19850000,-7799000,-9830000,-4255000,-4255000,16000,-4239000,29498000,617946000,11429000,0.1296,0.05468,0.01417,0.04362,0.0038,3.54278,1.28587,10.46487,0.72878,0.0687,0.0678,4.84715,0.24339,0.00444,0.01574,20.66167,48.97372
"30","2018_Q1",10.8909836065574,"Up",235552000,-200203000,35349000,-16477000,-16477000,18872000,-4957000,-9911000,5182000,-228000,13915000,-319000,13596000,-20133000,-6537000,-6537000,-736000,-7273000,-7273000,51322000,51322000,155518000,155518000,28511000,26168000,235351000,244301000,389327000,256776000,40422000,633628000,868979000,135809000,135809000,34090000,21707000,5320000,191606000,575037000,32411000,32411000,607448000,799054000,69925000,868979000,-6537000,16477000,10324000,46377000,66641000,-8248000,281000,281000,-8529000,-8529000,-5254000,-13502000,-14871000,-10273000,42866000,42866000,-12000,42854000,35349000,609127000,93611000,0.15007,0.08012,-0.03088,-0.10401,-0.00837,-12.87103,1.22831,11.4273,0.70097,-0.15395,-0.15187,4.98614,1.98155,-0.01022,0.13158,15.77994,29.55728
