"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"18","2019_Q2",17.3669841269841,"Up",37098000,-51472000,-32683000,-18789000,-16599000,-3405000,811000,-20004000,-20004000,-20004000,-20004000,-20004000,-20004000,96433000,81515000,13937000,13937000,159158000,6129000,20828000,2620000,17265000,26957000,186115000,39267000,11173000,28094000,41407000,32485000,32485000,183223000,224630000,966738000,-1004835000,-418000,-38515000,-38515000,186115000,-20004000,691000,-42102000,4432000,-56983000,-335000,-15199000,8601000,8601000,18742561.5998464,81477000,9295000,9295000,9159000,-15908000,150738000,0.51938,-0.10748,3.84375,-5.83227,0.80992,-0.28932,-0.28932,0.53656,-0.55705,-0.13824,-3.41369,-3.27158
"19","2019_Q3",19.98,"Up",83433000,-55339000,-36456000,-18883000,27493000,-3875000,558000,23618000,23618000,23567000,23567000,23567000,23567000,111918000,105927000,11994000,11994000,205630000,5646000,29180000,2620000,25617000,34826000,240456000,59028000,19223000,39805000,61226000,32013000,32013000,183215000,244441000,977794000,-981268000,-511000,-3985000,-3985000,240456000,23567000,674000,-32271000,20707000,12677000,-182000,8818000,2825000,2825000,15330054.8023557,3010000,24505000,24505000,24412000,28167000,151202000,-5.91393,0.09801,3.35854,-61.34028,0.62881,0.33919,0.31247,1.20081,-0.05735,0.13149,1.39468,1.42887
"20","2019_Q4",18.44234375,"Down",111684000,-53396000,-31828000,-21568000,51841000,-3951000,518000,47890000,47890000,47043000,47043000,47043000,47043000,170493000,165116000,8568000,8568000,276375000,5857000,45151000,2620000,41588000,51008000,327383000,80656000,13709000,66947000,82701000,36961000,36961000,188659000,271360000,990700000,-934225000,-452000,56023000,56023000,327383000,47043000,839000,-14282000,21351000,54951000,-918000,-288999.999999996,3789000,3789000,4414270.60368713,3682999.99999999,58345000,58345000,58404000,52680000,151698000,0.839710000000001,0.14369,3.34186,4.84372,0.46337,0.67316,0.63526,1.59814,0.80166,0.19226,-0.356780000000001,-0.36255
"21","2020_Q1",18.4756451612903,"Up",123856000,-71018000,-36070000,-34948000,45033000,-3762000,-16880000,41271000,41271000,39227000,39227000,39227000,39227000,177668000,177668000,13542000,8578000,343009000,5840000,60078000,2620000,56515000,65918000,408927000,112773000,25985000,86788000,114969000,36539000,36539000,188744000,303713000,1000770000,-894998000,-558000,105214000,105214000,408927000,39227000,1055000,138241000,-160813000,17710000,-387000,-6062000,2015000,-1504000,-815000,1200000,12848000,12848000,12742000,46088000,152205000,0.37283,0.09593,2.98349,2.88662,0.37221,0.55868,0.52918,1.76397,1.49847,0.13344,-0.55249,-0.56543
"22","2020_Q2",16.9263492063492,"Down",116180000,-68457000,-35350000,-33107000,40868000,-4363000,68000,36505000,36505000,35572000,35572000,35572000,35572000,193252000,193252000,18045000,18045000,395183000,6832000,64524000,2620000,60961000,71356000,466539000,116562000,20485000,96077000,119011000,37529000,37529000,190253000,309264000,1016651000,-859426000,50000,157275000,157275000,466539000,35572000,607000,11328000,-34030000,13477000,-1616000,-1616000,4803000,4803000,-880000,3922999.99999999,15784000,15784000,15784000,41475000,152724000,0.22618,0.07625,3.32056,1.96639,0.32736,0.50341,0.47801,1.64416,2.22573,0.10236,-0.97717,-0.99168
"23","2020_Q3",18.6034375,"Up",135674000,-60225000,-34052000,-26173000,65310000,-4985000,423000,60325000,60325000,59031000,59031000,59031000,59031000,456499000,224617000,19683000,14155000,675860000,10320000,70431000,2620000,66868000,80751000,756611000,126137000,21179000,104958000,129763000,37805000,37805000,413471000,543234000,1014029000,-800395000,-257000,213377000,213377000,756611000,59031000,748000,15539000,-15127000,60191000,-2384000,-239248000,5859000,3302000,-18267000,210422000,31365000,31365000,31365000,66058000,375666000,0.27665,0.07802,5.20842,2.54589,0.49651,0.83026,0.63383,1.90822,3.00109,0.09417,-1.22367,-1.23768
"24","2020_Q4",17.8040625,"Down",113551000,-70835000,-31984000,-38851000,33716000,-5599000,57000,28117000,28117000,27933000,27933000,27933000,27933000,503431000,292465000,27535000,21928000,726920000,10647000,66166000,2620000,62603000,76813000,803733000,128809000,11990000,116819000,133432000,38048000,38048000,414570000,548002000,1028448000,-772462000,-255000,255731000,255731000,803733000,27933000,693000,13298000,5429000,47353000,-2112000,16407000,4909000,7466000,-147000,4088000.00000006,67848000,67848000,67848000,34409000,376522000,0.10923,0.03475,5.44787,2.14288,0.46847,0.38983,0.35547,1.58469,3.56892,0.04167,-3.68825,-3.76406
"25","2021_Q1",16.9780327868852,"Down",110419000,-82321000,-37693000,-44628000,16425000,-5665000,-21160000,10760000,10760000,9708000,9708000,9708000,9708000,541158000,541158000,25042000,19429000,767479000,10108000,64062000,2620000,60499000,74170000,841649000,145653000,15201000,130452000,145653000,10999000,10999000,415022000,560675000,1043998000,-762754000,-270000,280974000,280974000,841649000,9708000,840000,13499000,9077000,33124000,-944000,210056000,5658000,1857000,-145000.000000002,5513000,248693000,248693000,248693000,17265000,404023000,0.03455,0.01153,5.26923,1.99547,0.48004,0.1344,0.11052,1.52872,3.89,0.01395,-7.94295,-8.34916
"26","2021_Q2",14.1619047619048,"Down",83034000,-242883000,-39391000,-203492000,-167360000,-5587000,-5587000,-172947000,-172947000,-172947000,-172947000,-172947000,-172947000,399503000,259489000,25735000,15385000,617261000,9670000,66372000,2620000,62809000,76042000,693303000,150614000,15482000,135132000,257601000,9994000,9994000,308031000,565632000,1063679000,-935701000,-307000,127671000,127671000,693303000,-172947000,849000,167073000,6392000,1367000,-145000,-285475000,4329000,4329000,-1890000,2439000.00000001,-281669000,-281669000,-281669000,-166511000,405024000,-1.35463,-0.24945,2.39619,4.43039,0.58419,-2.37457,-2.37457,1.14006,1.75293,-0.31869,-0.0331599999999996,-0.0329899999999999
"27","2021_Q3",14.6578125,"Up",87643000,-95111000,-40345000,-54766000,-24164000,-5736000,-5736000,-29900000,-29900000,-29900000,-29900000,-29900000,-29900000,454421000,329738000,24099000,15159000,660013000,9130000,70399000,2620000,66836000,79529000,739542000,168041000,14568000,153473000,287052000,9195000,9195000,296270000,583322000,1122088000,-965601000,-267000,156220000,156220000,739542000,-29900000,877000,4576000,24259000,-188000,-415000,23585000,47005000,47005000,-153000,46852000,70249000,70249000,70249000,-23287000,406086000,-0.1914,-0.04043,2.29928,3.73398,0.5491,-0.41053,-0.41053,1.20334,2.14491,-0.05232,2.07562,2.00029
"28","2021_Q4",17.4878125,"Up",82503000,-94010000,-39925000,-54085000,-32787000,-5741000,30000,-38528000,-38528000,-38528000,-38528000,-38528000,-38528000,468707000,360540000,30403000,20378000,673039000,8505000,60182000,2620000,56619000,68687000,741726000,195070000,45707000,149363000,320348000,8723000,8723000,290618000,610966000,1135162000,-1004129000,-273000,130760000,130760000,741726000,-38528000,892000,19029000,32318000,13711000,-261000,15989999.9999999,1280000,1280000,-179000,1100999.99999999,30802000.0000001,30802000.0000001,30802000,-31895000,407173000,-0.29465,-0.05194,2.10096,4.67242,0.54895,-0.48761,-0.48761,1.04417,1.65491,-0.07048,1.92927,1.87678
"29","2022_Q1",12.7166129032258,"Down",73371000,-100814000,-50052000,-50762000,-39547000,-6178000,-11949000,-45725000,-45725000,-45725000,-45725000,-45725000,-45725000,417195000,417195000,24464000,13666000,602323000,7813000,69198000,3563000,65635000,77011000,679334000,165327000,16159000,149168000,165327000,8001000,8001000,416281000,581608000,1147850000,-1049854000,-270000,97726000,97726000,679334000,-45725000,836000,13176000,-20609000,-52322000,-468000,107490000,1690000,-1312000,-203000,1487000,56655000,56655000,56655000,-38711000,408280000,-0.46789,-0.06731,3.64322,5.95142,0.601,-0.5787,-0.5787,0.92859,1.23683,-0.08896,0.2303,0.22543
"30","2022_Q2",8.69564516129032,"Down",60115000,-131670000,-48753000,-82917000,-80925000,-8937000,-8937000,-89862000,-96084000,-96084000,-96084000,-96084000,-96084000,325680000,325680000,32779000,13418000,512443000,7998000,72946000,3563000,69383000,80944000,593387000,153748000,21092000,132656000,153748000,6620000,6620000,427076000,580824000,1158773000,-1145938000,-272000,12563000,12563000,593387000,-96084000,767000,58389000,-17117000,-54045000,-615000,-35615000,544000,544000,-2839000,-1855000,-91515000,-91515000,-91515000,-80158000,420456000,-7.64817,-0.16192,3.33301,46.23291,0.70857,-1.24375,-1.24375,0.77815,0.16262,-0.21855,-1.18236,-1.17116
"31","2022_Q3",10.119375,"Up",60151000,-92887000,-51276000,-41611000,-44013000,-6137000,-6137000,-50150000,-50150000,-50150000,-50150000,-50150000,-50150000,275484000,275484000,23845000,7176000,446784000,9553000,89666000,3563000,86103000,99219000,546003000,140754000,17486000,123268000,140754000,6913000,6913000,427878000,568632000,1173729000,-1196088000,-270000,-22629000,-22629000,546003000,-50150000,887000,15447000,-16221000,-50037000,-880000,-880000,1663000,1663000,-942000,721000,-50196000,-50196000,-50196000,-43126000,420965000,2.21618,-0.09185,3.17422,-25.12846,0.77099,-0.64664,-0.64664,0.77559,-0.29178,-0.12375,-3.37339,-3.30541
