"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","other_post_retirement_benefits","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",50.96,"Up",764057000,-649028000,115029000,-76753000,-72968000,-3785000,38276000,-11616000,-15171000,2595000,960000,26660000,-1907000,24753000,-4467000,20286000,20286000,310000,20596000,20596000,119232000,119232000,429658000,429658000,186758000,276320000,32505000,243815000,1011968000,700922000,380627000,102892000,133993000,90717000,1081549000,2093517000,508149000,298763000,209386000,30264000,538413000,648968000,293508000,252395000,184529000,67866000,35119000,942476000,1480889000,382857000,167924000,-54098000,600264000,12364000,612628000,2093517000,20286000,25289000,3324000,-3838000,45061000,-59407000,-72911000,-4477000,-977000,-8859000,-36709000,-36709000,-4510000,-41219000,63565000,679232000,4787000,0.15055,0.0501,0.02696,0.03362,0.00984,0.23242,1.87954,2.41727,0.32445,1.57877,1.43953,58.56829,38.07291,0.36694,0.01494,0.00302,8.80988,14.63058
"12","2014_Q1",59.323606557377,"Up",794201000,-689069000,105132000,-76536000,-72639000,-3897000,28596000,-14643000,-14968000,2377000,-2052000,13953000,-13965000,-12000,-21039000,-21051000,-21051000,263000,-20788000,-20788000,184370000,184370000,365750000,365750000,179766000,265446000,26940000,238506000,995332000,732902000,374520000,101436000,139701000,99148000,1107422000,2102754000,541842000,355394000,186448000,28329000,570171000,656095000,255763000,208337000,151113000,57224000,36280000,911858000,1482029000,489069000,156775000,-27694000,618150000,2575000,620725000,2102754000,-21051000,27753000,15731000,93251000,115684000,-50490000,-50490000,4835000,-1805000,3030000,68224000,68224000,-3086000,65138000,56349000,684424000,120149000,0.13237,0.03601,-0.02617,-0.03349,-0.00989,-5.77973,1.74567,2.38758,0.32549,-1.40117,-1.3337,53.53132,41.665,8.09837,-0.01332,0.07697,8.87423,17.48685
"13","2014_Q2",66.2715873015873,"Up",837606000,-703347000,134259000,-84007000,-79571000,-4436000,50252000,-13742000,-15008000,1236000,30000,36510000,-3089000,33421000,-12064000,21357000,21357000,-1622000,19735000,19735000,138045000,138045000,439142000,439142000,188589000,258766000,26138000,232628000,1024542000,757258000,366113000,97814000,139318000,101276000,1123371000,2147913000,548686000,326862000,221824000,31853000,580539000,661291000,256880000,204891000,148666000,56225000,40542000,918171000,1498710000,496988000,176339000,-28497000,644830000,4373000,649203000,2147913000,21357000,28252000,10888000,-56626000,3871000,-61692000,-60741000,11174000,-1598000,9576000,-47294000,-47294000,969000,-46325000,78504000,693144000,-27750000,0.16029,0.05999,0.02356,0.0304,0.00919,-1.40613,1.76481,2.30854,0.32271,1.18482,1.10127,50.28673,38.71318,-1.66601,0.01234,-0.01735,7.07096,11.04631
"14","2014_Q3",63.65234375,"Down",857553000,-711444000,146109000,-85670000,-81673000,-3997000,60439000,-38007000,-10919000,1745000,-28833000,22432000,-3756000,18676000,-4424000,14252000,14252000,-1058000,13194000,13194000,207385000,207385000,437983000,437983000,186043000,287250000,26562000,260688000,1118661000,747727000,370457000,94292000,139402000,108026000,1118184000,2236845000,522105000,313778000,208327000,29534000,551639000,762983000,251322000,201083000,144725000,56358000,41307000,1014305000,1565944000,501242000,188358000,-24107000,665493000,5408000,670901000,2236845000,14252000,28474000,27822000,-20220000,50328000,-46962000,-43746000,64946000,-2561000,62385000,68967000,68967000,373000,69340000,88913000,792517000,26155000,0.17038,0.07048,0.01539,0.01967,0.0059,1.98234,2.02789,2.33409,0.3543,0.77981,0.71589,50.68424,39.33285,1.54585,0.00769,0.01525,6.58095,9.68136
"15","2014_Q4",55.48796875,"Down",780954000,-669701000,111253000,-52872000,-67365000,-3892000,58381000,-12440000,-9405000,1094000,-4129000,45941000,-4845000,41096000,-18866000,22230000,22230000,436000,22666000,22666000,244855000,244855000,394563000,394563000,181475000,263123000,23465000,239658000,1084016000,729948000,351783000,88313000,138090000,107466000,1081731000,2165747000,484205000,294165000,190040000,26138000,510343000,759999000,232999000,183625000,129005000,54620000,44329000,992998000,1503341000,505675000,210956000,-59057000,657574000,4832000,662406000,2165747000,22230000,28015000,-9033000,-6693000,34519000,-42271000,-2380000,-5091000,-119000,-5210000,26929000,26929000,10541000,37470000,86396000,786137000,56298000,0.14246,0.07476,0.02902,0.03422,0.01047,2.48381,2.12409,2.26952,0.36299,1.32813,1.2308,45.76063,38.53108,3.29883,0.01348,0.03348,6.26513,9.27154
"16","2015_Q1",54.7644262295082,"Down",767874000,-650066000,117808000,-78685000,-73115000,-4112000,39123000,18452000,-10272000,1962000,26762000,57575000,-62485000,-4909999.99999999,-7456000,-12366000,-12366000,-450000,-12816000,-12816000,267270000,267270000,377032000,377032000,166531000,243165000,25626000,217539000,1053998000,716013000,355619000,82309000,135169000,97082000,1071632000,2125630000,492413000,322422000,169991000,35631000,528044000,743106000,301785000,252092000,191805000,60287000,44692000,1044891000,1572935000,492976000,195233000,-139243000,548966000,3729000,552695000,2125630000,-12366000,27839000,26453000,40405000,82331000,-36807000,-50529000,2510000,-14688000,-17340000,14462000,14462000,7953000,22415000,66962000,778737000,78016000,0.15342,0.05095,-0.01669,-0.02319,-0.00603,-6.08739,1.99604,2.84594,0.36636,-0.79409,-0.76203,47.57809,34.01437,4.83393,-0.00785,0.04777,7.63817,13.07331
"17","2015_Q2",62.2928571428571,"Up",800050000,-669178000,130872000,-79859000,-76311000,-3548000,51013000,3696000,-9157000,1776000,11077000,54709000,-18840000,35869000,-14741000,21128000,21128000,-141000,20987000,20987000,194434000,194434000,468647000,468647000,178946000,235479000,39684000,195795000,1077506000,763593000,372261000,88695000,150037000,83643000,1135854000,2213360000,567047000,364183000,202864000,54992000,622039000,745388000,304009000,233241000,175256000,57985000,43583000,1049397000,1671436000,497546000,216011000,-183236000,530321000,11603000,541924000,2213360000,21128000,26599000,-7305000,-49962000,-9540000,-49078000,-73520000,-4307000,-2402000,-6709000,-89769000,-89769000,16933000,-72836000,77612000,800380000,-6687000,0.16358,0.06376,0.02623,0.03873,0.00948,-0.31863,1.73222,3.08426,0.36161,1.23183,1.15076,46.95878,31.12709,-0.39249,0.01275,-0.00406,7.80738,11.87827
"18","2015_Q3",60.060625,"Down",860821000,-706863000,153958000,-87751000,-84079000,-3672000,66207000,-5802000,-9268000,1355000,2111000,60405000,-7429000,52976000,-16442000,36534000,36534000,-38000,36496000,36496000,204810000,204810000,468502000,468502000,182840000,256420000,34842000,221578000,1112572000,785322000,362866000,80308000,151978000,86659000,1148188000,2260760000,569632000,347246000,222386000,60259000,629891000,743445000,296265000,236754000,178159000,58595000,42014000,1039710000,1669601000,504039000,252473000,-177346000,579166000,11993000,591159000,2260760000,36534000,29375000,-864000,1099000,66144000,-44606000,-54560000,1885000,-114000,1771000,13355000,13355000,-2979000,10376000,95582000,803704000,68517000,0.17885,0.07691,0.0424,0.06174,0.01614,1.87738,1.76629,2.82428,0.3555,2.13705,1.98235,50.40605,33.91352,4.01207,0.02158,0.04052,6.26576,9.04578
"19","2015_Q4",70.6471875,"Up",827531000,-679083000,148448000,-82664000,-79065000,-3599000,65784000,-11857000,-9487000,911000,-3281000,53927000,-8540000,45387000,-12869000,32518000,32518000,214000,32732000,32732000,231984000,231984000,474757000,474757000,172356000,247653000,30486000,217167000,1126750000,801389000,360755000,74114000,151955000,87235000,1162144000,2288894000,602083000,345216000,256867000,57986000,660069000,740685000,282897000,228988000,171358000,57630000,35846000,1023582000,1683651000,510438000,285149000,-204320000,591267000,13976000,605243000,2288894000,32518000,29304000,6085000,-14538000,53369000,-31131000,-35431000,5696000,-249000,5447000,23385000,23385000,3789000,27174000,95088000,798671000,62288000,0.17939,0.07949,0.03955,0.05408,0.0143,1.90297,1.70702,2.78178,0.34893,1.89266,1.77602,47.85033,34.18883,3.60168,0.0194,0.03693,5.95961,8.61436
"20","2016_Q1",70.9696721311475,"Up",854402000,-700567000,153835000,-85507000,-90467000,-3073000,68328000,-8926000,-10419000,1641000,-148000,59402000,-40646000,18756000,2834000,21590000,21590000,75000,21665000,21665000,378243000,378243000,455187000,455187000,149645000,206406000,30016000,176390000,1189481000,765369000,349442000,70702000,149219000,80222000,1114811000,2304292000,635926000,400604000,235322000,45494000,681420000,732418000,275655000,229488000,176525000,52963000,41253000,1008073000,1689493000,513781000,306713000,-217065000,603429000,11370000,614799000,2304292000,21590000,29149000,9679000,99994000,160412000,-41452000,-2883000.00000001,-11717000,-382000,-12099000,145430000,145430000,829000,146259000,97477000,777912000,153185000,0.18005,0.07997,0.02536,0.03524,0.0094,7.07062,1.74559,2.74804,0.33759,1.24217,1.16591,48.98741,34.59779,8.78291,0.01299,0.09182,4.10014,5.84927
"21","2016_Q2",80.6865625,"Up",862497000,-702673000,159824000,-86891000,-83458000,-3278000,72933000,-15798000,-9752000,1770000,-7816000,57135000,-10832000,46303000,-14766000,31537000,31537000,-214000,31323000,31323000,313077000,313077000,530569000,530569000,157596000,219552000,34830000,184722000,1220794000,793360000,346471000,67159000,150731000,80692000,1139831000,2360625000,663816000,431894000,231922000,47624000,711440000,730821000,280238000,236127000,181832000,54295000,42695000,1011059000,1722499000,507960000,321119000,-202598000,626481000,11645000,638126000,2360625000,31537000,30205000,5324000,-39152000,27914000,-55217000,-58237000,107000,-1686000,-25379000,-55702000,-55702000,-9464000,-65166000,103138000,778445000,23535000,0.1853,0.08456,0.03632,0.04909,0.01327,0.75136,1.71595,2.69931,0.32976,1.7958,1.67086,49.4484,35.91721,1.3493,0.01846,0.01387,4.51209,6.38076
"22","2016_Q3",94.16109375,"Up",879304000,-707343000,171961000,-95911000,-92672000,-3239000,76050000,-7583000,-9995000,2667000,-255000,68467000,-12206000,56261000,-16021000,40240000,40240000,-51000.0000000001,40189000,40189000,339546000,339546000,472965000,472965000,155803000,266706000,35819000,230887000,1235020000,793857000,345578000,63329000,152977000,82856000,1139435000,2374455000,649914000,398204000,251710000,45340000,695254000,728581000,278905000,231682000,177774000,53908000,46050000,1007486000,1702740000,510391000,360044000,-210141000,660294000,11421000,671715000,2374455000,40240000,30168000,5117000,11802000,87327000,-26139000,-31045000,-3249000,-28167000,-31416000,24866000,24866000,1603000,26469000,106218000,773921000,107902000,0.19556,0.08649,0.04571,0.05983,0.01693,2.68486,1.77636,2.53491,0.32594,2.33084,2.16167,50.99698,38.29506,6.25799,0.0233,0.06257,4.08947,5.7117
"23","2016_Q4",96.4142857142857,"Up",855656000,-690984000,164672000,-95825000,-92368000,-3457000,68847000,-9246000,-10114000,1386000,-518000,59601000,-10430000,49171000,-12525000,36646000,36646000,-284000,36362000,36362000,360429000,360429000,505966000,505966000,161012000,227990000,37998000,189992000,1255397000,831987000,375920000,85948000,170794000,74333000,1207907000,2463304000,687085000,429357000,257728000,53139000,740224000,726688000,272131000,226466000,172474000,53992000,44020000,998819000,1739043000,510404000,395178000,-205728000,699854000,24407000,724261000,2463304000,36646000,31326000,6687000,-7855000,66804000,-35276000,-61433000,-2444000,17975000,15531000,20902000,20902000,-19000,20883000,100173000,779827000,69567000,0.19245,0.08046,0.0425,0.05021,0.01476,1.91318,1.69597,2.40113,0.31658,2.0815,1.9382,48.98096,40.06227,3.98228,0.02047,0.03917,4.18674,6.09174
"24","2017_Q1",109.003548387097,"Up",875434000,-707115000,168319000,-91741000,-88149000,-3592000,76578000,-14613000,-11528000,2054000,-5139000,61965000,-18940000,43025000,-11009000,32016000,32016000,-902000,31114000,31114000,480092000,480092000,460503000,460503000,146449000,209137000,37142000,171995000,1296181000,832269000,363252000,81363000,167441000,114448000,1195521000,2491702000,725903000,475426000,250477000,33439000,759342000,729480000,281089000,227175000,172950000,54225000,53914000,1010569000,1769911000,513951000,425972000,-242563000,697360000,24431000,721791000,2491702000,32016000,30961000,19099000,101350000,183426000,-47736000,-47551000,378486000,-400138000,-21652000,114223000,114223000,7214000,121437000,107539000,762919000,172162000,0.19227,0.08747,0.03554,0.04311,0.01249,5.53326,1.70698,2.45211,0.30618,1.75934,1.65301,49.50138,39.43219,9.73489,0.01762,0.0975,2.62999,3.69332
"25","2017_Q2",107.095238095238,"Down",902051000,-732049000,170002000,-90649000,-87054000,-3595000,79353000,-10701000,-11239000,1675000,-1137000,68652000,-14258000,54394000,-11890000,42504000,42504000,-798000,41706000,41706000,406925000,406925000,518634000,518634000,160587000,232106000,34663000,197443000,1318252000,841371000,347447000,78198000,167888000,101361000,1188818000,2507070000,705583000,483168000,222415000,33470000,739053000,728470000,270147000,227919000,173445000,54474000,42228000,998617000,1737670000,513433000,462110000,-231555000,743988000,25412000,769400000,2507070000,42504000,31857000,19700000,-90372000,3689000,-58237000,-58237000,-1114000,-10857000,-11971000,-66519000,-66519000,-6510000,-73029000,111210000,761940000,-25509000,0.18846,0.08797,0.04623,0.05421,0.01664,-0.61164,1.7837,2.25847,0.30392,2.35056,2.19823,50.83984,41.93137,-1.43769,0.02315,-0.01416,3.19229,4.47387
"26","2017_Q3",103.733015873016,"Down",909145000,-736957000,172188000,-89051000,-85515000,-3536000,83137000,-11614000,-10293000,1400000,-2721000,71523000,-9343000,62180000,-20530000,41650000,41650000,-1194000,40456000,40456000,400186000,400186000,546522000,546522000,168397000,237442000,39392000,198050000,1352547000,886975000,348015000,75132000,169304000,103579000,1234990000,2587537000,735590000,496162000,239428000,29817000,765407000,722988000,281396000,235222000,179922000,55300000,46174000,1004384000,1769791000,515172000,495190000,-219632000,790730000,27016000,817746000,2587537000,41650000,33188000,9420000,-23246000,61012000,-39564000,-39564000,-8934999.99999994,-1606000.00000012,-18055000,3393000,3393000,-9747000,-6354000,116325000,752805000,74045000,0.1894,0.09145,0.0445,0.04947,0.01563,1.83026,1.7671,2.16423,0.29093,2.26477,2.14439,50.89485,44.26586,4.14511,0.02185,0.03998,3.03133,4.24142
"27","2017_Q4",117.84126984127,"Up",869016000,-718207000,150809000,-91223000,-87791000,-3432000,59586000,-16381000,-10256000,660000,-6785000,43205000,-9909000,33296000,-7838000,25458000,25458000,-818000,24640000,24640000,372984000,372984000,571515000,571515000,179470000,252073000,42685000,209388000,1376042000,916496000,343058000,72060000,170765000,100233000,1259554000,2635596000,753284000,491202000,262082000,32448000,785732000,722557000,283141000,235282000,178406000,56876000,47859000,1005698000,1791430000,513626000,502806000,-200588000,815844000,28322000,844166000,2635596000,25458000,34368000,11529000,-30966000,40389000,-38409000,-38887000,1339000,-281000,-22108000,-20606000,-20606000,-6579000,-27185000,93954000,755005000,32417000,0.17354,0.06857,0.02835,0.02919,0.00935,1.31562,1.75129,2.12213,0.28646,1.3918,1.31902,49.0868,46.08335,1.83109,0.01309,0.01722,4.06604,6.41125
