"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","free_cash_flow_to_net_income","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share"
"39","2019_Q4",3.41953125,"Up",94300000,-47390000,46910000,-55519000,-34485000,-20421000,-14064000,-14064000,-6970000,-8609000,-248000,-8175000,1194000,-8857000,-10007000,-552000,-10559000,-10559000,-10559000,-10559000,-10559000,3336000,25498000,-10695000,7580000,-917000,-1027000,-998000,-16999.9999999981,-1140000,5413000,5413000,-749000,4664000,-5273000,182744000,-16333000,0.49745,-0.09129,-0.11197,1.54683,-0.16452,-0.16452,1.46933,-0.25449
"40","2020_Q1",3.77451612903226,"Up",95163000,-46831000,48332000,-55997000,-36433000,-20555000,-15878000,-12639000,-6925000,-7665000,-13749000,-8350000,-432000,-21414000,-19657000,-1733000,-21390000,-21390000,-21390000,-21390000,-21390000,33407000,-11591000,-1938000,-1512000,74000,-2626000,12472000,19362000,12065000,7927000,7927000,356000,8283000,25742000,196538000,25611000,0.50789,-0.08055,-0.22477,-1.19734,-0.307530000000001,-0.307529999999999,1.3682,0.36822
"41","2020_Q2",2.99793650793651,"Down",89528000,-45798000,43730000,-51810000,-34756000,-19213000,-15543000,-10136000,-6918000,-8080000,-848000,-8846000,804000,-8928000,-13599000,415000,-13184000,-13184000,-13184000,-13184000,-13184000,10302000,4701000,-6600000,-4781000,-45000,-3917000,-407000,-142000,-549000,-9247000,-9247000,-927000,-10174000,2222000,198525000,-4838000,0.48845,-0.09025,-0.14726,0.36696,-0.188,-0.188,1.27664,-0.06899
"42","2020_Q3",2.77625,"Down",88566000,-44949000,43617000,-46359000,-29748000,-16007000,-13741000,-9765000,-6846000,-2742000,-8323000,-8856000,-944000,-11065000,-11065000,664000,-10401000,-10401000,-10401000,-10401000,-10401000,10250000,6420000,-3280000,2989000,-5.82076609134674e-11,-3964000,-570999.999999996,74000,-496999.999999998,-1472000,-1472000,383000,-1089000,7508000,200763000,3564000,0.49248,-0.03096,-0.11744,-0.34266,-0.14742,-0.14742,1.2553,0.0505099999999999
"43","2020_Q4",2.220625,"Down",87952000,-46466000,41486000,-45518000,-29267000,-17131000,-12136000,-9501000,-6750000,-4032000,-6848000,-9027000,-2012000,-10880000,-10880000,-241000,-11121000,-11121000,-11121000,-11121000,-11121000,10279000,5498000,-4707000,-51000,-155000,-3747000,-564000,-8000,-430000,-4228000,-4228000,552000,-3676000,6247000,203098000,1626000,0.47169,-0.04584,-0.12644,-0.14621,-0.15612,-0.15612,1.2347,0.02283
"44","2021_Q1",3.52327868852459,"Up",89990000,-43499000,46491000,-48241000,-32232000,-17869000,-14363000,-9304000,-6705000,-1750000,-9722000,-9076000,-2338000,-11472000,-11472000,-1740000,-13212000,-13212000,-13212000,-13212000,-13212000,10452000,11073000,-5753000,2560000,-277000,-3927000,-578999.999999996,-41000,-620000.000000001,-1987000,-1987000,894000,-1093000,8702000,205539000,4412000,0.51662,-0.01945,-0.14682,-0.33394,-0.18146,-0.18146,1.23594,0.0606
"45","2021_Q2",3.91952380952381,"Up",90330000,-52702000,37628000,-49087000,-32295000,-17827000,-14468000,-10353000,-6439000,-11459000,-14245000,-7045000,1074000,-25704000,-35333000,-1022000,-36355000,-36355000,-36355000,-37290000,-36355000,10493000,31862000,11888000,17888000,-157000,-3692000,-30328000,-149000.000000004,-30477000,-16281000,-16281000,-588000,-16869000,-966000,0,11787000,0.41656,-0.12686,-0.41282,-0.31609,-0.48971,-0.48971,1.18625,0.15479
"46","2021_Q3",3.95890625,"Up",87659000,-51386000,36273000,-47163000,-30776000,-17690105.7045953,-14311221.9326871,-10132000,-6255000,-10890000,-7233000,-355000.000000001,-370000,-18123000,-18123000,-422000,-18545000,-18545000,-18545000,-22413000,-18545000,10192000,11963000,-10638000,-7028000,-197000,-4031000,-454000,-185000,-5399000,-16458000,-16458000,266000,-16192000,-698000,-1.49011611938477e-08,-11111000,0.4138,-0.12423,-0.25568,0.49574,-0.29434,-0.29434,1.15118,-0.14591
"47","2021_Q4",3.57890625,"Down",92487000,-49179000,43308000,-47330000,-32107000,-17540721.8120152,-14870041.2298918,-9051000,-6172000,-4022000,6724000,-169000,1180000,2702000,2702000,-722000,1980000,1980000,1980000,-1930000,1980000,10054000,-661000,-23354000,-11981000,-390000,-3946000,-173123000,188473000,15350000,-577000,-577000,-369000,-946000,6032000,1.6e+07,-16990000,0.46826,-0.04349,-0.02087,8.80311,-0.02414,-0.02414,1.15678,-0.2125
"48","2022_Q1",2.865,"Down",96537000,-49777000,46760000,-49254000,-33495000,-17368000,-16127000,-9587000,-6172000,-2494000,4070000,-232000,1011000,1576000,1576000,1307000,2883000,2883000,2883000,-1027000,2883000,10092000,-292000.000000001,-1706000,10977000,-59000,-2979000,187278000,-189204000,-1926000,6072000,6072000,-527000,5545000,7598000,1.6e+07,4526000,0.48437,-0.02583,-0.01064,-4.40701,-0.01155,-0.01155,1.0861,0.05092
"49","2022_Q2",2.07903225806452,"Down",93966000,-52918000,41048000,-51594000,-35283000,-17166000,-18117000,-9532000,-6779000,-10546000,2653000,-2e+05,420000,-7893000,-7893000,-1383000,-9276000,-9276000,-9276000,-13101000,-9276000,10970000,5618000,5096000,12408000,-347000,-3799000,-796000,48000.0000000596,-748000,7861000,7861000,-86000,7775000,424000,1.6e+07,6556000,0.43684,-0.11223,-0.13942,-0.50042,-0.15941,-0.15941,1.14335,0.07977
"50","2022_Q3",2.08673469387755,"Up",91434000,-51467000,39967000,-51277000,-34588000,-16948413.7583053,-21084381.5812894,-9917000,-6772000,-11310000,6908000,-176000,2527000,-4402000,-4402000,-648000,-5050000,-5050000,-5050000,-8918000,-5050000,10937000,1847000,4091000,11825000,-322000,-4457000,-660000,-69000,-16241000,-8873000,-8873000,-1122000,-9995000,-373000,1.6e+07,4044000,0.43711,-0.1237,-0.09753,-0.45346,-0.09651,-0.09651,0.98949,0.04376
