"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",7.8675,"Up",144723000,-98370000,46353000,-33930000,-33930000,12423000,-139000,-23000,12284000,12284000,-3870000,8414000,8414000,8414000,8411000,18495000,18495000,51178000,51178000,41662000,7544000,4131000,118879000,55770000,20578000,1615000,13145000,5818000,76348000,195227000,51891000,34926000,589000.000000001,16376000,51891000,24560000,13769000,10791000,84560000,136451000,150000,50752000,-17600000,25881000,-407000,58776000,58776000,195227000,8414000,2676000,-97000,-168000,10825000,-2787000,-2787000,151745.389662374,151745.389662379,-38249000,-30211000,-30211000,-30211000,15099000,6e+07,16014000,0.32029,0.08584,0.05812,0.1431,0.04308,1.90394,2.29094,2.32154,0.30733,0.09079,0.09048,1.56221,0.63284,0.17286,0.88289,0.11172,2.74886,3.34098
"12","2014_Q1",8.52196721311475,"Up",167867000,-109854000,58013000,-39913000,-39913000,18100000,-252000,-28000,17848000,17848000,-5751000,12097000,12097000,12097000,11947000,18267000,18267000,64069000,64069000,39234000,9371000,5706000,130941000,57307000,20394000,1615000,13145000,5634000,77701000,208642000,63437000,44261000,34000,19142000,63437000,24889000,14327000,10562000,74889000,138326000,150000,50902000,-17600000,37828000,-964000,70316000,70316000,208642000,12097000,2567000,679000,-2049000,13294000,-3613000,-3613000,239000,239000,-9909000,-228000,-228000,-228000,20667000,5e+07,20756000,0.34559,0.10782,0.07117,0.1699,0.05726,1.73734,2.06411,1.96721,0.23964,0.12894,0.12848,1.81172,0.75727,0.22401,0.08236,0.14294,1.53544,1.7532
"13","2014_Q2",7.76015873015873,"Down",172353000,-113604000,58749000,-40086000,-40086000,18663000,-236000,-40000,18427000,18427000,-6357000,12070000,12070000,12070000,11920000,28898000,28898000,62546000,62546000,43817000,7263000,3401000,142524000,57168000,20394000,1615000,13145000,5634000,77562000,220086000,68181000,44578000,4328000,19275000,68181000,24905000,14301000,10604000,69905000,138086000,150000,50946000,-17600000,49748000,-1244000,8.2e+07,8.2e+07,220086000,12070000,2948000,-6000,3159000,18171000,-2397000,-2397000,4000,4000,-5143000,10631000,10631000,10631000,21611000,4.5e+07,28730000,0.34086,0.10828,0.06916,0.14537,0.05416,2.41023,2.09038,1.68398,0.20447,0.12864,0.12813,1.86006,0.88334,0.31006,0.0794600000000001,0.18913,0.74508,0.86278
"14","2014_Q3",7.6334375,"Down",167666000,-108836000,58830000,-39681000,-39681000,19149000,-184000,-18000,18965000,18965000,-6468000,12497000,12497000,12497000,12348000,27066000,27066000,55939000,55939000,42920000,9791000,6086000,135716000,56695000,20274000,1615000,13145000,5514000,76969000,212685000,53229000,37251000,127000,15851000,53229000,24860000,14274000,10586000,64860000,118089000,150000,50873000,-17600000,62096000,-923000,94596000,94596000,212685000,12497000,2883000,-87000,-9959000,5334000,-1957000,-1957000,-4000,-3999.99999999997,-5209000,-1832000,-1832000,-1832000,22032000,4e+07,16584000,0.35088,0.11421,0.07365,0.13053,0.05806,1.34305,2.54966,1.24835,0.18807,0.13326,0.13274,1.80948,1.01927,0.17898,0.07837,0.104,0.58706,0.67544
"15","2014_Q4",9.803125,"Up",136774000,-92086000,44688000,-34461000,-34461000,10227000,55000,208000,10282000,10282000,-3146000,7136000,7136000,7136000,6986000,27115000,27115000,51257000,51257000,42463000,11272000,7738000,132107000,57734000,20309000,1615000,13145000,5549000,78043000,210150000,48522000,33099000,90000,15333000,48522000,24654000,14272000,10382000,59654000,108176000,150000,50923000,-17600000,69082000,-581000,101974000,101974000,210150000,7136000,3078000,10000,-1422000,8802000,-3621000,-3621000,39265.5705589909,39265.5705586806,-5132000,49000,49000,49000,13305000,3.5e+07,11408000,0.32673,0.07477,0.05108,0.06851,0.03324,1.63298,2.72262,1.06082,0.16655,0.07539,0.07509,1.47608,1.0989,0.12312,0.04415,0.07058,0.59263,0.771
"16","2015_Q1",9.26885245901639,"Down",164342000,-108954000,55388000,-38992000,-38992000,16396000,-961000,-816000,15435000,15435000,-3503000,11932000,11932000,11932000,11655000,29932000,29932000,58205000,58205000,43914000,11090000,8405000,143141000,59494000,20206000,1615000,13145000,5446000,79700000,222841000,64523000,45606000,44000,18873000,64523000,22117000,13873000,8244000,52117000,116640000,240000,43279000,-17850000,80737000,-205000,106201000,106201000,222841000,11932000,2799000,308000,5036000,20075000,-4087000,-4087000,47000,47000,-13171000,2817000,2817000,2817000,19195000,3e+07,23647000,0.33703,0.09977,0.07092,0.10974,0.0523,2.02891,2.21845,1.09829,0.13463,0.12577,0.12525,1.77345,1.14345,0.25518,0.07494,0.14936,0.00354,0.00415
"17","2015_Q2",9.2084126984127,"Down",174637000,-114795000,59842000,-37638000,-37638000,22204000,1073000,1197000,23277000,23277000,-7914000,15363000,15363000,15363000,15200000,37287000,37287000,60558000,60558000,47466000,7319000,4826000,152630000,57804000,19916000,1615000,13145000,5156000,77720000,230350000,67523000,42114000,4985000,20424000,67523000,21890000,14017000,7873000,46890000,114413000,150000,37564000,-17880000,95937000,166000,115937000,115937000,230350000,15363000,3048000,-1087000,876000,18200000,255000,255000,23000,23000,-11100000,7355000,7355000,7355000,25252000,2.5e+07,34297000,0.34267,0.12714,0.08704,0.13111,0.06599,2.25638,2.26041,0.98685,0.10853,0.16402,0.16334,1.88446,1.24943,0.37009,0.09412,0.21063,-0.48658,-0.55337
"18","2015_Q3",10.47109375,"Up",163575000,-105843000,57732000,-37970000,-37970000,19762000,-129000,-23000,19633000,19633000,-6675000,12958000,12958000,12958000,12921000,42345000,42345000,53923000,53923000,47039000,8933000,6554000,152240000,58119000,19891000,1615000,13145000,5131000,78010000,230250000,59176000,42971000,101000,16104000,59176000,21866000,14163000,7703000,41866000,101042000,150000,37674000,-17880000,108858000,406000,129208000,129208000,230250000,12958000,3005000,199000,-3132000,13030000,-2964000,-2964000,16000,16000,-5008000,5058000,5058000,5058000,22767000,2e+07,23346000,0.35294,0.12081,0.07899,0.1,0.05612,1.80683,2.57266,0.78201,0.08686,0.13941,0.13881,1.76487,1.39245,0.25189,0.07575,0.13647,-0.98146,-1.13071
"19","2015_Q4",15.8746875,"Up",143021000,-96931000,46090000,-32593000,-32593000,13497000,-151000,-70000,13346000,13346000,-4538000,8808000,8808000,8808000,8770000,40447000,40447000,51301000,51301000,46493000,10710000,7785000,148951000,58197000,19882000,1615000,13145000,5122000,78079000,227030000,52664000,33478000,40999.9999999995,19145000,52664000,21893000,14325000,7568000,36893000,89557000,150000,38015000,-17880000,117628000,-440000,137473000,137473000,227030000,8808000,2820000,195000,-6339000,5484000,-2604000,-2604000,105000,105000,-4778000,-1898000,-1898000,-1898000,16317000,1.5e+07,11912000,0.32226,0.09437,0.06132,0.06379,0.03863,1.35827,2.82833,0.65145,0.06607,0.09459,0.09414,1.5426,1.48115,0.12848,0.05051,0.06832,-1.55954,-1.88538
"20","2016_Q1",16.2427868852459,"Up",164592000,-109116000,55476000,-36956000,-36956000,18520000,-63000,-3000,18457000,18457000,-6275000,12182000,12182000,12182000,12145000,52456000,52456000,59951000,59951000,42924000,12398000,8050000,167729000,60182000,19839000,1615000,13145000,5079000,80021000,247750000,66251000,44896000,98000,21257000,66251000,23717000,15245000,8472000,33717000,99968000,150000,38263000,-17880000,129773000,-2524000,147782000,147782000,247750000,12182000,2707000,888000,5529000,21306000,-4412000,-4412000,84000,84000,-4885000,12009000,12009000,12009000,21227000,1e+07,28619000,0.33705,0.11252,0.07379,0.08218,0.04902,2.35644,2.53172,0.67646,0.04036,0.13094,0.13035,1.7745,1.59165,0.30855,0.06712,0.15768,-2.00009,-2.29244
"21","2016_Q2",20.87859375,"Up",185386000,-122487000,62899000,-36806000,-36806000,26093000,-86000,-35000,26007000,26007000,-8894000,17113000,17113000,17113000,17075000,66291000,66291000,66042000,66042000,46571000,10252000,4723000,189156000,59536000,19804000,1615000,13145000,5044000,79340000,268496000,76678000,42992000,5672000,28014000,76678000,23877000,15091000,8786000,28877000,105555000,270000,38598000,-1.8e+07,146848000,-4775000,162941000,162941000,268496000,17113000,3020000,56000,409000,20598000,-1998000,-1998000,219000,219000,-4765000,13835000,13835000,13835000,29113000,5e+06,36418000,0.33929,0.14075,0.09211,0.10479,0.06359,2.13283,2.46689,0.64781,0.01862,0.18401,0.18324,1.99782,1.75303,0.39246,0.08921,0.18986,-2.10528,-2.34894
"22","2016_Q3",22.02453125,"Up",178678000,-118057000,60621000,-37249000,-37249000,23372000,-101000,-39000,23271000,23271000,-7959000,15312000,15312000,15312000,15275000,75788000,75788000,57280000,57280000,48676000,10747000,5093000,192491000,59307000,19779000,1615000,13145000,5019000,79086000,271577000,69159000,42458000,70000,26631000,69159000,23534000,15338000,8196000,23534000,92693000,150000,39044000,-17880000,162123000,-4553000,178884000,178884000,271577000,15312000,3035000,52000,-1836000,16563000,-2410000,-2410000,223000,223000,-4656000,9497000,9497000,9497000,26407000,0,30120000,0.33928,0.13081,0.08549,0.08539,0.05625,1.97185,2.78331,0.51817,0,0.16454,0.16373,1.9247,1.92531,0.32445,0.07565,0.1488,-2.87,-3.24268
"23","2016_Q4",20.3101587301587,"Down",161687000,-109135000,52552000,-35434000,-35434000,17118000,-42000,-2000,17076000,17076000,-5840000,11236000,11236000,11236000,11199000,86101000,86101000,59553000,59553000,44322000,11689000,6819000,201665000,60230000,19737000,1615000,13145000,4977000,79967000,281632000,65417000,37665000,31000,27721000,65417000,23267000,15584000,7683000,23267000,88684000,150000,40154000,-17880000,173322000,-2798000,192948000,192948000,281632000,11236000,3016000,17000,-1608000,12661000,-3366000,-3366000,240000,240000,1018000,10313000,10313000,10313000,20134000,0,2.1e+07,0.32502,0.10587,0.06926,0.05804,0.03976,1.87517,3.08276,0.45963,0,0.12056,0.11989,1.74059,2.07551,0.22607,0.05197,0.09713,-4.2764,-5.02985
"24","2017_Q1",25.3564516129032,"Up",179034000,-113669000,65365000,-38895000,-38895000,26470000,-119000,-69000,26351000,26351000,-8814000,17537000,17537000,17537000,17411000,105577000,105577000,61046000,61046000,47922000,9126000,4672000,223671000,61932000,19895000,1615000,13145000,5135000,81827000,305498000,75614000,49391000,28000,26195000,75614000,23732000,14474000,9258000,23732000,99346000,150000,35076000,-1.8e+07,190733000,-1807000,206152000,206152000,305498000,17537000,2985000,461000,9678000,30661000,-4250000,-4250000,166000,166000,-6935000,19476000,19476000,19476000,29455000,1.16415321826935e-10,43697000,0.3651,0.14785,0.09725,0.08446,0.05699,2.50974,2.95806,0.48191,0,0.18702,0.18625,1.92311,2.21279,0.46938,0.07606,0.19008,-3.58435,-3.98855
"25","2017_Q2",37.7125396825397,"Up",217108000,-131614000,85494000,-41488000,-41488000,44006000,59000,97000,44065000,44065000,-15070000,28995000,28995000,28995000,28995000,132576000,132576000,75834000,75834000,51819000,7472000,3228000,267701000,62726000,19857000,1615000,13145000,5097000,82583000,350284000,90989000,47526000,12853000,30610000,90989000,23627000,14445000,9182000,23627000,114616000,150000,35182000,-1.8e+07,219728000,-1392000,235668000,235668000,350284000,28995000,3102000,7000,-1654000,30450000,-3480000,-3480000,29000,29000,29000,26999000,26999000,26999000,47108000,0,57044000,0.39379,0.20269,0.13355,0.12303,0.08278,1.96737,2.94212,0.48635,0,0.3114,0.30999,2.33169,2.52941,0.61264,0.11182,0.22,-2.8143,-3.01268
"26","2017_Q3",47.4760317460317,"Up",203180000,-124463000,78717000,-41397000,-41397000,37320000,72000,122000,37392000,37392000,-12788000,24604000,24604000,24604000,24604000,150488000,150488000,63306000,63306000,50092000,7230000,3437000,271116000,65027000,19848000,1615000,13145000,5088000,84875000,355991000,71049000,43486000,986000,26577000,71049000,23662000,14427000,9235000,23662000,94711000,150000,35350000,-1.8e+07,244332000,-552000,261280000,261280000,355991000,24604000,3255000,34000.0000000001,-5079000,22814000,-4973000,-4973000,71000,71000,71000.0000000037,17912000,17912000,17912000,40575000,7.27595761418343e-12,43311000,0.38742,0.18368,0.12109,0.09417,0.06911,1.76032,3.8159,0.36249,0,0.26422,0.26308,2.18192,2.80423,0.46511,0.08635,0.152,-3.70888,-4.03237
"27","2017_Q4",43.8992063492064,"Down",194564000,-118644000,75920000,-39158000,-39158000,36762000,146000,197000,36908000,36908000,-12623000,24285000,24285000,24285000,24285000,105666000,105666000,68710000,68710000,48440000,8563000,5052000,231379000,65654000,19761000,1615000,13145000,5001000,85415000,316794000,78433000,49673000,11000,28749000,78433000,21915000,14390000,7525000,21915000,100348000,150000,35561000,-1.8e+07,198767000,-32000,216446000,216446000,316794000,24285000,3243000,64000,716000,28308000,-3366000,-3366000,86000,86000,-69764000,-44822000,-44822000,-44822000,40005000,0,49978000,0.39021,0.18895,0.12482,0.1122,0.07666,2.05798,2.95002,0.46362,6.7762635780344e-21,0.26075,0.25965,2.08908,2.32242,0.53662,0.39493,0.20967,-2.64132,-2.87433
"28","2018_Q1",42.1152459016393,"Down",212066000,-126120000,85946000,-41557000,-41557000,44389000,71000,121000,44460000,44460000,-15299000,29161000,29161000,29161000,29161000,136372000,136372000,71319000,71319000,53355000,7275000,7275000,268321000,65150000,20512000,1615000,13145000,5752000,85662000,353983000,87206000,58100000,89000,29017000,87206000,21159000,12087000,9072000,21159000,108365000,150000,36144000,-1.8e+07,227928000,-604000,245618000,245618000,353983000,29161000,3234000,2028000,-1728000,32695000,-2168000,-2168000,179000,179000,179000,30706000,30706000,30706000,47623000,-4.54747350886464e-13,59026000,0.40528,0.20932,0.13751,0.11873,0.08238,2.02414,3.07686,0.44119,0,0.31307,0.31163,2.27671,2.6353,0.63369,0.10931,0.22126,-2.86357,-3.0722
"29","2018_Q2",40.2184375,"Down",259832000,-155329000,104503000,-46723000,-46723000,57780000,261000,311000,58041000,58041000,-19769000,38272000,38272000,38272000,38272000,175915000,175915000,86138000,86138000,57326000,3857000,3857000,323236000,66150000,20391000,1615000,13145000,5631000,86541000,409777000,175727000,54339000,15870000,35640000,175727000,20579000,11825000,8754000,20579000,196306000,150000,36231000,-1.8e+07,196322000,-1232000,213471000,213471000,409777000,38272000,3531000,155000,1584000,43542000,-4045000,-4045000,46000,46000,46000,39543000,39543000,39543000,61311000,0,78619000,0.40219,0.22237,0.1473,0.17928,0.0934,2.05422,1.83942,0.91959,8.470329472543e-22,0.41078,0.40788,2.78879,2.28959,0.84382,0.16352,0.33591,-2.86922,-3.04457
"30","2018_Q3",48.0366666666667,"Up",244119000,-148039000,96080000,-45423000,-45423000,50657000,255000,306000,50912000,50912000,-16932000,33980000,33980000,33980000,33980000,128836000,128836000,80293000,80293000,59725000,11059000,11059000,279913000,69359000,20853000,1615000,13145000,6093000,90212000,370125000,96784000,64726000,73000,31985000,96784000,22368000,13846000,8522000,22368000,119152000,150000,36506000,-1.8e+07,230302000,2015000,250973000,250973000,370125000,33980000,3556000,139000,-8879000,28796000,-6233000,-6233000,236000,236000,-69642000,-47079000,-47079000,-47079000,54213000,-9.09494701772928e-13,56033000,0.39358,0.20751,0.13919,0.13539,0.09181,1.649,2.89214,0.47476,0,0.36465,0.36206,2.6197,2.69164,0.6013,0.37996,0.20499,-2.37648,-2.5433
"31","2018_Q4",39.808253968254,"Down",227477000,-136284000,91193000,-45443000,-45443000,45750000,376000,426000,46126000,46126000,-5046000,41080000,41080000,41080000,41080000,155023000,155023000,75942000,75942000,60832000,13219000,13219000,305016000,75009000,20667000,1615000,13145000,5907000,95676000,400692000,90760000,58499000,103000,32158000,90760000,16427000,7752000,8675000,16427000,107187000,150000,36662000,-1.8e+07,271382000,3311000,293505000,293505000,400692000,41080000,3186000,-5990000,-3856000,34420000,-8350000,-8350000,117000,117000,117000,26187000,26187000,26187000,48936000,0,41776000,0.40089,0.20112,0.18059,0.13996,0.10252,1.01694,3.36069,0.3652,0,0.44073,0.43776,2.44053,3.14732,0.4482,0.13255,0.13479,-3.16787,-3.38848
