"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_compensation","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_long_term_investment","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"11","2013_Q4",9.65203125,"Up",17137000,-10387000,6750000,-5e+06,-3887000,-1113000,1750000,70000,-53000,190000,-67000,1820000,1820000,-3e+05,1520000,1520000,1520000,1520000,21631000,5222000,16409000,8357000,8357000,37756000,12974000,1507000,8617000,80718000,8391000,18365000,11538000,27562000,108280000,9523000,1368000,8155000,14701000,11133000,10314000,819000,11133000,25834000,57346000,20705000,4395000,82446000,82446000,108280000,1520000,1520000,1232000,1454000,4206000,446000,-550000,-5264000,-1608000,-1608000,-1756000,5178000,0.39388,0.10212,0.0887,0.01844,0.01404,5.49065,0.31334,0.04782,0.18043,0.17667,2.03427,9.78685,0.03244,-9.40170999999999
"12","2014_Q1",9.97311475409836,"Up",17541000,-11894000,5647000,-5817000,-3821000,-1996000,-170000,127000,-39000,162000,4000.00000000003,-43000,-43000.0000000002,-5.82076609134674e-11,-43000,-43000,-43000,-43000,21730000,3460000,18270000,7781000,7781000,37521000,13984000,1517000,8617000,81016000,8316000,19577000,12476000,27893000,108909000,9169000,1205000,7964000,9327000,11130000,10374000,756000,17130000,26457000,57877000,20662000,3913000,82452000,82452000,108909000,-43000,-43000,-220000,-2542000,-392000,-1335000,-1910000,1106000,-1196000,-1196000,-1762000,6158000,0.32193,-0.00969,-0.00244999999999999,-0.00052,-0.00039,8.68618,0.32088,0.05654,-0.00509000000000001,-0.00495999999999999,2.07672,9.76169,-0.00043,91.6
"13","2014_Q2",9.39095238095238,"Down",16827000,-10561000,6266000,-5303000,-3560000,-1743000,963000,93000,-59000,143000,9000,1056000,1056000,-380000,676000,676000,676000,676000,20972000,4149000,16823000,12616000,12616000,39221000,11246000,1623000,6263000,84055000,9242000,19686000,12608000,28928000,112983000,9379000,1341000,8038000,9385000,11193000,10448000,745000,20393000,29778000,58387000,21338000,3480000,83205000,83205000,112983000,676000,676000,1270000,-4115000,-2169000,961000,-495000,3324000,660000,660000,689000,9206000,0.37238,0.05723,0.04017,0.00812,0.00598,8.95631,0.35789,0.08148,0.07962,0.07747,1.982,9.80047,0.00652,-12.21807
"14","2014_Q3",9.6240625,"Up",17007000,-10775000,6232000,-4968000,-3485000,-1483000,1264000,897000,-36000,208000,725000,2161000,2161000,-770000,1391000,1391000,1391000,1391000,20941000,5062000,15879000,11318000,11318000,40667000,11070000,2202000,5418000,83996000,9998000,20014000,12800000,30012000,114008000,6805000,1406000,5399000,6805000,11247000,10520000,727000,21347000,28152000,58846000,22729000,4281000,85856000,85856000,114008000,1391000,1391000,794000,-2519000,-334000,739000,-591000,918000,-7000,-7000,913000,10100000,0.36644,0.07432,0.08179,0.0162,0.0122,12.34328,0.3279,0.08859,0.16327,0.15745,1.99619,10.07733,0.01298,-8.57674
"15","2014_Q4",9.53671875,"Down",18218000,-12107000,6111000,-4852000,-3489000,-1363000,1259000,379000,-25000,424000,-20000,1638000,1638000,-420000,1218000,1218000,1218000,1218000,22632000,8561000,14071000,12124000,12124000,42076000,9228000,1335000,3857000,86060000,10193000,20122000,12931000,30315000,116375000,7544000,940000,6604000,7544000,11309000,10592000,717000,21409000,28953000,59270000,23947000,4205000,87422000,87422000,116375000,1218000,1218000,979000,1e+06,3197000,1691000,917000,65000,4179000,4179000,3499000,10100000,0.33544,0.06911,0.06686,0.01393,0.01047,11.40774,0.33119,0.08679,0.14267,0.13752,2.13393,10.24001,0.01119,-9.95393
"16","2015_Q1",10.3611475409836,"Up",19498000,-13357000,6141000,-4754000,-3530000,-1224000,1387000,58000,-36000,105000,-11000.0000000001,1445000,1445000,-690000,755000,755000,755000,755000,23728000,7698000,16030000,7741000,7741000,41227000,15166000,1294000,10439000,87862000,11240000,20359000,13020000,31599000,119461000,9697000,2336000,7361000,9697000,11318000,10724000,594000,21418000,31115000,59630000,24702000,4014000,88346000,88346000,119461000,755000,755000,-1694000,1416000,2948000,-1560000,-3405000,-40000.0000000001,-497000,-497000,-863000,10100000,0.31496,0.07114,0.03872,0.00855,0.00632,9.06074,0.35219,0.08455,0.08821,0.08531,2.27797,10.32153,0.00688,-9.82552
"17","2015_Q2",10.9766666666667,"Up",19740000,-14075000,5665000,-4737000,-3498000,-1239000,928000,381000,-34000,414000,1000,1309000,1309000,-590000,719000,719000,719000,719000,19754000,4543000,15211000,14720000,14720000,42806000,14809000,1185000,10447000,92089000,11998000,20461000,13144000,32459000,124548000,11035000,3274000,7761000,11035000,11330000,10774000,556000,23730000,34765000,60057000,25421000,4305000,89783000,89783000,124548000,719000,719000,1069000,-7432000,-5644000,1212000,59000,2326000,-3259000,-3259000,-3155000,12400000,0.28698,0.04701,0.03642,0.00801,0.00577,8.34517,0.38721,0.09956,0.08381,0.08118,2.30104,10.46576,0.00633,-7.92457
"18","2015_Q3",9.346875,"Down",19243000,-12569000,6674000,-4878000,-3472000,-1406000,1796000,153000,-47000,211000,-11000,1949000,1949000,-660000,1289000,1289000,1289000,1289000,20245000,6415000,13830000,12861000,12861000,41265000,15780000,1312000,11305000,90151000,13232000,20658000,13364000,33890000,124041000,10314000,3774000,6540000,10314000,11426000,10914000,512000,22826000,33140000,60458000,26710000,3733000,90901000,90901000,124041000,1289000,1289000,1264000,584999.999999997,3138000,1500000,-467000,-997000,1674000,1674000,1872000,11400000,0.34683,0.09333,0.06699,0.01418,0.01039,8.74064,0.36457,0.09191,0.14991,0.14544,2.23796,10.57178,0.01133,-4.92483
"19","2015_Q4",8.985625,"Down",18381000,-12485000,5896000,-4898000,-3578000,-1320000,998000,79000,-32000,129000,-18000,1077000,1077000,-2e+05,877000,877000,877000,877000,18288000,6070000,12218000,10360000,10360000,41036000,17626000,2053000,12369000,87310000,13078000,20459000,13495000,33537000,120847000,9140000,3504000,5636000,9140000,11595000,11116000,479000,19995000,29135000,60857000,27587000,3268000,91712000,91712000,120847000,877000,877000,1303000,-465000,1715000,1482000,1016000,-2991000,-260000,-260000,-345000,8400000,0.32077,0.0543,0.04771,0.00956,0.00726,9.55252,0.31768,0.06951,0.10186,0.09883,2.13497,10.65244,0.00785,-9.90782
"20","2016_Q1",8.28622950819672,"Down",19200000,-13887000,5313000,-5360000,-3659000,-1701000,-47000,248000,-26000,288000,-14000,201000,201000,-260000,-59000,-58999.9999999999,-58999.9999999999,-58999.9999999999,18408000,7222000,11186000,9689000,9689000,38239000,17263000,1271000,12929000,83599000,12686000,21540000,13563000,34226000,117825000,8350000,1720000,6630000,8350000,11665000,11318000,347000,17665000,26015000,61392000,27528000,2890000,91810000,91810000,117825000,-58999.9999999999,-59000,-2324000,2112000,2673000,1121000,550000,-2238000,985000,985000,1152000,6e+06,0.27672,-0.00245000000000001,-0.00307,-0.00064,-5e-04,10.01186,0.28336,0.05092,-0.00681999999999996,-0.00652,2.21783,10.60514,-0.00054,264
