"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2014_Q3",6399.623125,"Up",151682000,-113040000,-24547000,-96000,-54116000,-34281000,38642000,-9269000,-9434000,165000,29373000,-27307000,2066000,1271000,1158000,1158000,1158000,36555000,36555000,8613000,107151000,4213000,102785000,152319000,1470248000,1787191000,-316943000,24548000,24548000,1494796000,1647115000,160503000,160503000,76034000,50289000,236537000,222245000,60469000,730478000,967015000,537175000,142925000,680100000,680100000,1647115000,1158000,54117000,35946000,-10936000,80285000,-5117000,-169250000,-174367000,-706000,-706000,-94788000,-94788000,-94788000,92759000,508233000,0.25476,0.00763,0.0017,7e-04,0.64395,1.42187,0.30856,3.24041,3.23294,424.44954,1903.11397,0.00082,5.08498,12.20636
"12","2014_Q4",3813.62515625,"Down",156371000,-114897000,-14814000,-3291000,-63241000,-33551000,41474000,-13047000,-13228000,181000,28427000,50846000,79273000,48848000,48782000,48782000,48782000,92618000,92618000,9996000,111461000,3924000,94237000,214075000,1823208000,2200941000,-377733000,28948000,23724000,1852156000,2066231000,172568000,172568000,57951000,57951000,230519000,247244000,55194000,1055170000,1285689000,588835000,191707000,780542000,780542000,2066231000,48782000,63241000,-16613000,22583000,117993000,-177264000,-177472000,-354736000,292806000,292806000,56063000,56063000,56063000,104715000,807926000,0.26523,0.31196,0.0625,0.02361,0.92867,1.64717,0.39101,133.62787,132.99654,428.34496,2138.1281,0.02657,6.831,17.24714
"13","2015_Q1",2816.86918032787,"Down",123185000,-44439000,-18496000,-876000,-70300000,45233000,6335000,-14502000,-14450000,-52000,-8167000,-60738000,-68905000,-42714000,-43188000,-43188000,-43188000,2584000.00000001,2584000.00000001,15353000,190538000,12522000,91776000,208475000,1756477000,2348550000,-592073000,41137000,23372000,1797614000,2006089000,145788000,145788000,52659000,52659000,198447000,226952000,61285000,1067571000,1266018000,591552000,148519000,740071000,740071000,2006089000,-43188000,70299000,52026000,-15141000,63996000,-802000,-183482000,-185833000,-1197000,31803000,-90034000,-90034000,-90034000,76634000,840619000,0.05143,-0.35059,-0.05836,-0.02153,1.05053,1.71067,0.41903,-117.95552,-117.4848,336.44418,2021.28979,-0.02389,10.93555,132.2865
"14","2015_Q2",2548.52095238095,"Down",73076000,-82870000,-16872000,-498000,-59004000,-6496000.00000003,-29058000,-14287000,-14238000,-49000,-43345000,13387000,-29958000,-18421000,-18421000,-18421000,-18421000,70514000,70514000,18312000,158929000,14395000,75478000,247755000,1.816e+09,2465015000,-649015000,50995000,32656000,1866995000,2114750000,119004000,119004000,42215000,42215000,161219000,220452000,66323000,1027765000,1188984000,795668000,130098000,925766000,925766000,2114750000,-18421000,59004000,14841000,12132000,67556000,-12984000,-154300000,-167284000,-8641999.99999997,167658000,67930000,67930000,67930000,29946000,807313000,-0.39764,-0.25208,-0.0199,-0.00871,1.53676,1.28432,0.38175,-45.97434,-45.97434,182.37995,2310.48717,-0.00942999999999999,24.60425,-25.35615
"15","2015_Q3",915.77015625,"Down",90422000,-101423000,-21602000,-5748000,-69925000,-4148000,-31896000,-14271000,-14468000,197000,-46167000,-20005000,-66172000,-41165000,-41165000,-41165000,-41165000,15340000,15340000,10340000,142746000,13870000,73457000,168426000,1890974000,2607928000,-716954000,33486000,22176000,1924460000,2092886000,120858000,120858000,50566000,50566000,171424000,182938000,53816000,1032944000,1204368000,799584000,88934000,888518000,888518000,2092886000,-41165000,69925000,21279000,-18777000,31262000,421000,-128806000,-128385000,-1051000,41949000,-55174000,-55174000,-55174000,38029000,850006000,-0.35275,-0.45525,-0.04633,-0.01967,0.98251,1.35548,0.40614,-93.44384,-93.44384,205.25637,2016.92045,-0.02142,21.94814,-26.16836
"16","2015_Q4",738.42234375,"Down",72149000,-85843000,-17818000,-6979000,-58635000,-2411000,-33930000,-16150000,-14073000,-2077000,-50080000,-130517000,-180597000,-112298000,-112298000,-112298000,-112298000,25326000,25326000,8747000,135055000,11528000,63523000,169128000,1749208000,2217381000,-468173000,25345000,18445000,1774553000,1943681000,149063000,149063000,43446000,43446000,192509000,95923000,35851000,971622000,1164131000,802915000,-23365000,779550000,779550000,1943681000,-112298000,58635000,104877000,23492000,74706000,-3429000,-87099000,-90528000,-192000,25808000,9985999.99999999,9985999.99999999,9985999.99999999,24705000,875699000,-0.47028,-1.55647,-0.14405,-0.05778,0.87855,1.49334,0.45054,-254.71157,-254.71157,163.64659,1768.15618,-0.06413,34.42109,-25.06257
"17","2016_Q1",260.828360655738,"Down",57032000,-79560000,-14027000,-2602000,-57357000,-5574000,-38539000,-14847000,-14273000,-574000,-53386000,-580328000,-633714000,-573663000,-573663000,-573663000,-573663000,21341000,21341000,8543000,90190000,4078000,56546000,120074000,1137266000,2080347000,-943081000,2301000,2301000,1139567000,1259641000,96360000,96360000,39613000,39613000,135973000,42595000,42595000,914261000,1050234000,806435000,-597028000,209407000,209407000,1259641000,-573663000,57357000,565071000,3734000,52499000,-3199000,-64726000,-66376000,-116000,9892000,-3985000,-3985000,-3985000,18818000,871666000,-0.67574,-10.05862,-2.73946,-0.45542,0.88307,5.01528,0.692,-1299.7356,-1299.7356,129.21614,474.44882,-0.51053,45.18679,-22.06401
"18","2016_Q2",294.78859375,"Up",44174000,-47484000,-17685000,-266000,-26379000,-3154000,-20397000,-14927000,-14547000,-380000,-35324000,-11913000,-47237000,-47237000.0000001,-47237000,-47237000,-47237000,218599000,218599000,8798000,60254000,5700000,33502000,287651000,1115397000,2083338000,-967941000,17799000,17799000,1133196000,1420847000,78992000,78992000,35905000,35905000,114897000,46920000,46920000,1141005000,1255902000,809210000,-644265000,164945000,164945000,1420847000,-47236999.9999999,26379000,29264999.9999999,18124000,26531000,-485000,-37405000,-37890000,-383000,208617000,197258000,197258000,197258000,5982000,1094085000,-0.46174,-1.06934,-0.286379999999999,-0.0332500000000001,2.50356,7.61407,0.77002,-0.961450000000013,-0.961450000000241,0.899109999999979,3.35724999999996,-0.0361699999999999,146.35339,-42.92229
"19","2016_Q3",121.1471875,"Down",54530000,-49116000,-13235000,-677000,-30927000,-4277000,-8858000,-17821000,-16527000,-1294000,-26679000,-22798000,-49477000,-49477000,-49477000,-49477000,-49477000,170171000,170171000,8721000,42793000,5426000,33131000,221685000,1071501000,2715835000,-1644334000,4980000,4980000,1076481000,1298166000,55130000,55130000,25638000,25638000,1147269000,33093000,33093000,33093000,1180362000,811546000,-693742000,117804000,117804000,1298166000,-49477000,30927000,31476000,-24701000,-11775000,-292000,-19883000,-20175000,-1811000,-16478000,-48428000,-48428000,-48428000,22069000,1066501000,-0.16244,-0.90734,-0.41999,-0.03811,0.19323,10.01971,0.82154,-111.72759,-111.72759,123.13814,266.02173,-0.04064,40.61489,-101.18876
"20","2016_Q4",126.494285714286,"Up",49325000,-50067000,-18671000,-2.3283064365387e-10,-27296000,-4100000,-13509000,-12457000,-15142000,2685000,-25966000,-8936000,-34902000,-34902000,-34902000,-34902000,-34902000,133430000,133430000,8994000,34322000,5125000,27104000,176746000,1039289000,2708951000,-1669662000,8362000,8362000,1047651000,1224397000,55930000,55930000,23197000,23197000,1101870000,37771000,37771000,37770999.9999999,1139641000,813400000,-728644000,84756000,84756000,1224397000,-34902000,27296000,12054000,11374000,15822000,-248000,-9910000,-10158000,1595000,-42405000,-36741000,-36741000,-36741000,13787000,1022743000,-0.27388,-0.70759,-0.41179,-0.02851,0.16041,13.44614,0.8353,-78.62298,-78.62298,111.11336,190.92801,-0.03047,64.50374,-65.83115
"21","2017_Q1",197.748548387097,"Up",-79440000,94140000,34499000,-2756000,56537000,5860000,42157000,40657000,40560000,97000.0000000005,82814000,51462000,134276000,134276000,134276000,134276000,134276000,80565000,80565000,4685000,27178000,5915000,21263000,112428000,1018968000,2713451000,-1694483000,3082000,3082000,1022050000,1134478000,61328000,61328000,23773000,23773000,1070466000,44951000,44951000,44951000,1115417000,815039000,-795978000,19061000,19061000,1134478000,134276000,-56537000,-111534000,-16667000,-50462000,126000,62075000,62201000,172000,-134328000,-122589000,-122589000,-122589000,-14380000,985365000,-0.53068,-1.69028,7.04454,0.11836,0.10503,58.51828,0.86856,302.38256,302.38256,-178.89474,42.92438,0.12796,-62.92072,21.46263
"22","2017_Q2",53.8633333333333,"Down",52559000,-41032000,-12094000,-3407000,-21212000,-4319000,-1102999.99999999,-3177000,-4568000,1391000,-4280000,-89996000,-94276000,-94275999.9999999,-94276000,-94276000,-94276000,91935000,91935000,4050000,31528000,6451000,25077000,127513000,1004915000,2719339000,-1714424000,2737000,2737000,1007652000,1135165000,71111000,71111000,24788000,24788000,287566000,921424000,921424000,921424000,1208990000,816429000,-890254000,-73825000,-73825000,1135165000,-94276000,21212000,61767000,26949000,15652000,-640000,-3424999.99999999,-4065000,-335000,-335000.00000003,11252000,11252000,11252000,20109000,191667000,-0.02099,-1.79372,1.27702,-0.08305,0.44342,-16.37643,0.16885,-1.90640999999999,-1.90640999999994,1.06282999999999,-1.49285999999999,-0.09071,4.95957,-90.41886
"23","2017_Q3",28.0344444444444,"Down",28114000,-23742000,-16139000,-359000,-4836000,-2408000,-3543000,-37000,-195000,158000.000000001,-3580000,-98095027.4941075,-3580000,-3580000,-3580000,-3580000,-3580000,54212000,54212000,3942000,26165000,4682000,21483000,84319000,699486000,703752000,-4266000,2739000,2739000,702225000,786544000,28586000,28586000,22321000,22321000,50907000,49226000,49226000,49226000,100133000,689991000,-3580000,686411000,686411000,786544000,-3580000,4836000,8013000,-13102000,-3833000,-5143000,-4913000,-10056000,-2080000,-2080000,-15969000,-15969000,-15969000,1293000,0,-0.12602,-0.12734,-0.00522,-0.00455,1.65633,0.14588,0,-0.17576,-0.17576,1.38023,33.69881,-0.00487,-41.9273,15.30116
"24","2017_Q4",30.8795238095238,"Up",68589000,-52527000,-15092000,-3699000,-28065000,-5671000,-607000.000000001,-4548000,-5656000,1108000,-5155000,7815000,2659999.99999999,2660000.00000001,2660000,2660000,2660000,31096000,31096000,3270000,35011000,5032000,29931000,69377000,731930000,742701000,-10770999.9999998,2756000,2750000,734686000,804063000,50848000,50848000,21872000,19828000,72720000,38276000,38276000,38275999.9999998,110996000,692319000,748000.000000119,693067000,693067000,804063000,748000,12186000,13431000,-14946000,11419000,-5741000,-42355000,-48096000,-2398000,-2398000,-39075000,-39075000,-39075000,11579000,1.86264514923096e-09,-0.00885000000000005,0.03878,0.00384000000000001,0.00331000000000001,0.95403,0.16015,-1.73472347597681e-18,0.130139999999994,0.130089999999992,3.35579,33.90905,0.00364,-2.68555,51.229
"25","2018_Q1",27.1034426229508,"Down",-25727000,39978000,649000,3720000,32801000,2808000,17262000,5722000,9646000,-3924000,22984000,66816000,89800000,90176000,90176000,90176000,90176000,12711000,12711000,1019000,39423000,6555000,32380000,53153000,774082000,791114000,-17032000,3136000,3130000,777218000,830371000,62129000,62129000,27090000,15667000,89219000,52818000,52818000,52818000,142037000,693354000,-5020000,688334000,688334000,830371000,92088000,-16922000,-57605000,-13225000,4336000,5267000,-25691000,-20424000,2415000,2415000,-13673000,-13673000,-13673000,340000,0,-0.67097,-3.50511,0.13101,0.1086,0.59576,0.20635,0,4.40872,4.40528,-1.2578,33.65278,0.12167,-37.38529,-0.736359999999998
"26","2018_Q2",31.6103125,"Up",64193000,-22303000,-9533000,-29000.0000000019,-7508000,-5233000,25480000,-344999.999999998,-357000,12000,25135000,-11265000,13870000,13870000,13870000,13870000,13870000,5761000,5761000,1308000,51417000,3153000,48138000,58486000,810723000,832124000,-21401000,3198000,3142000,813921000,872407000,69148000,69148000,33908000,18481000,103056000,51139000,51139000,66139000,169195000,694362000,8850000,703212000,703212000,872407000,13870000,7508000,7939999.99999999,-13415000,15903000,-181000,-37664000,-37845000,1621128.42217443,1.5e+07,-6942000,-6942000,-6942000,32988000,1.5e+07,0.39693,0.216069999999999,0.01972,0.0159,0.56752,0.2406,0.01719,0.67811,0.67758,3.13841,34.38017,0.01803,0.28007,0.3626
"27","2018_Q3",32.8306349206349,"Up",71871000,-25773000,-9918000,-221000,-9564000,-6070000,29875000,-527000,-805000,278000,29348000,-24489000,4859000,4859000,4859000,4859000,4859000,21989000,21989000,1434000,58415000,5620000,52756000,81838000,842453000,872156000,-29703000,3151000,3151000,845604000,927442000,50242000,50242000,48771000,20355000,99013000,5.8e+07,5.8e+07,1.18e+08,217013000,696720000,13709000,710429000,710429000,927442000,4859000,9564000,19363000,-7540000,26246000,-1374000,-53818000,-55192000,-794000,45174000,16228000,16228000,16228000,39439000,6e+07,0.41568,0.06761,0.00684,0.00524,0.82654,0.30547,0.06469,0.23716,0.23581,3.50796,34.67537,0.00587,0.963789999999994,1.27233
"28","2018_Q4",25.8944444444444,"Down",74380000,-28365000,-10899000,6000,-10987000,-6485000,33066000,84999.9999999998,-608000,693000,33151000,10212000,43363000,43363000,43363000,43363000,43363000,24007000,24007000,1759000,80702000,5365000,75203000,106468000,828808000,868452000,-39644000,3159000,3159000,831967000,938435000,72720000,72720000,50538000,16119000,123258000,59581000,59581000,59581000,182839000,698524000,57072000,755596000,755596000,938435000,43363000,10987000,-16793000,-12684000,24873000,102420000,-65338000,37082000,-69000,-59937000,2018000,2018000,2018000,44053000,1.49011611938477e-08,0.44455,0.58299,0.05739,0.04621,0.86378,0.24198,0,2.11084,2.09635,3.6207,36.78119,0.05319,-0.54496,-0.72603
"29","2019_Q1",22.6914754098361,"Down",66213000,-27185000,-12103000,-47000,-13824000,-1211000,29265000,-1016000,-833000,-183000,28249000,77845000,106094000,106094000,106094000,106094000,106094000,12916000,12916000,3478000,118417000,4633000,79376000,134811000,917974000,970816000,-52842000,8749000,4885000,926723000,1061534000,79390000,79390000,20086000,19903000,99476000,48145000,48145000,98145000,197621000,700747000,163166000,863913000,863913000,1061534000,106094000,13824000,-73808000,3466000,49576000,-1010000,-107411000,-108421000,-2239000,47761000,-11084000,-11084000,-11084000,43089000,5e+07,0.44198,1.60231,0.12281,0.09994,1.35521,0.22875,0.0471,5.16448,5.13748,3.22314,42.05389,0.11028,0.86064,1.26718
"30","2019_Q2",21.5153968253968,"Down",72594000,-30382000,-10278000,-97000,-15759000,-4248000,30443000,-1139000,-1151000,12000,29304000,-36297000,-6993000,-6993000,-6993000,-6993000,-6993000,32695000,32695000,2484000,84612000,5073000,73139000,119791000,946599000,1014485000,-67886000,36997000,36997000,983596000,1103387000,56021000,56021000,44632000,39743000,100653000,79587000,79587000,144587000,245240000,701974000,156173000,858147000,858147000,1103387000,-6992999.99999997,15759000,38800000,-5845000,41721000,-285000,-36503000,-36788000,-153000,14847000,19780000,19780000,19780000,46202000,6.5e+07,0.41936,-0.09633,-0.00814999999999999,-0.00633999999999998,1.19014,0.28578,0.05891,-0.340180000000001,-0.34018,3.53135,41.74476,-0.00697000000000002,0.69921,1.06116
"31","2019_Q3",21.909375,"Up",85783000,-36820000,-9803000,-408000,-18898000,-7711000,35533000,-374000,-385000,11000,35159000,5863000,41022000,41022000,41022000,41022000,41022000,9149000,9149000,2946000,80739000,5336000,64287000,92834000,1008923000,1095188000,-86265000,43581000,42405000,1052504000,1145338000,45087000,45087000,42921000,40855000,88008000,92324000,92324000,157324000,245332000,702811000,197195000,900006000,900006000,1145338000,41022000,18898000,-4515000,7322000,62727000,-10448000,-74895000,-85343000,-930000,-930000,-23546000,-23546000,-23546000,54431000,6.5e+07,0.41422,0.47821,0.04558,0.03582,1.05484,0.27259,0.05675,1.98952,1.98145,4.16039,43.64935,0.0388,1.02609,1.57181
"32","2019_Q4",19.48359375,"Down",75176000,-36591000,-9920000,-33000,-19900000,-6738000,24195000,-317000,-322000,5000,23878000,12015000,35893000,35893000,35893000,35893000,35893000,8371000,8371000,7312000,103545000,5813000,81324000,119228000,1034952000,1140653000,-105701000,45563000,41973000,1080515000,1199743000,63836000,63836000,39972000,39747000,103808000,78011000,78011000,158011000,261819000,704836000,233088000,937924000,937924000,1199743000,35893000,19900000,-6478000,9245000,58560000,-1374000,-72721000,-74095000,-243000,14757000,-778000,-778000,-778000,44095000,8e+07,0.32184,0.47745,0.03827,0.02992,1.14854,0.27915,0.06668,1.73959,1.72953,3.64348,45.45747,0.03275,1.62442,2.96049
"33","2020_Q1",16.5653225806452,"Down",79667000,-75986000,-9667000,-259000,-21896000,-44164000,26588000,-693000,-792000,99000.0000000001,25895000,-28750000,-2855000,-2855000,-2855000,-2855000,-2855000,11008000,11008000,7726000,91782000,7048000,81850000,110516000,1053575000,1180189000,-126614000,42227000,42106000,1095802000,1206318000,57638000,57638000,47101000,40711000,104739000,84889000,84889000,164889000,269628000,706457000,230233000,936690000,936690000,1206318000,-2855000,21896000,32825000,9773000,61639000,-564000,-58368000,-58932000,-70000,-70000,2637000,2637000,2637000,48484000,8e+07,0.33374,-0.03584,-0.00305,-0.00237,1.05516,0.28785,0.06632,-0.13833,-0.13785,3.86002,45.38447,-0.00259,1.42298,2.59485
"34","2020_Q2",16.0479365079365,"Down",60405000,-46272000,-9429000,-373000,-21584000,-14886000,10652000,-1887000,-217000,-1670000,8765000,69786000,78551000,78551000,78551000,78551000,78551000,11052000,11052000,7212000,146589000,5948000,62668000,164853000,1043181000,1190971000,-147790000,56035000,43457000,1099216000,1264069000,63733000,63733000,32631000,31383000,96364000,92286000,92286000,151286000,247650000,707635000,308784000,1016419000,1016419000,1264069000,78551000,21584000,-62045000,9904000,47994000,-646000,-26225000,-26871000,-71000,-21071000,52000,52000,52000,32236000,5.9e+07,0.17634,1.30041,0.07728,0.06214,1.71073,0.24365,0.04667,3.80411,3.79767,2.92532,49.22364,0.06727,1.48741,4.50131
