"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"12","2014_Q3",2.5659375,"Up",56933000,-35347000,21586000,-14354000,-14354000,7232000,-472000,-472000,6760000,6285000,-75000,6210000,6210000,6210000,6210000,2443000,2443000,32088000,32088000,36840000,2135000,1724000,304000,107000,73506000,36695000,168899000,-132204000,8126000,1404000,6722000,44821000,118327000,29535000,17282000,12253000,22668000,52775000,6e+06,29847000,25763000,3986000,35847000,88622000,115964000,-71077000,-15182000,29705000,29705000,118327000,6210000,1030000,197000,-14735000,-7298000,-1053000,-1053000,9736000,9620000,1269000,1269000,1269000,8262000,28668000,-7451000,0.37915,0.12703,0.10908,0.20906,0.05248,-1.19984,1.39282,2.9834,0.24228,0.42622,0.42398,3.90755,2.03878,-0.51139,0.07039,-0.08446,3.17417,3.62624
"13","2014_Q4",2.493125,"Down",59454000,-38293000,21161000,-16653000,-16653000,4508000,-323000,-323000,4185000,3394000,14000,3408000,3408000,3408000,3408000,1141000,1141000,17542000,17542000,24475000,2440000,1975000,277000,188000,45598000,36510000,167233000,-130723000,8098000,1439000,6659000,44608000,90206000,22398000,12771000,9627000,3777000,26747000,0,29072000,25192000,3780000,29072000,55819000,115964000,-67597000,-13980000,34387000,34387000,90206000,3408000,1066000,2173000,17862000,24509000,-879000,-879000,-24891000,-24932000,-1302000,-1302000,-1302000,5574000,3777000,22543000,0.35592,0.07582,0.05732,0.09911,0.03778,6.61473,1.70479,1.62326,0.04187,0.23268,0.23043,4.05912,2.34772,1.53909,0.05069,0.33528,0.47291,0.58474
"14","2015_Q1",2.43819672131148,"Down",27775000,-21533000,6242000,-11169000,-11169000,-4927000,-331000,-331000,-5258000,-4277000,-45000,-4322000,-4322000,-4322000,-4322000,1051000,1051000,8468000,8468000,27780000,2340000,1795000,290000,52000,39639000,36305000,168122000,-131817000,7400000,611000,6789000,43705000,83344000,20408000,12355000,8053000,2248000,22656000,6e+06,27083000,23951000,3063000,33083000,55739000,116125000,-74540000,-13980000,27605000,27605000,83344000,-4322000,1296000,-553000,1796000,-1783000.00000001,-591000,-661000,1547000,1574999.99999999,-869000,-869000,-869000,-3631000,8248000,-2381000,0.22473,-0.17739,-0.15561,-0.15657,-0.05186,0.5509,1.7496,2.01916,0.09896,-0.29159,-0.29599,1.8739,1.86243,-0.16064,-0.06867,-0.03783,-1.9821,-1.46073
"15","2015_Q2",2.63333333333333,"Up",23383000,-15353000,8030000,-11575000,-11575000,-3545000,-329000,-329000,-3874000,-3874000,19000,-3855000,-3855000,-3855000,-3855000,1471000,1471000,8914000,8914000,41592000,2513000,1924000,311000,75000,54490000,35903000,166279000,-130376000,7462000,611000,6851000,43365000,97855000,25853000,16640000,9213000,14586000,40439000,6e+06,27211000,23538000,3629000,33211000,73650000,116258000,-78394000,-13659000,24205000,24205000,97855000,-3855000,1071000,474000,-8941000,-11251000,-667000,-667000,12338000,12338000,420000,420000,420000,-2474000,20586000,-12101000,0.34341,-0.15161,-0.16486,-0.15926,-0.0394,3.13904,1.34746,3.04276,0.21037,-0.26192,-0.26192,1.58873,1.64458,-0.82219,-0.05354,-0.16806,-7.72635,-5.3921
"16","2015_Q3",2.6625,"Up",53042000,-32346000,20696000,-14620000,-14620000,6076000,-505000,-505000,5571000,5509000,-306000,5203000,5203000,5203000,5203000,1130000,1130000,29414000,29414000,45283000,1917000,1350000,317000,47000,77744000,36046000,165016000,-128970000,7295000,305000,6990000,43341000,121085000,31535000,20382000,11153000,27545000,59080000,6e+06,26281000,23132000,3112000,32281000,91361000,116253000,-73191000,-13338000,29724000,29724000,121085000,5203000,1097000,762000,-18995000,-11933000,-1237000,-1237000,12959000,12829000,-341000,-341000,-341000,7173000,33545000,-12753000,0.39018,0.11455,0.09809,0.17504,0.04297,-2.45109,1.31591,3.07364,0.27704,0.35334,0.34981,3.60217,2.01861,-0.86608,0.0581,-0.14241,4.51903,5.33492
"17","2015_Q4",3.3428125,"Up",72675000,-46002000,26673000,-17576000,-17576000,9097000,-295000,-295000,8802000,8855000,73000,8928000,8928000,8928000,8928000,1595000,1595000,20369000,20369000,27168000,1421000,1014000,266000,141000,50553000,35275000,156017000,-120742000,7443000,601000,6842000,42718000,93271000,24255000,13189000,11066000,109000,24364000,3974000,30436000,27368000,3028000,34410000,58774000,116660000,-63414000,-18749000,34497000,34497000,93271000,8928000,1350000,865000,22335000,33478000,-1671000,-1671000,-30685000,-30761000,1046000,1046000,1046000,10447000,4083000,31038000,0.36702,0.12517,0.12285,0.25881,0.09572,3.47648,2.07491,1.70374,0.04378,0.60227,0.59306,4.90252,2.3271,2.09377,0.12936,0.44972,0.23815,0.2735
"18","2016_Q1",3.15459016393443,"Down",19495000,-15284000,4211000,-9882000,-9882000,-5671000,-152000,-152000,-5823000,-5823000,96000.0000000001,-5727000,-5727000,-5727000,-5727000,815000,815000,9929000,9929000,34603000,1425000,1074000,317000,34000,46772000,34820000,153811000,-118991000,7843000,703000,7140000,42663000,89435000,22115000,12982000,9133000,663000.000000004,22778000,6097000,27247000,23330000,3879000,33344000,56122000,116783000,-69140000,-14330000,33313000,33313000,89435000,-5727000,1239000,1219000,481999.999999993,-2787000,-678000,-622000,2628999.99999999,2629000,-780000,-780000,-780000,-4432000,6760000,-4724000.00000001,0.216,-0.2909,-0.29377,-0.17191,-0.06404,0.824860000000001,2.05338,1.68469,0.07559,-0.38809,-0.37426,1.32107,2.25744,-0.320120000000001,-0.08507,-0.0701700000000001,-1.34138,-1.04832
"19","2016_Q2",3.55046875,"Up",20827000,-12764000,8063000,-10909000,-10909000,-2846000,-264000,-264000,-3110000,-3109000,-29000,-3138000,-3138000,-3138000,-3138000,1033000,1033000,8882000,8882000,53924000,2231000,1904000,260000,67000,66070000,34342000,151935000,-117593000,7769000,698000,7071000,42111000,108181000,25901000,16894000,9007000,18416000,44317000,5804000,27432000,22968000,4425000,33236000,77553000,116907000,-72279000,-1.4e+07,30628000,30628000,108181000,-3138000,1305000,474000,-15167000,-16526000,-1096000,-1096000,17840000,17840000,218000,218000,218000,-1541000,24220000,-17775000,0.38714,-0.13665,-0.15067,-0.10246,-0.02901,5.66444,1.49085,2.53209,0.22388,-0.21168,-0.21168,1.40495,2.06611,-1.19907,-0.03814,-0.21603,-15.04672,-8.14722
"20","2016_Q3",4.30421875,"Up",61354000,-37616000,23738000,-16226000,-16226000,7512000,-486000,-486000,7026000,7026000,-141000.000000001,6885000,6885000,6885000,6885000,2428000,2428000,33835000,33835000,51871000,1772000,1461000,268000,43000,89906000,34402000,149741000,-115339000,7644000,573000,7071000,42046000,131952000,30926000,18014000,12912000,31068000,61994000,5936000,26291000,22606000,3654000,32227000,94221000,116795000,-65394000,-13670000,37731000,37731000,131952000,6885000,1250000,643000,-18838000,-10060000,-838000,-838000,12557000,12293000,1395000,1395000,1395000,8762000,37004000,-10773000,0.3869,0.12244,0.11222,0.18248,0.05218,-1.56471,1.45024,2.49718,0.28044,0.46248,0.45368,4.12131,2.53449,-0.72365,0.06815,-0.10664,3.94613,4.60277
"21","2016_Q4",4.13650793650794,"Down",67795000,-43484000,24311000,-17780000,-17780000,6531000,-326000,-326000,6205000,6206000,17792000,23998000,23998000,23998000,23998000,2309000,2309000,18932000,18932000,31655000,2007000,1279000,263000,465000,54903000,34225000,147775000,-113550000,25453000,18382000,7071000,59678000,114581000,21998000,10587000,11411000,89000,22087000,4547000,25722000,22244000,3445000,30269000,52356000,116961000,-41396000,-13340000,62225000,62225000,114581000,23998000,1239000,-17298000,25614000,33553000,-1303000,-1303000,-32369000,-32369000,-119000,-119000,-119000,7770000,4636000,14289000,0.3586,0.09633,0.35398,0.38566,0.20944,0.59542,2.48576,0.8414,0.04046,1.60297,1.56604,4.52842,4.15637,0.95445,0.25921,0.15434,0.29949,0.3563
"22","2017_Q1",4.10048387096774,"Down",18619000,-15121000,3498000,-8738000,-8738000,-5240000,-205000,-205000,-5445000,-5456000,-17740000,-23196000,-23196000,-23196000,-23196000,788000,788000,9915000,9915000,35689000,2101000,1610000,275000,216000,48493000,34325000,149105000,-114780000,25369000,17008000,8361000,59694000,108187000,21517000,12388000,9129000,68000.0000000037,21585000,4943000,22305000,18699000,3570000,27248000,48833000,117128000,-46380000,-11394000,59354000,59354000,108187000,-23196000,963000,19501000,3272000.00000001,540000.000000007,-1016000,-960000,-786999.999999993,-729000.000000007,-1149000,-1149000,-1149000,-4277000,5011000,15719000,0.18787,-0.28143,-1.24582,-0.39081,-0.21441,-0.677660000000001,2.24661,0.82274,0.04632,-1.54909,-1.53129,1.24342,3.9638,1.04975,-0.26764,0.18137,-0.987369999999999,-0.805920000000001
"23","2017_Q2",4.35746031746032,"Up",20827000,-12764000,8063000,-10909000,-10909000,-2846000,-264000,-264000,-3110000,-3109000,-29000,-3138000,-3138000,-3138000,-3138000,1033000,1033000,8882000,8882000,53924000,2231000,1904000,260000,67000,66070000,34342000,151935000,-117593000,7769000,698000,7071000,42111000,108181000,25901000,16894000,9007000,18416000,44317000,5804000,27432000,22968000,4425000,33236000,77553000,116907000,-72279000,-1.4e+07,30628000,30628000,108181000,-2211000,1267000,-981000,-15618000,-17543000,-1896000,-1896000,19336000,19336000,-103000,-103000,-103000,-1579000,24220000,-19064000,0.38714,-0.13665,-0.15067,-0.10246,-0.02901,6.07521,1.49085,2.53209,0.22388,-0.20961,-0.20961,1.39116,2.04582,-1.2734,-0.03814,-0.2317,-14.68461,-8.14722
"24","2017_Q3",5.35873015873016,"Up",61354000,-37616000,23738000,-16226000,-16226000,7512000,-486000,-486000,7026000,7026000,-141000.000000004,6885000,6885000,6885000,6885000,2428000,2428000,33835000,33835000,51871000,1772000,1461000,268000,43000,89906000,34402000,149741000,-115339000,7644000,573000,7071000,42046000,131952000,30926000,18014000,12912000,31068000,61994000,5936000,26291000,22606000,3654000,32227000,94221000,116795000,-65394000,-13670000,37731000,37731000,131952000,5028000,1334000,3265000,-16871000,-7244000,-1994000,-1994000,11639000,11300000,2062000,2062000,2062000,8846000,37004000,-9878000,0.3869,0.12244,0.11222,0.18248,0.05218,-1.43471,1.45024,2.49718,0.28044,0.4579,0.45455,4.08047,2.50938,-0.65696,0.0681499999999999,-0.0977800000000001,3.90866,4.60277
"25","2017_Q4",5.31460317460317,"Down",82484000,-54708000,27776000,-22633000,-22633000,5143000,-530000,-530000,4613000,4628000,-3034000,1594000,1594000,1594000,1594000,1536000,1536000,21120000,21120000,36377000,1794000,1536000,2e+05,58000,60827000,42743000,158294000,-115551000,22075000,13793000,8282000,64818000,125645000,24776000,13623000,11153000,3278000,28054000,11310000,20707000,17404000,3270000,32017000,60071000,117391000,-40868000,-10949000,65574000,65574000,125645000,2524000,1440000,2193000,22634000,28791000,-8603000,-8603000,-21399000,-21399000,-1211000,-1211000,-1211000,6583000,14588000,23648000,0.33674,0.06235,0.01932,0.02431,0.01269,14.83563,2.16821,0.91608,0.1161,0.10537,0.10423,5.45241,4.33461,1.56319,0.0158,0.23444,1.98268,2.53782
"26","2018_Q1",4.45213114754098,"Down",24622000,-18728000,5894000,-11760000,-11760000,-5866000,-265000,-265000,-6131000,-6131000,-2419000,-8550000,-8550000,-8550000,-8550000,534000,534000,11385000,11385000,42057000,1737000,1537000,171000,29000,55713000,42442000,159419000,-116977000,18468000,10093000,8375000,60910000,116623000,23042000,14106000,8936000,4681000,27723000,1.2e+07,18188000,14664000,3480000,30188000,57911000,117619000,-49648000,-9259000,58712000,58712000,116623000,-8550000,1425000,3168000,1635000,-2322000,-893000,-774000,2094000,2094000,-1002000,-1002000,-1002000,-4441000,16681000,-1280000,0.23938,-0.23824,-0.34725,-0.14563,-0.07331,0.149710000000001,2.00963,0.98636,0.14303,-0.53974,-0.54931,1.55432,3.70633,-0.0808,-0.09136,-0.01368,-3.63589,-2.75264
"27","2018_Q2",4.351875,"Down",22569000,-14884000,7685000,-12274000,-12274000,-4589000,-446000,-446000,-5035000,-5034000,1462000,-3572000,-3572000,-3572000,-3572000,3372000,3372000,8983000,8983000,62498000,2969000,2656000,178000,135000,77822000,41638000,160020000,-118382000,20047000,11534000,8513000,61685000,139507000,27146000,17631000,9515000,24266000,51412000,13990000,18841000,14380000,4413000,32831000,84243000,117847000,-53451000,-9132000,55264000,55264000,139507000,-3572000,1415000,-1073000,-13762000,-16992000,-1141000,-1141000,21325000,20971000,2838000,2838000,2838000,-3174000,38256000,-19539000,0.34051,-0.20333,-0.15827,-0.06464,-0.0256,5.47004,1.51369,1.52437,0.27422,-0.2332,-0.2332,1.47346,3.60802,-1.27564,-0.02974,-0.17389,-10.99055,-7.60166
"28","2018_Q3",4.69825396825397,"Up",74802000,-47670000,27132000,-18717000,-18717000,8415000,-822000,-822000,7593000,7593000,-2118000,5475000,5475000,5475000,5475000,1109000,1109000,44109000,44109000,60296000,2453000,2117000,175000,161000,107967000,41384000,161176000,-119792000,18464000,9973000,8491000,59848000,167815000,37008000,23072000,13936000,36894000,73902000,14139000,20799000,16544000,4210000,34938000,108840000,117791000,-48208000,-10608000,58975000,58975000,167815000,5475000,1410000,2329000,-23463000,-14249000,-542000,-542000,13027000,12528000,-2263000,-2263000,-2263000,9825000,51033000,-12062000,0.36272,0.1125,0.07319,0.09284,0.03263,-2.20311,1.46095,1.84553,0.3041,0.3557,0.35471,4.8598,3.83154,-0.78365,0.04364,-0.09221,5.08132,5.93274
"29","2018_Q4",4.23650793650794,"Down",76809000,-50379000,26430000,-21765000,-21765000,4665000,-630000,-630000,4035000,4035000,-1103000,2932000,2932000,2932000,2932000,2481000,2481000,24281000,24281000,42670000,2044000,1547000,157000,340000,71476000,42065000,163319000,-121254000,16985000,8422000,8563000,59050000,130526000,28129000,18052000,10077000,6232000,34361000,13980000,18901000,14530000,4329000,32881000,67242000,118026000,-45510000,-9232000,63284000,63284000,130526000,2932000,1463000,2088000,27577000,34060000,-1633000,-1633000,-30822000,-31055000,1372000,1372000,1372000,6128000,20212000,33175000,0.3441,0.06074,0.03817,0.04633,0.02246,11.3148,2.08015,1.06254,0.15485,0.18933,0.18817,4.9599,4.08653,2.14226,0.03091,0.32398,2.89344,3.80086
"30","2019_Q1",4.15672131147541,"Down",26536000,-20702000,5834000,-11995000,-11995000,-6161000,-1550000,-293000,-7711000,-7711000,1262000,-6449000,-6449000,-6449000,-6449000,738000,738000,13253000,13253000,47289000,1831000,1616000,175000,40000,63111000,41920000,164678000,-122758000,18082000,9598000,8484000,60002000,123113000,26621000,17760000,8861000,5504000,32125000,15910000,18051000,14487000,3519000,33961000,66086000,118261000,-52192000,-9042000,57027000,57027000,123113000,-6449000,1503000,-688000,5177999.99999999,-456000,-2076000,-2132000,1203000,845000,-1743000,-1743000,-1743000,-4658000,21414000,-2818000,0.21985,-0.23218,-0.24303,-0.11309,-0.05238,0.43697,1.96454,1.15885,0.17394,-0.41636,-0.42013,1.71322,3.68177,-0.18194,-0.06442,-0.0292,-4.43881,-3.35595
"31","2019_Q2",4.24809523809524,"Up",26893000,-17809000,9084000,-12681000,-12681000,-3597000,-888000,-7e+05,-4485000,-4485000,1418000,-3067000,-3067000,-3067000,-3067000,553000,553000,12375000,12375000,63511000,2859000,2532000,263000,64000,79298000,41353000,165512000,-124159000,42657000,11086000,31571000,84010000,163308000,26537000,16354000,10183000,24226000,53702000,16508000,38822000,14218000,24549000,55330000,109032000,118447000,-55259000,-8912000,54276000,54276000,163308000,-3067000,1452000,-1068000,-15603000,-18286000,-1219000,-1219000,19320000,19320000,-185000,-185000,-185000,-2145000,40734000,-20385000,0.33778,-0.13375,-0.11404,-0.05651,-0.01878,6.64656,1.47663,2.00884,0.24943,-0.19805,-0.19805,1.7366,3.50484,-1.31635,-0.02292,-0.15232,-18.7324,-11.1707
