"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q3",0.45125,"Down",55010,-15184,39826,-137043,-137043,-97217,-19943,-19943,-117160,-117160,-117160,-117160,-117160,-117160,30228,30228,18432,18432,574044,68175,690879,19505,19505,710384,317645,91794,203715,22136,116963,352100,352100,786708,340170,340170,1126878,5699541,-6116035,-416494,-416494,710384,-117160,464,2000,90153,-24543,35335,-1165,-25708,-25708,-25708,-96753,457133,0.72398,-1.76726,-2.12979,0.2813,-0.16492,0.87819,-2.70563,0.6435,-0.00618,-0.00618,0.0029,-0.02196,-2.88294,-4.41232,-4.39126
"12","2013_Q4",0.28984375,"Down",11117,-5460,5657,-113527,-113527,-107870,-26814,-26814,-134684,55316,55316,55316,55316,55316,69800,69800,6544.99999999999,6544.99999999999,568620,132716,777681,19040,19040,796721,316603,77288,217501,21814,130331,357500,357500,804434,337465,337465,1141899,5715541,-6060719,-345178,-345178,796721,55316,465,-174000,-48272,-166491,225663,206063,39572,39572,39572,-107405,467796,0.50886,-9.70316,4.9758,-0.16025,0.06943,0.96674,-3.30815,0.58715,0.00291,0.00291,0.00059,-0.01819,0.45112,-3.70556,-3.68959
"13","2014_Q1",0.273606557377049,"Down",123126,-58664,64462,-107234,-107234,-42772,-31173,-31173,-73945,-73945,-73945,-73945,-73945,-73945,69613,69613,90583,90583,657481,42501,860178,18346,18346,878524,326723,83183,240121,3419,155053,416500,416500,898276,335371,335371,1233647,5779541,-6134664,-355123,-355123,878524,-73945,694,-6000,-66564,-145815,92628,145628,-187,-187,-187,-42078,490424,0.52354,-0.34738,-0.60056,0.20822,-0.08417,0.95759,-3.47386,0.55824,-0.00389,-0.00389,0.00647,-0.01867,-0.54652,-10.00074,-9.83847
"14","2014_Q2",0.67047619047619,"Up",373752,-169952,203800,-140836,-140836,62964,-28270,-28270,34694,34694,34694,34694,34694,34694,96120,96120,158838,158838,584959,39477,879394,17231,17231,896625,385575,83239,242862,59474,61447,354500,354500,801522,331232,331232,1132754,5863841,-6099970,-236129,-236129,896625,34694,1115,9300,66143,111252,-72745,-84745,26507,26507,26507,64079,392679,0.54528,0.168460000000001,0.0928299999999991,-0.14693,0.03869,1.09716,-4.79718,0.43795,0.00178,0.00178,0.01923,-0.01215,0.22162,4.62802,4.70998
"15","2014_Q3",1.5371875,"Up",66670,-29204,37466,-204726,-204726,-167260,-35403,-35403,-202663,-202663,-202663,-202663,-202663,-202663,71637,71637,98559,98559,565071,68012,803279,21220,21220,824499,435240,72009,239285,123946,94653,329928,329928,859821,343470,343470,1203291,5923841,-6302633,-378792,-378792,824499,-202663,1166,12000,102985,-86512,45444,66872,-24483,-24483,-24483,-166094,438123,0.56196,-2.50877,-3.03979,0.53502,-0.2458,0.93424,-3.17665,0.53138,-0.01025,-0.01025,0.00337,-0.01915,-3.4158,-2.2065,-2.19112
"16","2014_Q4",1.49921875,"Down",195035,-123782,71253,-169690,-169690,-98437,-24812,-24812,-123249,-123249,-123249,-123249,-123249,-123249,596205,596205,32854,32854,698057,47334,1374450,20236,20236,1394686,454338,73273,233084,147981,65054,367315,367315,886707,330580,330580,1217287,6603281,-6425882,177399,177399,1394686,-123249,1323,36600,-29844,-115170,-39174,639738,524568,524568,524568,-97113.9999999999,395634,0.36533,-0.50471,-0.63193,-0.69476,-0.08837,1.55006,6.86186,0.28367,-0.00603,-0.00603,0.00954,0.00868,-0.21508,2.06531,2.03756
"17","2015_Q1",1.43754098360656,"Down",135727,-110923,24804,-131680,-131680,-106876,-35976,-35976,-142852,-142852,-142852,-142852,-142852,-142852,988681,988681,64298,64298,889560,32881,1975420,56189,57199,2032619,359686,87933,184487,87266,59407,330000,330000,749093,327529,327529,1076622,7524731,-6568734,955997,955997,2032619,-142852,1386,30500,-296495,-407461,-46013,836937,392476,392476,392476,-105490,386936,0.18275,-0.78743,-1.0525,-0.14943,-0.07028,2.63708,1.12618,0.19036,-0.00651,-0.00651,0.00619,0.0436,-0.10637,5.70428,5.63031
"18","2015_Q2",1.32333333333333,"Down",286404,-132736,153668,-151907,-151907,1761,-17351,-17736,-15590,-15590,-15590,-15590,-15590,-15590,1106913,1106913,135912,135912,980195,1317,2224337,53743,54441,2278778,467892,36833,196017,235042,44369,3e+05,3e+05,812261,322360,322360,1134621,7728481,-6584324,1144157,1144157,2278778,-15590,2758,3.63797880709171e-12,-22479,-35311.0000000001,-50207,153543,118232,118232,118232,4518.99999999999,366729,0.53654,0.00614999999999977,-0.0544299999999998,-0.0136299999999999,-0.00684,2.73845,0.991669999999999,0.16093,-0.00069,-0.00069,0.01265,0.05054,-0.01032,-163.79376,-420.32027
"19","2015_Q3",1.1646875,"Down",216377,-120178,96199,-164874,-164874,-68675,-21773,-21773,-90448,-90448,-90448,-90448,-90448,-90448,1454672,1454672,47776,47776,874033,10987,2387468,51378,51732,2439200,386843,31577,206354,148912,28610,349130,349130,764583,248208,248208,1012791,8101181,-6674772,1426409,1426409,2439200,-90448,2709,12000,103579,27840,-40781,319919,347759,347759,347759,-65966,276818,0.44459,-0.31739,-0.41801,-0.06341,-0.03708,3.12258,0.71003,0.11349,-0.00391,-0.00392,0.00936,0.06173,-0.0531,17.85547,17.15113
"20","2015_Q4",0.92953125,"Down",46593,-24903,21690,-224426,-224426,-202736,-31222,-31227,-233958,-233958,-233958,-233958,-233958,-233958,1506501,1506501,35182,35182,929552,7803,2479038,48963,248974,2728012,288130,55625,136151,96354,14974,329130,329130,632234,243827,243827,876061,8760681,-6908730,1851951,1851951,2728012,-233958,2758,45000,-46454,-232654,-38017,484483,51828.9999999999,51828.9999999999,51828.9999999999,-199978,258801,0.46552,-4.35121,-5.02131,-0.12633,-0.08576,3.92108,0.47305,0.09487,-0.00986,-0.00987,0.00196,0.07807,-0.11084,6.23919000000004,6.15430999999993
"21","2016_Q1",0.851311475409836,"Down",223526,-93898,129628,-275028,-275028,-145400,-22841,-22836,-168241,-171604,-171604,-171604,-171604,-171604,1151904,1151904,85827,85827,924054,85939,2247724,51200,471200,2718924,290144,119360,78251,92533,14657,354130,354130,658931,235146,235146,894077,8905181,-7080334,1824847,1824847,2718924,-171604,2522,36000,-115269,-248351,16002,118502,-354597,-354597,-354597,-142878,249803,0.57992,-0.65048,-0.76771,-0.09404,-0.06311,3.41117,0.48995,0.09188,-0.00707,-0.00706,0.00921,0.07516,-0.08271,6.31379,6.20427
"22","2016_Q2",0.7428125,"Down",227886,-98754,129132,-243864,-243864,-114732,-18480,-18480,-133212,-133212,-133212,-133212,-133212,-133212,1100949,1100949,123258,123258,1020642,1365,2246214,127287,694287,2940501,321325,118887,37254,165184,15467,320901,320901,657693,224143,224143,881836,9272211,-7213546,2058665,2058665,2940501,-133212,2212,52200,-18264,-97064,-43422,271408,-50955,-50955,-50955,-112520,239610,0.56665,-0.50346,-0.58456,-0.06471,-0.0453,3.41529,0.42835,0.08149,-0.00541,-0.00541,0.00926,0.08364,-0.05796,7.65499,7.5074
"23","2016_Q3",0.613125,"Down",110278,-84197,26081,-152090,-152090,-126009,-19526,-19526,-145535,-145535,-145535,-145535,-145535,-145535,969415,969415,101757,101757,1000949,17804,2089925,155894,742894,2832819,261339,84911,48413,128015,15467,244500,244500,521306,213411,213411,734717,9443211,-7345109,2098102,2098102,2832819,-145535,5393,0,-21259,-161401,-87133,59867,-131534,-131534,-131534,-120616,228878,0.2365,-1.14265,-1.31971,-0.06937,-0.05137,4.00902,0.35018,0.0808,-0.00578,-0.00578,0.00438,0.08333,-0.06254,6.13962,5.87686
"24","2016_Q4",0.393015873015873,"Down",159643,-75944,83699,-184999,-184999,-101300,-15156,-15156,-116456,-116456,-116456,-116456,-116456,-116456,798368,798368,57814,57814,979392,12644,1848218,149115,760115,2608333,249238,93850,58233,97155,15467,174500,174500,439205,201454,201454,640659,9443211,-7475537,1967674,1967674,2608333,-116456,6779,0,40587,-69090,-81957,-81957,-171047,-171047,-171047,-94521,216921,0.52429,-0.63454,-0.72948,-0.05918,-0.04465,4.2081,0.32559,0.08316,-0.0046,-0.0046,0.0063,0.07764,-0.05331,6.15151,5.73985
"25","2017_Q1",0.332258064516129,"Down",104255,-44649,59606,-284357,-284357,-224751,-12469,-9972,-237220,-237220,-237220,-237220,-237220,-237220,502777,502777,72143,72143,938212,17485,1530617,176925,797925,2328542,259730,116512,49885,93333,15467,119000,119000,394197,188891,188891,583088,9458211,-7712757,1745454,1745454,2328542,-237220,6640,15000,32502,-183078,-68063,-68063,-295591,-295591,-295591,-218111,204358,0.57173,-2.15578,-2.27538,-0.13591,-0.10187,3.88287,0.33406,0.08776,-0.00935,-0.00935,0.00411,0.06882,-0.12166,1.3682,1.32778
"26","2017_Q2",0.314285714285714,"Down",169210,-77126,92084,-202838,-202838,-110754,-8486,-7049,-119240,-119240,-119240,-119240,-119240,-119240,459007,459007,71172,71172,864137,12155,1406471,179195,800195,2206666,286441,141764,52554,92123,15467,102100,102100,404008,176444,176444,580452,9458211,-7831997,1626214,1626214,2206666,-119240,7730,0,107087,-4423,-29347,-29347,-43770,-43770,-43770,-103024,191911,0.5442,-0.65454,-0.70469,-0.07332,-0.05404,3.48129,0.35693,0.08697,-0.0047,-0.0047,0.00667,0.0641,-0.06558,2.59256,2.41161
"27","2017_Q3",0.324193548387097,"Up",39162,-28948,10214,-175374,-175374,-165160,-5591,-3604,-170751,-170751,-170751,-170751,-170751,-170751,342845,342845,32676,32676,825434,21069,1222024,171632,792632,2014656,272358,154330,52485,65543,15467,92100,92100,379925,171768,171768,551693,9465711,-8002748,1462963,1462963,2014656,-170751,7563,7500,54202,-101486,-14676,-14676,-116162,-116162,-116162,-157597,187235,0.26081,-4.21735,-4.36012,-0.11672,-0.08475,3.21649,0.37711,0.09294,-0.00672,-0.00672,0.00154,0.05761,-0.10347,0.98739,0.94218
"28","2017_Q4",0.613225806451613,"Up",41811,-39463,2348.00000000001,-183868,-183868,-181520,-4581,-5446,-186101,-186101,-186101,-186101,-186101,-186101,264908,264908,14562,14562,796000,17861,1093331,168969,789969,1883300,268028,151009,55484,61535,15467,75100,75100,358595,167053,167053,525648,9546501,-8188849,1357652,1357652,1883300,-186101,7563,40200,46426,-91912,-21715,18875,-77937,-77937,-77937,-173957,182520,0.05616,-4.34144,-4.45101,-0.13708,-0.09882,3.04893,0.38717,0.09691,-0.00726,-0.00726,0.00163,0.053,-0.12083,0.47361,0.45388
"29","2018_Q1",0.631967213114754,"Up",117772,-70713,47059,-193756,-193756,-146697,-10266,-7979,-156963,-156963,-156963,-156963,-156963,-156963,214871,214871,23805,23805,731470,84653,1054799,160862,781862,1836661,198564,129278,44184,25102,18096,118500,118500,335160,119262,119262,454422,9728051,-8345812,1382239,1382239,1836661,-156963,8107,61000,-91969,-179825,-1762,129788,-50037,-50037,-50037,-138590,137358,0.39958,-1.2456,-1.33277,-0.11356,-0.08546,3.14715,0.32876,0.07479,-0.00605,-0.00605,0.00454,0.05327,-0.10329,0.5593,0.52839
"30","2018_Q2",0.3890625,"Down",116203,-64382,51821,-190811,-190811,-138990,-7259,-6712,-146249,-146249,-146249,-146249,-146249,-146249,195440,195440,28395,28395,790881,59775,1074491,156242,781442,1855933,248791,183120,46481,19190,18096,107250,107250,374137,114246,114246,488383,9859611,-8492061,1367550,1367550,1855933,-146249,8878,20000,6904,-110467,-16266,95294,-19431,-19431,-19431,-130112,132342,0.44595,-1.1961,-1.25856,-0.10694,-0.0788,2.87192,0.35712,0.07131,-0.00547,-0.00547,0.00435,0.05116,-0.09751,0.48495,0.45398
"31","2018_Q3",0.356984126984127,"Down",17163,-18080,-917,-154888,-154888,-155805,-2218,-1731,-158023,-158023,-158023,-158023,-158023,-158023,140066,140066,0,0,798848,72301,1011215,147364,772564,1783779,232502,168273,45039,19190,18096,98850,98850,349448,109904,109904,459352,9974511,-8650084,1324427,1324427,1783779,-158023,8878,17926,-16413,-147632,-12742,92258,-55374,-55374,-55374,-146927,128000,-0.05343,-9.07796,-9.20719,-0.11931,-0.08859,2.89375,0.34683,0.07176,-0.00585,-0.00585,0.00063,0.049,-0.1088,0.08212,0.07744
"32","2018_Q4",0.242380952380952,"Down",34149,-52415,-18266,-127604,-127604,-145870,-8351,-8351,-154221,-154221,-154221,-154221,-154221,-154221,112130,112130,917,917,759519,70650,943216,138486,763686,1706902,261517,193910,56832,10775,17718,146850,146850,426085,104611,104611,530696,9980511,-8804305,1176206,1176206,1706902,-154221,8878,26065,44013,-75265,42329,47329,-27936,-27936,-27936,-136992,122329,-0.53489,-4.27157,-4.51612,-0.13112,-0.09035,2.21368,0.45119,0.07167,-0.00566,-0.00566,0.00125,0.04319,-0.11877,-0.07445,-0.06992
"33","2019_Q1",0.132881355932203,"Down",82167,-25657,56510,-175060,-175060,-118550,22418,-5866,-96132,-96132,-96132,-96132,-96132,-96132,112203,112203,13455,13455,722887,68999,917544,131532,756732,1674276,228623,194963,22885,10775,18628,145350,145350,392601,100858,100858,493459,10109511,-8928694,1180817,1180817,1674276,-96132,6954,39697,-36103,-85584,-4343,85657,73,73,73,-111596,119486,0.68775,-1.44279,-1.16996,-0.08141,-0.05742,2.33709,0.4179,0.07137,-0.0035,-0.0035,0.00299,0.04294,-0.07393,-0.06526,-0.06143
"34","2019_Q2",0.0866666666666667,"Down",109344,-66204,43140,-270904,-270904,-227764,-5604,-4918,-233368,-250368,-250368,-250368,-250368,-250368,77781,77781,45659,45659,675769,67348,866557,123205,731405,1597962,357567,323403,23248,10916,18628,134350,134350,510545,95768,95768,606313,10170711,-9179062,991649,991649,1597962,-250368,8327,18034,144475,-79532,-16090,45110,-34422,-34422,-34422,-219437,114396,0.39453,-2.083,-2.28973,-0.25248,-0.15668,1.69732,0.61142,0.07159,-0.0092,-0.0092,0.00402,0.03642,-0.22636,-0.16686,-0.16076
"35","2019_Q3",0.274603174603175,"Up",30359,-13207,17152,-140249,-140249,-123097,-22637,-6249.59646660963,-145734,-128734,-128734,-128734,-128734,-128734,44358,44358,857,857,668033,106830,820078,115149,810249,1630327,380132,343095,26121,10916,18628,170832,170832,569592,90720,177620,747212,10190911,-9307796,883115,883115,1630327,-128734,8056,19752,75921,-25005,-8048,-8418,-33423,-33423,-33423,-115041,109348,0.56497,-4.05471,-4.24039,-0.14577,-0.07896,1.43976,0.84611,0.06707,-0.00446,-0.00446,0.00105,0.0306,-0.11927,-0.56493,-0.52796
"36","2019_Q4",0.31640625,"Up",49033,-30558,18475,-156556,-156556,-138081,20012,-7649.00295412891,-118069,-135069,-135069,-135069,-135069,-135069,36165,36165,264,264,654760,103387,794576,106822,803718,1598294,444428,414014,19498,10916,18628,117389,117389,580445,86067,174763,755208,10285951,-9442865,843086,843086,1598294,-135069,8327,2520,77289,-46933,9347,38740,-8193,-8193,-8193,-129754,104695,0.37679,-2.81608,-2.75466,-0.16021,-0.08451,1.36891,0.89577,0.0655,-0.00467,-0.00467,0.00169,0.02913,-0.13032,-0.52815,-0.4963
"37","2020_Q1",0.27741935483871,"Down",27239,-16676,10563,-9351,-9351,1212,-24632,-7632,-23420,-6420,-6420,-6420,-6420,-6420,34525,34525,5948,5948,638084,93867,772424,98495,786068,1558492,288252,258099,19237,10916,19168,132637,132637,440057,80896,160269,600326,10407451,-9449285,958166,958166,1558492,-6420,8327,22603,-139486,-114976,42969,113336,-1640,-1640,-1640,9539,100064,0.38779,0.0445,-0.23569,-0.0067,-0.00412,1.75528,0.62654,0.06421,-0.00022,-0.00022,0.00091,0.03215,-0.00564,6.87064,54.07508
"38","2020_Q2",0.289206349206349,"Up",47426,-20388,27038,-91545,-91545,-64507,-4382.99999999999,-5216,-68890,-68890,-68890,-68890,-68890,-68890,71824,71824,814.999999999999,814.999999999999,617955,104390,794984,90168,768289,1563273,416661,389998,15747,10916,18628,162242,162242,597531,76966,146887,744418,10456451,-9637596,818855,818855,1563273,-68890,8327,4784,19448.0000000001,-36331,-4469.99999999999,73630,37299,37299,37299,-56180,95594,0.57011,-1.36016,-1.45258,-0.08413,-0.04407,1.33045,0.9091,0.06115,-0.00228,-0.00228,0.00157,0.02706,-0.06998,-0.423100000000001,-0.368490000000001
"39","2020_Q3",0.3034375,"Up",35808,-15311,20497,-80612,-80612,-60115,-2279,-2279,-62394,-62394,-62394,-62394,-62394,-62394,75340,75340,2359,2359,636249,104895,818843,81841,750510,1569353,379000,350608,15747,12645,18628,202317,202317,599945,73980,130447,730392,10538951,-9699990,838961,838961,1569353,-62394,8327,8560,-48165,-93672,-24882,97188,3516,3516,3516,-51788,92608,0.57241,-1.67881,-1.74246,-0.07437,-0.03976,1.36486,0.87059,0.05901,-0.00203,-0.00203,0.00116,0.02729,-0.06315,-0.33344,-0.28725
"40","2020_Q4",0.41453125,"Up",90814,-42965,47849,-99681,-99681,-51832,-2173,-2173,-54005,-54005,-54005,-54005,-54005,-54005,99672,99672,4717,4717,622591,105400,832380,73514,732731,1565111,387744,357444,15747,14553,52280,192136,192136,632160,73980,120995,753155,10565951,-9753995,811956,811956,1565111,-54005,8327,8948,20043,-16687,55548,41019,24332,24332,24332,-43505,126260,0.52689,-0.570749999999999,-0.59468,-0.06651,-0.03451,1.31672,0.92758,0.08067,-0.00174,-0.00174,0.00292,0.02614,-0.05481,-0.61115,-0.512960000000001
"41","2021_Q1",0.317868852459016,"Down",28205,-52616,-24411,-69294,-69294,-93705,-1749,-1749,-95454,-95454,-95454,-95454,-95454,-95454,48009,48009,19900,19900,578410,46975,693294,65187,706149,1399443,301092,270792,15747,14553,18628,140975,140975,460695,107193,148155,608850,10577951,-9787358,790593,790593,1399443,-95454,8327,4708,66797,-15622,6100,-36041,-51663,-51663,-51663,-85378,125821,-0.86548,-3.32228,-3.38429,-0.12074,-0.06821,1.50489,0.77012,0.08991,-0.00311,-0.00311,0.00092,0.02576,-0.0997,-0.91138,-0.83039
"42","2021_Q2",0.303015873015873,"Down",40017,-18635,21382,-81210,-81210,-59828,23863,-4960,-35965,-35965,-35965,-35965,-35965,-35965,209291,209291,28598,28598,563633,104841,906363,56860,687791,1594154,260752,234292,11907,14553,18628,341511,341511,620891,105374,136305,757196,10602951,-9765993,836958,836958,1594154,-35965,8327,34495,-43756,-36899,198181,198181,161282,161282,161282,-51501,124002,0.53432,-1.49506,-0.89874,-0.04297,-0.02256,1.45978,0.9047,0.07779,-0.00114,-0.00114,0.00126,0.02644,-0.03626,1.65606,1.42557
"43","2021_Q3",0.290625,"Down",25896,-9006,16890,-127943,-127943,-111053,-12432,-12432,-123485,-123485,-123485,-123485,-123485,-123485,220899,220899,4766,4766,575750,105383,906798,48533,669295,1576093,241804,210234,17017,14553,18628,342053,342053,602485,105373,126135,728620,10736951,-9889478,847473,847473,1576093,-123485,8327,73627,2262,-39269,-219123,50877,11608,11608,11608,-102726,124001,0.65222,-4.28842,-4.7685,-0.14571,-0.07835,1.5051,0.85976,0.07868,-0.0039,-0.0039,0.00082,0.02677,-0.12445,0.94327,0.87254
