"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2016_Q3",19.88859375,"Up",310057000,-194735000,-27198000,-95818000,-70098000,115322000,-57727000,-55865000,-1981000,57595000,7875000,65470000,65470000,65470000,64456000,64456000,114272000,114272000,169824000,169824000,47861000,47861000,331957000,8929664000,10963709000,-2034045000,28752000,137416000,132388000,9095832000,9427789000,6526748000,560215000,6526748000,0,6526748000,3290341000,-424299000,2866042000,2901041000,9427789000,65470000,95818000,-12305000,11088000,160071000,20534000,-5569000,-47299000,-32334000,-33839000,-79880000,-115637000,12100000,12100000,12100000,211140000,0,0.37194,0.20788,0.02222,0.00684,0.05086,2.2498,0,0.21495,0.21471,1.03396,9.55755,0.02222,-0.54121,-0.9909
"12","2016_Q4",18.0069841269841,"Down",318577000,-201195000,-21787000,-98337000,-78853000,117382000,-59014000,-57766000,-1370000,58368000,-563000,57805000,57805000,57805000,57492000,57492000,31143000,31143000,176086000,176086000,45662000,45662000,252891000,8859761000,10959990000,-2100229000,26580000,173477000,168433000,9059818000,9312709000,6424175000,566744000,6424175000,2.8421709430404e-14,6424175000,3324518000,-440363000,2884155000,2888534000,9312709000,57805000,98337000,-5957000,-5180000,145005000,3801000,2102000,-52229000,-46326000,-96691000,-87193000,-184007000,-85328000,-85328000,-85328000,215719000,-2.8421709430404e-14,0.36846,0.18047,0.0199,0.00617,0.03937,2.22403,6.61744490042422e-24,0.18973,0.18942,1.05136,9.51825,0.0199,-0.14437,-0.26531
"13","2017_Q1",16.9572580645161,"Down",324034000,-197333000,-22539000,-92668000,-79523000,126701000,-55698000,-55128000,-699000,71003000,22315000,93318000,93318000,93318000,93203000,93053000,51402000,51402000,178216000,178216000,51467000,51467000,281085000,8842004000,11009058000,-2167054000,25573000,171023000,163102000,9038600000,9319685000,6392525000,553636000,6392525000,0,6392525000,3327917000,-405033000,2922884000,2927160000,9319685000,93318000,92668000,-26635000,-13057000,146294000,28890000,872000,-56560000,-26798000,-18553000,-74781000,-93432000,26064000,26064000,26064000,219369000,0,0.39101,0.28717,0.03179,0.00998,0.04397,2.18387,0,0.30575,0.29342,1.06471,9.60404,0.03179,-0.23432,-0.4057
"14","2017_Q2",14.3066666666667,"Down",325806000,-199830000,-20957000,-93931000,-83892000,125976000,-56178000,-55658000,-707000,69798000,1857000,71655000,71655000,71655000,71579000,71579000,59883000,59883000,181539000,181539000,44499000,44499000,285921000,8870259000,11096277000,-2226018000,24730000,178188000,170225000,9073177000,9359098000,6437481000,512647000,6437481000,0,6437481000,3331283000,-410314000,2920969000,2921617000,9359098000,71655000,93931000,-7067000,-50369000,108150000,-70720000,833000,-39260000,-109147000,88075000,-83102000,2510000.00000001,1512999.99999999,1512999.99999999,1512999.99999999,219907000,-4.54747350886464e-13,0.38666,0.2197,0.0245,0.00765,0.04442,2.2034,5.29395592033938e-23,0.23502,0.23484,1.06973,9.5905,0.0245,-0.27231,-0.47535
"15","2017_Q3",14.2179365079365,"Down",322818000,-198964000,-23248000,-96870000,-77089000,123854000,-57879000,-57358000,-684000,65975000,9463000,75438000,75438000,75438000,75438000,75399000,54479000,54479000,219241000,219241000,68165000,68165000,341885000,8734523000,11015104000,-2280581000,24775000,195891000,187919000,8955189000,9297074000,6381326000,561378000,6381326000,0,6381326000,3333934000,-418186000,2915748000,2915748000,9297074000,75438000,96870000,-13276000,15012000,174044000,66020000,-93000,-35639000,30288000,-100856000,-85016000,-186070000,18262000,18262000,18262000,220724000,0,0.38367,0.23357,0.02586,0.00811,0.05358,2.18857,0,0.24728,0.24712,1.05872,9.56253,0.02586,-0.24682,-0.43986
"16","2017_Q4",13.8698412698413,"Down",314496000,-193874000,-22838000,-94239000,-75581000,120622000,-58503000,-57334000,-1200000,62119000,21261000,83380000,83380000,83380000,83380000,83380000,29978000,29978000,219873000,219873000,112040000,112040000,361891000,8610429000,10930519000,-2320090000,28840000,195060000,195060000,8834329000,9196220000,6274879000,561191000,6274879000,-3.63797880709171e-12,6274879000,3336745000,-415404000,2921341000,2921341000,9196220000,83380000,94239000,-24664000,-14030000,138925000,133959000,-4098000,-65137000,64724000,-101659000,-82563000,-184275000,19374000,19374000,19374000,214861000,7.27595761418343e-12,0.38354,0.26512,0.02854,0.00907,0.05767,2.14794,0,0.27343,0.27322,1.03135,9.58018,0.02854,-0.13952,-0.24853
"17","2018_Q1",12.2803278688525,"Down",320060000,-195119000,-25204000,-89988000,-78627000,124941000,-56261000,-55945000,-316000,68680000,1216000,69896000,69896000,69896000,69896000,69896000,56938000,56938000,232111000,232111000,53839000,53839000,342888000,8560421000,10921491000,-2361070000,28006000,222611000,222611000,8811038000,9153926000,6245578000,569340000,6245578000,0,6245578000,3333512000,-425164000,2908348000,2908348000,9153926000,69896000,89988000,-3788000,-25267000,130829000,23380000,718000,-62837000,-38739000,-38219000,-79240000,-123331000,-31241000,-31241000,-31241000,214929000,0,0.39037,0.21838,0.02403,0.00764,0.0549,2.14747,0,0.22923,0.22839,1.04966,9.53816,0.02403,-0.26492,-0.45572
"18","2018_Q2",12.1840625,"Down",317175000,-196439000,-22426000,-90383000,-81215000,120736000,-55128000,-55075000,-53000,65608000,-4586000,61022000,61022000,61022000,61022000,61022000,27332000,27332000,219312000,219312000,65437000,65437000,312081000,8452887000,10858466000,-2405579000,27063000,195827000,195827000,8675777000,8987858000,6126282000,504171000,6126282000,-1.16415321826935e-10,6126282000,3304510000,-442934000,2861576000,2861576000,8987858000,61022000,90383000,1800000,-28755000,124450000,104198000,841000,-76803000,28236000,-54858000,-84349000,-170694000,-18008000,-18008000,-18008000,211119000,1.16415321826935e-10,0.38066,0.19239,0.02132,0.00679,0.05094,2.14088,1.35525271560688e-20,0.20063,0.20055,1.0428,9.40819,0.02132,-0.12946,-0.22638
"19","2018_Q3",14.0657142857143,"Up",313030000,-192431000,-21320000,-91334000,-78828000,120599000,-56281000,-55096000,-1185000,64318000,16044000,80362000,80362000,80362000,80362000,80362000,53418000,53418000,219992000,219992000,48206000,48206000,321616000,8253081000,10655579000,-2402498000,31226000,244624000,244624000,8528931000,8850547000,5993576000,510222000,5993576000,0,5993576000,3303662000,-446691000,2856971000,2856971000,8850547000,80362000,91334000,-19556000,3763000,155903000,127753000,-4168000,-43835000,79750000,-139498000,-83667000,-226798000,8855000,8855000,8855000,211933000,0,0.38526,0.25672,0.02813,0.00908,0.05366,2.09788,0,0.26542,0.26528,1.03387,9.43592,0.02813,-0.25205,-0.44294
"20","2018_Q4",12.7628571428571,"Down",306480000,-186166000,-21209000,-85183000,-76680000,120314000,-56170000,-55208000,-962000,64144000,83202000,147346000,147346000,147346000,147346000,147346000,19607000,19607000,230782000,230782000,45412000,45412000,295801000,7896189000,10254971000,-2358782000,30725000,274723000,274723000,8201637000,8497438000,5623176000,516468000,5623176000,9.31322574615479e-10,5623176000,3257721000,-383459000,2874262000,2874262000,8497438000,147346000,85183000,-84850000,-27850000,119829000,436014000,480000,-64410000,372084000,-367952000,-111887000,-528518000,-36605000,-36605000,-36605000,205497000,9.31322574615479e-10,0.39257,0.48077,0.05126,0.01734,0.0526,1.95639,0,0.48763,0.48728,1.01426,9.51207,0.05126,-0.09541,-0.16297
"21","2019_Q1",14.0793442622951,"Up",297655000,-194505000,-28641000,-85345000,-76895000,103150000,-49713000,-49127000,-586000,53437000,24117000,77554000,77554000,77554000,77554000,77554000,41745000,41745000,228297000,228297000,9020000,9020000,279062000,7749650000,10098777000,-2349127000,30243000,183466000,183466000,7963359000,8242421000,5406322000,520459000,5406322000,0,5406322000,3236314000,-400215000,2836099000,2836099000,8242421000,77554000,85345000,-25906000,4514000,141507000,272543000,631000,-83641000,189533000,-212409000,-110106000,-345294000,-14254000,-14254000,-14254000,188495000,0,0.34654,0.26055,0.02735,0.00941,0.05162,1.90625,0,0.25921,0.25872,0.99486,9.47919,0.02735,-0.22146,-0.4047
"22","2019_Q2",15.0609523809524,"Up",291139000,-185422000,-25443000,-85395000,-74584000,105717000,-47337000,-46519000,-818000,58380000,4520000,62900000,62900000,62900000,62900000,62900000,348999.999999993,348999.999999993,236391000,236391000,3057000,3057000,239797000,7687693000,10073785000,-2386092000,29634000,226806000,226806000,7944133000,8183930000,5391159000,518094000,5391159000,1.49011611938477e-08,5391159000,3225824000,-433053000,2792771000,2792771000,8183930000,62900000,85395000,-3695000,-47762000,96838000,45160000,731000,-77725000,-31834000,-1.5e+07,-84230000,-112363000,-47359000,-47359000,-47359000,191112000,0,0.36312,0.21605,0.02252,0.00769,0.04448,1.9304,0,0.21065,0.21035,0.97502,9.35291,0.02252,-0.00183,-0.0032999999999998
"23","2019_Q3",15.9975,"Up",291005000,-179264000,-25175000,-81593000,-72496000,111741000,-48931000,-48175000,-756000,62810000,6150000,68960000,68960000,68960000,68960000,68960000,10809000,10809000,221683000,221683000,2447000,2447000,234939000,7729795000,10153948000,-2424153000,15813000,239976000,239976000,7985584000,8220523000,5456342000,530805000,5456342000,0,5456342000,3226036000,-461855000,2764181000,2764181000,8220523000,68960000,81593000,-4697000,8313000,154169000,-29655000,14009000,-91804000,-107450000,53216000,-86944000,-36869000,9850000,9850000,9850000,193334000,0,0.38398,0.23697,0.02495,0.00839,0.04306,1.97395,0,0.2313,0.23082,0.97605,9.27126,0.02495,-0.05591,-0.09673
"24","2019_Q4",18.4421875,"Up",292965000,-180648000,-24550000,-82837000,-73261000,112317000,-47971000,-47570000,-401000,64346000,16508000,80854000,80854000,80854000,80854000,80854000,29072000,29072000,223323000,223323000,2409000,2409000,254804000,7668677000,10121355000,-2452678000,19109000,217571000,217571000,7905357000,8160161000,5400798000,548288000,5400798000,-2.38418579101562e-07,5400798000,3229509000,-470146000,2759363000,2759363000,8160161000,80854000,82837000,-15018000,253000,148926000,144699000,-3276000,-112682000,28741000,-72593000,-86849000,-159442000,18225000,18225000,18225000,195154000,2.38418579101562e-07,0.38338,0.27599,0.0293,0.00991,0.04718,1.95726,-2.77555756156289e-17,0.2713,0.27042,0.98301,9.25877,0.0293,-0.148970000000001,-0.25884
"25","2020_Q1",15.6953225806452,"Down",293149000,-60394000,-27141000,-82606000,49353000,107879000,-47387000,-46812000,-575000,60492000,1567000,62059000,62059000,62059000,62059000,62059000,19097000,19097000,234246000,234246000,2426000,2426000,255769000,7642350000,10123600000,-2481250000,18054000,226323000,226323000,7886727000,8142496000,537454000,537454000,537454000,4861185000,5398639000,3233604000,-489747000,2743857000,2743857000,8142496000,62059000,82606000,131000,-16057000,128739000,129949000,1048000,-112884000,-61521000,7e+06,-85887000,-77176000,-9958000,-9958000,-9958000,190485000,4861185000,0.368,0.2117,0.02262,0.00762,0.47589,1.96754,0.59701,0.20815,0.20648,0.98324,9.2031,0.00816,25.41979,44.88444
"26","2020_Q2",10.2466666666667,"Down",282301000,-178834000,-22597000,-83017000,-73220000,103467000,-47988000,-47230000,-758000,55479000,4302000,59781000,59781000,59781000,59781000,59781000,584830000,584830000,232217000,232217000,2261000,2261000,819308000,7622572000,10149583000,-2527011000,17550000,202653000,202653000,7842775000,8662083000,5992730000,498531000,5992730000,0,5992730000,3208036000,-538683000,2669353000,2669353000,8662083000,59781000,83017000,-3298000,-44430000,95070000,41411000,691000,-86696000,-46614000,631500000,-85976000,517112000,565568000,565568000,565568000,186484000,9.5367431640625e-07,0.36651,0.21176,0.0224,0.0069,0.13672,2.24501,0,0.20071,0.20043,0.94782,8.96234,0.0224,-3.13609,-5.65233
"27","2020_Q3",10.94828125,"Up",247620000,-116717000,-24436000,-80829000,-11452000,75411000,-50711000,-49750000,-961000,24700000,-15656000,9044000,9044000,9044000,9044000,9044000,318540000,318540000,274532000,274532000,1451000,1451000,594523000,7596826000,10177953000,-2581127000,20765000,204171000,204171000,7821762000,8416285000,5736665000,429138000,5736665000,0,5736665000,3210081000,-530461000,2679620000,2679620000,8416285000,9044000,80829000,16299000,-21678000,84494000,5222000,-3205000,-71424000,-69407000,-183599000,-98470000,-282187000,-267100000,-267100000,-267100000,156240000,0,0.30454,0.03652,0.00338,0.00107,0.10364,2.14085,0,0.0305,0.03048,0.83501,9.03607,0.00338,-2.03879,-4.22405
"28","2020_Q4",12.89140625,"Up",253935000,-157360000,-27748000,-87488000,-42124000,71781000,-51662000,-50882000,-780000,20119000,7825000,27944000,27944000,27944000,27944000,27944000,609812000,609812000,246295000,246295000,1408000,1408000,857515000,7564158000,10187302000,-2623144000,19987000,198501000,198501000,7782646000,8640161000,5926270000,444610000,5926270000,2990618799.18776,5926270000,3213544000,-499653000,2713891000,2713891000,8640161000,27944000,87488000,-6194000,34830000,144068000,36289000,703000,-59820000,-24233000,175344000,-7473000,171394000,291229000,291229000,291229000,159269000,0,0.28267,0.11004,0.0103,0.00323,0.1447,2.18368,2.77555756156289e-17,0.09423,0.09409,0.85627,9.1513,0.0103,-3.82882,-8.49545
"29","2021_Q1",17.226393442623,"Up",269410000,-149895000,-23499000,-84249000,-42147000,88123000,-54144000,-51644000,-2500000,33979000,-9575000,24404000,24404000,24404000,24404000,24404000,368675000,368675000,240323000,240323000,1412000,1412000,610410000,7504113000,10163561000,-2659448000,19548000,208076000,208076000,7731737000,8342147000,494116000,494116000,494116000,5167330000,5661446000,3216955000,-536254000,2680701000,2680701000,8342147000,24404000,84249000,10791000,25000,119469000,39465000,356000,-66816000,-26995000,-316849000,153639000,-333607000,-241133000,-241133000,-241133000,172372000,5167330000,0.3271,0.09058,0.0091,0.00293,1.23536,2.11193,0.61942,0.08218,0.08144,0.90728,9.02769,0.02482,27.83895,54.45406
"30","2021_Q2",20.7115873015873,"Up",279746000,-150953000,-24645000,-83420000,-42888000,97408000,-48137000,-48907000,770000,49271000,3100000,52371000,52371000,52371000,52371000,52371000,371402000,371402000,231461000,231461000,1282000,1282000,604145000,7474043000,10180848000,-2706805000,18737000,198161000,198161000,7690941000,8295086000,458022000,458022000,458022000,5165861000,5623883000,3214634000,-543431000,2671203000,2671203000,8295086000,52371000,83420000,-211000,-25067000,110513000,31793000,705000,-62844000,-34125000,-640000,-73151000,-73791000.0000001,2596999.99999988,2596999.99999988,2596999.99999988,180828000,5165861000,0.3482,0.18721,0.01961,0.00631,1.31903,2.10537,0.62276,0.17627,0.17583,0.94156,8.99062,0.00668,26.51392,49.22038
"31","2021_Q3",21.53171875,"Up",287024000,-149930000,-26461000,-81212000,-42257000,108339000,-50051000,-49585000,-466000,58288000,32140000,90428000,90428000,90428000,90428000,90428000,404144000,404144000,228583000,228583000,1242000,1242000,633969000,7513754000,10258876000,-2745122000,18188000,189262000,189262000,7721204000,8355173000,483791000,483791000,483791000,5167038000,5650829000,3218918000,-514574000,2704344000,2704344000,8355173000,90428000,81212000,-30022000,22731000,164349000,67955000,480000,-72409000,-66911000,0,-64736000,-64736000,32702000,32702000,32702000,189551000,5167038000,0.37746,0.31505,0.03344,0.01082,1.31042,2.08954,0.61842,0.30436,0.30361,0.96605,9.10216,0.01149,25.12724,43.96288
"32","2021_Q4",22.72046875,"Up",290186000,-146796000,-25309000,-81724000,-39763000,110616000,-48477000,-48867000,390000,62139000,-15994000,46145000,46145000,46145000,46145000,46145000,397198000,397198000,229421000,229421000,7166000,7166000,633785000,7458869000,10244096000,-2785227000,20769000,237690000,237690000,7717328000,8351113000,495229000,495229000,495229000,5163375000,5658604000,3223153000,-530644000,2692509000,2692509000,8351113000,46145000,81724000,19365000,2784000.00000001,150018000,24689000,-2645000,-77121000,-55077000,-1624999.99999999,98842000,-95963000,-1022000,-1022000,-1022000,192340000,5163375000,0.38119,0.15902,0.01714,0.00553,1.27978,2.10161,0.61829,0.15527,0.15471,0.97644,9.05995,0.03046,24.77996,43.08759
"33","2022_Q1",24.1398387096774,"Up",295318000,-150673000,-29039000,-80796000,-40838000,105517000,-47877000,-47118000,-759000,57640000,23603000,81243000,81243000,81243000,81243000,81243000,296632000,296632000,234873000,234873000,1111000,1111000,532616000,7615085000,7615085000,-2817878670.65251,20224000,209468000,209468000,7844777000,8377393000,494529000,494529000,494529000,5164518000,5659047000,3234704000,-516358000,2718346000,2718346000,8377393000,81243000,80796000,-17916000,-16764000,127359000,112967000,433000,-96201000,-174892000,0,-185000,-59088000,-106621000,-106621000,-106621000,186313000,5164518000,0.3573,0.2751,0.02989,0.0097,1.07702,2.0818,0.61648,0.27337,0.27238,0.99371,9.14689,0.01843,26.12746,46.13367
"34","2022_Q2",22.8137096774194,"Down",298629000,-153862000,-2.8e+07,-84222000,-41640000,109971000,-47786000,-47247000,-539000,62185000,17321000,79506000,79506000,79506000,79506000,79506000,31567000,31567000,239856000,239856000,8817000,8817000,280240000,7725091000,10572905000,-2847814000,19315000,221531000,221531000,7965937000,8246177000,461951000,461951000,461951000,5010568000,5472519000,3272714000,-499056000,2773658000,2773658000,8246177000,79506000,84222000,-13879000,-37589000,112260000,58870000,576000,-70121000,-174937000,-1.55e+08,-83553000,-194682000,-257359000,-257359000,-257359000,194193000,5010568000,0.36825,0.26624,0.02866,0.00964,0.60664,1.97303,0.60762,0.26726,0.26587,1.00383,9.32353,0.01021,25.63945,45.27558
"35","2022_Q3",21.07734375,"Down",306131000,-157143000,-29702000,-85137000,-42304000,114491000,-49460000,-47851000,-1609000,65031000,22760000,87791000,87791000,87791000,87791000,87791000,16828000,16828000,245459000,245459000,11928000,11928000,274215000,7942345000,10827547000,-2885202000,19661000,233504000,233504000,8195510000,8469725000,518252000,518252000,518252000,5148480000,5666732000,3282772000,-479779000,2802993000,2802993000,8469725000,87791000,85137000,-17683000,6611000,161856000,81111000,-493000,-76832000,-241640000,1.45e+08,-80380000,68156000,-11628000,-11628000,-11628000,199628000,5148480000,0.37399,0.28678,0.03132,0.01037,0.52912,2.02167,0.60787,0.29264,0.29157,1.02046,9.34356,0.01104,25.70607,44.82144
