"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",5.15109375,"Down",11602000,-2444000,9158000,-15259000,-9323000,-5936000,-6101000,12000,12000,-6089000,-6089000,-69000,-6158000,-6158000,-6158000,-6158000,28264000,12751000,9804000,9804000,1499000,729000,39700000,10228000,184000,184000,10412000,50112000,8015000,1788000,6227000,1605000,1605000,9620000,3051000,2960000,3051000,12671000,212120000,37441000,37441000,50112000,-6158000,1073000,1085000,114000,-3886000,-90000,-2167000,-2257000,21000,21000,21000,-6122000,-6122000,-6122000,-5028000,0,-4935000,0.78935,-0.52586,-0.53077,-0.16447,-0.12288,0.8014,4.12682,0.33843,0,-0.67275,-0.67275,1.26749,4.09035,-0.53914,-0.15208,5.62132,4.63268
"12","2013_Q3",4.1571875,"Down",10484000,-2401000,8083000,-15331000,-9431000,-5900000,-7248000,8000,8000,-7240000,-7240000,-4000,-7244000,-7244000,-7244000,-7244000,23463000,9161000,8457000,8457000,2043000,1275000,34093000,9232000,184000,184000,9416000,43509000,8345000,1828000,6517000,1074000,1074000,9419000,2930000,2839000,2930000,12349000,213100000,31160000,31160000,43509000,-7244000,1046000,1261000,203000.000000001,-4734000,-50000,1194000,1144000,0,0,1.45519152283669e-11,-3590000,-3590000,-3590000,-6202000,0,-6045000,0.77098,-0.69134,-0.69096,-0.23248,-0.16649,0.83448,3.6196,0.39631,0,-0.77794,-0.77794,1.12589,3.34631,-0.64918,-0.2125,3.78313,3.23717
"13","2013_Q4",4.30265625,"Up",8746000,-2492000,6254000,-13632000,-8277000,-5355000,-7378000,7000,7000,-7371000,-12973000,-76000,-13049000,-13049000,-13049000,-13049000,18059000,10863000,7015000,7015000,1965000,1196000,27201000,7910000,223000,223000,8133000,35334000,12246000,2396000,9850000,2029000,2029000,14275000,2142000,2051000,2142000,16417000,213903000,18917000,18917000,35334000,-13049000,991000,1933000,5383000,-4742000,-680000,7109000,6429000,15000,15000,15000,1702000,1702000,1702000,-6387000,0,-1608000,0.71507,-0.84359,-1.492,-0.6898,-0.3693,0.12323,1.9055,0.86784,0,-1.40933,-1.40933,0.94459,2.04309,-0.17367,-0.61964,2.82746,2.44768
"14","2014_Q1",7.14491803278688,"Up",11843000,-2370000,9473000,-10974000,-6860000,-4114000,-1501000,3000,3000,-1498000,-1498000,-3999.99999999999,-1502000,-1502000,-1502000,-1502000,14841000,11763000,7563000,7563000,1722000,871000,24293000,7023000,222000,222000,7245000,31538000,9366000,1632000,7734000,464000,464000,9830000,3537000,3383000,3537000,13367000,214656000,18171000,18171000,31538000,-1502000,896000,1071000,-3677000,-3212000,-9000,4121000,4112000,0,-1.45519152283669e-11,2.91038304567337e-11,9e+05,9e+05,9e+05,-604999.999999999,0,-4287000,0.79988,-0.12674,-0.12683,-0.08266,-0.0476300000000001,2.85419,2.47131,0.73562,-1.65436122510606e-24,-0.16224,-0.16224,1.27925,1.96279,-0.46307,-0.0691899999999999,24.53058,9.88741
"15","2014_Q2",4.96206349206349,"Down",8449000,-2420000,6029000,-11163000,-6914000,-4249000,-5134000,-312.667567858795,104.752510127311,-5134000,-5134000,-33000,-5167000,-5167000,-5167000,-5167000,11245000,8620000,7042000,7042000,1585000,734000,20039000,6161000,223000,223000,6384000,26423000,8783000,1623000,7160000,201000,201000,8984000,3727000,3573000,3727000,12711000,215364000,13712000,13712000,26423000,-5167000,872000,811000,-114000,-3598000,-15000,453000,438000,17000,17000,17000,-3143000,-3143000,-3143000,-4262000,0,-4358000,0.71358,-0.60765,-0.61155,-0.37682,-0.19555,0.84343,2.23052,0.927,0,-0.54802,-0.54802,0.89611,1.45431,-0.46222,-0.29629,2.63843,2.1903
"16","2014_Q3",4.1196875,"Down",8528000,-2451000,6077000,-9323000,-5714000,-3609000,-3246000,-2000,-2000,-3248000,-5683000,-12000,-5695000,-5695000,-5695000,-5695000,6256000,5036000,7389000,7389000,2292000,1438000,16106000,5373000,205000,205000,5578000,21684000,8100000,1378000,6722000,119000,119000,8219000,3855000,3701000,3855000,12074000,216956000,9610000,9610000,21684000,-5695000,804000,2155000,-2208000,-4944000,-46000,1406000,1360000,0,0,2.3283064365387e-10,-3584000,-3584000,-3584000,-2442000,0,-4684000,0.71259,-0.38063,-0.6678,-0.59261,-0.26264,0.82248,1.95961,1.2564,-2.64697796016969e-23,-0.59141,-0.59141,0.88561,0.99797,-0.48642,-0.42295,2.56183,1.92729999999997
"17","2014_Q4",3.67609375,"Down",9448000,-2201000,7247000,-8391000,-5203000,-3188000,-1144000,-3000,-3000,-1147000,-1147000,5000,-1142000,-1142000,-1142000,-1142000,12694000,10493000,7355000,7355000,1979000,1128000,22193000,4697000,205000,205000,4902000,27095000,8224000,2145000,6079000,731000,731000,8955000,3888000,3736000,3888000,12843000,222741000,14252000,14252000,27095000,-1142000,699000,514000,1090000,1161000,-23000,-982000,-1005000,5301000,5301000,5301000,5457000,5457000,5457000,-445000,0,617000,0.76704,-0.12108,-0.12087,-0.08013,-0.04215,-0.54028,2.47828,0.90114,0,-0.11081,-0.11081,0.91673,1.38285,0.05987,-0.06295,28.52584,11.09615
"18","2015_Q1",5.75180327868852,"Up",10554000,-2245000,8309000,-8092000,-4946000,-3146000,217000,-3000,2000,214000,214000,-9000,205000,205000,205000,205000,13045000,10165000,8216000,8216000,1471000,765000,22829000,4273000,288000,214000,4561000,27390000,7273000,1521000,5752000,1498000,1498000,8771000,3717000,3643000,3717000,12488000,223186000,14902000,14902000,27390000,205000,556000,643000,-872000,532000,-132000,-679000,-811000,-49000,-49000,-49000,-327999.999999999,-327999.999999999,-327999.999999999,773000,0,-222000,0.78728,0.02056,0.01942,0.01376,0.00747999999999998,-1.08293,2.60278,0.83801,0,0.01817,0.01817,0.93533,1.32066,-0.0196700000000001,0.01101,-16.87581,-60.1152100000005
"19","2015_Q2",5.00571428571429,"Down",10529000,-2118000,8411000,-8409000,-5068000,-3341000,2000,-1000,-1000,1000,1000,-11000,-10000,-10000,-10000,-10000,13777000,9977000,7598000,7598000,729000,696000,22191000,3799000,295000,221000,4094000,26285000,6789000,1660000,5129000,331000,331000,7120000,3840000,3766000,3840000,10960000,223618000,15325000,15325000,26285000,-10000,495000,593000,-343000,735000,-21000,-919000,-940000,17000,17000,17000,-188000,-188000,-188000,497000,0,144000,0.79884,0.00019,-0.00095,-0.00065,-0.00038,-14.4,3.11671,0.71517,0,-0.00088,-0.00088,0.92563,1.34725,0.01266,-0.00052,-27.72032,-6888.5
"20","2015_Q3",3.705,"Down",9386000,-2071000,7315000,-8540000,-5093000,-3447000,-1225000,2.27373675443232e-13,-4.54747350886464e-13,-1225000,-1225000,-6000,-1231000,-1231000,-1231000,-1231000,11495000,7174000,8597000,8597000,1121000,1079000,21279000,3366000,269000,195000,3635000,24914000,6599000,1536000,5063000,113000,113000,6712000,3700000,3626000,3700000,10412000,224026000,14502000,14502000,24914000,-1231000,475000,246000,-1731000,-2241000,-42000,-521000,-563000,999.999999999767,1000.00000000023,1000,-2803000,-2803000,-2803000,-750000,1.13686837721616e-13,-2517000,0.77935,-0.13051,-0.13115,-0.08488,-0.04941,2.04468,3.17029,0.71797,-6.7762635780344e-21,-0.10645,-0.10645,0.81166,1.25406,-0.21766,-0.06763,15.32667,9.38367000000108
"21","2015_Q4",3.06078125,"Down",9586000,-1959000,7627000,-8395000,-4915000,-3480000,-768000,4000,4000,-764000,-764000,-6000,-770000,-770000,-770000,-770000,12611000,8531000,8005000,8005000,943000,934000,21623000,2956000,270000,196000,3226000,24849000,6500000,1470000,5030000,650000,650000,7150000,3550000,3476000,3550000,10700000,224443000,14149000,14149000,24849000,-770000,477000,533000,935000,1175000,-68000,241000,173000,9000,9000,9000,1357000,1357000,1357000,-291000,0,582000,0.79564,-0.08012,-0.08033,-0.05442,-0.03099,-0.75584,3.0242,0.75624,0,-0.06672,-0.06672,0.83068,1.22608,0.05043,-0.04351,43.33677,16.42057
"22","2016_Q1",2.54409836065574,"Down",10006000,-2004000,8002000,-8549000,-4954000,-3595000,-547000,1000,0,-546000,-546000,-45000,-591000,-591000,-591000,-591000,12897000,8819000,8145000,8145000,705000,692000,21786000,2492000,195000,195000,2687000,24473000,6772000,1708000,5064000,440000,440000,7212000,3235000,3235000,3235000,10447000,224913000,14026000,14026000,24473000,-591000,457000,860000,-450000,276000,7000,0,7000,-1.45519152283669e-11,1.45519152283669e-11,5000,288000,288000,288000,-90000,-1.81898940354586e-12,-488000,0.79972,-0.05467,-0.05906,-0.04214,-0.02415,0.82572,3.0208,0.74483,5.42101086242752e-20,-0.05155,-0.05155,0.87274,1.22338,-0.0425600000000001,-0.03424,143.3,23.5777000000005
"23","2016_Q2",2.71296875,"Up",7214000,-2113000,5101000,-8779000,-4856000,-3923000,-3678000,-2000,-3000,-3680000,-3680000,-26000,-3706000,-3706000,-3706000,-3706000,13077000,11398000,5459000,5459000,912000,899000,19475000,2150000,196000,196000,2346000,21821000,7019000,1480000,5539000,1107000,1107000,8126000,3110000,3110000,3110000,11236000,225176000,10585000,10585000,21821000,-3706000,426000,364000,3173000,257000,-86000,2401000,2315000,7000,7000,7000,2579000,2579000,2579000,-3252000,0,-139000,0.7071,-0.50984,-0.51372,-0.35012,-0.16984,0.03751,2.39663,1.0615,0,-0.32159,-0.32159,0.626,0.91852,-0.01206,-0.27061,4.02122,3.55546
"24","2016_Q3",2.49171875,"Down",7459000,-1913000,5546000,-9455000,-5348000,-4107000,-3909000,-17000,-16000,-3926000,-3269000,-11000,-3280000,-3280000,-3280000,-3280000,7130000,6410000,5444000,5444000,1229000,1211000,13827000,1904000,2686000,199000,4590000,18417000,6747000,1740000,5007000,1069000,1069000,7816000,2970000,2970000,2970000,10786000,225502000,7631000,7631000,18417000,-3280000,353000,-252000,-775000,-3954000,-66000,959000,-1034000,0,0,-1.16415321826935e-10,-4988000,-4988000,-4988000,-3556000,2.91038304567337e-11,-4386000,0.74353,-0.52406,-0.43974,-0.42983,-0.1781,1.3372,1.76906,1.41345,-8.67361737988404e-19,-0.27936,-0.27936,0.6353,0.64994,-0.37356,-0.3094,2.00506000000001,1.82400000000002
"25","2016_Q4",1.65888888888889,"Down",6478000,-1798000,4680000,-9237000,-5063000,-4174000,-4557000,-75000,-7000,-4632000,-4621000,-11000,-4632000,-4632000,-4632000,-4632000,5944000,5943000,5257000,5257000,1242000,1225000,12461000,1834000,4763000,154000,6597000,19058000,6440000,1775000,4665000,591000,591000,7031000,5752000,5752000,6635000,13666000,227577000,5392000,5392000,19058000,-4632000,317000,437000,-420000,-4298000,-171000,162000,-9000,6000,6000,3840000,-467000,-467000,-467000,-4240000,883000,-4820000,0.72245,-0.70346,-0.71504,-0.85905,-0.24305,1.04059,1.77229,2.5345,0.04633,-0.37939,-0.37939,0.53059,0.44164,-0.39479,-0.38513,1.19363,1.1106
"26","2017_Q1",1.42854838709677,"Down",7084000,-1740000,5344000,-8391000,-4689000,-3702000,-3047000,-241000,4000,-3288000,-4002000,277000,-3725000,-3725000,-3725000,-3725000,2229000,2229000,4962000,4962000,726000,726000,7917000,1811000,4580000,149000,6391000,14308000,5410000,1907000,3503000,98000,97999.9999999999,5508000,4446000,4265000,5741000,11249000,229287000,3059000,3059000,14308000,-3725000,285000,971000,-1039000,-3508000,-177000,557000,-178000,-2.91038304567337e-11,1.45519152283669e-11,-27999.9999999995,-3714000,-3714000,-3714000,-2762000,1295000,-4255000,0.75438,-0.43012,-0.52583,-1.21772,-0.26034,1.14228,1.43736,3.67735,0.09051,-0.30211,-0.30211,0.57453,0.24809,-0.34509,-0.4233,0.33816,0.306530000000002
"27","2017_Q2",1.08888888888889,"Down",5576000,-1283000,4293000,-6479000,-3982000,-2497000,-2186000,-294000,-10000,-2480000,-2872000,-8000,-2880000,-2880000,-2880000,-2880000,2504000,2504000,4705000,4705000,509000,508000,7731000,1651000,4511000,146000,6162000,13893000,4881000,1600000,3281000,2684000,684000,7565000,4618000,4437000,5680000,13245000,228277000,648000,648000,13893000,-2880000,234000,650000,282000,-1714000,-13000,2e+06,1987000,2000,2000,2000,275000,275000,275000,-1952000,1062000,-1675000,0.76991,-0.39204,-0.5165,-4.44444,-0.2073,0.5816,1.02194,20.43981,0.07644,-0.23678,-0.23678,0.45844,0.05328,-0.13771,-0.45512,0.73873,0.65965
"28","2017_Q3",1.15269841269841,"Up",5862000,-1285000,4577000,-5874000,-3700000,-2174000,-1297000,-328000,1000,-1625000,-1947000,-5000,-1952000,-1952000,-1952000,-1952000,2377000,2377000,4711000,4711000,752000,751000,7853000,1542000,4447000,146000,5989000,13842000,4508000,1296000,3212000,2568000,568000,7076000,5140000,4959000,6298000,13374000,230671000,468000,468000,13842000,-1952000,229000,518000,-928000,-2133000,-50000,2.3283064365387e-10,-50000.0000000005,2056000,2056000,2056000,-127000,-127000,-127000,-1068000,1158000,-2041000,0.78079,-0.22126,-0.33299,-4.17094,-0.14102,1.04559,1.10981,28.57692,0.08366,-0.14811,-0.14811,0.4448,0.03551,-0.15487,-0.2885,1.14139,0.93986
"29","2017_Q4",2.02984126984127,"Up",5804000,-1159000,4645000,-5733000,-3633000,-2100000,-1088000,-316000,-1000,-1404000,-1663000,-6000,-1669000,-1669000,-1669000,-1669000,3939000,3939000,5209000,5209000,707000,706000,9871000,1381000,4382000,146000,5763000,15634000,4500000,1318000,3182000,2567000,367000,7067000,2513000,2332000,4005000,11072000,237335000,4562000,4562000,15634000,-1669000,231000,565000,-973000,-1846000,-5000,1e+06,995000,0,0,2413000,1562000,1562000,1562000,-857000,1492000,-1829000,0.80031,-0.18746,-0.28756,-0.36585,-0.10675,1.09587,1.39677,2.42701,0.09543,-0.11674,-0.11674,0.40596,0.31909,-0.12793,-0.19482,2.85531,2.24908
"30","2018_Q1",2.20409836065574,"Up",5732000,-1355000,4377000,-5603000,-3422000,-2181000,-1226000,-190000,2000,-1416000,-725000,565000,-160000,-160000,-160000,-160000,2205000,2205000,5145000,5145000,576000,576000,7926000,1229000,4722000,146000,5951000,13877000,3743000,1333000,2410000,1073000,73000,4816000,2936000,2936000,4494000,9310000,237500000,4567000,4567000,13877000,-160000,228000,361000,-2155000,-1726000,-9000.00000000001,-1200000,-1209000,1000.00000000047,999.999999999534,1201000,-1734000,-1734000,-1734000,-998000,1558000,-3727000,0.76361,-0.21389,-0.02791,-0.0350299999999999,-0.01153,23.29375,1.64576,2.03854,0.11227,-0.01118,-0.01118,0.40036,0.31899,-0.26032,-0.01766,0.6483,0.527730000000001
"31","2018_Q2",2.07546875,"Down",5463000,-1309000,4154000,-6175000,-3920000,-2255000,-2021000,-211000,-40000,-2232000,-2371000,-10000,-2381000,-2381000,-2381000,-2381000,3654000,3654000,5355000,5355000,468000,468000,9477000,1102000,4660000,148000,5762000,15239000,3840000,1298000,2542000,183000,183000,4023000,5863000,5863000,7486000,11509000,239197000,3730000,3730000,15239000,-2381000,207000,384000,-69000,-1859000,-16000,-1e+06,-1016000,4465000,4465000,4324000,1449000,1449000,1449000,-1814000,1623000,-1889000,0.76039,-0.36994,-0.43584,-0.63834,-0.15624,0.79336,2.3557,3.08552,0.1065,-0.15563,-0.15563,0.35708,0.24381,-0.12347,-0.19971,1.11963,1.00495
"32","2018_Q3",2.49015873015873,"Up",6945000,-1116000,5829000,-5703000,-3508000,-2195000,126000,-153000,-9999.99999999999,-27000,-2164000,-13000,-2177000,-2177000,-2177000,-2177000,8745000,8745000,6182000,6182000,774000,774000,15701000,1060000,4596000,148000,5656000,21357000,3724000,1315000,2409000,261000,261000,3985000,11699000,11699000,13388000,17373000,241815000,3984000,3984000,21357000,-2177000,2e+05,2368000,-1318000,-927000,-94000,1.16415321826935e-10,-94000,6297000,6297000,6112000,5091000,5091000,5091000,326000,1689000,-1073000,0.83931,0.01814,-0.31346,-0.54644,-0.10193,0.49288,3.94003,4.36069,0.07908,-0.09946,-0.09946,0.3173,0.18202,-0.04902,-0.11467,-21.64417,-56
"33","2018_Q4",2.25301587301587,"Down",6525000,-979000,5546000,-5408000,-3359000,-2049000,138000,-129000,2000,9000,-976000,-7000,-983000,-983000,-983000,-983000,8387000,8387000,6328000,6328000,745000,745000,15460000,940000,4526000,140000,5466000,20926000,3420000,1139000,2281000,120000,120000,3540000,12493000,12493000,14248000,17788000,241995000,3138000,3138000,20926000,-983000,244000,1233000,-738000,-244000,-62000,0,-62000,-8000,-8000,-52000,-358000,-358000,-358000,382000,1755000,-411000,0.84996,0.02115,-0.15065,-0.31326,-0.04698,0.41811,4.36723,5.66858,0.08387,-0.03929,-0.03929,0.26079,0.12542,-0.01643,-0.05401,-17.36126,-48.05797
