"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2016_Q2",18.9225,"Up",86538000,-21740000,64798000,-70778000,-55852000,-14926000,-5980000,-583000,-216000,-367000,-6563000,-6563000,-50000,-6613000,-6613000,-6613000,-6613000,139074000,139074000,25624000,25624000,12949000,12949000,178549000,27489000,15554000,3150000,43043000,221592000,44372000,2798000,41574000,39032000,39032000,87430000,9044000,9044000,23033000,110463000,326867000,-216807000,1069000,111129000,111129000,221592000,-6613000,3377000,7426000,619000,4809000,-2023000,-439000,-2462000,-1025000,281000,281000,-1102101.62224524,-744000,1603000,1603000,-117000,1486000,-2603000,18015000,-3957000,0.74878,-0.0691,-0.07642,-0.05951,-0.02984,0.59837,2.04219,0.99401,0.0813,-0.0917,-0.0917,1.20002,1.54102,-0.05487,-0.04786,-0.02863,46.50749,20.24398
"12","2016_Q3",22.60640625,"Up",91844000,-22364000,69480000,-75784000,-59103000,-16681000,-6304000,-1410000,-193000,-1217000,-7714000,-7714000,-57000,-7771000,-7771000,-7771000,-7771000,147791000,147791000,24170000,24170000,14624000,14624000,186707000,29103000,15385000,3237000,44488000,231195000,46721000,2016000,44705000,42105000,42105000,92849000,7466000,7466000,20431000,113280000,340290000,-224578000,2203000,117915000,117915000,231195000,-7771000,3576000,8993000,5074000,9872000,-4033000,-522000,-4555000,-1027000,5887000,5887000,-1500000,3360000,8677000,8677000,39999.9999999999,8717000,-2728000,16988000,-1630000,0.7565,-0.06864,-0.08461,-0.0659,-0.03361,0.20975,2.01087,0.96069,0.07348,-0.10697,-0.10697,1.26422,1.62308,-0.02244,-0.05458,-0.01145,47.94831,20.74921
"13","2016_Q4",21.8633333333333,"Down",96839000,-23455000,73384000,-80445000,-63955000,-16490000,-7061000,-872000,-176000,-696000,-7933000,-7933000,-46000,-7979000,-7979000,-7979000,-7979000,152390000,152390000,23583000,23583000,16644000,16644000,192701000,31139000,14957000,3064000,46096000,238797000,51069000,4701000,46368000,42738000,42738000,108516000,6929000,6929000,8179000,116695000,351791000,-232557000,2868000,122102000,122102000,238797000,-7979000,3796000,9552000,2386000,7755000,-3578000,-554000,-4132000,-1030000,2100000,2100000,-131000,939000,4562000,4562000,37000,4599000,-3265000,15959000,-4411000,0.75779,-0.07291,-0.08239,-0.06535,-0.03341,0.55283,1.77578,0.95572,0.06683,-0.10888,-0.10888,1.3214,1.66613,-0.06019,-0.05503,-0.03042,41.78591,19.32177
"14","2017_Q1",24.7298387096774,"Up",104503000,-24652000,79851000,-86458000,-69041000,-17417000,-6607000,-256000,-161000,-95000,-6863000,-6863000,-83000,-6946000,-6946000,-6946000,-6946000,160355000,160355000,30243000,30243000,15313000,15313000,205911000,31994000,14724000,3087000,46718000,252629000,56132000,7810000,48322000,45159000,45159000,1.16e+08,6276000,6276000,6588000,122588000,366807000,-239503000,2737000,130041000,130041000,252629000,-6946000,3914000,8679000,1625000,7272000,-4602000,-647000,-5249000,-937000,6836000,6836000,-124000,5775000,7798000,7798000,167000,7965000,-2693000,15021000,-5587000,0.7641,-0.06322,-0.06647,-0.05341,-0.02749,0.80435,1.77509,0.94269,0.05946,-0.09396,-0.09396,1.41358,1.75902,-0.07557,-0.0459,-0.03692,53.96732,21.99697
"15","2017_Q2",33.0595238095238,"Up",112234000,-27306000,84928000,-87157000,-70070000,-17087000,-2229000,43000,-79000,122000,-2186000,-2186000,-51000,-2237000,-2237000,-2237000,-2237000,149690000,149690000,31325000,31325000,17351000,17351000,198366000,34161000,14407000,3025000,48568000,246934000,56628000,4738000,51890000,49368000,49368000,105996000,6454000,6454000,6454000,112450000,378528000,-246812000,2768000,134484000,134484000,246934000,-2237000,3785000,11873000,-4711000,8710000,-5155000,-1640000,-6795000,-15021000,2679000,2679000,-221000,-12563000,-10648000,-10648000,-17000,-10665000,1556000,0,-8259000,0.7567,-0.01986,-0.01993,-0.01663,-0.00906,3.692,1.87145,0.83616,0,-0.02995,-0.02995,1.50283,1.80076,-0.11059,-0.01587,-0.0586,-96.2018,67.15568
"16","2017_Q3",38.3563492063492,"Up",119919000,-29561000,90358000,-92985000,-74368000,-18617000,-2627000,569000,-9000,578000,-2058000,-2058000,-57000,-2115000,-2115000,-2115000,-2115000,167015000,167015000,33264000,33264000,17936000,17936000,218215000,36613000,13789000,2633000,50402000,268617000,55276000,5556000,49720000,53367000,53367000,108643000,6252000,6252000,6252000,114895000,404750000,-253843000,2815000,153722000,153722000,268617000,-2115000,4057000,13873000,-7073000,8742000,-3659000,-1318000,-4977000,1.86264514923096e-09,14770000,14770000,-897000,13873000,17638000,17638000,-313000,17325000,1430000,0,-9245000,0.75349,-0.02191,-0.01764,-0.01376,-0.00787,4.37116,2.00855,0.74742,-6.93889390390723e-18,-0.02788,-0.02788,1.58065,2.0262,-0.12186,-0.01322,-0.05779,-116.79371,63.57632
"17","2017_Q4",45.5206349206349,"Up",130279000,-30784000,99495000,-99760000,-80678000,-19082000,-265000,607000,-6000,613000,342000,342000,-73000,269000,269000,269000,269000,172306000,172306000,39731000,39731000,22185000,22185000,234222000,41638000,13580000,2575000,55218000,289440000,63624000,9956000,53668000,57696000,57696000,121320000,6176000,6176000,6176000,127496000,418596000,-259555000,2903000,161944000,161944000,289440000,269000,4087000,14545000,-5477000,13424000,-7072000,-1944000,-9016000,0,2236000,2236000,-1007000,1229000,5637000,5637000,-346000,5291000,3822000,0,-8654000,0.76371,-0.00203,0.00206,0.00166,0.00093,-32.171,1.93061,0.78728,0,0.0035,0.0035,1.6938,2.10549,-0.11251,0.0016,-0.05148,-45.08268,650.21132
"18","2018_Q1",58.5713114754098,"Up",139094000,-33620000,105474000,-127628000,-107266000,-20362000,-22154000,173000,-5000.00000000001,178000,-21981000,-21981000,-77000,-22058000,-22058000,-22058000,-22058000,181192000,181192000,46690000,46690000,36936000,21512000,264818000,43298000,51698000,40843000,94996000,359814000,62299000,7322000,54977000,62917000,62917000,125216000,6252000,6252000,6252000.00000001,131468000,434848000,-209500000,2998000,228346000,228346000,359814000,-22058000,4285000,2911000,25151000,10289000,-3611000,-1988000,-5599000,0,5810000.00000001,5810000.00000001,-1566000,4243999.99999999,8933999.99999999,8933999.99999999,-48000,8886000,-17869000,0,3748000,0.75829,-0.15927,-0.15858,-0.0966,-0.0613,-0.169919999999998,2.11489,0.57574,0,-0.28403,-0.28403,1.79106,2.94033,0.04826,-0.09402,0.01598,10.14002,8.17875000000004
"19","2018_Q2",71.53828125,"Up",150343000,-35674000,114669000,-116020000,-93369000,-22651000,-1351000,-1338000,-1411000,73000,-2689000,-2689000,-27000,-2716000,-2716000,-2716000,-2716000,554963000,554963000,55379000,55379000,40767000,24118000,651109000,50131000,74238000,42468000,124369000,775478000,68818000,4256000,64562000,68037000,68037000,138107000,6240000,6240000,361505000,499612000,484862000,-212216000,3220000,275866000,275866000,775478000,-2716000,5542000,19642000,-10283000,12185000,-23057000,-2759000,-25816000,37207557.0442783,438145000,453145000,-50924000,387221000,373590000,373590000,181000,373771000,4191000,356517000,-29122000,0.76272,-0.00899,-0.01807,-0.00985,-0.0035,10.72239,4.71453,1.81107,0.45974,-0.03467,-0.03467,1.91908,3.52135,-0.37173,-0.00425,-0.0456,-47.35051,146.88823
"20","2018_Q3",86.2880952380952,"Up",160832000,-38066000,122766000,-127420000,-102606000,-24814000,-4654000,-3498000,-4836000,1338000,-8152000,-8152000,-139000,-8291000,-8291000,-8291000,-8291000,567280000,567280000,67015000,67015000,43783000,24643000,678078000,55076000,80175000,49654000,135251000,813329000,82748000,6366000,76382000,73240000,73240000,156931000,5757000,5757000,365374000,522305000,508736000,-220507000,2795000,291024000,291024000,813329000,-8291000,5934000,28185000,-9138000,16690000,-7269000,-2608000,-9877000,-741000,8041000,8041000.00000012,-1972000,5328000,12140999.9999999,12140999.9999999,176000,12317000.0000001,1280000,360560000,-14988000,0.76332,-0.02894,-0.05155,-0.02849,-0.01019,1.80774,4.32087,1.79471,0.44331,-0.10483,-0.10483,2.03356,3.6797,-0.18951,-0.01261,-0.0228,-161.5,44.41771
"21","2018_Q4",78.7380952380952,"Down",173825000,-39274000,134551000,-141578000,-115231000,-26347000,-7027000,-2383000,-4916000,2533000,-9410000,-9410000,-108000,-9518000,-9518000,-9518000,-9518000,577283000,577283000,74183000,74183000,50692000,29823000,702158000,60200000,79485000,61726000,139685000,841843000,91731000,6017000,85714000,80024000,80024000,172698000,5232000,5232000,369698000,542396000,526899000,-230025000,2573000,299447000,299447000,841843000,-9518000,5718000,30031000,-6004000,20227000,-5996000,-2750000,-8746000,0,1903000,1903000,-2471000,-568000,10913000,10913000,-910000,10003000,-1309000,365409000,-13201000,0.77406,-0.04043,-0.05476,-0.03179,-0.01131,1.38695,4.06581,1.81133,0.43406,-0.11912,-0.11912,2.17545,3.74763,-0.16521,-0.0142,-0.0197,161.85943,30.15142
"22","2019_Q1",98.2540983606557,"Up",188624000,-44115000,144509000,-147913000,-120683000,-27230000,-3404000,-2408000,-4939000,2531000,-5812000,-5812000,134000,-5678000,-5678000,-5678000,-5678000,566329000,566329000,94375000,94375000,46810000,23772000,707514000,70205000,116607000,65889000,186812000,894326000,110832000,10145000,100687000,88527000,88527000,199359000,10806000,10806000,377358000,576717000,551086000,-235703000,2226000,317609000,317609000,894326000,-5678000,6079000,30255000,-7628000,23028000,-9271000,-3304000,-39009000,449457000,-442468000,-442468000,-1715000,5274000,-10707000,-10707000,-247000,-10954000,2675000,366552000,-14358000,0.76612,-0.01805,-0.0301,-0.01788,-0.00635,2.52871,3.54894,1.81581,0.40986,-0.07039,-0.07039,2.3383,3.93729,-0.17799,-0.00817,-0.02066,-74.68299,58.6889
"23","2019_Q2",115.27253968254,"Up",201489000,-50835000,150654000,-158117000,-128330000,-29787000,-7463000,-1981000,-11336607.2591274,-1981000,-9444000,-9444000,3086000,-6358000,-6358000,-6358000,-6358000,549030000,549030000,100706000,100706000,54632000,29708000,704368000,74203000,187131000,101124000,261334000,965702000,134729000,19366000,115363000,93828000,93828000,228557000,34387000,34387000,405921000,634478000,571434000,-242061000,1851000,331224000,331224000,965702000,-6358000,7696000,28801000,-9942000,20197000,-6862000,-3543000,-38275000,0,2666000,2666000,-1934000,732000,-17346000,-17346000,47000,-17299000,233000,371534000,-19657000,0.7477,-0.03704,-0.03156,-0.0192,-0.00658,3.0917,3.0818,1.91556,0.38473,-0.07811,-0.07811,2.47529,4.06909,-0.24149,-0.00863,-0.02667,-761.78541,23.78347
"24","2019_Q3",131.10296875,"Up",215152000,-53630000,161522000,-168702000,-136070000,-32632000,-7180000,-1947000,-17964840.394404,-1947000,-9127000,-9127000,-115999.999999999,-9243000,-9243000,-9243000,-9243000,567668000,567668000,105585000,105585000,61853000,33127000,735106000,78549000,198545000,114418000,277094000,1012200000,142236000,21161000,121075000,103362000,103362000,245598000,34452000,34452000,411035000,656633000,604778000,-251304000,2093000,355567000,355567000,1012200000,-9243000,8790000,37087000,-12583000,24051000,-8132000,-4059000,-12191000,0,10843000.0000001,10843000,-4056000,6787000,18647000,18647000,-9000,18638000,1610000,376583000,-18989000,0.75073,-0.03337,-0.04296,-0.026,-0.00913,2.05442,2.99313,1.84672,0.37204,-0.11225,-0.11225,2.61284,4.31807,-0.23061,-0.01206,-0.02477,-118.68634,26.61351
"25","2019_Q4",164.83890625,"Up",233352000,-59705000,173647000,-184310000,-149024000,-35286000,-10663000,-2234000,-15280000,13046000,-12897000,-12897000,148000,-12749000,-12749000,-12749000,-12749000,582663000,582663000,118282000,118282000,64100000,31904000,765045000,84123000,210311000,129729000,294434000,1059479000,162978000,22443000,140535000,105159000,105159000,268137000,40147000,40147000,421848000,689985000,633196000,-264053000,351000,369494000,369494000,1059479000,-12749000,9574000,52789000,-22854000,26760000,-6361000,-3870000,-10231000,0,4081000,4081000,-5197000,-1116000,15413000,15413000,-418000,14995000,-1089000,381701000,-30452000,0.74414,-0.04569,-0.05463,-0.0345,-0.01203,2.38858,2.85319,1.86738,0.36027,-0.15305,-0.15305,2.80134,4.4357,-0.36557,-0.01611,-0.03848,184.53811,18.84667
"26","2020_Q1",205.960161290323,"Up",252865000,-66873000,185992000,-206361000,-167703000,-38658000,-20369000,-5103000,-5232000,129000.000000004,-25472000,-25472000,215000,-25257000,-25257000,-25257000,-25257000,343606000,343606000,129990000,129990000,61943000,25354000,535539000,89230000,693790000,511174000,915208000,1450747000,173341000,34612000,138729000,107372000,107372000,280713000,37445000,37445000,424334000,705047000,1033062000,-289310000,1948000,745700000,745700000,1450747000,-25257000,11810000,48910000,-41625000,-6162000,-95472000,-5054000,-236083000,-6119000,12237000,12237000,-3479000,2638999.99999997,-239606000,-239606000,549000,-239057000,-8559000,386889000,-145871000,0.73554,-0.08055,-0.09988,-0.03387,-0.01741,5.77547,1.90778,0.94548,0.26668,-0.29549,-0.29549,2.95832,8.72409,-1.70657,-0.02159,-0.12467,-5.05701999999999,-2.12494
"27","2020_Q2",252.94253968254,"Up",267512000,-73444000,194068000,-219558000,-178648000,-40910000,-25490000,-35019000,-7502000,-27517000,-60509000,-60509000,-212000,-60721000,-60721000,-60721000,-60721000,762064000,762064000,135433000,135433000,74087000,34312000,971584000,97924000,692470000,519116000,900336000,1871920000,197592000,35306000,162286000,110178000,110178000,307770000,31735000,31735000,1073726000,1381496000,840124000,-350031000,331000,490424000,490424000,1871920000,-60721000,16548000,75763000,-18521000,13069000,-6861000,-7389000,-14250000,985997000,4802000,4802000,-570503000,420296000,419115000,419115000,-657000,418458000,-8942000,1041991000,-34112000,0.72546,-0.09529,-0.22698,-0.12381,-0.03244,0.56178,3.15685,2.81694,0.55664,-0.69523,-0.69523,3.06292,5.61518,-0.39057,-0.03882,-0.02181,-31.30474,-10.98184
"28","2020_Q3",277.78265625,"Up",277985000,-76637000,201348000,-230684000,-187165000,-43519000,-29336000,30005000,7502000,22503000,669000.000000007,669000.000000007,-160000,508999.999999993,508999.999999993,508999.999999993,508999.999999993,773756000,773756000,142317000,142317000,85943000,39366000,1002016000,114423000,698867000,533490000,962627000,1964643000,204197000,36476000,167721000,122514000,122514000,371128000,43462000,43462000,1051939000,1423067000,889996000,-349522000,1102000,541576000,541576000,1964643000,508999.999999993,17952000,37670000,-29091000,27040000,-8720000,-9632000,-18352000,-501471000,16802000,16802000,487452000,2783000,11471000.0000001,11471000.0000001,221000,11692000,-11384000,1052894000,-49035000,0.72431,-0.10553,0.00183,0.00094000000000001,0.00026000000000001,-96.33595,2.69992,2.62764,0.53592,0.00577000000000005,0.00577000000000005,3.14979,6.13649,-0.55561,0.000310000000000005,-0.02994,-24.5202,-9.5152
"29","2020_Q4",311.046875,"Up",303624000,-82314000,221310000,-250980000,-202499000,-48481000,-29670000,9144000,-32780000,41924000,-20526000,-20526000,-431000,-20957000,-20957000,-20957000,-20957000,745558000,745558000,153583000,153583000,93463000,40251000,992604000,132967000,817102000,658985000,1123710000,2116314000,227557000,38002000,189555000,127500000,127500000,369213000,54462000,54462000,1449360000,1818573000,664698000,-370479000,3522000,297741000,297741000,2116314000,-20957000,19063000,43266000,-114188000,-72816000,-18411000,-11028000,-29439000,121655000,2519000,2519000,-50890000,73284000,-28971000,-28971000,773000,-28198000,-10607000,1409054000,-142775000,0.72889,-0.09772,-0.06902,-0.07039,-0.0099,6.81276,2.68843,6.1079,0.66581,-0.23499,-0.23499,3.40451,3.33854,-1.60092,-0.0119,-0.08106,-62.55265,-22.36252
"30","2021_Q1",367.686885245902,"Up",334536000,-91212000,243324000,-272067000,-215493000,-56574000,-28743000,27047000,-16501000,43548000,-1696000,-1696000,-131000,-1826999.99999999,-1826999.99999999,-1826999.99999999,-1826999.99999999,639853000,639853000,176034000,176034000,110242000,46516000,926129000,142208000,903084000,727458000,1258468000,2184597000,264697000,54043000,210654000,142223000,142223000,438068000,62750000,62750000,1438070000,1876138000,673959000,-372306000,6806000,308459000,308459000,2184597000,-1826999.99999999,22049000,45122000,-67828000,-2484000,-35581000,-10064000,-45645000,-70409000,17107000,17107000,-5471000,-58773000,-106902000,-106902000,1197000,-105705000,-6694000,1406468000,-109972000,0.72735,-0.08592,-0.00545999999999996,-0.00592000000000001,-0.00084,60.19267,2.11412,6.08229,0.64381,-0.02031,-0.02031,3.71876,3.42888,-1.22247,-0.00103,-0.06186,-114.52271,-26.67136
