"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",45.5558064516129,"Up",128117000,-24619000,103498000,-112546000,-46337000,-66209000,-9048000,-1270000,-1059000,125000,-10318000,-1443000,-11761000,6404000,-5357000,-5357000,-5357000,-5357000,426455000,181330000,245125000,117290000,117290000,120825000,54816000,54816000,719386000,273724000,106741000,467525000,165624000,51543000,229771000,19739000,847990000,1567376000,111489000,111489000,134929000,324861000,92392000,92392000,417253000,552182000,1499297000,-486436000,2333000,1015194000,1015194000,1567376000,-5357000,11667000,1009000,6895000,14214000,-15013000,-5934000,0,-20947000,12000,10306000,3573000,3573000,3573000,2619000,348301000,-11903000,0.80784,-0.07062,-0.04181,-0.00528,-0.00342,2.22195,5.33159,0.54392,0.22222,-0.0434,-0.0434,1.03791,8.22432,-0.09643,-0.00368,-0.00818,-29.84116,8.63771
"12","2013_Q1",56.6306666666667,"Up",131938000,-26532000,105406000,-139412000,-55049000,-84363000,-34006000,-3190000,-1165000,-1772000,-37196000,-12898000,-50094000,-2918000,-53012000,-53012000,-53012000,-53012000,447805000,180527000,267278000,109066000,109066000,128695000,57865000,25509000,743431000,284473000,115993000,424450000,162980000,51543000,189303000,19544000,824916000,1568347000,147068000,147068000,170433000,324859000,57292000,57292000,382151000,552584000,1555413000,-539448000,-202000,1015763000,1015763000,1568347000,-53012000,10897000,27275000,26826000,11986000,-13895000,-32973000,-5485000,-52353000,-6365000,39564000,-803000,-803000,-803000,-23109000,348224000,-7260000,0.79891,-0.25774,-0.40179,-0.05219,-0.0338,0.13695,4.36201,0.54401,0.22203,-0.42527,-0.42527,1.05843,8.14866,-0.05824,-0.0373,-0.00511,4.30919,2.92834
"13","2013_Q2",62.31796875,"Up",127928000,-20500000,107428000,-134793000,-51050000,-83743000,-27365000,-1180000,-1007000,228000,-28545000,-15976000,-44521000,4711000,-39810000,-39810000,-39810000,-39810000,401882000,154380000,247502000,120345000,120345000,135822000,64975000,35501000,723024000,281865000,123819000,469585000,172016000,54975000,226757000,15158000,875269000,1598293000,144008000,144008000,144008000,109849000,94284000,56763000,204133000,348141000,1828255000,-579258000,1155000,1250152000,1250152000,1598293000,-39810000,11348000,28217000,-31784000,-32029000,-11826000,13761000,-12162277.9834103,-7940000,-195000,13822000,-26147000,-26147000,-26147000,-16017000,109849000,-64338000,0.83975,-0.21391,-0.31119,-0.03184,-0.02491,1.61613,5.02072,0.27848,0.06873,-0.31109,-0.31109,0.99968,9.76918,-0.50276,-0.02737,-0.04424,18.23269,10.67177
"14","2013_Q3",66.45984375,"Up",136810000,-22567000,114243000,-136317000,-50656000,-85661000,-22074000,-239000,47000,-123000,-22313000,2022000,-20291000,-1242000,-21533000,-21533000,-21533000,-21533000,400561000,175445000,225116000,115063000,115063000,142296000,6.3e+07,33526000,720920000,282002000,123905000,474693000,168434000,54975000,235400000,14883000,880600000,1601520000,142241000,142241000,142241000,109822000,91199000,54017000,201021000,343262000,1856608000,-600791000,2441000,1258258000,1258258000,1601520000,-21533000,12868000,2084000,-236000.000000007,-6817000,-10412000,23157000,-485000,12260000,-5723000,15622000,21065000,21065000,21065000,-9206000,109822000,-18612000,0.83505,-0.16135,-0.15739,-0.01711,-0.01345,0.86435,5.0683,0.27281,0.06857,-0.1544,-0.1544,0.98098,9.02216,-0.13345,-0.01476,-0.01275,31.58147,13.17111
"15","2013_Q4",67.89625,"Up",136874000,-28054000,108820000,-149905000,-61841000,-88064000,-41085000,140000,48000,239000,-40945000,-11371000,-52316000,-704000,-53020000,-53020000,-53020000,-53020000,379651000,181565000,198086000,124745000,124745000,148684000,60399000,28161000,713479000,285664000,147771000,473616000,165791000,54258000,238703000,14010000,907051000,1620530000,167633000,167633000,167633000,78310000,98101000,60911000,176411000,344044000,1918824000,-653811000,11473000,1276486000,1276486000,1620530000,-53020000,13312000,19217000,10999000,-9492000,-13202000,16515000,0,3313000,-416000,12299000,6120000,6120000,6120000,-27773000,78310000,-29272000,0.79504,-0.30017,-0.38736,-0.04154,-0.03272,0.55209,4.2562,0.26952,0.04832,-0.37636,-0.37636,0.97161,9.06119,-0.20779,-0.03649,-0.02015,10.85014,7.33457
"16","2014_Q1",73.6975409836066,"Up",146873000,-17270000,129603000,-169121000,-71809000,-97312000,-39518000,-6252000,-6452000,638000,-45770000,-13605000,-59375000,-2615000,-61990000,-61990000,-61990000,-61990000,784723000,568781000,215942000,117822000,117822000,162605000,72268000,41707000,1137418000,319316000,267700000,519626000,163147000,54258000,145234000,156171000,1106642000,2244060000,183271000,183271000,183271000,655566000,64182000,64182000,719748000,903019000,2051824000,-715801000,5018000,1341041000,1341041000,2244060000,-61990000,-1514000,41586000,12921000,-8997000,-29753000,-159832000,-116900000,-306485000,-32811000,704928000,389446000,389446000,387216000,-41032000,655566000,-55249000,0.88242,-0.26906,-0.42207,-0.04623,-0.02762,0.89126,6.20621,0.67337,0.29213,-0.43437,-0.43437,1.02914,9.3967,-0.38713,-0.03008,-0.02681,3.14771,3.26831
"17","2014_Q2",60.4119047619048,"Down",151552000,-22816000,128736000,-146235000,-60069000,-86166000,-17499000,-8168000,-7983000,153000,-25667000,-8957000,-34624000,-3491000,-38115000,-38115000,-38115000,-38115000,887481000,639778000,247703000,110462000,110462000,176893000,71574000,41013000,1246410000,437066000,251450000,405802000,165397000,54258000,144124000,41545000,1094318000,2340728000,156038000,156038000,156038000,661419000,63150000,63150000,724569000,880607000,2206762000,-753916000,7275000,1460121000,1460121000,2340728000,-38115000,12004000,26362000,-26744000,-26493000,-23607000,-14915000,-92026519.1984852,-38522000,-212000,136964000,71949000,71949000,70997000,-5495000,661419000,-52355000,0.84945,-0.11547,-0.2515,-0.0261,-0.01628,1.37361,7.98786,0.60311,0.28257,-0.26472,-0.2644,1.05257,10.14093,-0.36362,-0.01745,-0.02396,41.13958,12.91857
"18","2014_Q3",65.71859375,"Up",191787000,-31210000,160577000,-175791000,-68089000,-107702000,-15214000,-8172000,-7486000,-147000,-23386000,-4342000,-27728000,-5774000,-33502000,-33502000,-33502000,-33502000,836618000,584717000,251901000,122282000,122282000,193498000,67829000,37268000,1220227000,469862000,244148000,411448000,163045000,54258000,147143000,46562000,1125458000,2345685000,166720000,166720000,166720000,650872000,66124000,66124000,716996000,883716000,2239446000,-787418000,9941000,1461969000,1461969000,2345685000,-33502000,13676000,25167000,-16806000,-11465000,-40518000,1661000,-1500000,-40356999.9999999,-11549000,-3158999.99999994,-54981000,-54981000,-55061000,-1538000,650872000,-53088000,0.83727,-0.07933,-0.17468,-0.02292,-0.01428,1.58462,7.31902,0.60447,0.27748,-0.22928,-0.22892,1.31253,10.00526,-0.36332,-0.01538,-0.02436,120.77113,12.20889
"19","2014_Q4",83.15953125,"Up",175877000,-29920000,145957000,-199838000,-74230000,-125608000,-53881000,-7982000,-7683000,-74000,-61863000,65084000,3221000,4224000,7445000,7445000,7445000,7445000,666373000,398005000,268368000,121395000,121395000,204444000,85607000,56458000,1077819000,486741000,448328000,427545000,159949000,54258000,150991000,61532000,1362614000,2440433000,206550000,206550000,206550000,656884000,68557000,68557000,725441000,931991000,2269226000,-779973000,19189000,1508442000,1508442000,2440433000,7445000,14225000,-43504000,13277000,-8557000,42330000,-228208000,-1600000,-187478000,-662000,8871000,-187164000,-187164000,-186712000,-39656000,656884000,11727000,0.82988,-0.30636,0.04233,0.00494,0.00305,1.57515,5.2182,0.61785,0.26917,0.05064,0.04673,1.19631,10.26039,0.07977,0.00333,0.00525,0.239279999999994,0.176109999999998
"20","2015_Q1",105.953114754098,"Up",230068000,-38321000,191747000,-241835000,-99768000,-142067000,-50088000,-7655000,-7553000,-327000,-57743000,-7994000,-65737000,-4060000,-69797000,-69797000,-69797000,-69797000,945192000,875486000,69706000,144472000,144472000,199452000,108524000,108524000,1397640000,523516000,97856000,456367000,156578000,54258000,190974000,54557000,1077739000,2475379000,231844000,231844000,235739000,642902000,68844000,68844000,711746000,947485000,2350198000,-849770000,27466000,1527894000,1527894000,2475379000,-69797000,5966000,25535000,14389000,-23907000,-27767000,542739000,-52288000,462684000,-747000,41522000,480299000,480299000,477481000,-44122000,642902000,-53440000,0.83344,-0.21771,-0.30338,-0.04568,-0.0282,0.76565,5.92876,0.62012,0.25972,-0.47072,-0.51479,1.55161,10.30432,-0.36041,-0.03116,-0.02386,6.85123,6.03518
"21","2015_Q2",123.92253968254,"Up",202920000,-30998000,171922000,-234880000,-92806000,-142074000,-62958000,-8680000,-8779000,249000,-71638000,-3065000,-74703000,7202000,-67501000,-67501000,-67501000,-67501000,1008689000,900570000,108119000,175738000,175738000,222833000,115468000,84265000,1522728000,538117000,223920000,1373921000,926896000,202392000,163411000,80332000,2135958000,3658686000,230212000,230212000,305506000,655491000,272234000,79032000,927725000,1233231000,3298907000,-917271000,43819000,2425455000,2425455000,3658686000,-67501000,10817000,16248000,-97375000,-137811000,-43832000,-164294000,-4353000,-750871000,-1492000,914791000,26109000,26109000,25084000,-52141000,655491000,-200550000,0.84724,-0.31026,-0.33265,-0.02783,-0.01845,2.97107,4.98428,0.50845,0.17916,-0.42827,-0.42827,1.28747,15.38877,-1.27243,-0.02013,-0.05981,6.7739,5.61006
"22","2015_Q3",133.57578125,"Up",250135000,-38063000,212072000,-259415000,-101514000,-157901000,-47343000,-18255000,-8979000,-9073000,-65598000,-16945000,-82543000,554000.000000002,-81989000,-81989000,-81989000,-81989000,681553000,440664000,240889000,186083000,186083000,237532000,108761000,77558000,1213929000,568051000,509627000,1357082000,923861000,202392000,172545000,58284000,2434760000,3648689000,256330000,256330000,347704000,661492000,282536000,89334000,944028000,1291732000,3323756000,-999260000,32461000,2356957000,2356957000,3648689000,-81989000,11446000,50542000,7010000.00000001,-12991000,-35456000,-410769000,1026999.99999999,-445198000,-19752000,-2350999.99999988,-460540000,-460540000,-459906000,-35897000,661492000,-64897000,0.84783,-0.18927,-0.32778,-0.03479,-0.02247,0.79153,3.49127,0.54805,0.1813,-0.51113,-0.51113,1.55939,14.6937,-0.40458,-0.02484,-0.01966,0.55885,0.42374
"23","2015_Q4",104.3184375,"Down",208904000,-34904000,1.74e+08,-252757000,-94044000,-158713000,-78757000,-8570000,-8103000,-281000,-87327000,-3116000,-90443000,-483000,-90926000,-90926000,-90926000,-90926000,618330000,376346000,241984000,148949000,148949000,262100000,146210000,115330000,1175589000,604513000,514381000,1330370000,920943000,202392000,146245000,60790000,2449264000,3624853000,296200000,296200000,390491000,667793000,273929000,80727000,941722000,1332213000,3357642000,-1090186000,25184000,2292640000,2292640000,3624853000,-90926000,12038000,60643000,15395000,-2850000,-44556000,-6024000,-12500000,-63080000,-2323000,3765000,-62165000,-62165000,-64318000,-66719000,667793000,-95397000,0.83292,-0.377,-0.43525,-0.03966,-0.02508,1.04917,3.01054,0.58108,0.18423,-0.56516,-0.56429,1.29846,14.25009,-0.59295,-0.02811,-0.02949,-0.741359999999999,-0.62805
"24","2016_Q1",81.3626229508197,"Down",227936000,-48043000,179893000,-290025000,-113907000,-176118000,-110132000,-8517000,-7882000,-357000,-118649000,211614000,92965000,-24348000,68617000,68617000,68617000,68617000,592619000,397040000,195579000,164959000,164959000,271683000,60378000,60378000,1089639000,704207000,425652000,1509870000,683996000,197039000,220191000,408644000,2639729000,3729368000,392511000,392511000,445457000,662286000,220778000,77251000,883064000,1328521000,3401383000,-1021569000,21033000,2400847000,2400847000,3729368000,68617000,12886000,-268652000,121302000,-65847000,306191000,132616000,-359256000,79551000,-2012000,9517999.99999997,23222000.0000001,23222000.0000001,20694000,-97246000,662286000,354595000,0.78923,-0.48317,0.30104,0.02858,0.0184,5.16774,2.44611,0.55336,0.17759,0.42567,0.42633,1.41403,14.89396,2.19978,0.02089,0.10798,-0.7164,-0.63258
"25","2016_Q2",85.0140625,"Up",236736000,-43118000,193618000,-264093000,-105300000,-158793000,-70475000,-8209000,-8272000,198000,-78684000,-10442000,-89126000,6075000,-83051000,-83051000,-83051000,-83051000,456853000,270453000,186400000,180751000,180751000,296979000,58207000,58207000,992790000,716916000,314404000,1642883000,1177232000,197039000,243212000,25400000,2674203000,3666993000,290562000,290562000,388011000,668009000,320737000,177210000,988746000,1376757000,3396900000,-1106711000,47000,2290236000,2290236000,3666993000,-83051000,18726000,13391000,-120520000,-171454000,-45204000,122353000,-150000,76999000,-40785000,-37264000,-131719000,-131719000,-126587000,-51749000,668009000,-223548000,0.81786,-0.29769,-0.35082,-0.03626,-0.02265,2.6917,2.55866,0.60114,0.18217,-0.51409,-0.51409,1.46542,14.17681,-1.38379,-0.02533,-0.06818,-4.08039,-2.99618
"26","2016_Q3",94.1653125,"Up",300131000,-51617000,248514000,-276616000,-109577000,-167039000,-28102000,-10139000,-8587000,-1417000,-38241000,-544704000,-582945000,163931000,-419014000,-419014000,-419014000,-419014000,503287000,305969000,197318000,214158000,214158000,326556000,61945000,61945000,1105946000,724494000,201620000,1055244000,568966000,197039000,266182000,23057000,1981358000,3087304000,292342000,292342000,364580000,645685000,159463000,159463000,805148000,1169728000,3443319000,-1530271000,4528000,1917576000,1917576000,3087304000,-419014000,28657000,409753000,-65201000,-45805000,-25506000,102513000,0,75540000,-12039000,7454000,37189000,37189000,35516000,555000,670105000,-254083000,0.82802,-0.09363,-1.3961,-0.21851,-0.13572,0.60638,3.03348,0.61,0.21705,-2.57717,-2.57717,1.84597,11.79415,-1.56275,-0.15253,-0.09249,300.57297,-5.93616
"27","2016_Q4",85.995873015873,"Down",279896000,-50738000,229158000,-279589000,-118758000,-160831000,-50431000,-6728000,-8347000,1723000,-57159000,-9654000,-66813000,29388000,-37425000,-37425000,-37425000,-37425000,1034848000,707349000,327499000,215894000,215894000,347420000,68409000,68409000,1666571000,729836000,362956000,1082875000,561387000,197039000,288006000,36443000,2175667000,3842238000,306129000,306129000,377335000,653178000,165917000,165917000,819095000,1196430000,4216718000,-1573068000,2158000,2645808000,2645808000,3842238000,-37425000,29422000,12600000,-14965000,-10368000,-26096000,-292458000,-8383000,-326937000,-2417000,737005000,399700000,399700000,401380000,-21009000,675638000,-91458000,0.81873,-0.18018,-0.13371,-0.01415,-0.00974000000000003,2.44377,4.41669,0.4522,0.17584,-0.22315,-0.22315,1.66889,15.77571,-0.54532,-0.01073,-0.02623,17.09791,7.1228
"28","2017_Q1",88.9648387096774,"Up",300091000,-64147000,235944000,-318200000,-142958000,-175242000,-82256000,-2545000,-6806000,4425000,-84801000,-7365000,-92166000,1445999.99999999,-90720000.0000001,-90720000.0000001,-90720000.0000001,-90720000.0000001,789677000,408330000,381347000,215280000,215280000,355126000,61708000,61708000,1421791000,798768000,572711000,1230420000,553780000,197039000,446786000,32815000,2601899000,4023690000,370505000,370505000,439310000,660761000,157344000,157344000,818105000,1257415000,4273965000,-1520506000,12816000,2766275000,2766275000,4023690000,-90720000.0000001,20107000,29992999.9999999,40410000,-210000,-51574000,-264588000,7835000,-309649000,-4816000,19913000,-289946000,-289946000,-299019000,-62149000,683239000,-74759000,0.78624,-0.2741,-0.30231,-0.0328,-0.02255,0.824059999999999,3.23642,0.45455,0.1698,-0.52716,-0.52431,1.74379,16.07449,-0.43442,-0.02515,-0.02073,1.71263,1.29398
"29","2017_Q2",90.9769841269841,"Up",303745000,-50006000,253739000,-265022000,-120019000,-145003000,-11283000,-4098000,-7047000,3472000,-15381000,-8925000,-24306000,8016000,-16290000,-16290000,-16290000,-16290000,678055000,348234000,329821000,230250000,230250000,384143000,60340000,60340000,1352788000,824013000,533628000,1228178000,546172000,197039000,458387000,26580000,2585819000,3938607000,272447000,272447000,340206000,668437000,160877000,160877000,829314000,1169520000,4300863000,-1536796000,5020000,2769087000,2769087000,3938607000,-16290000,19412000,25988000,-109553000,-80443000,-69090000,95528000,-1391000,25047000,-19829000,-6743000,-62139000,-62139000,-60096000,8129000,690932000,-178530000,0.83537,-0.03715,-0.05363,-0.00587999999999999,-0.00413999999999999,10.95948,3.97638,0.42235,0.17543,-0.09432,-0.09432,1.7587,16.03316,-1.0337,-0.0045,-0.04931,1.58408,-1.14127
