"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",5.8071875,"Up",40726000,-27783000,12943000,-20997000,-11791000,-9206000,-8054000,832000,3000,829000,-7222000,-8655000,-333000,-8988000,-8988000,-8988000,-8988000,42441000,42441000,23150000,23150000,98729000,5622000,5519000,169942000,33663000,12352000,12352000,46015000,215957000,23049000,13793000,356000,8900000,11021000,11021000,34070000,6034000,6034000,6034000,40104000,505586000,-331465000,2950000,175853000,175853000,215957000,-8988000,1394000,2738000,2977000,-1879000,250000,253000,49000,49000,49000,-1577000,-1577000,-968000,-2545000,-6660000,0,-3100000,0.31781,-0.19776,-0.22069,-0.05111,-0.04162,0.3449,4.98802,0.22805,0,-0.33219,-0.33219,1.50521,6.49941,-0.11457,-0.04942,-0.01704,6.37252,5.26956
"12","2013_Q3",8.104375,"Up",47500000,-30765000,16735000,-20509000,-12006000,-8503000,-3774000,-361000,-112000,-249000,-4135000,-3757000,-263000,-4020000,-4020000,-4020000,-4020000,34639000,34639000,30220000,30220000,96412000,6129000,6025000,167400000,32964000,13406000,13406000,46370000,213770000,22973000,16188000,226000,6559000,11579000,11579000,34552000,6088000,6088000,6088000,40640000,506756000,-335485000,3077000,173130000,173130000,213770000,-4020000,1325000,161000,-6384000,-8918000,614000,612999.999999998,354000,354000,354000,-7951000,-7951000,149000,-7802000,-2449000,-4.65661287307739e-10,-7956000,0.35232,-0.07945,-0.08463,-0.02322,-0.01881,1.9791,4.84487,0.23474,-1.73472347597681e-18,-0.14832,-0.14832,1.75259,6.38791,-0.29355,-0.02243,-0.04439,14.14414,9.17833
"13","2013_Q4",9.0765625,"Up",48832000,-31855000,16977000,-19644000,-11496000,-8148000,-2667000,-1442000,-191000,-1251000,-4109000,-4221000,-529000,-4750000,-4750000,-4750000,-4750000,48317000,48317000,29321000,29321000,94316000,6649000,5066000,178603000,32311000,16367000,16367000,48678000,227281000,23646000,16075000,262000,7309000,9622000,9622000,33453000,6283000,6283000,21098000,54551000,509086000,-340235000,5097000,172730000,172730000,227281000,-4750000,1229000,1762000,1707000,-52000,-148000,-1627000,907000,907000,14609000,12930000,12930000,748000,13678000,-1438000,1.5e+07,650000,0.34766,-0.05462,-0.09727,-0.0275,-0.0209,-0.13684,5.33892,0.31582,0.066,-0.17418,-0.17418,1.79067,6.33401,0.02384,-0.02448,0.00335,23.16898,12.49231
"14","2014_Q1",9.1983606557377,"Up",58574000,-37294000,21280000,-20236000,-11337000,-8899000,1044000,-515000,-113000,-402000,529000,529000,85000,614000,614000,614000,614000,46290000,46290000,36587000,36587000,95789000,6242000,6242000,184908000,32006000,16635000,16635000,48641000,233549000,24713000,19451000,417000,4845000,10276000,10276000,35460000,7558000,7558000,22087000,57547000,511102000,-339621000,5739000,176002000,176002000,233549000,614000,1127000,-394000,-5540000,-4193000,-337000,1246000,795000,795000,708000.000000004,-2239000,-2239000,212000,-2027000,2171000,1.5e+07,-3791000,0.3633,0.01782,0.01048,0.00349,0.00263,-6.17427,5.21455,0.32697,0.06423,0.02238,0.02238,2.13468,6.41424,-0.13816,0.00309,-0.01909,-14.41271,-29.97126
"15","2014_Q2",7.45714285714286,"Down",60840000,-39100000,21740000,-21214000,-11957000,-9257000,526000,43000,-249000,292000,569000,369000,-195000,174000,174000,174000,174000,43039000,43039000,38121000,38121000,95533000,7476000,7476000,184169000,31605000,16929000,16929000,48534000,232703000,23031000,17865000,474000,4692000,9432000,9432000,33225000,7315000,7315000,21553000,54778000,513522000,-339447000,5068000,177925000,177925000,232703000,174000,1140000,1543000,-6820000,-3963000,-227000,-227000,1277000,1277000,1277000,-2913000,-2913000,-338000,-3251000,1666000,1.5e+07,-5186000,0.35733,0.00865,0.00286,0.00098,0.00075,-29.8046,5.54309,0.30787,0.06446,0.00629,0.00601,2.19939,6.43205,-0.18748,0.00087,-0.0259,-16.83013,-53.30608
"16","2014_Q3",7.5115625,"Up",41150000,-26666000,14484000,-20376000,-11531000,-8845000,-5892000,-617000,-255000,-362000,-6509000,-6669000,-231000,-6900000,-6900000,-6900000,-6900000,35588000,35588000,32067000,32067000,106650000,7572000,7572000,181877000,31340000,13364000,13364000,44704000,226581000,21784000,17379000,430000,3975000,9234000,9234000,32072000,7237000,7237000,21183000,53255000,515058000,-346347000,5833000,173326000,173326000,226581000,-6900000,1159000,1217000,-3368000,-7892000,-340000,-340000,533000,533000,533000,-7699000,-7699000,248000,-7451000,-4733000,1.5e+07,-8210000,0.35198,-0.14318,-0.16768,-0.03981,-0.03045,1.18986,5.6709,0.30725,0.0662,-0.24817,-0.26022,1.48002,6.23391,-0.29528,-0.03528,-0.04198,4.34988,3.49422999999999
"17","2014_Q4",8.6790625,"Up",38531000,-23387000,15144000,-18222000,-10272000,-7950000,-3078000,1050000,-302000,1352000,-2028000,-4316000,-388000,-4704000,-4704000,-4704000,-4704000,32536000,32536000,29904000,29904000,107816000,5739000,5739000,175995000,30880000,13668000,13668000,44548000,220543000,21074000,14699000,545000,5830000,9489000,9489000,31727000,7441000,7441000,21092000,52819000,517104000,-351051000,2889000,167724000,167724000,220543000,-4704000,1142000,2043000,-379000,-1898000,-143000,-143000,475000,475000,290000,-1751000,-1751000,-1301000,-3052000,-1936000,14815000,-2070000,0.39303,-0.07988,-0.12208,-0.02805,-0.02133,0.44005,5.54717,0.31492,0.06718,-0.16844,-0.16844,1.37969,6.00575,-0.07412,-0.02476,-0.0109,9.15341,5.75731
"18","2015_Q1",10.3350819672131,"Up",62530000,-43734000,18796000,-18392000,-10911000,-7481000,404000,18000.0000000002,-231000,249000,421999.999999999,449000,-285000,164000,164000,164000,164000,30753000,30753000,42794000,42794000,104063000,7525000,6700000,185135000,30464000,12055000,12055000,42519000,227654000,26033000,21605000,196000,4232000,11535000,11535000,52098000,7204000,7204000,7204000,59302000,519181000,-350887000,1276000,168352000,168352000,227654000,164000,1148000,3092000,-6696000,-2292000,-186000,-186000,1056000,1056000,655999.999999998,-1822000,-1822000,39000,-1783000,1552000,14530000,-5045000,0.30059,0.00645999999999999,0.00262,0.000970000000000002,0.000719999999999998,-30.7622,3.55359,0.35225,0.06382,0.00584999999999999,0.00584999999999999,2.22886,6.00084,-0.17983,0.00086,-0.02654,-10.45296,-40.15594
"19","2015_Q2",11.5847619047619,"Up",73283000,-49903000,23380000,-19928000,-11729000,-8199000,3452000,-1473000,-1040000,-433000,1979000,1969000,-101000,1868000,1868000,1868000,1868000,74548000,74548000,42753000,42753000,109525000,7560000,7493000,234386000,30198000,11573000,11573000,41771000,276157000,36469000,30536000,322000,5611000,13904000,13904000,50373000,54515000,54515000,54515000,104888000,521221000,-349019000,285000,171269000,171269000,276157000,1868000,1142000,1502000,4228000,8740000,-320000,-320000,937000,937000,34866000,43286000,43286000,509000,43795000,4594000,0,8603000,0.31904,0.04711,0.02549,0.01091,0.00676,4.60546,4.65301,0.61242,0,0.06604,0.06294,2.5906,6.05448,0.30412,0.00827,0.0381,-16.22725,-21.5956
"20","2015_Q3",12.183125,"Up",78437000,-51263000,27174000,-19988000,-12089000,-7899000,7186000,-1255000,-1304000,48999.9999999999,5931000,5923000,-40000,5883000,5883000,5883000,5883000,78085000,78085000,42002000,42002000,122001000,8650000,8650000,250738000,29951000,14624000,14624000,44575000,295313000,44408000,38849000,297000,5262000,15935000,15935000,60343000,54580000,54580000,54580000,114923000,524111000,-343136000,633000,180390000,180390000,295313000,5883000,1156000,2187000,-6198000,3028000,-352000,-352000,941000,941000,942999.999999985,3619000.00000001,3619000.00000001,-82000,3537000,8342000,1.86264514923096e-09,1832000,0.34644,0.09161,0.075,0.03261,0.01992,0.311410000000001,4.15521,0.63708,0,0.20681,0.19435,2.7574,6.34149,0.0644,0.02504,0.0078,-9.36047,-10.86627
"21","2015_Q4",10.624375,"Down",79317000,-50138000,29179000,-21487000,-12906000,-8581000,7692000,-1434000,-1267000,-167000,6258000,6258000,-157000,6101000,6101000,6101000,6101000,79871000,79871000,38674000,38674000,120067000,10030000,10030000,248642000,29985000,14172000,14172000,44157000,292799000,32874000,24350000,262000,8262000,16946000,16946000,49820000,54863000,54863000,54863000,104683000,527390000,-337035000,-1021000,188116000,188116000,292799000,6101000,1310000,1697000,-8453000,655000,-657000,-657000,1872000,1872000,1876000,1874000,1874000,-88000,1786000,9002000,0,49000,0.36788,0.09698,0.07692,0.03243,0.02084,0.00803,4.99081,0.55648,0,0.21253,0.19993,2.76308,6.55319,0.00171,0.02511,2e-04,-8.87258,-10.38365
"22","2016_Q1",10.223606557377,"Down",70458000,-48485000,21973000,-19567000,-11660000,-7907000,2406000,-1351000,-1301000,-50000,1055000,1055000,-229000,826000,826000,826000,826000,78889000,78889000,36868000,36868000,109408000,4792000,4792000,229957000,30031000,21796000,21796000,51827000,281784000,29051000,19849000,143000,9059000,15317000,15317000,44368000,53652000,53652000,53652000,98020000,529118000,-342705000,-1431000,183764000,183764000,281784000,826000,1261000,2689000,1068000,5844000,-501000,-501000,612000,612000,-160000,5183000,5183000,-54000,5129000,3667000,-1.16415321826935e-10,4463000,0.31186,0.03415,0.01172,0.00449,0.00293,5.40315,5.18295,0.5334,4.33680868994202e-19,0.02854,0.02713,2.43462,6.34983,0.15422,0.00348,0.0188,-21.51323,-32.78845
"23","2016_Q2",10.724375,"Up",67521000,-44105000,23416000,-20638000,-12002000,-8636000,2778000,-1052000,-993000,-59000,1726000,1444000,504000,1948000,1948000,1948000,1948000,67571000,67571000,47471000,47471000,115165000,6106000,6106000,236313000,30997000,26024000,26024000,57021000,293334000,30354000,21700000,177000,8477000,15560000,15560000,45914000,53105000,53105000,53105000,99019000,530150000,-334261000,-356000,194315000,194315000,293334000,1948000,918000,1337000,-14384000,-10181000,-1275000,-1275000,194000,194000,192000,-11264000,-11264000,-127000,-11391000,3696000,0,-12467000,0.3468,0.04114,0.02885,0.01002,0.00664,-6.3999,5.14686,0.50958,0,0.06708,0.06383,2.32526,6.69175,-0.42933,0.00787,-0.05039,-18.2822,-24.32361
"24","2016_Q3",11.60375,"Up",64451000,-39320000,25131000,-20500000,-12022000,-8478000,4631000,-1522000,-1284000,-238000,3109000,3109000,-172000,2937000,2937000,2937000,2937000,60981000,60981000,63482000,63482000,110582000,7658000,7658000,242703000,31057000,25528000,25528000,56585000,299288000,32967000,26836000,196000,5935000,21323000,21323000,54290000,53186000,53186000,53186000,107476000,530418000,-337820000,-786000,191812000,191812000,299288000,2937000,1143000,2037000,-12639000,-6522000,-584000,-584000,362000,362000,245000,-6861000,-6861000,270000,-6591000,5774000,7.27595761418343e-12,-7277000,0.38992,0.07185,0.04557,0.01531,0.00981,-2.4777,4.47049,0.56032,0,0.10095,0.09569,2.21527,6.59284,-0.25012,0.01199,-0.0297,-10.56131,-13.168
"25","2016_Q4",13.6085714285714,"Up",65650000,-41546000,24104000,-20473000,-11980000,-8493000,3631000,-1344000,-1289000,-55000,2287000,2287000,-136000,2151000,2151000,2151000,2151000,65623000,65623000,44993000,44993000,117001000,4701000,4701000,232318000,30804000,28028000,28028000,58832000,291150000,24984000,20241000,235000,4508000,14728000,14728000,39712000,53510000,53510000,53510000,93222000,533421000,-335669000,176000,197928000,197928000,291150000,2151000,1132000,2107000,-1700000,3690000,-240000,-240000,1181000,1181000,1152000,4602000,4602000,43000,4645000,4763000,0,2959000,0.36716,0.05531,0.03276,0.01087,0.00739,1.37564,5.85007,0.47099,0,0.07361,0.06924,2.2466,6.77325,0.10126,0.00855,0.01177,-13.77766,-18.07298
"26","2017_Q1",15.7395161290323,"Up",69358000,-42411000,26947000,-21082000,-12287000,-8795000,5865000,-1681000,-1269000,-412000,4184000,4184000,-219000,3965000,3965000,3965000,3965000,70791000,70791000,50573000,50573000,113853000,5512000,5512000,240729000,30840000,30662000,29602000,61502000,302231000,30378000,24996000,240000,5142000,17353000,17353000,47731000,53045000,53045000,53045000,100776000,535438000,-331704000,-2279000,201455000,201455000,302231000,3965000,1065000,1126000,-1931000,4225000,-137000,-137000,767000,767000,758000,4846000,4846000,321000,5167000,6930000,4.54747350886464e-13,5081000,0.38852,0.08456,0.05717,0.01968,0.01312,1.28146,5.04345,0.50024,-1.6940658945086e-21,0.13474,0.12584,2.35703,6.84616,0.17267,0.01558,0.01996,-10.21515,-12.07008
"27","2017_Q2",21.1293650793651,"Up",86893000,-52179000,34714000,-24001000,-14106000,-9895000,10713000,-1196000,-1042000,-154000,9517000,9517000,-11000,9506000,9506000,9506000,9506000,69429000,69429000,67083000,67083000,115635000,7937000,7937000,260084000,31486000,31037000,31037000,62523000,322607000,32598000,26426000,252000,5920000,20237000,20237000,52835000,53529000,53529000,53529000,106364000,538777000,-322198000,-336000,216243000,216243000,322607000,9506000,1177000,1631000,-14982000,-2668000,-1116000,-1116000,2531000,2531000,2245000,-1539000,-1539000,105000,-1434000,11890000,0,-4197000,0.3995,0.12329,0.1094,0.04396,0.02947,-0.44151,4.92257,0.49187,0,0.31929,0.29471,2.91861,7.2633,-0.14097,0.03524,-0.01556,-5.83928,-6.48082
"28","2017_Q3",22.1401587301587,"Up",102790000,-63728000,39062000,-26532000,-15276000,-11256000,12530000,-1209000,-1225000,16000,11321000,11321000,2611000,13932000,13932000,13932000,13932000,108558000,108558000,48561000,48561000,122574000,9985000,9985000,289678000,31617000,33447000,33447000,65064000,354742000,40031000,27606000,255000,12170000,22326000,22326000,62357000,53947000,53947000,53947000,116304000,546522000,-308266000,182000,238438000,238438000,354742000,13932000,1255000,-946999.999999999,19825000,34065000,-733000,-733000,7108000,7108000,6260000,39592000,39592000,-462000,39130000,13785000,2.8421709430404e-14,30266000,0.38002,0.1219,0.13554,0.05843,0.03927,2.17241,4.64548,0.48777,1.05879118406788e-22,0.45538,0.41834,3.35981,7.79362,0.98928,0.04765,0.10351,-7.87508,-8.66385
"29","2017_Q4",31.4668253968254,"Up",104482000,-64731000,39751000,-25916000,-14913000,-11003000,13835000,-980000,-1118000,138000,12855000,12855000,-1014000,11841000,11841000,11841000,11841000,113889000,113889000,69835000,69835000,123441000,7466000,7466000,314631000,35704000,32770000,32770000,68474000,383105000,49708000,33594000,285000,15829000,23989000,23989000,73697000,55006000,55006000,55006000,128703000,550089000,-296425000,738000,254402000,254402000,383105000,11841000,1320000,3112000,-7348000,8925000,-5061000,-5061000,1822000,1822000,1822000,5686000,5686000,-349000,5337000,15155000,0,3760000,0.38046,0.13242,0.11333,0.04654,0.03091,0.31754,4.26925,0.5059,0,0.3785,0.35256,3.33979,8.13202,0.12019,0.03827,0.01215,-7.51495,-8.23195
"30","2018_Q1",26.2750819672131,"Down",116396000,-79676000,36720000,-25956000,-15039000,-10917000,10764000,-626000,-1022000,396000,10138000,10138000,81542000,91680000,91680000,91680000,91680000,133407000,133407000,75302000,75302000,120544000,10522000,9772000,339775000,36168000,112275000,29127000,148443000,488218000,53870000,32642000,273000,20955000,25417000,25417000,79287000,55321000,55321000,55321000,134608000,556179000,-204745000,2176000,353610000,353610000,488218000,91680000,1250000,-72074000,-4894000,15962000,-375000,-375000,4793000,4793000,4743000,20330000,20330000,-138000,20192000,12014000,-1.13686837721616e-13,-74797000,0.31547,0.09248,0.78766,0.25927,0.18778,-0.81585,4.28538,0.38067,0,2.88175,2.64971,3.65864,11.11492,-2.35107,0.22419,-0.18291,-11.10429,-12.39381
"31","2018_Q2",21.9853125,"Down",122185000,-75029000,47156000,-28654000,-16421000,-12233000,18502000,-1029000,-927000,-102000,17473000,17473000,-3558000,13915000,13915000,13915000,13915000,140957000,140957000,75588000,75588000,135005000,10047000,9277000,361597000,36203000,107344000,26647000,143547000,505144000,51512000,43438000,389000,7685000,25572000,25572000,77084000,56533000,56533000,56533000,133617000,557530000,-189230000,3227000,371527000,371527000,505144000,13915000,1448000,4068000,-10931000,8500000,-723000,-723000,446000,446000,220000,7997000,7997000,-406000,7591000,19950000,0,11854000,0.38594,0.15143,0.11388,0.03745,0.02755,0.85189,4.69095,0.35964,0,0.43357,0.40779,3.8071,11.57621,0.36935,0.03251,0.02769,-7.06551,-7.61847
