"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","current_portion_of_long_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",17.0141935483871,"Down",4.571e+09,-1.943e+09,2.628e+09,-1.892e+09,-7.48e+08,-1.144e+09,7.36e+08,-3.14e+08,-3.26e+08,1.2e+07,4.22e+08,4.22e+08,-1.52e+08,2.7e+08,2.7e+08,2.7e+08,2.7e+08,1.94e+08,1.94e+08,1.971e+09,1.971e+09,1.668e+09,6.49e+08,3.833e+09,1.9013e+10,3.1786e+10,2.1732e+10,1.859e+09,5.0799e+10,5.4632e+10,1.32e+09,1.32e+09,1.198e+09,1.198e+09,2.413e+09,1.995e+09,4.931e+09,1.9508e+10,9.996e+09,4.672e+09,4.083e+09,1.241e+09,2.9504e+10,3.4435e+10,1.9675e+10,6.23e+08,1.506e+09,-9.84e+08,2.0197e+10,2.0197e+10,5.4632e+10,2.7e+08,1.144e+09,1.74e+08,1.23e+08,5.1e+07,2.99e+08,-7.2e+07,1.88e+08,1.83e+08,1.887e+09,-7.19e+08,-7.19e+08,3.1e+07,-6.88e+08,-4.52e+08,-8.67e+08,29999999.9999999,-8.97e+08,-8.99e+08,7e+06,-1.286e+09,-8.7e+07,-8.7e+07,-8.7e+07,1.88e+09,2.0706e+10,1.612e+09,0.57493,0.16102,0.05907,0.01337,0.00494,5.97037,0.77733,1.70496,0.37901,0.43468,0.43318,7.35894,32.51555,2.59519,0.72768,0.01418,0.03167,1.67407,10.91064,27.86957
"12","2013_Q1",16.7038333333333,"Down",4.583e+09,-1.907e+09,2.676e+09,-2.01e+09,-7.9e+08,-1.22e+09,6.66e+08,-3.07e+08,-3.15e+08,8e+06,3.59e+08,3.74e+08,-1.41e+08,2.33e+08,2.33e+08,2.33e+08,2.33e+08,2.11e+08,2.11e+08,1.917e+09,1.917e+09,1.51e+09,5.52e+08,3.638e+09,1.8909e+10,3.1393e+10,2.1627e+10,1.918e+09,5.0302e+10,5.394e+10,1.207e+09,1.207e+09,1.205e+09,1.205e+09,2.183e+09,1.827e+09,4.595e+09,1.94e+10,1.0656e+10,5.844e+09,3.564e+09,1.248e+09,3.0056e+10,3.4651e+10,1.9705e+10,6.26e+08,1.285e+09,-1.701e+09,1.9289e+10,1.9289e+10,5.394e+10,2.33e+08,1.22e+09,2.61e+08,1.34e+08,1.7e+07,-3.35e+08,-1.8e+07,-1.2e+08,-1.97e+08,1.379e+09,-8.37e+08,-8.95e+08,9999999.99999999,-8.27e+08,-4.54e+08,-5e+07,5.4e+08,-5.9e+08,-5.89e+08,-33999999.9999999,-5.36e+08,16000000.0000002,16000000.0000002,1.7e+07,1.886e+09,2.0605e+10,8.55e+08,0.5839,0.14532,0.05084,0.01208,0.00432,3.66953,0.79173,1.79641,0.382,0.37485,0.3736,7.37319,31.03241,1.37554,0.7304,0.01359,0.01691,1.9485,10.81336,30.62162
"13","2013_Q2",16.48265625,"Down",4.513e+09,-1.796e+09,2.717e+09,-1.935e+09,-8.18e+08,-1.117e+09,7.82e+08,-2.77e+08,-3.16e+08,3.9e+07,5.05e+08,5.05e+08,-2.07e+08,2.98e+08,2.98e+08,2.98e+08,2.98e+08,4.76e+08,4.76e+08,1.924e+09,1.924e+09,1.475e+09,5.87e+08,3.875e+09,1.8825e+10,3.1029e+10,2.1733e+10,1.731e+09,4.9854e+10,5.3729e+10,1.094e+09,1.094e+09,1.193e+09,1.193e+09,2.296e+09,1.898e+09,4.583e+09,1.9595e+10,1.0695e+10,5.64e+09,3.812e+09,1.243e+09,3.029e+10,3.4873e+10,1.9307e+10,6.16e+08,1.244e+09,-1.695e+09,1.8856e+10,1.8856e+10,5.3729e+10,2.98e+08,1.117e+09,1e+06,1.66e+08,-1.65e+08,-2.9e+07,-3.4e+07,-3.4e+07,3.9e+07,1.387e+09,-5.88e+08,-6.63e+08,4e+06,-5.84e+08,-3.41e+08,1.87e+08,-7.45e+08,9.32e+08,-5.6e+07,-54892951.560597,-5.38e+08,2.65e+08,2.65e+08,2.65e+08,1.899e+09,2.0788e+10,1.489e+09,0.60204,0.17328,0.06603,0.0158,0.00555,4.99664,0.84552,1.84944,0.3869,0.48109,0.47981,7.28581,30.44123,2.40385,0.55051,0.01269,0.02958,1.1443,10.69616,25.97442
"14","2013_Q3",15.6609375,"Down",4.525e+09,-1.873e+09,2.652e+09,-1.937e+09,-8.14e+08,-1.123e+09,7.15e+08,-3.21e+08,-3.25e+08,4e+06,3.94e+08,3.94e+08,-1.25e+08,2.69e+08,2.69e+08,2.69e+08,2.69e+08,2.14e+08,2.14e+08,1.9e+09,1.9e+09,1.534e+09,5.7e+08,3.648e+09,1.8777e+10,3.0829e+10,2.1744e+10,1.762e+09,4.9606e+10,5.3254e+10,1.285e+09,1.285e+09,3.02e+08,3.02e+08,2.161e+09,1.795e+09,3.748e+09,2.0283e+10,1.0823e+10,5.578e+09,3.98e+09,1.265e+09,3.1106e+10,3.4854e+10,1.8895e+10,6.04e+08,1.193e+09,-1.688e+09,1.84e+10,1.84e+10,5.3254e+10,2.69e+08,1.123e+09,1.47e+08,1.41e+08,6000000.00000006,-7e+07,-1.4e+07,1.57e+08,-2.13e+08,1.469e+09,-7.47e+08,-7.47e+08,1.9e+07,-7.28e+08,-3.2e+08,-2.4e+08,-3e+07,-2.1e+08,-9.62e+08,0,-1.003e+09,-2.62e+08,-2.62e+08,-2.62e+08,1.838e+09,2.0585e+10,1.146e+09,0.58608,0.15801,0.05945,0.01462,0.00505,4.26022,0.97332,1.89424,0.38654,0.44514,0.44419,7.48799,30.4484,1.89641,0.52954,0.01183,0.02301,1.18959,11.08324,28.49091
"15","2013_Q4",14.98296875,"Down",4.515e+09,-1.918e+09,2.597e+09,-2.182e+09,-1.047e+09,-1.135e+09,4.15e+08,-3.2e+08,-3.29e+08,9e+06,9.5e+07,-1.005e+09,-4e+07,-1.045e+09,-1.045e+09,-1.045e+09,-1.045e+09,2.66e+08,2.66e+08,1.911e+09,1.911e+09,1.635e+09,5.63e+08,3.812e+09,1.8665e+10,2.9507e+10,2.0637e+10,1.842e+09,4.8172e+10,5.1984e+10,1.158e+09,1.158e+09,1.91e+08,1.91e+08,2.629e+09,2.232e+09,3.978e+09,2.0391e+10,1.0901e+10,5.488e+09,4.125e+09,1.288e+09,3.1292e+10,3.527e+10,1.8547e+10,5.93e+08,-1.73e+08,-1.66e+09,1.6714e+10,1.6714e+10,5.1984e+10,-1.045e+09,1.135e+09,1.135e+09,4.2e+07,1.093e+09,3.27e+08,-5.7e+07,-1.23e+08,5.07e+08,1.552e+09,-8.01e+08,-8.01e+08,-4e+06,-8.05e+08,-3.25e+08,4e+06,1.55e+08,-1.51e+08,-1.51e+08,-3e+06,-6.95e+08,5.2e+07,5.2e+07,5.2e+07,1.55e+09,2.0582e+10,1.116e+09,0.57519,0.09192,-0.23145,-0.06252,-0.0201,-1.06794,0.95827,2.11021,0.39593,-1.75752,-1.76629,7.59349,28.11022,1.87693,0.5466,-0.01494,0.02315,-0.311,13.1071,48.95422
"16","2014_Q1",14.5662295081967,"Down",4.542e+09,-1.92e+09,2.622e+09,-1.989e+09,-8.23e+08,-1.166e+09,6.33e+08,-3.21e+08,-3.28e+08,7e+06,3.12e+08,3.3e+08,-9.1e+07,2.39e+08,2.39e+08,2.39e+08,2.39e+08,1.68e+08,1.68e+08,1.977e+09,1.977e+09,1.762e+09,5.97e+08,3.907e+09,1.8646e+10,2.9234e+10,2.0674e+10,1.802e+09,4.788e+10,5.1787e+10,1.111e+09,1.111e+09,7.85e+08,7.85e+08,2.513e+09,2.174e+09,4.409e+09,2.0181e+10,1.0006e+10,4.049e+09,4.753e+09,1.204e+09,3.0187e+10,3.4596e+10,1.7927e+10,5.84e+08,6.6e+07,-8.02e+08,1.7191e+10,1.7191e+10,5.1787e+10,2.39e+08,1.166e+09,-2.9e+07,4.2e+07,-1.42e+08,-2.25e+08,-1.07e+08,-7.6e+07,-4.2e+07,1.151e+09,-8.32e+08,-8.37e+08,-3.9e+07,-1.031e+09,-3.15e+08,4.25e+08,5.25e+08,-1e+08,-8.41e+08,-1.3e+07,-2.18e+08,-97999999.9999999,-97999999.9999999,-97999999.9999999,1.799e+09,2.0966e+10,8.33e+08,0.57728,0.13937,0.0526200000000001,0.0139,0.00462,3.48536,0.88614,2.01245,0.40485,0.408370000000001,0.40837,7.76071,29.37347,1.42331,0.53823,0.0115,0.0173,1.31799,11.56087,32.85624
"17","2014_Q2",17.3692063492063,"Up",4.538e+09,-1.935e+09,2.603e+09,-1.95e+09,-8.43e+08,-1.107e+09,6.53e+08,-3.22e+08,-3.31e+08,9e+06,3.31e+08,3.31e+08,-1.28e+08,2.03e+08,2.03e+08,2.03e+08,2.03e+08,2.19e+08,2.19e+08,1.887e+09,1.887e+09,1.642e+09,6.32e+08,3.748e+09,1.8493e+10,2.8925e+10,2.0674e+10,1.75e+09,4.7418e+10,5.1166e+10,1.183e+09,1.183e+09,1.126e+09,1.126e+09,2.312e+09,1.902e+09,4.621e+09,1.9814e+10,9.933e+09,4.012e+09,4.709e+09,1.212e+09,2.9747e+10,3.4368e+10,1.7449e+10,5.75e+08,1.44e+08,-7.95e+08,1.6798e+10,1.6798e+10,5.1166e+10,2.03e+08,1.107e+09,1.17e+08,1.06e+08,-8e+06,-4.7e+07,6e+07,1.23e+08,-2.3e+08,1.38e+09,-6.69e+08,-6.7e+08,-1.3e+07,-6.82e+08,-3.09e+08,-1.7e+07,29999999.9999999,-4.7e+07,-4.7e+07,0,-6.47e+08,5.1e+07,5.1e+07,5.1e+07,1.76e+09,2.094e+10,1.172e+09,0.5736,0.1439,0.04473,0.01208,0.00397,5.7734,0.81108,2.04596,0.40926,0.35333,0.35276,7.89856,29.23756,2.03991,0.53783,0.01074,0.02459,1.52217,11.7733,31.73201
"18","2014_Q3",19.30484375,"Up",4.541e+09,-1.962e+09,2.579e+09,-1.924e+09,-8.31e+08,-1.093e+09,6.55e+08,-3.32e+08,-3.25e+08,-7e+06,3.23e+08,3.23e+08,-1.3e+08,1.93e+08,1.93e+08,1.93e+08,1.93e+08,1.81e+08,1.81e+08,1.986e+09,1.986e+09,1.431e+09,6.28e+08,3.598e+09,1.8435e+10,2.8581e+10,2.0674e+10,1.676e+09,4.7016e+10,5.0614e+10,1.153e+09,1.153e+09,1.188e+09,1.188e+09,2.102e+09,1.76e+09,4.443e+09,1.9771e+10,9.802e+09,3.924e+09,4.61e+09,1.268e+09,2.9573e+10,3.4016e+10,1.7242e+10,5.71e+08,1.35e+08,-7.79e+08,1.6598e+10,1.6598e+10,5.0614e+10,1.93e+08,1.093e+09,1.6e+08,1.02e+08,35000000.0000001,-3.17e+08,-1.32e+08,-4.8e+07,-1.37e+08,1.129e+09,-7.32e+08,-7.31e+08,-5e+06,-7.37e+08,-3.07e+08,1.6e+07,9e+07,-74000000.0000001,-7.4e+07,1e+06,-4.3e+08,-3.8e+07,-3.8e+07,-3.8e+07,1.748e+09,2.0959e+10,8.29e+08,0.56794,0.14424,0.0425,0.01163,0.00381,4.29534,0.80981,2.0494,0.41409,0.33984,0.33917,7.99591,29.2262,1.45973,0.54057,0.01056,0.0175,1.59067,11.88673,31.72214
"19","2014_Q4",19.9353125,"Up",4.514e+09,-1.975e+09,2.539e+09,-1.92e+09,-8.23e+08,-1.097e+09,6.19e+08,-3.2e+08,-3.25e+08,5e+06,2.99e+08,2.99e+08,-1.11e+08,1.88e+08,1.88e+08,1.88e+08,1.88e+08,7.34e+08,7.34e+08,1.978e+09,1.978e+09,1.306e+09,5.91e+08,4.018e+09,1.8323e+10,2.8305e+10,2.0664e+10,1.664e+09,4.6628e+10,5.0646e+10,1.069e+09,1.069e+09,1.169e+09,1.169e+09,2.339e+09,1.967e+09,4.577e+09,1.9982e+10,9.642e+09,3.761e+09,4.629e+09,1.252e+09,2.9624e+10,3.4201e+10,1.7103e+10,5.71e+08,1.31e+08,-7.89e+08,1.6445e+10,1.6445e+10,5.0646e+10,1.88e+08,1.097e+09,3e+06,9.3e+07,-1.1e+08,1.4e+08,-3.9e+07,-9.6e+07,2.75e+08,1.428e+09,-7.12e+08,-7.12e+08,1.8e+07,-6.94e+08,-3.08e+08,1.82e+08,-2.6e+08,4.42e+08,-4.1e+07,-3e+06,-1.81e+08,5.53e+08,5.53e+08,5.53e+08,1.716e+09,2.1151e+10,1.255e+09,0.56247,0.13713,0.04165,0.01143,0.00371,6.67553,0.87787,2.07972,0.41762,0.33218,0.33132,7.97576,29.05657,2.21745,0.5442,0.0105,0.02657,1.6383,11.89802,32.98384
"20","2015_Q1",18.8301639344262,"Down",4.438e+09,-1.974e+09,2.464e+09,-1.981e+09,-8.5e+08,-1.131e+09,4.83e+08,-3.26e+08,-3.3e+08,4e+06,1.57e+08,1.57e+08,3.1e+07,1.88e+08,1.88e+08,1.88e+08,1.88e+08,1.28e+08,1.28e+08,1.988e+09,1.988e+09,5.8e+08,5.8e+08,2.696e+09,1.8433e+10,2.7974e+10,2.0755e+10,1.647e+09,4.6407e+10,4.9103e+10,1.226e+09,1.226e+09,5.5e+08,5.5e+08,2.142e+09,1.833e+09,3.918e+09,1.9953e+10,1.0209e+10,5.808e+09,3.154e+09,1.247e+09,3.0162e+10,3.408e+10,1.6893e+10,5.69e+08,1.47e+08,-2.017e+09,1.5023e+10,1.5023e+10,4.9103e+10,1.88e+08,1.131e+09,1.55e+08,-1e+07,1.48e+08,-2.23e+08,-5.2e+07,9.1e+07,-2.62e+08,1.251e+09,-8.71e+08,-9.34e+08,3.72529029846191e-09,-9.64e+08,-3.04e+08,-5.02e+08,1.36e+08,-6.38e+08,-6.38e+08,-9.31322574615479e-10,-8.93e+08,-6.06e+08,-6.06e+08,-6.06e+08,1.614e+09,2.0503e+10,4.89e+08,0.55521,0.10883,0.04236,0.01251,0.00383,2.60106,0.68811,2.26852,0.41755,0.33255,0.33155,7.85035,26.57409,0.86499,0.53774,0.01076,0.01069,1.61702,12.62392,42.18427
"21","2015_Q2",17.4477777777778,"Down",4.451e+09,-1.911e+09,2.54e+09,-1.891e+09,-8.51e+08,-1.04e+09,6.49e+08,-3.26e+08,-3.28e+08,2e+06,3.23e+08,3.23e+08,-1.31e+08,1.92e+08,1.92e+08,1.92e+08,1.92e+08,1.55e+08,1.55e+08,1.973e+09,1.973e+09,1.34e+09,6.22e+08,3.468e+09,1.8183e+10,2.7869e+10,2.0753e+10,1.616e+09,4.6052e+10,4.952e+10,1.068e+09,1.068e+09,2.02e+08,2.02e+08,2.309e+09,1.891e+09,3.579e+09,2.0254e+10,1.0922e+10,5.755e+09,3.921e+09,1.246e+09,3.1176e+10,3.4755e+10,1.6625e+10,5.66e+08,1.41e+08,-2.001e+09,1.4765e+10,1.4765e+10,4.952e+10,1.92e+08,1.04e+09,9.1e+07,3.7e+07,3.6e+07,1.3e+07,-2.7e+07,-8e+07,1.2e+08,1.336e+09,-6.02e+08,-6.16e+08,-8e+06,-6.1e+08,-3.04e+08,-2.17e+08,-4.25e+08,2.08e+08,-3.86e+08,-1e+06,-6.99e+08,2.7e+07,2.7e+07,2.7e+07,1.689e+09,2.0456e+10,1.231e+09,0.57066,0.14581,0.04314,0.013,0.00388,6.41146,0.96899,2.35388,0.41309,0.34166,0.34072,7.92037,26.27369,2.19051,0.54096,0.01075,0.02668,1.58333,12.01954,31.28043
"22","2015_Q3",14.41046875,"Down",4.419e+09,-1.959e+09,2.46e+09,-1.911e+09,-8.63e+08,-1.048e+09,5.49e+08,-3.15e+08,-3.27e+08,1.2e+07,2.34e+08,2.34e+08,-9.1e+07,1.43e+08,1.43e+08,1.43e+08,1.43e+08,1.55e+08,1.55e+08,1.955e+09,1.955e+09,1.195e+09,5.99e+08,3.305e+09,1.8089e+10,2.7583e+10,2.0758e+10,1.586e+09,4.5672e+10,4.8977e+10,1.049e+09,1.049e+09,1.519e+09,1.519e+09,2.229e+09,1.806e+09,4.797e+09,1.8834e+10,1.0759e+10,5.696e+09,3.834e+09,1.229e+09,2.9593e+10,3.439e+10,1.6459e+10,5.63e+08,8.7e+07,-1.959e+09,1.4587e+10,1.4587e+10,4.8977e+10,1.43e+08,1.048e+09,6e+07,1.6e+07,2.4e+07,-1.06e+08,-2.4e+07,-3.2e+07,-5e+07,1.145e+09,-6.44e+08,-6.56e+08,0,-6.48e+08,-3.05e+08,-1e+08,2e+07,-1.2e+08,-1.2e+08,-1e+06,-4.97e+08,-1.19209289550781e-07,-1.19209289550781e-07,0,1.597e+09,2.0353e+10,9.38e+08,0.55669,0.12424,0.03236,0.0098,0.00292,6.55944,0.68897,2.35758,0.41556,0.25598,0.25571,7.91028,26.11163,1.67908,0.54597,0.0098,0.02053,2.13287,12.64746,36.79053
"23","2015_Q4",14.285,"Down",4.554e+09,-1.993e+09,2.561e+09,-1.905e+09,-8.57e+08,-1.048e+09,6.56e+08,-3.27e+08,-3.29e+08,2e+06,3.29e+08,3.29e+08,-1.24e+08,2.05e+08,2.05e+08,2.05e+08,2.05e+08,3.55e+08,3.55e+08,1.951e+09,1.951e+09,1.044e+09,5.94e+08,3.35e+09,1.8068e+10,2.7336e+10,2.0757e+10,1.568e+09,4.5404e+10,4.8754e+10,1.087e+09,1.087e+09,1.91e+09,1.91e+09,2.55e+09,2.015e+09,5.547e+09,1.8504e+10,1.0453e+10,5.534e+09,3.742e+09,1.177e+09,2.8957e+10,3.4504e+10,1.6014e+10,5.54e+08,1.77e+08,-1.941e+09,1.425e+10,1.425e+10,4.8754e+10,2.05e+08,1.048e+09,-6.9e+07,4e+07,-1.28e+08,2.91e+08,-4e+07,2.8e+07,3.03e+08,1.475e+09,-7.64e+08,-7.67e+08,0,-7.64e+08,-2.96e+08,4.7e+07,-3.2e+08,3.67e+08,-2.9e+07,0,-5.11e+08,2e+08,2e+08,2e+08,1.704e+09,2.0414e+10,1.355e+09,0.56236,0.14405,0.04502,0.01439,0.0042,6.60976,0.60393,2.42133,0.41871,0.36944,0.36927,8.20693,25.68044,2.44189,0.53343,0.0111,0.03003,1.4439,11.77171,30.57774
"24","2016_Q1",15.2019672131148,"Up",4.476e+09,-1.915e+09,2.561e+09,-1.836e+09,-7.83e+08,-1.053e+09,7.25e+08,-2.95e+08,-3.28e+08,3.3e+07,4.3e+08,4.3e+08,-9.2e+07,3.38e+08,3.38e+08,3.38e+08,3.38e+08,1.26e+08,1.26e+08,1.943e+09,1.943e+09,5.81e+08,5.73e+08,2.65e+09,1.8069e+10,2.6885e+10,2.0742e+10,1.555e+09,4.4954e+10,4.7604e+10,9.68e+08,9.68e+08,1.503e+09,1.503e+09,2.133e+09,1.815e+09,4.604e+09,1.8722e+10,1.0218e+10,5.511e+09,3.569e+09,1.138e+09,2.894e+10,3.3544e+10,1.5722e+10,5.44e+08,2.72e+08,-1.934e+09,1.406e+10,1.406e+10,4.7604e+10,3.38e+08,1.053e+09,3.25e+08,2.57e+08,5.2e+07,-5.19e+08,-4.1e+07,-8.4e+07,-3.94e+08,1.197e+09,-8.31e+08,-8.33e+08,0,-8.31e+08,-2.93e+08,-2.2e+07,4.1e+08,-4.32e+08,-4.31e+08,1e+07,-5.94e+08,-2.28e+08,-2.28e+08,-2.28e+08,1.778e+09,2.0225e+10,5.2e+08,0.57216,0.16197,0.07551,0.02404,0.0071,1.53846,0.57559,2.38578,0.42486,0.62407,0.62305,8.26431,25.95983,0.96011,0.54098,0.01418,0.01168,0.86686,11.30427,27.72276
"25","2016_Q2",16.078125,"Up",4.401e+09,-1.9e+09,2.501e+09,-1.813e+09,-8.37e+08,-9.76e+08,6.88e+08,-3.08e+08,-3.31e+08,2.3e+07,3.8e+08,3.8e+08,-1.44e+08,2.36e+08,2.36e+08,2.36e+08,2.36e+08,4.38e+08,4.38e+08,1.871e+09,1.871e+09,6.17e+08,6.17e+08,2.926e+09,1.7963e+10,2.6628e+10,2.0743e+10,1.525e+09,4.4591e+10,4.7517e+10,1.039e+09,1.039e+09,5.17e+08,5.17e+08,2.27e+09,1.812e+09,3.826e+09,1.9508e+10,1.0147e+10,5.445e+09,3.596e+09,1.106e+09,2.9655e+10,3.3481e+10,1.573e+10,5.46e+08,2.13e+08,-1.907e+09,1.4036e+10,1.4036e+10,4.7517e+10,2.36e+08,9.76e+08,1.9e+07,1.1e+07,-1e+07,1.92e+08,2.6e+07,7.8e+07,8.8e+07,1.423e+09,-6.04e+08,-6.11e+08,-1e+06,-6.05e+08,-2.9e+08,-2.08e+08,-4.1e+08,2.02e+08,-2.5e+07,2687360.33283381,-5.06e+08,3.12e+08,3.12e+08,3.12e+08,1.664e+09,2.0025e+10,1.396e+09,0.56828,0.15633,0.05362,0.01681,0.00497,5.91525,0.76477,2.38537,0.42143,0.43801,0.43689,8.16817,26.05053,2.59095,0.53823,0.0119,0.03158,1.22881,11.77103,28.46948
"26","2016_Q3",16.421875,"Up",4.398e+09,-1.949e+09,2.449e+09,-1.802e+09,-8.15e+08,-9.87e+08,6.47e+08,-3.3e+08,-3.4e+08,1e+07,3.17e+08,3.17e+08,-1.21e+08,1.96e+08,1.96e+08,1.96e+08,1.96e+08,1.91e+08,1.91e+08,1.972e+09,1.972e+09,6.28e+08,6.28e+08,2.791e+09,1.7894e+10,2.6433e+10,2.0766e+10,1.506e+09,4.4327e+10,4.7118e+10,1.067e+09,1.067e+09,1.451e+09,1.451e+09,2.324e+09,1.819e+09,4.842e+09,1.8165e+10,1.0126e+10,5.39e+09,3.625e+09,1.111e+09,2.8291e+10,3.3133e+10,1.5751e+10,5.46e+08,1.15e+08,-1.881e+09,1.3985e+10,1.3985e+10,4.7118e+10,1.96e+08,9.87e+08,9.4e+07,1e+07,6.2e+07,-9.9e+07,-1.51e+08,-3999999.99999997,55999999.9999999,1.178e+09,-6.49e+08,-6.53e+08,-1e+06,-6.74e+08,-2.96e+08,-4.51e+08,0,-4.51e+08,-1.439e+09,3.72529029846191e-09,-7.51e+08,-2.47e+08,-2.47e+08,-2.47e+08,1.634e+09,1.9616e+10,1.007e+09,0.55684,0.14711,0.04457,0.01402,0.00416,5.13776,0.57641,2.36918,0.41632,0.36321,0.36271,8.15007,25.91605,1.8661,0.54853,0.01125,0.02303,1.5102,11.888,30.02318
"27","2016_Q4",14.6069841269841,"Down",4.382e+09,-1.996e+09,2.386e+09,-1.793e+09,-7.98e+08,-9.95e+08,5.93e+08,-3.44e+08,-3.27e+08,-1.7e+07,2.49e+08,2.49e+08,-9.7e+07,1.52e+08,1.52e+08,1.52e+08,1.52e+08,1.4e+08,1.4e+08,1.957e+09,1.957e+09,6.31e+08,6.31e+08,2.728e+09,1.784e+10,2.6228e+10,2.0766e+10,1.518e+09,4.4068e+10,4.6796e+10,1.036e+09,1.036e+09,1.534e+09,1.534e+09,2.163e+09,1.833e+09,4.733e+09,1.8184e+10,9.987e+09,5.228e+09,3.653e+09,1.106e+09,2.8171e+10,3.2904e+10,1.5668e+10,5.47e+08,7.9e+07,-1.855e+09,1.3892e+10,1.3892e+10,4.6796e+10,1.52e+08,9.95e+08,-1.4e+07,1.1e+07,-4.5e+07,-2.22e+08,-3.3e+07,-2.2e+07,-1.67e+08,9.11e+08,-7.35e+08,-7.46e+08,2e+06,-7.33e+08,-2.9e+08,5.9e+07,84999999.9999999,-2.6e+07,-9.72e+08,0,-2.29e+08,-5.1e+07,-5.1e+07,-5.1e+07,1.588e+09,1.9718e+10,7.28e+08,0.5445,0.13533,0.03469,0.01094,0.00325,4.78947,0.57638,2.36856,0.42136,0.28158,0.281,8.11773,25.73517,1.34863,0.53723,0.01014,0.0167,1.90789,12.32872,33.01518
"28","2017_Q1",14.3246774193548,"Down",4.289e+09,-1.929e+09,2.36e+09,-1.955e+09,-9.97e+08,-9.58e+08,4.05e+08,-3.31e+08,-3.2e+08,-1.1e+07,7.4e+07,7.4e+07,-3.2e+07,4.2e+07,4.2e+07,4.2e+07,4.2e+07,2.22e+08,2.22e+08,2.017e+09,2.017e+09,2.923e+09,5.47e+08,5.162e+09,1.7039e+10,2.4816e+10,1.965e+10,1.531e+09,4.1855e+10,4.7017e+10,1.179e+09,1.179e+09,1.503e+09,1.503e+09,2.667e+09,2.366e+09,5.349e+09,1.8185e+10,1.0084e+10,5.527e+09,3.471e+09,1.086e+09,2.8269e+10,3.3618e+10,1.5517e+10,5.47e+08,-1e+06,-2.117e+09,1.3399e+10,1.3399e+10,4.7017e+10,4.2e+07,9.58e+08,7.5e+07,-2.6e+07,8.1e+07,2.1e+07,-1.08e+08,5.7e+07,7.2e+07,1.096e+09,-9.63e+08,-9.71e+08,-4.3e+07,-9.82e+08,-2.91e+08,2.59e+08,2.85e+08,-2.6e+07,-2.6e+07,-9999999.99999999,-3.2e+07,8.2e+07,8.2e+07,82000000.0000001,1.363e+09,1.9688e+10,4.53e+08,0.55024,0.09443,0.00979,0.00313,0.00089,10.78571,0.96504,2.50899,0.41874,0.07778,0.0776,7.94312,24.81462,0.83894,0.53892,0.00771,0.01049,6.92857,14.28173,48.0642
