"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","foreign_exchange_gain_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2020_Q2",0.19047619047619,"Down",-2333509,-1703443,-630066,-2333509,6322,6973,-2327187,-123431,-2450618,-2450618,-2450618,-2450618,-2450618,1496752,1496752,662753,520290,2159505,876760,1998265,498359,2875025,5034530,1578968,1578968,1801763,3082887,51959839,4500263,-54508459,1951643,1951643,5034530,-2450618,163900,287965,-174374,-2173127,5400,1007513,2500000,2500000,-348220,2151780,986166,986166,986166,-2169609,222795,-1.25567,-0.48676,1.19855,1.57964,0.04425,-0.02071,-0.02071,-0.42258,-0.70918,0.58718,0.54594
"12","2020_Q3",0.138125,"Down",-5302542,-1429038,-3873504,-5302542,-5447,-5694,-5307989,0,-5307989,-5307989,-5307989,-5307989,-5307989,29103049,29103049,965143,782647,30068192,798901,1894494,453370,2693395,32761587,1731469,1731469,1963965,3182626,79290319,10105090,-59816448,29578961,29578961,32761587,-5307989,80400,184312,-677248,-5720525,0,0,33825142,33825142,-498320,33326822,27606297,27606297,27606297,-5222142,232496,-0.17945,-0.16202,15.30994,0.1076,0.0071,-0.04485,-0.04485,-0.42007,-0.17106,5.52849,5.44466
"13","2020_Q4",0.1278125,"Down",-5000435,-2298331,-2702104,-5000435,18497,-2741,-4981938,1962.99999999999,-4979975,-4979975,-4979975,-4979975,-4979975,52032640,52032640,1061677,932408,53094317,720701,2789327,408583,3510028,56604345,1827761,1827761,2070252,3224556,99919534,18256678,-64796423,53379789,53379789,56604345,-4979975,166048,151540,-1000244,-5662631,-613,-613,32326550,32326550,-3733715,28592835,22929591,22929591,22929591,-4834387,242491,-0.09329,-0.08798,25.64631,0.0604099999999998,0.00428,-0.01709,-0.01709,-0.15976,-0.09091,10.71287,10.35713
"14","2021_Q1",1.63409836065574,"Up",-4128492,-3290275,-838217,-4128492,5352,-5941,-4123140,-50062,-4173202,-4173202,-4173202,-4173202,-4173202,61991703,61991703,1874021,1727814,63865724,583007,1695303,362663,2278310,66144034,1248628,1248628,2028776,3116774,116745009,15251876,-68969625,63027260,63027260,66144034,-4173202,119672,1234567,135883,-2683080,-1181,-1181,7076108.99999999,7076108.99999999,5567215,12643324,9959063,9959063,9959062.99999999,-4008820,780148,-0.06621,-0.06309,31.47993,0.04945,0.01179,-0.00469,-0.00469,-0.06034,-0.06431,15.26922,14.82661
"15","2021_Q2",0.932063492063492,"Down",-3880000,-3468000,-412000,-3872000,54000,-1000,-3818000,-219000,-4037000,-4037000,-4037000,-4037000,-4037000,276601860,276601860,1629521,1393616,278549574,293516,1625633,323471,1919149,280468723,1128233,1128233,1962363,2940833,377970846,4602089,-105045045,277527890,277527890,280468723,-4037000,103000,1526000,-230000,-2638000,-18000,-18000,231536000,231536000,-14270000,217266000,214610000,214610000,214610000,-3769000,834130,-0.01455,-0.01439,141.946,0.0106,0.00297,-0.00453,-0.00453,-0.11283,-0.01445,73.16735,71.221
"16","2021_Q3",0.59046875,"Down",-5309000,-5037000,-272000,-5329000,642000,1000,-4687000,-24000,-4711000,-4711000,-4711000,-4711000,-4711000,276209816,276209816,490979,222478,277498957,265845,2587482,373851,2853327,280352284,3095203,3095203,3397315,4284271,380222091,5601641,-109755719,276068013,276068013,280352284,-4711000,101000,1289000,1583000,-1738000,-124000,-124000.000000001,1468999.99999994,1468999.99999994,1000,1470000,-392000,-392000,-392000,-5228000,302112,-0.01706,-0.0168,81.68184,0.01552,0.00108,-0.00529,-0.00529,-0.11699,-0.01699,52.775,51.77476
"17","2021_Q4",0.4509375,"Down",-6413000,-6124000,-289000,-6408000,89000,-6000,-6319000,-27000,-6346000,-6346000,-6346000,-6346000,-6346000,271411043,271411043,1892205,1633846,274734109,706266,2061776,473966,2768042,277502151,4464874,4464874,4872152,5941839,380928831,6732887,-116101406,271560312,271560312,277502151,-6345000,107000,1444000,-203000,-4997000,45000,-201000,4e+05,4e+05,0,4e+05,-4798000,-4798000,-4798000,-6301000,407278,-0.02337,-0.02287,56.38866,0.02188,0.00147,-0.00669,-0.00669,-0.11529,-0.02324,43.00964,42.29147
"18","2022_Q1",0.32741935483871,"Down",-8820068,-8120080,-699988,-5758997,-463908,-24301,-6222905,600681,-5622224,-3289170,-3289170,-3289170,-3289170,194952000,194952000,2292000,1842000,200407000,1550000,78443000,33176000,79993000,280400000,3465000,3225000,4340000,9514000,389895126.120506,390275000,-119391000,270886000,270886000,280400000,-3290170,828589,2585218,-5025793,-4902156,-428949,-71582368,23470.9999999851,23470.9999999851,-105.000000000931,23366,-76461158,-76461158,-76459495,-4930408,415000,-0.01214,-0.01173,46.17673,0.03512,0.00148,-0.00336,-0.00336,0.27684,-0.0119,39.45657,33.77967
"19","2022_Q2",0.254516129032258,"Down",-7075000,-6724000,-351000,-4314000,99000,-7000,-4215000,960333.058990393,-4215000,-3937000,-3937000,-3937000,-3937000,192337000,192337000,2166000,1696000,198450000,1373000,78167000,32439000,79540000,277990000,3326000,3109000,4118000,8949000,380962000,11354000.0000001,-123328000,269041000,269041000,277990000,-3937000,819000,2041000,-1394000,-2471000,-206000,-206000,-304887838.735944,-304887838.735944,20009666.4747465,-284878140.058301,-2677000,-2677000,-2615000,-3495000,422000,-0.01463,-0.01416,48.19087,0.03326,0.00152,-0.00402,-0.00402,-0.11438,-0.01435,54.9113,44.48656
"20","2022_Q3",0.265,"Up",-8916000,-8597000,-319000,-5879000,225000,-49000,-5654000,-1000,-5655000,-5273000,-5273000,-5273000,-5273000,186763000,186763000,2630000,2315000,194626000,1710000,79142000,32097000,80852000,275478000,3532000,3491000,4474000,9258000,354942753.638483,394808000,-128601000,266220000,266220000,275478000,-5273000,837000,2502000,-2112000,-4046000,-437000,-1437000,-1142639458.20783,-1142639458.20783,74302209.4242394,-1068337152.1749,-5482999.99999999,-5482999.99999999,-5574000,-5042000,523000,-0.01981,-0.01914,43.50156,0.03478,0.0019,-0.00539,-0.00539,0.27207,-0.01942,36.93772,31.67886
