"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","trading_account_profits_losses","commissions_fees_earned","other_non_interest_income","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","accounts_notes_receivable","net_fixed_assets","intangible_assets","goodwill","other_assets","total_assets","short_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",14.68625,"Up",232284000,5509000,12371000,-6862000,226775000,15717000,194748000,16310000,232284000,-225571000,-6042000,-219529000,6713000,6713000,6713000,-2820000,3893000,3893000,3663000,3663000,98778000,910069000,349965000,30938000,31700000,137889000,186534000,2629167000,1006182000,1114077000,2120259000,102472000,401287000,658000,504417000,508908000,2629167000,3893000,3154000,21321000,-134039000,-105671000,-5120000,-5120000,-1497000,394245.817316757,75700000,74203000,-36588000,-36588000,-36588000,9867000,1006182000,-126472000,0.0289,0.01577,0.0072,0.00139,-34.52689,4.16629,0.3827,0.26918,0.26111,17.06967,37.06769,-9.29395,0.11001,0.00196,-0.0481,0.40868,91.96351,135.17116
"12","2013_Q3",14.40984375,"Down",236687000,5963000,13106000,-7143000,230724000,7532000,207587000,15605000,236687000,-231013000,-6293000,-224720000,5674000,5674000,5674000,-2608000,3066000,3066000,2848000,2848000,106098000,935316000,339940000,34974000,31700000,137889000,201417000,2753872000,1021898000,1220208000,2242106000,103712000,402638000,707000,507057000,511766000,2753872000,3066000,2429000,5918000,-11621000,-208000,-6567000,-6567000,-1497000,-208000,15800000,14095000,7319999.99999997,7319999.99999997,7319999.99999997,8103000,1021898000,-7477000.00000003,0.02397,0.01203,0.00557,0.00103,-2.62534999999999,4.38112,0.37108,0.2093,0.20186,17.39406,37.26347,-0.549480000000004,0.11001,0.00158,-0.00272,0.52563,113.01987,161.40289
"13","2013_Q4",16.64125,"Up",237212000,8275000,14439000,-6164000,228937000,10347000,201731000,16859000,237212000,-229049000,-6099000,-222950000,8163000,8163000,8163000,-2655000,5508000,5508000,5237000,5237000,105357000,1144092000,444772000,33540000,31700000,137889000,223387000,2996648000,1163718000,1317657000,2481375000,102555000,406375000,1363000,510293000,515273000,2996648000,5508000,2971000,5332000,115016000,128827000,-955000,-955000,-1500000,-2021000,-125092000,-128613000,-741000,-741000,-741000,11134000,1163718000,127850000,0.03441,0.02208,0.01016,0.00175,24.41283,4.81565,0.38834,0.38495,0.36954,17.43658,37.50975,9.39778,0.11026,0.00225,0.04266,0.28642,95.05667,129.65344
"14","2014_Q1",20.2204918032787,"Up",287389000,7327000,13300000,-5973000,280062000,10172000,254856000,15034000,287389000,-264030000,-6047000,-257983000,23359000,23359000,23359000,-9673000,13686000,13686000,13313000,13313000,98294000,992079000,412186000,32939000,31700000,137889000,193939000,2952720000,1147005000,1270748000,2424849000,102605000,418204000,1709000,522518000,527871000,2952720000,13686000,2732000,19682000,-62477000,-26377000,-1370000,-1370000,-1484000,-1246000,23414000,20684000,-7063000,-7063000,-7063000,26091000,1147005000,-28083000,0.08128,0.04632,0.02522,0.00451,-2.10944,4.59364,0.38846,0.98679,0.9384,21.30184,38.73006,-2.08157,0.11,0.00501,-0.00950999999999999,0.11147,40.19436,44.89537
"15","2014_Q2",19.6568253968254,"Down",250004000,7226000,12390000,-5164000,242778000,8817000,223867000,10094000,250004000,-244895000,-5892000,-239003000,5109000,5109000,5109000,-1689000,3420000,3420000,3224000,3224000,123042000,1013170000,379980000,32395000,31700000,137889000,159740000,3083114000,1241180000,1298806000,2552532000,103469000,419942000,1622000,525033000,530582000,3083114000,3420000,2597000,11879000,-70492000,-52596000,-1397000,-1397000,-1486000,185000,80042000,78741000,24748000,24748000,24748000,7706000,1241180000,-62494000,0.02044,0.0129,0.00608,0.00105,-19.384,4.81082,0.40257,0.23817,0.22841,18.46846,38.78559,-4.6166,0.10977,0.00153,-0.02027,0.46092,145.09966,218.85653
"16","2014_Q3",18.5540625,"Down",245277000,8136000,12548000,-4412000,237141000,11794000,213291000,12056000,245277000,-245141000,-6024000,-239117000,136000,136000,136000,-1389000,-1253000,-1253000,-1554000,-1554000,65174000,1011579000,402373000,31262000,31700000,137889000,163966000,3044958000,1239898000,1261058000,2515351000,104906000,416890000,1961000,523757000,529607000,3044958000,-1253000,2779000,6247000,31433000,39206000,-788000,-788000,-1498000,0,-49788000,-96286000,-57868000,-57868000,-57868000,2915000,1239898000,34949000,0.000549999999999988,-0.00634,-0.00293,-0.00051,-22.4897,4.74947,0.4072,-0.11411,-0.11411,18.011,38.46015,2.56635,0.11,-2.00000000000003e-05,0.01148,-0.96396,402.9928,8637.67647
"17","2014_Q4",18.4153125,"Down",240552000,8322000,12449000,-4127000,232230000,4272000,215660000,12298000,240552000,-229656000,-5969000,-223687000,10896000,10896000,10896000,-6271000,4625000,4625000,4470000,4470000,77942000,877584000,426417000,30518000,31700000,137889000,160560000,2875743000,1102072000,1227586000,2343177000,106347000,419861000,353000,526561000,532566000,2875743000,4625000,2436000,3322000,16744000,27127000,-1181000,-1181000,-1499000,0,-11679000,-13178000,12768000,12768000,12768000,13332000,1102072000,35166000,0.0453,0.01858,0.00839,0.00155,7.86711,4.39979,0.38323,0.32794,0.31264,17.64824,38.63146,2.57997,0.10998,0.00208,0.01223,0.33535,76.81743,93.99137
"18","2015_Q1",17.5750819672131,"Down",228346000,6865000,10118000,-3253000,221481000,2632000,224289000,-5440000,228346000,-227297000,-6824000,-220473000,1049000,1049000,1049000,-2785000,-1736000,2769000,2686000,2686000,63807000,917502000,353647000,29589000,31700000,137889000,137526000,2787455000,989350000,1251276000,2253723000,107515000,421047000,-918000,527644000,533732000,2787455000,2769000,2755000,5718000,53336000,64578000,-1032000,-1032000,-1500000,-2.91038304567337e-11,-76181000,-77681000,-14135000,-14135000,-14135000,3804000,989350000,58893000,0.00459,0.01176,0.00503,0.00096,21.92591,4.22257,0.35493,0.19704,0.1794,16.75112,38.70717,4.3203,0.11004,0.0015,0.02113,0.55845,243.30783,882.309820000001
"19","2015_Q2",20.327619047619,"Up",241651000,7125000,11035000,-3910000,234526000,18555000,207966000,8005000,241651000,-231800000,-6402000,-225398000,9851000,9851000,9851000,-3730000,6121000,6121000,5719000,5719000,66918000,1103014000,379427000,28269000,31700000,137889000,146909000,2784386000,833438000,1395093000,2247717000,106409000,425255000,-1485000,530179000,536669000,2784386000,6121000,2024000,9779000,-54507000,-36583000,-474000,-474000,-1511000,0,41679000,40168000,3111000,3111000,3111000,11875000,833438000,-39376000,0.04077,0.02367,0.01066,0.00205,-6.88512,4.18827,0.29933,0.41732,0.40043,17.63332,38.68726,-2.87327,0.11026,0.0026,-0.01414,0.26421,64.54905,77.81139
"20","2015_Q3",17.81953125,"Down",215608000,7016000,10981000,-3965000,208592000,-6517000,204819000,10290000,215608000,-220746000,-6231000,-214515000,-5138000,-5138000,-5138000,1175000,-3963000,645000,295000.000000001,295000.000000001,50313000,1133981000,396543000,27938000,31700000,137889000,141491000,2929543000,1172019000,1200708000,2390909000,107924000,424038000,-168000,531794000,538634000,2929543000,645000,2035000,5222000,-97707000,-89805000,-1439000,-1439000,-1512000,2.3283064365387e-10,76151000,74639000,-16605000,-16605000,-16605000,-3103000,1172019000,-103424000,-0.02383,0.00137,0.00055,1e-04,-350.58983,4.43884,0.40007,0.02146,0.02146,15.68519,38.6873,-7.52396,0.11,0.00062,-0.0353,5.12542,-361.49082,-218.31569
"21","2015_Q4",14.7228125,"Down",203250000,9531000,13759000,-4228000,193719000,2309000,187348000,4062000,203250000,-205823000,-6909000,-198914000,-2573000,-2573000,-2573000,1437000,-1136000,-777000,-908000,-908000,47311000,1136906000,438537000,27731000,31700000,137889000,138118000,2854252000,1072438000,1237837000,2324475000,102268000,421622000,-1084000,522806000,529777000,2854252000,-777000,2241000,-2829000,37954000,36589000,-1700000,-1700000,-1508000,-6618000,-29765000,-37891000,-3002000,-3002000,-3002000,-332000,1072438000,34485000,-0.01266,-0.00447,-0.00171,-0.00032,-37.97907,4.38765,0.37573,-0.06632,-0.06632,14.84585,38.18695,2.51886,0.11015,0.00021,0.01208,-1.66079,-3087.73193,-398.41702
"22","2016_Q1",12.3662295081967,"Down",220963000,9031000,13257000,-4226000,211932000,833000,200213000,10886000,220963000,-225531000,-6480000,-219051000,-4568000,-4568000,-4568000,712000,-3856000,-3091000,-3144000,-3144000,63364000,784321000,410871000,28285000,31700000,137889000,194720000,2698004000,1027006000,1065119000,2172922000,101958000,417001000,-901000,518058000,525082000,2698004000,-3091000,1615000,8260000,63602000,70386000,-2276000,-2276000,-1477000,-1632000,-48948000,-52057000,16053000,16053000,16053000,-2953000,1027006000,57661000,-0.02067,-0.01423,-0.00599,-0.00117,-18.34001,4.13825,0.38065,-0.23425,-0.24479,16.46329,38.59895,4.29615,0.11005,-0.00062,0.02137,-0.46978,-326.32645,-210.9549
"23","2016_Q2",12.6778125,"Up",210089000,8175000,13042000,-4867000,201914000,6618000,182242000,13054000,210089000,-217429000,-6921000,-210508000,-7340000,-7340000,-7340000,4048000,-3292000,-3909000,-3847000,-3847000,62479000,1106881000,313493000,28518000,31700000,137889000,148273000,2620864000,1097993000,987117000,2104518000,97734000,411678000,-28000,509384000,516346000,2620864000,-3909000,2316000,6763000,-45942000,-40772000,-1762000,-1762000,-1476000,-3634000,46759000,41649000,-885000,-885000,-885000,-5024000,1097993000,-56776000,-0.03494,-0.01831,-0.00745,-0.00147,14.75851,4.07579,0.41894,-0.28752,-0.28752,15.70192,38.07105,-4.2434,0.11032,-9e-04,-0.02166,-0.38368,-206.11346,-141.0782
"24","2016_Q3",13.10671875,"Up",207102000,7035000,12007000,-4972000,200067000,7577000,177576000,14914000,207102000,-212348000,-6199000,-206149000,-5246000,-5246000,-5246000,2391000,-2855000,6711000,5188000,5188000,107537000,994816000,365854000,27880000,31700000,137889000,129383000,2575729000,992954000,1014026000,2053617000,98914000,415680000,-682000,513912000,522112000,2575729000,6711000,1889000,-3648000,10615000,651000.000000015,-810000,42442000,-1471000,-164000,3600000,1965000,45058000,45058000,45058000,-3357000,992954000,4057000,-0.02533,0.02505,0.00994,0.00201,0.781999999999988,3.93329,0.3855,0.38811,0.38811,15.49324,38.44561,0.3035,0.11005,0.00259,0.00158,0.28354,-263.75246,-168.77945
"25","2016_Q4",14.0028571428571,"Up",207117000,6604000,11291000,-4687000,200513000,4922000,177755000,17836000,207117000,-208927000,-5886000,-203041000,-1810000,-1810000,-1810000,751000,-1059000,-646000,-712000,-712000,99044000,1063547000,307003000,28321000,31700000,137889000,118129000,2583681000,1104851000,930009000,2067669000,99989000,413508000,-1000,513496000,516012000,2583681000,-646000,205000,5056000,14161000,16166000,-1825000,2485000,-7210000,-34000,-51700000,-27144000,-8493000,-8493000,-8493000,-1605000,1104851000,9980000,-0.00874,-0.00344,-0.00138,-0.00028,-14.01685,4.00702,0.42763,-0.05327,-0.05327,15.49481,38.4156,0.74662,0.53939,0.00252,0.00386,-10.1264,-626.67103,-555.69448
"26","2017_Q1",14.7670967741935,"Up",214034000,42714000,47625000,-4911000,171320000,1364000,189874000,-19918000,214034000,-221530000,-6120000,-215410000,-7496000,-7496000,-7496000,5072000,-2424000,-1665000,-1790000,-1790000,64913000,745293000,250849000,27233000,31700000,137889000,107661000,2236930000,758286000,952173000,1723596000,101126000,410258000,-681000,510703000,513334000,2236930000,-1665000,3664000,6044000,-52004000,-42910000,-1334000,-3448000,-1470000,-103000,45600000,12227000,-34131000,-34131000,-34131000,-3832000,758286000,-62242000,-0.03502,-0.00836,-0.00349,-8e-04,34.77207,3.35765,0.33899,-0.13397,-0.13397,16.01915,38.22303,-4.65844,0.11002,-0.00014,-0.02782,-0.82123,-180.94285,-92.49907
"27","2017_Q2",14.1669841269841,"Down",207905000,19335000,24691000,-5356000,188570000,5373000,174147000,9050000,207905000,-214930000,-5854000,-209076000,-7025000,-7025000,-7025000,1687000,-5338000,-4751000,-4847000,-4847000,62421000,1044607000,275609000,27351000,31700000,137889000,111870000,2525427000,1100735000,906748000,2022848000,96308000,403623000,743000,500674000,502579000,2525427000,-4751000,1432000,4416000,-43083000,-41986000,-1550000,-1550000,-2296000,-4357000,47697000,41044000,-2492000,-2492000,-2492000,-5593000,1100735000,-51913000,-0.03379,-0.02331,-0.00964,-0.00192,10.71034,4.02494,0.43586,-0.36174,-0.36174,15.51617,37.36582,-3.87432,0.17135,-0.00101,-0.02056,-0.4737,-185.64527,-147.8027
"28","2017_Q3",14.1225396825397,"Down",209030000,23695000,30549000,-6854000,185335000,5302000,172021000,8012000,209030000,-210667000,-5916000,-204751000,-1637000,-1637000,-1637000,274000,-1363000,-1310000,-1319000,-1319000,116582000,1027117000,271051000,26525000,31700000,137889000,117988000,2607519000,1121883000,970060000,2106405000,96833000,400844000,1523000,499200000,501114000,2607519000,-1310000,1351000,5029000,-33469000,-28399000,-525000,669000,-1460000,-801999.999999999,34153000,81891000,54161000,54161000,54161000,-286000,1121883000,-34554000,-0.00783,-0.00631,-0.00263,-0.00051,26.19712,4.20344,0.43025,-0.0994700000000001,-0.0994700000000001,15.76294,37.64463,-2.60571,0.1101,4.99999999999999e-05,-0.01325,-1.1069,-3515.03846,-614.11179
"29","2017_Q4",20.5014285714286,"Up",219720000,27598000,34098000,-6500000,192122000,5135000,175904000,11083000,219720000,-207892000,-5622000,-202270000,11828000,11828000,11828000,-4425000,7403000,7864000,7789000,7789000,44794000,1081664000,292193000,26554000,31700000,137889000,118005000,2508401000,1094132000,892117000,2003626000,95967000,407179000,1272000,504418000,504775000,2508401000,7864000,1402000,7675000,19058000,35999000,-1431000,-1431000,-3086000,-2305000,-100965000,-106356000,-71788000,-71788000,-71788000,13230000,1094132000,35282000,0.05383,0.03545,0.01543,0.00311,4.52972,3.96934,0.43619,0.58949,0.56592,16.6289,38.17549,2.67022,0.23356,0.00434,0.01407,0.3962,79.31504,88.71644
"30","2018_Q1",23.5437704918033,"Up",255329000,26355000,35999000,-9644000,228974000,7463000,213509000,8002000,255329000,-238759000,-6153000,-232606000,16570000,16570000,16570000,4598000,21168000,21197000,21193000,21193000,48154000,968819000,230574000,27187000,31700000,137889000,145310000,2438517000,998101000,905413000,1914606000,95038000,426930000,1582000,523550000,523911000,2438517000,21197000,1472000,5957000,-10376000,18250000,-2105000,-1555000,-1442000,26000,-11919000,-13334999.9999999,3360000,3360000,3360000,18042000,998101000,963000.000000007,0.0649,0.083,0.04045,0.00869,0.0454399999999984,3.65445,0.40931,1.61625,1.48516,19.47226,39.92771,0.0734400000000002,0.10997,0.00928,0.000390000000000003,0.0680400000000002,52.651980000001,57.32933
"31","2018_Q2",24.46015625,"Up",225567000,28561000,37524000,-8963000,197006000,2726000,189165000,5115000,225567000,-215946000,-6096000,-209850000,9621000,9621000,9621000,-2916000,6705000,6705000,6705000,6705000,42715000,1070565000,216648000,28341000,32100000,137889000,123777000,2533976000,1070205000,919127000,2003467000,96525000,432179000,1440000,530144000,530509000,2533976000,6705000,1542000,7837000,-43627000,-27543000,-2696000,-3096000,-1456000,0,26656000,25200000,-5439000,-5439000,-5439000,11163000,1070205000,-32244000,0.04265,0.02973,0.01264,0.00265,-4.80895,3.7765,0.42234,0.50643,0.4797,17.03726,40.04221,-2.43542,0.10997,0.00322,-0.01272,0.21715,92.04425,106.79659
"32","2018_Q3",27.1542857142857,"Up",231647000,3.1e+07,41909000,-10909000,200647000,6400000,188024000,6223000,231647000,-219142000,-5780000,-213362000,12505000,12505000,12505000,-3662000,8843000,8843000,8855000,8855000,38961000,1077268000,249755000,27994000,32100000,137889000,114867000,2521280000,1067659000,901176000,1982639000,98112000,439577000,603000,538292000,538641000,2521280000,8843000,1598000,6677000,21736000,38854000,-1251000,-1251000,-1457000,0,-39900000,-41357000,-3754000,-3754000,-3754000,14103000,1067659000,38250000,0.05398,0.03823,0.01644,0.00351,4.31959,3.68082,0.42346,0.66836,0.63022,17.48436,40.62945,2.88705,0.10997,0.00409,0.01517,0.16454,72.94179,82.26293
"33","2018_Q4",25.3093650793651,"Down",224899000,30541000,43456000,-12915000,194358000,-16000,186160000,8214000,224899000,-217755000,-5378000,-212377000,7144000,7144000,7144000,-2083000,5061000,5061000,5071000,5071000,37531000,949207000,251804000,28842000,32100000,137889000,119659000,2356285000,951787000,847913000,1812408000,99648000,443188000,702000,543538000,543877000,2356285000,5061000,1859000,7954000,92094000,106968000,-2707000,-2423000,-1460000,70000,-104585000,-105975000,-1430000,-1430000,-1430000,9003000,951787000,100473000,0.03177,0.02255,0.00932,0.00215,19.81325,3.33239,0.40394,0.38217,0.35862,16.94917,40.96292,7.572,0.11003,0.00277,0.04264,0.28791,101.55015,127.97536
"34","2019_Q1",24.045737704918,"Down",229645000,32038000,45647000,-13609000,197607000,5351000,196021000,-3765000,229645000,-214046000,-5731000,-208315000,15599000,15599000,15599000,-7316000,8283000,8283000,8261000,8261000,90675000,905262000,211565000,28988000,32100000,137889000,112768000,2240314000,783760000,897149000,1694992000,95168000,449989000,165000,545322000,545322000,2240314000,8283000,1872000,-69000,40205000,50291000,-2418000,-1421000,-1832000,-5894000,115300000,4274000.00000001,53144000,53144000,53144000,17471000,783760000,62574000,0.06793,0.03597,0.01515,0.00369,7.57463,3.10824,0.34984,0.62403,0.58684,17.34736,41.19356,4.72683,0.13839,0.00451,0.02793,0.22176,39.6706,44.43137
"35","2019_Q2",23.172380952381,"Down",238784000,33709000,46695000,-12986000,205075000,11438000,181099000,12538000,238784000,-222732000,-5332000,-217400000,16052000,16052000,16052000,-4858000,11194000,11194000,11194000,11194000,83073000,966537000,224142000,30728000,32100000,137889000,298881000,2527564000,605067000,1352105000,1973077000,94008000,459751000,728000,554487000,554487000,2527564000,11194000,1708000,8400000,-5975000,15327000,-3448000,-3448000,-1432000,-2035000,-16014000,-19481000,-7602000,-7602000,-7602000,17760000,605067000,13195000,0.06722,0.04688,0.02019,0.00443,1.17876,3.55838,0.23939,0.85973,0.80815,18.3393,42.5862,1.01341,0.10998,0.005,0.00522,0.12793,29.39155,32.51894
