"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2018_Q2",10.25015625,"Down",-12396136,-3420623,-8975513,-12396136,89802,175184,-12306334,-12306334,-12306334,-12306334,-12306334,-12306334,52131598,52131598,5833718,1788997,4044721,57965316,155334,1780982,1780982,1936316,59901632,8737379,4605850,4131529,171975,171975,8909354,9571354,140617478,-90287200,50330278,50330278,59901632,-12306334,26566,1687024,231438,-10361306,-17373,-17373,18980710.3802382,-10378679,-10378679,-10378679,-12369570,0,-0.24451,-0.20544,6.50612,0.19017,0,-0.91377,-0.91377,3.73711,-0.24134,4.2145,4.20547
"12","2018_Q3",7.67555555555556,"Down",-11969806,-3436340,-8533466,-11969806,-37427,186304,-12007233,-12007233,-12007233,-12007233,-12007233,-12007233,43115051,43115051,5924039,1962291,3961748,49039090,273784,2890672,2890672,3164456,52203546,11290668,6379750,4910918,210425.058481261,210425.058481261,11290668,12124642,142373337,-102294433,40078904,40078904,52203546,-12007233,21586,1755859,1313439,-8916349,-100198,-100198,36839223.0398382,-9016547,-9016547,-9016547,-11948220,0,-0.29959,-0.23001,4.34333,0.30252,0,-0.88913,-0.88913,2.96782,-0.29348,3.60849,3.60198
"13","2018_Q4",5.47587301587302,"Down",-7985682,-3125780,-4859902,-7985682,178317,278214,-7807365,-7807365,-7807365,-7807365,-7807365,-7807365,66177376,66177376,6508224,3413029,3095195,72685600,248741,2440138.02209408,2440138.02209408,248741,72934341,8969092,3553350,5415742,171975,171975,9141067,9141067,173895072,-110101798,63793274,63793274,72934341,-7807365,25043,1584230,-713762,-6911854,-39838,-39838,30014017,23062325,23062325,23062325,-7960639,0,-0.12239,-0.10705,7.95154,0.14329,0,-0.47068,-0.47068,3.8459,-0.12239,8.31307,8.287
"14","2019_Q1",4.8655737704918,"Down",-8132206,-3256044,-4876162,-8046206,255963,321621,-7790243,-7790243,-7790243,-7790243,-7790243,-7790243,59763773,59763773,7191707,3747087,3444620,66955480,371963,1247634.61805274,1247634.61805274,371963,67327443,9725782,4461567,5264215,205103.913201196,205103.913201196,9725782,9725782,175493702,-117892041,57601661,57601661,67327443,-7790243,26377,1598630,-42606,-6207842,-129249,-129249,-76512,-6413602.99999999,-6413602.99999999,-6413602.99999999,-8019829,0,-0.13524,-0.11571,6.88433,0.16885,0,-0.44072,-0.44072,3.25875,-0.13524,7.452,7.42757
"15","2019_Q2",11.5447619047619,"Up",-9466369,-3159657,-6306712,-9466369,319352,350951,-9147017,-9147017,-9147017,-9147017,-9147017,-9147017,68299111,68299111,5919991,2524401,3395590,74219102,346973,951040.000000002,951040.000000002,1298013,75517115,7216070,3947625,3268445,249751,249751,7465821,7486381,195069792,-127039058,68030734,68030734,75517115,-9147017,29256,1496292,-1898375,-9519844,-24616,-24616,18079798,8535338,8535338,8535338,-9437113,0,-0.13445,-0.12113,9.94118,0.11004,0,-0.47023,-0.47023,3.49735,-0.13441,7.23729,7.21492
"16","2019_Q3",11.2703125,"Down",-11511059,-3287276,-8223783,-11511059,375874,439201,-11135185,-11135185,-11135185,-11135185,-11135185,-11135185,88661332,88661332,4909601,1501924,3407677,93570933,332076,1666080,1666080,1998156,95569089,9769668,3742146,6027522,216014,216014,9985682,9985682,223757650,-138174243,85583407,85583407,95569089,-11135185,32924,1481705,2771782,-6848774,0,0,27210995,20362221,20362221,20362221,-11478135,0,-0.13011,-0.11651,9.37051,0.11668,0,-0.50314,-0.50314,3.86704,-0.13011,7.72437,7.70227
"17","2019_Q4",6.83859375,"Down",-1926218,-3530617,1604399,-1926218,-20172,436846,-1946390,-1946390,-1946390,-1946390,-1946390,-1946390,77547530,77547530,16278321,2831340,13446981,93825851,339213,152166,152166,491379,94317230,9144721,3302459,5842262,159267,159267,9303988,9303988,225133875,-140120633,85013242,85013242,94317230,-1946390,36027,1376225,-10450358,-10984496,-56435,-56435,-72870.9999999963,-11113802,-11113802,-11113802,-1890191,0,-0.0229,-0.02064,10.08448,0.10944,0,-0.08385,-0.08385,3.66236,-0.0229,41.02629,40.25896
"18","2020_Q1",4.645,"Down",-11416164,-3958211,-7457953,-11416164,701173,295140,-10714991,-10714991,-10714991,-10714991,-10714991,-10714991,70063242,70063242,16992781,2378812,14613969,87056023,362724,345849,345849,708573,87764596,11814487,4740981,7073506,243677,243677,12058164,12167853,226432367,-150835624,75596743,75596743,87764596,-10714991,35672,1207673,2006784,-7464862,-48339,-48339,28913,-7484288,-7484288,-7484288,-11380492,0,-0.14174,-0.12209,7.21967,0.16096,0,-0.46176,-0.46176,3.25785,-0.14153,6.15642999999999,6.13719999999999
"19","2020_Q2",4.72857142857143,"Up",-10799362,-3916569,-6882793,-10799362,-1538467,201684,-12337829,-12337829,-12337829,-12337829,-12337829,-12337829,60638853,60638853,14381665,1474930,12906735,75020518,587267,858489,858489,1445756,76466274,10005327,3328339,6676988,252394,252394,10257721,10301958,229337769,-163173453,66164316,66164316,76466274,-12337829,41216,1323352,-24904,-10998165,-138209,-138209,1711985,-9424389,-9424389,-9424389,-10758146,0,-0.18647,-0.16135,7.31357,0.1557,0,-0.52727,-0.52727,2.8276,-0.18635,5.63655,5.61504
"20","2020_Q3",3.673125,"Down",-21841875,-4492034,-17349841,-21841875,1509114,26601,-20332761,-20332761,-20332761,-20332761,-20332761,-20332761,77006040,77006040,8332925,1804243,6528682,85338965,641263,1501911,1501911,2143174,87482139,12819269,3882768,8936501,237406,237406,13056675,13056675,257931678,-183506214,74425464,74425464,87482139,-20332761,48247,1347433,8276392,-10660689,-222629,-222629,27250505,16367187,16367187,16367187,-21793628,0,-0.2732,-0.23242,6.53604,0.17543,0,-0.77903,-0.77903,2.85152,-0.2732,3.53342,3.52561
"21","2020_Q4",3.7971875,"Up",-9231779,-3425831,-5805948,-9231779,183248,10781,-9048531,-9048531,-9048531,-9048531,-9048531,-9048531,64311205,64311205,10446191,3913112,6533079,74757396,596512,1851505,1851505,2448017,77205413,10391782,3404129,6987653,174073,174073,10565855,10565855,259194303,-192554745,66639558,66639558,77205413,-9048531,57790,1262625,-4940305,-12668421,-22385,-22385,-4028.99999999627,-12694835,-12694835,-12694835,-9173989,0,-0.13578,-0.1172,7.07538,0.15855,0,-0.30907,-0.30907,2.27624,-0.13578,7.01017,6.96629
"22","2021_Q1",4.53295081967213,"Up",-10189526,-4573114,-5616412,-10189526,571816,4926,-9617710,-9617710,-9617710,-9617710,-9617710,-9617710,59157187,59157187,14208987,5166401,9042586,73366174,585403,105199,105199,690602,74056776,13803559,2522716,11280843,109689,109689,13913248,13913248,262315983,-202172455,60143528,60143528,74056776,-9617710,59782,1244117,1327046,-6986765,-62091,-62091,1894838,-5154017.99999999,-5154017.99999999,-5154017.99999999,-10129744,0,-0.15991,-0.12987,5.27312,0.23133,0,-0.32807,-0.32807,2.05157,-0.15991,5.83995,5.80569
"23","2021_Q2",4.80746031746032,"Up",-7884807,-3275797,-4609010,-7884807,-76821,5633,-7961628,-7961628,-7961628,-7961628,-7961628,-7961628,93130194,93130194,14070361,5060547,9009814,107200555,535003,1072743,1072743,1607746,108808301,12358848,1678193,10680655,209325,209325,12568173,13093314,305849070,-210134083,95714987,95714987,108808301,-7961628,61455,1264837,-1657631,-8292967,-89614.1137677852,-89614.1137677852,42265974,33973007,33973007,33973007,-7823352,0,-0.08318,-0.07317,8.52953,0.13679,0,-0.19871,-0.19871,2.38895,-0.08273,11.90413,11.81135
"24","2021_Q3",4.4609375,"Down",-9838494,-4386546,-5451948,-9838494,-111585,5943,-9950079,-9950079,-9950079,-9950079,-9950079,-9950079,85780711,85780711,10674368,1767989,8906379,96455079,509623,1231202,1231202,1740825,98195904,9822051,1819761,8002290,206211,206211,10028262,10496647,307783419,-220084162,87699257,87699257,98195904,-9950079,61895,1934349,670005.000000001,-7283830,-47570,-47570,-18083,-7349482.99999999,-7349482.99999999,-7349482.99999999,-9776599,0,-0.11346,-0.10133,9.61832,0.11969,0,-0.24834,-0.24834,2.18889,-0.11285,8.77409,8.71889
"25","2021_Q4",3.6990625,"Down",-10210652,-3869481,-6341171,-10210652,-371599,5038,-10582251,-10582251,-10582251,-10582251,-10582251,-10582251,75642498,75642498,12415621,3880014,8535607,88058119,447728,1490323,1490323,1938051,89996170,10690299,2636350,8053949,207635,207635,10897934,11309171,309353412,-230666413,78686999,78686999,89996170,-10582251,61895,1569993,-1095818,-10046181,0,0,-92032,-10138213,-10138213,-10138213,-10148757,0,-0.13449,-0.11759,8.08026,0.14372,0,-0.26395,-0.26395,1.96265,-0.13379,7.45338,7.40819
"26","2022_Q1",2.37774193548387,"Down",-8836437,-3814077,-5022360,-8836437,21371.0000000001,4433,-8815066,-8815066,-8815066,-8815066,-8815066,-8815066,67808000,67808000,12411860,2831392,9580468,80219860,385833,565814,565814,951647,81171507,9695411,1798813,7896598,209068,209068,9904479,10258173,310394813,-239481479,70913334,70913334,81171507,-8815066,61895,1041401,-122728,-7834498,-3.63797880709171e-12,-3.63797880709171e-12,0,-7834498,-7834498,-7834498,-8774542,0,-0.12431,-0.1086,8.09935,0.14466,0,-0.21987,-0.21987,1.76876,-0.12369,7.72781,7.67368
"27","2022_Q2",1.27338709677419,"Down",-8903915,-3757310,-5146605,-8903915,413296,96044,-8490619,-8490619,-8490619,-8490619,-8490619,-8490619,69697865,69697865,3533211,1930380,1602831,73231076,376745,773208,773208,1149953,74381029,8707793,1603834,7103959,210512,210512,8918305,9214059,313139068,-247972098,65166970,65166970,74381029,-8490619,60695,1160482,7470074,200632,-51607,-51607,1740840,1889865,1889865,1889865,-8843220,0,-0.13029,-0.11415,8.21132,0.14139,0,-0.21106,-0.21106,1.61995,-0.1297,7.8815,7.82778
"28","2022_Q3",1.13453125,"Down",-9168770,-3722453,-5446317,-9168770,-684236,91691,-9853006,-9853006,-9853006,-9853006,-9853006,-9853006,62489635,62489635,3182066,1707738,1474328,65671701,322713,1012545,1012545,1335258,67006959,9315707,1674841,7640866,211965,211965,9527672,9765086,315066977,-257825104,57241873,57241873,67006959,-9853006,54032,1108543,806792,-7883639,0,0,675409,-7208230,-7208230,-7208230,-9114738,0,-0.17213,-0.14704,6.89273,0.17059,0,-0.23796,-0.23796,1.38243,-0.17142,6.85589,6.81549
