"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","sale_of_investments_unrealized_investments","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_other","net_cash_from_operating_activities","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"36","2020_Q1",3.74145161290323,"Up",15574045,-13234630,2339415,-3223451,-3223451,-884036,7638,7638,-876398,-7136,-7136,-883534,291000,-592534,-592534,-8281,-600815,-600815,4222221,3694989,527232,7448902,7448902,170867,118482,11841990,6502,685653,636000,49653,692155,12534145,4427108,574540,3852568,1190014,1190014,5617122,5617122,5134010,31142,5102868,-13514003,15268224,6888231,28792,6917023,12534145,-592534,2298,-290864,-298000,7136,463934,-491148,955082,-417166,1.45519152283669e-11,0,0,-417166,-417166,-417166,-881738,2.8421709430404e-14,0.15021,-0.05676,-0.03858,-0.08686,-0.04793,2.1082,0.81207,0,-0.30622,-0.30622,7.93759,3.51071,-0.08686,4.78852,4.77607
"37","2020_Q2",3.56714285714286,"Down",14946562,-12671052,2275510,-3189463,-3189463,-913953,4915,4915,-909038,2696,2696,-906342,247000,-659342,-659342,-3672,-663014,-663014,3095447,2812519,282928,7355067,7355067,92198,63758,10542712,5005,1560852,905000,655852,1565857,12108569,4073747,516511,3557236,1450495,1450495,5524242,5850888,5134010,31142,5102868,-13514003,14605210,6225217,32464,6257681,12108569,-659342,1497,-270044,-269000,-1044,-201581,95091,-296672,-1129470,247000,-307362.805455387,236294.144421641,-882470,-882470,-882470,-912456,0,0.15224,-0.06115,-0.04436,-0.10595,-0.05476,1.90844,0.93499,3.3881317890172e-21,-0.33792,-0.33792,7.61778,3.17279,-0.1007,3.39243,3.38688
"38","2020_Q3",4.6740625,"Up",15233869,-12784085,2449784,-2385530,-2385530,64253.9999999999,2992,2992,67245.9999999999,8512,8512,75758.0000000001,-7999.99999999994,67758.0000000001,67758.0000000001,-6246,61512,61512,2988316,2696876,291440,7076645,7076645,300321,262381,10365282,3507,1457034,888000,569034,1460541,11825823,3793650,899731,2893919,1447132,1447132,5240782,5511384,5134010,31142,5102868,-13514003,14666722,6286729,27710,6314439,11825823,67758.0000000001,1498,9633,17000,-7367,-183532,280433,-463965,-104643,-2.91038304567337e-11,-11000,-10999.9999999999,-115643,-115643,-115643,65752,-4.54747350886464e-13,0.16081,0.00421999999999999,0.00404000000000001,0.00974,0.0052,1.97781,0.87282,0,0.0313499999999999,0.03135,7.76421,3.20414,0.00934,-45.44829,-46.50786
"39","2020_Q4",6.521875,"Up",14144569,-12124514,2020055,-3270723,-3270723,-1250668,-41301,-41301,-1291969,-2024,-2024,-1293993,352000,-941993,-941993,-3109,-945102,-945102,9780366,9730022,50344,7057365,7057365,806843,202862,17644574,20191,1210835,784000,426835,1231026,18875600,3534799,503166,3031633,1871167,1871167,5405966,13085417,5134010,31142,5102868,-13514003,14141796,5761803,28380,5790183,18875600,-941993,1563,-358255,-361000,2745,919067,250117,668950,-379618,233511,922513,922513,776406,776406,776406,-1249105,0,0.14281,-0.08842,-0.06682,-0.16322,-0.05007,3.26391,2.25993,-5.42101086242752e-20,-0.48169,-0.48169,7.20903,2.93661,-0.07017,7.82989999999999,7.82011
"40","2021_Q1",8.69032786885246,"Up",14796401,-12363754,2432647,-2082932,-2082932,349715,-41115,-41115,308600,5928,5928,314528,121000,435528,435528,-15352,420176,420176,9780366,9730022,50344,7057365,7057365,806843,202862,17644574,20191,1210835,784000,426835,1231026,18875600,3534799,503166,3031633,1871167,1871167,5405966,13085417,5134010,31142,5102868,-13514003,14141796,5761803,28380,5790183,18875600,435528,3229,459580,465000,-5420,-851660,-239425,-612235,46677,-9987.00000000006,-439170,6220050,6256740,6256740,6256740,352944,-7.27595761418343e-12,0.16441,0.02364,0.0284,0.07257,0.02226,3.26391,2.25993,0,0.21415,0.21415,7.54125,2.93661,0.03119,-27.71082,-27.96668
"41","2021_Q2",8.69380952380952,"Up",14514006,-12182922,2331084,-2271301,-2271301,59783,-52276,-52276,7507,-9584,-9584,-2077,5000,2923,2923,-5923,-3000,-3000,10843122,10802362,40760,6597935,6597935,793256,179907,18234313,25771,1159024,787000,372024,1184795,19419108,4568677,1232652,3336025,1693277,1693277,6261954,13626002,5134010,31142,5102868,-13514003,14138796,5758803,34303,5793106,19419108,2923,2396,6834,-3000,9834,1505316,459430,1045886,1517469,-7976,-1293334.06189525,-437153,1072340,1072340,1072340,62179,0,0.16061,0.00412,-0.00021,-0.00052000000000002,-0.000150000000000001,2.91192,2.35211,0,-0.00153,-0.00153,7.39732,2.93508,-0.000230000000000018,-174.3856,-181.37467
"42","2021_Q3",10.05015625,"Up",16068577,-13233492,2835085,-3058618,-3058618,-223533,-51697,-51697,-275230,-2080,-2080,-277310,30000,-247310,-247310,551.999999999999,-246758,-246758,7231428,7192748,38680,8007737,8007737,947894,351419,16187059,38057,3868787,858000,467654,3906844,20093903,5239733,1675144,3564589,1785948,1785948,7025681,14548107,5134010,31142,5102868,-13514003,13892038,5512045,33751,5545796,20093903,-247310,45147,67410.9999999998,-71000.0000000001,138411,-396121,-630872,234751,-530873,-3114797,-1130950.64345555,36056,-3609614,-3609614,-3609614,-178386,0,0.17644,-0.01391,-0.01536,-0.04449,-0.01228,2.30398,2.62327,0,-0.12576,-0.12576,8.18964,2.80931,-0.01888,40.53809,32.35061
"43","2021_Q4",9.31125,"Down",17160494,-14414611,2745883,-3084495,-3084495,-338612,-51297,-51297,-389909,9944,9944,-379965,79000,-300965,-300965,-3964,-304929,-304929,6682169,6633545,48624,8873053,8873053,921682,350775,16476904,43823,4485178,967000,1017795,4529001,21005905,5926151,1967594,3958557,1767043,1767043,7693194,15701991,5193093,31142,5161951,-13514003,13587109,5266199,37715,5303914,21005905,-300965,47640,-94628,-109000,-44711,-128195,-865316,737121,-476148,-10656,-519978.903288073,-72399,-559203,-559203,-559203,-290972,0,0.16001,-0.01973,-0.01777,-0.05749,-0.01452,2.14175,2.96045,1.38777878078145e-17,-0.15541,-0.15541,8.74615,2.68401,-0.02291,22.96499,19.734
"44","2022_Q1",10.2640322580645,"Up",21078140,-17669278,3408862,-3394536,-3394536,14326.0000000001,-38131,-38131,-23804.9999999999,-2928,2615.91385984171,-26733.0000000002,-5000.00000000001,-31733.0000000002,-31733.0000000002,-14554,-46287.0000000002,-46287.0000000002,7416342,7370646,45696,9660742,9660742,294873,253694,17371957,116238,4341869,941000,943236,4458107,21830064,5718025,2083140,3634885,2663132,2663132,8381157,16409012,5370342,31142,5339200,-13514003,13540822,5397161,23891,5421052,21830064,-31733.0000000002,62971,221864,-688631.822842243,-994082.492266259,540124,2799367.9288282,7058768.18280565,793226,-92636.0000000005,-28378,36511,737101,737101,737101,77296.9999999999,6751747,0.16172,0.00068,-0.0022,-0.00854,-0.00212,2.07274,3.02691,0.30929,-0.0235899999999999,-0.0235899999999999,10.74285,2.75076,-0.00344,-8.59794,-46.39083
"45","2022_Q2",8.31112903225806,"Down",22866017,-19055629,3810388,-4165305,-4165305,-354917,-33846,-33846,-388763,6732798,-42560.2584204749,6344035,115000,6459035,6459035,-57492,6401543,6401543,7649190,7605942,43248,10210087,10210087,318627,237823,18177904,131668,4332808,1024000,893925,4464476,22642380,7838402,2282234,5556168,2123442,2123442,9961844,10586794,5547591,31142,5516449,-13514003,19942365,11975953,79633,12055586,22642380,6459035,55306,-6652875,-2179895.46852673,-3134725.47679878,461316,13008194.7864846,22982453.548417,322782,-27986,-1750,-59500,235296,235296,235296,-299611,0,0.16664,-0.01552,0.27996,0.531,0.28272,1.82475,0.87817,0,3.26266,3.26266,11.65407,6.10376,0.50483,25.5304,21.55205
"46","2022_Q3",8.27671875,"Down",23863550,-19815539,4048011,-3633160,-3633160,414851,-28138,-28138,386713,-3888,-144080.51684095,382825,-128000,254825,254825,-11789,243036,243036,6307170,6267810,39360,10772550,10772550,348743,297689,17428463,166071,4183215,932000,879082,4349286,21777749,6653192,1791423,4861769,2080592,2080592,8733784,9315729,5724840,31142,5693698,-13514003,20185401,12396238,65782,12462020,21777749,254825,55306,257270,-4952790.93705346,-6891661.95359755,-1842111,32406179.5729692,52290938.0968339,-1274710,-46959.0000000001,-25640,-16463,-1338132,-1338132,-1338132,470157,9.31322574615479e-10,0.16963,0.01738,0.01018,0.0195,0.01116,1.99552,0.74753,0,0.12387,0.11955,12.16249,6.31796,0.01863,-13.41503,-15.20346
