"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2018_Q3",22.7842857142857,"Down",21338000,-34595000,-9042000,-25553000,-13257000,1601000,1540000,1540000,61000,-11656000,-11656000,-13447000,-13447000,-13447000,-13447000,335146000,132908000,202238000,25137000,25137000,6388000,6388000,366671000,5499000,4772000,1531000,949000,2292000,10271000,376942000,31700000,4240000,24768000,51512000,51512000,83212000,252597000,250316000,2281000,252597000,335809000,300628000,-259317000,-178000,41133000,41133000,376942000,-13447000,426000,3816000,-17411000,-26616000,-868000,16647000,722000,722000,722000,-9247000,-9247000,-9247000,-12831000,0,-0.62129,-0.63019,-0.32692,-0.03567,4.40647,8.16398,0,-0.34512,-0.34512,0.54765,1.0557,-0.04578,26.12002,25.28068
"12","2018_Q4",14.8369841269841,"Down",12509000,-35686000,-8137000,-27549000,-23177000,2248000,2219000,2219000,29000,-20929000,-20929000,-23431000,-23431000,-23431000,-23431000,464562000,259753000,204809000,56000,56000,7890000,7890000,472508000,5482000,4736000,1495000,949000,2292000,10218000,482726000,33277000,6871000,21416000,52997000,52997000,86274000,238791000,236365000,2426000,238791000,325065000,440617000,-282748000,-208000,157661000,157661000,482726000,-23431000,474000,3978000,13428000,-5551000,-1050000,-3180000,135576000,135576000,135576000,126845000,126845000,126845000,-22703000,0,-1.85283,-1.87313,-0.14862,-0.04854,5.47683,2.0618,0,-0.53284,-0.53284,0.28447,3.58535,-0.0591,20.46258,20.0441
"13","2019_Q1",14.782131147541,"Down",11471000,-37281000,-8975000,-28306000,-25810000,2489000,2507000,2507000,-18000,-23321000,-23321000,-32233000,-32233000,-32233000,-32233000,436127000,247577000,188550000,97000,97000,9251000,9251000,445475000,6934000,4699000,1458000,949000,2292000,11633000,457108000,45195000,5132000,26724000,52713000,52713000,97908000,228317000,225267000,3050000,228317000,326225000,445957000,-314981000,-93000,130883000,130883000,457108000,-32233000,462000,4066000,-1037000,-28742000,-1119000,15842000,724000,724000,724000,-12176000,-12176000,-12176000,-25348000,0,-2.25002,-2.80996,-0.24627,-0.07052,4.54993,2.49249,0,-0.71513,-0.71513,0.2545,2.90379,-0.08974,17.20558,16.8976
"14","2019_Q2",10.4838095238095,"Down",29485000,-46050000,-9674000,-36376000,-16565000,2435000,2496000,2496000,-61000,-14130000,-14130000,-14124000,-14124000,-14124000,-14124000,396596000,190407000,206189000,44000,44000,8437000,8437000,405077000,7369000,32067000,1422000,949000,29696000,39436000,444513000,45452000,9511000,22567000,50765000,50765000,96217000,225725000,197754000,27971000,225725000,321942000,451614000,-329116000,73000,122571000,122571000,444513000,-14124000,617000,4515000,-30037000,-39029000,-1835000,-18606000,464999.999999985,464999.999999985,465000,-57170000,-57170000,-57170000,-15948000,0,-0.56181,-0.47902,-0.11523,-0.03177,4.21004,2.62658,0,-0.31301,-0.31301,0.65344,2.71641,-0.04055,24.86807,23.94181
"15","2019_Q3",9.864375,"Down",9013000,-40246000,-9411000,-30835000,-31233000,2272000,2360000,2360000,-88000,-28961000,-28961000,-28961000,-28961000,-28961000,-28961000,349142000,149392000,199750000,10004000,10004000,7531000,7531000,366677000,7238000,31369000,1385000,949000,29035000,38607000,405284000,26989000,4520000,22469000,51684000,51684000,78673000,225110000,197826000,27284000,225110000,303783000,459368000,-358076000,209000,101501000,101501000,405284000,-28961000,630000,6399000,-26721000,-48653000,-331000,6940000,698000,698000,698000,-41015000,-41015000,-41015000,-30603000,0,-3.46533,-3.21325,-0.28533,-0.07146,4.66077,2.99291,0,-0.63875,-0.63875,0.19879,2.23866,-0.08867,11.40875,11.17863
"16","2019_Q4",6.74625,"Down",10712000,-36430000,-8463000,-27967000,-25718000,2021000,1998000,1998000,23000,-23697000,-23697000,-23697000,-23697000,-23697000,-23697000,325713000,164646000,161067000,7000,7000,9058000,9058000,334778000,7107000,30659000,1349000,949000,28361000,37766000,372544000,25046000,4550000,20496000,51080000,51080000,76126000,214309000,187725000,26584000,214309000,290435000,463774000,-381775000,110000,82109000,82109000,372544000,-23697000,641000,3823000,-4086000,-23319000,-628000,38510000,62999.9999999991,62999.9999999991,63000,15254000,15254000,15254000,-25077000,0,-2.40086,-2.21219,-0.2886,-0.06361,4.39768,3.53719,0,-0.52172,-0.52172,0.23584,1.80772,-0.07994,12.98852,12.66479
"17","2020_Q1",6.97161290322581,"Up",8279000,-45658000,-9217000,-36441000,-37379000,1502000,1511000,1511000,-9000,-35877000,-35877000,-35456000,-35456000,-35456000,-35456000,296145000,188425000,107720000,13000,13000,7177000,7177000,303335000,7372000,30575000,1312000,949000,28314000,37947000,341282000,34209000,4158000,30051000,51381000,51381000,85590000,204579000,178858000,25721000,204579000,290169000,468286000,-417230000,57000,51113000,51113000,341282000,-35456000,717000,6409000,-1149000,-29479000,-703000,52857000,401000,401000,401000,23779000,23779000,23779000,-36662000,0,-4.51492,-4.28264,-0.69368,-0.10389,3.54405,5.67701,0,-0.77994,-0.77994,0.18212,1.12435,-0.13867,8.07771,7.92276
"18","2020_Q2",9.28634920634921,"Up",49593000,-52386000,-9572000,-42814000,-2793000,1087000,1075000,1075000,12000,-1706000.00000001,-1706000.00000001,12205000,12205000,12205000,12205000,247922000,143286000,104636000,130010000,130010000,22134000,9073000,400066000,7393000,29203000,1276000,949000,26978000,36596000,436662000,32135000,3782000,28353000,73866000,73866000,106001000,260894000,236789000,24105000,260894000,366895000,474456000,-405025000,336000,69767000,69767000,436662000,12205000,637000,4586000,-67165000,-49737000,-1049000,2440999.99999999,2157000,2157000,2157000,-45139000,-45139000,-45139000,-2156000,0,-0.0563199999999995,0.2461,0.17494,0.02795,3.77417,5.25886,0,0.26693,0.25943,1.08462,1.52583,0.03691,114.99165,88.76549
"19","2020_Q3",7.4159375,"Down",16608000,-32746000,-8680000,-24066000,-16138000,459000,455000,455000,4000,-15679000,-15679000,-15679000,-15679000,-15679000,-15679000,346401000,291388000,55013000,206000,206000,19959000,6898000,366566000,7461000,28452000,1240000,949000,26263000,35913000,402479000,26074000,4927000,21147000,72711000,72711000,98785000,244865000,221542000,23323000,244865000,343650000,479517000,-420704000,16000,58829000,58829000,402479000,-15679000,622000,4041000,108117000,97101000,-37000,49453000,1548000,1548000,1548000,148102000,148102000,148102000,-15516000,0,-0.9717,-0.94406,-0.26652,-0.03896,3.71075,5.84151,0,-0.34043,-0.35048,0.3606,1.27731,-0.05163,22.32541,21.46493
"20","2020_Q4",7.14375,"Down",17788000,-32683000,-8634000,-24049000,-14895000,185000,2e+05,2e+05,-15000,-14710000,-14710000,-14710000,-14710000,-14710000,-14710000,321076000,176810000,144266000,543000,543000,18686000,5625000,340305000,7190000,27687000,1203000,949000,25535000,34877000,375182000,27588000,3643000,23945000,74445000,74445000,102033000,225085000,202560000,22525000,225085000,327118000,483525000,-435414000,-47000,48064000,48064000,375182000,-14710000,652000,4542000,-15162000,-24678000,-778000,-90067000,167000,167000,167000,-114578000,-114578000,-114578000,-14243000,0,-0.83736,-0.82696,-0.30605,-0.03921,3.33524,6.80588,0,-0.31842,-0.31842,0.38504,1.04041,-0.05385,22.54272,21.55596
"21","2021_Q1",7.91491803278689,"Up",16373000,-31152000,-9145000,-22007000,-14779000,78000,106000,106000,-28000,-14701000,-14701000,-14701000,-14701000,-14701000,-14701000,316119000,191859000,124260000,798000,798000,7096000,7096000,324013000,6950000,27700000,1167000,949000,25584000,34650000,358663000,26055000,2996000,23059000,74869000,74869000,100924000,207936000,186261000,21675000,207936000,308860000,499965000,-450115000,-47000,49803000,49803000,358663000,-14701000,662000,4268000,-7656000,-17427000,-445000,19455000,13021000,13021000,13021000,15049000,15049000,15049000,-14117000,0,-0.90264,-0.89788,-0.29518,-0.04099,3.21047,6.20163,0,-0.31545,-0.31545,0.35132,1.06864,-0.05704,22.39279,21.38974
"22","2021_Q2",7.78666666666667,"Down",15971000,-31598000,-9227000,-22371000,-15627000,73000,68000,68000,5000,-15554000,-15554000,-15554000,-15554000,-15554000,-15554000,393796000,329666000,64130000,756000,756000,5456000,5456000,400008000,7172000,26978000,1130000,949000,24899000,34150000,434158000,21413000,2582000,18831000,76636000,76636000,98049000,190087000,169280000,20807000,190087000,288136000,611734000,-465669000,-43000,146022000,146022000,434158000,-15554000,674000,3934000,-18994000,-29940000,-982000,59012000,108735000,108735000,108735000,137807000,137807000,137807000,-14953000,0,-0.97846,-0.97389,-0.10652,-0.03583,4.07967,1.97324,0,-0.25512,-0.25512,0.26196,2.39506,-0.04628,26.33558,25.19972
"23","2021_Q3",5.353125,"Down",16288000,-35493000,-9392000,-26101000,-19205000,-38000,44000,44000,-82000,-19243000,-19243000,-19243000,-19243000,-19243000,-19243000,266177000,256146000,10031000,931000,931000,3897000,3897000,271005000,6699000,24822000,1094000,949000,22779000,131435000,402440000,21008000,1755000,19253000,72369000,72369000,93377000,178110000,158189000,19921000,178110000,271487000,615850000,-484912000,15000,130953000,130953000,402440000,-19243000,677000,4340000,-13973000,-28199000,-114000,-46012000,691000,691000,691000,-73520000,-73520000,-73520000,-18528000,0,-1.17909,-1.18142,-0.14695,-0.04782,2.90227,2.07316,0,-0.31562,-0.31562,0.26716,2.14789,-0.06226,14.3662,13.85978
"24","2021_Q4",5.85796875,"Up",17587000,-40228000,-11085000,-29143000,-22641000,57000,70000,9373.56699936997,-13000,-22584000,-22584000,-22584000,-22584000,-22584000,-22584000,236289000,236284000,5000,887000,887000,3822000,3822000,240998000,6271000,23995000,1057000,949000,21989000,130235000,371233000,26683000,1516000,25167000,73089000,73089000,99772000,159787000,140770000,19017000,159787000,259559000,619118000,-507496000,52000,111674000,111674000,371233000,-22584000,680000,3961000,-11757000,-29700000,-268000,9734000.00000001,104000,104000,104000.000000015,-19862000,-19862000,-19862000,-21961000,0,-1.28737,-1.28413,-0.20223,-0.06084,2.41549,2.32426,0,-0.34634,-0.34634,0.26971,1.71258,-0.08319,10.75948,10.43633
"25","2022_Q1",3.83983870967742,"Down",19727000,-46035000,-9456000,-36579000,-26308000,80000,73000,455.906272326341,7000,-26228000,-26228000,-26228000,-26228000,-26228000,-26228000,305226000,205530000,99696000,790000,790000,4285000,4285000,310301000,5960000,23149000,1021000,949000,21179000,29109000,339410000,37054000,2818000,34236000,69262000,69262000,106316000,143716000,125660000,18056000,143716000,250032000,623345000,-533724000,-242000,89379000,89379000,339411000,-26228000,675000,4337000,-9976000,-31192000,-245000,-245000,683000,683000,683000,-30754000,-30754000,-30754000,-25633000,0,-1.3336,-1.32955,-0.29345,-0.07728,2.91867,2.79744,0,-0.40222,-0.40222,0.30252,1.37067,-0.11252,11.90754,11.60202
"26","2022_Q2",1.91451612903226,"Down",17136000,-41102000,-10543000,-30559000,-23966000,81000,68000,68000,13000,-23885000,-23885000,-23885000,-23885000,-23885000,-23885000,262530000,163488000,99042000,1016000,1016000,4898000,4898000,268444000,6093000,22288000,984000,949000,20355000,28381000,296825000,32753000,1721000,31032000,70013000,70013000,102766000,125865000,108788000,17077000,125865000,228631000,626722000,-557609000,-919000,68194000,68194000,296825000,-23885000,602000,4179000,-22209000,-41313000,-736000,-736000.000000004,7000,7000,7000,-42042000,-42042000,-42042000,-23364000,0,-1.39858,-1.39385,-0.35025,-0.08047,2.61219,3.35266,0,-0.36525,-0.36525,0.26204,1.04282,-0.12308,11.23652,10.95427
"27","2022_Q3",1.53890625,"Down",18166000,-42908000,-11749000,-31159000,-24742000,558000,262000,262000,296000,-24184000,-24184000,-24184000,-24184000,-24184000,-24184000,228165000,129290000,98875000,1014000,1014000,3591000,3591000,232770000,5915000,21401000,948000,949000,19504000,27316000,260086000,33652000,1920000,31732000,65787000,65787000,99439000,111939000,95863000,16076000,111939000,211378000,631663000,-581793000,-1162000,48708000,48708000,260086000,-24184000,610000,5318000,-15981000,-34237000,-412000,-412000,451000,451000,451000,-34198000,-34198000,-34198000,-24132000,0,-1.36199,-1.33128,-0.49651,-0.09298,2.34083,4.3397,0,-0.36898,-0.36898,0.27716,0.74315,-0.15054,9.45487,9.22177
