"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",18.138064516129,"Up",74371000,-9487000,64884000,-52183000,-39345000,-12631000,-207000,12701000,357000,-660000,1017000,13058000,-1411000,11647000,-3902000,7745000,5838000,5838000,5838000,352207000,294398000,57809000,75849000,75849000,43699000,26863000,471755000,64479000,338807000,47676000,252735000,32808000,5588000,434571000,906326000,82595000,4827000,73597000,134871000,134871000,217466000,9416000,7917000,9416000,226882000,352773000,326671000,679444000,679444000,906326000,5838000,8390000,8503000,-706000,22025000,-465000,23293000,25827000,-71000,3797000,3797000,0,-62000,3664000,51516000,51516000,998000,52514000,21091000,0,23822000,0.87244,0.17078,0.0785,0.00859,0.00644,4.08051,2.16933,0.33392,0,0.09198,0.09107,1.17179,10.7053,0.37534,0.00847,0.03458,-16.6994,-27.73065
"12","2013_Q1",21.0428333333333,"Up",86642000,-9662000,76980000,-57264000,-45953000,-11113000,-198000,19716000,-680000,-902000,222000,19036000,-1057000,17979000,-5485000,12494000,36025000,36025000,36025000,355217000,301792000,53425000,70793000,70793000,100808000,16478000,526818000,63071000,268767000,5119000,226110000,26565000,10973000,358159000,884977000,110944000,10477000,78981000,129210000,129210000,240154000,6424000,5392000,6424000,246578000,300333000,-10764000,638399000,638399000,884977000,36025000,5596000,-30670000,17450000,28401000,-1129000,3880000,55313000,0,-76392000,4924000,-81316000,-1220000,-77612000,6101999.99999999,6101999.99999999,1292000,7394000,25312000,7.27595761418343e-12,47118000,0.88848,0.22756,0.41579,0.05643,0.04071,1.30793,2.19367,0.38624,0,0.5731,0.56664,1.37833,10.15589,0.74957,0.05587,0.07307,-14.03354,-18.01669
"13","2013_Q2",20.46,"Down",83733000,-9879000,73854000,-57101000,-43308000,-13622000,-171000,16753000,-548000,-1079000,531000,16205000,-960000,15245000,-5432000,9813000,31118000,31118000,31118000,321375000,279217000,42158000,64026000,64026000,47440000,26788000,432841000,61528000,259563000,4574000,226104000,23566000,5319000,347533000,780374000,65572000,8879000,55626000,115564000,115564000,181136000,3422000,2887000,3422000,184558000,264810000,331006000,595816000,595816000,780374000,31118000,3401000,-33127000,-26451000,-25059000,-898000,10860000,83315000,-201893.440457074,-80069000,29233000,-109302000,77000,-79992000,-21736000,-21736000,-839000,-22575000,20154000,0,-1763000,0.88202,0.20008,0.37163,0.05223,0.03988,-0.05666,2.38959,0.30976,0,0.53743,0.52965,1.44614,10.29025,-0.03045,0.05193,-0.00294,-15.94597,-19.18313
"14","2013_Q3",22.76609375,"Up",81705000,-8489000,73216000,-54792000,-39954000,-14671000,-167000,18424000,-292000,-536000,244000,18132000,-4038000,14094000,-5952000,8142000,3910000,3910000,3910000,255804000,218387000,37417000,50772000,50772000,51272000,26782000,357848000,59352000,267393000,11430000,224440000,26776000,4747000,353245000,711093000,59281000,6594000,52533000,106106000,106106000,165387000,3468000,2953000,3468000,168855000,232838000,309400000,542238000,542238000,711093000,3910000,4076000,6607000,-952000,13641000,-1488000,4350000,-6363000,-499199.429448909,-64025000,3210000,-67235000,-1271000,-65296000,-58018000,-58018000,-2812000,-60830000,22500000,-1.81898940354586e-12,26012000,0.8961,0.22549,0.04786,0.00721,0.00549999999999999,6.65269,2.1637,0.3114,1.6940658945086e-21,0.0712,0.0701499999999999,1.48774,9.87341,0.47364,0.00717,0.04767,-11.36907,-13.88428
"15","2013_Q4",23.48125,"Up",77578000,-8519000,69059000,-53040000,-38214000,-14615000,-211000,16019000,177000,-194000,371000,16196000,-6358000,9838000,-2634000,7204000,24843000,24843000,24843000,241982000,215342000,26640000,53620000,53620000,40035000,27252000,335637000,56889000,267491000,10690000,224290000,24197000,8314000,350953000,686590000,67236000,5797000,61439000,96534000,96534000,163770000,3465000,2988000,3465000,167235000,214915000,304440000,519355000,519355000,686590000,24843000,3897000,-27664000,-2937000,-1861000,-603000,10475000,48274000,-546905.703716289,-47981000,16666000,-64647000,-441000,-48422000,-2009000,-2009000,-1036000,-3045000,19916000,0,19010000,0.89019,0.20649,0.32023,0.04783,0.03618,0.76521,2.04944,0.32201,0,0.46408,0.45677,1.44919,9.70177,0.35511,0.04752,0.03636,-12.15013,-15.10594
"16","2014_Q1",21.7254098360656,"Down",90980000,-8095000,82885000,-55154000,-40515000,-14428000,-211000,27731000,-294000,-349000,7e+05,27437000,-3831000,23606000,-8988000,14618000,15036000,15036000,15036000,231440000,198818000,32622000,66784000,66784000,39587000,30716000,337811000,57030000,262585000,9950000,224286000,20386000,7963000,344376000,682187000,68186000,9560000,56042000,96393000,96393000,164579000,3954000,3614000,3954000,168533000,205307000,-11659000,513654000,513654000,682187000,15036000,3061000,13423000,-13661000,17859000,-1237000,-4677000,-6464000,-4.65661287307739e-10,-30032000,5321000,-35353000,-1659000,-31691000,-20296000,-20296000,3772000,-16524000,30792000,0,24882000,0.91102,0.3048,0.16527,0.02927,0.02204,1.65483,2.05258,0.32811,2.71050543121376e-20,0.29076,0.28564,1.75936,9.93297,0.48116,0.02905,0.04807,-7.51624,-8.34589
"17","2014_Q2",19.7936507936508,"Down",74538000,-7881000,66657000,-51513000,-36236000,-15113000,-164000,15144000,6000,-507000,663000,15150000,-1142000,14008000,-2908000,11100000,11100000,11100000,11100000,248049000,219356000,28693000,58960000,58960000,40682000,29845000,347691000,60871000,256762000,9257000,224185000,19768000,3552000,342743000,690434000,55652000,8480000,43748000,106482000,106482000,162134000,3626000,3288000,3626000,165760000,208771000,315903000,524674000,524674000,690434000,11100000,3474000,4054000,6796000,25424000,-5697000,3700000,374000,0,-5899000,3890000,-9789000,147000,-5752000,20046000,20046000,492000,20538000,18618000,0,22625000,0.89427,0.20317,0.14892,0.02116,0.01608,2.03829,2.14447,0.31593,0,0.21556,0.21279,1.44751,10.18903,0.43937,0.02101,0.04283,-13.32307,-16.37936
"18","2014_Q3",21.2978125,"Up",80827000,-7378000,73449000,-51415000,-35787000,-15480000,-148000,22034000,-129000,-725000,754000,21905000,-1754000,20151000,-7352000,12799000,12799000,12799000,12799000,226576000,201971000,24605000,58023000,58023000,36508000,25116000,321107000,59865000,267321000,16090000,230681000,17387000,3163000,352242000,673349000,51746000,8906000,39645000,98413000,98413000,150159000,4664000,4309000,4664000,154823000,200003000,318523000,518526000,518526000,673349000,12799000,3573000,7575000,-6831000,17116000,-402000,3835000,-9965000,4.65661287307739e-10,-22196000,3014000,-25210000,-3338000,-25534000,-18383000,-18383000,998000,-17385000,25607000,2.3283064365387e-10,25726000,0.90872,0.27261,0.15835,0.02468,0.01901,2.01,2.13845,0.29858,0,0.25072,0.24769,1.58332,10.15742,0.50395,0.02446,0.04917,-8.84821,-10.28302
"19","2014_Q4",23.54796875,"Up",79274000,-7861000,71413000,-49729000,-34638000,-14975000,-116000,21684000,-2458000,-536000,-1800000,19226000,-2253000,16973000,-5878000,11095000,11095000,11095000,11095000,261292000,242380000,18912000,57840000,57840000,33550000,21505000,352682000,59176000,264786000,15139000,230677000,16172000,2798000,323962000,676644000,55090000,7076000,43173000,93086000,93086000,148176000,4191000,3838000,4191000,152367000,200681000,-9133000,524277000,524277000,676644000,11095000,3985000,8750000,2099000,25929000,-1084000,5500000,29582000,0,-13795000,3810000,-17605000,274000,-13521000,41990000,41990000,-1581000,40409000,25669000,0,32562000,0.90084,0.27353,0.13996,0.02116,0.0164,2.93484,2.38016,0.29062,0,0.22021,0.21784,1.57343,10.40583,0.64629,0.02099,0.06162,-10.17928,-12.04999
"20","2015_Q1",24.0047540983607,"Up",97894000,-11139000,86755000,-56749000,-43127000,-13397000,-225000,30006000,-355000,-679000,466000,29651000,-2979000,26672000,-12208000,14464000,14464000,14464000,14464000,283268000,263082000,20186000,68311000,68311000,24028000,24028000,375607000,59351000,267798000,20578000,232836000,12020000,2364000,327149000,702756000,60746000,11749000,46751000,92557000,92557000,153303000,6208000,6208000,6208000,159511000,209778000,-13726000,543245000,543245000,702756000,14464000,4264000,21946000,-1449000,39225000,-802000,-1447000,-14855000,-7.45058059692383e-09,5774000,5774000,0,-3199000,2575000.00000001,26945000,26945000,-6243000,20702000,34270000,-7.45058059692383e-09,44227000,0.88621,0.30652,0.14775,0.02663,0.02058,3.05773,2.4501,0.29363,-6.93889390390723e-18,0.28679,0.28308,1.94103,10.7714,0.87693,0.02632,0.08049,-8.26577,-9.44038
"21","2015_Q2",24.1795238095238,"Up",81381000,-17628000,63753000,-71089000,-45066000,-22821000,-3202000,-7336000,933000,1557000,515000,-6403000,-3850000,-10253000,9282000,-971000,-971000,-971000,-971000,211164000,187035000,24129000,59647000,59647000,41487000,16551000,312298000,61994000,515300000,135851000,370625000,4375000,4449000,577294000,889592000,63310000,10241000,50160000,123005000,123005000,193815000,17082000,7213000,157707000,351522000,215140000,-19206000,538070000,538070000,889592000,-971000,11141000,-12069000,39039000,37140000,-2335000,-4126000,-248542000,148125000,-4489000,3338000,-7827000,-1528000,142108000,-69294000,-69294000,-6753000,-76047000,3805000,148125000,31227000,0.78339,-0.09014,-0.01193,-0.0018,-0.00109,-32.15963,1.61132,0.6533,0.16651,-0.01916,-0.01916,1.60616,10.61952,0.61631,-0.00138,0.0444,-16.56741,8.5931
"22","2015_Q3",25.683125,"Up",88817000,-15746000,73071000,-70985000,-45524000,-22290000,-3171000,2086000,-1026000,-532000,453000,1060000,-4821000,-3761000,9530000,5769000,5769000,5769000,5769000,199121000,166020000,33101000,56440000,56440000,57018000,19454000,312579000,57653000,506786000,128605000,370533000,2976000,4672000,564439000,877018000,61854000,10191000,47689000,127037000,127037000,196391000,18878000,9175000,157628000,354019000,212157000,-21915000,522999000,522999000,877018000,5769000,10354000,-1064000,5732000,20791000,-2070000,-9199000,-12345999.9999999,-1874999.99999997,-22023000,3018000,-25041000,-2320000,-26218000,-17773000,-17773000,-3242000,-21015000,12440000,146250000,6572000,0.82271,0.02349,0.06495,0.01103,0.00658,1.13919,1.59162,0.6769,0.16676,0.1146,0.11293,1.76427,10.38892,0.13055,0.00838,0.00955,-4.25008,-25.34564
"23","2015_Q4",21.661875,"Down",94638000,-15131000,79507000,-67690000,-44082000,-20422000,-3186000,11817000,-1165000,-628000,185000,10652000,-3224000,7428000,-11556000,-4128000,-4128000,-4128000,-4128000,218304000,189113000,29191000,60335000,60335000,51728000,19937000,330367000,56825000,499442000,121323000,370465000,3002000,4652000,556267000,886634000,65606000,9363000,47973000,124285000,124285000,197391000,22626000,12983000,159501000,356892000,223299000,-22189000,529742000,529742000,886634000,-4128000,10134000,12126000,1125000,19257000,-1674000,3693000,1741000,-1875000,4103000,4103000,0,109000,2337000,23335000,23335000,-242000,23093000,21951000,144375000,32958000,0.84012,0.12487,-0.04362,-0.00779,-0.00466,-7.98401,1.67367,0.67371,0.16283,-0.08236,-0.08236,1.88823,10.56947,0.65758,-0.00592,0.0473,-3.36791,-6.25616
"24","2016_Q1",22.2808196721311,"Up",112718000,-15237000,97481000,-72066000,-47489000,-21391000,-3186000,25415000,-1142000,-455000,293000,24273000,-5333000,18940000,-28411000,-9471000,-9471000,-9471000,-9471000,241279000,212379000,28900000,66459000,66459000,15671000,15671000,323409000,54226000,499488000,114113000,369985000,10971000,4419000,553714000,877123000,65314000,11188000,51185000,125227000,125227000,199916000,19743000,12631000,154743000,354659000,227930000,-24628000,522464000,522464000,877123000,-9471000,10051000,25765000,1007000,27352000,-1105000,80000,-1061000,7.45058059692383e-09,2610000,2610000,0,-2537000,73000,26364000,26364000,-3098000,23266000,35466000,144375000,63779000,0.86482,0.22547,-0.08402,-0.01813,-0.0108,-6.73414,1.61772,0.67882,0.1646,-0.18779,-0.1906,2.23496,10.35936,1.2646,-0.01379,0.09289,-2.73231,-3.81287
"25","2016_Q2",23.3190625,"Up",89481000,-15750000,73731000,-67020000,-42038000,-21797000,-3185000,6711000,-1825000,-930000,162000,4886000,-6000,4880000,-1664000,3216000,3216000,3216000,3216000,251491000,203704000,47787000,58829000,58829000,20575000,20575000,330895000,53492000,492481000,106988000,369964000,11635000,3894000,545973000,876868000,57873000,11917000,42868000,136159000,136159000,203407000,19575000,12227000,150825000,354232000,232233000,-25679000,522636000,522636000,876868000,3216000,9940000,6222000,3124000,22502000,-1414000,-19073000,-20487000,-3750000,-5371000,3670000,-9041000,-346000,-9467000,-7452000,-7452000,-1223000,-8675000,16651000,140625000,20025000,0.82398,0.075,0.03594,0.00615,0.00367,6.22668,1.62676,0.67778,0.16037,0.06329,0.06252,1.76109,10.28609,0.39412,0.00471,0.02933,-6.65822,-16.52004
"26","2016_Q3",25.9371875,"Up",96118000,-16235000,79883000,-66884000,-41402000,-22297000,-3185000,12999000,-1361000,-612000,264000,11638000,-655000,10983000,-3708000,7275000,7275000,7275000,7275000,229109000,179733000,49376000,48294000,48294000,21970000,21970000,299373000,51760000,483097000,99864000,370025000,9537000,3671000,534857000,834230000,51168000,9630000,37479000,133006000,133006000,195424000,19903000,12985000,147403000,342827000,231043000,-22558000,491403000,491403000,834230000,7275000,9969000,7986000,1530000,26760000,-1203000,-2012000,-3215000,-1875000,-47138000,2337000,-49475000,-2147000,-51160000,-27615000,-27615000,3644000,-23971000,22968000,138750000,27003000,0.83109,0.13524,0.07569,0.0148,0.00872,3.71175,1.53192,0.69765,0.16632,0.14587,0.14448,1.92726,9.85309,0.54144,0.01119,0.04154,-3.93413,-6.95123
"27","2016_Q4",26.3788888888889,"Up",102018000,-17189000,84829000,-66155000,-41263000,-21706000,-3186000,18674000,-1288000,-374000,260000,17386000,-5068000,12318000,-4742000,7576000,7576000,7576000,7576000,232684000,188084000,44600000,55758000,55758000,20521000,20521000,308963000,50778000,473038000,87684000,370097000,11626000,3631000,523816000,832779000,53508000,9647000,38763000,129354000,129354000,195987000,18463000,12314000,142213000,338200000,237136000,-23860000,494579000,494579000,832779000,7576000,9887000,8581000,-6396000,19648000,-1130000,4499000,3369000,-1875000,-10832000,2159000,-12991000,47000,-12660000,10357000,10357000,-2006000,8351000,28561000,136875000,25777000,0.83151,0.18305,0.07426,0.01532,0.0091,3.40246,1.57645,0.68381,0.16436,0.15585,0.15419,2.09866,10.17422,0.53027,0.01166,0.03966,-3.35454,-5.13061
"28","2017_Q1",26.5072580645161,"Up",117724000,-16538000,101186000,-69296000,-43330000,-22787000,-3179000,31890000,-1097000,-316000,153000,30793000,-94254000,-63461000,-10332000,-73793000,-73793000,-73793000,-73793000,249754000,207036000,42718000,65678000,65678000,20621000,20621000,336053000,50105000,368669000,80827000,278067000,6601000,3174000,418774000,754827000,59778000,12991000,39211000,128960000,128960000,203738000,24460000,20559000,144460000,348198000,239496000,-28561000,406629000,406629000,754827000,-73793000,9525000,97565000,638000.000000002,33935000,-2039000,1370000,-669000.000000001,-1875000,-5929000,1752000,-7681000,-1102000,-8906000,24360000,24360000,-5408000,18952000,41415000,1.35e+08,50346000,0.85952,0.27089,-0.62683,-0.18148,-0.09776,-0.682260000000001,1.64944,0.8563,0.17885,-1.51744,-1.57023,2.42081,8.36169,1.03529,-0.13036,0.08894,-2.77083,-3.59843
