"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2017_Q4",8.96412698412698,"Down",18148000,-13274000,4874000,-35850000,-24348000,-11502000,-30976000,-1184000,-1128000,-56000,-32160000,-32160000,-27402000,-27402000,-27402000,-27402000,76907000,33858000,43049000,7898000,7898000,90947000,29308000,68754000,5811000,122291000,213238000,32950000,10683000,22267000,34801000,41450000,11593000,11593000,53043000,87844000,483551000,-358105000,125394000,125394000,213238000,-27402000,2385000,-1447000,1569000,-24895000,-639000,-19626000,-18884000,50372000,50372000,6593000,6593000,6593000,-28591000,43301000,0.26857,-1.70685,-1.50992,-0.21853,-0.1285,2.61334,0.70054,0.20306,-0.56731,-0.56731,0.37572,2.59594,-0.15199,1.1754,1.0849
"12","2018_Q1",7.13344262295082,"Down",25399000,-17049000,8350000,-43241000,-29636000,-13605000,-34891000,-844000,-1137000,293000,-35735000,-35735000,-40493000,-40493000,-40493000,-40493000,64660000,12053000,52607000,11599000,11599000,86681000,30341000,88073000,5982000,124397000,211078000,31348000,8606000,22742000,33387000,42457000,13440000,13440000,55897000,89284000,520558000,-398598000,121794000,121794000,211078000,-40493000,3305000,10548000,-4615000,-31255000,-2560000,8546000,7318000,2133000,2132999.99999999,-21804000,-21804000,-21804000,-31586000,44496000,0.32875,-1.37372,-1.59428,-0.33247,-0.19184,2.59625,0.73307,0.2108,-0.77677,-0.77677,0.48723,2.33627,-0.2253,0.63838,0.57791
"13","2018_Q2",6.64171875,"Down",27671000,-18076000,9595000,-46070000,-30704000,-15366000,-36475000,355000,-1292000,1647000,-36120000,-36120000,-36120000,-36120000,-36120000,-36120000,54969000,18443000,36526000,12756000,12756000,89215000,30307000,88641000,7405000,119173000,208388000,33366000,7109000,26257000,35245000,61449000,9734000,9734000,71183000,106428000,525592000,-423477000,101960000,101960000,208388000,-36120000,3433000,5518000,-5733000,-32902000,-1871000,21818000,19947000,19345000,19345000,6390000,6390000,6390000,-33042000,63328000,0.34675,-1.31817,-1.30534,-0.35426,-0.17333,2.53128,1.04382,0.30389,-0.66419,-0.66419,0.50883,1.87479,-0.20637,-0.25298,-0.22917
"14","2018_Q3",11.3793650793651,"Up",37306000,-20447000,16859000,-46927000,-31143000,-15784000,-30068000,-1603000,-1791000,188000,-31671000,-31671000,-31671000,-31671000,-31671000,-31671000,85144000,48568000,36576000,12311000,12311000,122513000,28816000,86847000,6636000,116563000,239076000,27766000,5200000,22566000,32656000,57988000,9785000,9785000,67773000,100429000,593898000,-455148000,138647000,138647000,239076000,-31671000,3494000,6158000,-3746000,-25765000,-1213000,-675000,-1888000,57679000,57679000,30026000,30026000,30026000,-26574000,62878000,0.45191,-0.80598,-0.84895,-0.22843,-0.13247,3.75162,0.72435,0.263,-0.47152,-0.47152,0.55541,2.06409,-0.14988,0.83789,0.74052
"15","2018_Q4",12.9604761904762,"Up",37366000,-20441000,16925000,-47035000,-31259000,-15776000,-30110000,-1613000,-1844000,231000,-31723000,-31723000,-31723000,-31723000,-31723000,-31723000,129179000,101419000,27760000,12659000,12659000,167326000,29287000,87420000,8462000,117074000,284400000,32865000,8044000,24821000,42857000,52277000,9871000,9871000,62148000,105005000,666305000,-486871000,179395000,179395000,284400000,-31723000,3341000,7225000,3077000,-18080000,-1174000,8204000,6530000,64100000,64100000,52550000,52550000,52550000,-26769000,62269000,0.45295,-0.80581,-0.84898,-0.17683,-0.11154,3.90429,0.58533,0.21895,-0.45154,-0.45154,0.53186,2.55335,-0.12612,2.49953,2.22219
"16","2019_Q1",17.6368852459016,"Up",45356000,-21141000,24215000,-50119000,-33549000,-16570000,-25904000,-6737000,-2103000,-4634000,-32641000,-32641000,-29841000,-29841000,-29841000,-29841000,125885000,112158000,13727000,13258000,13258000,165439000,27886000,89634000,9070000,117520000,282959000,34375000,7812000,26563000,36312000,75852000,8956000,8956000,84808000,121120000,678548000,-516712000,161839000,161839000,282959000,-29841000,3272000,8446000,2650000,-15473000,-1712000,13396000,11184000,617000.000000015,16028000,11739000,11739000,11739000,-22632000,77789000,0.53389,-0.57113,-0.65793,-0.18439,-0.10546,4.55604,0.7484,0.27491,-0.39692,-0.39692,0.60328,2.15252,-0.12004,2.12513,1.8567
"17","2019_Q2",21.2879365079365,"Up",40553000,-21254000,19299000,-55506000,-37512000,-17994000,-36207000,-1470000,-2108000,638000,-37677000,-37677000,-37677000,-37677000,-37677000,-37677000,281216000,252502000,28714000,16569000,16569000,321485000,25757000,129257000,50006000,155014000,476499000,35221000,9867000,25354000,41600000,118337000,150000,150000,118487000,160087000,870784000,-554389000,316412000,316412000,476499000,-37677000,3286000,5481000,544000,-28366000,-2764000,-14781000,-17545000,186120000,186120000,140209000,140209000,140209000,-32921000,118337000,0.4759,-0.89283,-0.92908,-0.11908,-0.07907,7.728,0.50594,0.24835,-0.47471,-0.47471,0.51094,3.98648,-0.08663,4.94757,4.49855
"18","2019_Q3",23.57859375,"Up",53475000,-28006000,25469000,-77355000,-52053000,-25302000,-51886000,-740000.000000001,-2121000,1381000,-52626000,-52626000,-48676000,-48676000,-48676000,-48676000,247800000,2.47e+08,8e+05,16976000,16976000,287919000,29021000,185962000,51574000,214983000,502902000,33056000,5255000,27801000,40092000,121307000,0,0,121307000,161399000,944559000,-603065000,341503000,341503000,502902000,-48676000,3439000,11005000,1507000,-32725000,-6060000,2.8e+07,25133000,2462000,2462000,-5130000,-5130000,-5130000,-48447000,121307000,0.47628,-0.97029,-0.91026,-0.14253,-0.09679,7.18146,0.47261,0.24121,-0.53533,-0.53533,0.58811,3.75569,-0.10517,2.61096,2.4379
"19","2019_Q4",17.68328125,"Down",56511000,-32120000,24391000,-101374000,-54423000,-46951000,-76983000,-10424000,-2833000,-7591000,-87407000,-87407000,-78707000,-78707000,-78707000,-78707000,467312000,467012000,3e+05,14477000,14477000,508529000,32177000,249681000,50090000,281858000,790387000,62114000,8863000,53251000,68936000,309770000,7800000,7800000,317570000,386506000,1085643000,-681772000,403881000,403881000,790387000,-78707000,4410000,29372000,8229000,-36696000,-4706000,5e+05,-17200000,268114000,273848000,219952000,219952000,219952000,-72573000,309770000,0.43162,-1.36227,-1.39277,-0.19488,-0.09958,7.37683,0.95698,0.39192,-0.82249,-0.82249,0.59054,4.22049,-0.1091,2.17081,2.04645
"20","2020_Q1",18.2638709677419,"Up",66285000,-36723000,29562000,-108491000,-57212000,-51279000,-78929000,-3669000,-5350000,1681000,-82598000,-82705000,-76905000,-76905000,-76905000,-76905000,391825000,151389000,240436000,11384000,11384000,442398000,37747000,301456000,49504000,339203000,781601000,75135000,10321000,64814000,81860000,312101000,8e+06,8e+06,320101000,401961000,1138326000,-758677000,379640000,379640000,781601000,-76905000,5071000,26077000,-1509000,-47266000,-6517000,-240136000,-270698000,-191796000,2341000,-315623000,-315623000,-315623000,-73858000,313956000,0.44598,-1.19075,-1.16022,-0.20257,-0.09839,5.40432,1.0588,0.40168,-0.7892,-0.7892,0.68022,3.89586,-0.10961,1.05431,0.98657
"21","2020_Q2",17.4455555555556,"Down",64248000,-40422000,23826000,-121610000,-65942000,-55668000,-97784000,-743000,-5451000,4708000,-98527000,-98527000,-98527000,-98527000,-98527000,-98527000,294608000,90220000,204388000,25085000,25085000,357427000,41085000,392376000,51566000,433461000,790888000,114775000,25982000,88793000,121270000,316173000,27312000,17062000,343485000,464755000,1182043000,-857204000,326133000,326133000,790888000,-98527000,6056000,28884000,1227000,-62360000,-3831000,37497000,8e+05,-451927233.573154,551000,-61009000,-61009000,-61009000,-91728000,316173000,0.37084,-1.52198,-1.53354,-0.30211,-0.12458,2.94737,1.42505,0.39977,-0.98891,-0.98891,0.64485,3.27338,-0.14714,-0.2351,-0.22054
"22","2020_Q3",34.1209375,"Up",46191000,-42952000,3239000,-140489000,-65526000,-74963000,-137250000,-26921000,-5485000,-21436000,-164171000,-169003000,-166403000,-166403000,-166403000,-166403000,422136000,168203000,253933000,21081000,21081000,471122000,43381000,455372000,51503000,498753000,969875000,119581000,20091000,99490000,126897000,319105000,59678000,49428000,378783000,505680000,1487230000,-1023607000,464195000,464195000,969875000,-166403000,8444000,83190000,14375000,-60394000,-7023000,-50350000,-83417000,-320800567.218472,221794000,77983000,77983000,77983000,-128806000,319105000,0.07012,-2.97136,-3.6025,-0.35848,-0.17157,3.71263,1.08937,0.32902,-1.32173,-1.32173,0.36689,3.68707,-0.1974,0.79989,0.75068
"23","2020_Q4",47.77546875,"Up",68728000,-46643000,22085000,-103412000,-65610000,-37802000,-81327000,-22079000,-6308000,-15771000,-103406000,-102902000,-102902000,-102902000,-102902000,-102902000,361284000,106436000,254848000,26492000,26492000,415104000,46130000,451938000,53653000,498068000,913172000,93575000,15589000,77986000,101440000,324067000,71114000,60864000,395181000,496621000,1542861000,-1126509000,416551000,416551000,913172000,-102902000,8464000,40648000,-8376000,-62166000,-3137000,-1871000,-5674000,-1542999.99999994,6415000,-61425000,-61425000,-61425000,-72863000,324067000,0.32134,-1.18332,-1.49724,-0.24703,-0.11269,4.09211,1.19222,0.35488,-0.77587,-0.77587,0.5182,3.14075,-0.12677,0.51078,0.45762
"24","2021_Q1",45.4555737704918,"Down",100431000,-68258000,32173000,-313440000,-241268000,-72172000,-281267000,-12355000,-12522000,167000,-293622000,-343838000,-234338000,-234338000,-234338000,-234338000,353980000,124794000,229186000,20200000,20200000,453932000,66102000,2910451000,64983000,2976553000,3430485000,111261000,25203000,86058000,121745000,439653000,892794000,841256000,1332447000,1454192000,3337139000,-1360847000,1976293000,1976293000,3430485000,-234338000,16086000,95923000,8747000,-113582000,-8874000,24785000,-312292000,130757000,444233000,18359000,18359000,18359000,-265181000,441348000,0.32035,-2.8006,-2.33332,-0.11857,-0.06831,3.72855,0.73582,0.12865,-1.30051,-1.30051,0.55736,10.96783,-0.07079,-0.32947,-0.31062
"25","2021_Q2",32.5212698412698,"Down",103621000,-75491000,28130000,-204115000,-123757000,-80358000,-175985000,-3928000,-8393000,4465000,-179913000,-116292000,-109492000,-109492000,-109492000,-109492000,671598000,194218000,477380000,31889000,31889000,779735000,72909000,3020670000,100710000,3093579000,3873314000,133025000,38989000,94036000,145784000,531378000,819863000,769295000,1351241000,1497025000,3829573000,-1453334000,2376289000,2376289000,3873314000,-109492000,16574000,-5540000,8938000,-89520000,-6431000,-251193000,-273558000,-723000.000000119,436091000,73013000,73013000,73013000,-159411000,533568000,0.27147,-1.69835,-1.05666,-0.04608,-0.02827,5.34856,0.62998,0.13775,-0.56439,-0.56439,0.53413,12.24891,-0.02936,0.86588,0.78433
"26","2021_Q3",29.30046875,"Down",116312000,-89331000,26981000,-201721000,-95267000,-106454000,-174740000,-11383000,-13407000,2024000,-186123000,117226000,133786000,133786000,133786000,133786000,1530218000,1107745000,422473000,28089000,28089000,1644003000,82760000,3268700000,150422000,3351460000,4995463000,119289000,31244000,88045000,133641000,1696173000,511664000,460666000,2207837000,2341478000,3973499000,-1319548000,2653985000,2653985000,4995463000,133786000,18688000,-269481000,-12318000,-129325000,-13723000,52973999.9999999,-80701000,1115447000,1123553000,913527000,913527000,913527000,-156052000,1698595000,0.23197,-1.50234,1.15023,0.05041,0.02678,12.30164,0.88225,0.34003,0.68962,0.68962,0.59955,13.68034,0.0275,-1.07898,-0.96359
"27","2021_Q4",21.62953125,"Down",114395000,-87741000,26654000,-239832000,-142321000,-97511000,-213178000,-10712000,-14069000,3357000,-223890000,-204024000,-198176000,-198176000,-198176000,-198176000,1242099000,921634000,320465000,34401000,34401000,1365564000,1.01e+08,3604475000,153259000,3705475000,5071039000,139712000,35404000,104308000,156173000,1700589000,107560000,56182000,1808149000,1964322000,4624420000,-1517724000,3106717000,3106717000,5071039000,-198176000,21586000,7117000,4421000,-165052000,-15379000,100305000,-20324000,-1130000,-735000,-186111000,-186111000,-186111000,-191592000,1704414000,0.233,-1.86353,-1.73238,-0.06379,-0.03908,8.74392,0.63228,0.33611,-0.90747,-0.90747,0.52383,14.22594,-0.04029,-2.41302,-2.16868
"28","2022_Q1",10.0583870967742,"Down",126121000,-96106000,30015000,-244399000,-112635000,-131764000,-214384000,1801000,-14031000,15832000,-212583000,-212773000,-205124000,-205124000,-205124000,-205124000,1045371000,923250000,122121000,33691000,33691000,1178805000,114714000,3626048000,154995000,3740762000,4919567000,127580000,21127000,106453000,144095000,1707581000,89493000,37797000,1797074000,1941169000,4701253000,-1722848000,2978398000,2978398000,4919567000,-205124000,23624000,34240000,-28658000,-175918000,-19187000,197250000,170503000,2833000,7030999.99999988,1615999.99999976,1615999.99999976,1615999.99999976,-190760000,1711737000,0.23799,-1.69983,-1.62641,-0.06887,-0.0417,8.18075,0.65175,0.34794,-0.93928,-0.93928,0.57752,13.63835,-0.04292,-3.49322,-3.10828
"29","2022_Q2",4.42241935483871,"Down",123691000,-97116000,26575000,-239654000,-111418000,-128236000,-213079000,-3546000,-13985000,10439000,-216625000,-216779000,-181859000,-181859000,-181859000,-181859000,874712000,325331000,549381000,32037000,32037000,1030605000,129959000,3607201000,156301000,3737160000,4767765000,150199000,41701000,108498000,167900000,1710870000,45062000,29266000,1755932000,1923832000,4749425000,-1904707000,2843933000,2843933000,4767765000,-181859000,27100000,9972000,-2756000,-147543000,-20848000,-428608000,-449456000,-1330000,-920000,-597919000,-597919000,-597919000,-185979000,1716270000,0.21485,-1.72267,-1.47027,-0.06395,-0.03814,6.13821,0.67647,0.35997,-0.80167,-0.80167,0.54526,12.53668,-0.03949,-4.52502,-3.94951
"30","2022_Q3",3.035,"Down",136622000,-110340000,26282000,-230753000,-115607000,-115146000,-204471000,-6693000,-14019000,7326000,-211164000,-2527024000,-2523461000,-2523461000,-2523461000,-2523461000,726763000,303626000,423137000,35825000,35825000,894247000,132935000,1263344000,155523000,1396279000,2290526000,120523000,26751000,93772000,139251000,1734108000,31262000,19921000,1765370000,1904621000,4815407000,-4428168000,385905000,385905000,2290526000,-2523461000,37147000,2371262000,-19637000,-134689000,-16122000,125087000,108965000,-1347000,3770000,-21954000,-21954000,-21954000,-167324000,1739448000,0.19237,-1.49662,-18.47039,-6.53907,-1.10169,6.42184,4.93547,0.75941,-11.12397,-11.12397,0.60226,1.70115,-1.1701,-6.05224,-4.95271
