"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",42.6328125,"Down",7869000,-8960000,-1091000,-30581000,-14827000,-15754000,-31672000,-1446000,-1526000,-1562000,80000,-33118000,-32079000,0,-32315000,-32315000,-32614000,-32614000,24855000,23250000,7541000,7541000,6527000,9078000,9078000,48001000,162253000,30854000,21734000,193107000,241108000,35589000,14161000,21428000,8080000,10433000,10433000,54102000,108967000,19262000,14262000,128229000,182331000,690393000,-618941000,-12088000,59364000,-587000,58777000,241108000,-32315000,4390000,3719000,-84000,-3715000,-426000,-1626000,5683000,-24290000,-2118000,-3626000,901000,19960000,19960000,-3636430.26400457,20861000,-7055000,-7055000,-287000,-7342000,-27282000,117047000,-0.13865,-4.02491,-4.14462,-0.55488,-0.13527,0.88723,3.10208,0.48545,-6.67012,-6.67012,1.60934,12.14095,-0.16718,-3.37922,-2.91084
"12","2013_Q3",40.59609375,"Down",10849000,-8853000,1996000,-28710000,-14718000,-13992000,-26714000,-3277000,-1501000,-1558000,-1776000,-29991000,-38668000,0,-38914000,-38914000,-38876000,-38876000,12915000,11503000,7268000,7268000,4065000,7136000,7136000,31384000,144141000,27310000,18190000,171451000,202835000,31634000,8889000,22745000,5973000,7637000,7637000,45244000,112927000,24389000,17889000,137316000,182560000,695546000,-657817000,-16892000,20837000,-562000,20275000,202835000,-38914000,4101000,14399000,-564000,248000,1576000,-286000,-2102000,-20978000,-1593000,-1515000,-1025000,187000.000000004,187000.000000004,1e+07,9162000,-13331000,-13331000,1584000,-11747000,-22613000,118900000,0.18398,-2.46235,-3.58337,-1.91744,-0.19166,0.69366,9.00418999999999,0.58619,-7.95081,-7.95081,2.21881,4.26152,-0.23768,-4.68691,-3.9674
"13","2013_Q4",42.2765625,"Up",7004000,-8328000,-1324000,-26427000,-13057000,-13370000,-27751000,-2508000,-2089000,-2110000,-419000,-30259000,-25663000,0,-24228000,-24228000,-24199000,-24199000,6336000,5756000,3811000,3811000,7948000,7164000,7164000,25259000,140718000,29801000,20681000,170519000,195778000,33186000,12881000,20305000,6479000,7351000,7351000,47016000,123938000,24404000,19404000,148342000,195358000,699987000,-682016000,-16961000,1010000,-590000,420000,195778000,-24228000,3768000,1050000,-4746000,3835000,-3740000,4760000,-9601000,-24156000,-2190000,-1372000,-776000,-9000,-9000,2e+07,19215000,-6313000,-6313000,566000,-5747000,-23983000,130417000,-0.18903,-3.96216,-3.45503,-57.61667,-0.1236,0.53724,465.1381,0.66615,-4.80708,-4.80708,1.39133,0.20063,-0.15588,-5.17371,-4.47123
"14","2014_Q1",62.7418032786885,"Up",15397000,-12112000,3285000,-27398000,-14449000,-12949000,-24113000,-4267000,-3829000,-3877000,-438000,-28380000,-139344000,0,-139450000,-139450000,-139422000,-139422000,8296000,6868000,8218000,8218000,10888000,9518000,9518000,36920000,140591000,21353000,12233000,161944000,198864000,27733000,6512000,21221000,7347000,2222000,2222000,37302000,156149000,141261000,1544000,297410000,334712000,706261000,-821438000,-20087000,-135264000,-584000,-135848000,198864000,-139450000,4380000,116955000,-18320000,-5217000,-3022000,-5484000,-4597000,-36435000,-2186000,-3824000,6792000,976000,976000,34175000,41943000,1684000,1684000,-572000,1112000,-19733000,163496000,0.21335,-1.56608,-9.05514,1.02631,-0.70109,0.98976,-2.46386999999999,0.82215,-27.69588,-27.69588,3.05858,-26.8699,-0.82543,-7.865,-6.43636
"15","2014_Q2",52.444126984127,"Down",6041000,-6236000,-195000,-26385000,-13399000,-12986000,-26580000,-4816000,-4694000,-4750000,-122000,-31396000,16467000,0,16356000,16356000,16385000,16385000,49113000,47798000,4064000,4064000,11068000,9580000,9580000,73825000,141162000,21803000,12683000,162965000,236790000,21434000,5776000,15658000,7822000,11111000,11111000,40367000,181953000,126955000,6496000,308908000,349275000,710435000,-805053000,-17231000,-111849000,-636000,-112485000,236790000,16356000,3800000,-42701000,12592000,4953000,209000,-946000,8376000,-9953000,-1308000,-1159000,26581000,1015000,1015000,2.5e+07,52596000,41484000,41484000,-554000,40930000,-22780000,189775000,-0.03228,-4.39993,2.7123,-0.14566,0.0692,1.82885,-3.10508,0.80145,3.19733,3.19733,1.17883,-21.82595,0.08022,-6.1748,-5.29202
"16","2014_Q3",59.09765625,"Up",9307000,-7511000,1796000,-26146000,-13971000,-12175000,-24350000,-6439000,-6654000,-6802000,215000,-30789000,-35175000,-210000,-35510000,-35510000,-35479000,-35479000,90207000,88828000,4726000,4726000,14753000,7138000,7138000,116824000,140656000,26667000,17547000,167323000,284147000,21264000,8503000,12761000,10805000,10372000,10372000,42441000,222883000,158500000,6560000,381383000,423824000,717175000,-840532000,-15634000,-138991000,-686000,-139677000,284147000,-35510000,3739000,10338000,-4441000,-1383000,-3779000,2825000,-2104000,-25874000,-756000,-2831000,52479000,3056000,3056000,14012000,69547000,40842000,40842000,188000,41030000,-20611000,233688000,0.19297,-2.61631,-3.81208,0.254009999999999,-0.12486,2.75262,-3.03431000000002,0.82242,-6.76617,-6.76617,1.77493,-26.50686,-0.1405,-6.96138,-5.89244
"17","2014_Q4",42.6315625,"Down",16341000,-10146000,6195000,-26537000,-14356000,-12181000,-20342000,-8466000,-8520000,-8620000,54000,-28808000,-35760000,-778000,-36672000,-36672000,-36641000,-36641000,68603000,67217000,11091000,11091000,16666000,6566000,6566000,102926000,128106000,27615000,18495000,155721000,258647000,20253000,5829000,14424000,13936000,9366000,9366000,43555000,226646000,169090000,9232000,395736000,439291000,721044000,-877173000,-23877000,-180006000,-638000,-180644000,258647000,-36672000,3795000,13440000,-8843000,-6737000,-2578000,-2782000,3254000,-28280000,-1552000,-2882000,-1343000,297000,297000,10850000,9804000,-21358000,-21358000,-253000,-21611000,-16547000,240582000,0.37911,-1.24484,-2.24227,0.20284,-0.14166,2.36313,-2.43181,0.93016,-6.95418,-4.90131,3.1014,-34.16377,-0.15998,-10.39336,-8.45438
"18","2015_Q1",32.0201639344262,"Down",11585000,-9309000,2276000,-26028000,-13709000,-12319000,-23752000,-8505000,-8694000,-8777000,189000,-32257000,60040000,-1922000,57993000,57993000,58021000,58021000,43422000,42047000,9142000,9142000,14506000,6534000,6534000,73604000,118980000,23599000,17514000,142579000,216183000,17054000,3489000,13565000,17641000,5303000,5303000,39998000,225886000,75362000,9087000,301248000,341246000,724677000,-819152000,-29977000,-124452000,-611000,-125063000,216183000,57993000,3635000,-82753000,524000,1946000,1667000,-2306000,-783000,-20601000,-1388000,-2959000,-1323999.99999999,2120000,2120000,-1822000,-1026000.00000001,-24586000,-24586000,-584000,-25170000,-20117000,243527000,0.19646,-2.05024,5.00829,-0.46393,0.26839,1.84019,-2.72859,1.12649,10.9887,5.64515,2.1941,-23.57019,0.29935,-9.94706,-8.42476
"19","2015_Q2",32.5428571428571,"Up",7872000,-6643000,1229000,-26391000,-14381000,-12010000,-25162000,-8765000,-8396000,-8482000,-369000,-33927000,-51339000,-808000,-52262000,-52262000,-52240000,-52240000,44948000,43781000,5362000,5362000,11377000,7613000,7052000,69300000,104509000,19245000,13160000,123754000,193054000,19627000,4649000,14978000,18470000,13552000,13552000,51649000,234654000,92669000,8299000,327323000,378972000,727329000,-871392000,-41489000,-185552000,-366000,-185918000,193054000,-52262000,3490000,24120000,21376000,4209000,2227000,382000,14558000,-3276000,-1084000,-1068000,-3532000,-5653382.3647256,-5653382.3647256,10850000,7318000,2974000,2974000,-1240000,1734000,-21672000,253124000,0.15612,-3.19639,-6.63618,0.28098,-0.2706,1.34175,-2.03838,1.31116,-9.88624,-9.88624,1.48975,-35.11509,-0.32676,-9.60576,-8.27343
"20","2015_Q3",26.04609375,"Down",7843000,-10959000,-3116000,-25543000,-14375000,-11168000,-28659000,-46595000,-45928000,-45986000,-667000,-75254000,-46420000,-621000,-47162000,-47162000,-47130000,-47130000,12116000,10878000,3417000,3417000,11124000,9489000,8895000,36146000,103983000,20956000,14871000,124939000,161085000,21375000,6587000,14788000,21826000,11610000,11610000,54811000,272849000,61192000,8540000,334041000,388852000,729500000,-918522000,-38328000,-227350000,-417000,-227767000,161085000,-47162000,3350000,13840000,456999.999999993,1988000,1125000,2584000,-5240000,-29515000,-728000,-1805000,-1889000,427999.999999996,427999.999999996,-313000,-1774000,-33094000,-33094000,191000,-32903000,-25309000,294675000,-0.3973,-3.65409,-6.00918,0.20692,-0.29258,0.65947,-1.70724,1.82931,-8.82742,-8.82742,1.46899,-42.58251,-0.36792,-11.16437,-9.85935
"21","2015_Q4",25.9546875,"Down",8591000,-8455000,136000,-24446000,-14103000,-10343000,-24310000,-16666000,-16498000,-16559000,-168000,-40976000,-75909000,-660000,-76688000,-76688000,-76664000,-76664000,11898000,10903000,4381000,4381000,11102000,7249000,7034000,34630000,81941000,18448000,12363000,100389000,135019000,28107000,11275000,16832000,21457000,9204000,9204000,58768000,143058000,74658000,7230000,217716000,276484000,902949000,-995186000,-48932000,-141169000,-296000,-141465000,135019000,-76688000,3091000,49772000,4399000,-1046000,-46000,4336000,1155000,-19426000,-533000,-431000,-4815000,25025000,25025000,0,20210000,353000,353000,-328000,25000,-21219000,164515000,0.01583,-2.82971,-8.92376,0.54193,-0.5678,0.58927,-1.95443,1.21846,-8.14928,-8.14928,0.91321,-15.00608,-0.78462,-7.19247,-6.27795
"22","2016_Q1",20.5290163934426,"Down",9847000,-11317000,-1470000,-24518000,-13403000,-11115000,-25988000,-12171000,-8032000,-7827000,45000,-38159000,-43916000,2089000,-41940000,-41940000,-41918000,-41918000,13512000,11992000,5180000,5180000,10886000,4799000,4583000,34377000,59797000,11942000,11382000,71739000,106116000,32211000,7943000,24268000,36804000,6509000,6509000,75524000,125551000,63497000,7589000,189048000,264572000,926237000,-1037104000,-47198000,-158065000,-391000,-158456000,106116000,-41940000,2989000,13154000,-7118000,-880000,1164000,-2929000,-4473000,-32915000,-1022000,-1840000,35904000,-214000,-214000,-20000,35670000,914999.999999996,914999.999999996,174000,1089000,-22999000,162355000,-0.14928,-2.63918,-4.25693,0.26454,-0.39502,0.45518,-1.66969,1.52998,-3.03187,-3.03187,0.71222,-11.4326,-0.62197,-6.47172,-5.72737
"23","2016_Q2",11.14828125,"Down",8811000,-11178000,-2367000,-24172000,-12266000,-11906000,-26539000,-10116000,-8302000,-8359000,-1814000,-36655000,-15193000,0,-15308000,-15308000,-15308000,-15308000,9270000,7826000,6903000,6903000,7586000,3904000,3661000,27663000,61776000,12666000,12106000,74442000,102105000,33646000,7737000,25909000,55803000,5339000,5339000,94788000,124716000,39390000,5813000,164106000,258894000,938248000,-1052412000,-42511000,-156675000,-114000,-156789000,102105000,-15308000,2869000,-15337000,4033000,-1784000,3870000,-810000,2757000,-23743000,-271000,-8000,-889000,-4247648.62862269,-4247648.62862269,19952000,19063000,-4688000,-4688000,522000,-4166000,-23670000,180519000,-0.26864,-3.01203,-1.73737,0.09763,-0.14992,0.29184,-1.65123,1.76797,-1.10821,-0.88,0.63786,-11.34233,-0.24252,-7.23485,-6.45273
"24","2016_Q3",6.33046875,"Down",9598000,-7890000,1708000,-24584000,-11408000,-13176000,-22876000,-11053000,-9621000,-9703000,-1432000,-33929000,-13428000,-4.65661287307739e-10,-13566000,-13566000,-13566000,-13566000,2507000,822000,4657000,4657000,9996000,4318000,4043000,21478000,65200000,19185000,18625000,84385000,105863000,40666000,9808000,30858000,81349000,7717000,7717000,129732000,110850000,14465000,3244000,125315000,255047000,954825000,-1065978000,-37917000,-149070000,-114000,-149184000,105863000,-13566000,2851000,-14410000,9893000,2188000,-1960000,2e+06,7665000,-15232000,-129000,-166000,3759999.99999999,5123000,5123000,-153000,8730000,-6668000,-6668000,-336000,-7004000,-20025000,192199000,0.17795,-2.38341,-1.41342,0.09093,-0.12815,0.16556,-1.70961,1.81554,-0.90204,-0.79276,0.6382,-9.9121,-0.23601,-9.47276,-8.29218
"25","2016_Q4",12.2573015873016,"Up",26545000,-14877000,11668000,-23696000,-11381000,-12315000,-12028000,-6525000,-8066000,-7927000,1541000,-18553000,-19556000,0,-19705000,-19705000,-19705000,-19705000,2295000,582000,6358000,6358000,7899000,4565000,4286000,21117000,63093000,15209000,14649000,78302000,99419000,48668000,13756000,34912000,75958000,7105000,7105000,131731000,109794000,15392000,4212000,125186000,256917000,968100000,-1085683000,-39801000,-157384000,-114000,-157498000,99419000,-19705000,2841000,5148000,5308000,-1761000,1958000,3116000,1995000,-6408000,-319000,-322000,1985000,0,0,4999000,6984000,254000,254000,-494000,-240000,-9187000,185752000,0.43956,-0.45312,-0.74232,0.12511,-0.1982,0.1603,-1.63124,1.86838,-1.1941,-1.02806,1.6086,-9.5373,-0.45147,-19.9692,-15.25249
"26","2017_Q1",8.52048387096774,"Down",22238000,-22733000,-495000,-26681000,-12666000,-14015000,-27176000,-10372000,-11640000,-11640000,1268000,-37548000,-48604000,0,-48755000,-48755000,-48755000,-48755000,28524000,27150000,13977000,13977000,6213000,10409000,6083000,59123000,53735000,17015000,17015000,70750000,129873000,45425000,15315000,30110000,59155000,5288000,5288000,109868000,167888000,30625000,23731000,198513000,308381000,995897000,-1134438000,-40904000,-179445000,937000,-178508000,129873000,-48755000,2813000,17303000,-8345000,-7602000,1818000,2136000,-4697000,-36984000,-203000,6138000,52717000,57000,57000,4648000,57422000,26576000,26576000,-7999.99999999994,26568000,-24363000,227043000,-0.02226,-1.22205,-2.19242,0.27313,-0.37541,0.53813,-1.72755,1.74819,-2.67449,-2.88545,1.21988,-9.84359,-0.6159,-8.14838,-7.30494
"27","2017_Q2",5.40015873015873,"Down",12980000,-12768000,212000,-27556000,-12778000,-14778000,-27344000,-12503000,-12184000,-12184000,-319000,-39847000,-37412000,0,-37371000,-37371000,-37371000,-37371000,2485000,1297000,8538000,8538000,7077000,5953000,5652000,24053000,53045000,18346000,17786000,71391000,95444000,48259000,16453000,31806000,49860000,3487000,3487000,101606000,180579000,19510000,7716000,200089000,301695000,1005202000,-1171809000,-40581000,-207188000,937000,-206251000,95444000,-37371000,2715000,3334000,5929000,5388000,-867000,450000,958000,-25393000,-457000,-128000,-4251000,22730627.8248414,22730627.8248414,-22000,-4273000,-29794000,-29794000,-83000,-29877000,-24629000,230439000,0.01633,-2.10663,-2.87912,0.18119,-0.39155,0.23673,-1.46276,2.41439,-1.93272,-1.93272,0.67129,-10.71517,-0.85521,-9.25551,-8.33653
"28","2017_Q3",3.16825396825397,"Down",25680000,-17279000,8401000,-30199000,-16021000,-14178000,-21798000,-9423000,-9302000,-9302000,-121000,-31221000,930000,0,620000,620000,620000,-10265000,6634000,5078000,17389000,17389000,5729000,11255000,7440000,41007000,49303000,22395000,21835000,71698000,112705000,43932000,14657000,29275000,13883000,5001000,5001000,62816000,160510000,70895000,5639000,231405000,294221000,1030739000,-1171189000,-42003000,-182453000,937000,-181516000,112705000,620000,2835000,-30358000,-7883000,-8897000,1276000,-2189000,1927000,-34786000,193000,-221000,-8429999.99999999,50730000,50730000,-88000,42212000,7205000,7205000,90000,7294999.99999999,-18963000,174393000,0.32714,-0.84883,-0.39973,0.05655,-0.09108,0.65281,-1.62091,1.54734,-0.44406,-0.44406,1.11092,-7.8929,-0.16096,-8.84665,-7.69607
"29","2017_Q4",3.36793650793651,"Up",24197000,-17637000,6560000,-30639000,-15454000,-15185000,-24079000,-7869000,-7733000,-7733000,-136000,-31948000,-34179000,0,-33861000,-33861000,-33861000,-42819000,17608000,15865000,24922000,24922000,6410000,13322000,9244000,62262000,50130000,26189000,26189000,76319000,138581000,49279000,20396000,28883000,11704000,7027000,7027000,68010000,152941000,108041000,18271000,260982000,328992000,1054303000,-1205050000,-40601000,-191348000,937000,-190411000,138581000,-33861000,2574000,6259000,-17445000,-7438000,-535000,4858000,-14330000,-42473000,-223000,2861000,-62000,50844000,50844000,23000,50805000,11193000,11193000,-143000,11050000,-21505000,164645000,0.27111,-0.99512,-1.7696,0.22488,-0.30898,0.91548,-1.7278,1.18808,-1.08703,-1.08703,0.61428,-4.8577,-0.52044,-6.83734,-6.10644
